[['2, k, 0', [0.00774603, -0.367162, 1.0]], ['2, k, 1', [-0.00242396, -0.036195, 1.0]], ['2, k, 2', [-0.0123672, 0.287909, 1.0]], ['2, k, 3', [-0.00955456, 0.420052, 1.0]], ['2, k, 4', [-0.163598, 0.223145, 1.0]], ['2, k, 5', [-0.242984, 0.0895268, 1.0]], ['2, k, 6', [-0.199887, 0.00260896, 1.0]], ['2, k, 7', [-0.189481, -0.0455284, 1.0]], ['2, k, 8', [0.137722, 0.184707, 1.0]], ['2, k, 9', [0.209422, 0.0515829, 1.0]], ['2, k, 10', [0.208035, -0.0628169, 1.0]], ['2, k, 11', [0.180637, -0.101705, 1.0]], ['2, k, 12', [-0.0609171, -0.354088, 1.0]], ['2, k, 13', [-0.341143, -0.48622, 1.0]], ['2, k, 14', [-0.327101, -0.874984, 1.0]], ['2, k, 15', [-0.264876, -0.978335, 1.0]], ['2, k, 16', [0.0762141, -0.371511, 1.0]], ['2, k, 17', [0.0759785, -0.695879, 1.0]], ['2, k, 18', [0.10176, -1.08705, 1.0]], ['2, k, 19', [0.152969, -1.17408, 1.0]], ['2, k, 20', [-0.00991359, 0.207838, 1.0]], ['2, k, 21', [-0.164879, -0.0860796, 1.0]], ['2, k, 22', [-0.160059, -0.0534596, 1.0]], ['2, k, 23', [0.181916, -0.138979, 1.0]], ['2, k, 24', [0.209896, -0.128743, 1.0]]]
[['2, k, 0', [0.000925972, -0.375048, 1.0]], ['2, k, 1', [-0.00406056, -0.0381818, 1.0]], ['2, k, 2', [-0.0120187, 0.28823, 1.0]], ['2, k, 3', [-0.0093518, 0.41918, 1.0]], ['2, k, 4', [-0.162405, 0.219897, 1.0]], ['2, k, 5', [-0.234369, 0.130241, 1.0]], ['2, k, 6', [-0.200435, 0.0403457, 1.0]], ['2, k, 7', [-0.172241, -0.0223502, 1.0]], ['2, k, 8', [0.136647, 0.183659, 1.0]], ['2, k, 9', [0.209675, 0.0589514, 1.0]], ['2, k, 10', [0.189287, -0.0266975, 1.0]], ['2, k, 11', [0.169045, -0.0867084, 1.0]], ['2, k, 12', [-0.0682483, -0.363091, 1.0]], ['2, k, 13', [-0.230613, -0.670099, 1.0]], ['2, k, 14', [-0.217793, -1.17081, 1.0]], ['2, k, 15', [-0.142387, -1.22445, 1.0]], ['2, k, 16', [0.070046, -0.378171, 1.0]], ['2, k, 17', [0.0763874, -0.713048, 1.0]], ['2, k, 18', [0.104674, -1.17674, 1.0]], ['2, k, 19', [0.0739213, -1.24279, 1.0]], ['2, k, 20', [-0.00988021, 0.207799, 1.0]], ['2, k, 21', [-0.139122, -0.0439465, 1.0]], ['2, k, 22', [-0.123593, -0.0450206, 1.0]], ['2, k, 23', [0.148926, -0.121772, 1.0]], ['2, k, 24', [0.212099, -0.0917372, 1.0]]]
[['2, k, 0', [-0.00541508, -0.403265, 1.0]], ['2, k, 1', [-0.00742966, -0.0479192, 1.0]], ['2, k, 2', [-0.0123955, 0.287819, 1.0]], ['2, k, 3', [-0.00920822, 0.418704, 1.0]], ['2, k, 4', [-0.159364, 0.216966, 1.0]], ['2, k, 5', [-0.241822, 0.144065, 1.0]], ['2, k, 6', [-0.205876, 0.0721707, 1.0]], ['2, k, 7', [-0.172558, 0.0277015, 1.0]], ['2, k, 8', [0.136005, 0.184472, 1.0]], ['2, k, 9', [0.188579, 0.0834102, 1.0]], ['2, k, 10', [0.18052, 0.0173641, 1.0]], ['2, k, 11', [0.17286, -0.0156612, 1.0]], ['2, k, 12', [-0.0740359, -0.393348, 1.0]], ['2, k, 13', [-0.227341, -0.650928, 1.0]], ['2, k, 14', [-0.20937, -1.19909, 1.0]], ['2, k, 15', [-0.145829, -1.24515, 1.0]], ['2, k, 16', [0.0633267, -0.40327, 1.0]], ['2, k, 17', [0.0825342, -0.800291, 1.0]], ['2, k, 18', [0.110883, -1.20989, 1.0]], ['2, k, 19', [0.110809, -1.26981, 1.0]], ['2, k, 20', [-0.010412, 0.20683, 1.0]], ['2, k, 21', [-0.144558, 0.0244722, 1.0]], ['2, k, 22', [-0.136347, 0.00326163, 1.0]], ['2, k, 23', [0.171318, -0.0436576, 1.0]], ['2, k, 24', [0.211991, -0.0180245, 1.0]]]
[['2, k, 0', [-0.00605504, -0.407081, 1.0]], ['2, k, 1', [-0.00771161, -0.0517904, 1.0]], ['2, k, 2', [-0.0119543, 0.287704, 1.0]], ['2, k, 3', [-0.00894811, 0.418055, 1.0]], ['2, k, 4', [-0.158539, 0.21901, 1.0]], ['2, k, 5', [-0.245521, 0.162357, 1.0]], ['2, k, 6', [-0.205551, 0.132474, 1.0]], ['2, k, 7', [-0.152447, 0.075567, 1.0]], ['2, k, 8', [0.13457, 0.187185, 1.0]], ['2, k, 9', [0.251925, 0.123705, 1.0]], ['2, k, 10', [0.170245, 0.062641, 1.0]], ['2, k, 11', [0.174611, 0.0274441, 1.0]], ['2, k, 12', [-0.0745318, -0.396536, 1.0]], ['2, k, 13', [-0.295382, -0.625677, 1.0]], ['2, k, 14', [-0.260896, -1.19691, 1.0]], ['2, k, 15', [-0.222225, -1.2713, 1.0]], ['2, k, 16', [0.0624594, -0.408107, 1.0]], ['2, k, 17', [0.0841416, -0.823637, 1.0]], ['2, k, 18', [0.11428, -1.24881, 1.0]], ['2, k, 19', [0.107313, -1.27947, 1.0]], ['2, k, 20', [-0.0102221, 0.206107, 1.0]], ['2, k, 21', [-0.113871, 0.0849618, 1.0]], ['2, k, 22', [-0.118306, 0.0538125, 1.0]], ['2, k, 23', [0.169129, 0.0128251, 1.0]], ['2, k, 24', [0.212922, 0.0196537, 1.0]]]
[['2, k, 0', [-0.00619384, -0.409894, 1.0]], ['2, k, 1', [-0.00806878, -0.0544642, 1.0]], ['2, k, 2', [-0.0119181, 0.287321, 1.0]], ['2, k, 3', [-0.0081229, 0.416798, 1.0]], ['2, k, 4', [-0.15415, 0.225061, 1.0]], ['2, k, 5', [-0.24322, 0.170481, 1.0]], ['2, k, 6', [-0.203706, 0.134295, 1.0]], ['2, k, 7', [-0.15731, 0.130642, 1.0]], ['2, k, 8', [0.132168, 0.189686, 1.0]], ['2, k, 9', [0.252704, 0.142758, 1.0]], ['2, k, 10', [0.171294, 0.0818309, 1.0]], ['2, k, 11', [0.182321, 0.0870455, 1.0]], ['2, k, 12', [-0.0744712, -0.398155, 1.0]], ['2, k, 13', [-0.31766, -0.625314, 1.0]], ['2, k, 14', [-0.284919, -1.20981, 1.0]], ['2, k, 15', [-0.168069, -1.25004, 1.0]], ['2, k, 16', [0.0620619, -0.4124, 1.0]], ['2, k, 17', [0.0845872, -0.823125, 1.0]], ['2, k, 18', [0.116725, -1.25853, 1.0]], ['2, k, 19', [0.109591, -1.28346, 1.0]], ['2, k, 20', [-0.0103516, 0.205081, 1.0]], ['2, k, 21', [-0.114307, 0.149415, 1.0]], ['2, k, 22', [-0.11285, 0.111977, 1.0]], ['2, k, 23', [0.171209, 0.0926538, 1.0]], ['2, k, 24', [0.211288, 0.0854964, 1.0]]]
[['2, k, 0', [-0.00773791, -0.397744, 1.0]], ['2, k, 1', [-0.00873135, -0.0529429, 1.0]], ['2, k, 2', [-0.0119363, 0.286604, 1.0]], ['2, k, 3', [-0.00778234, 0.41429, 1.0]], ['2, k, 4', [-0.154254, 0.225197, 1.0]], ['2, k, 5', [-0.243946, 0.171095, 1.0]], ['2, k, 6', [-0.214098, 0.150069, 1.0]], ['2, k, 7', [-0.150514, 0.186022, 1.0]], ['2, k, 8', [0.129315, 0.190844, 1.0]], ['2, k, 9', [0.251833, 0.14491, 1.0]], ['2, k, 10', [0.223389, 0.120121, 1.0]], ['2, k, 11', [0.176004, 0.14422, 1.0]], ['2, k, 12', [-0.0754695, -0.385313, 1.0]], ['2, k, 13', [-0.314449, -0.62342, 1.0]], ['2, k, 14', [-0.27567, -1.21568, 1.0]], ['2, k, 15', [-0.184119, -1.24523, 1.0]], ['2, k, 16', [0.0600144, -0.40015, 1.0]], ['2, k, 17', [0.0853518, -0.825009, 1.0]], ['2, k, 18', [0.116803, -1.26654, 1.0]], ['2, k, 19', [0.103049, -1.27866, 1.0]], ['2, k, 20', [-0.0105204, 0.204464, 1.0]], ['2, k, 21', [-0.118373, 0.209774, 1.0]], ['2, k, 22', [-0.112881, 0.16231, 1.0]], ['2, k, 23', [0.170113, 0.153711, 1.0]], ['2, k, 24', [0.202683, 0.151696, 1.0]]]
[['2, k, 0', [-0.00843808, -0.3674, 1.0]], ['2, k, 1', [-0.00968756, -0.0457676, 1.0]], ['2, k, 2', [-0.0121462, 0.285224, 1.0]], ['2, k, 3', [-0.00771957, 0.413377, 1.0]], ['2, k, 4', [-0.14616, 0.154245, 1.0]], ['2, k, 5', [-0.203207, 0.183056, 1.0]], ['2, k, 6', [-0.151559, 0.235387, 1.0]], ['2, k, 7', [-0.150838, 0.239556, 1.0]], ['2, k, 8', [0.122645, 0.189286, 1.0]], ['2, k, 9', [0.241706, 0.124309, 1.0]], ['2, k, 10', [0.206079, 0.164226, 1.0]], ['2, k, 11', [0.179364, 0.196904, 1.0]], ['2, k, 12', [-0.0753693, -0.373654, 1.0]], ['2, k, 13', [-0.119229, -0.827597, 1.0]], ['2, k, 14', [-0.127362, -1.25313, 1.0]], ['2, k, 15', [-0.105909, -1.27527, 1.0]], ['2, k, 16', [0.0582194, -0.345871, 1.0]], ['2, k, 17', [0.0866178, -0.80398, 1.0]], ['2, k, 18', [0.114216, -1.22937, 1.0]], ['2, k, 19', [0.105047, -1.26508, 1.0]], ['2, k, 20', [-0.0109201, 0.20378, 1.0]], ['2, k, 21', [-0.112938, 0.264577, 1.0]], ['2, k, 22', [-0.111608, 0.214317, 1.0]], ['2, k, 23', [0.171111, 0.219798, 1.0]], ['2, k, 24', [0.213248, 0.204073, 1.0]]]
[['2, k, 0', [-0.0080724, -0.366362, 1.0]], ['2, k, 1', [-0.0107696, -0.0434302, 1.0]], ['2, k, 2', [-0.0140964, 0.2842, 1.0]], ['2, k, 3', [-0.00806875, 0.413147, 1.0]], ['2, k, 4', [-0.146596, 0.166056, 1.0]], ['2, k, 5', [-0.235807, 0.201747, 1.0]], ['2, k, 6', [-0.186793, 0.262395, 1.0]], ['2, k, 7', [-0.146513, 0.29192, 1.0]], ['2, k, 8', [0.123037, 0.190109, 1.0]], ['2, k, 9', [0.229308, 0.187643, 1.0]], ['2, k, 10', [0.215888, 0.192352, 1.0]], ['2, k, 11', [0.181545, 0.248035, 1.0]], ['2, k, 12', [-0.0745294, -0.37004, 1.0]], ['2, k, 13', [-0.119539, -0.819015, 1.0]], ['2, k, 14', [-0.128074, -1.23272, 1.0]], ['2, k, 15', [-0.144203, -1.27032, 1.0]], ['2, k, 16', [0.0585918, -0.347058, 1.0]], ['2, k, 17', [0.0882028, -0.810549, 1.0]], ['2, k, 18', [0.111506, -1.22408, 1.0]], ['2, k, 19', [0.100158, -1.26373, 1.0]], ['2, k, 20', [-0.0127804, 0.203406, 1.0]], ['2, k, 21', [-0.131526, 0.330523, 1.0]], ['2, k, 22', [-0.108506, 0.26005, 1.0]], ['2, k, 23', [0.172495, 0.272662, 1.0]], ['2, k, 24', [0.218776, 0.256815, 1.0]]]
[['2, k, 0', [-0.0072167, -0.354076, 1.0]], ['2, k, 1', [-0.012069, -0.0399882, 1.0]], ['2, k, 2', [-0.0172355, 0.280595, 1.0]], ['2, k, 3', [-0.00845968, 0.411194, 1.0]], ['2, k, 4', [-0.149839, 0.186335, 1.0]], ['2, k, 5', [-0.237825, 0.231889, 1.0]], ['2, k, 6', [-0.168323, 0.318327, 1.0]], ['2, k, 7', [-0.144551, 0.34264, 1.0]], ['2, k, 8', [0.113229, 0.204108, 1.0]], ['2, k, 9', [0.209018, 0.203504, 1.0]], ['2, k, 10', [0.212051, 0.265849, 1.0]], ['2, k, 11', [0.18058, 0.296878, 1.0]], ['2, k, 12', [-0.0730027, -0.353568, 1.0]], ['2, k, 13', [-0.126344, -0.831873, 1.0]], ['2, k, 14', [-0.120511, -1.23077, 1.0]], ['2, k, 15', [-0.141623, -1.28898, 1.0]], ['2, k, 16', [0.0588155, -0.342804, 1.0]], ['2, k, 17', [0.0886193, -0.81615, 1.0]], ['2, k, 18', [0.112964, -1.21673, 1.0]], ['2, k, 19', [0.168489, -1.26885, 1.0]], ['2, k, 20', [-0.0147944, 0.202128, 1.0]], ['2, k, 21', [-0.136445, 0.384731, 1.0]], ['2, k, 22', [-0.102496, 0.307766, 1.0]], ['2, k, 23', [0.167991, 0.328094, 1.0]], ['2, k, 24', [0.218474, 0.305336, 1.0]]]
[['2, k, 0', [-0.0071941, -0.357253, 1.0]], ['2, k, 1', [-0.0121079, -0.0403837, 1.0]], ['2, k, 2', [-0.0173189, 0.278821, 1.0]], ['2, k, 3', [-0.00811502, 0.407307, 1.0]], ['2, k, 4', [-0.150539, 0.18615, 1.0]], ['2, k, 5', [-0.228201, 0.257772, 1.0]], ['2, k, 6', [-0.168825, 0.335776, 1.0]], ['2, k, 7', [-0.142411, 0.388809, 1.0]], ['2, k, 8', [0.112778, 0.20456, 1.0]], ['2, k, 9', [0.209737, 0.226611, 1.0]], ['2, k, 10', [0.206217, 0.289674, 1.0]], ['2, k, 11', [0.175325, 0.348641, 1.0]], ['2, k, 12', [-0.0733925, -0.355558, 1.0]], ['2, k, 13', [-0.127264, -0.84305, 1.0]], ['2, k, 14', [-0.121894, -1.23166, 1.0]], ['2, k, 15', [-0.113563, -1.29518, 1.0]], ['2, k, 16', [0.0595819, -0.349599, 1.0]], ['2, k, 17', [0.0886725, -0.816196, 1.0]], ['2, k, 18', [0.113527, -1.20913, 1.0]], ['2, k, 19', [0.0771484, -1.27832, 1.0]], ['2, k, 20', [-0.0150669, 0.200654, 1.0]], ['2, k, 21', [-0.122565, 0.435154, 1.0]], ['2, k, 22', [-0.0967735, 0.350851, 1.0]], ['2, k, 23', [0.162359, 0.383535, 1.0]], ['2, k, 24', [0.213703, 0.358446, 1.0]]]
[['2, k, 0', [-0.00597627, -0.355524, 1.0]], ['2, k, 1', [-0.0110428, -0.0364168, 1.0]], ['2, k, 2', [-0.0169084, 0.280564, 1.0]], ['2, k, 3', [-0.00808286, 0.406682, 1.0]], ['2, k, 4', [-0.151854, 0.18763, 1.0]], ['2, k, 5', [-0.235702, 0.286412, 1.0]], ['2, k, 6', [-0.162643, 0.383635, 1.0]], ['2, k, 7', [-0.14176, 0.435852, 1.0]], ['2, k, 8', [0.111351, 0.209183, 1.0]], ['2, k, 9', [0.215091, 0.244353, 1.0]], ['2, k, 10', [0.19957, 0.333373, 1.0]], ['2, k, 11', [0.176022, 0.393752, 1.0]], ['2, k, 12', [-0.0729884, -0.353459, 1.0]], ['2, k, 13', [-0.128048, -0.848511, 1.0]], ['2, k, 14', [-0.123845, -1.2285, 1.0]], ['2, k, 15', [-0.136032, -1.27525, 1.0]], ['2, k, 16', [0.0615621, -0.348283, 1.0]], ['2, k, 17', [0.0891964, -0.815552, 1.0]], ['2, k, 18', [0.109883, -1.2107, 1.0]], ['2, k, 19', [0.116513, -1.27103, 1.0]], ['2, k, 20', [-0.0147484, 0.202647, 1.0]], ['2, k, 21', [-0.123197, 0.482001, 1.0]], ['2, k, 22', [-0.0909737, 0.39278, 1.0]], ['2, k, 23', [0.161734, 0.435622, 1.0]], ['2, k, 24', [0.124909, 0.369699, 1.0]]]
