[['2, k, 0', [0.1534387, -0.01775484, 1.0]], ['2, k, 1', [0.1472234, 0.3085755, 1.0]], ['2, k, 2', [0.1407519, 0.6237952, 1.0]], ['2, k, 3', [0.1430968, 0.7695581, 1.0]], ['2, k, 4', [-0.03523092, 0.496755, 1.0]], ['2, k, 5', [-0.07760227, 0.2453124, 1.0]], ['2, k, 6', [-0.08532278, 0.01672243, 1.0]], ['2, k, 7', [-0.09756719, -0.05389881, 1.0]], ['2, k, 8', [0.3117006, 0.4910524, 1.0]], ['2, k, 9', [0.3584162, 0.2366808, 1.0]], ['2, k, 10', [0.3762338, 0.03397045, 1.0]], ['2, k, 11', [0.361618, -0.01024591, 1.0]], ['2, k, 12', [0.07250971, -0.01914639, 1.0]], ['2, k, 13', [0.02069837, -0.3136125, 1.0]], ['2, k, 14', [-0.007674982, -0.6070407, 1.0]], ['2, k, 15', [-0.03067947, -0.674242, 1.0]], ['2, k, 16', [0.2298303, -0.01591535, 1.0]], ['2, k, 17', [0.2841435, -0.3147362, 1.0]], ['2, k, 18', [0.3128458, -0.6147591, 1.0]], ['2, k, 19', [0.3388732, -0.674047, 1.0]], ['2, k, 20', [0.1424784, 0.5465494, 1.0]], ['2, k, 21', [-0.112876, -0.1210969, 1.0]], ['2, k, 22', [-0.1304073, -0.041901, 1.0]], ['2, k, 23', [0.3598513, -0.08009145, 1.0]], ['2, k, 24', [0.3204209, -0.01136969, 1.0]]]
[['2, k, 0', [0.154191, -0.01824421, 1.0]], ['2, k, 1', [0.1474716, 0.30825, 1.0]], ['2, k, 2', [0.1407318, 0.6236058, 1.0]], ['2, k, 3', [0.1434091, 0.7689115, 1.0]], ['2, k, 4', [-0.03415303, 0.4968631, 1.0]], ['2, k, 5', [-0.08242811, 0.250362, 1.0]], ['2, k, 6', [-0.1075405, 0.04393496, 1.0]], ['2, k, 7', [-0.1170224, -0.03369374, 1.0]], ['2, k, 8', [0.3125735, 0.4906117, 1.0]], ['2, k, 9', [0.3590091, 0.2361762, 1.0]], ['2, k, 10', [0.3777725, 0.03310704, 1.0]], ['2, k, 11', [0.3629807, -0.0142171, 1.0]], ['2, k, 12', [0.07324803, -0.01967637, 1.0]], ['2, k, 13', [0.02105531, -0.3139601, 1.0]], ['2, k, 14', [-0.007651994, -0.607077, 1.0]], ['2, k, 15', [-0.03069112, -0.6742881, 1.0]], ['2, k, 16', [0.230583, -0.01634464, 1.0]], ['2, k, 17', [0.2841458, -0.3137881, 1.0]], ['2, k, 18', [0.3127671, -0.6146051, 1.0]], ['2, k, 19', [0.3389739, -0.6739764, 1.0]], ['2, k, 20', [0.1425077, 0.5463361, 1.0]], ['2, k, 21', [-0.1254957, -0.1039507, 1.0]], ['2, k, 22', [-0.1541021, -0.02680207, 1.0]], ['2, k, 23', [0.3584038, -0.08622296, 1.0]], ['2, k, 24', [0.3232273, -0.03279289, 1.0]]]
[['2, k, 0', [0.1558785, -0.01902686, 1.0]], ['2, k, 1', [0.1480956, 0.3078946, 1.0]], ['2, k, 2', [0.1407707, 0.6235437, 1.0]], ['2, k, 3', [0.1437828, 0.7688686, 1.0]], ['2, k, 4', [-0.03308611, 0.4971343, 1.0]], ['2, k, 5', [-0.08625767, 0.2619057, 1.0]], ['2, k, 6', [-0.1268039, 0.07104963, 1.0]], ['2, k, 7', [-0.1430284, -0.006421429, 1.0]], ['2, k, 8', [0.3137117, 0.4898993, 1.0]], ['2, k, 9', [0.3597833, 0.2351301, 1.0]], ['2, k, 10', [0.379074, 0.02961255, 1.0]], ['2, k, 11', [0.366826, -0.01624581, 1.0]], ['2, k, 12', [0.07467902, -0.02030739, 1.0]], ['2, k, 13', [0.02190487, -0.3130164, 1.0]], ['2, k, 14', [-0.007587945, -0.6070305, 1.0]], ['2, k, 15', [-0.03064829, -0.6744055, 1.0]], ['2, k, 16', [0.2325757, -0.01729771, 1.0]], ['2, k, 17', [0.284771, -0.3157079, 1.0]], ['2, k, 18', [0.3126707, -0.6155477, 1.0]], ['2, k, 19', [0.3390653, -0.6737692, 1.0]], ['2, k, 20', [0.1426384, 0.5462207, 1.0]], ['2, k, 21', [-0.157328, -0.07478387, 1.0]], ['2, k, 22', [-0.178817, -0.01394399, 1.0]], ['2, k, 23', [0.3689097, -0.09481116, 1.0]], ['2, k, 24', [0.3234332, -0.02269501, 1.0]]]
[['2, k, 0', [0.156392, -0.0191322, 1.0]], ['2, k, 1', [0.1485511, 0.3078628, 1.0]], ['2, k, 2', [0.1410092, 0.6237085, 1.0]], ['2, k, 3', [0.1444702, 0.7686583, 1.0]], ['2, k, 4', [-0.03201064, 0.49725, 1.0]], ['2, k, 5', [-0.09697736, 0.2886185, 1.0]], ['2, k, 6', [-0.1460803, 0.1066609, 1.0]], ['2, k, 7', [-0.1659924, 0.03073774, 1.0]], ['2, k, 8', [0.3139796, 0.4901115, 1.0]], ['2, k, 9', [0.3614874, 0.2354087, 1.0]], ['2, k, 10', [0.3800662, 0.02876133, 1.0]], ['2, k, 11', [0.3678363, -0.01688574, 1.0]], ['2, k, 12', [0.07521831, -0.02039766, 1.0]], ['2, k, 13', [0.02197202, -0.3131138, 1.0]], ['2, k, 14', [-0.007275945, -0.6071828, 1.0]], ['2, k, 15', [-0.03023689, -0.6742107, 1.0]], ['2, k, 16', [0.2330352, -0.01740375, 1.0]], ['2, k, 17', [0.28493, -0.3162331, 1.0]], ['2, k, 18', [0.31268, -0.6154274, 1.0]], ['2, k, 19', [0.3391154, -0.6738296, 1.0]], ['2, k, 20', [0.1429443, 0.5463165, 1.0]], ['2, k, 21', [-0.1730349, -0.03424843, 1.0]], ['2, k, 22', [-0.2075545, 0.0003668252, 1.0]], ['2, k, 23', [0.362415, -0.09582159, 1.0]], ['2, k, 24', [0.3258115, -0.02996282, 1.0]]]
[['2, k, 0', [0.157005, -0.01915931, 1.0]], ['2, k, 1', [0.148984, 0.3078389, 1.0]], ['2, k, 2', [0.1411134, 0.6237821, 1.0]], ['2, k, 3', [0.1449148, 0.7689564, 1.0]], ['2, k, 4', [-0.03027115, 0.4982042, 1.0]], ['2, k, 5', [-0.1009561, 0.3231395, 1.0]], ['2, k, 6', [-0.1573156, 0.1781497, 1.0]], ['2, k, 7', [-0.1848598, 0.09980223, 1.0]], ['2, k, 8', [0.314611, 0.4899758, 1.0]], ['2, k, 9', [0.3621035, 0.2350345, 1.0]], ['2, k, 10', [0.3809618, 0.02857394, 1.0]], ['2, k, 11', [0.3692149, -0.0142858, 1.0]], ['2, k, 12', [0.0758396, -0.02043082, 1.0]], ['2, k, 13', [0.02194804, -0.3135936, 1.0]], ['2, k, 14', [-0.006921222, -0.6079181, 1.0]], ['2, k, 15', [-0.0325295, -0.6750106, 1.0]], ['2, k, 16', [0.233604, -0.01741106, 1.0]], ['2, k, 17', [0.2856561, -0.3170821, 1.0]], ['2, k, 18', [0.3126265, -0.6152269, 1.0]], ['2, k, 19', [0.3393634, -0.6740158, 1.0]], ['2, k, 20', [0.1431511, 0.5463492, 1.0]], ['2, k, 21', [-0.2055897, 0.03888046, 1.0]], ['2, k, 22', [-0.237162, 0.04236142, 1.0]], ['2, k, 23', [0.3695374, -0.09267834, 1.0]], ['2, k, 24', [0.3311006, -0.04439339, 1.0]]]
[['2, k, 0', [0.1571446, -0.01939169, 1.0]], ['2, k, 1', [0.1494451, 0.3074988, 1.0]], ['2, k, 2', [0.1419054, 0.6235293, 1.0]], ['2, k, 3', [0.1455733, 0.7679559, 1.0]], ['2, k, 4', [-0.02857431, 0.4987848, 1.0]], ['2, k, 5', [-0.101356, 0.3432326, 1.0]], ['2, k, 6', [-0.1688419, 0.2258631, 1.0]], ['2, k, 7', [-0.2025281, 0.1566583, 1.0]], ['2, k, 8', [0.3155259, 0.4891046, 1.0]], ['2, k, 9', [0.3636147, 0.2340757, 1.0]], ['2, k, 10', [0.3825597, 0.03307844, 1.0]], ['2, k, 11', [0.3691913, -0.009248529, 1.0]], ['2, k, 12', [0.07590804, -0.02069411, 1.0]], ['2, k, 13', [0.02205505, -0.3140008, 1.0]], ['2, k, 14', [-0.007290441, -0.6086749, 1.0]], ['2, k, 15', [-0.03251825, -0.6751077, 1.0]], ['2, k, 16', [0.2337975, -0.01760331, 1.0]], ['2, k, 17', [0.2856223, -0.3162954, 1.0]], ['2, k, 18', [0.3126039, -0.6153138, 1.0]], ['2, k, 19', [0.3394654, -0.6740026, 1.0]], ['2, k, 20', [0.1438649, 0.5460458, 1.0]], ['2, k, 21', [-0.2542343, 0.1167931, 1.0]], ['2, k, 22', [-0.1473612, 0.1445004, 1.0]], ['2, k, 23', [0.3669209, -0.08674473, 1.0]], ['2, k, 24', [0.3299851, -0.03674857, 1.0]]]
[['2, k, 0', [0.1572158, -0.0193982, 1.0]], ['2, k, 1', [0.1495314, 0.3074495, 1.0]], ['2, k, 2', [0.1418444, 0.623467, 1.0]], ['2, k, 3', [0.1461348, 0.7680093, 1.0]], ['2, k, 4', [-0.0263902, 0.500603, 1.0]], ['2, k, 5', [-0.1152628, 0.3767276, 1.0]], ['2, k, 6', [-0.1808727, 0.2975591, 1.0]], ['2, k, 7', [-0.2100815, 0.243031, 1.0]], ['2, k, 8', [0.3161753, 0.4892478, 1.0]], ['2, k, 9', [0.3644281, 0.2343334, 1.0]], ['2, k, 10', [0.3825083, 0.03933554, 1.0]], ['2, k, 11', [0.3685663, -0.001937645, 1.0]], ['2, k, 12', [0.0759604, -0.0207352, 1.0]], ['2, k, 13', [0.02186376, -0.3149241, 1.0]], ['2, k, 14', [-0.007072754, -0.6088596, 1.0]], ['2, k, 15', [-0.03258849, -0.675287, 1.0]], ['2, k, 16', [0.2338817, -0.01756214, 1.0]], ['2, k, 17', [0.2853137, -0.3150769, 1.0]], ['2, k, 18', [0.3128729, -0.615267, 1.0]], ['2, k, 19', [0.3394427, -0.6740111, 1.0]], ['2, k, 20', [0.1438542, 0.5459797, 1.0]], ['2, k, 21', [-0.2426198, 0.1994964, 1.0]], ['2, k, 22', [-0.1671354, 0.2293488, 1.0]], ['2, k, 23', [0.366006, -0.07962949, 1.0]], ['2, k, 24', [0.3285534, -0.03177609, 1.0]]]
[['2, k, 0', [0.1572645, -0.0192503, 1.0]], ['2, k, 1', [0.1496509, 0.3074999, 1.0]], ['2, k, 2', [0.1419753, 0.6233534, 1.0]], ['2, k, 3', [0.146921, 0.7678735, 1.0]], ['2, k, 4', [-0.0225185, 0.5047348, 1.0]], ['2, k, 5', [-0.1195445, 0.4077245, 1.0]], ['2, k, 6', [-0.1763634, 0.370951, 1.0]], ['2, k, 7', [-0.2079457, 0.3276121, 1.0]], ['2, k, 8', [0.3168046, 0.4891698, 1.0]], ['2, k, 9', [0.3643814, 0.236114, 1.0]], ['2, k, 10', [0.3828234, 0.04558938, 1.0]], ['2, k, 11', [0.3690557, 0.006408223, 1.0]], ['2, k, 12', [0.07599989, -0.02057001, 1.0]], ['2, k, 13', [0.02155324, -0.3154176, 1.0]], ['2, k, 14', [-0.007339742, -0.6099818, 1.0]], ['2, k, 15', [-0.03268998, -0.6753523, 1.0]], ['2, k, 16', [0.2339384, -0.01743181, 1.0]], ['2, k, 17', [0.2855831, -0.3202258, 1.0]], ['2, k, 18', [0.3129831, -0.6152433, 1.0]], ['2, k, 19', [0.3394459, -0.6740074, 1.0]], ['2, k, 20', [0.1439874, 0.5459088, 1.0]], ['2, k, 21', [-0.2409482, 0.2993163, 1.0]], ['2, k, 22', [-0.1770154, 0.3121562, 1.0]], ['2, k, 23', [0.360748, -0.07196039, 1.0]], ['2, k, 24', [0.331937, -0.02425122, 1.0]]]
[['2, k, 0', [0.1570995, -0.01866977, 1.0]], ['2, k, 1', [0.14943, 0.3079374, 1.0]], ['2, k, 2', [0.1416096, 0.6236508, 1.0]], ['2, k, 3', [0.1474364, 0.7680069, 1.0]], ['2, k, 4', [-0.01996871, 0.5080627, 1.0]], ['2, k, 5', [-0.1263118, 0.4297574, 1.0]], ['2, k, 6', [-0.175544, 0.4199826, 1.0]], ['2, k, 7', [-0.2073948, 0.4129252, 1.0]], ['2, k, 8', [0.3170604, 0.4892488, 1.0]], ['2, k, 9', [0.3646142, 0.2368212, 1.0]], ['2, k, 10', [0.3820193, 0.04752216, 1.0]], ['2, k, 11', [0.3679846, 0.007236755, 1.0]], ['2, k, 12', [0.07579394, -0.01985826, 1.0]], ['2, k, 13', [0.02133644, -0.3159054, 1.0]], ['2, k, 14', [-0.007341799, -0.6100835, 1.0]], ['2, k, 15', [-0.03271548, -0.6752675, 1.0]], ['2, k, 16', [0.2338082, -0.0169797, 1.0]], ['2, k, 17', [0.2857378, -0.3204745, 1.0]], ['2, k, 18', [0.3129518, -0.6149271, 1.0]], ['2, k, 19', [0.3394847, -0.6739966, 1.0]], ['2, k, 20', [0.143662, 0.54624, 1.0]], ['2, k, 21', [-0.2436669, 0.3995318, 1.0]], ['2, k, 22', [-0.1780843, 0.4031599, 1.0]], ['2, k, 23', [0.3680576, -0.07624611, 1.0]], ['2, k, 24', [0.3283667, -0.004763763, 1.0]]]
[['2, k, 0', [0.1571217, -0.01776501, 1.0]], ['2, k, 1', [0.1495378, 0.3083499, 1.0]], ['2, k, 2', [0.1417318, 0.6237155, 1.0]], ['2, k, 3', [0.1475472, 0.7676989, 1.0]], ['2, k, 4', [-0.01676271, 0.5120842, 1.0]], ['2, k, 5', [-0.1391302, 0.4806315, 1.0]], ['2, k, 6', [-0.1863756, 0.4508018, 1.0]], ['2, k, 7', [-0.2092689, 0.491534, 1.0]], ['2, k, 8', [0.3170757, 0.4890716, 1.0]], ['2, k, 9', [0.3639471, 0.2378649, 1.0]], ['2, k, 10', [0.3815498, 0.04918405, 1.0]], ['2, k, 11', [0.3681506, 0.01465043, 1.0]], ['2, k, 12', [0.07581937, -0.01901092, 1.0]], ['2, k, 13', [0.02128749, -0.3162317, 1.0]], ['2, k, 14', [-0.007025757, -0.6099847, 1.0]], ['2, k, 15', [-0.03306714, -0.6752707, 1.0]], ['2, k, 16', [0.2338146, -0.01600012, 1.0]], ['2, k, 17', [0.2859375, -0.3206599, 1.0]], ['2, k, 18', [0.312822, -0.6149865, 1.0]], ['2, k, 19', [0.3394912, -0.6739935, 1.0]], ['2, k, 20', [0.1437828, 0.5463802, 1.0]], ['2, k, 21', [-0.2107219, 0.4961139, 1.0]], ['2, k, 22', [-0.1709899, 0.4970558, 1.0]], ['2, k, 23', [0.3639189, -0.05764205, 1.0]], ['2, k, 24', [0.3273877, 0.001561428, 1.0]]]
[['2, k, 0', [0.1566531, -0.01612666, 1.0]], ['2, k, 1', [0.1488595, 0.3093126, 1.0]], ['2, k, 2', [0.1407461, 0.6241723, 1.0]], ['2, k, 3', [0.1475253, 0.7681493, 1.0]], ['2, k, 4', [-0.014625, 0.5184706, 1.0]], ['2, k, 5', [-0.146103, 0.5288481, 1.0]], ['2, k, 6', [-0.1878309, 0.5706711, 1.0]], ['2, k, 7', [-0.2210217, 0.5817105, 1.0]], ['2, k, 8', [0.3166689, 0.4887554, 1.0]], ['2, k, 9', [0.363459, 0.2398265, 1.0]], ['2, k, 10', [0.3808731, 0.05110312, 1.0]], ['2, k, 11', [0.3663104, 0.01658184, 1.0]], ['2, k, 12', [0.07539, -0.01712259, 1.0]], ['2, k, 13', [0.02139029, -0.3163258, 1.0]], ['2, k, 14', [-0.006982054, -0.6106699, 1.0]], ['2, k, 15', [-0.03328865, -0.6753799, 1.0]], ['2, k, 16', [0.2332911, -0.01460264, 1.0]], ['2, k, 17', [0.2868285, -0.3200952, 1.0]], ['2, k, 18', [0.3128174, -0.6149723, 1.0]], ['2, k, 19', [0.3394397, -0.6739687, 1.0]], ['2, k, 20', [0.1428817, 0.5469543, 1.0]], ['2, k, 21', [-0.2666394, 0.5924268, 1.0]], ['2, k, 22', [-0.18063, 0.5745264, 1.0]], ['2, k, 23', [0.3617269, -0.05536117, 1.0]], ['2, k, 24', [0.327601, 0.002140596, 1.0]]]
