[['2, k, 0', [-0.1007502, 0.0303926, 1.0]], ['2, k, 1', [-0.09737479, 0.3130929, 1.0]], ['2, k, 2', [-0.09367657, 0.5868909, 1.0]], ['2, k, 3', [-0.102945, 0.7285631, 1.0]], ['2, k, 4', [-0.2623001, 0.4480231, 1.0]], ['2, k, 5', [-0.3074163, 0.2256233, 1.0]], ['2, k, 6', [-0.2942641, 0.02543383, 1.0]], ['2, k, 7', [-0.2843303, -0.01306128, 1.0]], ['2, k, 8', [0.05550459, 0.4740931, 1.0]], ['2, k, 9', [0.09166323, 0.2132471, 1.0]], ['2, k, 10', [0.1161201, 0.01391382, 1.0]], ['2, k, 11', [0.1122764, -0.04818666, 1.0]], ['2, k, 12', [-0.1619026, 0.02832492, 1.0]], ['2, k, 13', [-0.179548, -0.2694144, 1.0]], ['2, k, 14', [-0.2114766, -0.5775594, 1.0]], ['2, k, 15', [-0.2224834, -0.660799, 1.0]], ['2, k, 16', [-0.0370874, 0.03151316, 1.0]], ['2, k, 17', [-0.03126074, -0.2776352, 1.0]], ['2, k, 18', [-0.01425092, -0.5694754, 1.0]], ['2, k, 19', [-0.005677072, -0.649137, 1.0]], ['2, k, 20', [-0.09466588, 0.5195887, 1.0]], ['2, k, 21', [-0.2868967, -0.06119944, 1.0]], ['2, k, 22', [-0.2479077, -0.01145177, 1.0]], ['2, k, 23', [0.1091855, -0.1072944, 1.0]], ['2, k, 24', [0.1466673, -0.04200893, 1.0]]]
[['2, k, 0', [-0.1007423, 0.03018363, 1.0]], ['2, k, 1', [-0.0974496, 0.3129773, 1.0]], ['2, k, 2', [-0.09381171, 0.58688, 1.0]], ['2, k, 3', [-0.1030648, 0.7286369, 1.0]], ['2, k, 4', [-0.2622578, 0.447684, 1.0]], ['2, k, 5', [-0.3073657, 0.2256112, 1.0]], ['2, k, 6', [-0.2942891, 0.02544467, 1.0]], ['2, k, 7', [-0.2842905, -0.01231211, 1.0]], ['2, k, 8', [0.05555364, 0.4738848, 1.0]], ['2, k, 9', [0.09165433, 0.2130644, 1.0]], ['2, k, 10', [0.1194399, 0.01417109, 1.0]], ['2, k, 11', [0.1165966, -0.04283064, 1.0]], ['2, k, 12', [-0.1619743, 0.0281412, 1.0]], ['2, k, 13', [-0.179441, -0.2693994, 1.0]], ['2, k, 14', [-0.2116131, -0.5776712, 1.0]], ['2, k, 15', [-0.2191843, -0.6608762, 1.0]], ['2, k, 16', [-0.03698464, 0.03129688, 1.0]], ['2, k, 17', [-0.03120878, -0.2775425, 1.0]], ['2, k, 18', [-0.01417068, -0.5694987, 1.0]], ['2, k, 19', [-0.006038675, -0.6491189, 1.0]], ['2, k, 20', [-0.09478125, 0.5195552, 1.0]], ['2, k, 21', [-0.2901442, -0.06226048, 1.0]], ['2, k, 22', [-0.2482979, -0.01049919, 1.0]], ['2, k, 23', [0.1192637, -0.1056667, 1.0]], ['2, k, 24', [0.1524733, -0.05056554, 1.0]]]
[['2, k, 0', [-0.1008938, 0.02983553, 1.0]], ['2, k, 1', [-0.09750615, 0.3126949, 1.0]], ['2, k, 2', [-0.09377017, 0.5867594, 1.0]], ['2, k, 3', [-0.1031302, 0.7283874, 1.0]], ['2, k, 4', [-0.2622329, 0.4477752, 1.0]], ['2, k, 5', [-0.3074238, 0.2260163, 1.0]], ['2, k, 6', [-0.2943482, 0.0259003, 1.0]], ['2, k, 7', [-0.2846008, -0.01184393, 1.0]], ['2, k, 8', [0.05548767, 0.4737432, 1.0]], ['2, k, 9', [0.09166428, 0.2134586, 1.0]], ['2, k, 10', [0.1278126, 0.01673625, 1.0]], ['2, k, 11', [0.1284616, -0.03832733, 1.0]], ['2, k, 12', [-0.1621492, 0.02782714, 1.0]], ['2, k, 13', [-0.1798026, -0.2699061, 1.0]], ['2, k, 14', [-0.2110559, -0.5813802, 1.0]], ['2, k, 15', [-0.2171772, -0.6647687, 1.0]], ['2, k, 16', [-0.03710558, 0.0309522, 1.0]], ['2, k, 17', [-0.03107755, -0.2771845, 1.0]], ['2, k, 18', [-0.01487949, -0.5685967, 1.0]], ['2, k, 19', [-0.00616187, -0.6484725, 1.0]], ['2, k, 20', [-0.09476555, 0.5193923, 1.0]], ['2, k, 21', [-0.2926851, -0.06184653, 1.0]], ['2, k, 22', [-0.2483363, -0.009739449, 1.0]], ['2, k, 23', [0.131401, -0.09492059, 1.0]], ['2, k, 24', [0.1622765, -0.02551257, 1.0]]]
[['2, k, 0', [-0.1009486, 0.02975297, 1.0]], ['2, k, 1', [-0.09758287, 0.312651, 1.0]], ['2, k, 2', [-0.0938673, 0.5869412, 1.0]], ['2, k, 3', [-0.103265, 0.7283325, 1.0]], ['2, k, 4', [-0.2621317, 0.4481603, 1.0]], ['2, k, 5', [-0.3073872, 0.225936, 1.0]], ['2, k, 6', [-0.2944361, 0.02583123, 1.0]], ['2, k, 7', [-0.2848168, -0.01238638, 1.0]], ['2, k, 8', [0.05522653, 0.4740913, 1.0]], ['2, k, 9', [0.09012596, 0.2221001, 1.0]], ['2, k, 10', [0.1339292, 0.04261919, 1.0]], ['2, k, 11', [0.1425956, 0.006979262, 1.0]], ['2, k, 12', [-0.1622118, 0.02771524, 1.0]], ['2, k, 13', [-0.1799479, -0.2699962, 1.0]], ['2, k, 14', [-0.2112542, -0.5809355, 1.0]], ['2, k, 15', [-0.2210486, -0.6621846, 1.0]], ['2, k, 16', [-0.03714875, 0.03090744, 1.0]], ['2, k, 17', [-0.03093026, -0.2765701, 1.0]], ['2, k, 18', [-0.01457895, -0.5682534, 1.0]], ['2, k, 19', [-0.005912289, -0.6481124, 1.0]], ['2, k, 20', [-0.09485966, 0.519501, 1.0]], ['2, k, 21', [-0.2885897, -0.06174331, 1.0]], ['2, k, 22', [-0.2489005, -0.007877631, 1.0]], ['2, k, 23', [0.1555954, -0.04930349, 1.0]], ['2, k, 24', [0.1765676, 0.0433539, 1.0]]]
[['2, k, 0', [-0.101019, 0.02984685, 1.0]], ['2, k, 1', [-0.09790327, 0.3127995, 1.0]], ['2, k, 2', [-0.09454632, 0.5872694, 1.0]], ['2, k, 3', [-0.1032682, 0.7287572, 1.0]], ['2, k, 4', [-0.2623335, 0.4490099, 1.0]], ['2, k, 5', [-0.3074415, 0.2259726, 1.0]], ['2, k, 6', [-0.2942657, 0.02588891, 1.0]], ['2, k, 7', [-0.2841944, -0.01100218, 1.0]], ['2, k, 8', [0.05476024, 0.4748111, 1.0]], ['2, k, 9', [0.08671136, 0.2304673, 1.0]], ['2, k, 10', [0.1401068, 0.0706527, 1.0]], ['2, k, 11', [0.1422988, 0.05005215, 1.0]], ['2, k, 12', [-0.1623529, 0.02786331, 1.0]], ['2, k, 13', [-0.1799418, -0.2700131, 1.0]], ['2, k, 14', [-0.2113644, -0.5805089, 1.0]], ['2, k, 15', [-0.2218651, -0.6623119, 1.0]], ['2, k, 16', [-0.03715912, 0.03096418, 1.0]], ['2, k, 17', [-0.0308, -0.2760065, 1.0]], ['2, k, 18', [-0.01441885, -0.5679373, 1.0]], ['2, k, 19', [-0.006390392, -0.6470296, 1.0]], ['2, k, 20', [-0.0954425, 0.5197806, 1.0]], ['2, k, 21', [-0.2911117, -0.06008418, 1.0]], ['2, k, 22', [-0.248275, -0.01058285, 1.0]], ['2, k, 23', [0.1487915, -0.001077264, 1.0]], ['2, k, 24', [0.1761505, 0.08092, 1.0]]]
[['2, k, 0', [-0.1010492, 0.02970356, 1.0]], ['2, k, 1', [-0.09785848, 0.3126911, 1.0]], ['2, k, 2', [-0.09431216, 0.5874212, 1.0]], ['2, k, 3', [-0.1034771, 0.7286543, 1.0]], ['2, k, 4', [-0.2622757, 0.4483753, 1.0]], ['2, k, 5', [-0.3072879, 0.225942, 1.0]], ['2, k, 6', [-0.2941411, 0.0258653, 1.0]], ['2, k, 7', [-0.2835466, -0.01236098, 1.0]], ['2, k, 8', [0.05475938, 0.4746902, 1.0]], ['2, k, 9', [0.08364039, 0.2369967, 1.0]], ['2, k, 10', [0.1397114, 0.09291599, 1.0]], ['2, k, 11', [0.1419259, 0.09767884, 1.0]], ['2, k, 12', [-0.1624457, 0.02759926, 1.0]], ['2, k, 13', [-0.1805125, -0.2690043, 1.0]], ['2, k, 14', [-0.2114952, -0.5802304, 1.0]], ['2, k, 15', [-0.2224951, -0.662662, 1.0]], ['2, k, 16', [-0.03715281, 0.0309149, 1.0]], ['2, k, 17', [-0.03072767, -0.2752256, 1.0]], ['2, k, 18', [-0.01484134, -0.567951, 1.0]], ['2, k, 19', [-0.02735887, -0.6495591, 1.0]], ['2, k, 20', [-0.09526746, 0.5198487, 1.0]], ['2, k, 21', [-0.2855337, -0.06799887, 1.0]], ['2, k, 22', [-0.2479672, -0.009753156, 1.0]], ['2, k, 23', [0.1609347, 0.05776153, 1.0]], ['2, k, 24', [0.1754688, 0.1233691, 1.0]]]
[['2, k, 0', [-0.1012132, 0.02941994, 1.0]], ['2, k, 1', [-0.09782866, 0.3126104, 1.0]], ['2, k, 2', [-0.09400354, 0.5876803, 1.0]], ['2, k, 3', [-0.1033459, 0.7287464, 1.0]], ['2, k, 4', [-0.2624012, 0.4485003, 1.0]], ['2, k, 5', [-0.3071553, 0.2259587, 1.0]], ['2, k, 6', [-0.2940931, 0.02591443, 1.0]], ['2, k, 7', [-0.2839587, -0.01355082, 1.0]], ['2, k, 8', [0.05447992, 0.4747119, 1.0]], ['2, k, 9', [0.08140401, 0.2420976, 1.0]], ['2, k, 10', [0.1436928, 0.143264, 1.0]], ['2, k, 11', [0.1402251, 0.1435329, 1.0]], ['2, k, 12', [-0.162628, 0.02729645, 1.0]], ['2, k, 13', [-0.1794829, -0.2684261, 1.0]], ['2, k, 14', [-0.2115257, -0.5802758, 1.0]], ['2, k, 15', [-0.2223075, -0.6626344, 1.0]], ['2, k, 16', [-0.03728521, 0.0306816, 1.0]], ['2, k, 17', [-0.03090701, -0.2746982, 1.0]], ['2, k, 18', [-0.01501347, -0.5670229, 1.0]], ['2, k, 19', [-0.02304341, -0.6493724, 1.0]], ['2, k, 20', [-0.09503864, 0.520013, 1.0]], ['2, k, 21', [-0.2858967, -0.06919523, 1.0]], ['2, k, 22', [-0.2480733, -0.008921439, 1.0]], ['2, k, 23', [0.152229, 0.1127184, 1.0]], ['2, k, 24', [0.1700705, 0.1564558, 1.0]]]
[['2, k, 0', [-0.101396, 0.02910923, 1.0]], ['2, k, 1', [-0.09800412, 0.31246, 1.0]], ['2, k, 2', [-0.0941664, 0.5878336, 1.0]], ['2, k, 3', [-0.1032458, 0.7290858, 1.0]], ['2, k, 4', [-0.2620758, 0.4489036, 1.0]], ['2, k, 5', [-0.3071492, 0.226084, 1.0]], ['2, k, 6', [-0.2939171, 0.02602672, 1.0]], ['2, k, 7', [-0.2841036, -0.01259031, 1.0]], ['2, k, 8', [0.05440021, 0.4746013, 1.0]], ['2, k, 9', [0.07915249, 0.2488696, 1.0]], ['2, k, 10', [0.1336387, 0.1628241, 1.0]], ['2, k, 11', [0.1450717, 0.1870281, 1.0]], ['2, k, 12', [-0.1628432, 0.0269727, 1.0]], ['2, k, 13', [-0.1805399, -0.2686486, 1.0]], ['2, k, 14', [-0.2111781, -0.5819905, 1.0]], ['2, k, 15', [-0.2228912, -0.6637334, 1.0]], ['2, k, 16', [-0.03742697, 0.03041287, 1.0]], ['2, k, 17', [-0.0305831, -0.273515, 1.0]], ['2, k, 18', [-0.01502376, -0.5671774, 1.0]], ['2, k, 19', [-0.01613359, -0.6490122, 1.0]], ['2, k, 20', [-0.09520569, 0.5200828, 1.0]], ['2, k, 21', [-0.2899934, -0.06695865, 1.0]], ['2, k, 22', [-0.2475993, -0.009215377, 1.0]], ['2, k, 23', [0.171247, 0.1828315, 1.0]], ['2, k, 24', [0.1656614, 0.204741, 1.0]]]
[['2, k, 0', [-0.1014455, 0.02879526, 1.0]], ['2, k, 1', [-0.09812332, 0.3123589, 1.0]], ['2, k, 2', [-0.09442881, 0.5880854, 1.0]], ['2, k, 3', [-0.1027181, 0.7293773, 1.0]], ['2, k, 4', [-0.2622741, 0.4489502, 1.0]], ['2, k, 5', [-0.3069096, 0.2255268, 1.0]], ['2, k, 6', [-0.2938899, 0.02549492, 1.0]], ['2, k, 7', [-0.2832667, -0.01250497, 1.0]], ['2, k, 8', [0.05439736, 0.4744988, 1.0]], ['2, k, 9', [0.07456169, 0.2702638, 1.0]], ['2, k, 10', [0.131872, 0.2785973, 1.0]], ['2, k, 11', [0.1424578, 0.2867756, 1.0]], ['2, k, 12', [-0.1630337, 0.0266861, 1.0]], ['2, k, 13', [-0.1811003, -0.2682479, 1.0]], ['2, k, 14', [-0.2112649, -0.5821422, 1.0]], ['2, k, 15', [-0.2228774, -0.6639017, 1.0]], ['2, k, 16', [-0.03728858, 0.02997653, 1.0]], ['2, k, 17', [-0.03062636, -0.2732223, 1.0]], ['2, k, 18', [-0.01507976, -0.5677561, 1.0]], ['2, k, 19', [-0.007965686, -0.6506351, 1.0]], ['2, k, 20', [-0.09542532, 0.5202309, 1.0]], ['2, k, 21', [-0.2852244, -0.0617974, 1.0]], ['2, k, 22', [-0.2477386, -0.01003624, 1.0]], ['2, k, 23', [0.1536537, 0.3128285, 1.0]], ['2, k, 24', [0.1796148, 0.3124777, 1.0]]]
[['2, k, 0', [-0.1013091, 0.02832413, 1.0]], ['2, k, 1', [-0.09783063, 0.3121831, 1.0]], ['2, k, 2', [-0.09395032, 0.5882221, 1.0]], ['2, k, 3', [-0.1023695, 0.7293884, 1.0]], ['2, k, 4', [-0.2620214, 0.4483282, 1.0]], ['2, k, 5', [-0.3067315, 0.225497, 1.0]], ['2, k, 6', [-0.2938874, 0.02546582, 1.0]], ['2, k, 7', [-0.2827916, -0.01239746, 1.0]], ['2, k, 8', [0.05374358, 0.4752817, 1.0]], ['2, k, 9', [0.07556508, 0.2712784, 1.0]], ['2, k, 10', [0.1308683, 0.2890139, 1.0]], ['2, k, 11', [0.1330067, 0.3290914, 1.0]], ['2, k, 12', [-0.163047, 0.02618551, 1.0]], ['2, k, 13', [-0.1812248, -0.2681922, 1.0]], ['2, k, 14', [-0.2112573, -0.582122, 1.0]], ['2, k, 15', [-0.222535, -0.6646829, 1.0]], ['2, k, 16', [-0.03697326, 0.02957481, 1.0]], ['2, k, 17', [-0.03060764, -0.2728392, 1.0]], ['2, k, 18', [-0.01491451, -0.5710241, 1.0]], ['2, k, 19', [-0.00828222, -0.6521903, 1.0]], ['2, k, 20', [-0.0949956, 0.5202922, 1.0]], ['2, k, 21', [-0.285195, -0.06179091, 1.0]], ['2, k, 22', [-0.2474145, -0.009020627, 1.0]], ['2, k, 23', [0.1441962, 0.3654371, 1.0]], ['2, k, 24', [0.1652621, 0.3368108, 1.0]]]
[['2, k, 0', [-0.1012788, 0.02793379, 1.0]], ['2, k, 1', [-0.09766356, 0.3120154, 1.0]], ['2, k, 2', [-0.09360218, 0.5883492, 1.0]], ['2, k, 3', [-0.1021098, 0.72961, 1.0]], ['2, k, 4', [-0.2618502, 0.447968, 1.0]], ['2, k, 5', [-0.3066245, 0.2253352, 1.0]], ['2, k, 6', [-0.2937944, 0.02528285, 1.0]], ['2, k, 7', [-0.283778, -0.01238238, 1.0]], ['2, k, 8', [0.05290281, 0.4764048, 1.0]], ['2, k, 9', [0.08075395, 0.261134, 1.0]], ['2, k, 10', [0.1209367, 0.3399037, 1.0]], ['2, k, 11', [0.12574, 0.3704444, 1.0]], ['2, k, 12', [-0.163041, 0.0257262, 1.0]], ['2, k, 13', [-0.1814628, -0.2676938, 1.0]], ['2, k, 14', [-0.2114133, -0.5812145, 1.0]], ['2, k, 15', [-0.2231853, -0.6639177, 1.0]], ['2, k, 16', [-0.03692967, 0.02929164, 1.0]], ['2, k, 17', [-0.03067797, -0.2723795, 1.0]], ['2, k, 18', [-0.01521584, -0.5710222, 1.0]], ['2, k, 19', [-0.007190047, -0.6514164, 1.0]], ['2, k, 20', [-0.0946956, 0.5203433, 1.0]], ['2, k, 21', [-0.287018, -0.06259448, 1.0]], ['2, k, 22', [-0.248175, -0.008497515, 1.0]], ['2, k, 23', [0.137289, 0.4128431, 1.0]], ['2, k, 24', [0.1618742, 0.3754986, 1.0]]]
