[['2, k, 0', [-0.3987996, 0.01954393, 1.0]], ['2, k, 1', [-0.4201595, 0.326582, 1.0]], ['2, k, 2', [-0.4393954, 0.6222332, 1.0]], ['2, k, 3', [-0.4553201, 0.7504457, 1.0]], ['2, k, 4', [-0.6169541, 0.5134902, 1.0]], ['2, k, 5', [-0.7024909, 0.3076212, 1.0]], ['2, k, 6', [-0.6392635, 0.1045204, 1.0]], ['2, k, 7', [-0.5952063, 0.05349055, 1.0]], ['2, k, 8', [-0.2687215, 0.5397591, 1.0]], ['2, k, 9', [-0.1860031, 0.3355862, 1.0]], ['2, k, 10', [-0.126318, 0.1451696, 1.0]], ['2, k, 11', [-0.122521, 0.09268687, 1.0]], ['2, k, 12', [-0.47371, 0.01934789, 1.0]], ['2, k, 13', [-0.464883, -0.346313, 1.0]], ['2, k, 14', [-0.4706342, -0.6543429, 1.0]], ['2, k, 15', [-0.4908313, -0.7266271, 1.0]], ['2, k, 16', [-0.3109899, 0.01890158, 1.0]], ['2, k, 17', [-0.2650513, -0.3871898, 1.0]], ['2, k, 18', [-0.1935053, -0.649354, 1.0]], ['2, k, 19', [-0.1660878, -0.7038057, 1.0]], ['2, k, 20', [-0.4349607, 0.5498719, 1.0]], ['2, k, 21', [-0.558827, -0.05146808, 1.0]], ['2, k, 22', [-0.5306033, 0.09319839, 1.0]], ['2, k, 23', [-0.113309, 0.02513843, 1.0]], ['2, k, 24', [-0.1667837, 0.09850339, 1.0]]]
[['2, k, 0', [-0.3981688, 0.01971646, 1.0]], ['2, k, 1', [-0.4202098, 0.3265864, 1.0]], ['2, k, 2', [-0.4404328, 0.6221198, 1.0]], ['2, k, 3', [-0.4556907, 0.7503412, 1.0]], ['2, k, 4', [-0.6170077, 0.5132352, 1.0]], ['2, k, 5', [-0.7027309, 0.3070398, 1.0]], ['2, k, 6', [-0.6389892, 0.1040941, 1.0]], ['2, k, 7', [-0.594075, 0.05276068, 1.0]], ['2, k, 8', [-0.2689347, 0.540442, 1.0]], ['2, k, 9', [-0.1836195, 0.3391947, 1.0]], ['2, k, 10', [-0.1161071, 0.1694047, 1.0]], ['2, k, 11', [-0.114333, 0.1244017, 1.0]], ['2, k, 12', [-0.4731627, 0.01930996, 1.0]], ['2, k, 13', [-0.4647783, -0.346745, 1.0]], ['2, k, 14', [-0.4706722, -0.6544266, 1.0]], ['2, k, 15', [-0.4910236, -0.7268749, 1.0]], ['2, k, 16', [-0.3100922, 0.01943117, 1.0]], ['2, k, 17', [-0.2684917, -0.3861213, 1.0]], ['2, k, 18', [-0.1929863, -0.6497036, 1.0]], ['2, k, 19', [-0.1659393, -0.7040945, 1.0]], ['2, k, 20', [-0.4356627, 0.5498052, 1.0]], ['2, k, 21', [-0.559189, -0.05392664, 1.0]], ['2, k, 22', [-0.5298669, 0.09201734, 1.0]], ['2, k, 23', [-0.1087303, 0.06758811, 1.0]], ['2, k, 24', [-0.1615201, 0.1211815, 1.0]]]
[['2, k, 0', [-0.3971529, 0.01991335, 1.0]], ['2, k, 1', [-0.4201702, 0.3265887, 1.0]], ['2, k, 2', [-0.4405933, 0.622079, 1.0]], ['2, k, 3', [-0.4559199, 0.7503856, 1.0]], ['2, k, 4', [-0.6171182, 0.5130705, 1.0]], ['2, k, 5', [-0.7034467, 0.3055357, 1.0]], ['2, k, 6', [-0.6386028, 0.1029245, 1.0]], ['2, k, 7', [-0.594303, 0.05305538, 1.0]], ['2, k, 8', [-0.2690491, 0.5414128, 1.0]], ['2, k, 9', [-0.1764883, 0.3561324, 1.0]], ['2, k, 10', [-0.1089048, 0.2320252, 1.0]], ['2, k, 11', [-0.101445, 0.1664971, 1.0]], ['2, k, 12', [-0.4724236, 0.01922869, 1.0]], ['2, k, 13', [-0.4645408, -0.3468606, 1.0]], ['2, k, 14', [-0.4704505, -0.6542864, 1.0]], ['2, k, 15', [-0.49073, -0.7266324, 1.0]], ['2, k, 16', [-0.3087107, 0.02010981, 1.0]], ['2, k, 17', [-0.2682563, -0.3850242, 1.0]], ['2, k, 18', [-0.1921497, -0.6491306, 1.0]], ['2, k, 19', [-0.1656777, -0.7038889, 1.0]], ['2, k, 20', [-0.4357435, 0.5497838, 1.0]], ['2, k, 21', [-0.5598059, -0.05357151, 1.0]], ['2, k, 22', [-0.5306199, 0.09166867, 1.0]], ['2, k, 23', [-0.09305194, 0.1241465, 1.0]], ['2, k, 24', [-0.1452526, 0.1575132, 1.0]]]
[['2, k, 0', [-0.3969558, 0.02001856, 1.0]], ['2, k, 1', [-0.4202025, 0.3265888, 1.0]], ['2, k, 2', [-0.4410581, 0.6219676, 1.0]], ['2, k, 3', [-0.4560185, 0.7503557, 1.0]], ['2, k, 4', [-0.6171468, 0.5134296, 1.0]], ['2, k, 5', [-0.7035615, 0.3058273, 1.0]], ['2, k, 6', [-0.6386306, 0.1032372, 1.0]], ['2, k, 7', [-0.594524, 0.05206934, 1.0]], ['2, k, 8', [-0.2701571, 0.5428333, 1.0]], ['2, k, 9', [-0.1584794, 0.3946747, 1.0]], ['2, k, 10', [-0.0907532, 0.2651221, 1.0]], ['2, k, 11', [-0.08744102, 0.2233797, 1.0]], ['2, k, 12', [-0.4722615, 0.01923341, 1.0]], ['2, k, 13', [-0.4645591, -0.3468884, 1.0]], ['2, k, 14', [-0.470482, -0.6541424, 1.0]], ['2, k, 15', [-0.4911827, -0.7266179, 1.0]], ['2, k, 16', [-0.3083901, 0.02046571, 1.0]], ['2, k, 17', [-0.2671525, -0.3855874, 1.0]], ['2, k, 18', [-0.1901078, -0.6522923, 1.0]], ['2, k, 19', [-0.1652084, -0.7046316, 1.0]], ['2, k, 20', [-0.4360957, 0.5497096, 1.0]], ['2, k, 21', [-0.5595989, -0.05348035, 1.0]], ['2, k, 22', [-0.5303372, 0.09372865, 1.0]], ['2, k, 23', [-0.07240178, 0.1929204, 1.0]], ['2, k, 24', [-0.1323031, 0.2160377, 1.0]]]
[['2, k, 0', [-0.3969042, 0.0200577, 1.0]], ['2, k, 1', [-0.4203028, 0.3266022, 1.0]], ['2, k, 2', [-0.4414251, 0.6219637, 1.0]], ['2, k, 3', [-0.4560237, 0.750368, 1.0]], ['2, k, 4', [-0.6170736, 0.513428, 1.0]], ['2, k, 5', [-0.7039195, 0.3060173, 1.0]], ['2, k, 6', [-0.6386662, 0.1035224, 1.0]], ['2, k, 7', [-0.5952204, 0.05298719, 1.0]], ['2, k, 8', [-0.2716616, 0.5450443, 1.0]], ['2, k, 9', [-0.1565889, 0.4051415, 1.0]], ['2, k, 10', [-0.07266411, 0.3107669, 1.0]], ['2, k, 11', [-0.0783122, 0.2772995, 1.0]], ['2, k, 12', [-0.4722588, 0.01924932, 1.0]], ['2, k, 13', [-0.4648802, -0.3471966, 1.0]], ['2, k, 14', [-0.4703567, -0.6574665, 1.0]], ['2, k, 15', [-0.4913708, -0.7268608, 1.0]], ['2, k, 16', [-0.3081763, 0.02062957, 1.0]], ['2, k, 17', [-0.271582, -0.3880409, 1.0]], ['2, k, 18', [-0.1934016, -0.6468133, 1.0]], ['2, k, 19', [-0.1628124, -0.7036908, 1.0]], ['2, k, 20', [-0.4364168, 0.5497091, 1.0]], ['2, k, 21', [-0.5615811, -0.05054926, 1.0]], ['2, k, 22', [-0.5304579, 0.09296994, 1.0]], ['2, k, 23', [-0.05889641, 0.2531838, 1.0]], ['2, k, 24', [-0.1022738, 0.2570363, 1.0]]]
[['2, k, 0', [-0.3968437, 0.02004508, 1.0]], ['2, k, 1', [-0.420361, 0.3265497, 1.0]], ['2, k, 2', [-0.44172, 0.6217992, 1.0]], ['2, k, 3', [-0.4559619, 0.7503554, 1.0]], ['2, k, 4', [-0.6169981, 0.5132297, 1.0]], ['2, k, 5', [-0.7043585, 0.3057772, 1.0]], ['2, k, 6', [-0.6384245, 0.103492, 1.0]], ['2, k, 7', [-0.5943064, 0.0516758, 1.0]], ['2, k, 8', [-0.2719778, 0.5451884, 1.0]], ['2, k, 9', [-0.1562879, 0.4000891, 1.0]], ['2, k, 10', [-0.07555538, 0.3063543, 1.0]], ['2, k, 11', [-0.06068658, 0.3185135, 1.0]], ['2, k, 12', [-0.4721803, 0.01914213, 1.0]], ['2, k, 13', [-0.4649838, -0.3472109, 1.0]], ['2, k, 14', [-0.4703817, -0.6559807, 1.0]], ['2, k, 15', [-0.4911886, -0.7264993, 1.0]], ['2, k, 16', [-0.3080414, 0.02065782, 1.0]], ['2, k, 17', [-0.2688105, -0.3882026, 1.0]], ['2, k, 18', [-0.193161, -0.647965, 1.0]], ['2, k, 19', [-0.1633429, -0.7037178, 1.0]], ['2, k, 20', [-0.436669, 0.549567, 1.0]], ['2, k, 21', [-0.5598335, -0.05526016, 1.0]], ['2, k, 22', [-0.5303164, 0.09287265, 1.0]], ['2, k, 23', [-0.03818552, 0.3081948, 1.0]], ['2, k, 24', [-0.09676319, 0.3281747, 1.0]]]
[['2, k, 0', [-0.3967697, 0.02013665, 1.0]], ['2, k, 1', [-0.4203576, 0.326576, 1.0]], ['2, k, 2', [-0.4417104, 0.6218055, 1.0]], ['2, k, 3', [-0.4558442, 0.7504604, 1.0]], ['2, k, 4', [-0.6169936, 0.5131971, 1.0]], ['2, k, 5', [-0.7043367, 0.3066227, 1.0]], ['2, k, 6', [-0.6386003, 0.1042723, 1.0]], ['2, k, 7', [-0.5960785, 0.05168969, 1.0]], ['2, k, 8', [-0.2724954, 0.5458813, 1.0]], ['2, k, 9', [-0.1437534, 0.4092222, 1.0]], ['2, k, 10', [-0.05616724, 0.36818, 1.0]], ['2, k, 11', [-0.04810219, 0.3736407, 1.0]], ['2, k, 12', [-0.4721505, 0.01918074, 1.0]], ['2, k, 13', [-0.4649691, -0.3471953, 1.0]], ['2, k, 14', [-0.4705062, -0.6559145, 1.0]], ['2, k, 15', [-0.4913862, -0.7270916, 1.0]], ['2, k, 16', [-0.3079804, 0.02084838, 1.0]], ['2, k, 17', [-0.2679513, -0.3882065, 1.0]], ['2, k, 18', [-0.1908808, -0.6523639, 1.0]], ['2, k, 19', [-0.1628082, -0.7056171, 1.0]], ['2, k, 20', [-0.4366725, 0.5495759, 1.0]], ['2, k, 21', [-0.5642503, -0.05205657, 1.0]], ['2, k, 22', [-0.5306869, 0.09252942, 1.0]], ['2, k, 23', [-0.03087454, 0.3747647, 1.0]], ['2, k, 24', [-0.0927999, 0.3911518, 1.0]]]
[['2, k, 0', [-0.3965231, 0.02033716, 1.0]], ['2, k, 1', [-0.4202643, 0.326581, 1.0]], ['2, k, 2', [-0.4415977, 0.6216971, 1.0]], ['2, k, 3', [-0.4555255, 0.7504258, 1.0]], ['2, k, 4', [-0.6167369, 0.5131322, 1.0]], ['2, k, 5', [-0.704488, 0.3078085, 1.0]], ['2, k, 6', [-0.6378111, 0.1057475, 1.0]], ['2, k, 7', [-0.598618, 0.05503323, 1.0]], ['2, k, 8', [-0.2743303, 0.5481302, 1.0]], ['2, k, 9', [-0.1341346, 0.451755, 1.0]], ['2, k, 10', [-0.05796034, 0.424094, 1.0]], ['2, k, 11', [-0.04483526, 0.4327709, 1.0]], ['2, k, 12', [-0.4719091, 0.01930096, 1.0]], ['2, k, 13', [-0.4644701, -0.3469046, 1.0]], ['2, k, 14', [-0.4705065, -0.65562, 1.0]], ['2, k, 15', [-0.4904753, -0.727083, 1.0]], ['2, k, 16', [-0.3076006, 0.02129782, 1.0]], ['2, k, 17', [-0.2694503, -0.3882958, 1.0]], ['2, k, 18', [-0.1908205, -0.6522827, 1.0]], ['2, k, 19', [-0.1633395, -0.7048528, 1.0]], ['2, k, 20', [-0.4365868, 0.5495062, 1.0]], ['2, k, 21', [-0.5671856, -0.05079807, 1.0]], ['2, k, 22', [-0.5342801, 0.09326057, 1.0]], ['2, k, 23', [-0.02420967, 0.4391561, 1.0]], ['2, k, 24', [-0.09148981, 0.4539082, 1.0]]]
[['2, k, 0', [-0.3959227, 0.02070517, 1.0]], ['2, k, 1', [-0.420134, 0.3268021, 1.0]], ['2, k, 2', [-0.4416749, 0.6219278, 1.0]], ['2, k, 3', [-0.4550512, 0.7503094, 1.0]], ['2, k, 4', [-0.6161141, 0.5130488, 1.0]], ['2, k, 5', [-0.7041135, 0.3080228, 1.0]], ['2, k, 6', [-0.6378522, 0.1058312, 1.0]], ['2, k, 7', [-0.5989775, 0.05517094, 1.0]], ['2, k, 8', [-0.2757154, 0.5505471, 1.0]], ['2, k, 9', [-0.1329633, 0.4904443, 1.0]], ['2, k, 10', [-0.058238, 0.4843372, 1.0]], ['2, k, 11', [-0.04421956, 0.4949171, 1.0]], ['2, k, 12', [-0.4713998, 0.01957975, 1.0]], ['2, k, 13', [-0.4642436, -0.3467844, 1.0]], ['2, k, 14', [-0.4707656, -0.655455, 1.0]], ['2, k, 15', [-0.4913377, -0.727077, 1.0]], ['2, k, 16', [-0.3069172, 0.02176205, 1.0]], ['2, k, 17', [-0.2690466, -0.3856769, 1.0]], ['2, k, 18', [-0.1914231, -0.649621, 1.0]], ['2, k, 19', [-0.1635413, -0.7043791, 1.0]], ['2, k, 20', [-0.4366255, 0.5497218, 1.0]], ['2, k, 21', [-0.5670277, -0.05241239, 1.0]], ['2, k, 22', [-0.5347083, 0.09545422, 1.0]], ['2, k, 23', [-0.02321875, 0.507242, 1.0]], ['2, k, 24', [-0.09441581, 0.5108166, 1.0]]]
[['2, k, 0', [-0.3953879, 0.02114364, 1.0]], ['2, k, 1', [-0.4199052, 0.3269233, 1.0]], ['2, k, 2', [-0.4415641, 0.6218945, 1.0]], ['2, k, 3', [-0.454104, 0.7502996, 1.0]], ['2, k, 4', [-0.6158924, 0.5130049, 1.0]], ['2, k, 5', [-0.7040675, 0.3079965, 1.0]], ['2, k, 6', [-0.6378176, 0.1057989, 1.0]], ['2, k, 7', [-0.5995265, 0.05506903, 1.0]], ['2, k, 8', [-0.2762462, 0.5519905, 1.0]], ['2, k, 9', [-0.1271939, 0.4929375, 1.0]], ['2, k, 10', [-0.06221514, 0.524636, 1.0]], ['2, k, 11', [-0.04763341, 0.5513856, 1.0]], ['2, k, 12', [-0.4709327, 0.01994121, 1.0]], ['2, k, 13', [-0.4640092, -0.3455344, 1.0]], ['2, k, 14', [-0.4707426, -0.6554499, 1.0]], ['2, k, 15', [-0.4906073, -0.726739, 1.0]], ['2, k, 16', [-0.3063698, 0.02227661, 1.0]], ['2, k, 17', [-0.2730995, -0.3834333, 1.0]], ['2, k, 18', [-0.1910943, -0.6484428, 1.0]], ['2, k, 19', [-0.1634481, -0.7047378, 1.0]], ['2, k, 20', [-0.4365101, 0.5497187, 1.0]], ['2, k, 21', [-0.5687226, -0.05136425, 1.0]], ['2, k, 22', [-0.535557, 0.09292128, 1.0]], ['2, k, 23', [-0.02918545, 0.5748987, 1.0]], ['2, k, 24', [-0.09623212, 0.5769686, 1.0]]]
[['2, k, 0', [-0.3953976, 0.0214599, 1.0]], ['2, k, 1', [-0.4198697, 0.3272069, 1.0]], ['2, k, 2', [-0.4414541, 0.6221493, 1.0]], ['2, k, 3', [-0.4532678, 0.7502604, 1.0]], ['2, k, 4', [-0.6156874, 0.512913, 1.0]], ['2, k, 5', [-0.7034069, 0.3086053, 1.0]], ['2, k, 6', [-0.6378846, 0.1061799, 1.0]], ['2, k, 7', [-0.6000282, 0.05723776, 1.0]], ['2, k, 8', [-0.2762551, 0.5521012, 1.0]], ['2, k, 9', [-0.1183897, 0.5100421, 1.0]], ['2, k, 10', [-0.06255803, 0.5773572, 1.0]], ['2, k, 11', [-0.05462677, 0.6108896, 1.0]], ['2, k, 12', [-0.4710142, 0.02033915, 1.0]], ['2, k, 13', [-0.4639698, -0.3452079, 1.0]], ['2, k, 14', [-0.470778, -0.6552269, 1.0]], ['2, k, 15', [-0.490239, -0.7267159, 1.0]], ['2, k, 16', [-0.3064044, 0.02257169, 1.0]], ['2, k, 17', [-0.2731174, -0.3819231, 1.0]], ['2, k, 18', [-0.1911966, -0.6460682, 1.0]], ['2, k, 19', [-0.1632854, -0.7049856, 1.0]], ['2, k, 20', [-0.4364341, 0.5499747, 1.0]], ['2, k, 21', [-0.569496, -0.05192292, 1.0]], ['2, k, 22', [-0.5361009, 0.09451023, 1.0]], ['2, k, 23', [-0.03711367, 0.6438981, 1.0]], ['2, k, 24', [-0.1056453, 0.6344898, 1.0]]]
