[['2, k, 0', [-6.86242, 84.94186, 1.0]], ['2, k, 1', [-6.572927293935645, 113.72720786035362, 1.0]], ['2, k, 2', [-6.362162767804116, 135.4280403366697, 1.0]], ['2, k, 3', [-6.295768907700297, 141.5739732327568, 1.0]], ['2, k, 4', [9.808779011483338, 133.83904350743106, 1.0]], ['2, k, 5', [21.82165568341013, 114.64911571885219, 1.0]], ['2, k, 6', [43.628122649017754, 128.36255215919292, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-23.0098954396982, 133.8608749498652, 1.0]], ['2, k, 9', [-36.66208975238181, 114.96665606409425, 1.0]], ['2, k, 10', [-52.84202851744317, 129.78856245697457, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [0.5485993645771785, 84.89930491321773, 1.0]], ['2, k, 13', [-2.5722598092892857, 44.90319637374151, 1.0]], ['2, k, 14', [-2.355794911275434, 8.174143382137075, 1.0]], ['2, k, 15', [-4.733167496228353, 2.5567136915595547, 1.0]], ['2, k, 16', [-14.07555353255496, 84.89113526807787, 1.0]], ['2, k, 17', [-13.350267226393981, 47.44622776464131, 1.0]], ['2, k, 18', [-10.96339825152148, 9.048438636365816, 1.0]], ['2, k, 19', [-11.269875329184577, 6.173356127905867, 1.0]], ['2, k, 20', [-6.362162767804116, 135.4280403366697, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-6.8577, 84.93990666666667, 1.0]], ['2, k, 1', [-6.5341300574515175, 113.72600136265544, 1.0]], ['2, k, 2', [-6.256480324061537, 135.42881601132797, 1.0]], ['2, k, 3', [-6.167516577274445, 141.5757199980671, 1.0]], ['2, k, 4', [9.852986892221487, 133.84862115892287, 1.0]], ['2, k, 5', [21.99153941446874, 114.81181273209019, 1.0]], ['2, k, 6', [43.77022621216524, 128.61288120383762, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-22.91144507688971, 133.81204725140196, 1.0]], ['2, k, 9', [-36.58214736629219, 114.89163711107742, 1.0]], ['2, k, 10', [-52.711518695333666, 129.64563592238673, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [0.5523755052594854, 84.89177265317211, 1.0]], ['2, k, 13', [-2.600890087966028, 44.64056443422004, 1.0]], ['2, k, 14', [-2.3572200405039156, 8.150154633961748, 1.0]], ['2, k, 15', [-4.7231738912107915, 2.509612238488107, 1.0]], ['2, k, 16', [-14.071797391365584, 84.8914657737658, 1.0]], ['2, k, 17', [-13.363234332027154, 47.44460076674778, 1.0]], ['2, k, 18', [-10.962491723966092, 8.942589645380139, 1.0]], ['2, k, 19', [-11.292107603494095, 6.072540668013271, 1.0]], ['2, k, 20', [-6.256480324061537, 135.42881601132797, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-6.853516000000001, 84.941098, 1.0]], ['2, k, 1', [-6.520680732591651, 113.72741749640012, 1.0]], ['2, k, 2', [-6.227518084020052, 135.4304064391869, 1.0]], ['2, k, 3', [-6.134600070872989, 141.57731009811363, 1.0]], ['2, k, 4', [9.890158169827984, 133.84761082034584, 1.0]], ['2, k, 5', [22.046949539827278, 114.85202156065104, 1.0]], ['2, k, 6', [43.80451043319401, 128.72657072422132, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-22.92910330947295, 133.81372939003697, 1.0]], ['2, k, 9', [-36.52222874091987, 114.83994135858008, 1.0]], ['2, k, 10', [-52.622028075658676, 129.61156104701482, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [0.5561512907978683, 84.89136786452242, 1.0]], ['2, k, 13', [-2.596639137699684, 44.605672955043204, 1.0]], ['2, k, 14', [-2.3631269819947023, 8.13818265337926, 1.0]], ['2, k, 15', [-4.718240477607347, 2.4896475486714262, 1.0]], ['2, k, 16', [-14.068001558760535, 84.89420304027759, 1.0]], ['2, k, 17', [-13.366635681568928, 47.426039490438235, 1.0]], ['2, k, 18', [-10.983011057877313, 8.869530727218255, 1.0]], ['2, k, 19', [-11.335975748129695, 6.000759067176812, 1.0]], ['2, k, 20', [-6.227518084020052, 135.4304064391869, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-6.839659999999999, 84.944362, 1.0]], ['2, k, 1', [-6.512086589571356, 113.73089867604075, 1.0]], ['2, k, 2', [-6.210302612235425, 135.43387491777008, 1.0]], ['2, k, 3', [-6.115905304295193, 141.58063619439133, 1.0]], ['2, k, 4', [9.905321289298914, 133.8461314926948, 1.0]], ['2, k, 5', [22.050304038512415, 114.86920764860999, 1.0]], ['2, k, 6', [43.829896211976575, 128.75658775799798, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-22.95034907831954, 133.8237418752099, 1.0]], ['2, k, 9', [-36.458360781072535, 114.78607815504729, 1.0]], ['2, k, 10', [-52.561862306080954, 129.51608920706687, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [0.5702602273620565, 84.89629445807107, 1.0]], ['2, k, 13', [-2.5986083280280963, 44.54566674327565, 1.0]], ['2, k, 14', [-2.4351685985220572, 8.110422415919416, 1.0]], ['2, k, 15', [-4.751214445273233, 2.4741445583634674, 1.0]], ['2, k, 16', [-14.05393332141899, 84.89487679692215, 1.0]], ['2, k, 17', [-13.35850431686637, 47.4147512265991, 1.0]], ['2, k, 18', [-10.99482515102909, 8.83582027322435, 1.0]], ['2, k, 19', [-11.362263285077782, 5.967008569272888, 1.0]], ['2, k, 20', [-6.210302612235425, 135.43387491777008, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-6.824161999999999, 84.947222, 1.0]], ['2, k, 1', [-6.498698917929072, 113.73414097461745, 1.0]], ['2, k, 2', [-6.196243061009099, 135.4371568818648, 1.0]], ['2, k, 3', [-6.102506496589674, 141.58384699887853, 1.0]], ['2, k, 4', [9.936884565403535, 133.82082051824696, 1.0]], ['2, k, 5', [22.11244365638264, 114.8868683989138, 1.0]], ['2, k, 6', [43.881370315199895, 128.82802813540624, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-22.96475916862478, 133.8473888280252, 1.0]], ['2, k, 9', [-36.40889672922482, 114.77183491159883, 1.0]], ['2, k, 10', [-52.514804624428855, 129.50064721530495, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [0.5841783980903026, 84.9005070004957, 1.0]], ['2, k, 13', [-2.6070047040214877, 44.565020116832144, 1.0]], ['2, k, 14', [-2.4843277577943783, 8.087596976488001, 1.0]], ['2, k, 15', [-4.777823463894343, 2.451787958478983, 1.0]], ['2, k, 16', [-14.039018196704914, 84.90021611348082, 1.0]], ['2, k, 17', [-13.342068165096089, 47.394504003195784, 1.0]], ['2, k, 18', [-10.9981250693172, 8.818437393136065, 1.0]], ['2, k, 19', [-11.377977174538657, 5.949731887074224, 1.0]], ['2, k, 20', [-6.196243061009099, 135.4371568818648, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-6.797127999999999, 84.955062, 1.0]], ['2, k, 1', [-6.464926721660612, 113.74235521805582, 1.0]], ['2, k, 2', [-6.158550956352711, 135.4453113438992, 1.0]], ['2, k, 3', [-6.064193818474778, 141.59189391291838, 1.0]], ['2, k, 4', [9.990341407322743, 133.7985208831036, 1.0]], ['2, k, 5', [22.210312469696483, 114.90381091639497, 1.0]], ['2, k, 6', [43.97441299267142, 128.8457955371503, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-23.014150539548307, 133.88379620293398, 1.0]], ['2, k, 9', [-36.41542844068047, 114.81206127478586, 1.0]], ['2, k, 10', [-52.53712141091374, 129.59913393412683, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [0.6070061200482133, 84.9076632408014, 1.0]], ['2, k, 13', [-2.6157291610563806, 44.58919890799942, 1.0]], ['2, k, 14', [-2.509675471036495, 8.083077633663585, 1.0]], ['2, k, 15', [-4.798680186552652, 2.4294057745344517, 1.0]], ['2, k, 16', [-14.013140343820902, 84.91235328686143, 1.0]], ['2, k, 17', [-13.310329922841937, 47.34957359009822, 1.0]], ['2, k, 18', [-10.984228110391673, 8.832258883774394, 1.0]], ['2, k, 19', [-11.37343885241874, 5.963711297925634, 1.0]], ['2, k, 20', [-6.158550956352711, 135.4453113438992, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-6.752445999999999, 84.96047000000002, 1.0]], ['2, k, 1', [-6.404688573798618, 113.7477848533007, 1.0]], ['2, k, 2', [-6.0859489055695075, 135.4502535347609, 1.0]], ['2, k, 3', [-5.988191383185789, 141.5965363545674, 1.0]], ['2, k, 4', [10.065568145476382, 133.76690067647098, 1.0]], ['2, k, 5', [22.392572427753258, 114.9400189972576, 1.0]], ['2, k, 6', [44.136765190928394, 128.90953316058398, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-22.995694586197803, 133.9189259419812, 1.0]], ['2, k, 9', [-36.27510423562721, 114.77165229347213, 1.0]], ['2, k, 10', [-52.43041675141076, 129.48803605662366, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [0.65214596262593, 84.91254735970236, 1.0]], ['2, k, 13', [-2.60600316897771, 44.60634852240672, 1.0]], ['2, k, 14', [-2.5256165656110108, 8.063975108780696, 1.0]], ['2, k, 15', [-4.824868653695, 2.377014284833086, 1.0]], ['2, k, 16', [-13.965686864458743, 84.91987805358613, 1.0]], ['2, k, 17', [-13.240640317335519, 47.30265177681024, 1.0]], ['2, k, 18', [-10.956446482096641, 8.919677363059314, 1.0]], ['2, k, 19', [-11.358582153158581, 6.051233625523258, 1.0]], ['2, k, 20', [-6.0859489055695075, 135.4502535347609, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-6.687017999999999, 84.962064, 1.0]], ['2, k, 1', [-6.306592638827841, 113.74874759737982, 1.0]], ['2, k, 2', [-5.964328044025386, 135.44948937833271, 1.0]], ['2, k, 3', [-5.860206134566452, 141.59502805448523, 1.0]], ['2, k, 4', [10.171549892993305, 133.72974552214674, 1.0]], ['2, k, 5', [22.604611334113926, 114.98001225052519, 1.0]], ['2, k, 6', [44.30139837949096, 129.01071663584582, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-22.913334276541494, 133.9063231665868, 1.0]], ['2, k, 9', [-36.10089714061158, 114.72939992217437, 1.0]], ['2, k, 10', [-52.30298136887449, 129.33907723327738, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [0.7178454010103223, 84.9059591265516, 1.0]], ['2, k, 13', [-2.614048075636512, 44.6332814248723, 1.0]], ['2, k, 14', [-2.5376833180477427, 8.053723133087345, 1.0]], ['2, k, 15', [-4.84040246237568, 2.375116428943743, 1.0]], ['2, k, 16', [-13.896641824891184, 84.92889712662141, 1.0]], ['2, k, 17', [-13.035389134320962, 47.236452057745296, 1.0]], ['2, k, 18', [-10.895959447455827, 9.00169976576369, 1.0]], ['2, k, 19', [-11.301836187319749, 6.1302660730280945, 1.0]], ['2, k, 20', [-5.964328044025386, 135.44948937833271, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-6.6222579999999995, 84.964214, 1.0]], ['2, k, 1', [-6.201354514807008, 113.7566566129234, 1.0]], ['2, k, 2', [-5.827440564685182, 135.4626966233971, 1.0]], ['2, k, 3', [-5.71421902824083, 141.60995860065924, 1.0]], ['2, k, 4', [10.259506196119435, 133.7116898900957, 1.0]], ['2, k, 5', [22.82110688132706, 115.0300778796163, 1.0]], ['2, k, 6', [44.44080629839442, 129.14238712501273, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-22.83285488031231, 133.87353808860388, 1.0]], ['2, k, 9', [-35.98700620844022, 114.66196232189955, 1.0]], ['2, k, 10', [-52.192966232816715, 129.2017380898942, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [0.7808319986889707, 84.90017690684887, 1.0]], ['2, k, 13', [-2.6488565142660287, 44.65009195514944, 1.0]], ['2, k, 14', [-2.5714284633382065, 8.057333497681604, 1.0]], ['2, k, 15', [-4.864971315258087, 2.401436994148204, 1.0]], ['2, k, 16', [-13.829868045817344, 84.93420456010932, 1.0]], ['2, k, 17', [-12.773857402683483, 47.14145150282333, 1.0]], ['2, k, 18', [-10.773139324959299, 9.003124546681484, 1.0]], ['2, k, 19', [-10.950937085433845, 5.829884775005195, 1.0]], ['2, k, 20', [-5.827440564685182, 135.4626966233971, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-6.544625999999999, 84.965182, 1.0]], ['2, k, 1', [-6.093598929313524, 113.76293347487176, 1.0]], ['2, k, 2', [-5.694173222984668, 135.47396889139796, 1.0]], ['2, k, 3', [-5.573438103424055, 141.6227510964191, 1.0]], ['2, k, 4', [10.34118119150796, 133.69857046536768, 1.0]], ['2, k, 5', [23.044749589064715, 115.05570953008426, 1.0]], ['2, k, 6', [44.58479397411476, 129.2250604650067, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-22.7451465061814, 133.84079229226796, 1.0]], ['2, k, 9', [-35.85079830674559, 114.58499393485376, 1.0]], ['2, k, 10', [-52.14629860150278, 129.17840782459967, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [0.8564572229686034, 84.89211859075425, 1.0]], ['2, k, 13', [-2.592494236845629, 44.65288768845116, 1.0]], ['2, k, 14', [-2.605176023519759, 8.091487035063395, 1.0]], ['2, k, 15', [-4.880110274422234, 2.462157026094774, 1.0]], ['2, k, 16', [-13.751527118047722, 84.93720171924748, 1.0]], ['2, k, 17', [-12.585679228692529, 47.064179748106625, 1.0]], ['2, k, 18', [-10.613197641204367, 8.987537569584248, 1.0]], ['2, k, 19', [-10.49525259874963, 5.3957582606086785, 1.0]], ['2, k, 20', [-5.694173222984668, 135.47396889139796, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-6.457345999999999, 84.95744199999999, 1.0]], ['2, k, 1', [-5.978026392399911, 113.76190041943008, 1.0]], ['2, k, 2', [-5.554971328253044, 135.47922919074364, 1.0]], ['2, k, 3', [-5.427240022266373, 141.62995272198685, 1.0]], ['2, k, 4', [10.389995741609281, 133.6911881486446, 1.0]], ['2, k, 5', [23.198208220949027, 115.07780251818386, 1.0]], ['2, k, 6', [44.69645273112781, 129.30584969182806, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-22.62419889676802, 133.80515944384075, 1.0]], ['2, k, 9', [-35.716998053863946, 114.51863236079745, 1.0]], ['2, k, 10', [-52.06519315147206, 129.16806661778085, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [0.9438168075726754, 84.8767652242638, 1.0]], ['2, k, 13', [-2.4017294845700534, 44.64218758200642, 1.0]], ['2, k, 14', [-2.597023425452808, 8.097243116252528, 1.0]], ['2, k, 15', [-4.862770823871937, 2.4790221447533183, 1.0]], ['2, k, 16', [-13.668783462810598, 84.92985119700417, 1.0]], ['2, k, 17', [-12.528510921312233, 47.03386807046051, 1.0]], ['2, k, 18', [-10.481267895570026, 9.007747091795245, 1.0]], ['2, k, 19', [-10.286036578762522, 4.923190282063125, 1.0]], ['2, k, 20', [-5.554971328253044, 135.47922919074364, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
