[['2, k, 0', [-0.1321803, -0.2246402, 1.0]], ['2, k, 1', [-0.132876, 0.03092707, 1.0]], ['2, k, 2', [-0.1300688, 0.2788667, 1.0]], ['2, k, 3', [-0.1246424, 0.4088049, 1.0]], ['2, k, 4', [-0.2773768, 0.1602858, 1.0]], ['2, k, 5', [-0.3393835, -0.06210825, 1.0]], ['2, k, 6', [-0.4043335, -0.2520094, 1.0]], ['2, k, 7', [-0.4131874, -0.305067, 1.0]], ['2, k, 8', [0.02979736, 0.1683556, 1.0]], ['2, k, 9', [0.1017958, -0.04896786, 1.0]], ['2, k, 10', [0.1643839, -0.2707162, 1.0]], ['2, k, 11', [0.156917, -0.313925, 1.0]], ['2, k, 12', [-0.1942455, -0.2215052, 1.0]], ['2, k, 13', [-0.1992973, -0.3304846, 1.0]], ['2, k, 14', [-0.1945568, -0.6770551, 1.0]], ['2, k, 15', [-0.2590477, -0.7292929, 1.0]], ['2, k, 16', [-0.06762683, -0.2229709, 1.0]], ['2, k, 17', [0.0360178, -0.340146, 1.0]], ['2, k, 18', [0.04655319, -0.6714239, 1.0]], ['2, k, 19', [0.08136156, -0.7218947, 1.0]], ['2, k, 20', [-0.1311923, 0.2176528, 1.0]], ['2, k, 21', [-0.4155443, -0.3688711, 1.0]], ['2, k, 22', [-0.3847066, -0.3237831, 1.0]], ['2, k, 23', [0.1531645, -0.3692544, 1.0]], ['2, k, 24', [0.1824524, -0.3073451, 1.0]]]
[['2, k, 0', [-0.1321816, -0.2245699, 1.0]], ['2, k, 1', [-0.1321892, 0.03088839, 1.0]], ['2, k, 2', [-0.1284333, 0.2788986, 1.0]], ['2, k, 3', [-0.1204021, 0.4085558, 1.0]], ['2, k, 4', [-0.2754501, 0.1610647, 1.0]], ['2, k, 5', [-0.3419099, -0.05977263, 1.0]], ['2, k, 6', [-0.4144386, -0.2439137, 1.0]], ['2, k, 7', [-0.4286274, -0.2906785, 1.0]], ['2, k, 8', [0.02924068, 0.1674122, 1.0]], ['2, k, 9', [0.09570577, -0.0515782, 1.0]], ['2, k, 10', [0.1523836, -0.2748377, 1.0]], ['2, k, 11', [0.1343581, -0.3159364, 1.0]], ['2, k, 12', [-0.1944556, -0.2212968, 1.0]], ['2, k, 13', [-0.199402, -0.3297691, 1.0]], ['2, k, 14', [-0.1946318, -0.6760653, 1.0]], ['2, k, 15', [-0.2544397, -0.732582, 1.0]], ['2, k, 16', [-0.06747145, -0.2229062, 1.0]], ['2, k, 17', [0.03596025, -0.3401466, 1.0]], ['2, k, 18', [0.04788173, -0.6696029, 1.0]], ['2, k, 19', [0.09694332, -0.7271629, 1.0]], ['2, k, 20', [-0.1297192, 0.217663, 1.0]], ['2, k, 21', [-0.4339367, -0.3621884, 1.0]], ['2, k, 22', [-0.4010399, -0.2978765, 1.0]], ['2, k, 23', [0.1346958, -0.378457, 1.0]], ['2, k, 24', [0.1523143, -0.3346415, 1.0]]]
[['2, k, 0', [-0.1321946, -0.2245616, 1.0]], ['2, k, 1', [-0.1307094, 0.03068271, 1.0]], ['2, k, 2', [-0.1243578, 0.2787181, 1.0]], ['2, k, 3', [-0.1146388, 0.4091952, 1.0]], ['2, k, 4', [-0.2738091, 0.1612828, 1.0]], ['2, k, 5', [-0.3842073, -0.03804207, 1.0]], ['2, k, 6', [-0.4618685, -0.2381932, 1.0]], ['2, k, 7', [-0.4777301, -0.2765736, 1.0]], ['2, k, 8', [0.02962952, 0.1673515, 1.0]], ['2, k, 9', [0.08783077, -0.05407651, 1.0]], ['2, k, 10', [0.1395405, -0.2735906, 1.0]], ['2, k, 11', [0.123845, -0.3131138, 1.0]], ['2, k, 12', [-0.1945729, -0.2212401, 1.0]], ['2, k, 13', [-0.1994658, -0.3297422, 1.0]], ['2, k, 14', [-0.2314797, -0.676766, 1.0]], ['2, k, 15', [-0.2154278, -0.702569, 1.0]], ['2, k, 16', [-0.06739832, -0.2229067, 1.0]], ['2, k, 17', [0.03595714, -0.3400591, 1.0]], ['2, k, 18', [0.04732002, -0.6691771, 1.0]], ['2, k, 19', [0.09877956, -0.72833, 1.0]], ['2, k, 20', [-0.1262728, 0.2174643, 1.0]], ['2, k, 21', [-0.4849043, -0.3422864, 1.0]], ['2, k, 22', [-0.4530644, -0.2808237, 1.0]], ['2, k, 23', [0.1235396, -0.387725, 1.0]], ['2, k, 24', [0.1400926, -0.3380003, 1.0]]]
[['2, k, 0', [-0.1319795, -0.2249332, 1.0]], ['2, k, 1', [-0.1290293, 0.03034845, 1.0]], ['2, k, 2', [-0.1209943, 0.2787364, 1.0]], ['2, k, 3', [-0.1092442, 0.4089499, 1.0]], ['2, k, 4', [-0.2728663, 0.1619098, 1.0]], ['2, k, 5', [-0.3903609, -0.03337953, 1.0]], ['2, k, 6', [-0.490664, -0.1839375, 1.0]], ['2, k, 7', [-0.5110634, -0.2434923, 1.0]], ['2, k, 8', [0.03017335, 0.1675353, 1.0]], ['2, k, 9', [0.08564285, -0.05439394, 1.0]], ['2, k, 10', [0.1326783, -0.2697586, 1.0]], ['2, k, 11', [0.1231559, -0.3107436, 1.0]], ['2, k, 12', [-0.1944363, -0.2217578, 1.0]], ['2, k, 13', [-0.1994638, -0.3298075, 1.0]], ['2, k, 14', [-0.1985637, -0.6666598, 1.0]], ['2, k, 15', [-0.2333181, -0.7401998, 1.0]], ['2, k, 16', [-0.0670026, -0.2230812, 1.0]], ['2, k, 17', [0.03595743, -0.3398755, 1.0]], ['2, k, 18', [0.05155442, -0.6587618, 1.0]], ['2, k, 19', [0.08035934, -0.7176353, 1.0]], ['2, k, 20', [-0.1233118, 0.2173727, 1.0]], ['2, k, 21', [-0.5247701, -0.3182443, 1.0]], ['2, k, 22', [-0.4905573, -0.253542, 1.0]], ['2, k, 23', [0.1259573, -0.3731188, 1.0]], ['2, k, 24', [0.1433449, -0.3292161, 1.0]]]
[['2, k, 0', [-0.1310633, -0.2249191, 1.0]], ['2, k, 1', [-0.1274227, 0.03034607, 1.0]], ['2, k, 2', [-0.1197449, 0.2789411, 1.0]], ['2, k, 3', [-0.1060235, 0.408756, 1.0]], ['2, k, 4', [-0.271418, 0.1633952, 1.0]], ['2, k, 5', [-0.4106056, -0.01703404, 1.0]], ['2, k, 6', [-0.5191391, -0.1645475, 1.0]], ['2, k, 7', [-0.5440342, -0.209712, 1.0]], ['2, k, 8', [0.03051938, 0.1671731, 1.0]], ['2, k, 9', [0.08579455, -0.05468021, 1.0]], ['2, k, 10', [0.1314521, -0.2690143, 1.0]], ['2, k, 11', [0.1224216, -0.3098301, 1.0]], ['2, k, 12', [-0.1939223, -0.2216906, 1.0]], ['2, k, 13', [-0.1998292, -0.3293702, 1.0]], ['2, k, 14', [-0.1961007, -0.6700833, 1.0]], ['2, k, 15', [-0.2386591, -0.7399232, 1.0]], ['2, k, 16', [-0.06540757, -0.2230752, 1.0]], ['2, k, 17', [0.0361487, -0.3400307, 1.0]], ['2, k, 18', [0.04989988, -0.6643331, 1.0]], ['2, k, 19', [0.0811162, -0.7199416, 1.0]], ['2, k, 20', [-0.1219151, 0.2175419, 1.0]], ['2, k, 21', [-0.5609392, -0.278686, 1.0]], ['2, k, 22', [-0.5331357, -0.2352818, 1.0]], ['2, k, 23', [0.1199821, -0.3915569, 1.0]], ['2, k, 24', [0.1404941, -0.3478794, 1.0]]]
[['2, k, 0', [-0.1293774, -0.2253213, 1.0]], ['2, k, 1', [-0.1249966, 0.0299402, 1.0]], ['2, k, 2', [-0.1176973, 0.2788563, 1.0]], ['2, k, 3', [-0.1013445, 0.4092021, 1.0]], ['2, k, 4', [-0.2704887, 0.1637175, 1.0]], ['2, k, 5', [-0.4272392, -0.002095714, 1.0]], ['2, k, 6', [-0.5437611, -0.1330398, 1.0]], ['2, k, 7', [-0.5765203, -0.1720326, 1.0]], ['2, k, 8', [0.03384464, 0.1647127, 1.0]], ['2, k, 9', [0.0871617, -0.05716589, 1.0]], ['2, k, 10', [0.1321771, -0.2681568, 1.0]], ['2, k, 11', [0.1230939, -0.3054864, 1.0]], ['2, k, 12', [-0.1924326, -0.2221386, 1.0]], ['2, k, 13', [-0.199863, -0.3293568, 1.0]], ['2, k, 14', [-0.1943524, -0.6720726, 1.0]], ['2, k, 15', [-0.2412885, -0.739114, 1.0]], ['2, k, 16', [-0.06345387, -0.2233675, 1.0]], ['2, k, 17', [0.036302, -0.3399797, 1.0]], ['2, k, 18', [0.04949518, -0.6660936, 1.0]], ['2, k, 19', [0.08087653, -0.7195422, 1.0]], ['2, k, 20', [-0.1197219, 0.2173854, 1.0]], ['2, k, 21', [-0.5994074, -0.24243, 1.0]], ['2, k, 22', [-0.5651563, -0.2279867, 1.0]], ['2, k, 23', [0.1284284, -0.3622734, 1.0]], ['2, k, 24', [0.1420241, -0.2806543, 1.0]]]
[['2, k, 0', [-0.1260247, -0.2261248, 1.0]], ['2, k, 1', [-0.1206585, 0.02901381, 1.0]], ['2, k, 2', [-0.1135164, 0.2781653, 1.0]], ['2, k, 3', [-0.09860008, 0.4090884, 1.0]], ['2, k, 4', [-0.2701034, 0.1640322, 1.0]], ['2, k, 5', [-0.4439644, 0.0152073, 1.0]], ['2, k, 6', [-0.5811387, -0.1178044, 1.0]], ['2, k, 7', [-0.6118, -0.1433693, 1.0]], ['2, k, 8', [0.03591128, 0.1642173, 1.0]], ['2, k, 9', [0.08759513, -0.05753117, 1.0]], ['2, k, 10', [0.1251633, -0.2848961, 1.0]], ['2, k, 11', [0.1219511, -0.3270415, 1.0]], ['2, k, 12', [-0.1887944, -0.2230958, 1.0]], ['2, k, 13', [-0.1999075, -0.3293977, 1.0]], ['2, k, 14', [-0.1934976, -0.6728209, 1.0]], ['2, k, 15', [-0.2282896, -0.7383155, 1.0]], ['2, k, 16', [-0.06032418, -0.2239719, 1.0]], ['2, k, 17', [0.03661983, -0.339974, 1.0]], ['2, k, 18', [0.05046394, -0.6686692, 1.0]], ['2, k, 19', [0.08619631, -0.7251143, 1.0]], ['2, k, 20', [-0.1154453, 0.2166396, 1.0]], ['2, k, 21', [-0.6351242, -0.2069668, 1.0]], ['2, k, 22', [-0.6162719, -0.1330181, 1.0]], ['2, k, 23', [0.1200466, -0.4171389, 1.0]], ['2, k, 24', [0.1376653, -0.3424925, 1.0]]]
[['2, k, 0', [-0.1178521, -0.2254749, 1.0]], ['2, k, 1', [-0.1169509, 0.02929907, 1.0]], ['2, k, 2', [-0.1125316, 0.2783262, 1.0]], ['2, k, 3', [-0.09647074, 0.4083732, 1.0]], ['2, k, 4', [-0.2702254, 0.1644876, 1.0]], ['2, k, 5', [-0.4624474, 0.04007407, 1.0]], ['2, k, 6', [-0.6003044, -0.05642654, 1.0]], ['2, k, 7', [-0.6367478, -0.0904217, 1.0]], ['2, k, 8', [0.03774075, 0.1643372, 1.0]], ['2, k, 9', [0.08765178, -0.05753755, 1.0]], ['2, k, 10', [0.130781, -0.2647607, 1.0]], ['2, k, 11', [0.1271983, -0.3028935, 1.0]], ['2, k, 12', [-0.1800392, -0.2234698, 1.0]], ['2, k, 13', [-0.1998842, -0.3289402, 1.0]], ['2, k, 14', [-0.1931555, -0.67327, 1.0]], ['2, k, 15', [-0.236334, -0.7418388, 1.0]], ['2, k, 16', [-0.05280039, -0.2223057, 1.0]], ['2, k, 17', [0.0366868, -0.3399911, 1.0]], ['2, k, 18', [0.04996492, -0.6694912, 1.0]], ['2, k, 19', [0.08379424, -0.7230932, 1.0]], ['2, k, 20', [-0.1139919, 0.2168299, 1.0]], ['2, k, 21', [-0.6753581, -0.1620823, 1.0]], ['2, k, 22', [-0.6469166, -0.1023176, 1.0]], ['2, k, 23', [0.1279512, -0.350015, 1.0]], ['2, k, 24', [0.1383672, -0.3089496, 1.0]]]
[['2, k, 0', [-0.1178677, -0.2245034, 1.0]], ['2, k, 1', [-0.1158584, 0.02985977, 1.0]], ['2, k, 2', [-0.1101103, 0.2784269, 1.0]], ['2, k, 3', [-0.09422777, 0.4087633, 1.0]], ['2, k, 4', [-0.2723696, 0.1662809, 1.0]], ['2, k, 5', [-0.4930784, 0.1017608, 1.0]], ['2, k, 6', [-0.646083, 0.03255946, 1.0]], ['2, k, 7', [-0.6798826, 0.005117358, 1.0]], ['2, k, 8', [0.04022568, 0.164421, 1.0]], ['2, k, 9', [0.08828413, -0.05758324, 1.0]], ['2, k, 10', [0.1310116, -0.2637247, 1.0]], ['2, k, 11', [0.1273001, -0.3030378, 1.0]], ['2, k, 12', [-0.1804381, -0.2223433, 1.0]], ['2, k, 13', [-0.1997825, -0.3288225, 1.0]], ['2, k, 14', [-0.1934489, -0.672051, 1.0]], ['2, k, 15', [-0.2423619, -0.736692, 1.0]], ['2, k, 16', [-0.05243976, -0.221216, 1.0]], ['2, k, 17', [0.03712717, -0.3398885, 1.0]], ['2, k, 18', [0.04924358, -0.6700189, 1.0]], ['2, k, 19', [0.09471263, -0.7284402, 1.0]], ['2, k, 20', [-0.1118643, 0.2170907, 1.0]], ['2, k, 21', [-0.730828, -0.05858914, 1.0]], ['2, k, 22', [-0.6906716, 0.005855701, 1.0]], ['2, k, 23', [0.1260573, -0.351683, 1.0]], ['2, k, 24', [0.1429949, -0.3028698, 1.0]]]
[['2, k, 0', [-0.1183209, -0.2243897, 1.0]], ['2, k, 1', [-0.1154594, 0.02991074, 1.0]], ['2, k, 2', [-0.1080628, 0.2785, 1.0]], ['2, k, 3', [-0.09330214, 0.4087913, 1.0]], ['2, k, 4', [-0.2758862, 0.1693745, 1.0]], ['2, k, 5', [-0.505924, 0.1649693, 1.0]], ['2, k, 6', [-0.669005, 0.1261724, 1.0]], ['2, k, 7', [-0.7233954, 0.09520029, 1.0]], ['2, k, 8', [0.04118124, 0.1644277, 1.0]], ['2, k, 9', [0.08965106, -0.05708244, 1.0]], ['2, k, 10', [0.1299272, -0.2638162, 1.0]], ['2, k, 11', [0.1265724, -0.3022566, 1.0]], ['2, k, 12', [-0.1807247, -0.2221566, 1.0]], ['2, k, 13', [-0.1996043, -0.3287991, 1.0]], ['2, k, 14', [-0.1942772, -0.672963, 1.0]], ['2, k, 15', [-0.2093437, -0.7305636, 1.0]], ['2, k, 16', [-0.053155, -0.2212343, 1.0]], ['2, k, 17', [0.03722217, -0.3399351, 1.0]], ['2, k, 18', [0.04800897, -0.6710741, 1.0]], ['2, k, 19', [0.08992373, -0.727505, 1.0]], ['2, k, 20', [-0.1102619, 0.2171607, 1.0]], ['2, k, 21', [-0.7788998, 0.04448581, 1.0]], ['2, k, 22', [-0.7336851, 0.09113137, 1.0]], ['2, k, 23', [0.1261239, -0.3518458, 1.0]], ['2, k, 24', [0.1404844, -0.3095043, 1.0]]]
[['2, k, 0', [-0.1195458, -0.2220993, 1.0]], ['2, k, 1', [-0.1149753, 0.03105949, 1.0]], ['2, k, 2', [-0.1067379, 0.2792483, 1.0]], ['2, k, 3', [-0.09301968, 0.4087046, 1.0]], ['2, k, 4', [-0.2788787, 0.1734288, 1.0]], ['2, k, 5', [-0.5087457, 0.1813578, 1.0]], ['2, k, 6', [-0.6836289, 0.1581107, 1.0]], ['2, k, 7', [-0.7294202, 0.1494353, 1.0]], ['2, k, 8', [0.04192053, 0.1649583, 1.0]], ['2, k, 9', [0.0901334, -0.05629217, 1.0]], ['2, k, 10', [0.1297719, -0.2640609, 1.0]], ['2, k, 11', [0.125652, -0.3026867, 1.0]], ['2, k, 12', [-0.1824628, -0.2192017, 1.0]], ['2, k, 13', [-0.1994077, -0.3287989, 1.0]], ['2, k, 14', [-0.1948212, -0.6750861, 1.0]], ['2, k, 15', [-0.2494673, -0.7368374, 1.0]], ['2, k, 16', [-0.0539539, -0.2195183, 1.0]], ['2, k, 17', [0.03730722, -0.3400252, 1.0]], ['2, k, 18', [0.05109508, -0.6634495, 1.0]], ['2, k, 19', [0.080765, -0.7205335, 1.0]], ['2, k, 20', [-0.1091162, 0.2180128, 1.0]], ['2, k, 21', [-0.8007969, 0.1076128, 1.0]], ['2, k, 22', [-0.720739, 0.1726779, 1.0]], ['2, k, 23', [0.1259836, -0.3514882, 1.0]], ['2, k, 24', [0.1375042, -0.3040415, 1.0]]]
