[['2, k, 0', [-0.1672678, 0.05836686, 1.0]], ['2, k, 1', [-0.1722163, 0.3302045, 1.0]], ['2, k, 2', [-0.1758396, 0.5947291, 1.0]], ['2, k, 3', [-0.1659475, 0.7324249, 1.0]], ['2, k, 4', [-0.3221027, 0.4715177, 1.0]], ['2, k, 5', [-0.3525955, 0.2550184, 1.0]], ['2, k, 6', [-0.3530225, 0.05415648, 1.0]], ['2, k, 7', [-0.3587899, 0.0004593251, 1.0]], ['2, k, 8', [-0.005076138, 0.476406, 1.0]], ['2, k, 9', [0.03384996, 0.2400737, 1.0]], ['2, k, 10', [0.03025019, 0.05968669, 1.0]], ['2, k, 11', [0.0165146, 0.02108114, 1.0]], ['2, k, 12', [-0.2285557, 0.05816966, 1.0]], ['2, k, 13', [-0.2151415, -0.2543644, 1.0]], ['2, k, 14', [-0.2178659, -0.5580939, 1.0]], ['2, k, 15', [-0.2093335, -0.6306841, 1.0]], ['2, k, 16', [-0.1021577, 0.05719083, 1.0]], ['2, k, 17', [-0.1167675, -0.2573926, 1.0]], ['2, k, 18', [-0.1050047, -0.5308632, 1.0]], ['2, k, 19', [-0.09396399, -0.5775675, 1.0]], ['2, k, 20', [-0.1750736, 0.5296089, 1.0]], ['2, k, 21', [-0.3712353, -0.06733388, 1.0]], ['2, k, 22', [-0.3150128, -0.006552223, 1.0]], ['2, k, 23', [0.01622812, -0.04692727, 1.0]], ['2, k, 24', [-0.01355715, 0.02236123, 1.0]]]
[['2, k, 0', [-0.1673193, 0.05838158, 1.0]], ['2, k, 1', [-0.1721945, 0.3301854, 1.0]], ['2, k, 2', [-0.1756593, 0.5946225, 1.0]], ['2, k, 3', [-0.1661516, 0.732406, 1.0]], ['2, k, 4', [-0.3227672, 0.4713834, 1.0]], ['2, k, 5', [-0.3526909, 0.2538297, 1.0]], ['2, k, 6', [-0.3546752, 0.05056456, 1.0]], ['2, k, 7', [-0.3596667, -0.0002895472, 1.0]], ['2, k, 8', [-0.005258202, 0.4764777, 1.0]], ['2, k, 9', [0.03379354, 0.2400225, 1.0]], ['2, k, 10', [0.03021217, 0.05967276, 1.0]], ['2, k, 11', [0.01649888, 0.02163917, 1.0]], ['2, k, 12', [-0.2286168, 0.05820058, 1.0]], ['2, k, 13', [-0.2209843, -0.2542129, 1.0]], ['2, k, 14', [-0.2163069, -0.5605375, 1.0]], ['2, k, 15', [-0.2109866, -0.6298044, 1.0]], ['2, k, 16', [-0.1021977, 0.05719358, 1.0]], ['2, k, 17', [-0.1172161, -0.2572841, 1.0]], ['2, k, 18', [-0.1038652, -0.5308416, 1.0]], ['2, k, 19', [-0.0931397, -0.5775392, 1.0]], ['2, k, 20', [-0.1749443, 0.5295295, 1.0]], ['2, k, 21', [-0.3667108, -0.06986727, 1.0]], ['2, k, 22', [-0.3128978, 0.001148429, 1.0]], ['2, k, 23', [0.0214198, -0.04225331, 1.0]], ['2, k, 24', [-0.01390012, 0.01752261, 1.0]]]
[['2, k, 0', [-0.1674719, 0.05853745, 1.0]], ['2, k, 1', [-0.1722825, 0.3303021, 1.0]], ['2, k, 2', [-0.1757657, 0.5947706, 1.0]], ['2, k, 3', [-0.1661456, 0.7324141, 1.0]], ['2, k, 4', [-0.3229349, 0.4720719, 1.0]], ['2, k, 5', [-0.3527364, 0.2532712, 1.0]], ['2, k, 6', [-0.3548563, 0.05092167, 1.0]], ['2, k, 7', [-0.36133, -0.0006712665, 1.0]], ['2, k, 8', [-0.005228252, 0.4764398, 1.0]], ['2, k, 9', [0.03375179, 0.240003, 1.0]], ['2, k, 10', [0.0300474, 0.05966924, 1.0]], ['2, k, 11', [0.0155699, 0.02248526, 1.0]], ['2, k, 12', [-0.2287335, 0.05832551, 1.0]], ['2, k, 13', [-0.2226267, -0.2542559, 1.0]], ['2, k, 14', [-0.2158628, -0.5561567, 1.0]], ['2, k, 15', [-0.2114023, -0.6261725, 1.0]], ['2, k, 16', [-0.1023824, 0.05737976, 1.0]], ['2, k, 17', [-0.1167466, -0.2571043, 1.0]], ['2, k, 18', [-0.1034773, -0.5305839, 1.0]], ['2, k, 19', [-0.09287488, -0.5772815, 1.0]], ['2, k, 20', [-0.175045, 0.5296689, 1.0]], ['2, k, 21', [-0.3670049, -0.06627483, 1.0]], ['2, k, 22', [-0.3161581, -0.003966263, 1.0]], ['2, k, 23', [0.01774142, -0.04091226, 1.0]], ['2, k, 24', [-0.01296579, 0.0203229, 1.0]]]
[['2, k, 0', [-0.1675446, 0.05853846, 1.0]], ['2, k, 1', [-0.1723193, 0.3302176, 1.0]], ['2, k, 2', [-0.1758312, 0.594605, 1.0]], ['2, k, 3', [-0.1663662, 0.7322598, 1.0]], ['2, k, 4', [-0.3231364, 0.4720905, 1.0]], ['2, k, 5', [-0.3527808, 0.2531742, 1.0]], ['2, k, 6', [-0.3550363, 0.04905858, 1.0]], ['2, k, 7', [-0.3608505, 0.001654668, 1.0]], ['2, k, 8', [-0.005268693, 0.4763179, 1.0]], ['2, k, 9', [0.03332003, 0.240348, 1.0]], ['2, k, 10', [0.03030103, 0.06036852, 1.0]], ['2, k, 11', [0.01762837, 0.02058522, 1.0]], ['2, k, 12', [-0.2287957, 0.05833097, 1.0]], ['2, k, 13', [-0.2219734, -0.2544269, 1.0]], ['2, k, 14', [-0.2164747, -0.5280047, 1.0]], ['2, k, 15', [-0.2047273, -0.5747249, 1.0]], ['2, k, 16', [-0.1024586, 0.05737757, 1.0]], ['2, k, 17', [-0.1155791, -0.2571892, 1.0]], ['2, k, 18', [-0.1080079, -0.531265, 1.0]], ['2, k, 19', [-0.09742467, -0.5779402, 1.0]], ['2, k, 20', [-0.1750989, 0.5295327, 1.0]], ['2, k, 21', [-0.3674498, -0.06212934, 1.0]], ['2, k, 22', [-0.3111014, 0.005942174, 1.0]], ['2, k, 23', [0.02356021, -0.04009444, 1.0]], ['2, k, 24', [-0.01135295, 0.008635338, 1.0]]]
[['2, k, 0', [-0.1675418, 0.05858914, 1.0]], ['2, k, 1', [-0.1723212, 0.3302789, 1.0]], ['2, k, 2', [-0.1758875, 0.5948535, 1.0]], ['2, k, 3', [-0.1664067, 0.7323235, 1.0]], ['2, k, 4', [-0.3213925, 0.4713322, 1.0]], ['2, k, 5', [-0.3528274, 0.2529983, 1.0]], ['2, k, 6', [-0.3560214, 0.05884701, 1.0]], ['2, k, 7', [-0.3614463, 0.006652493, 1.0]], ['2, k, 8', [-0.005391455, 0.4763826, 1.0]], ['2, k, 9', [0.03317929, 0.2403241, 1.0]], ['2, k, 10', [0.03025663, 0.06035654, 1.0]], ['2, k, 11', [0.01576954, 0.02445116, 1.0]], ['2, k, 12', [-0.2287757, 0.05834891, 1.0]], ['2, k, 13', [-0.2234301, -0.2548028, 1.0]], ['2, k, 14', [-0.2160256, -0.5281025, 1.0]], ['2, k, 15', [-0.2036777, -0.5748022, 1.0]], ['2, k, 16', [-0.1024719, 0.05746414, 1.0]], ['2, k, 17', [-0.115545, -0.257057, 1.0]], ['2, k, 18', [-0.1076854, -0.5311139, 1.0]], ['2, k, 19', [-0.09650011, -0.5777707, 1.0]], ['2, k, 20', [-0.1751348, 0.5297213, 1.0]], ['2, k, 21', [-0.3720062, -0.06036018, 1.0]], ['2, k, 22', [-0.3156663, 0.004960171, 1.0]], ['2, k, 23', [0.01548181, -0.04165732, 1.0]], ['2, k, 24', [-0.01348216, 0.02911688, 1.0]]]
[['2, k, 0', [-0.1675373, 0.05861615, 1.0]], ['2, k, 1', [-0.1723277, 0.3303148, 1.0]], ['2, k, 2', [-0.175971, 0.5948655, 1.0]], ['2, k, 3', [-0.1664124, 0.7323508, 1.0]], ['2, k, 4', [-0.3216831, 0.4708565, 1.0]], ['2, k, 5', [-0.353274, 0.2537266, 1.0]], ['2, k, 6', [-0.3564643, 0.0641959, 1.0]], ['2, k, 7', [-0.3624043, 0.008991949, 1.0]], ['2, k, 8', [-0.005270862, 0.4764327, 1.0]], ['2, k, 9', [0.03322409, 0.2400026, 1.0]], ['2, k, 10', [0.03006192, 0.06004346, 1.0]], ['2, k, 11', [0.01530746, 0.02103241, 1.0]], ['2, k, 12', [-0.2287811, 0.05838441, 1.0]], ['2, k, 13', [-0.223423, -0.2548231, 1.0]], ['2, k, 14', [-0.2159339, -0.5563481, 1.0]], ['2, k, 15', [-0.21205, -0.6290354, 1.0]], ['2, k, 16', [-0.1024559, 0.05748757, 1.0]], ['2, k, 17', [-0.1154858, -0.2570211, 1.0]], ['2, k, 18', [-0.1071641, -0.5310935, 1.0]], ['2, k, 19', [-0.09622288, -0.5777401, 1.0]], ['2, k, 20', [-0.1751948, 0.5297428, 1.0]], ['2, k, 21', [-0.3713074, -0.05426182, 1.0]], ['2, k, 22', [-0.327319, -0.00447783, 1.0]], ['2, k, 23', [0.01620717, -0.03935923, 1.0]], ['2, k, 24', [-0.01392111, 0.02890568, 1.0]]]
[['2, k, 0', [-0.1676629, 0.0587294, 1.0]], ['2, k, 1', [-0.1724377, 0.3303787, 1.0]], ['2, k, 2', [-0.1761001, 0.5948974, 1.0]], ['2, k, 3', [-0.166401, 0.7323469, 1.0]], ['2, k, 4', [-0.3232984, 0.4716182, 1.0]], ['2, k, 5', [-0.3532653, 0.2538646, 1.0]], ['2, k, 6', [-0.3590024, 0.07446499, 1.0]], ['2, k, 7', [-0.3676288, 0.01711934, 1.0]], ['2, k, 8', [-0.005195376, 0.4763157, 1.0]], ['2, k, 9', [0.03310548, 0.2398229, 1.0]], ['2, k, 10', [0.02958242, 0.05987988, 1.0]], ['2, k, 11', [0.01516318, 0.01964933, 1.0]], ['2, k, 12', [-0.2288892, 0.05852429, 1.0]], ['2, k, 13', [-0.2229984, -0.2546921, 1.0]], ['2, k, 14', [-0.2144809, -0.5572658, 1.0]], ['2, k, 15', [-0.2103593, -0.6299919, 1.0]], ['2, k, 16', [-0.1026052, 0.05758309, 1.0]], ['2, k, 17', [-0.1160821, -0.257037, 1.0]], ['2, k, 18', [-0.1090406, -0.5668797, 1.0]], ['2, k, 19', [-0.1167396, -0.6395369, 1.0]], ['2, k, 20', [-0.1753195, 0.5297827, 1.0]], ['2, k, 21', [-0.3701057, -0.03955294, 1.0]], ['2, k, 22', [-0.332889, 0.007170555, 1.0]], ['2, k, 23', [0.01022919, -0.04843856, 1.0]], ['2, k, 24', [-0.009035056, -0.006202668, 1.0]]]
[['2, k, 0', [-0.1677397, 0.05887498, 1.0]], ['2, k, 1', [-0.1725873, 0.3304124, 1.0]], ['2, k, 2', [-0.1765199, 0.5947328, 1.0]], ['2, k, 3', [-0.1664641, 0.7322851, 1.0]], ['2, k, 4', [-0.3238807, 0.4721452, 1.0]], ['2, k, 5', [-0.3537574, 0.2548548, 1.0]], ['2, k, 6', [-0.3582585, 0.08353167, 1.0]], ['2, k, 7', [-0.3712835, 0.03343976, 1.0]], ['2, k, 8', [-0.004991366, 0.4764616, 1.0]], ['2, k, 9', [0.03314235, 0.239735, 1.0]], ['2, k, 10', [0.02928224, 0.0598333, 1.0]], ['2, k, 11', [0.01307692, 0.01955895, 1.0]], ['2, k, 12', [-0.2289911, 0.05863838, 1.0]], ['2, k, 13', [-0.2234039, -0.2545489, 1.0]], ['2, k, 14', [-0.2119993, -0.5526288, 1.0]], ['2, k, 15', [-0.2106307, -0.6260957, 1.0]], ['2, k, 16', [-0.1026526, 0.05776723, 1.0]], ['2, k, 17', [-0.1168119, -0.2568779, 1.0]], ['2, k, 18', [-0.1075506, -0.5663582, 1.0]], ['2, k, 19', [-0.1172622, -0.6383963, 1.0]], ['2, k, 20', [-0.1756606, 0.5296853, 1.0]], ['2, k, 21', [-0.3767458, -0.02495469, 1.0]], ['2, k, 22', [-0.3437102, 0.004047354, 1.0]], ['2, k, 23', [0.0138557, -0.04106215, 1.0]], ['2, k, 24', [-0.01317824, 0.01826588, 1.0]]]
[['2, k, 0', [-0.1681827, 0.05884913, 1.0]], ['2, k, 1', [-0.1727332, 0.330293, 1.0]], ['2, k, 2', [-0.1764485, 0.5945296, 1.0]], ['2, k, 3', [-0.1662377, 0.7320793, 1.0]], ['2, k, 4', [-0.3238764, 0.4723611, 1.0]], ['2, k, 5', [-0.3533684, 0.2568878, 1.0]], ['2, k, 6', [-0.3630467, 0.1073521, 1.0]], ['2, k, 7', [-0.3778757, 0.05305349, 1.0]], ['2, k, 8', [-0.004745153, 0.4762951, 1.0]], ['2, k, 9', [0.03312583, 0.2397262, 1.0]], ['2, k, 10', [0.02910118, 0.0598532, 1.0]], ['2, k, 11', [0.0136752, 0.01384545, 1.0]], ['2, k, 12', [-0.2293909, 0.05864457, 1.0]], ['2, k, 13', [-0.221265, -0.2543731, 1.0]], ['2, k, 14', [-0.2107603, -0.5637326, 1.0]], ['2, k, 15', [-0.2107648, -0.6362792, 1.0]], ['2, k, 16', [-0.1031295, 0.05770714, 1.0]], ['2, k, 17', [-0.1169392, -0.2570215, 1.0]], ['2, k, 18', [-0.1074138, -0.5664581, 1.0]], ['2, k, 19', [-0.1195733, -0.6392459, 1.0]], ['2, k, 20', [-0.175645, 0.5295026, 1.0]], ['2, k, 21', [-0.3888624, -0.002667337, 1.0]], ['2, k, 22', [-0.343985, 0.03260795, 1.0]], ['2, k, 23', [0.01759159, -0.04877842, 1.0]], ['2, k, 24', [-0.01935773, 0.004020159, 1.0]]]
[['2, k, 0', [-0.1683666, 0.05895788, 1.0]], ['2, k, 1', [-0.1726337, 0.3302316, 1.0]], ['2, k, 2', [-0.1757346, 0.5941125, 1.0]], ['2, k, 3', [-0.1662223, 0.7320239, 1.0]], ['2, k, 4', [-0.3238479, 0.4726553, 1.0]], ['2, k, 5', [-0.3539264, 0.2609371, 1.0]], ['2, k, 6', [-0.3615292, 0.1208356, 1.0]], ['2, k, 7', [-0.3785707, 0.08141533, 1.0]], ['2, k, 8', [-0.004755036, 0.4762447, 1.0]], ['2, k, 9', [0.0330378, 0.2397661, 1.0]], ['2, k, 10', [0.02913171, 0.05994345, 1.0]], ['2, k, 11', [0.0122972, 0.01737283, 1.0]], ['2, k, 12', [-0.2296532, 0.05872481, 1.0]], ['2, k, 13', [-0.2214997, -0.2544041, 1.0]], ['2, k, 14', [-0.2115931, -0.5629775, 1.0]], ['2, k, 15', [-0.2104347, -0.6355249, 1.0]], ['2, k, 16', [-0.1032494, 0.05783553, 1.0]], ['2, k, 17', [-0.116733, -0.2569896, 1.0]], ['2, k, 18', [-0.1070373, -0.56634, 1.0]], ['2, k, 19', [-0.118285, -0.6389228, 1.0]], ['2, k, 20', [-0.1751374, 0.5292013, 1.0]], ['2, k, 21', [-0.3708739, 0.02771323, 1.0]], ['2, k, 22', [-0.34412, 0.07777925, 1.0]], ['2, k, 23', [0.010227, -0.04844404, 1.0]], ['2, k, 24', [-0.01544872, 0.008475378, 1.0]]]
[['2, k, 0', [-0.1685367, 0.05904313, 1.0]], ['2, k, 1', [-0.1727559, 0.3301454, 1.0]], ['2, k, 2', [-0.1758734, 0.5938811, 1.0]], ['2, k, 3', [-0.1662173, 0.7320139, 1.0]], ['2, k, 4', [-0.3236935, 0.4730067, 1.0]], ['2, k, 5', [-0.3545867, 0.2713523, 1.0]], ['2, k, 6', [-0.3692882, 0.1858488, 1.0]], ['2, k, 7', [-0.3766428, 0.1506067, 1.0]], ['2, k, 8', [-0.004711973, 0.4763067, 1.0]], ['2, k, 9', [0.03308226, 0.239696, 1.0]], ['2, k, 10', [0.02901023, 0.0599067, 1.0]], ['2, k, 11', [0.01353975, 0.01728151, 1.0]], ['2, k, 12', [-0.2299089, 0.05888509, 1.0]], ['2, k, 13', [-0.220091, -0.2542985, 1.0]], ['2, k, 14', [-0.211569, -0.5624182, 1.0]], ['2, k, 15', [-0.2089638, -0.6353264, 1.0]], ['2, k, 16', [-0.1033456, 0.05785966, 1.0]], ['2, k, 17', [-0.1168899, -0.2570441, 1.0]], ['2, k, 18', [-0.1066341, -0.5668223, 1.0]], ['2, k, 19', [-0.1186659, -0.6392807, 1.0]], ['2, k, 20', [-0.175265, 0.5290098, 1.0]], ['2, k, 21', [-0.3856267, 0.113441, 1.0]], ['2, k, 22', [-0.3420713, 0.1395305, 1.0]], ['2, k, 23', [0.01022579, -0.04842703, 1.0]], ['2, k, 24', [-0.01703463, 0.002317565, 1.0]]]
