[['2, k, 0', [-15.87209, 87.06152, 1.0]], ['2, k, 1', [-13.512032128898682, 117.34625580504986, 1.0]], ['2, k, 2', [-11.675329661070123, 140.24704953273192, 1.0]], ['2, k, 3', [-11.136407148230518, 146.75281658328777, 1.0]], ['2, k, 4', [5.026013865725828, 134.2778517884199, 1.0]], ['2, k, 5', [17.53407527267953, 110.05696692681747, 1.0]], ['2, k, 6', [22.172302529461465, 86.21939904511929, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-31.205936762942088, 135.54879328278702, 1.0]], ['2, k, 9', [-34.79280041177527, 103.96040753136532, 1.0]], ['2, k, 10', [-34.769789531707964, 80.91015687991829, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-10.745933256434022, 87.1232967502892, 1.0]], ['2, k, 13', [-2.632592769475007, 47.632358539515664, 1.0]], ['2, k, 14', [2.374337827287879, 11.939012108225668, 1.0]], ['2, k, 15', [-4.438593304912739, 8.665858020162021, 1.0]], ['2, k, 16', [-20.602054789933852, 86.78670174824936, 1.0]], ['2, k, 17', [-13.416710004974977, 46.322768573698696, 1.0]], ['2, k, 18', [-3.646407774088452, 10.967317544802768, 1.0]], ['2, k, 19', [-5.505298510368329, 3.8291301670954434, 1.0]], ['2, k, 20', [-11.675329661070123, 140.24704953273192, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-15.923033333333331, 87.03355333333333, 1.0]], ['2, k, 1', [-13.530066257672487, 117.33227374151016, 1.0]], ['2, k, 2', [-11.677554713783612, 140.23508475463015, 1.0]], ['2, k, 3', [-11.135024229841623, 146.7433497964933, 1.0]], ['2, k, 4', [5.012441559478061, 134.28908199492727, 1.0]], ['2, k, 5', [17.49246866822334, 110.06060722843074, 1.0]], ['2, k, 6', [22.093798463660452, 86.24077761246029, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-29.969943228395078, 135.37965285975446, 1.0]], ['2, k, 9', [-34.12283902173761, 103.88612752402585, 1.0]], ['2, k, 10', [-35.007522612624214, 80.782737659665, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-10.780328055878002, 87.07615255657716, 1.0]], ['2, k, 13', [-2.615484605751437, 47.640810906916634, 1.0]], ['2, k, 14', [2.4308960276752876, 11.929730720311952, 1.0]], ['2, k, 15', [-4.280530281066964, 8.662829701486679, 1.0]], ['2, k, 16', [-20.66492871176386, 86.76421491704743, 1.0]], ['2, k, 17', [-13.348612359151645, 46.32633781354484, 1.0]], ['2, k, 18', [-3.527784396213182, 11.077359634185456, 1.0]], ['2, k, 19', [-5.296625665535797, 3.886352793803054, 1.0]], ['2, k, 20', [-11.677554713783612, 140.23508475463015, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-15.941251999999997, 86.99507200000001, 1.0]], ['2, k, 1', [-13.53765221288628, 117.31726336359114, 1.0]], ['2, k, 2', [-11.68104949443891, 140.22909048195157, 1.0]], ['2, k, 3', [-11.138163648833117, 146.74053356026513, 1.0]], ['2, k, 4', [4.981374588703103, 134.29439735074547, 1.0]], ['2, k, 5', [17.465948092608812, 110.06813206987644, 1.0]], ['2, k, 6', [22.026231833252908, 86.25154980008014, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-29.19826135637081, 135.2062485489002, 1.0]], ['2, k, 9', [-34.17187427560753, 103.88567025374832, 1.0]], ['2, k, 10', [-35.08893047117212, 80.77143628413819, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-10.745581441792833, 87.02318186339868, 1.0]], ['2, k, 13', [-2.63488740972328, 47.638234555790305, 1.0]], ['2, k, 14', [2.3934330299655517, 11.86602858836396, 1.0]], ['2, k, 15', [-4.232201695767825, 8.59971092151117, 1.0]], ['2, k, 16', [-20.715347949340682, 86.72963698273577, 1.0]], ['2, k, 17', [-13.336173733661873, 46.31279100781686, 1.0]], ['2, k, 18', [-3.46502042600698, 11.1881780501841, 1.0]], ['2, k, 19', [-5.192940360905665, 3.987843561648088, 1.0]], ['2, k, 20', [-11.68104949443891, 140.22909048195157, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-15.967828000000003, 86.95302799999999, 1.0]], ['2, k, 1', [-13.556880291945806, 117.29664408974652, 1.0]], ['2, k, 2', [-11.697884879633094, 140.2187075203877, 1.0]], ['2, k, 3', [-11.154707036139031, 146.7335837407543, 1.0]], ['2, k, 4', [4.942162688465256, 134.2923074750907, 1.0]], ['2, k, 5', [17.420769060842385, 110.08597489727075, 1.0]], ['2, k, 6', [21.959664400125863, 86.25432653321178, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-28.694042954208477, 135.2046584607106, 1.0]], ['2, k, 9', [-33.93958566878858, 103.96198717864917, 1.0]], ['2, k, 10', [-34.709645704207524, 80.8519947790015, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-10.74008459080806, 86.97188698615928, 1.0]], ['2, k, 13', [-2.670118895771809, 47.641366023516646, 1.0]], ['2, k, 14', [2.3384899435212994, 11.840807057904719, 1.0]], ['2, k, 15', [-4.214993590001836, 8.707953142291837, 1.0]], ['2, k, 16', [-20.770055007295646, 86.69077453715897, 1.0]], ['2, k, 17', [-13.32715136844763, 46.293618309406924, 1.0]], ['2, k, 18', [-3.4170470404827267, 11.268889032970932, 1.0]], ['2, k, 19', [-5.126100883723055, 4.069482407642163, 1.0]], ['2, k, 20', [-11.697884879633094, 140.2187075203877, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-15.982806, 86.90770599999999, 1.0]], ['2, k, 1', [-13.548320555619549, 117.27584532363173, 1.0]], ['2, k, 2', [-11.675293116112398, 140.210815040037, 1.0]], ['2, k, 3', [-11.129941061134042, 146.7296685710163, 1.0]], ['2, k, 4', [4.946512778701422, 134.29524664751318, 1.0]], ['2, k, 5', [17.416261491359705, 110.11795855296486, 1.0]], ['2, k, 6', [21.95373188392486, 86.25143517808958, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-28.202067437907854, 135.2806655666749, 1.0]], ['2, k, 9', [-33.53709086731142, 104.08217664839498, 1.0]], ['2, k, 10', [-34.10141379843351, 80.97851289565693, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-10.738781977290918, 86.91726809229428, 1.0]], ['2, k, 13', [-2.668536128602428, 47.64915869785972, 1.0]], ['2, k, 14', [2.5855478767961033, 11.802149898769535, 1.0]], ['2, k, 15', [-4.449713571753142, 7.734280846355665, 1.0]], ['2, k, 16', [-20.81470659111146, 86.65107647717122, 1.0]], ['2, k, 17', [-13.295029751945751, 46.274950476869215, 1.0]], ['2, k, 18', [-3.362209449239785, 11.367291755255287, 1.0]], ['2, k, 19', [-5.035502039332472, 4.164696519649961, 1.0]], ['2, k, 20', [-11.675293116112398, 140.210815040037, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-16.024174, 86.88043400000001, 1.0]], ['2, k, 1', [-13.594494892769706, 117.25783875617029, 1.0]], ['2, k, 2', [-11.724678274456693, 140.20265971106681, 1.0]], ['2, k, 3', [-11.182101873652153, 146.72431295452756, 1.0]], ['2, k, 4', [4.8778688651967705, 134.29620389171444, 1.0]], ['2, k, 5', [17.3398248564676, 110.13656363126306, 1.0]], ['2, k, 6', [21.880118585646876, 86.24950651376821, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-28.642880395759974, 135.18791615226576, 1.0]], ['2, k, 9', [-33.99094210793156, 104.00361625822026, 1.0]], ['2, k, 10', [-34.40633338026381, 80.87178157014665, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-10.746976674691691, 86.89708958264124, 1.0]], ['2, k, 13', [-2.6917062404353285, 47.643873686685964, 1.0]], ['2, k, 14', [2.560314184865076, 11.901646913205987, 1.0]], ['2, k, 15', [-4.085500139930344, 8.174556977240123, 1.0]], ['2, k, 16', [-20.879786651331035, 86.6245955260361, 1.0]], ['2, k, 17', [-13.342097272075636, 46.259240468933406, 1.0]], ['2, k, 18', [-3.4030113576264824, 11.41909789662757, 1.0]], ['2, k, 19', [-5.049331541182106, 4.218863649952631, 1.0]], ['2, k, 20', [-11.724678274456693, 140.20265971106681, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-16.05657, 86.851016, 1.0]], ['2, k, 1', [-13.633069205212315, 117.23843129541828, 1.0]], ['2, k, 2', [-11.769454820614198, 140.19246603948037, 1.0]], ['2, k, 3', [-11.230127841587247, 146.71695981717463, 1.0]], ['2, k, 4', [4.809657418986413, 134.29135123726454, 1.0]], ['2, k, 5', [17.255477343597043, 110.16074768099256, 1.0]], ['2, k, 6', [21.796307431392403, 86.24310865176358, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-28.9884927653607, 135.12189034347875, 1.0]], ['2, k, 9', [-34.252006278392045, 103.9132449644187, 1.0]], ['2, k, 10', [-34.62273662684305, 80.77133998551166, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-10.757648279735434, 86.8763929586641, 1.0]], ['2, k, 13', [-2.7250517171781343, 47.63581834905527, 1.0]], ['2, k, 14', [2.5139764108856815, 11.995182012097573, 1.0]], ['2, k, 15', [-4.061002182405454, 8.372540579615196, 1.0]], ['2, k, 16', [-20.93170668202943, 86.59744567408424, 1.0]], ['2, k, 17', [-13.374563685466526, 46.241313605297414, 1.0]], ['2, k, 18', [-3.422671990094006, 11.47451323473284, 1.0]], ['2, k, 19', [-5.066908006261379, 4.266777965898879, 1.0]], ['2, k, 20', [-11.769454820614198, 140.19246603948037, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-16.069603999999998, 86.827378, 1.0]], ['2, k, 1', [-13.652165967525303, 117.2242548058967, 1.0]], ['2, k, 2', [-11.794531226229019, 140.185843652905, 1.0]], ['2, k, 3', [-11.2578687749191, 146.7129464985937, 1.0]], ['2, k, 4', [4.767843932002789, 134.29332410719152, 1.0]], ['2, k, 5', [17.183635392354574, 110.17021094386652, 1.0]], ['2, k, 6', [21.716521162677914, 86.23685899065717, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-29.242226993739322, 135.0788007654444, 1.0]], ['2, k, 9', [-34.46633205138569, 103.85380646683467, 1.0]], ['2, k, 10', [-34.77709595347533, 80.71158117426947, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-10.744872092380048, 86.85662805761484, 1.0]], ['2, k, 13', [-2.7347411771564243, 47.628805434362384, 1.0]], ['2, k, 14', [2.4732814133156564, 12.038657414383195, 1.0]], ['2, k, 15', [-4.073315018409722, 8.47755361638877, 1.0]], ['2, k, 16', [-20.956586761732297, 86.57898366389952, 1.0]], ['2, k, 17', [-13.3670315782349, 46.234386324472716, 1.0]], ['2, k, 18', [-3.3969247621015803, 11.54040370210187, 1.0]], ['2, k, 19', [-5.037531566449462, 4.3222691160107125, 1.0]], ['2, k, 20', [-11.794531226229019, 140.185843652905, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-16.07631, 86.817314, 1.0]], ['2, k, 1', [-13.648605438074977, 117.21612589606397, 1.0]], ['2, k, 2', [-11.786501257040078, 140.1815899968135, 1.0]], ['2, k, 3', [-11.249509978400651, 146.7104142083824, 1.0]], ['2, k, 4', [4.7666415882562845, 134.29248406286945, 1.0]], ['2, k, 5', [17.136303546357517, 110.16200506727446, 1.0]], ['2, k, 6', [21.662114648763602, 86.21060128421608, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-29.442200447433535, 135.0402645163119, 1.0]], ['2, k, 9', [-34.6519468071525, 103.80458433658934, 1.0]], ['2, k, 10', [-34.89550370731655, 80.66067945764101, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-10.72695928902859, 86.84991459921184, 1.0]], ['2, k, 13', [-2.7294067908632744, 47.61261449348672, 1.0]], ['2, k, 14', [2.4320027473373385, 12.057682973147216, 1.0]], ['2, k, 15', [-4.084510337119853, 8.548795824551773, 1.0]], ['2, k, 16', [-20.96765225100405, 86.57607575369887, 1.0]], ['2, k, 17', [-13.330237308266586, 46.24573608836771, 1.0]], ['2, k, 18', [-3.346479982839975, 11.625691941080099, 1.0]], ['2, k, 19', [-4.968158316856732, 4.396403639222316, 1.0]], ['2, k, 20', [-11.786501257040078, 140.1815899968135, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-16.086399999999998, 86.79893, 1.0]], ['2, k, 1', [-13.661882712054194, 117.20559375144924, 1.0]], ['2, k, 2', [-11.801683923856956, 140.1765971200301, 1.0]], ['2, k, 3', [-11.267239433464248, 146.7067941098497, 1.0]], ['2, k, 4', [4.7391649180349, 134.29221798409594, 1.0]], ['2, k, 5', [17.044598620872776, 110.14502301654616, 1.0]], ['2, k, 6', [21.60829439507547, 86.18202745719613, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-29.603194434739418, 135.05773512823748, 1.0]], ['2, k, 9', [-34.7721644822849, 103.79982619007343, 1.0]], ['2, k, 10', [-34.966048578191305, 80.66062320385164, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-10.710808193906017, 86.83459272692588, 1.0]], ['2, k, 13', [-2.743739240249514, 47.61110501438404, 1.0]], ['2, k, 14', [2.3728623237556725, 12.102601007876153, 1.0]], ['2, k, 15', [-4.083023157853005, 8.65211983598475, 1.0]], ['2, k, 16', [-20.987804322208437, 86.55939139208225, 1.0]], ['2, k, 17', [-13.317315788833458, 46.24157698730269, 1.0]], ['2, k, 18', [-3.300371522892556, 11.640868635386582, 1.0]], ['2, k, 19', [-4.906067295362975, 4.406628912699782, 1.0]], ['2, k, 20', [-11.801683923856956, 140.1765971200301, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-16.058026, 86.78867799999999, 1.0]], ['2, k, 1', [-13.70534676839555, 117.20648028352025, 1.0]], ['2, k, 2', [-11.863743258895708, 140.18257731800412, 1.0]], ['2, k, 3', [-11.337094391204054, 146.71407792726427, 1.0]], ['2, k, 4', [4.6704250218191685, 134.29202426402256, 1.0]], ['2, k, 5', [16.926263653846604, 110.1440763152484, 1.0]], ['2, k, 6', [21.518972025726544, 86.13349214754359, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-29.784975773912265, 135.1747851533846, 1.0]], ['2, k, 9', [-34.91929312096471, 103.90049897213314, 1.0]], ['2, k, 10', [-35.07036097438688, 80.76343924101593, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-10.660921819937533, 86.84096256772315, 1.0]], ['2, k, 13', [-2.7936445205770264, 47.61573137577621, 1.0]], ['2, k, 14', [2.276295944713996, 11.998788113596952, 1.0]], ['2, k, 15', [-4.484320429751737, 8.392245803938165, 1.0]], ['2, k, 16', [-20.96645182797962, 86.53854623879694, 1.0]], ['2, k, 17', [-13.393736549760192, 46.20986095182622, 1.0]], ['2, k, 18', [-3.3670668232986696, 11.59267858256981, 1.0]], ['2, k, 19', [-4.962927508899743, 4.353986498106262, 1.0]], ['2, k, 20', [-11.863743258895708, 140.18257731800412, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
