[['2, k, 0', [-0.247569, -0.50755, 1.0]], ['2, k, 1', [-0.237282, -0.171786, 1.0]], ['2, k, 2', [-0.225438, 0.153229, 1.0]], ['2, k, 3', [-0.211531, 0.311525, 1.0]], ['2, k, 4', [-0.40639, 0.0648962, 1.0]], ['2, k, 5', [-0.458328, -0.232873, 1.0]], ['2, k, 6', [-0.45939, -0.50073, 1.0]], ['2, k, 7', [-0.455301, -0.536708, 1.0]], ['2, k, 8', [-0.043025, 0.0390397, 1.0]], ['2, k, 9', [-0.0148046, -0.254191, 1.0]], ['2, k, 10', [-0.0109878, -0.513101, 1.0]], ['2, k, 11', [-0.0157, -0.577357, 1.0]], ['2, k, 12', [-0.326936, -0.495474, 1.0]], ['2, k, 13', [-0.385637, -0.877862, 1.0]], ['2, k, 14', [-0.439055, -1.29057, 1.0]], ['2, k, 15', [-0.455137, -1.33656, 1.0]], ['2, k, 16', [-0.161954, -0.507121, 1.0]], ['2, k, 17', [-0.139289, -0.885239, 1.0]], ['2, k, 18', [-0.108193, -1.26937, 1.0]], ['2, k, 19', [-0.128662, -1.3623, 1.0]], ['2, k, 20', [-0.228554, 0.073484, 1.0]], ['2, k, 21', [-0.446215, -0.601893, 1.0]], ['2, k, 22', [-0.485037, -0.539315, 1.0]], ['2, k, 23', [-0.0140781, -0.63963, 1.0]], ['2, k, 24', [0.0198109, -0.588259, 1.0]]]
[['2, k, 0', [-0.247431, -0.507498, 1.0]], ['2, k, 1', [-0.237276, -0.171884, 1.0]], ['2, k, 2', [-0.225616, 0.153143, 1.0]], ['2, k, 3', [-0.211767, 0.311907, 1.0]], ['2, k, 4', [-0.4064, 0.0645026, 1.0]], ['2, k, 5', [-0.457011, -0.235817, 1.0]], ['2, k, 6', [-0.45636, -0.501091, 1.0]], ['2, k, 7', [-0.455508, -0.531521, 1.0]], ['2, k, 8', [-0.0429935, 0.039118, 1.0]], ['2, k, 9', [-0.0149764, -0.254713, 1.0]], ['2, k, 10', [-0.0120708, -0.513654, 1.0]], ['2, k, 11', [-0.0182804, -0.578789, 1.0]], ['2, k, 12', [-0.326851, -0.495472, 1.0]], ['2, k, 13', [-0.385053, -0.87842, 1.0]], ['2, k, 14', [-0.437209, -1.29123, 1.0]], ['2, k, 15', [-0.455102, -1.33703, 1.0]], ['2, k, 16', [-0.161745, -0.506954, 1.0]], ['2, k, 17', [-0.139484, -0.885585, 1.0]], ['2, k, 18', [-0.109965, -1.27305, 1.0]], ['2, k, 19', [-0.0869537, -1.36882, 1.0]], ['2, k, 20', [-0.228672, 0.0733521, 1.0]], ['2, k, 21', [-0.456737, -0.58389, 1.0]], ['2, k, 22', [-0.494328, -0.502024, 1.0]], ['2, k, 23', [-0.0140593, -0.638124, 1.0]], ['2, k, 24', [0.0188671, -0.577805, 1.0]]]
[['2, k, 0', [-0.247128, -0.507559, 1.0]], ['2, k, 1', [-0.237, -0.1724, 1.0]], ['2, k, 2', [-0.225508, 0.152598, 1.0]], ['2, k, 3', [-0.21194, 0.311579, 1.0]], ['2, k, 4', [-0.406513, 0.0641402, 1.0]], ['2, k, 5', [-0.456416, -0.235721, 1.0]], ['2, k, 6', [-0.454756, -0.500725, 1.0]], ['2, k, 7', [-0.452712, -0.536495, 1.0]], ['2, k, 8', [-0.0430239, 0.0390323, 1.0]], ['2, k, 9', [-0.0147132, -0.255563, 1.0]], ['2, k, 10', [-0.0122236, -0.513649, 1.0]], ['2, k, 11', [-0.0176917, -0.578593, 1.0]], ['2, k, 12', [-0.326627, -0.495554, 1.0]], ['2, k, 13', [-0.385084, -0.877757, 1.0]], ['2, k, 14', [-0.43659, -1.28725, 1.0]], ['2, k, 15', [-0.451042, -1.34834, 1.0]], ['2, k, 16', [-0.16133, -0.506945, 1.0]], ['2, k, 17', [-0.139527, -0.885359, 1.0]], ['2, k, 18', [-0.109589, -1.26971, 1.0]], ['2, k, 19', [-0.0791353, -1.36935, 1.0]], ['2, k, 20', [-0.228516, 0.0727157, 1.0]], ['2, k, 21', [-0.443264, -0.600556, 1.0]], ['2, k, 22', [-0.482405, -0.515598, 1.0]], ['2, k, 23', [-0.0140063, -0.637137, 1.0]], ['2, k, 24', [0.012182, -0.58242, 1.0]]]
[['2, k, 0', [-0.246729, -0.50773, 1.0]], ['2, k, 1', [-0.23645, -0.173, 1.0]], ['2, k, 2', [-0.22493, 0.152012, 1.0]], ['2, k, 3', [-0.211995, 0.311538, 1.0]], ['2, k, 4', [-0.406659, 0.0641453, 1.0]], ['2, k, 5', [-0.456077, -0.239084, 1.0]], ['2, k, 6', [-0.458334, -0.484468, 1.0]], ['2, k, 7', [-0.452999, -0.527532, 1.0]], ['2, k, 8', [-0.0430368, 0.0390976, 1.0]], ['2, k, 9', [-0.0154547, -0.255585, 1.0]], ['2, k, 10', [-0.012516, -0.512566, 1.0]], ['2, k, 11', [-0.0171278, -0.580232, 1.0]], ['2, k, 12', [-0.326275, -0.495735, 1.0]], ['2, k, 13', [-0.386078, -0.87856, 1.0]], ['2, k, 14', [-0.436663, -1.28736, 1.0]], ['2, k, 15', [-0.46847, -1.35042, 1.0]], ['2, k, 16', [-0.160821, -0.507093, 1.0]], ['2, k, 17', [-0.139516, -0.885635, 1.0]], ['2, k, 18', [-0.104963, -1.28119, 1.0]], ['2, k, 19', [-0.066799, -1.36857, 1.0]], ['2, k, 20', [-0.227939, 0.0720489, 1.0]], ['2, k, 21', [-0.447972, -0.59315, 1.0]], ['2, k, 22', [-0.485849, -0.518036, 1.0]], ['2, k, 23', [-0.0173959, -0.646113, 1.0]], ['2, k, 24', [0.0121702, -0.599865, 1.0]]]
[['2, k, 0', [-0.246518, -0.507874, 1.0]], ['2, k, 1', [-0.236157, -0.173264, 1.0]], ['2, k, 2', [-0.224633, 0.151923, 1.0]], ['2, k, 3', [-0.212108, 0.311423, 1.0]], ['2, k, 4', [-0.406615, 0.0640187, 1.0]], ['2, k, 5', [-0.456271, -0.240006, 1.0]], ['2, k, 6', [-0.452677, -0.489585, 1.0]], ['2, k, 7', [-0.45385, -0.526572, 1.0]], ['2, k, 8', [-0.043053, 0.0388705, 1.0]], ['2, k, 9', [-0.0158738, -0.255629, 1.0]], ['2, k, 10', [-0.0127418, -0.511883, 1.0]], ['2, k, 11', [-0.0179376, -0.580307, 1.0]], ['2, k, 12', [-0.326023, -0.496437, 1.0]], ['2, k, 13', [-0.386087, -0.878545, 1.0]], ['2, k, 14', [-0.440393, -1.29398, 1.0]], ['2, k, 15', [-0.463499, -1.34749, 1.0]], ['2, k, 16', [-0.160513, -0.506852, 1.0]], ['2, k, 17', [-0.139518, -0.885512, 1.0]], ['2, k, 18', [-0.107128, -1.28071, 1.0]], ['2, k, 19', [-0.0684886, -1.36886, 1.0]], ['2, k, 20', [-0.227651, 0.07189, 1.0]], ['2, k, 21', [-0.455407, -0.584517, 1.0]], ['2, k, 22', [-0.493266, -0.498599, 1.0]], ['2, k, 23', [-0.0158203, -0.644443, 1.0]], ['2, k, 24', [0.0134912, -0.579996, 1.0]]]
[['2, k, 0', [-0.246472, -0.508067, 1.0]], ['2, k, 1', [-0.236263, -0.173347, 1.0]], ['2, k, 2', [-0.225225, 0.15215, 1.0]], ['2, k, 3', [-0.212195, 0.310845, 1.0]], ['2, k, 4', [-0.406704, 0.0639671, 1.0]], ['2, k, 5', [-0.456619, -0.238205, 1.0]], ['2, k, 6', [-0.452596, -0.492257, 1.0]], ['2, k, 7', [-0.45361, -0.533578, 1.0]], ['2, k, 8', [-0.0430716, 0.0388879, 1.0]], ['2, k, 9', [-0.01682, -0.255467, 1.0]], ['2, k, 10', [-0.013409, -0.511107, 1.0]], ['2, k, 11', [-0.0203077, -0.580066, 1.0]], ['2, k, 12', [-0.325955, -0.496704, 1.0]], ['2, k, 13', [-0.377399, -0.816669, 1.0]], ['2, k, 14', [-0.438439, -1.28259, 1.0]], ['2, k, 15', [-0.461915, -1.34562, 1.0]], ['2, k, 16', [-0.160514, -0.506925, 1.0]], ['2, k, 17', [-0.138826, -0.886163, 1.0]], ['2, k, 18', [-0.105689, -1.27839, 1.0]], ['2, k, 19', [-0.073385, -1.36801, 1.0]], ['2, k, 20', [-0.228057, 0.0719521, 1.0]], ['2, k, 21', [-0.448949, -0.603217, 1.0]], ['2, k, 22', [-0.488243, -0.53838, 1.0]], ['2, k, 23', [-0.0158863, -0.645409, 1.0]], ['2, k, 24', [0.0122067, -0.583539, 1.0]]]
[['2, k, 0', [-0.246266, -0.508206, 1.0]], ['2, k, 1', [-0.236499, -0.173546, 1.0]], ['2, k, 2', [-0.22642, 0.152018, 1.0]], ['2, k, 3', [-0.212417, 0.310916, 1.0]], ['2, k, 4', [-0.406874, 0.063558, 1.0]], ['2, k, 5', [-0.456857, -0.232287, 1.0]], ['2, k, 6', [-0.453114, -0.493288, 1.0]], ['2, k, 7', [-0.453038, -0.538659, 1.0]], ['2, k, 8', [-0.0430742, 0.0388915, 1.0]], ['2, k, 9', [-0.0169418, -0.255669, 1.0]], ['2, k, 10', [-0.013625, -0.505212, 1.0]], ['2, k, 11', [-0.0179199, -0.577656, 1.0]], ['2, k, 12', [-0.325763, -0.496892, 1.0]], ['2, k, 13', [-0.391271, -0.874839, 1.0]], ['2, k, 14', [-0.439118, -1.29246, 1.0]], ['2, k, 15', [-0.45997, -1.34524, 1.0]], ['2, k, 16', [-0.160333, -0.506948, 1.0]], ['2, k, 17', [-0.137193, -0.890308, 1.0]], ['2, k, 18', [-0.107997, -1.27683, 1.0]], ['2, k, 19', [-0.0418091, -1.37305, 1.0]], ['2, k, 20', [-0.228948, 0.071748, 1.0]], ['2, k, 21', [-0.454096, -0.603054, 1.0]], ['2, k, 22', [-0.482046, -0.523032, 1.0]], ['2, k, 23', [-0.0139324, -0.642575, 1.0]], ['2, k, 24', [0.0122951, -0.575927, 1.0]]]
[['2, k, 0', [-0.246554, -0.508215, 1.0]], ['2, k, 1', [-0.236622, -0.173591, 1.0]], ['2, k, 2', [-0.226431, 0.152036, 1.0]], ['2, k, 3', [-0.21249, 0.311115, 1.0]], ['2, k, 4', [-0.407, 0.0637966, 1.0]], ['2, k, 5', [-0.457582, -0.226699, 1.0]], ['2, k, 6', [-0.462348, -0.469733, 1.0]], ['2, k, 7', [-0.45863, -0.531267, 1.0]], ['2, k, 8', [-0.0433736, 0.0392782, 1.0]], ['2, k, 9', [-0.0152301, -0.248308, 1.0]], ['2, k, 10', [-0.0112194, -0.501419, 1.0]], ['2, k, 11', [-0.0130876, -0.56629, 1.0]], ['2, k, 12', [-0.326151, -0.49694, 1.0]], ['2, k, 13', [-0.390362, -0.875248, 1.0]], ['2, k, 14', [-0.436053, -1.29225, 1.0]], ['2, k, 15', [-0.457303, -1.34251, 1.0]], ['2, k, 16', [-0.160552, -0.506906, 1.0]], ['2, k, 17', [-0.137093, -0.890472, 1.0]], ['2, k, 18', [-0.108286, -1.26844, 1.0]], ['2, k, 19', [-0.110413, -1.36426, 1.0]], ['2, k, 20', [-0.228977, 0.0717517, 1.0]], ['2, k, 21', [-0.459552, -0.6004, 1.0]], ['2, k, 22', [-0.485293, -0.529489, 1.0]], ['2, k, 23', [-0.00988572, -0.629924, 1.0]], ['2, k, 24', [0.0220156, -0.551408, 1.0]]]
[['2, k, 0', [-0.246998, -0.508721, 1.0]], ['2, k, 1', [-0.23662, -0.173913, 1.0]], ['2, k, 2', [-0.226068, 0.15195, 1.0]], ['2, k, 3', [-0.212553, 0.311094, 1.0]], ['2, k, 4', [-0.407067, 0.0631131, 1.0]], ['2, k, 5', [-0.461586, -0.21271, 1.0]], ['2, k, 6', [-0.464051, -0.478122, 1.0]], ['2, k, 7', [-0.465705, -0.53591, 1.0]], ['2, k, 8', [-0.0436975, 0.0400178, 1.0]], ['2, k, 9', [-0.01289, -0.244849, 1.0]], ['2, k, 10', [-0.00681218, -0.493571, 1.0]], ['2, k, 11', [-0.00886916, -0.560419, 1.0]], ['2, k, 12', [-0.326468, -0.497542, 1.0]], ['2, k, 13', [-0.389257, -0.87388, 1.0]], ['2, k, 14', [-0.436106, -1.2906, 1.0]], ['2, k, 15', [-0.453787, -1.33848, 1.0]], ['2, k, 16', [-0.161151, -0.507257, 1.0]], ['2, k, 17', [-0.137274, -0.88996, 1.0]], ['2, k, 18', [-0.106275, -1.27796, 1.0]], ['2, k, 19', [-0.0733032, -1.36328, 1.0]], ['2, k, 20', [-0.228758, 0.071613, 1.0]], ['2, k, 21', [-0.465967, -0.60343, 1.0]], ['2, k, 22', [-0.494301, -0.549391, 1.0]], ['2, k, 23', [-0.00586242, -0.622939, 1.0]], ['2, k, 24', [0.028864, -0.547583, 1.0]]]
[['2, k, 0', [-0.247701, -0.508669, 1.0]], ['2, k, 1', [-0.237212, -0.174063, 1.0]], ['2, k, 2', [-0.226402, 0.151917, 1.0]], ['2, k, 3', [-0.212837, 0.311277, 1.0]], ['2, k, 4', [-0.406912, 0.0631545, 1.0]], ['2, k, 5', [-0.462758, -0.211122, 1.0]], ['2, k, 6', [-0.469868, -0.469315, 1.0]], ['2, k, 7', [-0.475583, -0.545166, 1.0]], ['2, k, 8', [-0.0446908, 0.0414564, 1.0]], ['2, k, 9', [-0.00953621, -0.238203, 1.0]], ['2, k, 10', [-0.000686669, -0.478647, 1.0]], ['2, k, 11', [-0.00238917, -0.544809, 1.0]], ['2, k, 12', [-0.327194, -0.497987, 1.0]], ['2, k, 13', [-0.388669, -0.87424, 1.0]], ['2, k, 14', [-0.436101, -1.29029, 1.0]], ['2, k, 15', [-0.456791, -1.33776, 1.0]], ['2, k, 16', [-0.161979, -0.506708, 1.0]], ['2, k, 17', [-0.136709, -0.891245, 1.0]], ['2, k, 18', [-0.101388, -1.27507, 1.0]], ['2, k, 19', [-0.0717987, -1.36434, 1.0]], ['2, k, 20', [-0.229166, 0.071527, 1.0]], ['2, k, 21', [-0.472522, -0.617105, 1.0]], ['2, k, 22', [-0.494062, -0.576932, 1.0]], ['2, k, 23', [-0.00191332, -0.607167, 1.0]], ['2, k, 24', [0.0351306, -0.542736, 1.0]]]
[['2, k, 0', [-0.250866, -0.510522, 1.0]], ['2, k, 1', [-0.238971, -0.174895, 1.0]], ['2, k, 2', [-0.227029, 0.151997, 1.0]], ['2, k, 3', [-0.213038, 0.311103, 1.0]], ['2, k, 4', [-0.406462, 0.0630444, 1.0]], ['2, k, 5', [-0.472845, -0.200148, 1.0]], ['2, k, 6', [-0.472829, -0.454146, 1.0]], ['2, k, 7', [-0.480057, -0.530132, 1.0]], ['2, k, 8', [-0.0466558, 0.0442687, 1.0]], ['2, k, 9', [-0.000835672, -0.211184, 1.0]], ['2, k, 10', [0.00803654, -0.468698, 1.0]], ['2, k, 11', [0.0054637, -0.543739, 1.0]], ['2, k, 12', [-0.33015, -0.499843, 1.0]], ['2, k, 13', [-0.379402, -0.819845, 1.0]], ['2, k, 14', [-0.435801, -1.2862, 1.0]], ['2, k, 15', [-0.453653, -1.33964, 1.0]], ['2, k, 16', [-0.165271, -0.508461, 1.0]], ['2, k, 17', [-0.136361, -0.891143, 1.0]], ['2, k, 18', [-0.108172, -1.27545, 1.0]], ['2, k, 19', [-0.131104, -1.36719, 1.0]], ['2, k, 20', [-0.230025, 0.0714238, 1.0]], ['2, k, 21', [-0.475122, -0.595757, 1.0]], ['2, k, 22', [-0.513907, -0.510569, 1.0]], ['2, k, 23', [0.0115725, -0.604903, 1.0]], ['2, k, 24', [0.0446504, -0.542652, 1.0]]]
