[['2, k, 0', [-0.1152319, -0.2130894, 1.0]], ['2, k, 1', [-0.1339456, 0.0712883, 1.0]], ['2, k, 2', [-0.1546979, 0.3485739, 1.0]], ['2, k, 3', [-0.1442554, 0.4808095, 1.0]], ['2, k, 4', [-0.3157082, 0.2432069, 1.0]], ['2, k, 5', [-0.3531569, 0.01126595, 1.0]], ['2, k, 6', [-0.1735936, -0.1278878, 1.0]], ['2, k, 7', [-0.1285865, -0.1488543, 1.0]], ['2, k, 8', [0.03288163, 0.2589131, 1.0]], ['2, k, 9', [0.08640948, 0.01909154, 1.0]], ['2, k, 10', [-0.00749036, -0.1116013, 1.0]], ['2, k, 11', [-0.04783526, -0.121515, 1.0]], ['2, k, 12', [-0.1918191, -0.2156757, 1.0]], ['2, k, 13', [-0.2469338, -0.2536519, 1.0]], ['2, k, 14', [-0.242297, -0.6623187, 1.0]], ['2, k, 15', [-0.2345936, -0.7349835, 1.0]], ['2, k, 16', [-0.03486079, -0.2057652, 1.0]], ['2, k, 17', [0.06328903, -0.2462517, 1.0]], ['2, k, 18', [0.0303643, -0.6628642, 1.0]], ['2, k, 19', [0.0600183, -0.7266377, 1.0]], ['2, k, 20', [-0.1495792, 0.2802543, 1.0]], ['2, k, 21', [-0.04626431, -0.1902718, 1.0]], ['2, k, 22', [-0.1526678, -0.1809717, 1.0]], ['2, k, 23', [-0.09640292, -0.1692732, 1.0]], ['2, k, 24', [0.0004595734, -0.1303553, 1.0]]]
[['2, k, 0', [-0.1151512, -0.2136558, 1.0]], ['2, k, 1', [-0.1346748, 0.07054368, 1.0]], ['2, k, 2', [-0.1561215, 0.3475648, 1.0]], ['2, k, 3', [-0.1456091, 0.4798864, 1.0]], ['2, k, 4', [-0.3183816, 0.2426214, 1.0]], ['2, k, 5', [-0.3556228, 0.01071299, 1.0]], ['2, k, 6', [-0.1787193, -0.1315721, 1.0]], ['2, k, 7', [-0.1362877, -0.1482883, 1.0]], ['2, k, 8', [0.03139328, 0.2576399, 1.0]], ['2, k, 9', [0.0833836, 0.01793859, 1.0]], ['2, k, 10', [-0.008322891, -0.1127948, 1.0]], ['2, k, 11', [-0.04831934, -0.1219547, 1.0]], ['2, k, 12', [-0.1917401, -0.2163281, 1.0]], ['2, k, 13', [-0.2471184, -0.2533358, 1.0]], ['2, k, 14', [-0.2424504, -0.6622082, 1.0]], ['2, k, 15', [-0.2353301, -0.7338218, 1.0]], ['2, k, 16', [-0.03484313, -0.2060802, 1.0]], ['2, k, 17', [0.06207091, -0.245533, 1.0]], ['2, k, 18', [0.03002794, -0.6623452, 1.0]], ['2, k, 19', [0.05897728, -0.7268933, 1.0]], ['2, k, 20', [-0.1508467, 0.2793097, 1.0]], ['2, k, 21', [-0.1036962, -0.1657256, 1.0]], ['2, k, 22', [-0.1723174, -0.1698865, 1.0]], ['2, k, 23', [-0.09771796, -0.1701947, 1.0]], ['2, k, 24', [3.181945e-05, -0.1285583, 1.0]]]
[['2, k, 0', [-0.1150736, -0.2139435, 1.0]], ['2, k, 1', [-0.1356879, 0.06999409, 1.0]], ['2, k, 2', [-0.1586594, 0.3467325, 1.0]], ['2, k, 3', [-0.1468407, 0.4796066, 1.0]], ['2, k, 4', [-0.3211303, 0.2413801, 1.0]], ['2, k, 5', [-0.3569738, 0.01090861, 1.0]], ['2, k, 6', [-0.179097, -0.1273727, 1.0]], ['2, k, 7', [-0.1352854, -0.1458289, 1.0]], ['2, k, 8', [0.02999379, 0.2570744, 1.0]], ['2, k, 9', [0.08320913, 0.0177534, 1.0]], ['2, k, 10', [-0.01920364, -0.1038777, 1.0]], ['2, k, 11', [-0.06181046, -0.1222485, 1.0]], ['2, k, 12', [-0.1916566, -0.2167383, 1.0]], ['2, k, 13', [-0.2473627, -0.2529145, 1.0]], ['2, k, 14', [-0.2425362, -0.6622048, 1.0]], ['2, k, 15', [-0.2353487, -0.7336316, 1.0]], ['2, k, 16', [-0.03481679, -0.206183, 1.0]], ['2, k, 17', [0.06183151, -0.2448948, 1.0]], ['2, k, 18', [0.02964811, -0.6620098, 1.0]], ['2, k, 19', [0.05758893, -0.7283764, 1.0]], ['2, k, 20', [-0.1529891, 0.2785489, 1.0]], ['2, k, 21', [-0.1034741, -0.1623529, 1.0]], ['2, k, 22', [-0.1687093, -0.170582, 1.0]], ['2, k, 23', [-0.1124944, -0.1626325, 1.0]], ['2, k, 24', [-0.01437663, -0.1335639, 1.0]]]
[['2, k, 0', [-0.1149764, -0.2142013, 1.0]], ['2, k, 1', [-0.1364267, 0.06956367, 1.0]], ['2, k, 2', [-0.1602407, 0.3461417, 1.0]], ['2, k, 3', [-0.1488601, 0.4790369, 1.0]], ['2, k, 4', [-0.3238311, 0.2401111, 1.0]], ['2, k, 5', [-0.3578598, 0.01034977, 1.0]], ['2, k, 6', [-0.1801515, -0.129777, 1.0]], ['2, k, 7', [-0.1355681, -0.1481921, 1.0]], ['2, k, 8', [0.0282443, 0.2568134, 1.0]], ['2, k, 9', [0.0830835, 0.01772035, 1.0]], ['2, k, 10', [-0.017395, -0.105001, 1.0]], ['2, k, 11', [-0.05635666, -0.1199457, 1.0]], ['2, k, 12', [-0.1915335, -0.2171831, 1.0]], ['2, k, 13', [-0.2477951, -0.2519742, 1.0]], ['2, k, 14', [-0.2426292, -0.6620944, 1.0]], ['2, k, 15', [-0.2350546, -0.7337538, 1.0]], ['2, k, 16', [-0.03478729, -0.2062356, 1.0]], ['2, k, 17', [0.06205524, -0.2443529, 1.0]], ['2, k, 18', [0.0311398, -0.6578753, 1.0]], ['2, k, 19', [0.0571107, -0.726826, 1.0]], ['2, k, 20', [-0.1543763, 0.2779964, 1.0]], ['2, k, 21', [-0.1030377, -0.1608855, 1.0]], ['2, k, 22', [-0.1727979, -0.1701485, 1.0]], ['2, k, 23', [-0.1100842, -0.164619, 1.0]], ['2, k, 24', [-0.01288108, -0.1331377, 1.0]]]
[['2, k, 0', [-0.1148957, -0.2144058, 1.0]], ['2, k, 1', [-0.1373106, 0.06911649, 1.0]], ['2, k, 2', [-0.1621793, 0.3454995, 1.0]], ['2, k, 3', [-0.1511747, 0.4789993, 1.0]], ['2, k, 4', [-0.3262326, 0.2392797, 1.0]], ['2, k, 5', [-0.3593958, 0.009794646, 1.0]], ['2, k, 6', [-0.1817783, -0.1309456, 1.0]], ['2, k, 7', [-0.137351, -0.1490425, 1.0]], ['2, k, 8', [0.02644566, 0.2568834, 1.0]], ['2, k, 9', [0.08279571, 0.01872301, 1.0]], ['2, k, 10', [-0.01536181, -0.1053563, 1.0]], ['2, k, 11', [-0.05627435, -0.1226166, 1.0]], ['2, k, 12', [-0.1914303, -0.2175356, 1.0]], ['2, k, 13', [-0.248292, -0.2509517, 1.0]], ['2, k, 14', [-0.2427153, -0.6621888, 1.0]], ['2, k, 15', [-0.2348358, -0.7341776, 1.0]], ['2, k, 16', [-0.03476768, -0.2062644, 1.0]], ['2, k, 17', [0.0638589, -0.242501, 1.0]], ['2, k, 18', [0.03278372, -0.6558999, 1.0]], ['2, k, 19', [0.07945726, -0.7313682, 1.0]], ['2, k, 20', [-0.1560593, 0.2774041, 1.0]], ['2, k, 21', [-0.1023964, -0.164656, 1.0]], ['2, k, 22', [-0.1724549, -0.1749583, 1.0]], ['2, k, 23', [-0.1080362, -0.1619199, 1.0]], ['2, k, 24', [-0.007535812, -0.1333025, 1.0]]]
[['2, k, 0', [-0.1148645, -0.2144533, 1.0]], ['2, k, 1', [-0.1376836, 0.06913941, 1.0]], ['2, k, 2', [-0.1627172, 0.3456709, 1.0]], ['2, k, 3', [-0.1537402, 0.4783652, 1.0]], ['2, k, 4', [-0.3280441, 0.2390926, 1.0]], ['2, k, 5', [-0.3596431, 0.009803894, 1.0]], ['2, k, 6', [-0.1820226, -0.1310923, 1.0]], ['2, k, 7', [-0.1381401, -0.1477921, 1.0]], ['2, k, 8', [0.02370422, 0.257301, 1.0]], ['2, k, 9', [0.08229265, 0.02044402, 1.0]], ['2, k, 10', [-0.0121981, -0.1060812, 1.0]], ['2, k, 11', [-0.05093083, -0.1220988, 1.0]], ['2, k, 12', [-0.1914112, -0.2176561, 1.0]], ['2, k, 13', [-0.2487338, -0.2497643, 1.0]], ['2, k, 14', [-0.2426009, -0.6624405, 1.0]], ['2, k, 15', [-0.2348053, -0.7344026, 1.0]], ['2, k, 16', [-0.03474119, -0.2062506, 1.0]], ['2, k, 17', [0.06776516, -0.2397797, 1.0]], ['2, k, 18', [0.05344885, -0.6491019, 1.0]], ['2, k, 19', [0.08243079, -0.7258384, 1.0]], ['2, k, 20', [-0.1565753, 0.2775416, 1.0]], ['2, k, 21', [-0.102435, -0.1683849, 1.0]], ['2, k, 22', [-0.1758464, -0.1747017, 1.0]], ['2, k, 23', [-0.09966406, -0.1702578, 1.0]], ['2, k, 24', [-0.004862764, -0.1327464, 1.0]]]
[['2, k, 0', [-0.114778, -0.2146318, 1.0]], ['2, k, 1', [-0.1384615, 0.06889822, 1.0]], ['2, k, 2', [-0.1646425, 0.345375, 1.0]], ['2, k, 3', [-0.1562711, 0.4779181, 1.0]], ['2, k, 4', [-0.3302341, 0.2385397, 1.0]], ['2, k, 5', [-0.3599319, 0.009713608, 1.0]], ['2, k, 6', [-0.1819004, -0.1310063, 1.0]], ['2, k, 7', [-0.1387669, -0.14806, 1.0]], ['2, k, 8', [0.02155045, 0.257328, 1.0]], ['2, k, 9', [0.08213906, 0.02039643, 1.0]], ['2, k, 10', [-0.01020782, -0.1074628, 1.0]], ['2, k, 11', [-0.05150627, -0.1241457, 1.0]], ['2, k, 12', [-0.1913385, -0.2180772, 1.0]], ['2, k, 13', [-0.2491484, -0.2488523, 1.0]], ['2, k, 14', [-0.2426503, -0.662708, 1.0]], ['2, k, 15', [-0.2347668, -0.7343246, 1.0]], ['2, k, 16', [-0.03470146, -0.2062559, 1.0]], ['2, k, 17', [0.07637546, -0.2358782, 1.0]], ['2, k, 18', [0.08121466, -0.6345172, 1.0]], ['2, k, 19', [0.1004393, -0.6824518, 1.0]], ['2, k, 20', [-0.1582012, 0.2772579, 1.0]], ['2, k, 21', [-0.0944166, -0.1603714, 1.0]], ['2, k, 22', [-0.1751618, -0.1739071, 1.0]], ['2, k, 23', [-0.1024678, -0.1695762, 1.0]], ['2, k, 24', [-0.005075173, -0.1336895, 1.0]]]
[['2, k, 0', [-0.1147293, -0.2147397, 1.0]], ['2, k, 1', [-0.1392063, 0.06889836, 1.0]], ['2, k, 2', [-0.1662395, 0.3457085, 1.0]], ['2, k, 3', [-0.1597393, 0.477708, 1.0]], ['2, k, 4', [-0.3320079, 0.2378384, 1.0]], ['2, k, 5', [-0.3600486, 0.009412689, 1.0]], ['2, k, 6', [-0.180755, -0.1274586, 1.0]], ['2, k, 7', [-0.1374767, -0.1442745, 1.0]], ['2, k, 8', [0.01881734, 0.257052, 1.0]], ['2, k, 9', [0.08179117, 0.0208395, 1.0]], ['2, k, 10', [-0.007615658, -0.1086743, 1.0]], ['2, k, 11', [-0.04749809, -0.1240662, 1.0]], ['2, k, 12', [-0.1913315, -0.2183487, 1.0]], ['2, k, 13', [-0.2495211, -0.2476221, 1.0]], ['2, k, 14', [-0.2426255, -0.6627061, 1.0]], ['2, k, 15', [-0.234915, -0.7339131, 1.0]], ['2, k, 16', [-0.03465363, -0.2062473, 1.0]], ['2, k, 17', [0.08721558, -0.2315439, 1.0]], ['2, k, 18', [0.09998108, -0.6276981, 1.0]], ['2, k, 19', [0.1445313, -0.7060547, 1.0]], ['2, k, 20', [-0.159592, 0.2774984, 1.0]], ['2, k, 21', [-0.09988914, -0.1672309, 1.0]], ['2, k, 22', [-0.1766985, -0.1683425, 1.0]], ['2, k, 23', [-0.09973621, -0.1703697, 1.0]], ['2, k, 24', [-0.005587027, -0.1387611, 1.0]]]
[['2, k, 0', [-0.1146267, -0.2149657, 1.0]], ['2, k, 1', [-0.1401527, 0.0686228, 1.0]], ['2, k, 2', [-0.1685125, 0.3454357, 1.0]], ['2, k, 3', [-0.1625914, 0.4775981, 1.0]], ['2, k, 4', [-0.3342242, 0.236442, 1.0]], ['2, k, 5', [-0.3604803, 0.009420925, 1.0]], ['2, k, 6', [-0.1804478, -0.1270855, 1.0]], ['2, k, 7', [-0.1366989, -0.145983, 1.0]], ['2, k, 8', [0.0145572, 0.2569425, 1.0]], ['2, k, 9', [0.08155071, 0.02138434, 1.0]], ['2, k, 10', [-0.006164895, -0.1094002, 1.0]], ['2, k, 11', [-0.04683172, -0.1277298, 1.0]], ['2, k, 12', [-0.1912376, -0.2189481, 1.0]], ['2, k, 13', [-0.2498488, -0.2466811, 1.0]], ['2, k, 14', [-0.2427277, -0.6627547, 1.0]], ['2, k, 15', [-0.234989, -0.7337578, 1.0]], ['2, k, 16', [-0.03459255, -0.20625, 1.0]], ['2, k, 17', [0.1014878, -0.2328434, 1.0]], ['2, k, 18', [0.1293728, -0.6296611, 1.0]], ['2, k, 19', [0.1860926, -0.7082832, 1.0]], ['2, k, 20', [-0.1615148, 0.2772239, 1.0]], ['2, k, 21', [-0.08777494, -0.1699344, 1.0]], ['2, k, 22', [-0.1767553, -0.1704472, 1.0]], ['2, k, 23', [-0.09922988, -0.1688992, 1.0]], ['2, k, 24', [-1.403893e-05, -0.1389257, 1.0]]]
[['2, k, 0', [-0.1144534, -0.2152869, 1.0]], ['2, k, 1', [-0.1412835, 0.06831076, 1.0]], ['2, k, 2', [-0.1713519, 0.3452452, 1.0]], ['2, k, 3', [-0.1664631, 0.4766175, 1.0]], ['2, k, 4', [-0.3352143, 0.2351821, 1.0]], ['2, k, 5', [-0.3608632, 0.009487232, 1.0]], ['2, k, 6', [-0.179994, -0.1238073, 1.0]], ['2, k, 7', [-0.1340347, -0.14449, 1.0]], ['2, k, 8', [0.01268007, 0.2570384, 1.0]], ['2, k, 9', [0.08115, 0.0217855, 1.0]], ['2, k, 10', [-0.00547121, -0.1099535, 1.0]], ['2, k, 11', [-0.0437825, -0.1265065, 1.0]], ['2, k, 12', [-0.1910323, -0.2197118, 1.0]], ['2, k, 13', [-0.2501798, -0.2459912, 1.0]], ['2, k, 14', [-0.2427243, -0.6626989, 1.0]], ['2, k, 15', [-0.2348405, -0.733855, 1.0]], ['2, k, 16', [-0.03449734, -0.2062604, 1.0]], ['2, k, 17', [0.1157983, -0.2381803, 1.0]], ['2, k, 18', [0.1611651, -0.6284393, 1.0]], ['2, k, 19', [0.2412227, -0.7110525, 1.0]], ['2, k, 20', [-0.1639069, 0.2769942, 1.0]], ['2, k, 21', [-0.0994818, -0.1505901, 1.0]], ['2, k, 22', [-0.1697784, -0.1727451, 1.0]], ['2, k, 23', [-0.09716205, -0.1721369, 1.0]], ['2, k, 24', [0.0016995, -0.14125, 1.0]]]
[['2, k, 0', [-0.1143803, -0.2155971, 1.0]], ['2, k, 1', [-0.1413687, 0.06820816, 1.0]], ['2, k, 2', [-0.1712916, 0.3451729, 1.0]], ['2, k, 3', [-0.1694302, 0.4766182, 1.0]], ['2, k, 4', [-0.3362443, 0.2343141, 1.0]], ['2, k, 5', [-0.3610778, 0.009039791, 1.0]], ['2, k, 6', [-0.180057, -0.1236599, 1.0]], ['2, k, 7', [-0.1316448, -0.1466517, 1.0]], ['2, k, 8', [0.01151596, 0.2566133, 1.0]], ['2, k, 9', [0.08088232, 0.02181082, 1.0]], ['2, k, 10', [-0.005431803, -0.1101602, 1.0]], ['2, k, 11', [-0.04352565, -0.1293533, 1.0]], ['2, k, 12', [-0.1909771, -0.2203204, 1.0]], ['2, k, 13', [-0.2504033, -0.2454346, 1.0]], ['2, k, 14', [-0.2427446, -0.6626958, 1.0]], ['2, k, 15', [-0.2348312, -0.7336568, 1.0]], ['2, k, 16', [-0.03445961, -0.2062955, 1.0]], ['2, k, 17', [0.1348881, -0.2442229, 1.0]], ['2, k, 18', [0.1931486, -0.6221929, 1.0]], ['2, k, 19', [0.2631202, -0.6988418, 1.0]], ['2, k, 20', [-0.1639179, 0.2769139, 1.0]], ['2, k, 21', [-0.09617215, -0.1568587, 1.0]], ['2, k, 22', [-0.1677027, -0.1730748, 1.0]], ['2, k, 23', [-0.09827694, -0.1723317, 1.0]], ['2, k, 24', [-0.0008935632, -0.1483588, 1.0]]]
