[['2, k, 0', [-0.232845, -0.653271, 1.0]], ['2, k, 1', [-0.235635, -0.344495, 1.0]], ['2, k, 2', [-0.237051, -0.0412372, 1.0]], ['2, k, 3', [-0.210136, 0.0902863, 1.0]], ['2, k, 4', [-0.419048, -0.115731, 1.0]], ['2, k, 5', [-0.631978, -0.24856, 1.0]], ['2, k, 6', [-0.49893, -0.42871, 1.0]], ['2, k, 7', [-0.427053, -0.48669, 1.0]], ['2, k, 8', [-0.0556109, -0.124058, 1.0]], ['2, k, 9', [0.0872572, -0.250702, 1.0]], ['2, k, 10', [-0.00233082, -0.406761, 1.0]], ['2, k, 11', [-0.0542094, -0.447376, 1.0]], ['2, k, 12', [-0.312521, -0.642449, 1.0]], ['2, k, 13', [-0.368356, -1.02136, 1.0]], ['2, k, 14', [-0.38525, -1.40163, 1.0]], ['2, k, 15', [-0.366555, -1.44217, 1.0]], ['2, k, 16', [-0.146804, -0.646225, 1.0]], ['2, k, 17', [-0.102442, -1.04801, 1.0]], ['2, k, 18', [-0.0488949, -1.42033, 1.0]], ['2, k, 19', [-0.0232247, -1.45589, 1.0]], ['2, k, 20', [-0.236937, -0.116322, 1.0]], ['2, k, 21', [-0.379042, -0.556704, 1.0]], ['2, k, 22', [-0.381704, -0.429041, 1.0]], ['2, k, 23', [-0.0948952, -0.513605, 1.0]], ['2, k, 24', [-0.0909721, -0.392618, 1.0]]]
[['2, k, 0', [-0.232483, -0.652695, 1.0]], ['2, k, 1', [-0.235572, -0.344337, 1.0]], ['2, k, 2', [-0.237099, -0.0412368, 1.0]], ['2, k, 3', [-0.210051, 0.0902884, 1.0]], ['2, k, 4', [-0.419044, -0.115725, 1.0]], ['2, k, 5', [-0.6321, -0.248538, 1.0]], ['2, k, 6', [-0.498729, -0.428687, 1.0]], ['2, k, 7', [-0.42712, -0.487348, 1.0]], ['2, k, 8', [-0.0556159, -0.123992, 1.0]], ['2, k, 9', [0.0871393, -0.250302, 1.0]], ['2, k, 10', [-0.00244246, -0.406554, 1.0]], ['2, k, 11', [-0.0537547, -0.446534, 1.0]], ['2, k, 12', [-0.312148, -0.641916, 1.0]], ['2, k, 13', [-0.369403, -1.02236, 1.0]], ['2, k, 14', [-0.385067, -1.4015, 1.0]], ['2, k, 15', [-0.366157, -1.44191, 1.0]], ['2, k, 16', [-0.146455, -0.64561, 1.0]], ['2, k, 17', [-0.102441, -1.048, 1.0]], ['2, k, 18', [-0.0498701, -1.42201, 1.0]], ['2, k, 19', [-0.0242856, -1.45786, 1.0]], ['2, k, 20', [-0.23696, -0.116296, 1.0]], ['2, k, 21', [-0.379367, -0.557176, 1.0]], ['2, k, 22', [-0.38157, -0.429131, 1.0]], ['2, k, 23', [-0.0937204, -0.517004, 1.0]], ['2, k, 24', [-0.0919484, -0.392707, 1.0]]]
[['2, k, 0', [-0.232889, -0.651947, 1.0]], ['2, k, 1', [-0.235548, -0.344261, 1.0]], ['2, k, 2', [-0.236773, -0.0415541, 1.0]], ['2, k, 3', [-0.210079, 0.0901003, 1.0]], ['2, k, 4', [-0.418972, -0.115648, 1.0]], ['2, k, 5', [-0.632153, -0.247729, 1.0]], ['2, k, 6', [-0.498777, -0.428704, 1.0]], ['2, k, 7', [-0.427963, -0.491601, 1.0]], ['2, k, 8', [-0.0555243, -0.123313, 1.0]], ['2, k, 9', [0.087016, -0.25068, 1.0]], ['2, k, 10', [-0.00265319, -0.406724, 1.0]], ['2, k, 11', [-0.0548134, -0.446409, 1.0]], ['2, k, 12', [-0.312467, -0.641425, 1.0]], ['2, k, 13', [-0.370336, -1.02114, 1.0]], ['2, k, 14', [-0.385237, -1.40099, 1.0]], ['2, k, 15', [-0.366174, -1.44136, 1.0]], ['2, k, 16', [-0.146945, -0.644581, 1.0]], ['2, k, 17', [-0.102609, -1.04805, 1.0]], ['2, k, 18', [-0.0516848, -1.42681, 1.0]], ['2, k, 19', [-0.0262913, -1.46323, 1.0]], ['2, k, 20', [-0.236757, -0.116461, 1.0]], ['2, k, 21', [-0.379074, -0.561992, 1.0]], ['2, k, 22', [-0.381509, -0.434352, 1.0]], ['2, k, 23', [-0.0954022, -0.517253, 1.0]], ['2, k, 24', [-0.0919737, -0.392403, 1.0]]]
[['2, k, 0', [-0.233579, -0.651496, 1.0]], ['2, k, 1', [-0.235951, -0.343957, 1.0]], ['2, k, 2', [-0.236972, -0.0414095, 1.0]], ['2, k, 3', [-0.209923, 0.0899065, 1.0]], ['2, k, 4', [-0.418957, -0.115478, 1.0]], ['2, k, 5', [-0.632736, -0.246308, 1.0]], ['2, k, 6', [-0.473532, -0.461322, 1.0]], ['2, k, 7', [-0.399298, -0.53589, 1.0]], ['2, k, 8', [-0.0555336, -0.12325, 1.0]], ['2, k, 9', [0.0864927, -0.251668, 1.0]], ['2, k, 10', [-0.00324152, -0.407576, 1.0]], ['2, k, 11', [-0.0572429, -0.44536, 1.0]], ['2, k, 12', [-0.313121, -0.640938, 1.0]], ['2, k, 13', [-0.371449, -1.02045, 1.0]], ['2, k, 14', [-0.38559, -1.40082, 1.0]], ['2, k, 15', [-0.366232, -1.44144, 1.0]], ['2, k, 16', [-0.147662, -0.644192, 1.0]], ['2, k, 17', [-0.103336, -1.04779, 1.0]], ['2, k, 18', [-0.0533756, -1.42379, 1.0]], ['2, k, 19', [-0.0278156, -1.46056, 1.0]], ['2, k, 20', [-0.236988, -0.116291, 1.0]], ['2, k, 21', [-0.340303, -0.599876, 1.0]], ['2, k, 22', [-0.343089, -0.465797, 1.0]], ['2, k, 23', [-0.0985547, -0.515707, 1.0]], ['2, k, 24', [-0.0935927, -0.387376, 1.0]]]
[['2, k, 0', [-0.235778, -0.650651, 1.0]], ['2, k, 1', [-0.236297, -0.343845, 1.0]], ['2, k, 2', [-0.236812, -0.0415445, 1.0]], ['2, k, 3', [-0.209587, 0.0895671, 1.0]], ['2, k, 4', [-0.4189, -0.114717, 1.0]], ['2, k, 5', [-0.510598, -0.299303, 1.0]], ['2, k, 6', [-0.431751, -0.495732, 1.0]], ['2, k, 7', [-0.378125, -0.571496, 1.0]], ['2, k, 8', [-0.0556495, -0.12307, 1.0]], ['2, k, 9', [0.0842224, -0.256976, 1.0]], ['2, k, 10', [-0.00585549, -0.411718, 1.0]], ['2, k, 11', [-0.0607434, -0.447406, 1.0]], ['2, k, 12', [-0.315381, -0.639874, 1.0]], ['2, k, 13', [-0.37431, -1.01968, 1.0]], ['2, k, 14', [-0.385974, -1.40048, 1.0]], ['2, k, 15', [-0.366257, -1.44057, 1.0]], ['2, k, 16', [-0.149763, -0.643593, 1.0]], ['2, k, 17', [-0.105495, -1.04761, 1.0]], ['2, k, 18', [-0.0524984, -1.42384, 1.0]], ['2, k, 19', [-0.0266218, -1.46012, 1.0]], ['2, k, 20', [-0.236947, -0.116346, 1.0]], ['2, k, 21', [-0.325535, -0.637219, 1.0]], ['2, k, 22', [-0.314363, -0.512532, 1.0]], ['2, k, 23', [-0.0990633, -0.516191, 1.0]], ['2, k, 24', [-0.0977941, -0.395295, 1.0]]]
[['2, k, 0', [-0.239997, -0.64928, 1.0]], ['2, k, 1', [-0.237261, -0.343725, 1.0]], ['2, k, 2', [-0.236676, -0.0419087, 1.0]], ['2, k, 3', [-0.208564, 0.0888375, 1.0]], ['2, k, 4', [-0.418778, -0.113835, 1.0]], ['2, k, 5', [-0.513622, -0.296935, 1.0]], ['2, k, 6', [-0.438745, -0.492646, 1.0]], ['2, k, 7', [-0.389022, -0.568383, 1.0]], ['2, k, 8', [-0.0559227, -0.123644, 1.0]], ['2, k, 9', [0.0834652, -0.260765, 1.0]], ['2, k, 10', [-0.00807946, -0.414327, 1.0]], ['2, k, 11', [-0.0650525, -0.452238, 1.0]], ['2, k, 12', [-0.319696, -0.637619, 1.0]], ['2, k, 13', [-0.379161, -1.0183, 1.0]], ['2, k, 14', [-0.386661, -1.39752, 1.0]], ['2, k, 15', [-0.366235, -1.43701, 1.0]], ['2, k, 16', [-0.153885, -0.643076, 1.0]], ['2, k, 17', [-0.107749, -1.04747, 1.0]], ['2, k, 18', [-0.0524288, -1.42461, 1.0]], ['2, k, 19', [-0.0262022, -1.46062, 1.0]], ['2, k, 20', [-0.236983, -0.116519, 1.0]], ['2, k, 21', [-0.334788, -0.630062, 1.0]], ['2, k, 22', [-0.327995, -0.504653, 1.0]], ['2, k, 23', [-0.109382, -0.521338, 1.0]], ['2, k, 24', [-0.103193, -0.401279, 1.0]]]
[['2, k, 0', [-0.245997, -0.647827, 1.0]], ['2, k, 1', [-0.239261, -0.343313, 1.0]], ['2, k, 2', [-0.236646, -0.041977, 1.0]], ['2, k, 3', [-0.207856, 0.0886609, 1.0]], ['2, k, 4', [-0.418866, -0.111947, 1.0]], ['2, k, 5', [-0.516181, -0.293885, 1.0]], ['2, k, 6', [-0.440658, -0.491346, 1.0]], ['2, k, 7', [-0.395692, -0.563194, 1.0]], ['2, k, 8', [-0.056424, -0.124965, 1.0]], ['2, k, 9', [0.0823743, -0.264553, 1.0]], ['2, k, 10', [-0.010207, -0.417609, 1.0]], ['2, k, 11', [-0.0681184, -0.450816, 1.0]], ['2, k, 12', [-0.325473, -0.634901, 1.0]], ['2, k, 13', [-0.384759, -1.01729, 1.0]], ['2, k, 14', [-0.386963, -1.39888, 1.0]], ['2, k, 15', [-0.365563, -1.43809, 1.0]], ['2, k, 16', [-0.160091, -0.642965, 1.0]], ['2, k, 17', [-0.112584, -1.04557, 1.0]], ['2, k, 18', [-0.0526898, -1.42725, 1.0]], ['2, k, 19', [-0.0256341, -1.46342, 1.0]], ['2, k, 20', [-0.237071, -0.116565, 1.0]], ['2, k, 21', [-0.339649, -0.623715, 1.0]], ['2, k, 22', [-0.333419, -0.502859, 1.0]], ['2, k, 23', [-0.109643, -0.521909, 1.0]], ['2, k, 24', [-0.107055, -0.400694, 1.0]]]
[['2, k, 0', [-0.254885, -0.646603, 1.0]], ['2, k, 1', [-0.242419, -0.342922, 1.0]], ['2, k, 2', [-0.236588, -0.0421042, 1.0]], ['2, k, 3', [-0.207028, 0.0882859, 1.0]], ['2, k, 4', [-0.419065, -0.111173, 1.0]], ['2, k, 5', [-0.519622, -0.291454, 1.0]], ['2, k, 6', [-0.444721, -0.490303, 1.0]], ['2, k, 7', [-0.399753, -0.562334, 1.0]], ['2, k, 8', [-0.057303, -0.127519, 1.0]], ['2, k, 9', [0.0809063, -0.268393, 1.0]], ['2, k, 10', [-0.0127213, -0.421645, 1.0]], ['2, k, 11', [-0.0692324, -0.453308, 1.0]], ['2, k, 12', [-0.334032, -0.63244, 1.0]], ['2, k, 13', [-0.391299, -1.01489, 1.0]], ['2, k, 14', [-0.387111, -1.3989, 1.0]], ['2, k, 15', [-0.364623, -1.43781, 1.0]], ['2, k, 16', [-0.16896, -0.643065, 1.0]], ['2, k, 17', [-0.118071, -1.04377, 1.0]], ['2, k, 18', [-0.0525245, -1.42816, 1.0]], ['2, k, 19', [-0.024387, -1.46472, 1.0]], ['2, k, 20', [-0.237233, -0.116636, 1.0]], ['2, k, 21', [-0.339297, -0.624182, 1.0]], ['2, k, 22', [-0.331717, -0.500104, 1.0]], ['2, k, 23', [-0.109854, -0.530463, 1.0]], ['2, k, 24', [-0.105479, -0.408506, 1.0]]]
[['2, k, 0', [-0.262599, -0.644247, 1.0]], ['2, k, 1', [-0.245933, -0.342302, 1.0]], ['2, k, 2', [-0.236535, -0.042418, 1.0]], ['2, k, 3', [-0.206204, 0.0875937, 1.0]], ['2, k, 4', [-0.419246, -0.110635, 1.0]], ['2, k, 5', [-0.52426, -0.288415, 1.0]], ['2, k, 6', [-0.461816, -0.479874, 1.0]], ['2, k, 7', [-0.416935, -0.555228, 1.0]], ['2, k, 8', [-0.0584502, -0.130313, 1.0]], ['2, k, 9', [0.0791494, -0.273633, 1.0]], ['2, k, 10', [-0.0157953, -0.426476, 1.0]], ['2, k, 11', [-0.0766638, -0.458437, 1.0]], ['2, k, 12', [-0.341662, -0.629173, 1.0]], ['2, k, 13', [-0.395214, -1.01356, 1.0]], ['2, k, 14', [-0.387233, -1.39874, 1.0]], ['2, k, 15', [-0.363907, -1.43765, 1.0]], ['2, k, 16', [-0.176469, -0.641668, 1.0]], ['2, k, 17', [-0.128958, -1.03653, 1.0]], ['2, k, 18', [-0.0508633, -1.43528, 1.0]], ['2, k, 19', [-0.0206809, -1.47256, 1.0]], ['2, k, 20', [-0.237547, -0.116823, 1.0]], ['2, k, 21', [-0.359743, -0.613215, 1.0]], ['2, k, 22', [-0.352784, -0.489567, 1.0]], ['2, k, 23', [-0.115796, -0.537482, 1.0]], ['2, k, 24', [-0.112399, -0.412467, 1.0]]]
[['2, k, 0', [-0.271695, -0.644119, 1.0]], ['2, k, 1', [-0.250431, -0.342518, 1.0]], ['2, k, 2', [-0.236637, -0.043064, 1.0]], ['2, k, 3', [-0.205374, 0.0871059, 1.0]], ['2, k, 4', [-0.42051, -0.108374, 1.0]], ['2, k, 5', [-0.528507, -0.284612, 1.0]], ['2, k, 6', [-0.467176, -0.479461, 1.0]], ['2, k, 7', [-0.424508, -0.553348, 1.0]], ['2, k, 8', [-0.0602947, -0.134122, 1.0]], ['2, k, 9', [0.0772115, -0.282632, 1.0]], ['2, k, 10', [-0.0302871, -0.425231, 1.0]], ['2, k, 11', [-0.0682919, -0.449088, 1.0]], ['2, k, 12', [-0.351226, -0.627842, 1.0]], ['2, k, 13', [-0.400043, -1.01394, 1.0]], ['2, k, 14', [-0.388195, -1.39871, 1.0]], ['2, k, 15', [-0.364463, -1.43761, 1.0]], ['2, k, 16', [-0.184886, -0.642705, 1.0]], ['2, k, 17', [-0.135289, -1.03214, 1.0]], ['2, k, 18', [-0.04964, -1.42726, 1.0]], ['2, k, 19', [-0.0181879, -1.46484, 1.0]], ['2, k, 20', [-0.238331, -0.117349, 1.0]], ['2, k, 21', [-0.368638, -0.614818, 1.0]], ['2, k, 22', [-0.358909, -0.48894, 1.0]], ['2, k, 23', [-0.104324, -0.519139, 1.0]], ['2, k, 24', [-0.103467, -0.417902, 1.0]]]
[['2, k, 0', [-0.279782, -0.643099, 1.0]], ['2, k, 1', [-0.255802, -0.34245, 1.0]], ['2, k, 2', [-0.237571, -0.044011, 1.0]], ['2, k, 3', [-0.204562, 0.0865616, 1.0]], ['2, k, 4', [-0.422263, -0.106733, 1.0]], ['2, k, 5', [-0.533351, -0.281321, 1.0]], ['2, k, 6', [-0.473111, -0.47651, 1.0]], ['2, k, 7', [-0.432863, -0.54921, 1.0]], ['2, k, 8', [-0.0632814, -0.138909, 1.0]], ['2, k, 9', [0.0714676, -0.296993, 1.0]], ['2, k, 10', [-0.0396539, -0.436022, 1.0]], ['2, k, 11', [-0.0976156, -0.464412, 1.0]], ['2, k, 12', [-0.359917, -0.625862, 1.0]], ['2, k, 13', [-0.405159, -1.01536, 1.0]], ['2, k, 14', [-0.389255, -1.40079, 1.0]], ['2, k, 15', [-0.365155, -1.43977, 1.0]], ['2, k, 16', [-0.192104, -0.642597, 1.0]], ['2, k, 17', [-0.139464, -1.03017, 1.0]], ['2, k, 18', [-0.0508141, -1.4256, 1.0]], ['2, k, 19', [-0.0187404, -1.46411, 1.0]], ['2, k, 20', [-0.240371, -0.118133, 1.0]], ['2, k, 21', [-0.378039, -0.605415, 1.0]], ['2, k, 22', [-0.37093, -0.483221, 1.0]], ['2, k, 23', [-0.142518, -0.527544, 1.0]], ['2, k, 24', [-0.13312, -0.40422, 1.0]]]
