[['2, k, 0', [-0.298033, -0.243676, 1.0]], ['2, k, 1', [-0.310291, 0.0654331, 1.0]], ['2, k, 2', [-0.320367, 0.36642, 1.0]], ['2, k, 3', [-0.34661, 0.519147, 1.0]], ['2, k, 4', [-0.507839, 0.252297, 1.0]], ['2, k, 5', [-0.566248, -0.0351428, 1.0]], ['2, k, 6', [-0.593741, -0.286672, 1.0]], ['2, k, 7', [-0.578998, -0.311288, 1.0]], ['2, k, 8', [-0.135811, 0.278113, 1.0]], ['2, k, 9', [-0.0451508, -0.0128051, 1.0]], ['2, k, 10', [0.00257692, -0.262472, 1.0]], ['2, k, 11', [0.00233132, -0.265059, 1.0]], ['2, k, 12', [-0.378584, -0.246008, 1.0]], ['2, k, 13', [-0.406785, -0.645091, 1.0]], ['2, k, 14', [-0.415787, -0.984343, 1.0]], ['2, k, 15', [-0.411377, -1.02637, 1.0]], ['2, k, 16', [-0.208904, -0.234348, 1.0]], ['2, k, 17', [-0.174616, -0.639307, 1.0]], ['2, k, 18', [-0.14649, -1.00133, 1.0]], ['2, k, 19', [-0.118286, -1.06934, 1.0]], ['2, k, 20', [-0.318219, 0.292366, 1.0]], ['2, k, 21', [-0.574601, -0.368743, 1.0]], ['2, k, 22', [-0.515651, -0.341278, 1.0]], ['2, k, 23', [0.0232182, -0.325943, 1.0]], ['2, k, 24', [-0.047886, -0.301906, 1.0]]]
[['2, k, 0', [-0.298071, -0.243666, 1.0]], ['2, k, 1', [-0.310316, 0.0654564, 1.0]], ['2, k, 2', [-0.320386, 0.366499, 1.0]], ['2, k, 3', [-0.34653, 0.519193, 1.0]], ['2, k, 4', [-0.50778, 0.252274, 1.0]], ['2, k, 5', [-0.565856, -0.0346797, 1.0]], ['2, k, 6', [-0.593433, -0.286037, 1.0]], ['2, k, 7', [-0.577999, -0.311161, 1.0]], ['2, k, 8', [-0.135773, 0.278102, 1.0]], ['2, k, 9', [-0.0451215, -0.0128154, 1.0]], ['2, k, 10', [0.00251547, -0.262395, 1.0]], ['2, k, 11', [0.00213556, -0.263533, 1.0]], ['2, k, 12', [-0.378621, -0.246, 1.0]], ['2, k, 13', [-0.407218, -0.64759, 1.0]], ['2, k, 14', [-0.415638, -0.984875, 1.0]], ['2, k, 15', [-0.403421, -1.0566, 1.0]], ['2, k, 16', [-0.208941, -0.234337, 1.0]], ['2, k, 17', [-0.174568, -0.6407, 1.0]], ['2, k, 18', [-0.146299, -1.00571, 1.0]], ['2, k, 19', [-0.118487, -1.07112, 1.0]], ['2, k, 20', [-0.318243, 0.292428, 1.0]], ['2, k, 21', [-0.576013, -0.369195, 1.0]], ['2, k, 22', [-0.514801, -0.340546, 1.0]], ['2, k, 23', [0.023533, -0.323881, 1.0]], ['2, k, 24', [-0.0482091, -0.301505, 1.0]]]
[['2, k, 0', [-0.298067, -0.243498, 1.0]], ['2, k, 1', [-0.310295, 0.0654769, 1.0]], ['2, k, 2', [-0.320264, 0.366451, 1.0]], ['2, k, 3', [-0.346367, 0.519267, 1.0]], ['2, k, 4', [-0.508124, 0.252957, 1.0]], ['2, k, 5', [-0.565728, -0.0347682, 1.0]], ['2, k, 6', [-0.593112, -0.286128, 1.0]], ['2, k, 7', [-0.577837, -0.310257, 1.0]], ['2, k, 8', [-0.135646, 0.278116, 1.0]], ['2, k, 9', [-0.0450965, -0.0127059, 1.0]], ['2, k, 10', [0.00253678, -0.2623, 1.0]], ['2, k, 11', [0.00311072, -0.263606, 1.0]], ['2, k, 12', [-0.378622, -0.245716, 1.0]], ['2, k, 13', [-0.407089, -0.647557, 1.0]], ['2, k, 14', [-0.415984, -0.992626, 1.0]], ['2, k, 15', [-0.403884, -1.05827, 1.0]], ['2, k, 16', [-0.208935, -0.234258, 1.0]], ['2, k, 17', [-0.174501, -0.640566, 1.0]], ['2, k, 18', [-0.150144, -1.01496, 1.0]], ['2, k, 19', [-0.120314, -1.06968, 1.0]], ['2, k, 20', [-0.318157, 0.292413, 1.0]], ['2, k, 21', [-0.57135, -0.367861, 1.0]], ['2, k, 22', [-0.513978, -0.340602, 1.0]], ['2, k, 23', [0.0305876, -0.321978, 1.0]], ['2, k, 24', [-0.0477385, -0.302135, 1.0]]]
[['2, k, 0', [-0.298, -0.243279, 1.0]], ['2, k, 1', [-0.310256, 0.0656411, 1.0]], ['2, k, 2', [-0.320245, 0.366668, 1.0]], ['2, k, 3', [-0.346103, 0.519355, 1.0]], ['2, k, 4', [-0.507953, 0.253015, 1.0]], ['2, k, 5', [-0.565368, -0.0343903, 1.0]], ['2, k, 6', [-0.593046, -0.2857, 1.0]], ['2, k, 7', [-0.578286, -0.310576, 1.0]], ['2, k, 8', [-0.135525, 0.278316, 1.0]], ['2, k, 9', [-0.0450588, -0.0126507, 1.0]], ['2, k, 10', [0.00252079, -0.262251, 1.0]], ['2, k, 11', [0.00340684, -0.264881, 1.0]], ['2, k, 12', [-0.378561, -0.245534, 1.0]], ['2, k, 13', [-0.407186, -0.648082, 1.0]], ['2, k, 14', [-0.415371, -0.994056, 1.0]], ['2, k, 15', [-0.403775, -1.05841, 1.0]], ['2, k, 16', [-0.208865, -0.234011, 1.0]], ['2, k, 17', [-0.174482, -0.640451, 1.0]], ['2, k, 18', [-0.151986, -1.013, 1.0]], ['2, k, 19', [-0.120486, -1.0692, 1.0]], ['2, k, 20', [-0.318127, 0.292618, 1.0]], ['2, k, 21', [-0.572988, -0.368379, 1.0]], ['2, k, 22', [-0.515201, -0.339814, 1.0]], ['2, k, 23', [0.0210018, -0.325473, 1.0]], ['2, k, 24', [-0.0477964, -0.302506, 1.0]]]
[['2, k, 0', [-0.298013, -0.243271, 1.0]], ['2, k, 1', [-0.310229, 0.0656663, 1.0]], ['2, k, 2', [-0.320088, 0.366758, 1.0]], ['2, k, 3', [-0.34575, 0.519633, 1.0]], ['2, k, 4', [-0.508001, 0.25328, 1.0]], ['2, k, 5', [-0.565061, -0.033774, 1.0]], ['2, k, 6', [-0.592407, -0.285044, 1.0]], ['2, k, 7', [-0.578106, -0.30897, 1.0]], ['2, k, 8', [-0.13535, 0.278555, 1.0]], ['2, k, 9', [-0.0449627, -0.0125937, 1.0]], ['2, k, 10', [0.0024656, -0.262185, 1.0]], ['2, k, 11', [0.00382628, -0.2649, 1.0]], ['2, k, 12', [-0.378583, -0.245531, 1.0]], ['2, k, 13', [-0.40688, -0.648648, 1.0]], ['2, k, 14', [-0.415127, -0.994714, 1.0]], ['2, k, 15', [-0.408319, -1.06311, 1.0]], ['2, k, 16', [-0.208871, -0.234004, 1.0]], ['2, k, 17', [-0.174525, -0.640501, 1.0]], ['2, k, 18', [-0.151503, -1.01179, 1.0]], ['2, k, 19', [-0.120273, -1.06869, 1.0]], ['2, k, 20', [-0.31801, 0.292689, 1.0]], ['2, k, 21', [-0.573562, -0.368047, 1.0]], ['2, k, 22', [-0.515076, -0.337919, 1.0]], ['2, k, 23', [0.0243174, -0.327645, 1.0]], ['2, k, 24', [-0.0476177, -0.302045, 1.0]]]
[['2, k, 0', [-0.298043, -0.243172, 1.0]], ['2, k, 1', [-0.310163, 0.065766, 1.0]], ['2, k, 2', [-0.319792, 0.366907, 1.0]], ['2, k, 3', [-0.345375, 0.519782, 1.0]], ['2, k, 4', [-0.507709, 0.253404, 1.0]], ['2, k, 5', [-0.564374, -0.0332753, 1.0]], ['2, k, 6', [-0.591625, -0.284384, 1.0]], ['2, k, 7', [-0.576984, -0.308544, 1.0]], ['2, k, 8', [-0.135111, 0.278602, 1.0]], ['2, k, 9', [-0.0446237, -0.0123975, 1.0]], ['2, k, 10', [0.00240749, -0.26203, 1.0]], ['2, k, 11', [0.00369113, -0.265326, 1.0]], ['2, k, 12', [-0.378625, -0.245391, 1.0]], ['2, k, 13', [-0.406887, -0.648543, 1.0]], ['2, k, 14', [-0.415353, -0.994869, 1.0]], ['2, k, 15', [-0.407869, -1.06348, 1.0]], ['2, k, 16', [-0.208889, -0.233941, 1.0]], ['2, k, 17', [-0.174453, -0.640622, 1.0]], ['2, k, 18', [-0.150679, -1.00748, 1.0]], ['2, k, 19', [-0.120597, -1.06828, 1.0]], ['2, k, 20', [-0.317783, 0.29283, 1.0]], ['2, k, 21', [-0.572108, -0.36748, 1.0]], ['2, k, 22', [-0.514001, -0.338497, 1.0]], ['2, k, 23', [0.024313, -0.326141, 1.0]], ['2, k, 24', [-0.0473318, -0.301944, 1.0]]]
[['2, k, 0', [-0.298032, -0.243075, 1.0]], ['2, k, 1', [-0.31012, 0.0658473, 1.0]], ['2, k, 2', [-0.319689, 0.366991, 1.0]], ['2, k, 3', [-0.344938, 0.520037, 1.0]], ['2, k, 4', [-0.50737, 0.253947, 1.0]], ['2, k, 5', [-0.563844, -0.0328673, 1.0]], ['2, k, 6', [-0.591496, -0.283841, 1.0]], ['2, k, 7', [-0.577433, -0.306969, 1.0]], ['2, k, 8', [-0.134707, 0.278651, 1.0]], ['2, k, 9', [-0.0441834, -0.0120555, 1.0]], ['2, k, 10', [0.00242616, -0.261709, 1.0]], ['2, k, 11', [0.00419854, -0.263764, 1.0]], ['2, k, 12', [-0.378619, -0.245225, 1.0]], ['2, k, 13', [-0.406734, -0.648513, 1.0]], ['2, k, 14', [-0.415248, -0.996584, 1.0]], ['2, k, 15', [-0.407659, -1.06274, 1.0]], ['2, k, 16', [-0.208877, -0.233897, 1.0]], ['2, k, 17', [-0.174347, -0.640777, 1.0]], ['2, k, 18', [-0.151347, -1.00757, 1.0]], ['2, k, 19', [-0.120615, -1.06773, 1.0]], ['2, k, 20', [-0.317694, 0.292918, 1.0]], ['2, k, 21', [-0.574438, -0.364386, 1.0]], ['2, k, 22', [-0.513029, -0.337811, 1.0]], ['2, k, 23', [0.0217199, -0.32339, 1.0]], ['2, k, 24', [-0.0476795, -0.302325, 1.0]]]
[['2, k, 0', [-0.29804, -0.242856, 1.0]], ['2, k, 1', [-0.309969, 0.0660611, 1.0]], ['2, k, 2', [-0.319333, 0.36719, 1.0]], ['2, k, 3', [-0.344587, 0.520077, 1.0]], ['2, k, 4', [-0.506832, 0.254281, 1.0]], ['2, k, 5', [-0.56323, -0.0321847, 1.0]], ['2, k, 6', [-0.591022, -0.283027, 1.0]], ['2, k, 7', [-0.57665, -0.306865, 1.0]], ['2, k, 8', [-0.134446, 0.27874, 1.0]], ['2, k, 9', [-0.0435153, -0.0123011, 1.0]], ['2, k, 10', [0.00410278, -0.261699, 1.0]], ['2, k, 11', [0.00646396, -0.265181, 1.0]], ['2, k, 12', [-0.378633, -0.244952, 1.0]], ['2, k, 13', [-0.406697, -0.648386, 1.0]], ['2, k, 14', [-0.415008, -0.995532, 1.0]], ['2, k, 15', [-0.407318, -1.05179, 1.0]], ['2, k, 16', [-0.208879, -0.233736, 1.0]], ['2, k, 17', [-0.174215, -0.641021, 1.0]], ['2, k, 18', [-0.151557, -1.01064, 1.0]], ['2, k, 19', [-0.120057, -1.06842, 1.0]], ['2, k, 20', [-0.317393, 0.293121, 1.0]], ['2, k, 21', [-0.572491, -0.364595, 1.0]], ['2, k, 22', [-0.515844, -0.334273, 1.0]], ['2, k, 23', [0.0228232, -0.327887, 1.0]], ['2, k, 24', [-0.047744, -0.302004, 1.0]]]
[['2, k, 0', [-0.297811, -0.24312, 1.0]], ['2, k, 1', [-0.309577, 0.0660749, 1.0]], ['2, k, 2', [-0.318702, 0.367629, 1.0]], ['2, k, 3', [-0.344061, 0.5203, 1.0]], ['2, k, 4', [-0.506515, 0.254439, 1.0]], ['2, k, 5', [-0.562542, -0.0315892, 1.0]], ['2, k, 6', [-0.590695, -0.282204, 1.0]], ['2, k, 7', [-0.575564, -0.307824, 1.0]], ['2, k, 8', [-0.134162, 0.278786, 1.0]], ['2, k, 9', [-0.0431468, -0.0115925, 1.0]], ['2, k, 10', [0.00755892, -0.260323, 1.0]], ['2, k, 11', [0.00717015, -0.265444, 1.0]], ['2, k, 12', [-0.37844, -0.245159, 1.0]], ['2, k, 13', [-0.406703, -0.64874, 1.0]], ['2, k, 14', [-0.414792, -0.995551, 1.0]], ['2, k, 15', [-0.407761, -1.05943, 1.0]], ['2, k, 16', [-0.20861, -0.234075, 1.0]], ['2, k, 17', [-0.173944, -0.641739, 1.0]], ['2, k, 18', [-0.1506, -1.01277, 1.0]], ['2, k, 19', [-0.120204, -1.06891, 1.0]], ['2, k, 20', [-0.316819, 0.293431, 1.0]], ['2, k, 21', [-0.570094, -0.364355, 1.0]], ['2, k, 22', [-0.515146, -0.334473, 1.0]], ['2, k, 23', [0.0269906, -0.327024, 1.0]], ['2, k, 24', [-0.0472767, -0.30196, 1.0]]]
[['2, k, 0', [-0.29769, -0.243063, 1.0]], ['2, k, 1', [-0.308878, 0.0661872, 1.0]], ['2, k, 2', [-0.317182, 0.367677, 1.0]], ['2, k, 3', [-0.343313, 0.520328, 1.0]], ['2, k, 4', [-0.505739, 0.254712, 1.0]], ['2, k, 5', [-0.562191, -0.0316219, 1.0]], ['2, k, 6', [-0.58995, -0.282089, 1.0]], ['2, k, 7', [-0.574698, -0.306951, 1.0]], ['2, k, 8', [-0.133884, 0.278829, 1.0]], ['2, k, 9', [-0.0425588, -0.0113146, 1.0]], ['2, k, 10', [0.0114596, -0.259188, 1.0]], ['2, k, 11', [0.00935016, -0.265689, 1.0]], ['2, k, 12', [-0.378284, -0.244989, 1.0]], ['2, k, 13', [-0.406639, -0.648295, 1.0]], ['2, k, 14', [-0.414659, -0.994637, 1.0]], ['2, k, 15', [-0.406984, -1.05819, 1.0]], ['2, k, 16', [-0.208499, -0.234095, 1.0]], ['2, k, 17', [-0.174022, -0.642878, 1.0]], ['2, k, 18', [-0.150304, -1.01309, 1.0]], ['2, k, 19', [-0.119538, -1.06973, 1.0]], ['2, k, 20', [-0.315518, 0.293502, 1.0]], ['2, k, 21', [-0.571272, -0.363919, 1.0]], ['2, k, 22', [-0.510132, -0.335927, 1.0]], ['2, k, 23', [0.0262516, -0.329968, 1.0]], ['2, k, 24', [-0.0432772, -0.300071, 1.0]]]
[['2, k, 0', [-0.29764, -0.243053, 1.0]], ['2, k, 1', [-0.308541, 0.0661832, 1.0]], ['2, k, 2', [-0.316519, 0.367585, 1.0]], ['2, k, 3', [-0.342442, 0.52019, 1.0]], ['2, k, 4', [-0.504513, 0.25482, 1.0]], ['2, k, 5', [-0.561333, -0.0314034, 1.0]], ['2, k, 6', [-0.589749, -0.281657, 1.0]], ['2, k, 7', [-0.574843, -0.307265, 1.0]], ['2, k, 8', [-0.13308, 0.278642, 1.0]], ['2, k, 9', [-0.0417787, -0.0112201, 1.0]], ['2, k, 10', [0.0137043, -0.258673, 1.0]], ['2, k, 11', [0.0106513, -0.266743, 1.0]], ['2, k, 12', [-0.378237, -0.244953, 1.0]], ['2, k, 13', [-0.406594, -0.648411, 1.0]], ['2, k, 14', [-0.413609, -0.996918, 1.0]], ['2, k, 15', [-0.40714, -1.06082, 1.0]], ['2, k, 16', [-0.208427, -0.234116, 1.0]], ['2, k, 17', [-0.173982, -0.642368, 1.0]], ['2, k, 18', [-0.150617, -1.01235, 1.0]], ['2, k, 19', [-0.118768, -1.06938, 1.0]], ['2, k, 20', [-0.314932, 0.293435, 1.0]], ['2, k, 21', [-0.573114, -0.364065, 1.0]], ['2, k, 22', [-0.511298, -0.336613, 1.0]], ['2, k, 23', [0.0268725, -0.333419, 1.0]], ['2, k, 24', [-0.0409131, -0.300383, 1.0]]]
