[['2, k, 0', [-0.1559128, -0.2097286, 1.0]], ['2, k, 1', [-0.142151, 0.06985342, 1.0]], ['2, k, 2', [-0.1284147, 0.342408, 1.0]], ['2, k, 3', [-0.1267045, 0.4756113, 1.0]], ['2, k, 4', [-0.2827676, 0.2529089, 1.0]], ['2, k, 5', [-0.250118, 0.07212175, 1.0]], ['2, k, 6', [-0.1298836, -0.04534038, 1.0]], ['2, k, 7', [-0.06411854, -0.1018133, 1.0]], ['2, k, 8', [0.04148348, 0.2585137, 1.0]], ['2, k, 9', [0.03208191, 0.07839373, 1.0]], ['2, k, 10', [-0.01805812, -0.03218135, 1.0]], ['2, k, 11', [-0.06126095, -0.09447502, 1.0]], ['2, k, 12', [-0.2332942, -0.2031219, 1.0]], ['2, k, 13', [-0.2408458, -0.2615466, 1.0]], ['2, k, 14', [-0.2458451, -0.6761338, 1.0]], ['2, k, 15', [-0.2350237, -0.7344854, 1.0]], ['2, k, 16', [-0.07426658, -0.2097818, 1.0]], ['2, k, 17', [0.08131064, -0.2539304, 1.0]], ['2, k, 18', [0.03458483, -0.6424943, 1.0]], ['2, k, 19', [0.05496997, -0.7176702, 1.0]], ['2, k, 20', [-0.1319232, 0.275359, 1.0]], ['2, k, 21', [-0.05032555, -0.1602104, 1.0]], ['2, k, 22', [-0.07188608, -0.1580988, 1.0]], ['2, k, 23', [-0.05255129, -0.1526204, 1.0]], ['2, k, 24', [-0.08448034, -0.1222354, 1.0]]]
[['2, k, 0', [-0.1562221, -0.2076869, 1.0]], ['2, k, 1', [-0.1426869, 0.07138177, 1.0]], ['2, k, 2', [-0.1291786, 0.3435064, 1.0]], ['2, k, 3', [-0.1267544, 0.4767565, 1.0]], ['2, k, 4', [-0.2824049, 0.2554511, 1.0]], ['2, k, 5', [-0.2422239, 0.07878722, 1.0]], ['2, k, 6', [-0.1258258, -0.04579302, 1.0]], ['2, k, 7', [-0.06349922, -0.1036807, 1.0]], ['2, k, 8', [0.04053741, 0.2595538, 1.0]], ['2, k, 9', [0.02699828, 0.08398566, 1.0]], ['2, k, 10', [-0.01872467, -0.03184167, 1.0]], ['2, k, 11', [-0.061464, -0.09768634, 1.0]], ['2, k, 12', [-0.2332453, -0.2010618, 1.0]], ['2, k, 13', [-0.2407308, -0.2615665, 1.0]], ['2, k, 14', [-0.2454469, -0.6764259, 1.0]], ['2, k, 15', [-0.2351482, -0.7346535, 1.0]], ['2, k, 16', [-0.07489645, -0.2079895, 1.0]], ['2, k, 17', [0.08132713, -0.2539688, 1.0]], ['2, k, 18', [0.03414451, -0.6420403, 1.0]], ['2, k, 19', [0.05290055, -0.719663, 1.0]], ['2, k, 20', [-0.13263, 0.2765674, 1.0]], ['2, k, 21', [-0.04758538, -0.1632557, 1.0]], ['2, k, 22', [-0.07408098, -0.1647172, 1.0]], ['2, k, 23', [-0.04994285, -0.1515873, 1.0]], ['2, k, 24', [-0.08883765, -0.1113667, 1.0]]]
[['2, k, 0', [-0.1562008, -0.2076668, 1.0]], ['2, k, 1', [-0.1428948, 0.07156103, 1.0]], ['2, k, 2', [-0.1299158, 0.3438481, 1.0]], ['2, k, 3', [-0.1270574, 0.477312, 1.0]], ['2, k, 4', [-0.2822893, 0.2547508, 1.0]], ['2, k, 5', [-0.2337399, 0.08195355, 1.0]], ['2, k, 6', [-0.1233871, -0.04603724, 1.0]], ['2, k, 7', [-0.06249447, -0.1071699, 1.0]], ['2, k, 8', [0.03831405, 0.2606923, 1.0]], ['2, k, 9', [0.01631914, 0.09037725, 1.0]], ['2, k, 10', [-0.01977242, -0.03161339, 1.0]], ['2, k, 11', [-0.06126195, -0.10196, 1.0]], ['2, k, 12', [-0.233116, -0.2010554, 1.0]], ['2, k, 13', [-0.2407222, -0.2615791, 1.0]], ['2, k, 14', [-0.2452642, -0.67668, 1.0]], ['2, k, 15', [-0.2351955, -0.734859, 1.0]], ['2, k, 16', [-0.07474989, -0.2078369, 1.0]], ['2, k, 17', [0.0813406, -0.254045, 1.0]], ['2, k, 18', [0.0336597, -0.6414053, 1.0]], ['2, k, 19', [0.05271168, -0.7188039, 1.0]], ['2, k, 20', [-0.1332207, 0.2768593, 1.0]], ['2, k, 21', [-0.04722907, -0.1697761, 1.0]], ['2, k, 22', [-0.07744683, -0.1558586, 1.0]], ['2, k, 23', [-0.05020199, -0.1629717, 1.0]], ['2, k, 24', [-0.08799942, -0.1217594, 1.0]]]
[['2, k, 0', [-0.1561695, -0.2075186, 1.0]], ['2, k, 1', [-0.1430305, 0.07220123, 1.0]], ['2, k, 2', [-0.1302565, 0.3450169, 1.0]], ['2, k, 3', [-0.1279009, 0.4776823, 1.0]], ['2, k, 4', [-0.282086, 0.2544028, 1.0]], ['2, k, 5', [-0.2163048, 0.0951811, 1.0]], ['2, k, 6', [-0.1225125, -0.04594766, 1.0]], ['2, k, 7', [-0.06317485, -0.1103026, 1.0]], ['2, k, 8', [0.0363009, 0.2619586, 1.0]], ['2, k, 9', [0.01353069, 0.09403912, 1.0]], ['2, k, 10', [-0.02071941, -0.03203449, 1.0]], ['2, k, 11', [-0.06224186, -0.1062842, 1.0]], ['2, k, 12', [-0.2330792, -0.2007708, 1.0]], ['2, k, 13', [-0.2407107, -0.2615388, 1.0]], ['2, k, 14', [-0.2458741, -0.6809749, 1.0]], ['2, k, 15', [-0.2347278, -0.7373589, 1.0]], ['2, k, 16', [-0.07465835, -0.2074745, 1.0]], ['2, k, 17', [0.08138288, -0.2540725, 1.0]], ['2, k, 18', [0.03314671, -0.6406359, 1.0]], ['2, k, 19', [0.05247777, -0.717579, 1.0]], ['2, k, 20', [-0.1335127, 0.2778868, 1.0]], ['2, k, 21', [-0.05095696, -0.172612, 1.0]], ['2, k, 22', [-0.08251579, -0.156969, 1.0]], ['2, k, 23', [-0.05403967, -0.1682072, 1.0]], ['2, k, 24', [-0.09649429, -0.1069297, 1.0]]]
[['2, k, 0', [-0.1555188, -0.2064127, 1.0]], ['2, k, 1', [-0.1426696, 0.07363611, 1.0]], ['2, k, 2', [-0.1300301, 0.3473681, 1.0]], ['2, k, 3', [-0.1281149, 0.4789778, 1.0]], ['2, k, 4', [-0.2810889, 0.2579318, 1.0]], ['2, k, 5', [-0.2143072, 0.09552194, 1.0]], ['2, k, 6', [-0.1192319, -0.04513251, 1.0]], ['2, k, 7', [-0.06388623, -0.1121992, 1.0]], ['2, k, 8', [0.03536245, 0.2624992, 1.0]], ['2, k, 9', [-0.003223778, 0.09488825, 1.0]], ['2, k, 10', [-0.02145714, -0.03135901, 1.0]], ['2, k, 11', [-0.06280943, -0.1099666, 1.0]], ['2, k, 12', [-0.2326091, -0.1996352, 1.0]], ['2, k, 13', [-0.2407106, -0.2615233, 1.0]], ['2, k, 14', [-0.2457982, -0.6765789, 1.0]], ['2, k, 15', [-0.2351423, -0.7358561, 1.0]], ['2, k, 16', [-0.07336752, -0.2060282, 1.0]], ['2, k, 17', [0.08148582, -0.2541552, 1.0]], ['2, k, 18', [0.03283072, -0.6424274, 1.0]], ['2, k, 19', [0.05225902, -0.7191015, 1.0]], ['2, k, 20', [-0.133241, 0.2799862, 1.0]], ['2, k, 21', [-0.05149738, -0.1709899, 1.0]], ['2, k, 22', [-0.07907394, -0.16002, 1.0]], ['2, k, 23', [-0.05355657, -0.1722226, 1.0]], ['2, k, 24', [-0.08763508, -0.1426011, 1.0]]]
[['2, k, 0', [-0.1551392, -0.2060102, 1.0]], ['2, k, 1', [-0.1425986, 0.07401661, 1.0]], ['2, k, 2', [-0.1298755, 0.3488251, 1.0]], ['2, k, 3', [-0.1284079, 0.4802637, 1.0]], ['2, k, 4', [-0.2810684, 0.2569222, 1.0]], ['2, k, 5', [-0.2105102, 0.09733292, 1.0]], ['2, k, 6', [-0.1158728, -0.03305583, 1.0]], ['2, k, 7', [-0.06320388, -0.1103693, 1.0]], ['2, k, 8', [0.03458798, 0.2631187, 1.0]], ['2, k, 9', [-0.01291391, 0.100007, 1.0]], ['2, k, 10', [-0.02847394, -0.02905637, 1.0]], ['2, k, 11', [-0.06453682, -0.1091246, 1.0]], ['2, k, 12', [-0.2323917, -0.1996498, 1.0]], ['2, k, 13', [-0.2407652, -0.2614771, 1.0]], ['2, k, 14', [-0.2457291, -0.6752816, 1.0]], ['2, k, 15', [-0.2352034, -0.7354707, 1.0]], ['2, k, 16', [-0.07307228, -0.2053794, 1.0]], ['2, k, 17', [0.08159129, -0.2543496, 1.0]], ['2, k, 18', [0.03425447, -0.6394599, 1.0]], ['2, k, 19', [0.05189274, -0.7181849, 1.0]], ['2, k, 20', [-0.1331104, 0.281128, 1.0]], ['2, k, 21', [-0.05243489, -0.1737868, 1.0]], ['2, k, 22', [-0.08391777, -0.1494714, 1.0]], ['2, k, 23', [-0.05364953, -0.1746268, 1.0]], ['2, k, 24', [-0.0917399, -0.1256309, 1.0]]]
[['2, k, 0', [-0.1549745, -0.2052266, 1.0]], ['2, k, 1', [-0.1426151, 0.07541355, 1.0]], ['2, k, 2', [-0.1301599, 0.3508936, 1.0]], ['2, k, 3', [-0.1293621, 0.4822823, 1.0]], ['2, k, 4', [-0.280466, 0.258266, 1.0]], ['2, k, 5', [-0.2034071, 0.1004655, 1.0]], ['2, k, 6', [-0.116651, -0.03003995, 1.0]], ['2, k, 7', [-0.06896181, -0.0891665, 1.0]], ['2, k, 8', [0.03360709, 0.2650181, 1.0]], ['2, k, 9', [-0.01572686, 0.103715, 1.0]], ['2, k, 10', [-0.03195555, -0.02735186, 1.0]], ['2, k, 11', [-0.0638419, -0.1072335, 1.0]], ['2, k, 12', [-0.2322879, -0.1990637, 1.0]], ['2, k, 13', [-0.2408322, -0.2614764, 1.0]], ['2, k, 14', [-0.2455807, -0.6755184, 1.0]], ['2, k, 15', [-0.2352178, -0.7355394, 1.0]], ['2, k, 16', [-0.07292653, -0.2046547, 1.0]], ['2, k, 17', [0.08172653, -0.2545495, 1.0]], ['2, k, 18', [0.03327902, -0.6416438, 1.0]], ['2, k, 19', [0.05068575, -0.7194315, 1.0]], ['2, k, 20', [-0.1333273, 0.2830889, 1.0]], ['2, k, 21', [-0.05014924, -0.1411125, 1.0]], ['2, k, 22', [-0.08985437, -0.1146052, 1.0]], ['2, k, 23', [-0.0550883, -0.1718994, 1.0]], ['2, k, 24', [-0.09373265, -0.115832, 1.0]]]
[['2, k, 0', [-0.1550289, -0.2042679, 1.0]], ['2, k, 1', [-0.1430951, 0.07684933, 1.0]], ['2, k, 2', [-0.1311341, 0.35232, 1.0]], ['2, k, 3', [-0.1297085, 0.4833524, 1.0]], ['2, k, 4', [-0.2799219, 0.2658504, 1.0]], ['2, k, 5', [-0.20078, 0.1008935, 1.0]], ['2, k, 6', [-0.1162646, -0.02912054, 1.0]], ['2, k, 7', [-0.06359553, -0.09677774, 1.0]], ['2, k, 8', [0.03257514, 0.2662577, 1.0]], ['2, k, 9', [-0.01923693, 0.1032861, 1.0]], ['2, k, 10', [-0.03214, -0.02683356, 1.0]], ['2, k, 11', [-0.06367006, -0.1011397, 1.0]], ['2, k, 12', [-0.2323233, -0.1980035, 1.0]], ['2, k, 13', [-0.2409623, -0.2614894, 1.0]], ['2, k, 14', [-0.245293, -0.6774588, 1.0]], ['2, k, 15', [-0.2348863, -0.7355584, 1.0]], ['2, k, 16', [-0.07302822, -0.2040827, 1.0]], ['2, k, 17', [0.08176892, -0.2545094, 1.0]], ['2, k, 18', [0.03359116, -0.641292, 1.0]], ['2, k, 19', [0.05126171, -0.7193459, 1.0]], ['2, k, 20', [-0.1341917, 0.2845517, 1.0]], ['2, k, 21', [-0.05010998, -0.1597847, 1.0]], ['2, k, 22', [-0.08740544, -0.123679, 1.0]], ['2, k, 23', [-0.05465595, -0.1705773, 1.0]], ['2, k, 24', [-0.09529376, -0.104201, 1.0]]]
[['2, k, 0', [-0.1548896, -0.2041634, 1.0]], ['2, k, 1', [-0.1432189, 0.07741319, 1.0]], ['2, k, 2', [-0.1318446, 0.3534633, 1.0]], ['2, k, 3', [-0.1296629, 0.4840424, 1.0]], ['2, k, 4', [-0.2803635, 0.2634241, 1.0]], ['2, k, 5', [-0.1829082, 0.0970783, 1.0]], ['2, k, 6', [-0.1058169, -0.04554125, 1.0]], ['2, k, 7', [-0.06264071, -0.09466355, 1.0]], ['2, k, 8', [0.0317876, 0.2674298, 1.0]], ['2, k, 9', [-0.01414931, 0.104967, 1.0]], ['2, k, 10', [-0.03407978, -0.02769318, 1.0]], ['2, k, 11', [-0.06352892, -0.09706102, 1.0]], ['2, k, 12', [-0.2322769, -0.1979944, 1.0]], ['2, k, 13', [-0.2410257, -0.261449, 1.0]], ['2, k, 14', [-0.2453029, -0.6774321, 1.0]], ['2, k, 15', [-0.2347806, -0.7350357, 1.0]], ['2, k, 16', [-0.07279582, -0.2038732, 1.0]], ['2, k, 17', [0.08190032, -0.2544653, 1.0]], ['2, k, 18', [0.03442346, -0.640425, 1.0]], ['2, k, 19', [0.05190784, -0.7191479, 1.0]], ['2, k, 20', [-0.1347375, 0.2855483, 1.0]], ['2, k, 21', [-0.0541147, -0.1607628, 1.0]], ['2, k, 22', [-0.08447218, -0.1269633, 1.0]], ['2, k, 23', [-0.05539708, -0.1629439, 1.0]], ['2, k, 24', [-0.09819352, -0.08850717, 1.0]]]
[['2, k, 0', [-0.1550294, -0.2033734, 1.0]], ['2, k, 1', [-0.1437113, 0.07876952, 1.0]], ['2, k, 2', [-0.1326237, 0.3546994, 1.0]], ['2, k, 3', [-0.1301618, 0.485053, 1.0]], ['2, k, 4', [-0.2806585, 0.2684445, 1.0]], ['2, k, 5', [-0.1919404, 0.1108572, 1.0]], ['2, k, 6', [-0.1069199, -0.03657928, 1.0]], ['2, k, 7', [-0.0621526, -0.1015233, 1.0]], ['2, k, 8', [0.03048946, 0.2690702, 1.0]], ['2, k, 9', [-0.01674043, 0.1076929, 1.0]], ['2, k, 10', [-0.02727717, -0.004246607, 1.0]], ['2, k, 11', [-0.06269132, -0.08295377, 1.0]], ['2, k, 12', [-0.2322796, -0.1971561, 1.0]], ['2, k, 13', [-0.2410239, -0.261416, 1.0]], ['2, k, 14', [-0.2451161, -0.6773065, 1.0]], ['2, k, 15', [-0.2347665, -0.7350087, 1.0]], ['2, k, 16', [-0.07314491, -0.2031208, 1.0]], ['2, k, 17', [0.08190163, -0.2544523, 1.0]], ['2, k, 18', [0.03450747, -0.640554, 1.0]], ['2, k, 19', [0.05702127, -0.7214247, 1.0]], ['2, k, 20', [-0.1354619, 0.2868488, 1.0]], ['2, k, 21', [-0.058466, -0.1622839, 1.0]], ['2, k, 22', [-0.08069401, -0.1496809, 1.0]], ['2, k, 23', [-0.0565716, -0.1490314, 1.0]], ['2, k, 24', [-0.08399859, -0.1162909, 1.0]]]
[['2, k, 0', [-0.1521937, -0.2015454, 1.0]], ['2, k, 1', [-0.1424774, 0.07990286, 1.0]], ['2, k, 2', [-0.1324899, 0.3549667, 1.0]], ['2, k, 3', [-0.1304641, 0.4860742, 1.0]], ['2, k, 4', [-0.2802675, 0.2699891, 1.0]], ['2, k, 5', [-0.1926312, 0.1115959, 1.0]], ['2, k, 6', [-0.1037253, -0.03139002, 1.0]], ['2, k, 7', [-0.06186857, -0.06089207, 1.0]], ['2, k, 8', [0.03014897, 0.2702452, 1.0]], ['2, k, 9', [-0.003176264, 0.1108971, 1.0]], ['2, k, 10', [-0.035468, -0.01978676, 1.0]], ['2, k, 11', [-0.06015124, -0.06077168, 1.0]], ['2, k, 12', [-0.2290079, -0.1957791, 1.0]], ['2, k, 13', [-0.2410021, -0.2614254, 1.0]], ['2, k, 14', [-0.2452079, -0.6772839, 1.0]], ['2, k, 15', [-0.2347136, -0.7346929, 1.0]], ['2, k, 16', [-0.07082717, -0.2011471, 1.0]], ['2, k, 17', [0.0818373, -0.2543537, 1.0]], ['2, k, 18', [0.03470811, -0.6406888, 1.0]], ['2, k, 19', [0.05641328, -0.7203676, 1.0]], ['2, k, 20', [-0.1351212, 0.2872753, 1.0]], ['2, k, 21', [-0.05298859, -0.1226383, 1.0]], ['2, k, 22', [-0.07659066, -0.1107129, 1.0]], ['2, k, 23', [-0.05397899, -0.1260624, 1.0]], ['2, k, 24', [-0.08882874, -0.0585462, 1.0]]]
