[['2, k, 0', [-0.1740314, -0.1256883, 1.0]], ['2, k, 1', [-0.1751275, 0.123632, 1.0]], ['2, k, 2', [-0.1734713, 0.3658995, 1.0]], ['2, k, 3', [-0.172174, 0.5115731, 1.0]], ['2, k, 4', [-0.3448912, 0.2519974, 1.0]], ['2, k, 5', [-0.432615, 0.01706831, 1.0]], ['2, k, 6', [-0.4458278, -0.1762166, 1.0]], ['2, k, 7', [-0.446696, -0.2524382, 1.0]], ['2, k, 8', [0.01664752, 0.2480655, 1.0]], ['2, k, 9', [0.09129643, 0.009039273, 1.0]], ['2, k, 10', [0.1466585, -0.1659187, 1.0]], ['2, k, 11', [0.1437343, -0.1531836, 1.0]], ['2, k, 12', [-0.2503186, -0.1219579, 1.0]], ['2, k, 13', [-0.2828534, -0.2097129, 1.0]], ['2, k, 14', [-0.2354193, -0.6244353, 1.0]], ['2, k, 15', [-0.2405244, -0.6965548, 1.0]], ['2, k, 16', [-0.09327143, -0.1263148, 1.0]], ['2, k, 17', [0.06848006, -0.2072625, 1.0]], ['2, k, 18', [0.01249253, -0.6248864, 1.0]], ['2, k, 19', [0.02752366, -0.6890708, 1.0]], ['2, k, 20', [-0.1741185, 0.3061694, 1.0]], ['2, k, 21', [-0.4333327, -0.3215353, 1.0]], ['2, k, 22', [-0.4630545, -0.2944947, 1.0]], ['2, k, 23', [0.1602698, -0.2000728, 1.0]], ['2, k, 24', [0.1179913, -0.1479456, 1.0]]]
[['2, k, 0', [-0.1682002, -0.123839, 1.0]], ['2, k, 1', [-0.171727, 0.1249964, 1.0]], ['2, k, 2', [-0.1724008, 0.3669213, 1.0]], ['2, k, 3', [-0.1726564, 0.5120773, 1.0]], ['2, k, 4', [-0.3447871, 0.2520373, 1.0]], ['2, k, 5', [-0.4332822, 0.01740321, 1.0]], ['2, k, 6', [-0.4475739, -0.1800378, 1.0]], ['2, k, 7', [-0.4482376, -0.2583711, 1.0]], ['2, k, 8', [0.016496, 0.2482323, 1.0]], ['2, k, 9', [0.09534273, 0.01079732, 1.0]], ['2, k, 10', [0.1657112, -0.1660691, 1.0]], ['2, k, 11', [0.1850404, -0.251939, 1.0]], ['2, k, 12', [-0.2446485, -0.1209159, 1.0]], ['2, k, 13', [-0.2828308, -0.2096816, 1.0]], ['2, k, 14', [-0.2356604, -0.6241703, 1.0]], ['2, k, 15', [-0.2406454, -0.6964808, 1.0]], ['2, k, 16', [-0.0874969, -0.1236776, 1.0]], ['2, k, 17', [0.06840064, -0.2072602, 1.0]], ['2, k, 18', [0.01294015, -0.6223773, 1.0]], ['2, k, 19', [0.02756593, -0.6889637, 1.0]], ['2, k, 20', [-0.1725406, 0.3073025, 1.0]], ['2, k, 21', [-0.4386111, -0.322577, 1.0]], ['2, k, 22', [-0.4709319, -0.2858614, 1.0]], ['2, k, 23', [0.1956612, -0.3134852, 1.0]], ['2, k, 24', [0.1675126, -0.2780637, 1.0]]]
[['2, k, 0', [-0.1669471, -0.1230542, 1.0]], ['2, k, 1', [-0.1709536, 0.1255911, 1.0]], ['2, k, 2', [-0.1722411, 0.367364, 1.0]], ['2, k, 3', [-0.1735362, 0.5126395, 1.0]], ['2, k, 4', [-0.3447874, 0.2519725, 1.0]], ['2, k, 5', [-0.4332801, 0.01740398, 1.0]], ['2, k, 6', [-0.4477952, -0.1815535, 1.0]], ['2, k, 7', [-0.4493557, -0.2581901, 1.0]], ['2, k, 8', [0.01627488, 0.2486256, 1.0]], ['2, k, 9', [0.1031427, 0.02218109, 1.0]], ['2, k, 10', [0.1707642, -0.1498044, 1.0]], ['2, k, 11', [0.2128117, -0.2337595, 1.0]], ['2, k, 12', [-0.2433814, -0.1204431, 1.0]], ['2, k, 13', [-0.2828032, -0.2098007, 1.0]], ['2, k, 14', [-0.2359782, -0.6239369, 1.0]], ['2, k, 15', [-0.240651, -0.6965025, 1.0]], ['2, k, 16', [-0.08629847, -0.1225904, 1.0]], ['2, k, 17', [0.06842069, -0.206981, 1.0]], ['2, k, 18', [0.01348042, -0.6222114, 1.0]], ['2, k, 19', [0.0281145, -0.6889638, 1.0]], ['2, k, 20', [-0.1722441, 0.307787, 1.0]], ['2, k, 21', [-0.4378067, -0.3258241, 1.0]], ['2, k, 22', [-0.4596685, -0.3162214, 1.0]], ['2, k, 23', [0.237741, -0.3006506, 1.0]], ['2, k, 24', [0.192097, -0.2472983, 1.0]]]
[['2, k, 0', [-0.166072, -0.1222512, 1.0]], ['2, k, 1', [-0.1709222, 0.1260258, 1.0]], ['2, k, 2', [-0.1735222, 0.3677078, 1.0]], ['2, k, 3', [-0.1748848, 0.5128653, 1.0]], ['2, k, 4', [-0.3448839, 0.2516642, 1.0]], ['2, k, 5', [-0.4346168, 0.01760342, 1.0]], ['2, k, 6', [-0.4481311, -0.1824172, 1.0]], ['2, k, 7', [-0.4485246, -0.2643222, 1.0]], ['2, k, 8', [0.01501786, 0.2501271, 1.0]], ['2, k, 9', [0.1276689, 0.02940105, 1.0]], ['2, k, 10', [0.2489412, -0.1889907, 1.0]], ['2, k, 11', [0.2786303, -0.2565049, 1.0]], ['2, k, 12', [-0.2425891, -0.1200003, 1.0]], ['2, k, 13', [-0.2830991, -0.209669, 1.0]], ['2, k, 14', [-0.2360092, -0.6239855, 1.0]], ['2, k, 15', [-0.2407292, -0.6964138, 1.0]], ['2, k, 16', [-0.08537012, -0.1213844, 1.0]], ['2, k, 17', [0.06842424, -0.2075369, 1.0]], ['2, k, 18', [0.01420182, -0.6215734, 1.0]], ['2, k, 19', [0.02820746, -0.6889211, 1.0]], ['2, k, 20', [-0.1730851, 0.3081472, 1.0]], ['2, k, 21', [-0.437126, -0.3317424, 1.0]], ['2, k, 22', [-0.4583779, -0.3158179, 1.0]], ['2, k, 23', [0.3099269, -0.3194985, 1.0]], ['2, k, 24', [0.2610325, -0.2950627, 1.0]]]
[['2, k, 0', [-0.1623806, -0.1217013, 1.0]], ['2, k, 1', [-0.1700642, 0.1264536, 1.0]], ['2, k, 2', [-0.1739319, 0.3682927, 1.0]], ['2, k, 3', [-0.1772125, 0.514293, 1.0]], ['2, k, 4', [-0.3447903, 0.2518753, 1.0]], ['2, k, 5', [-0.4345286, 0.01787403, 1.0]], ['2, k, 6', [-0.4478672, -0.1838568, 1.0]], ['2, k, 7', [-0.4488731, -0.2656057, 1.0]], ['2, k, 8', [0.01325605, 0.2527402, 1.0]], ['2, k, 9', [0.1567539, 0.0484794, 1.0]], ['2, k, 10', [0.2704718, -0.1144299, 1.0]], ['2, k, 11', [0.3249508, -0.1905387, 1.0]], ['2, k, 12', [-0.2392101, -0.1202036, 1.0]], ['2, k, 13', [-0.2830993, -0.2096857, 1.0]], ['2, k, 14', [-0.2361402, -0.6237839, 1.0]], ['2, k, 15', [-0.2409708, -0.6966733, 1.0]], ['2, k, 16', [-0.08125971, -0.1200009, 1.0]], ['2, k, 17', [0.06847376, -0.2077647, 1.0]], ['2, k, 18', [0.0160819, -0.6259403, 1.0]], ['2, k, 19', [0.02823282, -0.6889492, 1.0]], ['2, k, 20', [-0.1731674, 0.3086061, 1.0]], ['2, k, 21', [-0.4394214, -0.329233, 1.0]], ['2, k, 22', [-0.4699856, -0.2935319, 1.0]], ['2, k, 23', [0.3704118, -0.2555371, 1.0]], ['2, k, 24', [0.3200125, -0.2372644, 1.0]]]
[['2, k, 0', [-0.1612367, -0.1209159, 1.0]], ['2, k, 1', [-0.1695185, 0.1267956, 1.0]], ['2, k, 2', [-0.1742915, 0.3683361, 1.0]], ['2, k, 3', [-0.1790144, 0.5144045, 1.0]], ['2, k, 4', [-0.3465464, 0.250617, 1.0]], ['2, k, 5', [-0.4338196, 0.01581585, 1.0]], ['2, k, 6', [-0.4501064, -0.1857429, 1.0]], ['2, k, 7', [-0.451763, -0.2645275, 1.0]], ['2, k, 8', [0.01076788, 0.2567836, 1.0]], ['2, k, 9', [0.1776469, 0.07255282, 1.0]], ['2, k, 10', [0.3199045, -0.0819105, 1.0]], ['2, k, 11', [0.3937258, -0.1577108, 1.0]], ['2, k, 12', [-0.2380176, -0.1201464, 1.0]], ['2, k, 13', [-0.2830751, -0.2097203, 1.0]], ['2, k, 14', [-0.2359554, -0.6242415, 1.0]], ['2, k, 15', [-0.2408994, -0.6965048, 1.0]], ['2, k, 16', [-0.08026205, -0.1183849, 1.0]], ['2, k, 17', [0.06964573, -0.2082136, 1.0]], ['2, k, 18', [0.01615849, -0.6260169, 1.0]], ['2, k, 19', [0.02811706, -0.6888608, 1.0]], ['2, k, 20', [-0.1733368, 0.3087243, 1.0]], ['2, k, 21', [-0.4432255, -0.3320224, 1.0]], ['2, k, 22', [-0.4672824, -0.2996372, 1.0]], ['2, k, 23', [0.4402907, -0.2217012, 1.0]], ['2, k, 24', [0.3429724, -0.1245449, 1.0]]]
[['2, k, 0', [-0.1610475, -0.1203852, 1.0]], ['2, k, 1', [-0.1694673, 0.1268693, 1.0]], ['2, k, 2', [-0.1744058, 0.3682491, 1.0]], ['2, k, 3', [-0.1805362, 0.5143568, 1.0]], ['2, k, 4', [-0.3474512, 0.2504174, 1.0]], ['2, k, 5', [-0.4340208, 0.01540521, 1.0]], ['2, k, 6', [-0.4508566, -0.1859969, 1.0]], ['2, k, 7', [-0.4515774, -0.2676119, 1.0]], ['2, k, 8', [0.007481636, 0.2627112, 1.0]], ['2, k, 9', [0.195304, 0.1138277, 1.0]], ['2, k, 10', [0.3651823, -0.02786655, 1.0]], ['2, k, 11', [0.4467271, -0.09313154, 1.0]], ['2, k, 12', [-0.2377729, -0.1199109, 1.0]], ['2, k, 13', [-0.2832131, -0.2093399, 1.0]], ['2, k, 14', [-0.2359616, -0.6242635, 1.0]], ['2, k, 15', [-0.2411461, -0.6963915, 1.0]], ['2, k, 16', [-0.08021255, -0.1174635, 1.0]], ['2, k, 17', [0.07021921, -0.2084642, 1.0]], ['2, k, 18', [0.01600398, -0.6255935, 1.0]], ['2, k, 19', [0.02768453, -0.6886457, 1.0]], ['2, k, 20', [-0.1733707, 0.3087048, 1.0]], ['2, k, 21', [-0.4402521, -0.3318359, 1.0]], ['2, k, 22', [-0.4708172, -0.2939945, 1.0]], ['2, k, 23', [0.5001218, -0.1547471, 1.0]], ['2, k, 24', [0.4262909, -0.09281939, 1.0]]]
[['2, k, 0', [-0.1608254, -0.119803, 1.0]], ['2, k, 1', [-0.1695597, 0.1270788, 1.0]], ['2, k, 2', [-0.175445, 0.3683279, 1.0]], ['2, k, 3', [-0.1816189, 0.5142716, 1.0]], ['2, k, 4', [-0.3476537, 0.2504102, 1.0]], ['2, k, 5', [-0.434358, 0.01546011, 1.0]], ['2, k, 6', [-0.4512093, -0.1859206, 1.0]], ['2, k, 7', [-0.4525103, -0.2672742, 1.0]], ['2, k, 8', [0.007415412, 0.264258, 1.0]], ['2, k, 9', [0.2118067, 0.1404857, 1.0]], ['2, k, 10', [0.3725989, 0.05024206, 1.0]], ['2, k, 11', [0.4573781, 0.00805898, 1.0]], ['2, k, 12', [-0.2374822, -0.1194736, 1.0]], ['2, k, 13', [-0.2832398, -0.2091111, 1.0]], ['2, k, 14', [-0.2360445, -0.6241372, 1.0]], ['2, k, 15', [-0.2410565, -0.6961789, 1.0]], ['2, k, 16', [-0.08010018, -0.1168071, 1.0]], ['2, k, 17', [0.07029335, -0.2084915, 1.0]], ['2, k, 18', [0.01605828, -0.6256022, 1.0]], ['2, k, 19', [0.02733457, -0.6886957, 1.0]], ['2, k, 20', [-0.1740384, 0.3088462, 1.0]], ['2, k, 21', [-0.4420733, -0.333097, 1.0]], ['2, k, 22', [-0.4633554, -0.327223, 1.0]], ['2, k, 23', [0.5187513, -0.06276848, 1.0]], ['2, k, 24', [0.5076961, -0.06222763, 1.0]]]
[['2, k, 0', [-0.1597184, -0.118919, 1.0]], ['2, k, 1', [-0.1691608, 0.1272178, 1.0]], ['2, k, 2', [-0.1755343, 0.3679577, 1.0]], ['2, k, 3', [-0.1833604, 0.5140616, 1.0]], ['2, k, 4', [-0.3486212, 0.249896, 1.0]], ['2, k, 5', [-0.4356412, 0.01498287, 1.0]], ['2, k, 6', [-0.4519841, -0.1863513, 1.0]], ['2, k, 7', [-0.4520757, -0.2673191, 1.0]], ['2, k, 8', [0.008255485, 0.2665426, 1.0]], ['2, k, 9', [0.2265612, 0.1844833, 1.0]], ['2, k, 10', [0.4040564, 0.1118102, 1.0]], ['2, k, 11', [0.4941189, 0.08097385, 1.0]], ['2, k, 12', [-0.2360904, -0.1187164, 1.0]], ['2, k, 13', [-0.283347, -0.2101701, 1.0]], ['2, k, 14', [-0.2348779, -0.6272454, 1.0]], ['2, k, 15', [-0.2401965, -0.6959747, 1.0]], ['2, k, 16', [-0.07929475, -0.1158922, 1.0]], ['2, k, 17', [0.07047383, -0.2086461, 1.0]], ['2, k, 18', [0.01574059, -0.6256295, 1.0]], ['2, k, 19', [0.01430639, -0.6894706, 1.0]], ['2, k, 20', [-0.1740048, 0.3086556, 1.0]], ['2, k, 21', [-0.4444846, -0.3334446, 1.0]], ['2, k, 22', [-0.4633528, -0.3221902, 1.0]], ['2, k, 23', [0.5568295, 0.02460087, 1.0]], ['2, k, 24', [0.4660469, 0.07566576, 1.0]]]
[['2, k, 0', [-0.1591475, -0.1180329, 1.0]], ['2, k, 1', [-0.1691999, 0.127304, 1.0]], ['2, k, 2', [-0.1768952, 0.3674554, 1.0]], ['2, k, 3', [-0.1844721, 0.5133222, 1.0]], ['2, k, 4', [-0.3496344, 0.2491704, 1.0]], ['2, k, 5', [-0.4362129, 0.01410942, 1.0]], ['2, k, 6', [-0.4516336, -0.1858897, 1.0]], ['2, k, 7', [-0.4506897, -0.2675317, 1.0]], ['2, k, 8', [0.009383065, 0.2727793, 1.0]], ['2, k, 9', [0.2341036, 0.2139322, 1.0]], ['2, k, 10', [0.4362617, 0.1720383, 1.0]], ['2, k, 11', [0.5269134, 0.1558258, 1.0]], ['2, k, 12', [-0.2352666, -0.1179669, 1.0]], ['2, k, 13', [-0.2831971, -0.2101604, 1.0]], ['2, k, 14', [-0.2351738, -0.6262907, 1.0]], ['2, k, 15', [-0.2408121, -0.696125, 1.0]], ['2, k, 16', [-0.0789364, -0.1148489, 1.0]], ['2, k, 17', [0.07077556, -0.2086962, 1.0]], ['2, k, 18', [0.01591932, -0.6256047, 1.0]], ['2, k, 19', [0.01929358, -0.6896378, 1.0]], ['2, k, 20', [-0.1748334, 0.308425, 1.0]], ['2, k, 21', [-0.4439936, -0.3333362, 1.0]], ['2, k, 22', [-0.4624937, -0.3253042, 1.0]], ['2, k, 23', [0.5918617, 0.1063378, 1.0]], ['2, k, 24', [0.5262967, 0.1332193, 1.0]]]
[['2, k, 0', [-0.1556024, -0.1155936, 1.0]], ['2, k, 1', [-0.1675094, 0.1283353, 1.0]], ['2, k, 2', [-0.1763569, 0.3675735, 1.0]], ['2, k, 3', [-0.1848309, 0.5132723, 1.0]], ['2, k, 4', [-0.3501259, 0.2482045, 1.0]], ['2, k, 5', [-0.4386438, 0.01385537, 1.0]], ['2, k, 6', [-0.4500538, -0.1852779, 1.0]], ['2, k, 7', [-0.4490961, -0.2639247, 1.0]], ['2, k, 8', [0.0109986, 0.2752135, 1.0]], ['2, k, 9', [0.246708, 0.2562228, 1.0]], ['2, k, 10', [0.4924523, 0.2327107, 1.0]], ['2, k, 11', [0.5892073, 0.2277405, 1.0]], ['2, k, 12', [-0.2316481, -0.1162741, 1.0]], ['2, k, 13', [-0.2830196, -0.2103211, 1.0]], ['2, k, 14', [-0.2352155, -0.6257194, 1.0]], ['2, k, 15', [-0.2400009, -0.6958526, 1.0]], ['2, k, 16', [-0.07561254, -0.1117785, 1.0]], ['2, k, 17', [0.0715142, -0.2093075, 1.0]], ['2, k, 18', [0.01604438, -0.6255903, 1.0]], ['2, k, 19', [0.02231619, -0.6890342, 1.0]], ['2, k, 20', [-0.174131, 0.3087099, 1.0]], ['2, k, 21', [-0.4441527, -0.3347903, 1.0]], ['2, k, 22', [-0.4618996, -0.3193559, 1.0]], ['2, k, 23', [0.6446127, 0.2067363, 1.0]], ['2, k, 24', [0.6076417, 0.195311, 1.0]]]
