[['2, k, 0', [0.03689994, -0.5565274, 1.0]], ['2, k, 1', [0.05040245, -0.2086812, 1.0]], ['2, k, 2', [0.06659002, 0.1317228, 1.0]], ['2, k, 3', [0.03694735, 0.2602053, 1.0]], ['2, k, 4', [-0.09762368, 0.07443515, 1.0]], ['2, k, 5', [-0.127437, -0.101202, 1.0]], ['2, k, 6', [-0.006877687, -0.1635006, 1.0]], ['2, k, 7', [0.04535663, -0.1977239, 1.0]], ['2, k, 8', [0.2343939, 0.09244376, 1.0]], ['2, k, 9', [0.2758311, -0.0565336, 1.0]], ['2, k, 10', [0.1754708, -0.1383324, 1.0]], ['2, k, 11', [0.1315035, -0.1737155, 1.0]], ['2, k, 12', [-0.07240469, -0.5458193, 1.0]], ['2, k, 13', [-0.150636, -0.2762837, 1.0]], ['2, k, 14', [-0.1194442, -0.6245633, 1.0]], ['2, k, 15', [-0.1183708, -0.6710213, 1.0]], ['2, k, 16', [0.1448232, -0.5468924, 1.0]], ['2, k, 17', [0.21037, -0.267552, 1.0]], ['2, k, 18', [0.1054128, -0.6138802, 1.0]], ['2, k, 19', [0.09413502, -0.6789073, 1.0]], ['2, k, 20', [0.06209975, 0.04751132, 1.0]], ['2, k, 21', [0.03347363, -0.2280863, 1.0]], ['2, k, 22', [0.09830151, -0.175982, 1.0]], ['2, k, 23', [0.07050096, -0.1992231, 1.0]], ['2, k, 24', [0.09308454, -0.1565212, 1.0]]]
[['2, k, 0', [0.03757141, -0.5561277, 1.0]], ['2, k, 1', [0.0510689, -0.208714, 1.0]], ['2, k, 2', [0.06599268, 0.130112, 1.0]], ['2, k, 3', [0.03605407, 0.259397, 1.0]], ['2, k, 4', [-0.0976914, 0.07396649, 1.0]], ['2, k, 5', [-0.126246, -0.09969109, 1.0]], ['2, k, 6', [-0.01489855, -0.1592607, 1.0]], ['2, k, 7', [0.04127529, -0.1980129, 1.0]], ['2, k, 8', [0.2335242, 0.0928259, 1.0]], ['2, k, 9', [0.2736221, -0.05932537, 1.0]], ['2, k, 10', [0.1668321, -0.134174, 1.0]], ['2, k, 11', [0.1117484, -0.1899822, 1.0]], ['2, k, 12', [-0.07171802, -0.545725, 1.0]], ['2, k, 13', [-0.1507326, -0.2763681, 1.0]], ['2, k, 14', [-0.1192706, -0.6244375, 1.0]], ['2, k, 15', [-0.1204254, -0.6751446, 1.0]], ['2, k, 16', [0.1455734, -0.5459995, 1.0]], ['2, k, 17', [0.2111992, -0.2673772, 1.0]], ['2, k, 18', [0.1081181, -0.6132734, 1.0]], ['2, k, 19', [0.09669667, -0.6782859, 1.0]], ['2, k, 20', [0.06192362, 0.04638121, 1.0]], ['2, k, 21', [0.03024333, -0.2286813, 1.0]], ['2, k, 22', [0.09109592, -0.1773063, 1.0]], ['2, k, 23', [0.04747141, -0.2021964, 1.0]], ['2, k, 24', [0.1143367, -0.1514722, 1.0]]]
[['2, k, 0', [0.03779047, -0.5561031, 1.0]], ['2, k, 1', [0.05163935, -0.2089664, 1.0]], ['2, k, 2', [0.06601288, 0.1288229, 1.0]], ['2, k, 3', [0.03519051, 0.2582823, 1.0]], ['2, k, 4', [-0.09742611, 0.07396118, 1.0]], ['2, k, 5', [-0.1474067, -0.1189911, 1.0]], ['2, k, 6', [-0.04087674, -0.1665846, 1.0]], ['2, k, 7', [-0.03518641, -0.1915189, 1.0]], ['2, k, 8', [0.2328943, 0.09340187, 1.0]], ['2, k, 9', [0.2591711, -0.05778188, 1.0]], ['2, k, 10', [0.1588754, -0.1399001, 1.0]], ['2, k, 11', [0.1229524, -0.1725081, 1.0]], ['2, k, 12', [-0.07113938, -0.5461939, 1.0]], ['2, k, 13', [-0.1505665, -0.2772545, 1.0]], ['2, k, 14', [-0.1190302, -0.6247122, 1.0]], ['2, k, 15', [-0.1105292, -0.7032844, 1.0]], ['2, k, 16', [0.1461115, -0.5453657, 1.0]], ['2, k, 17', [0.2117709, -0.2653544, 1.0]], ['2, k, 18', [0.1082534, -0.6133941, 1.0]], ['2, k, 19', [0.1428992, -0.7091325, 1.0]], ['2, k, 20', [0.06220258, 0.04539814, 1.0]], ['2, k, 21', [0.04278414, -0.1811596, 1.0]], ['2, k, 22', [-0.02793488, -0.1315396, 1.0]], ['2, k, 23', [0.05981687, -0.1878712, 1.0]], ['2, k, 24', [0.1085178, -0.2210606, 1.0]]]
[['2, k, 0', [0.03947665, -0.5740922, 1.0]], ['2, k, 1', [0.05128951, -0.2144434, 1.0]], ['2, k, 2', [0.06485242, 0.1267326, 1.0]], ['2, k, 3', [0.03399919, 0.2568665, 1.0]], ['2, k, 4', [-0.09705883, 0.0740169, 1.0]], ['2, k, 5', [-0.1472363, -0.1189485, 1.0]], ['2, k, 6', [-0.0406385, -0.1662885, 1.0]], ['2, k, 7', [-0.04193117, -0.1900047, 1.0]], ['2, k, 8', [0.2322599, 0.09416494, 1.0]], ['2, k, 9', [0.2539348, -0.05850469, 1.0]], ['2, k, 10', [0.1541533, -0.1391236, 1.0]], ['2, k, 11', [0.1227777, -0.1679365, 1.0]], ['2, k, 12', [-0.07398515, -0.5660791, 1.0]], ['2, k, 13', [-0.1483334, -0.2854392, 1.0]], ['2, k, 14', [-0.1189543, -0.6247104, 1.0]], ['2, k, 15', [-0.1263304, -0.7029192, 1.0]], ['2, k, 16', [0.1515833, -0.5618425, 1.0]], ['2, k, 17', [0.2085833, -0.2783902, 1.0]], ['2, k, 18', [0.1090204, -0.613965, 1.0]], ['2, k, 19', [0.1176147, -0.6918945, 1.0]], ['2, k, 20', [0.06159095, 0.04373175, 1.0]], ['2, k, 21', [0.04131135, -0.1710533, 1.0]], ['2, k, 22', [-0.02981698, -0.1247695, 1.0]], ['2, k, 23', [0.06048223, -0.1836474, 1.0]], ['2, k, 24', [0.1809952, -0.1816932, 1.0]]]
[['2, k, 0', [0.03929594, -0.5741075, 1.0]], ['2, k, 1', [0.05055946, -0.2159046, 1.0]], ['2, k, 2', [0.06292081, 0.1248711, 1.0]], ['2, k, 3', [0.03280874, 0.2548344, 1.0]], ['2, k, 4', [-0.09649349, 0.0736194, 1.0]], ['2, k, 5', [-0.1460255, -0.119614, 1.0]], ['2, k, 6', [-0.04692861, -0.1033109, 1.0]], ['2, k, 7', [-0.04854662, -0.1443403, 1.0]], ['2, k, 8', [0.2311973, 0.09475602, 1.0]], ['2, k, 9', [0.2502387, -0.05988736, 1.0]], ['2, k, 10', [0.1493466, -0.137007, 1.0]], ['2, k, 11', [0.1214938, -0.1660018, 1.0]], ['2, k, 12', [-0.0743904, -0.5658758, 1.0]], ['2, k, 13', [-0.1483413, -0.2854502, 1.0]], ['2, k, 14', [-0.1189138, -0.6248173, 1.0]], ['2, k, 15', [-0.1152299, -0.6786028, 1.0]], ['2, k, 16', [0.1512045, -0.5620993, 1.0]], ['2, k, 17', [0.2087643, -0.2780808, 1.0]], ['2, k, 18', [0.1093584, -0.6134684, 1.0]], ['2, k, 19', [0.09787648, -0.6691087, 1.0]], ['2, k, 20', [0.06028564, 0.04204516, 1.0]], ['2, k, 21', [-0.02466977, -0.1555063, 1.0]], ['2, k, 22', [-0.01686495, -0.1282421, 1.0]], ['2, k, 23', [0.06378222, -0.1841305, 1.0]], ['2, k, 24', [0.1437589, -0.133814, 1.0]]]
[['2, k, 0', [0.04074594, -0.5582095, 1.0]], ['2, k, 1', [0.05068731, -0.2142402, 1.0]], ['2, k, 2', [0.06240983, 0.1243054, 1.0]], ['2, k, 3', [0.0325304, 0.253308, 1.0]], ['2, k, 4', [-0.095972, 0.07292224, 1.0]], ['2, k, 5', [-0.1459958, -0.1202401, 1.0]], ['2, k, 6', [-0.04603176, -0.1037945, 1.0]], ['2, k, 7', [-0.0490159, -0.1431992, 1.0]], ['2, k, 8', [0.2302171, 0.09543656, 1.0]], ['2, k, 9', [0.2720391, -0.03993544, 1.0]], ['2, k, 10', [0.1621961, -0.1277255, 1.0]], ['2, k, 11', [0.1201538, -0.1665185, 1.0]], ['2, k, 12', [-0.06865215, -0.5484377, 1.0]], ['2, k, 13', [-0.1518183, -0.2772253, 1.0]], ['2, k, 14', [-0.1188822, -0.624814, 1.0]], ['2, k, 15', [-0.1258997, -0.6889012, 1.0]], ['2, k, 16', [0.1486512, -0.5476732, 1.0]], ['2, k, 17', [0.2116619, -0.2653447, 1.0]], ['2, k, 18', [0.1092032, -0.6118781, 1.0]], ['2, k, 19', [0.09749335, -0.6762705, 1.0]], ['2, k, 20', [0.05967014, 0.04141166, 1.0]], ['2, k, 21', [-0.02224396, -0.148891, 1.0]], ['2, k, 22', [-0.08134923, -0.1637218, 1.0]], ['2, k, 23', [0.06442838, -0.1849203, 1.0]], ['2, k, 24', [0.1258542, -0.1272365, 1.0]]]
[['2, k, 0', [0.03859254, -0.5768929, 1.0]], ['2, k, 1', [0.05097077, -0.2173789, 1.0]], ['2, k, 2', [0.06264202, 0.1235677, 1.0]], ['2, k, 3', [0.03102352, 0.252196, 1.0]], ['2, k, 4', [-0.09560771, 0.07282641, 1.0]], ['2, k, 5', [-0.1452829, -0.1204639, 1.0]], ['2, k, 6', [-0.04521339, -0.1037552, 1.0]], ['2, k, 7', [-0.04776923, -0.1412703, 1.0]], ['2, k, 8', [0.229718, 0.09560916, 1.0]], ['2, k, 9', [0.207434, -0.03069671, 1.0]], ['2, k, 10', [0.1704541, -0.1417185, 1.0]], ['2, k, 11', [0.1534783, -0.1174191, 1.0]], ['2, k, 12', [-0.07461099, -0.5676435, 1.0]], ['2, k, 13', [-0.148776, -0.2873636, 1.0]], ['2, k, 14', [-0.1187965, -0.6248633, 1.0]], ['2, k, 15', [-0.1256051, -0.6796454, 1.0]], ['2, k, 16', [0.1504468, -0.5657969, 1.0]], ['2, k, 17', [0.2087776, -0.2772258, 1.0]], ['2, k, 18', [0.1087139, -0.6110446, 1.0]], ['2, k, 19', [0.09722302, -0.6661421, 1.0]], ['2, k, 20', [0.059798, 0.04071942, 1.0]], ['2, k, 21', [-0.02402128, -0.1504095, 1.0]], ['2, k, 22', [-0.08140773, -0.1637786, 1.0]], ['2, k, 23', [0.1084096, -0.1555967, 1.0]], ['2, k, 24', [0.1709823, -0.06917788, 1.0]]]
[['2, k, 0', [0.03878037, -0.5769439, 1.0]], ['2, k, 1', [0.05107399, -0.218741, 1.0]], ['2, k, 2', [0.06237618, 0.1224821, 1.0]], ['2, k, 3', [0.0304338, 0.2503875, 1.0]], ['2, k, 4', [-0.0953953, 0.07195269, 1.0]], ['2, k, 5', [-0.1426723, -0.1219953, 1.0]], ['2, k, 6', [-0.04291364, -0.1048834, 1.0]], ['2, k, 7', [-0.04733365, -0.1397845, 1.0]], ['2, k, 8', [0.2294866, 0.09582528, 1.0]], ['2, k, 9', [0.2756356, -0.01826832, 1.0]], ['2, k, 10', [0.1405279, -0.1094976, 1.0]], ['2, k, 11', [0.1358968, -0.1276898, 1.0]], ['2, k, 12', [-0.07445461, -0.5677253, 1.0]], ['2, k, 13', [-0.1488793, -0.2878695, 1.0]], ['2, k, 14', [-0.1187855, -0.6248867, 1.0]], ['2, k, 15', [-0.1193632, -0.7158062, 1.0]], ['2, k, 16', [0.1506571, -0.5658292, 1.0]], ['2, k, 17', [0.2088889, -0.2794642, 1.0]], ['2, k, 18', [0.1073443, -0.6126504, 1.0]], ['2, k, 19', [0.1355596, -0.7178352, 1.0]], ['2, k, 20', [0.05966462, 0.03961001, 1.0]], ['2, k, 21', [-0.02063735, -0.1424244, 1.0]], ['2, k, 22', [-0.08039323, -0.1646789, 1.0]], ['2, k, 23', [0.08938438, -0.1600129, 1.0]], ['2, k, 24', [0.1579021, -0.07682142, 1.0]]]
[['2, k, 0', [0.03816762, -0.5789914, 1.0]], ['2, k, 1', [0.05001968, -0.2221425, 1.0]], ['2, k, 2', [0.06126576, 0.1204217, 1.0]], ['2, k, 3', [0.03004598, 0.2493398, 1.0]], ['2, k, 4', [-0.09531404, 0.07150421, 1.0]], ['2, k, 5', [-0.1408504, -0.1228052, 1.0]], ['2, k, 6', [-0.0413045, -0.1066368, 1.0]], ['2, k, 7', [-0.04516378, -0.1395725, 1.0]], ['2, k, 8', [0.2289344, 0.09609102, 1.0]], ['2, k, 9', [0.2220914, -0.03569991, 1.0]], ['2, k, 10', [0.09722047, -0.1452122, 1.0]], ['2, k, 11', [0.07880245, -0.1978455, 1.0]], ['2, k, 12', [-0.07556902, -0.5689083, 1.0]], ['2, k, 13', [-0.1489436, -0.2883012, 1.0]], ['2, k, 14', [-0.1187358, -0.6244643, 1.0]], ['2, k, 15', [-0.1197325, -0.7129744, 1.0]], ['2, k, 16', [0.1509696, -0.5690373, 1.0]], ['2, k, 17', [0.208909, -0.2785496, 1.0]], ['2, k, 18', [0.107291, -0.6127583, 1.0]], ['2, k, 19', [0.1473191, -0.7184978, 1.0]], ['2, k, 20', [0.05884376, 0.03762596, 1.0]], ['2, k, 21', [-0.01163761, -0.1480897, 1.0]], ['2, k, 22', [-0.07761251, -0.1666342, 1.0]], ['2, k, 23', [0.02252984, -0.2246526, 1.0]], ['2, k, 24', [0.06306539, -0.1495654, 1.0]]]
[['2, k, 0', [0.03727824, -0.5804666, 1.0]], ['2, k, 1', [0.04913678, -0.223807, 1.0]], ['2, k, 2', [0.06027559, 0.1193086, 1.0]], ['2, k, 3', [0.02992831, 0.2482338, 1.0]], ['2, k, 4', [-0.09509455, 0.07151046, 1.0]], ['2, k, 5', [-0.1407292, -0.1228259, 1.0]], ['2, k, 6', [-0.04126847, -0.1065744, 1.0]], ['2, k, 7', [-0.04349095, -0.1355011, 1.0]], ['2, k, 8', [0.2279247, 0.09691036, 1.0]], ['2, k, 9', [0.2215724, -0.04074069, 1.0]], ['2, k, 10', [0.09835143, -0.1452145, 1.0]], ['2, k, 11', [0.02657131, -0.2017345, 1.0]], ['2, k, 12', [-0.07747321, -0.5710288, 1.0]], ['2, k, 13', [-0.1490775, -0.2887516, 1.0]], ['2, k, 14', [-0.118809, -0.6246422, 1.0]], ['2, k, 15', [-0.1217946, -0.7127272, 1.0]], ['2, k, 16', [0.1507119, -0.5698286, 1.0]], ['2, k, 17', [0.1965492, -0.3167502, 1.0]], ['2, k, 18', [0.1076154, -0.611297, 1.0]], ['2, k, 19', [0.09633552, -0.6642762, 1.0]], ['2, k, 20', [0.0580353, 0.03636784, 1.0]], ['2, k, 21', [-0.006796753, -0.1465678, 1.0]], ['2, k, 22', [-0.04261583, -0.1668335, 1.0]], ['2, k, 23', [0.01368194, -0.2520195, 1.0]], ['2, k, 24', [0.01661819, -0.1574126, 1.0]]]
[['2, k, 0', [0.03744022, -0.5813715, 1.0]], ['2, k, 1', [0.04882986, -0.2246869, 1.0]], ['2, k, 2', [0.05937304, 0.1186336, 1.0]], ['2, k, 3', [0.02960826, 0.2476994, 1.0]], ['2, k, 4', [-0.0947146, 0.07137256, 1.0]], ['2, k, 5', [-0.13841, -0.1233956, 1.0]], ['2, k, 6', [-0.03910529, -0.1063907, 1.0]], ['2, k, 7', [-0.0415864, -0.1324621, 1.0]], ['2, k, 8', [0.2268966, 0.09760141, 1.0]], ['2, k, 9', [0.2220329, -0.03978081, 1.0]], ['2, k, 10', [0.09871153, -0.145313, 1.0]], ['2, k, 11', [0.02729453, -0.1962323, 1.0]], ['2, k, 12', [-0.07735028, -0.5721964, 1.0]], ['2, k, 13', [-0.1493232, -0.2896225, 1.0]], ['2, k, 14', [-0.1189064, -0.624819, 1.0]], ['2, k, 15', [-0.1245244, -0.711195, 1.0]], ['2, k, 16', [0.1508766, -0.5703564, 1.0]], ['2, k, 17', [0.2083813, -0.2752083, 1.0]], ['2, k, 18', [0.1076854, -0.6116592, 1.0]], ['2, k, 19', [0.09647309, -0.6641449, 1.0]], ['2, k, 20', [0.05733367, 0.03547156, 1.0]], ['2, k, 21', [-0.009122092, -0.1435509, 1.0]], ['2, k, 22', [-0.07922874, -0.1688588, 1.0]], ['2, k, 23', [0.0162281, -0.2407049, 1.0]], ['2, k, 24', [0.01837468, -0.1483926, 1.0]]]
[['2, k, 0', [0.03775571, -0.5816685, 1.0]], ['2, k, 1', [0.049078, -0.2255948, 1.0]], ['2, k, 2', [0.05938628, 0.1179118, 1.0]], ['2, k, 3', [0.02911801, 0.2472408, 1.0]], ['2, k, 4', [-0.09295312, 0.06856713, 1.0]], ['2, k, 5', [-0.1372996, -0.1261957, 1.0]], ['2, k, 6', [-0.03731451, -0.1056416, 1.0]], ['2, k, 7', [-0.03739641, -0.1253982, 1.0]], ['2, k, 8', [0.2265152, 0.0974668, 1.0]], ['2, k, 9', [0.2335096, -0.01636251, 1.0]], ['2, k, 10', [0.09794967, -0.1324852, 1.0]], ['2, k, 11', [0.0273256, -0.1890461, 1.0]], ['2, k, 12', [-0.07709097, -0.57246, 1.0]], ['2, k, 13', [-0.1493213, -0.2899685, 1.0]], ['2, k, 14', [-0.1191778, -0.6248568, 1.0]], ['2, k, 15', [-0.1220014, -0.7082026, 1.0]], ['2, k, 16', [0.1517564, -0.5711191, 1.0]], ['2, k, 17', [0.2084137, -0.275149, 1.0]], ['2, k, 18', [0.1018367, -0.6156982, 1.0]], ['2, k, 19', [0.1163586, -0.7285956, 1.0]], ['2, k, 20', [0.05732986, 0.03445556, 1.0]], ['2, k, 21', [-0.009911481, -0.1381719, 1.0]], ['2, k, 22', [-0.05885303, -0.1697487, 1.0]], ['2, k, 23', [0.01374029, -0.2497089, 1.0]], ['2, k, 24', [0.02371852, -0.1515692, 1.0]]]
