Exercise,Video,Repetition,Start,End,Incomplete
Exercise_0,V1,1,0:00:00.94,0:00:05.22,0
Exercise_0,V1,2,0:00:05.22,0:00:10.58,0
Exercise_0,V1,3,0:00:10.58,0:00:15.90,0
Exercise_0,V1,4,0:00:15.90,0:00:20.70,0
Exercise_0,V1,5,0:00:20.70,0:00:25.58,0
Exercise_0,V1,6,0:00:25.58,0:00:29.86,0
Exercise_0,V2,1,0:00:01.70,0:00:05.42,0
Exercise_0,V2,2,0:00:05.90,0:00:09.78,0
Exercise_0,V2,3,0:00:09.78,0:00:13.62,0
Exercise_0,V2,4,0:00:13.62,0:00:17.18,0
Exercise_0,V2,5,0:00:17.18,0:00:20.02,1
Exercise_0,V3,1,0:00:04.42,0:00:08.10,0
Exercise_0,V3,2,0:00:08.42,0:00:11.06,0
Exercise_0,V3,3,0:00:11.30,0:00:14.54,0
Exercise_0,V3,4,0:00:14.70,0:00:17.46,0
Exercise_0,V3,5,0:00:17.86,0:00:20.70,0
Exercise_0,V3,6,0:00:21.78,0:00:24.22,0
Exercise_0,V4,1,0:00:00.00,0:00:04.26,0
Exercise_0,V4,2,0:00:04.90,0:00:08.58,0
Exercise_0,V4,3,0:00:08.58,0:00:12.10,0
Exercise_0,V4,4,0:00:12.10,0:00:15.82,0
Exercise_0,V4,5,0:00:15.82,0:00:20.22,0
Exercise_0,V4,6,0:00:20.22,0:00:24.34,0
Exercise_0,V5,1,0:00:03.30,0:00:07.78,0
Exercise_0,V5,2,0:00:07.78,0:00:11.94,0
Exercise_0,V5,3,0:00:11.94,0:00:16.06,0
Exercise_0,V5,4,0:00:16.06,0:00:20.14,0
Exercise_0,V5,5,0:00:20.14,0:00:23.94,0
Exercise_0,V6,1,0:00:05.22,0:00:09.42,0
Exercise_0,V6,2,0:00:09.42,0:00:15.42,0
Exercise_0,V6,3,0:00:15.42,0:00:20.10,0
Exercise_0,V6,4,0:00:20.10,0:00:24.38,0
Exercise_0,V6,5,0:00:24.38,0:00:29.34,0
Exercise_0,V6,6,0:00:29.34,0:00:34.70,0
Exercise_0,V7,1,0:00:02.42,0:00:05.14,0
Exercise_0,V7,2,0:00:05.14,0:00:07.90,0
Exercise_0,V7,3,0:00:07.90,0:00:10.50,0
Exercise_0,V7,4,0:00:10.50,0:00:12.90,0
Exercise_0,V7,5,0:00:12.90,0:00:15.06,1
Exercise_0,V8,1,0:00:04.18,0:00:06.62,0
Exercise_0,V8,2,0:00:06.62,0:00:09.70,0
Exercise_0,V8,3,0:00:09.70,0:00:12.58,0
Exercise_0,V8,4,0:00:12.58,0:00:15.46,0
Exercise_0,V8,5,0:00:15.46,0:00:18.34,0
Exercise_0,V9,1,0:00:02.10,0:00:06.54,0
Exercise_0,V9,2,0:00:06.54,0:00:09.50,0
Exercise_0,V9,3,0:00:09.50,0:00:12.70,0
Exercise_0,V9,4,0:00:12.70,0:00:15.90,0
Exercise_0,V9,5,0:00:15.90,0:00:18.66,1
Exercise_0,V10,1,0:00:01.02,0:00:06.54,0
Exercise_0,V10,2,0:00:06.54,0:00:10.50,0
Exercise_0,V10,3,0:00:10.50,0:00:14.74,0
Exercise_0,V10,4,0:00:14.74,0:00:18.10,0
Exercise_0,V10,5,0:00:18.10,0:00:21.14,0
Exercise_0,V11,1,0:00:01.46,0:00:06.62,0
Exercise_0,V11,2,0:00:06.62,0:00:11.94,0
Exercise_0,V11,3,0:00:11.94,0:00:16.74,0
