[['2, k, 0', [0.1786002, -0.003959851, 1.0]], ['2, k, 1', [0.1883835, 0.3053679, 1.0]], ['2, k, 2', [0.1977158, 0.6040104, 1.0]], ['2, k, 3', [0.208048, 0.7446001, 1.0]], ['2, k, 4', [0.01594483, 0.4989113, 1.0]], ['2, k, 5', [-0.03344714, 0.2402761, 1.0]], ['2, k, 6', [-0.04281221, 0.01100751, 1.0]], ['2, k, 7', [-0.02194214, -0.04284829, 1.0]], ['2, k, 8', [0.3736969, 0.4849156, 1.0]], ['2, k, 9', [0.38717, 0.2244914, 1.0]], ['2, k, 10', [0.3867346, -0.008337235, 1.0]], ['2, k, 11', [0.3712932, -0.08692362, 1.0]], ['2, k, 12', [0.09636349, -0.0009834095, 1.0]], ['2, k, 13', [0.07618845, -0.3264109, 1.0]], ['2, k, 14', [0.1030239, -0.6398204, 1.0]], ['2, k, 15', [0.06040762, -0.7175391, 1.0]], ['2, k, 16', [0.2556226, -0.006832028, 1.0]], ['2, k, 17', [0.2460845, -0.3459694, 1.0]], ['2, k, 18', [0.227444, -0.6556442, 1.0]], ['2, k, 19', [0.2081582, -0.7303479, 1.0]], ['2, k, 20', [0.1955569, 0.5308628, 1.0]], ['2, k, 21', [-0.0217257, -0.1194355, 1.0]], ['2, k, 22', [-0.05008615, -0.07489613, 1.0]], ['2, k, 23', [0.3629202, -0.1637452, 1.0]], ['2, k, 24', [0.404184, -0.1010247, 1.0]]]
[['2, k, 0', [0.1819976, -0.003517122, 1.0]], ['2, k, 1', [0.1938765, 0.3055351, 1.0]], ['2, k, 2', [0.205112, 0.603825, 1.0]], ['2, k, 3', [0.2146461, 0.7448195, 1.0]], ['2, k, 4', [0.02196762, 0.4997195, 1.0]], ['2, k, 5', [-0.02862675, 0.2395792, 1.0]], ['2, k, 6', [-0.03962123, 0.01102932, 1.0]], ['2, k, 7', [-0.01993592, -0.04228569, 1.0]], ['2, k, 8', [0.3781353, 0.486145, 1.0]], ['2, k, 9', [0.3921948, 0.2251879, 1.0]], ['2, k, 10', [0.3901224, -0.008491844, 1.0]], ['2, k, 11', [0.3764619, -0.0882064, 1.0]], ['2, k, 12', [0.09962735, -8.163685e-06, 1.0]], ['2, k, 13', [0.07694332, -0.3243468, 1.0]], ['2, k, 14', [0.1026586, -0.6398476, 1.0]], ['2, k, 15', [0.0605065, -0.7168124, 1.0]], ['2, k, 16', [0.2589857, -0.006925511, 1.0]], ['2, k, 17', [0.2473786, -0.3452293, 1.0]], ['2, k, 18', [0.2280924, -0.6547825, 1.0]], ['2, k, 19', [0.2018393, -0.7287896, 1.0]], ['2, k, 20', [0.2025036, 0.5307701, 1.0]], ['2, k, 21', [-0.02371309, -0.1201721, 1.0]], ['2, k, 22', [-0.05284997, -0.07544047, 1.0]], ['2, k, 23', [0.3730287, -0.1652158, 1.0]], ['2, k, 24', [0.4119785, -0.1047207, 1.0]]]
[['2, k, 0', [0.1851781, -0.003568724, 1.0]], ['2, k, 1', [0.1978233, 0.3054919, 1.0]], ['2, k, 2', [0.2097064, 0.6038876, 1.0]], ['2, k, 3', [0.2223849, 0.7439812, 1.0]], ['2, k, 4', [0.02780017, 0.500061, 1.0]], ['2, k, 5', [-0.02283304, 0.2417773, 1.0]], ['2, k, 6', [-0.03807633, 0.01101067, 1.0]], ['2, k, 7', [-0.01813771, -0.04375835, 1.0]], ['2, k, 8', [0.3842424, 0.485401, 1.0]], ['2, k, 9', [0.3981772, 0.2239733, 1.0]], ['2, k, 10', [0.3943769, -0.009455222, 1.0]], ['2, k, 11', [0.380129, -0.08920807, 1.0]], ['2, k, 12', [0.1024909, 0.0004534316, 1.0]], ['2, k, 13', [0.07731107, -0.3244479, 1.0]], ['2, k, 14', [0.1011939, -0.6401443, 1.0]], ['2, k, 15', [0.06104913, -0.7179279, 1.0]], ['2, k, 16', [0.2623848, -0.007551337, 1.0]], ['2, k, 17', [0.2474143, -0.3452114, 1.0]], ['2, k, 18', [0.2286042, -0.6542051, 1.0]], ['2, k, 19', [0.2031482, -0.7303505, 1.0]], ['2, k, 20', [0.2069481, 0.5307987, 1.0]], ['2, k, 21', [-0.01986639, -0.1253404, 1.0]], ['2, k, 22', [-0.05448243, -0.02494815, 1.0]], ['2, k, 23', [0.3679639, -0.1707363, 1.0]], ['2, k, 24', [0.4132936, -0.08850738, 1.0]]]
[['2, k, 0', [0.1881316, -0.003479675, 1.0]], ['2, k, 1', [0.2018479, 0.3056732, 1.0]], ['2, k, 2', [0.2148619, 0.6042606, 1.0]], ['2, k, 3', [0.2293918, 0.7438735, 1.0]], ['2, k, 4', [0.03471917, 0.5005878, 1.0]], ['2, k, 5', [-0.02069065, 0.2420588, 1.0]], ['2, k, 6', [-0.03730055, 0.01072221, 1.0]], ['2, k, 7', [-0.01881306, -0.04435502, 1.0]], ['2, k, 8', [0.3889344, 0.4840009, 1.0]], ['2, k, 9', [0.4042625, 0.2221559, 1.0]], ['2, k, 10', [0.3985894, -0.01056798, 1.0]], ['2, k, 11', [0.3861477, -0.08764207, 1.0]], ['2, k, 12', [0.1055296, 0.001204817, 1.0]], ['2, k, 13', [0.07793967, -0.3345401, 1.0]], ['2, k, 14', [0.09737767, -0.6427146, 1.0]], ['2, k, 15', [0.03103638, -0.7167969, 1.0]], ['2, k, 16', [0.2651797, -0.008061284, 1.0]], ['2, k, 17', [0.247573, -0.3455526, 1.0]], ['2, k, 18', [0.2285885, -0.6543685, 1.0]], ['2, k, 19', [0.203425, -0.7303489, 1.0]], ['2, k, 20', [0.2118207, 0.5311162, 1.0]], ['2, k, 21', [-0.01962228, -0.1247666, 1.0]], ['2, k, 22', [-0.0505337, -0.08654625, 1.0]], ['2, k, 23', [0.381623, -0.165505, 1.0]], ['2, k, 24', [0.4221509, -0.1042884, 1.0]]]
[['2, k, 0', [0.1895548, -0.00367855, 1.0]], ['2, k, 1', [0.2054489, 0.3054061, 1.0]], ['2, k, 2', [0.2211258, 0.6040055, 1.0]], ['2, k, 3', [0.2341316, 0.7446532, 1.0]], ['2, k, 4', [0.04102121, 0.5010799, 1.0]], ['2, k, 5', [-0.01812481, 0.2424511, 1.0]], ['2, k, 6', [-0.0363215, 0.01089087, 1.0]], ['2, k, 7', [-0.01982216, -0.04413824, 1.0]], ['2, k, 8', [0.3938595, 0.4823665, 1.0]], ['2, k, 9', [0.4087849, 0.2191677, 1.0]], ['2, k, 10', [0.4046048, -0.0119195, 1.0]], ['2, k, 11', [0.3921495, -0.09097763, 1.0]], ['2, k, 12', [0.1069177, 0.00151762, 1.0]], ['2, k, 13', [0.07646958, -0.3358518, 1.0]], ['2, k, 14', [0.09226988, -0.6449611, 1.0]], ['2, k, 15', [0.04589624, -0.7179841, 1.0]], ['2, k, 16', [0.2667173, -0.008810037, 1.0]], ['2, k, 17', [0.2481079, -0.345218, 1.0]], ['2, k, 18', [0.2293878, -0.652316, 1.0]], ['2, k, 19', [0.2069416, -0.7282696, 1.0]], ['2, k, 20', [0.2173904, 0.5308515, 1.0]], ['2, k, 21', [-0.02065663, -0.1256327, 1.0]], ['2, k, 22', [-0.05717525, -0.03862781, 1.0]], ['2, k, 23', [0.3820232, -0.1665223, 1.0]], ['2, k, 24', [0.4288253, -0.09733076, 1.0]]]
[['2, k, 0', [0.1898913, -0.003649829, 1.0]], ['2, k, 1', [0.2077493, 0.3052818, 1.0]], ['2, k, 2', [0.2260786, 0.6035436, 1.0]], ['2, k, 3', [0.2398205, 0.7441615, 1.0]], ['2, k, 4', [0.04605428, 0.5018384, 1.0]], ['2, k, 5', [-0.01461952, 0.2429901, 1.0]], ['2, k, 6', [-0.03566991, 0.01043089, 1.0]], ['2, k, 7', [-0.02073781, -0.04322261, 1.0]], ['2, k, 8', [0.3987389, 0.4811261, 1.0]], ['2, k, 9', [0.4129771, 0.2192539, 1.0]], ['2, k, 10', [0.4091777, -0.01368905, 1.0]], ['2, k, 11', [0.3984253, -0.08989323, 1.0]], ['2, k, 12', [0.1074813, 0.002013113, 1.0]], ['2, k, 13', [0.07014668, -0.3434011, 1.0]], ['2, k, 14', [0.06914399, -0.6555644, 1.0]], ['2, k, 15', [0.03444697, -0.7307592, 1.0]], ['2, k, 16', [0.2670049, -0.009115831, 1.0]], ['2, k, 17', [0.2483025, -0.3449469, 1.0]], ['2, k, 18', [0.2291835, -0.6511655, 1.0]], ['2, k, 19', [0.2106044, -0.7280617, 1.0]], ['2, k, 20', [0.2216511, 0.5304884, 1.0]], ['2, k, 21', [-0.01810605, -0.1249555, 1.0]], ['2, k, 22', [-0.05665535, -0.03855576, 1.0]], ['2, k, 23', [0.3969395, -0.1662544, 1.0]], ['2, k, 24', [0.4368874, -0.08671305, 1.0]]]
[['2, k, 0', [0.1901153, -0.003731328, 1.0]], ['2, k, 1', [0.2103102, 0.3051941, 1.0]], ['2, k, 2', [0.2319311, 0.6037129, 1.0]], ['2, k, 3', [0.2453883, 0.7444941, 1.0]], ['2, k, 4', [0.04919897, 0.5025005, 1.0]], ['2, k, 5', [-0.01286914, 0.2437349, 1.0]], ['2, k, 6', [-0.03609451, 0.01091057, 1.0]], ['2, k, 7', [-0.02128024, -0.04444341, 1.0]], ['2, k, 8', [0.4016322, 0.4807273, 1.0]], ['2, k, 9', [0.4173273, 0.2183149, 1.0]], ['2, k, 10', [0.4132001, -0.0158025, 1.0]], ['2, k, 11', [0.4039152, -0.09139205, 1.0]], ['2, k, 12', [0.1077172, 0.002174638, 1.0]], ['2, k, 13', [0.06137673, -0.3490252, 1.0]], ['2, k, 14', [0.05305804, -0.6543224, 1.0]], ['2, k, 15', [-0.02171326, -0.7148438, 1.0]], ['2, k, 16', [0.2672533, -0.009568941, 1.0]], ['2, k, 17', [0.2484384, -0.3447788, 1.0]], ['2, k, 18', [0.2291596, -0.6507706, 1.0]], ['2, k, 19', [0.2118942, -0.7280734, 1.0]], ['2, k, 20', [0.2266443, 0.5305724, 1.0]], ['2, k, 21', [-0.02323758, -0.1234098, 1.0]], ['2, k, 22', [-0.05573502, -0.04184896, 1.0]], ['2, k, 23', [0.3982617, -0.1703303, 1.0]], ['2, k, 24', [0.4396197, -0.09277299, 1.0]]]
[['2, k, 0', [0.1903618, -0.003962671, 1.0]], ['2, k, 1', [0.2117695, 0.3049529, 1.0]], ['2, k, 2', [0.2341622, 0.6036786, 1.0]], ['2, k, 3', [0.2496439, 0.7447657, 1.0]], ['2, k, 4', [0.05286561, 0.5030341, 1.0]], ['2, k, 5', [-0.01116238, 0.2443425, 1.0]], ['2, k, 6', [-0.03703969, 0.01187716, 1.0]], ['2, k, 7', [-0.02216642, -0.04133144, 1.0]], ['2, k, 8', [0.4051762, 0.4792345, 1.0]], ['2, k, 9', [0.4216309, 0.2161016, 1.0]], ['2, k, 10', [0.4170264, -0.01654194, 1.0]], ['2, k, 11', [0.4078134, -0.09176996, 1.0]], ['2, k, 12', [0.1079038, 0.002187359, 1.0]], ['2, k, 13', [0.05324016, -0.349842, 1.0]], ['2, k, 14', [0.006916218, -0.6505727, 1.0]], ['2, k, 15', [-0.03998598, -0.7186605, 1.0]], ['2, k, 16', [0.2675239, -0.01034938, 1.0]], ['2, k, 17', [0.2491114, -0.344293, 1.0]], ['2, k, 18', [0.2281487, -0.6493508, 1.0]], ['2, k, 19', [0.21387, -0.7281139, 1.0]], ['2, k, 20', [0.2287405, 0.5304791, 1.0]], ['2, k, 21', [-0.02663468, -0.1188428, 1.0]], ['2, k, 22', [-0.06156268, -0.07540803, 1.0]], ['2, k, 23', [0.4030184, -0.1722747, 1.0]], ['2, k, 24', [0.4424334, -0.1091972, 1.0]]]
[['2, k, 0', [0.1904094, -0.004291173, 1.0]], ['2, k, 1', [0.2132118, 0.304727, 1.0]], ['2, k, 2', [0.237674, 0.6039042, 1.0]], ['2, k, 3', [0.2546661, 0.7448944, 1.0]], ['2, k, 4', [0.05634615, 0.5033451, 1.0]], ['2, k, 5', [-0.009373287, 0.2455262, 1.0]], ['2, k, 6', [-0.03816028, 0.01116796, 1.0]], ['2, k, 7', [-0.02536118, -0.04033686, 1.0]], ['2, k, 8', [0.4097234, 0.4775293, 1.0]], ['2, k, 9', [0.4241541, 0.2154126, 1.0]], ['2, k, 10', [0.4192524, -0.0174938, 1.0]], ['2, k, 11', [0.413164, -0.09224424, 1.0]], ['2, k, 12', [0.1079581, 0.002114839, 1.0]], ['2, k, 13', [0.04057436, -0.3501769, 1.0]], ['2, k, 14', [-0.006415515, -0.6505124, 1.0]], ['2, k, 15', [-0.05873328, -0.7141148, 1.0]], ['2, k, 16', [0.2674519, -0.01104231, 1.0]], ['2, k, 17', [0.2492354, -0.3443209, 1.0]], ['2, k, 18', [0.2261094, -0.6499749, 1.0]], ['2, k, 19', [0.2161903, -0.7294615, 1.0]], ['2, k, 20', [0.2317045, 0.5305602, 1.0]], ['2, k, 21', [-0.0304189, -0.1129995, 1.0]], ['2, k, 22', [-0.05955772, -0.03941694, 1.0]], ['2, k, 23', [0.4085959, -0.1713762, 1.0]], ['2, k, 24', [0.4473663, -0.09393879, 1.0]]]
[['2, k, 0', [0.1900988, -0.00468798, 1.0]], ['2, k, 1', [0.2142461, 0.3045977, 1.0]], ['2, k, 2', [0.2411184, 0.6041984, 1.0]], ['2, k, 3', [0.2582763, 0.744764, 1.0]], ['2, k, 4', [0.05961001, 0.5036963, 1.0]], ['2, k, 5', [-0.007825212, 0.2460007, 1.0]], ['2, k, 6', [-0.03906103, 0.01176247, 1.0]], ['2, k, 7', [-0.02704107, -0.03863731, 1.0]], ['2, k, 8', [0.4123226, 0.476565, 1.0]], ['2, k, 9', [0.4288747, 0.2140738, 1.0]], ['2, k, 10', [0.4216081, -0.01790465, 1.0]], ['2, k, 11', [0.4156282, -0.09443597, 1.0]], ['2, k, 12', [0.1078804, 0.002069988, 1.0]], ['2, k, 13', [0.02696426, -0.3536201, 1.0]], ['2, k, 14', [-0.05573767, -0.6401162, 1.0]], ['2, k, 15', [-0.08599289, -0.718597, 1.0]], ['2, k, 16', [0.2666904, -0.01200683, 1.0]], ['2, k, 17', [0.2512394, -0.3425232, 1.0]], ['2, k, 18', [0.2256612, -0.6500586, 1.0]], ['2, k, 19', [0.2129835, -0.7304562, 1.0]], ['2, k, 20', [0.2344807, 0.5307196, 1.0]], ['2, k, 21', [-0.03365567, -0.116458, 1.0]], ['2, k, 22', [-0.06803048, -0.03987409, 1.0]], ['2, k, 23', [0.411765, -0.1713333, 1.0]], ['2, k, 24', [0.4478189, -0.1001742, 1.0]]]
[['2, k, 0', [0.1899933, -0.005072039, 1.0]], ['2, k, 1', [0.2152966, 0.3045476, 1.0]], ['2, k, 2', [0.2434015, 0.6046978, 1.0]], ['2, k, 3', [0.2615433, 0.7447988, 1.0]], ['2, k, 4', [0.06451731, 0.5043356, 1.0]], ['2, k, 5', [-0.006168969, 0.2472244, 1.0]], ['2, k, 6', [-0.04033653, 0.01151545, 1.0]], ['2, k, 7', [-0.03019828, -0.04053994, 1.0]], ['2, k, 8', [0.4146353, 0.4746434, 1.0]], ['2, k, 9', [0.4319111, 0.209693, 1.0]], ['2, k, 10', [0.4251281, -0.01976334, 1.0]], ['2, k, 11', [0.4184568, -0.09379512, 1.0]], ['2, k, 12', [0.1078762, 0.002005675, 1.0]], ['2, k, 13', [0.009219503, -0.3588644, 1.0]], ['2, k, 14', [-0.0700066, -0.6412665, 1.0]], ['2, k, 15', [-0.1170306, -0.7124245, 1.0]], ['2, k, 16', [0.2663774, -0.01281169, 1.0]], ['2, k, 17', [0.2522261, -0.3416469, 1.0]], ['2, k, 18', [0.2248287, -0.6502074, 1.0]], ['2, k, 19', [0.213521, -0.7289766, 1.0]], ['2, k, 20', [0.2364959, 0.5310706, 1.0]], ['2, k, 21', [-0.03787446, -0.1184999, 1.0]], ['2, k, 22', [-0.06526407, -0.02335291, 1.0]], ['2, k, 23', [0.4183933, -0.1715733, 1.0]], ['2, k, 24', [0.4532579, -0.0959198, 1.0]]]
