[['2, k, 0', [0.1109504, -0.5081853, 1.0]], ['2, k, 1', [0.1327421, -0.2768052, 1.0]], ['2, k, 2', [0.153711, -0.04956058, 1.0]], ['2, k, 3', [0.1887839, 0.09311008, 1.0]], ['2, k, 4', [-0.02038185, -0.1158561, 1.0]], ['2, k, 5', [-0.08128934, -0.3063242, 1.0]], ['2, k, 6', [-0.006948572, -0.4255255, 1.0]], ['2, k, 7', [0.01244797, -0.443987, 1.0]], ['2, k, 8', [0.3133745, -0.1557832, 1.0]], ['2, k, 9', [0.3366624, -0.3487244, 1.0]], ['2, k, 10', [0.2284613, -0.4071265, 1.0]], ['2, k, 11', [0.192338, -0.4326442, 1.0]], ['2, k, 12', [0.02365717, -0.490741, 1.0]], ['2, k, 13', [-0.1176994, -0.5358714, 1.0]], ['2, k, 14', [-0.1666167, -0.8782775, 1.0]], ['2, k, 15', [-0.196171, -0.9281647, 1.0]], ['2, k, 16', [0.195027, -0.5118732, 1.0]], ['2, k, 17', [0.2573574, -0.5219719, 1.0]], ['2, k, 18', [0.2127697, -0.9114967, 1.0]], ['2, k, 19', [0.1736254, -0.9748123, 1.0]], ['2, k, 20', [0.1485647, -0.1058479, 1.0]], ['2, k, 21', [0.06677142, -0.4813057, 1.0]], ['2, k, 22', [0.0602525, -0.4360655, 1.0]], ['2, k, 23', [0.1378132, -0.4533873, 1.0]], ['2, k, 24', [0.2348893, -0.4435612, 1.0]]]
[['2, k, 0', [0.1110732, -0.5080856, 1.0]], ['2, k, 1', [0.1329403, -0.2764876, 1.0]], ['2, k, 2', [0.1539468, -0.0490106, 1.0]], ['2, k, 3', [0.1901836, 0.09382501, 1.0]], ['2, k, 4', [-0.01983598, -0.1151923, 1.0]], ['2, k, 5', [-0.08168104, -0.306075, 1.0]], ['2, k, 6', [0.002264205, -0.4190781, 1.0]], ['2, k, 7', [0.02481725, -0.4528843, 1.0]], ['2, k, 8', [0.3133707, -0.1557783, 1.0]], ['2, k, 9', [0.336643, -0.3487855, 1.0]], ['2, k, 10', [0.2303398, -0.4105008, 1.0]], ['2, k, 11', [0.1950213, -0.4338507, 1.0]], ['2, k, 12', [0.02386515, -0.4905982, 1.0]], ['2, k, 13', [-0.1130896, -0.5345394, 1.0]], ['2, k, 14', [-0.1478478, -0.8772506, 1.0]], ['2, k, 15', [-0.1865645, -0.9297583, 1.0]], ['2, k, 16', [0.195095, -0.5118277, 1.0]], ['2, k, 17', [0.257042, -0.5214272, 1.0]], ['2, k, 18', [0.2127481, -0.9114915, 1.0]], ['2, k, 19', [0.1736578, -0.9747972, 1.0]], ['2, k, 20', [0.1488003, -0.105359, 1.0]], ['2, k, 21', [0.06838397, -0.4970405, 1.0]], ['2, k, 22', [0.05163414, -0.4257838, 1.0]], ['2, k, 23', [0.1395946, -0.4570421, 1.0]], ['2, k, 24', [0.2374838, -0.4427224, 1.0]]]
[['2, k, 0', [0.1111754, -0.5081034, 1.0]], ['2, k, 1', [0.1331456, -0.2763388, 1.0]], ['2, k, 2', [0.1543406, -0.04858085, 1.0]], ['2, k, 3', [0.1906135, 0.09375323, 1.0]], ['2, k, 4', [-0.01953474, -0.1149347, 1.0]], ['2, k, 5', [-0.08202764, -0.306009, 1.0]], ['2, k, 6', [-0.01251977, -0.4273859, 1.0]], ['2, k, 7', [0.009338931, -0.4430876, 1.0]], ['2, k, 8', [0.313535, -0.1560014, 1.0]], ['2, k, 9', [0.3368207, -0.3492622, 1.0]], ['2, k, 10', [0.2298426, -0.4102873, 1.0]], ['2, k, 11', [0.1942891, -0.4336421, 1.0]], ['2, k, 12', [0.02403513, -0.490543, 1.0]], ['2, k, 13', [-0.1076651, -0.532167, 1.0]], ['2, k, 14', [-0.1313093, -0.8769028, 1.0]], ['2, k, 15', [-0.116959, -0.9098253, 1.0]], ['2, k, 16', [0.1951683, -0.5119231, 1.0]], ['2, k, 17', [0.2567567, -0.5207884, 1.0]], ['2, k, 18', [0.2127663, -0.9115883, 1.0]], ['2, k, 19', [0.173611, -0.9746675, 1.0]], ['2, k, 20', [0.1491453, -0.1050142, 1.0]], ['2, k, 21', [0.04608634, -0.494691, 1.0]], ['2, k, 22', [0.0454154, -0.4195121, 1.0]], ['2, k, 23', [0.1400159, -0.4568402, 1.0]], ['2, k, 24', [0.2356479, -0.4440578, 1.0]]]
[['2, k, 0', [0.111347, -0.5024218, 1.0]], ['2, k, 1', [0.1337174, -0.2745589, 1.0]], ['2, k, 2', [0.1545645, -0.04843628, 1.0]], ['2, k, 3', [0.1909505, 0.09422194, 1.0]], ['2, k, 4', [-0.01941836, -0.114744, 1.0]], ['2, k, 5', [-0.08219545, -0.3059543, 1.0]], ['2, k, 6', [-0.02204751, -0.4333122, 1.0]], ['2, k, 7', [0.004943789, -0.4439453, 1.0]], ['2, k, 8', [0.3135388, -0.155999, 1.0]], ['2, k, 9', [0.3368103, -0.3494787, 1.0]], ['2, k, 10', [0.2294909, -0.4067847, 1.0]], ['2, k, 11', [0.1931767, -0.4323484, 1.0]], ['2, k, 12', [0.02743385, -0.4842259, 1.0]], ['2, k, 13', [-0.1034033, -0.5311444, 1.0]], ['2, k, 14', [-0.1058997, -0.8777814, 1.0]], ['2, k, 15', [-0.1471186, -0.932906, 1.0]], ['2, k, 16', [0.1920929, -0.5069646, 1.0]], ['2, k, 17', [0.2564448, -0.5201934, 1.0]], ['2, k, 18', [0.2127221, -0.9115576, 1.0]], ['2, k, 19', [0.1739417, -0.9744844, 1.0]], ['2, k, 20', [0.1494129, -0.1047349, 1.0]], ['2, k, 21', [0.04025778, -0.4979092, 1.0]], ['2, k, 22', [0.04030633, -0.4172263, 1.0]], ['2, k, 23', [0.1391892, -0.4531555, 1.0]], ['2, k, 24', [0.2368374, -0.4421439, 1.0]]]
[['2, k, 0', [0.1116655, -0.5041581, 1.0]], ['2, k, 1', [0.1338197, -0.2744544, 1.0]], ['2, k, 2', [0.1547166, -0.04811266, 1.0]], ['2, k, 3', [0.1911308, 0.09453284, 1.0]], ['2, k, 4', [-0.0193932, -0.114327, 1.0]], ['2, k, 5', [-0.08228617, -0.305649, 1.0]], ['2, k, 6', [-0.02219327, -0.4333708, 1.0]], ['2, k, 7', [0.01356706, -0.4482726, 1.0]], ['2, k, 8', [0.3135541, -0.1560017, 1.0]], ['2, k, 9', [0.33672, -0.3498073, 1.0]], ['2, k, 10', [0.2296335, -0.4044185, 1.0]], ['2, k, 11', [0.1933786, -0.430432, 1.0]], ['2, k, 12', [0.02694083, -0.4861019, 1.0]], ['2, k, 13', [-0.09762128, -0.5290935, 1.0]], ['2, k, 14', [-0.09482998, -0.8796425, 1.0]], ['2, k, 15', [-0.09594192, -0.9309786, 1.0]], ['2, k, 16', [0.1933524, -0.5087143, 1.0]], ['2, k, 17', [0.2561659, -0.5194046, 1.0]], ['2, k, 18', [0.2124973, -0.911955, 1.0]], ['2, k, 19', [0.1763828, -0.974556, 1.0]], ['2, k, 20', [0.1495458, -0.1044718, 1.0]], ['2, k, 21', [0.05064981, -0.5021394, 1.0]], ['2, k, 22', [0.04796359, -0.4213883, 1.0]], ['2, k, 23', [0.1404111, -0.4509355, 1.0]], ['2, k, 24', [0.2346144, -0.4403883, 1.0]]]
[['2, k, 0', [0.1139029, -0.5048981, 1.0]], ['2, k, 1', [0.1340844, -0.2741843, 1.0]], ['2, k, 2', [0.1544371, -0.04720274, 1.0]], ['2, k, 3', [0.1914427, 0.09509076, 1.0]], ['2, k, 4', [-0.01938043, -0.113903, 1.0]], ['2, k, 5', [-0.08239095, -0.3055888, 1.0]], ['2, k, 6', [-0.02157917, -0.4330752, 1.0]], ['2, k, 7', [0.02318012, -0.451565, 1.0]], ['2, k, 8', [0.3132926, -0.1556679, 1.0]], ['2, k, 9', [0.3367442, -0.3499518, 1.0]], ['2, k, 10', [0.2289064, -0.4055284, 1.0]], ['2, k, 11', [0.1924646, -0.4319588, 1.0]], ['2, k, 12', [0.0286885, -0.4875278, 1.0]], ['2, k, 13', [-0.09087642, -0.5273131, 1.0]], ['2, k, 14', [-0.05161577, -0.8922775, 1.0]], ['2, k, 15', [-0.08538009, -0.9106545, 1.0]], ['2, k, 16', [0.1960942, -0.5088359, 1.0]], ['2, k, 17', [0.2560925, -0.5191628, 1.0]], ['2, k, 18', [0.2122648, -0.9134659, 1.0]], ['2, k, 19', [0.1776441, -0.9705859, 1.0]], ['2, k, 20', [0.1494596, -0.1037854, 1.0]], ['2, k, 21', [0.06578471, -0.5026113, 1.0]], ['2, k, 22', [0.06842946, -0.4324226, 1.0]], ['2, k, 23', [0.137299, -0.4504889, 1.0]], ['2, k, 24', [0.2349262, -0.4427243, 1.0]]]
[['2, k, 0', [0.115102, -0.5055466, 1.0]], ['2, k, 1', [0.1342592, -0.2741194, 1.0]], ['2, k, 2', [0.1542349, -0.04673043, 1.0]], ['2, k, 3', [0.1913518, 0.09566478, 1.0]], ['2, k, 4', [-0.01937317, -0.1135878, 1.0]], ['2, k, 5', [-0.08249784, -0.3054602, 1.0]], ['2, k, 6', [0.003077855, -0.4194247, 1.0]], ['2, k, 7', [0.03426909, -0.4553317, 1.0]], ['2, k, 8', [0.3131133, -0.1551645, 1.0]], ['2, k, 9', [0.3361508, -0.3481323, 1.0]], ['2, k, 10', [0.2537127, -0.4121198, 1.0]], ['2, k, 11', [0.2201479, -0.4354388, 1.0]], ['2, k, 12', [0.02975542, -0.4886027, 1.0]], ['2, k, 13', [-0.08389799, -0.525751, 1.0]], ['2, k, 14', [-0.04369191, -0.8903701, 1.0]], ['2, k, 15', [-0.03033455, -0.9234532, 1.0]], ['2, k, 16', [0.1974151, -0.5090616, 1.0]], ['2, k, 17', [0.2560354, -0.5190876, 1.0]], ['2, k, 18', [0.2120134, -0.9137545, 1.0]], ['2, k, 19', [0.1793291, -0.9705825, 1.0]], ['2, k, 20', [0.1494026, -0.1034429, 1.0]], ['2, k, 21', [0.08858257, -0.4921743, 1.0]], ['2, k, 22', [0.0670658, -0.4278024, 1.0]], ['2, k, 23', [0.1982842, -0.4722739, 1.0]], ['2, k, 24', [0.2817727, -0.4316757, 1.0]]]
[['2, k, 0', [0.1160878, -0.5057695, 1.0]], ['2, k, 1', [0.1345965, -0.2738838, 1.0]], ['2, k, 2', [0.1541757, -0.04571672, 1.0]], ['2, k, 3', [0.1912172, 0.0966116, 1.0]], ['2, k, 4', [-0.01961318, -0.1133046, 1.0]], ['2, k, 5', [-0.08248958, -0.305392, 1.0]], ['2, k, 6', [0.05623747, -0.408794, 1.0]], ['2, k, 7', [0.09324529, -0.462435, 1.0]], ['2, k, 8', [0.3129828, -0.1544662, 1.0]], ['2, k, 9', [0.3359221, -0.3469159, 1.0]], ['2, k, 10', [0.2401371, -0.4023071, 1.0]], ['2, k, 11', [0.2058666, -0.4244424, 1.0]], ['2, k, 12', [0.03055776, -0.4891175, 1.0]], ['2, k, 13', [-0.07715103, -0.5276087, 1.0]], ['2, k, 14', [-0.0353483, -0.8921801, 1.0]], ['2, k, 15', [-0.02223287, -0.925168, 1.0]], ['2, k, 16', [0.1986149, -0.508954, 1.0]], ['2, k, 17', [0.2558123, -0.5191923, 1.0]], ['2, k, 18', [0.2118849, -0.9137843, 1.0]], ['2, k, 19', [0.1838937, -0.9699455, 1.0]], ['2, k, 20', [0.1495036, -0.1026053, 1.0]], ['2, k, 21', [0.1409281, -0.4802949, 1.0]], ['2, k, 22', [0.1579906, -0.4052581, 1.0]], ['2, k, 23', [0.153644, -0.4493587, 1.0]], ['2, k, 24', [0.2502204, -0.4320956, 1.0]]]
[['2, k, 0', [0.1269134, -0.5033967, 1.0]], ['2, k, 1', [0.1380672, -0.2720495, 1.0]], ['2, k, 2', [0.1541335, -0.04496474, 1.0]], ['2, k, 3', [0.1907484, 0.09679249, 1.0]], ['2, k, 4', [-0.01996922, -0.1130222, 1.0]], ['2, k, 5', [-0.08261406, -0.3054171, 1.0]], ['2, k, 6', [0.05601662, -0.4087602, 1.0]], ['2, k, 7', [0.09348944, -0.4621467, 1.0]], ['2, k, 8', [0.3122506, -0.1539039, 1.0]], ['2, k, 9', [0.3356334, -0.3461936, 1.0]], ['2, k, 10', [0.2476451, -0.4070165, 1.0]], ['2, k, 11', [0.2137805, -0.4318062, 1.0]], ['2, k, 12', [0.04371247, -0.4879484, 1.0]], ['2, k, 13', [-0.07075232, -0.5289077, 1.0]], ['2, k, 14', [-0.01380847, -0.8995863, 1.0]], ['2, k, 15', [-0.001123241, -0.9333097, 1.0]], ['2, k, 16', [0.2070573, -0.5054639, 1.0]], ['2, k, 17', [0.2554021, -0.5198247, 1.0]], ['2, k, 18', [0.211147, -0.9134786, 1.0]], ['2, k, 19', [0.1895611, -0.9716483, 1.0]], ['2, k, 20', [0.1499204, -0.1014861, 1.0]], ['2, k, 21', [0.1416274, -0.4804486, 1.0]], ['2, k, 22', [0.1580566, -0.4052908, 1.0]], ['2, k, 23', [0.1780436, -0.4620155, 1.0]], ['2, k, 24', [0.2590333, -0.4315561, 1.0]]]
[['2, k, 0', [0.1285961, -0.5069743, 1.0]], ['2, k, 1', [0.1386818, -0.2722604, 1.0]], ['2, k, 2', [0.1539328, -0.04442117, 1.0]], ['2, k, 3', [0.1903409, 0.09716634, 1.0]], ['2, k, 4', [-0.0201442, -0.1128932, 1.0]], ['2, k, 5', [-0.08286937, -0.3054865, 1.0]], ['2, k, 6', [0.05601405, -0.4086286, 1.0]], ['2, k, 7', [0.09385229, -0.4615545, 1.0]], ['2, k, 8', [0.3117767, -0.1532087, 1.0]], ['2, k, 9', [0.3356571, -0.3462858, 1.0]], ['2, k, 10', [0.2490622, -0.4085404, 1.0]], ['2, k, 11', [0.2150295, -0.4330564, 1.0]], ['2, k, 12', [0.04401336, -0.4925478, 1.0]], ['2, k, 13', [-0.06469463, -0.5295387, 1.0]], ['2, k, 14', [-0.001977442, -0.9034894, 1.0]], ['2, k, 15', [0.009977318, -0.9365764, 1.0]], ['2, k, 16', [0.2100519, -0.5079635, 1.0]], ['2, k, 17', [0.2548815, -0.5209683, 1.0]], ['2, k, 18', [0.2107364, -0.9135557, 1.0]], ['2, k, 19', [0.190173, -0.9725146, 1.0]], ['2, k, 20', [0.1499273, -0.1012284, 1.0]], ['2, k, 21', [0.1399192, -0.4817973, 1.0]], ['2, k, 22', [0.1583638, -0.4052365, 1.0]], ['2, k, 23', [0.183929, -0.465979, 1.0]], ['2, k, 24', [0.2691383, -0.4319796, 1.0]]]
[['2, k, 0', [0.1297705, -0.507763, 1.0]], ['2, k, 1', [0.1393351, -0.2724826, 1.0]], ['2, k, 2', [0.1538019, -0.04394671, 1.0]], ['2, k, 3', [0.1891976, 0.09768354, 1.0]], ['2, k, 4', [-0.02093105, -0.1128724, 1.0]], ['2, k, 5', [-0.08296262, -0.3055438, 1.0]], ['2, k, 6', [0.05601227, -0.4086047, 1.0]], ['2, k, 7', [0.09817746, -0.4539375, 1.0]], ['2, k, 8', [0.3117604, -0.1528491, 1.0]], ['2, k, 9', [0.3357537, -0.3468473, 1.0]], ['2, k, 10', [0.1942733, -0.4148648, 1.0]], ['2, k, 11', [0.1633566, -0.4425054, 1.0]], ['2, k, 12', [0.0451228, -0.4938129, 1.0]], ['2, k, 13', [-0.05763854, -0.5309136, 1.0]], ['2, k, 14', [0.007573606, -0.9068878, 1.0]], ['2, k, 15', [0.01920953, -0.9398389, 1.0]], ['2, k, 16', [0.2111695, -0.508421, 1.0]], ['2, k, 17', [0.2541988, -0.5234287, 1.0]], ['2, k, 18', [0.2100021, -0.9130496, 1.0]], ['2, k, 19', [0.1767605, -0.9760918, 1.0]], ['2, k, 20', [0.1501293, -0.1009478, 1.0]], ['2, k, 21', [0.1324134, -0.4798786, 1.0]], ['2, k, 22', [0.1274465, -0.411596, 1.0]], ['2, k, 23', [0.1246687, -0.4522898, 1.0]], ['2, k, 24', [0.2027996, -0.457982, 1.0]]]
