[['2, k, 0', [-0.174337, -0.1331594, 1.0]], ['2, k, 1', [-0.1770155, 0.1164711, 1.0]], ['2, k, 2', [-0.178423, 0.3612234, 1.0]], ['2, k, 3', [-0.1740065, 0.4867251, 1.0]], ['2, k, 4', [-0.3202136, 0.2465383, 1.0]], ['2, k, 5', [-0.374383, 0.01820689, 1.0]], ['2, k, 6', [-0.3925223, -0.1679026, 1.0]], ['2, k, 7', [-0.3918973, -0.2023956, 1.0]], ['2, k, 8', [-0.02407467, 0.2539517, 1.0]], ['2, k, 9', [0.02665738, 0.03815334, 1.0]], ['2, k, 10', [0.00789444, -0.1261519, 1.0]], ['2, k, 11', [-0.003577508, -0.1780524, 1.0]], ['2, k, 12', [-0.2415221, -0.1324235, 1.0]], ['2, k, 13', [-0.2682141, -0.263228, 1.0]], ['2, k, 14', [-0.2529529, -0.6032158, 1.0]], ['2, k, 15', [-0.2487802, -0.6644794, 1.0]], ['2, k, 16', [-0.1034129, -0.1310779, 1.0]], ['2, k, 17', [0.02265749, -0.2510816, 1.0]], ['2, k, 18', [0.01457045, -0.6014728, 1.0]], ['2, k, 19', [0.02160711, -0.6643943, 1.0]], ['2, k, 20', [-0.1782136, 0.3007656, 1.0]], ['2, k, 21', [-0.411624, -0.270576, 1.0]], ['2, k, 22', [-0.3470142, -0.1878884, 1.0]], ['2, k, 23', [-0.01245068, -0.2324467, 1.0]], ['2, k, 24', [0.03595378, -0.1708726, 1.0]]]
[['2, k, 0', [-0.1746082, -0.1333097, 1.0]], ['2, k, 1', [-0.1769883, 0.116273, 1.0]], ['2, k, 2', [-0.1779853, 0.3603633, 1.0]], ['2, k, 3', [-0.1731312, 0.4870629, 1.0]], ['2, k, 4', [-0.3200213, 0.2464792, 1.0]], ['2, k, 5', [-0.3795714, 0.01065095, 1.0]], ['2, k, 6', [-0.4082192, -0.1818659, 1.0]], ['2, k, 7', [-0.4280435, -0.2386148, 1.0]], ['2, k, 8', [-0.02380618, 0.2538634, 1.0]], ['2, k, 9', [0.02687647, 0.03832169, 1.0]], ['2, k, 10', [0.006185091, -0.1233264, 1.0]], ['2, k, 11', [-0.007831561, -0.1740433, 1.0]], ['2, k, 12', [-0.2417341, -0.1324014, 1.0]], ['2, k, 13', [-0.2679259, -0.2639913, 1.0]], ['2, k, 14', [-0.2526745, -0.6029568, 1.0]], ['2, k, 15', [-0.2484839, -0.6643494, 1.0]], ['2, k, 16', [-0.1037422, -0.1313815, 1.0]], ['2, k, 17', [0.02273615, -0.2508752, 1.0]], ['2, k, 18', [0.01457691, -0.6014768, 1.0]], ['2, k, 19', [0.02009784, -0.663815, 1.0]], ['2, k, 20', [-0.1779261, 0.3001327, 1.0]], ['2, k, 21', [-0.4301074, -0.3018549, 1.0]], ['2, k, 22', [-0.4170918, -0.2512732, 1.0]], ['2, k, 23', [-0.01009556, -0.2266281, 1.0]], ['2, k, 24', [0.03251215, -0.1674236, 1.0]]]
[['2, k, 0', [-0.1751769, -0.1333048, 1.0]], ['2, k, 1', [-0.1769533, 0.1161923, 1.0]], ['2, k, 2', [-0.1769643, 0.3597409, 1.0]], ['2, k, 3', [-0.1717931, 0.4865102, 1.0]], ['2, k, 4', [-0.3193719, 0.2467298, 1.0]], ['2, k, 5', [-0.3887242, 0.006056735, 1.0]], ['2, k, 6', [-0.4379742, -0.1930712, 1.0]], ['2, k, 7', [-0.4543015, -0.238843, 1.0]], ['2, k, 8', [-0.02331145, 0.2541029, 1.0]], ['2, k, 9', [0.02671827, 0.03841139, 1.0]], ['2, k, 10', [0.006102135, -0.1232703, 1.0]], ['2, k, 11', [-0.008687732, -0.173522, 1.0]], ['2, k, 12', [-0.2423372, -0.1322298, 1.0]], ['2, k, 13', [-0.2678567, -0.2641177, 1.0]], ['2, k, 14', [-0.252727, -0.6025527, 1.0]], ['2, k, 15', [-0.2486411, -0.6640968, 1.0]], ['2, k, 16', [-0.1042626, -0.1314865, 1.0]], ['2, k, 17', [0.02279668, -0.250459, 1.0]], ['2, k, 18', [0.01474016, -0.5999848, 1.0]], ['2, k, 19', [0.0220333, -0.6636566, 1.0]], ['2, k, 20', [-0.1772574, 0.2996785, 1.0]], ['2, k, 21', [-0.4559118, -0.3116627, 1.0]], ['2, k, 22', [-0.4413066, -0.2651646, 1.0]], ['2, k, 23', [-0.0150535, -0.229186, 1.0]], ['2, k, 24', [0.03534428, -0.1701952, 1.0]]]
[['2, k, 0', [-0.1751753, -0.1332762, 1.0]], ['2, k, 1', [-0.1766567, 0.1166498, 1.0]], ['2, k, 2', [-0.1761095, 0.3613731, 1.0]], ['2, k, 3', [-0.1710226, 0.4872309, 1.0]], ['2, k, 4', [-0.3183998, 0.2463766, 1.0]], ['2, k, 5', [-0.4005063, 0.0008913637, 1.0]], ['2, k, 6', [-0.4650089, -0.1932769, 1.0]], ['2, k, 7', [-0.4871945, -0.2387621, 1.0]], ['2, k, 8', [-0.02288009, 0.2540934, 1.0]], ['2, k, 9', [0.02683423, 0.03866871, 1.0]], ['2, k, 10', [0.0100109, -0.1242642, 1.0]], ['2, k, 11', [-0.003212496, -0.178626, 1.0]], ['2, k, 12', [-0.2424179, -0.1320598, 1.0]], ['2, k, 13', [-0.2677214, -0.2651987, 1.0]], ['2, k, 14', [-0.2518091, -0.6039749, 1.0]], ['2, k, 15', [-0.2475286, -0.6652742, 1.0]], ['2, k, 16', [-0.1042197, -0.1314928, 1.0]], ['2, k, 17', [0.02288021, -0.2504638, 1.0]], ['2, k, 18', [0.01484247, -0.600023, 1.0]], ['2, k, 19', [0.02117291, -0.6648037, 1.0]], ['2, k, 20', [-0.1765431, 0.3009154, 1.0]], ['2, k, 21', [-0.4959006, -0.3013637, 1.0]], ['2, k, 22', [-0.4766858, -0.2721001, 1.0]], ['2, k, 23', [-0.01336465, -0.2301972, 1.0]], ['2, k, 24', [0.04098306, -0.1763821, 1.0]]]
[['2, k, 0', [-0.1752567, -0.1332823, 1.0]], ['2, k, 1', [-0.1765802, 0.116786, 1.0]], ['2, k, 2', [-0.1757462, 0.3618744, 1.0]], ['2, k, 3', [-0.1698856, 0.4869744, 1.0]], ['2, k, 4', [-0.3183452, 0.2463647, 1.0]], ['2, k, 5', [-0.4196509, 0.0003817546, 1.0]], ['2, k, 6', [-0.5046944, -0.1794921, 1.0]], ['2, k, 7', [-0.5241612, -0.2338432, 1.0]], ['2, k, 8', [-0.02221033, 0.2534589, 1.0]], ['2, k, 9', [0.02738757, 0.03813345, 1.0]], ['2, k, 10', [0.009686289, -0.1252409, 1.0]], ['2, k, 11', [-0.004535846, -0.1758799, 1.0]], ['2, k, 12', [-0.2426163, -0.1319593, 1.0]], ['2, k, 13', [-0.2675531, -0.2656997, 1.0]], ['2, k, 14', [-0.2523502, -0.601465, 1.0]], ['2, k, 15', [-0.2480779, -0.6639195, 1.0]], ['2, k, 16', [-0.1043177, -0.1315905, 1.0]], ['2, k, 17', [0.02316027, -0.2497363, 1.0]], ['2, k, 18', [0.01482782, -0.5987885, 1.0]], ['2, k, 19', [0.02160713, -0.6644332, 1.0]], ['2, k, 20', [-0.1762483, 0.301314, 1.0]], ['2, k, 21', [-0.5359668, -0.2933809, 1.0]], ['2, k, 22', [-0.5020953, -0.2260219, 1.0]], ['2, k, 23', [-0.006737616, -0.2245853, 1.0]], ['2, k, 24', [0.03373012, -0.1690577, 1.0]]]
[['2, k, 0', [-0.1753782, -0.1332953, 1.0]], ['2, k, 1', [-0.1766246, 0.116792, 1.0]], ['2, k, 2', [-0.1757195, 0.3618397, 1.0]], ['2, k, 3', [-0.1692608, 0.4869602, 1.0]], ['2, k, 4', [-0.31809, 0.2465171, 1.0]], ['2, k, 5', [-0.4481261, 0.01216851, 1.0]], ['2, k, 6', [-0.5300258, -0.1693575, 1.0]], ['2, k, 7', [-0.5642383, -0.2185562, 1.0]], ['2, k, 8', [-0.02406142, 0.2527534, 1.0]], ['2, k, 9', [0.02732532, 0.03809895, 1.0]], ['2, k, 10', [0.007950784, -0.1263356, 1.0]], ['2, k, 11', [-0.009035702, -0.1746482, 1.0]], ['2, k, 12', [-0.2428942, -0.1318613, 1.0]], ['2, k, 13', [-0.2674871, -0.2662646, 1.0]], ['2, k, 14', [-0.2522984, -0.6023272, 1.0]], ['2, k, 15', [-0.2482, -0.6641394, 1.0]], ['2, k, 16', [-0.1043863, -0.1316644, 1.0]], ['2, k, 17', [0.02316428, -0.2496939, 1.0]], ['2, k, 18', [0.01468614, -0.5993981, 1.0]], ['2, k, 19', [0.02229874, -0.6649584, 1.0]], ['2, k, 20', [-0.1762088, 0.3013096, 1.0]], ['2, k, 21', [-0.5784956, -0.2684788, 1.0]], ['2, k, 22', [-0.53842, -0.2116714, 1.0]], ['2, k, 23', [-0.01587216, -0.2305007, 1.0]], ['2, k, 24', [0.03549269, -0.1710045, 1.0]]]
[['2, k, 0', [-0.1754376, -0.1332151, 1.0]], ['2, k, 1', [-0.1765536, 0.1168509, 1.0]], ['2, k, 2', [-0.1755244, 0.3618428, 1.0]], ['2, k, 3', [-0.1687762, 0.4868205, 1.0]], ['2, k, 4', [-0.3175299, 0.2486555, 1.0]], ['2, k, 5', [-0.4565283, 0.02038072, 1.0]], ['2, k, 6', [-0.5678586, -0.1442778, 1.0]], ['2, k, 7', [-0.6064731, -0.1969625, 1.0]], ['2, k, 8', [-0.02370697, 0.252851, 1.0]], ['2, k, 9', [0.02728807, 0.03814643, 1.0]], ['2, k, 10', [0.007806865, -0.1261025, 1.0]], ['2, k, 11', [-0.007043947, -0.1740634, 1.0]], ['2, k, 12', [-0.2429245, -0.1316013, 1.0]], ['2, k, 13', [-0.2672894, -0.2668381, 1.0]], ['2, k, 14', [-0.252415, -0.6026504, 1.0]], ['2, k, 15', [-0.2484018, -0.6644046, 1.0]], ['2, k, 16', [-0.1044341, -0.1316678, 1.0]], ['2, k, 17', [0.02313805, -0.2497481, 1.0]], ['2, k, 18', [0.01444992, -0.5996537, 1.0]], ['2, k, 19', [0.02235613, -0.6650226, 1.0]], ['2, k, 20', [-0.1760267, 0.3013377, 1.0]], ['2, k, 21', [-0.625663, -0.2456604, 1.0]], ['2, k, 22', [-0.5739204, -0.1792499, 1.0]], ['2, k, 23', [-0.01787434, -0.2312154, 1.0]], ['2, k, 24', [0.03560881, -0.1716646, 1.0]]]
[['2, k, 0', [-0.1756705, -0.1326419, 1.0]], ['2, k, 1', [-0.17647, 0.1172356, 1.0]], ['2, k, 2', [-0.1752815, 0.3621019, 1.0]], ['2, k, 3', [-0.1673996, 0.4862217, 1.0]], ['2, k, 4', [-0.3162204, 0.2543602, 1.0]], ['2, k, 5', [-0.4712166, 0.03859905, 1.0]], ['2, k, 6', [-0.6026542, -0.1136224, 1.0]], ['2, k, 7', [-0.6434993, -0.1588559, 1.0]], ['2, k, 8', [-0.02275176, 0.2531188, 1.0]], ['2, k, 9', [0.02720768, 0.03825706, 1.0]], ['2, k, 10', [0.007668999, -0.1259692, 1.0]], ['2, k, 11', [-0.006966856, -0.1734841, 1.0]], ['2, k, 12', [-0.2431517, -0.1303918, 1.0]], ['2, k, 13', [-0.267284, -0.2669832, 1.0]], ['2, k, 14', [-0.2522772, -0.6029431, 1.0]], ['2, k, 15', [-0.2485127, -0.6644123, 1.0]], ['2, k, 16', [-0.1046848, -0.1313693, 1.0]], ['2, k, 17', [0.02312717, -0.249644, 1.0]], ['2, k, 18', [0.01449904, -0.5995325, 1.0]], ['2, k, 19', [0.02379527, -0.6644007, 1.0]], ['2, k, 20', [-0.1758072, 0.3016411, 1.0]], ['2, k, 21', [-0.6721795, -0.2065029, 1.0]], ['2, k, 22', [-0.6141962, -0.1650626, 1.0]], ['2, k, 23', [-0.01758416, -0.230349, 1.0]], ['2, k, 24', [0.03658251, -0.1709117, 1.0]]]
[['2, k, 0', [-0.1761387, -0.1319487, 1.0]], ['2, k, 1', [-0.1764731, 0.1175485, 1.0]], ['2, k, 2', [-0.1751356, 0.3622243, 1.0]], ['2, k, 3', [-0.1672601, 0.4867195, 1.0]], ['2, k, 4', [-0.3160055, 0.2577002, 1.0]], ['2, k, 5', [-0.486689, 0.06896589, 1.0]], ['2, k, 6', [-0.6388056, -0.07763775, 1.0]], ['2, k, 7', [-0.6835137, -0.1215037, 1.0]], ['2, k, 8', [-0.02190416, 0.2531693, 1.0]], ['2, k, 9', [0.02736546, 0.03781424, 1.0]], ['2, k, 10', [0.01030352, -0.1266232, 1.0]], ['2, k, 11', [-0.002790034, -0.1799195, 1.0]], ['2, k, 12', [-0.2436972, -0.1291834, 1.0]], ['2, k, 13', [-0.2672932, -0.2669833, 1.0]], ['2, k, 14', [-0.2522732, -0.6029611, 1.0]], ['2, k, 15', [-0.2489825, -0.6642537, 1.0]], ['2, k, 16', [-0.105069, -0.1310605, 1.0]], ['2, k, 17', [0.02306414, -0.2498617, 1.0]], ['2, k, 18', [0.01449895, -0.5994706, 1.0]], ['2, k, 19', [0.02393747, -0.6642749, 1.0]], ['2, k, 20', [-0.1756861, 0.3018032, 1.0]], ['2, k, 21', [-0.7167456, -0.1607885, 1.0]], ['2, k, 22', [-0.6677715, -0.1531155, 1.0]], ['2, k, 23', [-0.006859373, -0.231398, 1.0]], ['2, k, 24', [0.04128407, -0.1803239, 1.0]]]
[['2, k, 0', [-0.1779131, -0.1308548, 1.0]], ['2, k, 1', [-0.1766597, 0.1177399, 1.0]], ['2, k, 2', [-0.1734921, 0.3611648, 1.0]], ['2, k, 3', [-0.1662221, 0.4856915, 1.0]], ['2, k, 4', [-0.3161585, 0.2624179, 1.0]], ['2, k, 5', [-0.5028686, 0.08375907, 1.0]], ['2, k, 6', [-0.671742, -0.03946361, 1.0]], ['2, k, 7', [-0.7227255, -0.07717634, 1.0]], ['2, k, 8', [-0.02152722, 0.2528772, 1.0]], ['2, k, 9', [0.02740936, 0.03780653, 1.0]], ['2, k, 10', [0.002946644, -0.1233949, 1.0]], ['2, k, 11', [-0.008517624, -0.1736845, 1.0]], ['2, k, 12', [-0.2455003, -0.127356, 1.0]], ['2, k, 13', [-0.2673492, -0.2669519, 1.0]], ['2, k, 14', [-0.2522081, -0.6029922, 1.0]], ['2, k, 15', [-0.2494135, -0.664899, 1.0]], ['2, k, 16', [-0.106694, -0.1306997, 1.0]], ['2, k, 17', [0.02307654, -0.2497298, 1.0]], ['2, k, 18', [0.01341672, -0.6013253, 1.0]], ['2, k, 19', [0.02347381, -0.6650522, 1.0]], ['2, k, 20', [-0.1746908, 0.3012181, 1.0]], ['2, k, 21', [-0.7638479, -0.1172997, 1.0]], ['2, k, 22', [-0.6964989, -0.09505922, 1.0]], ['2, k, 23', [-0.01732566, -0.2288953, 1.0]], ['2, k, 24', [0.03591431, -0.1674005, 1.0]]]
[['2, k, 0', [-0.1782657, -0.1300031, 1.0]], ['2, k, 1', [-0.1766874, 0.1182165, 1.0]], ['2, k, 2', [-0.1734154, 0.3614982, 1.0]], ['2, k, 3', [-0.166081, 0.4856442, 1.0]], ['2, k, 4', [-0.3167914, 0.2656331, 1.0]], ['2, k, 5', [-0.5222878, 0.1187257, 1.0]], ['2, k, 6', [-0.6879563, 0.00841351, 1.0]], ['2, k, 7', [-0.7547356, -0.02697273, 1.0]], ['2, k, 8', [-0.02148871, 0.252864, 1.0]], ['2, k, 9', [0.02757207, 0.03793051, 1.0]], ['2, k, 10', [0.003546461, -0.1240116, 1.0]], ['2, k, 11', [-0.009514355, -0.1753528, 1.0]], ['2, k, 12', [-0.2458139, -0.1263412, 1.0]], ['2, k, 13', [-0.2673656, -0.2669252, 1.0]], ['2, k, 14', [-0.2520827, -0.6031349, 1.0]], ['2, k, 15', [-0.2494742, -0.6651591, 1.0]], ['2, k, 16', [-0.1070017, -0.1301622, 1.0]], ['2, k, 17', [0.02306592, -0.2497317, 1.0]], ['2, k, 18', [0.01370995, -0.6011537, 1.0]], ['2, k, 19', [0.02361519, -0.6651772, 1.0]], ['2, k, 20', [-0.174623, 0.3015254, 1.0]], ['2, k, 21', [-0.806193, -0.05754486, 1.0]], ['2, k, 22', [-0.7369117, -0.06084467, 1.0]], ['2, k, 23', [-0.01897772, -0.2324435, 1.0]], ['2, k, 24', [0.03287222, -0.1625852, 1.0]]]
