[['2, k, 0', [-0.222221, -0.777902, 1.0]], ['2, k, 1', [-0.211206, -0.487524, 1.0]], ['2, k, 2', [-0.199479, -0.201723, 1.0]], ['2, k, 3', [-0.175237, -0.100226, 1.0]], ['2, k, 4', [-0.296459, -0.256135, 1.0]], ['2, k, 5', [-0.218859, -0.0208349, 1.0]], ['2, k, 6', [-0.0820746, 0.114021, 1.0]], ['2, k, 7', [-0.0510461, 0.148159, 1.0]], ['2, k, 8', [-0.0888284, -0.359046, 1.0]], ['2, k, 9', [0.11494, -0.430347, 1.0]], ['2, k, 10', [0.303704, -0.388367, 1.0]], ['2, k, 11', [0.369242, -0.352476, 1.0]], ['2, k, 12', [-0.266818, -0.744854, 1.0]], ['2, k, 13', [-0.493217, -0.856101, 1.0]], ['2, k, 14', [-0.330794, -1.0443, 1.0]], ['2, k, 15', [-0.325702, -1.10789, 1.0]], ['2, k, 16', [-0.171969, -0.790941, 1.0]], ['2, k, 17', [-0.164411, -0.574636, 1.0]], ['2, k, 18', [-0.177683, -0.967923, 1.0]], ['2, k, 19', [-0.143578, -1.01288, 1.0]], ['2, k, 20', [-0.202551, -0.272649, 1.0]], ['2, k, 21', [0.00956046, 0.161413, 1.0]], ['2, k, 22', [-0.0610239, 0.185926, 1.0]], ['2, k, 23', [0.408184, -0.312348, 1.0]], ['2, k, 24', [0.405596, -0.359766, 1.0]]]
[['2, k, 0', [-0.219349, -0.760369, 1.0]], ['2, k, 1', [-0.21045, -0.483441, 1.0]], ['2, k, 2', [-0.199429, -0.201714, 1.0]], ['2, k, 3', [-0.17482, -0.0994834, 1.0]], ['2, k, 4', [-0.296385, -0.256083, 1.0]], ['2, k, 5', [-0.23937, -0.0767197, 1.0]], ['2, k, 6', [-0.0877288, 0.109744, 1.0]], ['2, k, 7', [-0.0684069, 0.136437, 1.0]], ['2, k, 8', [-0.088903, -0.359272, 1.0]], ['2, k, 9', [0.105314, -0.431377, 1.0]], ['2, k, 10', [0.303337, -0.388512, 1.0]], ['2, k, 11', [0.368353, -0.35277, 1.0]], ['2, k, 12', [-0.264151, -0.728072, 1.0]], ['2, k, 13', [-0.362183, -0.591015, 1.0]], ['2, k, 14', [-0.334526, -1.04967, 1.0]], ['2, k, 15', [-0.291574, -1.1218, 1.0]], ['2, k, 16', [-0.168934, -0.772909, 1.0]], ['2, k, 17', [-0.164744, -0.544555, 1.0]], ['2, k, 18', [-0.177669, -0.967852, 1.0]], ['2, k, 19', [-0.142073, -1.02006, 1.0]], ['2, k, 20', [-0.202456, -0.272444, 1.0]], ['2, k, 21', [-0.0555317, 0.188632, 1.0]], ['2, k, 22', [-0.0611505, 0.185525, 1.0]], ['2, k, 23', [0.413691, -0.312723, 1.0]], ['2, k, 24', [0.398068, -0.36397, 1.0]]]
[['2, k, 0', [-0.221804, -0.763295, 1.0]], ['2, k, 1', [-0.211495, -0.482249, 1.0]], ['2, k, 2', [-0.199785, -0.201154, 1.0]], ['2, k, 3', [-0.174702, -0.090864, 1.0]], ['2, k, 4', [-0.262151, -0.196473, 1.0]], ['2, k, 5', [-0.22396, -0.0312328, 1.0]], ['2, k, 6', [-0.0729507, 0.127718, 1.0]], ['2, k, 7', [-0.0478211, 0.15415, 1.0]], ['2, k, 8', [-0.0843901, -0.369141, 1.0]], ['2, k, 9', [0.0926103, -0.431226, 1.0]], ['2, k, 10', [0.297369, -0.388979, 1.0]], ['2, k, 11', [0.36179, -0.353851, 1.0]], ['2, k, 12', [-0.263066, -0.726155, 1.0]], ['2, k, 13', [-0.330971, -0.988691, 1.0]], ['2, k, 14', [-0.339111, -1.24522, 1.0]], ['2, k, 15', [-0.327522, -1.12917, 1.0]], ['2, k, 16', [-0.182721, -0.791906, 1.0]], ['2, k, 17', [-0.16301, -1.02918, 1.0]], ['2, k, 18', [-0.331035, -1.23443, 1.0]], ['2, k, 19', [-0.26695, -1.13081, 1.0]], ['2, k, 20', [-0.202945, -0.271565, 1.0]], ['2, k, 21', [0.0401849, 0.131044, 1.0]], ['2, k, 22', [-0.0607567, 0.186108, 1.0]], ['2, k, 23', [0.40378, -0.307027, 1.0]], ['2, k, 24', [0.391002, -0.363007, 1.0]]]
[['2, k, 0', [-0.223607, -0.761177, 1.0]], ['2, k, 1', [-0.210924, -0.477464, 1.0]], ['2, k, 2', [-0.197826, -0.195005, 1.0]], ['2, k, 3', [-0.174781, -0.0910086, 1.0]], ['2, k, 4', [-0.293417, -0.261313, 1.0]], ['2, k, 5', [-0.220774, -0.0323352, 1.0]], ['2, k, 6', [-0.0731288, 0.127688, 1.0]], ['2, k, 7', [-0.051278, 0.156043, 1.0]], ['2, k, 8', [-0.0852515, -0.365993, 1.0]], ['2, k, 9', [0.149528, -0.415343, 1.0]], ['2, k, 10', [0.317861, -0.385104, 1.0]], ['2, k, 11', [0.378978, -0.342657, 1.0]], ['2, k, 12', [-0.265689, -0.726675, 1.0]], ['2, k, 13', [-0.327502, -0.979602, 1.0]], ['2, k, 14', [-0.342697, -1.2311, 1.0]], ['2, k, 15', [-0.327739, -1.11881, 1.0]], ['2, k, 16', [-0.173241, -0.772291, 1.0]], ['2, k, 17', [-0.164747, -0.980436, 1.0]], ['2, k, 18', [-0.34142, -1.17461, 1.0]], ['2, k, 19', [-0.261871, -1.08612, 1.0]], ['2, k, 20', [-0.201308, -0.265586, 1.0]], ['2, k, 21', [0.0402299, 0.131191, 1.0]], ['2, k, 22', [-0.0635178, 0.186029, 1.0]], ['2, k, 23', [0.4211, -0.310727, 1.0]], ['2, k, 24', [0.425712, -0.346049, 1.0]]]
[['2, k, 0', [-0.219494, -0.73791, 1.0]], ['2, k, 1', [-0.212299, -0.46413, 1.0]], ['2, k, 2', [-0.199254, -0.193746, 1.0]], ['2, k, 3', [-0.174724, -0.0914918, 1.0]], ['2, k, 4', [-0.263325, -0.189436, 1.0]], ['2, k, 5', [-0.2125, 0.0193926, 1.0]], ['2, k, 6', [-0.0724866, 0.129027, 1.0]], ['2, k, 7', [-0.0484818, 0.158759, 1.0]], ['2, k, 8', [-0.0839828, -0.362394, 1.0]], ['2, k, 9', [0.0796471, -0.426597, 1.0]], ['2, k, 10', [0.252376, -0.388059, 1.0]], ['2, k, 11', [0.321325, -0.363266, 1.0]], ['2, k, 12', [-0.256572, -0.692663, 1.0]], ['2, k, 13', [-0.327859, -0.980584, 1.0]], ['2, k, 14', [-0.333299, -1.23483, 1.0]], ['2, k, 15', [-0.326043, -1.11912, 1.0]], ['2, k, 16', [-0.17669, -0.763752, 1.0]], ['2, k, 17', [-0.164555, -0.989824, 1.0]], ['2, k, 18', [-0.335137, -1.18399, 1.0]], ['2, k, 19', [-0.260934, -1.09429, 1.0]], ['2, k, 20', [-0.203153, -0.262578, 1.0]], ['2, k, 21', [0.044012, 0.131043, 1.0]], ['2, k, 22', [-0.0609156, 0.187162, 1.0]], ['2, k, 23', [0.370755, -0.317538, 1.0]], ['2, k, 24', [0.359364, -0.36501, 1.0]]]
[['2, k, 0', [-0.216394, -0.751744, 1.0]], ['2, k, 1', [-0.211444, -0.468396, 1.0]], ['2, k, 2', [-0.20012, -0.194264, 1.0]], ['2, k, 3', [-0.177003, -0.0916757, 1.0]], ['2, k, 4', [-0.264123, -0.189626, 1.0]], ['2, k, 5', [-0.227742, -0.0348114, 1.0]], ['2, k, 6', [-0.0961553, 0.133223, 1.0]], ['2, k, 7', [-0.0695846, 0.198791, 1.0]], ['2, k, 8', [-0.0843826, -0.35827, 1.0]], ['2, k, 9', [0.0786401, -0.42527, 1.0]], ['2, k, 10', [0.285169, -0.365134, 1.0]], ['2, k, 11', [0.3512, -0.334186, 1.0]], ['2, k, 12', [-0.253103, -0.715499, 1.0]], ['2, k, 13', [-0.32833, -0.982535, 1.0]], ['2, k, 14', [-0.330226, -1.23773, 1.0]], ['2, k, 15', [-0.324935, -1.12145, 1.0]], ['2, k, 16', [-0.171541, -0.783534, 1.0]], ['2, k, 17', [-0.197386, -1.03221, 1.0]], ['2, k, 18', [-0.247072, -0.76145, 1.0]], ['2, k, 19', [-0.221883, -0.856703, 1.0]], ['2, k, 20', [-0.203766, -0.263413, 1.0]], ['2, k, 21', [-0.0441701, 0.256465, 1.0]], ['2, k, 22', [-0.078738, 0.253479, 1.0]], ['2, k, 23', [0.397119, -0.297376, 1.0]], ['2, k, 24', [0.36549, -0.345603, 1.0]]]
[['2, k, 0', [-0.216887, -0.753904, 1.0]], ['2, k, 1', [-0.212479, -0.469032, 1.0]], ['2, k, 2', [-0.205427, -0.19156, 1.0]], ['2, k, 3', [-0.179446, -0.0886687, 1.0]], ['2, k, 4', [-0.264765, -0.189767, 1.0]], ['2, k, 5', [-0.173982, 0.0211205, 1.0]], ['2, k, 6', [-0.0904139, 0.219387, 1.0]], ['2, k, 7', [-0.0755965, 0.249335, 1.0]], ['2, k, 8', [-0.0825749, -0.357396, 1.0]], ['2, k, 9', [0.0767723, -0.423606, 1.0]], ['2, k, 10', [0.293076, -0.354161, 1.0]], ['2, k, 11', [0.356953, -0.314166, 1.0]], ['2, k, 12', [-0.255718, -0.716328, 1.0]], ['2, k, 13', [-0.317269, -0.980911, 1.0]], ['2, k, 14', [-0.346214, -1.23664, 1.0]], ['2, k, 15', [-0.327897, -1.11985, 1.0]], ['2, k, 16', [-0.172591, -0.785207, 1.0]], ['2, k, 17', [-0.164495, -1.00452, 1.0]], ['2, k, 18', [-0.33511, -1.19878, 1.0]], ['2, k, 19', [-0.264025, -1.10604, 1.0]], ['2, k, 20', [-0.207517, -0.261554, 1.0]], ['2, k, 21', [-0.0523997, 0.272715, 1.0]], ['2, k, 22', [-0.103463, 0.260542, 1.0]], ['2, k, 23', [0.405208, -0.283223, 1.0]], ['2, k, 24', [0.398061, -0.313594, 1.0]]]
[['2, k, 0', [-0.218037, -0.755668, 1.0]], ['2, k, 1', [-0.213182, -0.471749, 1.0]], ['2, k, 2', [-0.205805, -0.194082, 1.0]], ['2, k, 3', [-0.190669, -0.0903496, 1.0]], ['2, k, 4', [-0.266117, -0.192034, 1.0]], ['2, k, 5', [-0.184182, 0.0254558, 1.0]], ['2, k, 6', [-0.0919359, 0.223741, 1.0]], ['2, k, 7', [-0.0877174, 0.259924, 1.0]], ['2, k, 8', [-0.0825112, -0.357354, 1.0]], ['2, k, 9', [0.0808937, -0.410647, 1.0]], ['2, k, 10', [0.292398, -0.341229, 1.0]], ['2, k, 11', [0.353671, -0.293714, 1.0]], ['2, k, 12', [-0.257307, -0.716751, 1.0]], ['2, k, 13', [-0.320198, -0.980911, 1.0]], ['2, k, 14', [-0.340512, -1.23726, 1.0]], ['2, k, 15', [-0.326555, -1.11989, 1.0]], ['2, k, 16', [-0.173722, -0.785763, 1.0]], ['2, k, 17', [-0.163997, -1.0016, 1.0]], ['2, k, 18', [-0.335018, -1.19513, 1.0]], ['2, k, 19', [-0.262942, -1.10313, 1.0]], ['2, k, 20', [-0.207952, -0.263961, 1.0]], ['2, k, 21', [-0.0716031, 0.283576, 1.0]], ['2, k, 22', [-0.104454, 0.273074, 1.0]], ['2, k, 23', [0.405341, -0.263894, 1.0]], ['2, k, 24', [0.369384, -0.304209, 1.0]]]
[['2, k, 0', [-0.218844, -0.755982, 1.0]], ['2, k, 1', [-0.213425, -0.472653, 1.0]], ['2, k, 2', [-0.205561, -0.195803, 1.0]], ['2, k, 3', [-0.202539, -0.0691026, 1.0]], ['2, k, 4', [-0.266113, -0.192247, 1.0]], ['2, k, 5', [-0.207092, 0.0359387, 1.0]], ['2, k, 6', [-0.105607, 0.232971, 1.0]], ['2, k, 7', [-0.10576, 0.270636, 1.0]], ['2, k, 8', [-0.0809904, -0.356771, 1.0]], ['2, k, 9', [0.0968595, -0.391455, 1.0]], ['2, k, 10', [0.287614, -0.322241, 1.0]], ['2, k, 11', [0.347281, -0.269658, 1.0]], ['2, k, 12', [-0.25867, -0.715931, 1.0]], ['2, k, 13', [-0.321685, -0.971372, 1.0]], ['2, k, 14', [-0.335258, -1.23423, 1.0]], ['2, k, 15', [-0.323482, -1.11427, 1.0]], ['2, k, 16', [-0.174742, -0.785163, 1.0]], ['2, k, 17', [-0.133513, -1.01044, 1.0]], ['2, k, 18', [-0.302136, -1.22139, 1.0]], ['2, k, 19', [-0.244404, -1.11345, 1.0]], ['2, k, 20', [-0.207833, -0.265229, 1.0]], ['2, k, 21', [-0.0945355, 0.290381, 1.0]], ['2, k, 22', [-0.126684, 0.282026, 1.0]], ['2, k, 23', [0.402947, -0.23527, 1.0]], ['2, k, 24', [0.379656, -0.267137, 1.0]]]
[['2, k, 0', [-0.21911, -0.756054, 1.0]], ['2, k, 1', [-0.213519, -0.473693, 1.0]], ['2, k, 2', [-0.205378, -0.198739, 1.0]], ['2, k, 3', [-0.218714, -0.0950666, 1.0]], ['2, k, 4', [-0.299393, -0.283714, 1.0]], ['2, k, 5', [-0.249591, -0.0447449, 1.0]], ['2, k, 6', [-0.157706, 0.167448, 1.0]], ['2, k, 7', [-0.147919, 0.225437, 1.0]], ['2, k, 8', [-0.061427, -0.339061, 1.0]], ['2, k, 9', [0.109561, -0.380578, 1.0]], ['2, k, 10', [0.267021, -0.30127, 1.0]], ['2, k, 11', [0.328583, -0.25124, 1.0]], ['2, k, 12', [-0.263495, -0.719641, 1.0]], ['2, k, 13', [-0.327247, -0.939796, 1.0]], ['2, k, 14', [-0.33123, -1.20483, 1.0]], ['2, k, 15', [-0.31692, -1.09158, 1.0]], ['2, k, 16', [-0.171278, -0.776028, 1.0]], ['2, k, 17', [-0.132109, -1.0088, 1.0]], ['2, k, 18', [-0.295654, -1.22442, 1.0]], ['2, k, 19', [-0.240094, -1.11436, 1.0]], ['2, k, 20', [-0.207706, -0.267432, 1.0]], ['2, k, 21', [-0.137111, 0.286635, 1.0]], ['2, k, 22', [-0.16843, 0.281261, 1.0]], ['2, k, 23', [0.382313, -0.213584, 1.0]], ['2, k, 24', [0.366, -0.241587, 1.0]]]
[['2, k, 0', [-0.214652, -0.745837, 1.0]], ['2, k, 1', [-0.207521, -0.476328, 1.0]], ['2, k, 2', [-0.188573, -0.22779, 1.0]], ['2, k, 3', [-0.220982, -0.129573, 1.0]], ['2, k, 4', [-0.30721, -0.260672, 1.0]], ['2, k, 5', [-0.251297, -0.015655, 1.0]], ['2, k, 6', [-0.172238, 0.210997, 1.0]], ['2, k, 7', [-0.160773, 0.257409, 1.0]], ['2, k, 8', [-0.030799, -0.328622, 1.0]], ['2, k, 9', [0.147371, -0.374333, 1.0]], ['2, k, 10', [0.293959, -0.244269, 1.0]], ['2, k, 11', [0.353926, -0.177845, 1.0]], ['2, k, 12', [-0.260369, -0.713717, 1.0]], ['2, k, 13', [-0.319789, -0.997172, 1.0]], ['2, k, 14', [-0.296292, -1.28851, 1.0]], ['2, k, 15', [-0.308713, -1.15826, 1.0]], ['2, k, 16', [-0.156863, -0.744727, 1.0]], ['2, k, 17', [-0.145525, -0.956341, 1.0]], ['2, k, 18', [-0.29666, -1.20902, 1.0]], ['2, k, 19', [-0.232648, -1.09378, 1.0]], ['2, k, 20', [-0.194064, -0.287105, 1.0]], ['2, k, 21', [-0.161505, 0.317129, 1.0]], ['2, k, 22', [-0.202236, 0.292626, 1.0]], ['2, k, 23', [0.39152, -0.12556, 1.0]], ['2, k, 24', [0.405851, -0.164961, 1.0]]]
