[['2, k, 0', [-0.152988, 0.2190561, 1.0]], ['2, k, 1', [-0.1472702, 0.4989168, 1.0]], ['2, k, 2', [-0.1442142, 0.7715973, 1.0]], ['2, k, 3', [-0.1385644, 0.9143327, 1.0]], ['2, k, 4', [-0.2975523, 0.6544583, 1.0]], ['2, k, 5', [-0.3681784, 0.4150611, 1.0]], ['2, k, 6', [-0.3589596, 0.1865668, 1.0]], ['2, k, 7', [-0.3428462, 0.1266145, 1.0]], ['2, k, 8', [0.02794511, 0.6352495, 1.0]], ['2, k, 9', [0.06796502, 0.3892254, 1.0]], ['2, k, 10', [0.04925401, 0.1185781, 1.0]], ['2, k, 11', [0.0314151, 0.04220482, 1.0]], ['2, k, 12', [-0.2164389, 0.2178424, 1.0]], ['2, k, 13', [-0.2624405, -0.2153808, 1.0]], ['2, k, 14', [-0.2487515, -0.5581027, 1.0]], ['2, k, 15', [-0.2360401, -0.6322948, 1.0]], ['2, k, 16', [-0.08577914, 0.2145284, 1.0]], ['2, k, 17', [-0.06929022, -0.2210905, 1.0]], ['2, k, 18', [-0.08471482, -0.5507338, 1.0]], ['2, k, 19', [-0.08595476, -0.6207148, 1.0]], ['2, k, 20', [-0.144828, 0.704546, 1.0]], ['2, k, 21', [-0.3368221, 0.04441084, 1.0]], ['2, k, 22', [-0.3680214, 0.08615493, 1.0]], ['2, k, 23', [0.02354058, -0.04006042, 1.0]], ['2, k, 24', [0.06872932, 0.0574622, 1.0]]]
[['2, k, 0', [-0.1532236, 0.2187831, 1.0]], ['2, k, 1', [-0.1478128, 0.4985628, 1.0]], ['2, k, 2', [-0.1446446, 0.7710907, 1.0]], ['2, k, 3', [-0.1389929, 0.9147509, 1.0]], ['2, k, 4', [-0.2989181, 0.6541042, 1.0]], ['2, k, 5', [-0.3680939, 0.4162783, 1.0]], ['2, k, 6', [-0.3580028, 0.1881432, 1.0]], ['2, k, 7', [-0.3410448, 0.1237516, 1.0]], ['2, k, 8', [0.02787174, 0.6344697, 1.0]], ['2, k, 9', [0.0682757, 0.3858145, 1.0]], ['2, k, 10', [0.04970583, 0.1170215, 1.0]], ['2, k, 11', [0.04025236, 0.04703281, 1.0]], ['2, k, 12', [-0.2165509, 0.2178195, 1.0]], ['2, k, 13', [-0.2624775, -0.2154025, 1.0]], ['2, k, 14', [-0.2484983, -0.559213, 1.0]], ['2, k, 15', [-0.2358066, -0.6317509, 1.0]], ['2, k, 16', [-0.08617669, 0.2138382, 1.0]], ['2, k, 17', [-0.06916661, -0.2216505, 1.0]], ['2, k, 18', [-0.08481953, -0.5507838, 1.0]], ['2, k, 19', [-0.08609011, -0.6204307, 1.0]], ['2, k, 20', [-0.1453208, 0.704088, 1.0]], ['2, k, 21', [-0.3372089, 0.04438293, 1.0]], ['2, k, 22', [-0.3695521, 0.09544586, 1.0]], ['2, k, 23', [0.03242184, -0.03041839, 1.0]], ['2, k, 24', [0.07578167, 0.01850486, 1.0]]]
[['2, k, 0', [-0.153995, 0.2184885, 1.0]], ['2, k, 1', [-0.1491679, 0.4980324, 1.0]], ['2, k, 2', [-0.1459, 0.770166, 1.0]], ['2, k, 3', [-0.1417361, 0.9147316, 1.0]], ['2, k, 4', [-0.2979579, 0.6546409, 1.0]], ['2, k, 5', [-0.3685699, 0.4161149, 1.0]], ['2, k, 6', [-0.356819, 0.1705961, 1.0]], ['2, k, 7', [-0.3354959, 0.09013448, 1.0]], ['2, k, 8', [0.02708473, 0.6355468, 1.0]], ['2, k, 9', [0.08704424, 0.4152303, 1.0]], ['2, k, 10', [0.06490394, 0.186214, 1.0]], ['2, k, 11', [0.05804229, 0.1043048, 1.0]], ['2, k, 12', [-0.2172572, 0.2175338, 1.0]], ['2, k, 13', [-0.262932, -0.2160191, 1.0]], ['2, k, 14', [-0.2479977, -0.5595918, 1.0]], ['2, k, 15', [-0.2357216, -0.6332247, 1.0]], ['2, k, 16', [-0.08698265, 0.2136108, 1.0]], ['2, k, 17', [-0.07092496, -0.221692, 1.0]], ['2, k, 18', [-0.08615832, -0.552236, 1.0]], ['2, k, 19', [-0.08523388, -0.6231657, 1.0]], ['2, k, 20', [-0.146658, 0.7032791, 1.0]], ['2, k, 21', [-0.3250875, 0.006595158, 1.0]], ['2, k, 22', [-0.367494, 0.07843519, 1.0]], ['2, k, 23', [0.04278913, 0.0299811, 1.0]], ['2, k, 24', [0.09682461, 0.07690092, 1.0]]]
[['2, k, 0', [-0.1541727, 0.2184047, 1.0]], ['2, k, 1', [-0.1494389, 0.4979239, 1.0]], ['2, k, 2', [-0.1460155, 0.7699168, 1.0]], ['2, k, 3', [-0.1431506, 0.91582, 1.0]], ['2, k, 4', [-0.2973441, 0.6550809, 1.0]], ['2, k, 5', [-0.3694836, 0.4156294, 1.0]], ['2, k, 6', [-0.3579581, 0.1734739, 1.0]], ['2, k, 7', [-0.3370301, 0.09387394, 1.0]], ['2, k, 8', [0.02694022, 0.6359065, 1.0]], ['2, k, 9', [0.09405861, 0.4213044, 1.0]], ['2, k, 10', [0.07655746, 0.2403276, 1.0]], ['2, k, 11', [0.06696747, 0.1598214, 1.0]], ['2, k, 12', [-0.2174773, 0.2173998, 1.0]], ['2, k, 13', [-0.2628107, -0.216389, 1.0]], ['2, k, 14', [-0.2484488, -0.5585917, 1.0]], ['2, k, 15', [-0.23466, -0.6321024, 1.0]], ['2, k, 16', [-0.08712199, 0.2135895, 1.0]], ['2, k, 17', [-0.07027104, -0.2217887, 1.0]], ['2, k, 18', [-0.08595686, -0.5521665, 1.0]], ['2, k, 19', [-0.08501658, -0.623036, 1.0]], ['2, k, 20', [-0.1468419, 0.7030824, 1.0]], ['2, k, 21', [-0.3266368, 0.01506694, 1.0]], ['2, k, 22', [-0.3691961, 0.07755204, 1.0]], ['2, k, 23', [0.06060818, 0.09245235, 1.0]], ['2, k, 24', [0.1047803, 0.1362727, 1.0]]]
[['2, k, 0', [-0.1549328, 0.2181187, 1.0]], ['2, k, 1', [-0.1506787, 0.4976882, 1.0]], ['2, k, 2', [-0.1472916, 0.76964, 1.0]], ['2, k, 3', [-0.1450421, 0.916886, 1.0]], ['2, k, 4', [-0.3019356, 0.6548566, 1.0]], ['2, k, 5', [-0.3699333, 0.415731, 1.0]], ['2, k, 6', [-0.356724, 0.1606855, 1.0]], ['2, k, 7', [-0.3365462, 0.08657155, 1.0]], ['2, k, 8', [0.02553774, 0.6377108, 1.0]], ['2, k, 9', [0.1048629, 0.4518836, 1.0]], ['2, k, 10', [0.09232764, 0.3070034, 1.0]], ['2, k, 11', [0.07689096, 0.2288442, 1.0]], ['2, k, 12', [-0.2183751, 0.2168718, 1.0]], ['2, k, 13', [-0.2625525, -0.2169159, 1.0]], ['2, k, 14', [-0.2473361, -0.5605789, 1.0]], ['2, k, 15', [-0.2346884, -0.6321866, 1.0]], ['2, k, 16', [-0.08778131, 0.2135575, 1.0]], ['2, k, 17', [-0.06896729, -0.2219192, 1.0]], ['2, k, 18', [-0.08602872, -0.551453, 1.0]], ['2, k, 19', [-0.08510454, -0.6214719, 1.0]], ['2, k, 20', [-0.1481531, 0.7028293, 1.0]], ['2, k, 21', [-0.3230454, -0.00189125, 1.0]], ['2, k, 22', [-0.368918, 0.066167, 1.0]], ['2, k, 23', [0.06931854, 0.1689214, 1.0]], ['2, k, 24', [0.1142492, 0.2061962, 1.0]]]
[['2, k, 0', [-0.1562942, 0.2185342, 1.0]], ['2, k, 1', [-0.1520198, 0.4981154, 1.0]], ['2, k, 2', [-0.1481666, 0.7698638, 1.0]], ['2, k, 3', [-0.1466615, 0.9171482, 1.0]], ['2, k, 4', [-0.3048294, 0.6537869, 1.0]], ['2, k, 5', [-0.3701243, 0.4155664, 1.0]], ['2, k, 6', [-0.3571965, 0.1598069, 1.0]], ['2, k, 7', [-0.3364326, 0.08512338, 1.0]], ['2, k, 8', [0.02336895, 0.6400925, 1.0]], ['2, k, 9', [0.1237061, 0.4843564, 1.0]], ['2, k, 10', [0.09510972, 0.374161, 1.0]], ['2, k, 11', [0.08404488, 0.3052834, 1.0]], ['2, k, 12', [-0.2198599, 0.2173987, 1.0]], ['2, k, 13', [-0.2624373, -0.2168808, 1.0]], ['2, k, 14', [-0.2471504, -0.5605779, 1.0]], ['2, k, 15', [-0.2352084, -0.6316097, 1.0]], ['2, k, 16', [-0.08899534, 0.2139434, 1.0]], ['2, k, 17', [-0.06895339, -0.2216876, 1.0]], ['2, k, 18', [-0.0859585, -0.5513657, 1.0]], ['2, k, 19', [-0.08476605, -0.6216215, 1.0]], ['2, k, 20', [-0.1491757, 0.7031215, 1.0]], ['2, k, 21', [-0.327631, 0.007949974, 1.0]], ['2, k, 22', [-0.3680602, 0.06919315, 1.0]], ['2, k, 23', [0.1135449, 0.2514173, 1.0]], ['2, k, 24', [0.1216478, 0.308685, 1.0]]]
[['2, k, 0', [-0.1567117, 0.2184445, 1.0]], ['2, k, 1', [-0.1530276, 0.4979842, 1.0]], ['2, k, 2', [-0.149622, 0.7695941, 1.0]], ['2, k, 3', [-0.1478088, 0.9177665, 1.0]], ['2, k, 4', [-0.3023845, 0.6548467, 1.0]], ['2, k, 5', [-0.3704022, 0.4155485, 1.0]], ['2, k, 6', [-0.3572844, 0.1604394, 1.0]], ['2, k, 7', [-0.3362876, 0.08438782, 1.0]], ['2, k, 8', [0.02129019, 0.6422806, 1.0]], ['2, k, 9', [0.1237405, 0.5044084, 1.0]], ['2, k, 10', [0.1110628, 0.4793939, 1.0]], ['2, k, 11', [0.09261759, 0.4047561, 1.0]], ['2, k, 12', [-0.2205161, 0.2170343, 1.0]], ['2, k, 13', [-0.2621662, -0.2174413, 1.0]], ['2, k, 14', [-0.2473637, -0.5606776, 1.0]], ['2, k, 15', [-0.2350263, -0.6315287, 1.0]], ['2, k, 16', [-0.08925319, 0.2140819, 1.0]], ['2, k, 17', [-0.06788784, -0.2216262, 1.0]], ['2, k, 18', [-0.08606599, -0.5513808, 1.0]], ['2, k, 19', [-0.08529567, -0.6218843, 1.0]], ['2, k, 20', [-0.1505369, 0.7028967, 1.0]], ['2, k, 21', [-0.3290667, 0.0005052561, 1.0]], ['2, k, 22', [-0.3685285, 0.07066376, 1.0]], ['2, k, 23', [0.09451206, 0.3699943, 1.0]], ['2, k, 24', [0.1304546, 0.3708951, 1.0]]]
[['2, k, 0', [-0.1574119, 0.2185335, 1.0]], ['2, k, 1', [-0.1546406, 0.4981532, 1.0]], ['2, k, 2', [-0.1520881, 0.7697217, 1.0]], ['2, k, 3', [-0.1484066, 0.9180351, 1.0]], ['2, k, 4', [-0.3062314, 0.6537206, 1.0]], ['2, k, 5', [-0.3713843, 0.4150135, 1.0]], ['2, k, 6', [-0.3574796, 0.1601247, 1.0]], ['2, k, 7', [-0.3371898, 0.08477829, 1.0]], ['2, k, 8', [0.00443077, 0.6487231, 1.0]], ['2, k, 9', [-0.03834811, 0.3601817, 1.0]], ['2, k, 10', [-0.007874398, 0.2823193, 1.0]], ['2, k, 11', [-0.02800407, 0.2043157, 1.0]], ['2, k, 12', [-0.2214613, 0.2167494, 1.0]], ['2, k, 13', [-0.2617175, -0.2180315, 1.0]], ['2, k, 14', [-0.2471637, -0.5603541, 1.0]], ['2, k, 15', [-0.2360434, -0.632588, 1.0]], ['2, k, 16', [-0.08984406, 0.2145396, 1.0]], ['2, k, 17', [-0.0699523, -0.2212556, 1.0]], ['2, k, 18', [-0.08566464, -0.5511103, 1.0]], ['2, k, 19', [-0.08501142, -0.622355, 1.0]], ['2, k, 20', [-0.1527985, 0.7030465, 1.0]], ['2, k, 21', [-0.3323625, 0.007973839, 1.0]], ['2, k, 22', [-0.3687515, 0.06511921, 1.0]], ['2, k, 23', [-0.02561917, 0.1704112, 1.0]], ['2, k, 24', [0.01100064, 0.1724827, 1.0]]]
[['2, k, 0', [-0.1577581, 0.2187514, 1.0]], ['2, k, 1', [-0.1551627, 0.4983122, 1.0]], ['2, k, 2', [-0.1526307, 0.7697036, 1.0]], ['2, k, 3', [-0.1492819, 0.9192798, 1.0]], ['2, k, 4', [-0.3034624, 0.6550507, 1.0]], ['2, k, 5', [-0.3727214, 0.4161811, 1.0]], ['2, k, 6', [-0.357238, 0.1589485, 1.0]], ['2, k, 7', [-0.3363964, 0.08427361, 1.0]], ['2, k, 8', [0.00499228, 0.6486799, 1.0]], ['2, k, 9', [-0.04263372, 0.3598933, 1.0]], ['2, k, 10', [-0.01214489, 0.2820314, 1.0]], ['2, k, 11', [-0.03227668, 0.2040277, 1.0]], ['2, k, 12', [-0.2219096, 0.216896, 1.0]], ['2, k, 13', [-0.2591852, -0.218165, 1.0]], ['2, k, 14', [-0.247297, -0.5608022, 1.0]], ['2, k, 15', [-0.2357834, -0.6336054, 1.0]], ['2, k, 16', [-0.09007753, 0.2148643, 1.0]], ['2, k, 17', [-0.06889772, -0.2211426, 1.0]], ['2, k, 18', [-0.08527196, -0.5509738, 1.0]], ['2, k, 19', [-0.08491319, -0.6225697, 1.0]], ['2, k, 20', [-0.153346, 0.7030795, 1.0]], ['2, k, 21', [-0.331874, 0.0073402, 1.0]], ['2, k, 22', [-0.3699199, 0.07597638, 1.0]], ['2, k, 23', [-0.02987482, 0.1701241, 1.0]], ['2, k, 24', [0.00918908, 0.1723604, 1.0]]]
[['2, k, 0', [-0.1578722, 0.2202439, 1.0]], ['2, k, 1', [-0.1555317, 0.4991854, 1.0]], ['2, k, 2', [-0.1532058, 0.7701042, 1.0]], ['2, k, 3', [-0.1501179, 0.9200509, 1.0]], ['2, k, 4', [-0.3053169, 0.6557772, 1.0]], ['2, k, 5', [-0.3729577, 0.4165089, 1.0]], ['2, k, 6', [-0.3563897, 0.1575044, 1.0]], ['2, k, 7', [-0.3350523, 0.08519197, 1.0]], ['2, k, 8', [0.00635059, 0.648826, 1.0]], ['2, k, 9', [-0.04462912, 0.3612587, 1.0]], ['2, k, 10', [-0.01413337, 0.2833921, 1.0]], ['2, k, 11', [-0.03426605, 0.2053888, 1.0]], ['2, k, 12', [-0.2220691, 0.2185393, 1.0]], ['2, k, 13', [-0.2586129, -0.2167072, 1.0]], ['2, k, 14', [-0.2472984, -0.5608046, 1.0]], ['2, k, 15', [-0.2361151, -0.6339134, 1.0]], ['2, k, 16', [-0.09009107, 0.2162932, 1.0]], ['2, k, 17', [-0.06970441, -0.2200135, 1.0]], ['2, k, 18', [-0.08497357, -0.5509503, 1.0]], ['2, k, 19', [-0.08447142, -0.6225106, 1.0]], ['2, k, 20', [-0.1538649, 0.7035998, 1.0]], ['2, k, 21', [-0.3295783, 0.007326031, 1.0]], ['2, k, 22', [-0.3686994, 0.0710589, 1.0]], ['2, k, 23', [-0.03185629, 0.1714798, 1.0]], ['2, k, 24', [0.00707528, 0.1731492, 1.0]]]
[['2, k, 0', [-0.1580098, 0.2218345, 1.0]], ['2, k, 1', [-0.1557365, 0.5001942, 1.0]], ['2, k, 2', [-0.1534199, 0.770717, 1.0]], ['2, k, 3', [-0.1506922, 0.9203322, 1.0]], ['2, k, 4', [-0.3075326, 0.6565824, 1.0]], ['2, k, 5', [-0.3724191, 0.4113565, 1.0]], ['2, k, 6', [-0.3562295, 0.1575591, 1.0]], ['2, k, 7', [-0.3342372, 0.0852445, 1.0]], ['2, k, 8', [0.005865092, 0.6497294, 1.0]], ['2, k, 9', [-0.04227519, 0.3682547, 1.0]], ['2, k, 10', [0.04372245, 0.568815, 1.0]], ['2, k, 11', [0.1053507, 0.6776742, 1.0]], ['2, k, 12', [-0.2222189, 0.2196139, 1.0]], ['2, k, 13', [-0.2587497, -0.2156955, 1.0]], ['2, k, 14', [-0.2469015, -0.5602641, 1.0]], ['2, k, 15', [-0.2359696, -0.6329592, 1.0]], ['2, k, 16', [-0.09013877, 0.2185952, 1.0]], ['2, k, 17', [-0.07022388, -0.2179136, 1.0]], ['2, k, 18', [-0.08451211, -0.5509772, 1.0]], ['2, k, 19', [-0.08441523, -0.6225367, 1.0]], ['2, k, 20', [-0.1540798, 0.7043112, 1.0]], ['2, k, 21', [-0.3283001, 0.008180471, 1.0]], ['2, k, 22', [-0.3669054, 0.07614221, 1.0]], ['2, k, 23', [0.100116, 0.6804115, 1.0]], ['2, k, 24', [0.0918425, 0.6775499, 1.0]]]
