[['2, k, 0', [-0.152587, -0.462677, 1.0]], ['2, k, 1', [-0.160966, -0.166359, 1.0]], ['2, k, 2', [-0.168102, 0.123508, 1.0]], ['2, k, 3', [-0.185479, 0.25586, 1.0]], ['2, k, 4', [-0.33891, 0.00509255, 1.0]], ['2, k, 5', [-0.36889, -0.217766, 1.0]], ['2, k, 6', [-0.353481, -0.424645, 1.0]], ['2, k, 7', [-0.34608, -0.468195, 1.0]], ['2, k, 8', [-0.00504494, 0.0207577, 1.0]], ['2, k, 9', [0.0495385, -0.22108, 1.0]], ['2, k, 10', [0.0490517, -0.428386, 1.0]], ['2, k, 11', [0.0426189, -0.455624, 1.0]], ['2, k, 12', [-0.226477, -0.459357, 1.0]], ['2, k, 13', [-0.272965, -0.749783, 1.0]], ['2, k, 14', [-0.297416, -1.07693, 1.0]], ['2, k, 15', [-0.287598, -1.1543, 1.0]], ['2, k, 16', [-0.0741783, -0.452376, 1.0]], ['2, k, 17', [-0.0308329, -0.754908, 1.0]], ['2, k, 18', [0.00800461, -1.08294, 1.0]], ['2, k, 19', [0.0176392, -1.13867, 1.0]], ['2, k, 20', [-0.166527, 0.0519667, 1.0]], ['2, k, 21', [-0.336974, -0.520788, 1.0]], ['2, k, 22', [-0.314595, -0.463828, 1.0]], ['2, k, 23', [0.0493681, -0.51162, 1.0]], ['2, k, 24', [0.0174462, -0.455078, 1.0]]]
[['2, k, 0', [-0.152509, -0.462716, 1.0]], ['2, k, 1', [-0.160932, -0.166367, 1.0]], ['2, k, 2', [-0.168089, 0.123515, 1.0]], ['2, k, 3', [-0.185656, 0.255991, 1.0]], ['2, k, 4', [-0.338901, 0.00512297, 1.0]], ['2, k, 5', [-0.368846, -0.21789, 1.0]], ['2, k, 6', [-0.353447, -0.425249, 1.0]], ['2, k, 7', [-0.346182, -0.46875, 1.0]], ['2, k, 8', [-0.00500021, 0.020827, 1.0]], ['2, k, 9', [0.0496156, -0.223267, 1.0]], ['2, k, 10', [0.049043, -0.431041, 1.0]], ['2, k, 11', [0.0428896, -0.456126, 1.0]], ['2, k, 12', [-0.226403, -0.459397, 1.0]], ['2, k, 13', [-0.272986, -0.749955, 1.0]], ['2, k, 14', [-0.297654, -1.07724, 1.0]], ['2, k, 15', [-0.290529, -1.15229, 1.0]], ['2, k, 16', [-0.0740982, -0.452414, 1.0]], ['2, k, 17', [-0.0307888, -0.754853, 1.0]], ['2, k, 18', [0.00805236, -1.08285, 1.0]], ['2, k, 19', [0.0176859, -1.13872, 1.0]], ['2, k, 20', [-0.166512, 0.0519707, 1.0]], ['2, k, 21', [-0.340299, -0.521255, 1.0]], ['2, k, 22', [-0.315109, -0.461585, 1.0]], ['2, k, 23', [0.0478768, -0.510764, 1.0]], ['2, k, 24', [0.0178384, -0.454, 1.0]]]
[['2, k, 0', [-0.152446, -0.462704, 1.0]], ['2, k, 1', [-0.160913, -0.16638, 1.0]], ['2, k, 2', [-0.16809, 0.123441, 1.0]], ['2, k, 3', [-0.185768, 0.256035, 1.0]], ['2, k, 4', [-0.338901, 0.00512555, 1.0]], ['2, k, 5', [-0.36863, -0.218292, 1.0]], ['2, k, 6', [-0.353409, -0.425813, 1.0]], ['2, k, 7', [-0.345878, -0.468042, 1.0]], ['2, k, 8', [-0.00499, 0.020856, 1.0]], ['2, k, 9', [0.0495462, -0.22281, 1.0]], ['2, k, 10', [0.0490874, -0.430746, 1.0]], ['2, k, 11', [0.042581, -0.457393, 1.0]], ['2, k, 12', [-0.22632, -0.459391, 1.0]], ['2, k, 13', [-0.272917, -0.750053, 1.0]], ['2, k, 14', [-0.297743, -1.07748, 1.0]], ['2, k, 15', [-0.294227, -1.15096, 1.0]], ['2, k, 16', [-0.074044, -0.452398, 1.0]], ['2, k, 17', [-0.0305872, -0.754824, 1.0]], ['2, k, 18', [0.00876164, -1.08202, 1.0]], ['2, k, 19', [0.0176862, -1.1387, 1.0]], ['2, k, 20', [-0.166504, 0.0519181, 1.0]], ['2, k, 21', [-0.336884, -0.52064, 1.0]], ['2, k, 22', [-0.314482, -0.458225, 1.0]], ['2, k, 23', [0.0474963, -0.51571, 1.0]], ['2, k, 24', [0.0184824, -0.468178, 1.0]]]
[['2, k, 0', [-0.15239, -0.462695, 1.0]], ['2, k, 1', [-0.160933, -0.166372, 1.0]], ['2, k, 2', [-0.168333, 0.123474, 1.0]], ['2, k, 3', [-0.185845, 0.256105, 1.0]], ['2, k, 4', [-0.338892, 0.00515536, 1.0]], ['2, k, 5', [-0.36863, -0.21823, 1.0]], ['2, k, 6', [-0.353408, -0.425946, 1.0]], ['2, k, 7', [-0.346445, -0.46831, 1.0]], ['2, k, 8', [-0.00497163, 0.0209205, 1.0]], ['2, k, 9', [0.0496012, -0.223795, 1.0]], ['2, k, 10', [0.0490958, -0.431902, 1.0]], ['2, k, 11', [0.0433626, -0.458908, 1.0]], ['2, k, 12', [-0.226263, -0.459383, 1.0]], ['2, k, 13', [-0.272905, -0.750018, 1.0]], ['2, k, 14', [-0.297754, -1.07749, 1.0]], ['2, k, 15', [-0.295154, -1.15139, 1.0]], ['2, k, 16', [-0.0739752, -0.452385, 1.0]], ['2, k, 17', [-0.0306535, -0.753615, 1.0]], ['2, k, 18', [0.00853499, -1.0816, 1.0]], ['2, k, 19', [0.0177172, -1.1387, 1.0]], ['2, k, 20', [-0.166668, 0.0519435, 1.0]], ['2, k, 21', [-0.3389, -0.522529, 1.0]], ['2, k, 22', [-0.315022, -0.460652, 1.0]], ['2, k, 23', [0.0487224, -0.517494, 1.0]], ['2, k, 24', [0.01762, -0.455141, 1.0]]]
[['2, k, 0', [-0.152346, -0.462781, 1.0]], ['2, k, 1', [-0.160883, -0.166395, 1.0]], ['2, k, 2', [-0.168243, 0.123497, 1.0]], ['2, k, 3', [-0.186152, 0.256122, 1.0]], ['2, k, 4', [-0.33884, 0.00523913, 1.0]], ['2, k, 5', [-0.368617, -0.218098, 1.0]], ['2, k, 6', [-0.353357, -0.42601, 1.0]], ['2, k, 7', [-0.346614, -0.468986, 1.0]], ['2, k, 8', [-0.00493554, 0.021028, 1.0]], ['2, k, 9', [0.0495922, -0.224785, 1.0]], ['2, k, 10', [0.0492744, -0.433065, 1.0]], ['2, k, 11', [0.0441048, -0.458067, 1.0]], ['2, k, 12', [-0.226224, -0.459462, 1.0]], ['2, k, 13', [-0.272881, -0.750027, 1.0]], ['2, k, 14', [-0.297849, -1.07764, 1.0]], ['2, k, 15', [-0.295403, -1.1504, 1.0]], ['2, k, 16', [-0.0739282, -0.452473, 1.0]], ['2, k, 17', [-0.0305656, -0.753585, 1.0]], ['2, k, 18', [0.00854602, -1.0816, 1.0]], ['2, k, 19', [0.0177178, -1.13874, 1.0]], ['2, k, 20', [-0.166594, 0.0519523, 1.0]], ['2, k, 21', [-0.338808, -0.521026, 1.0]], ['2, k, 22', [-0.315078, -0.45681, 1.0]], ['2, k, 23', [0.0522845, -0.516476, 1.0]], ['2, k, 24', [0.0179438, -0.455633, 1.0]]]
[['2, k, 0', [-0.152334, -0.462768, 1.0]], ['2, k, 1', [-0.160861, -0.166373, 1.0]], ['2, k, 2', [-0.168202, 0.123532, 1.0]], ['2, k, 3', [-0.186218, 0.256239, 1.0]], ['2, k, 4', [-0.338789, 0.00531866, 1.0]], ['2, k, 5', [-0.368484, -0.218327, 1.0]], ['2, k, 6', [-0.353335, -0.426461, 1.0]], ['2, k, 7', [-0.346471, -0.467532, 1.0]], ['2, k, 8', [-0.0049141, 0.0211071, 1.0]], ['2, k, 9', [0.0495581, -0.225807, 1.0]], ['2, k, 10', [0.049527, -0.434302, 1.0]], ['2, k, 11', [0.0438288, -0.462535, 1.0]], ['2, k, 12', [-0.226214, -0.45945, 1.0]], ['2, k, 13', [-0.272753, -0.749212, 1.0]], ['2, k, 14', [-0.297722, -1.07746, 1.0]], ['2, k, 15', [-0.293837, -1.14591, 1.0]], ['2, k, 16', [-0.0739158, -0.45246, 1.0]], ['2, k, 17', [-0.028524, -0.741883, 1.0]], ['2, k, 18', [0.00778273, -1.07476, 1.0]], ['2, k, 19', [0.0171506, -1.12926, 1.0]], ['2, k, 20', [-0.166559, 0.0519836, 1.0]], ['2, k, 21', [-0.336001, -0.521266, 1.0]], ['2, k, 22', [-0.3149, -0.46341, 1.0]], ['2, k, 23', [0.0492016, -0.522676, 1.0]], ['2, k, 24', [0.0179159, -0.467941, 1.0]]]
[['2, k, 0', [-0.151995, -0.462653, 1.0]], ['2, k, 1', [-0.160681, -0.166327, 1.0]], ['2, k, 2', [-0.168099, 0.123544, 1.0]], ['2, k, 3', [-0.186474, 0.256215, 1.0]], ['2, k, 4', [-0.338795, 0.00534237, 1.0]], ['2, k, 5', [-0.368389, -0.218569, 1.0]], ['2, k, 6', [-0.353278, -0.426455, 1.0]], ['2, k, 7', [-0.346157, -0.467961, 1.0]], ['2, k, 8', [-0.00499166, 0.0211711, 1.0]], ['2, k, 9', [0.0501785, -0.218609, 1.0]], ['2, k, 10', [0.0496859, -0.426993, 1.0]], ['2, k, 11', [0.0448532, -0.46194, 1.0]], ['2, k, 12', [-0.225892, -0.459347, 1.0]], ['2, k, 13', [-0.272685, -0.746586, 1.0]], ['2, k, 14', [-0.298182, -1.07526, 1.0]], ['2, k, 15', [-0.294639, -1.14243, 1.0]], ['2, k, 16', [-0.0735735, -0.452337, 1.0]], ['2, k, 17', [-0.0286138, -0.742093, 1.0]], ['2, k, 18', [0.00814797, -1.07498, 1.0]], ['2, k, 19', [0.0170486, -1.12785, 1.0]], ['2, k, 20', [-0.166444, 0.0520024, 1.0]], ['2, k, 21', [-0.338288, -0.521346, 1.0]], ['2, k, 22', [-0.314911, -0.465007, 1.0]], ['2, k, 23', [0.0483502, -0.523238, 1.0]], ['2, k, 24', [0.0167189, -0.473241, 1.0]]]
[['2, k, 0', [-0.151873, -0.462459, 1.0]], ['2, k, 1', [-0.16062, -0.166278, 1.0]], ['2, k, 2', [-0.168053, 0.123522, 1.0]], ['2, k, 3', [-0.18686, 0.256116, 1.0]], ['2, k, 4', [-0.338842, 0.00533748, 1.0]], ['2, k, 5', [-0.368285, -0.21865, 1.0]], ['2, k, 6', [-0.353261, -0.426627, 1.0]], ['2, k, 7', [-0.346259, -0.467754, 1.0]], ['2, k, 8', [-0.00499014, 0.0211768, 1.0]], ['2, k, 9', [0.0503309, -0.223817, 1.0]], ['2, k, 10', [0.0498124, -0.432235, 1.0]], ['2, k, 11', [0.0450793, -0.462984, 1.0]], ['2, k, 12', [-0.225772, -0.459161, 1.0]], ['2, k, 13', [-0.272664, -0.746194, 1.0]], ['2, k, 14', [-0.298572, -1.07483, 1.0]], ['2, k, 15', [-0.294677, -1.14232, 1.0]], ['2, k, 16', [-0.0734468, -0.452128, 1.0]], ['2, k, 17', [-0.0286743, -0.742182, 1.0]], ['2, k, 18', [0.00764701, -1.07389, 1.0]], ['2, k, 19', [0.0165666, -1.12741, 1.0]], ['2, k, 20', [-0.166398, 0.0519981, 1.0]], ['2, k, 21', [-0.338254, -0.521268, 1.0]], ['2, k, 22', [-0.315272, -0.460763, 1.0]], ['2, k, 23', [0.0511946, -0.521977, 1.0]], ['2, k, 24', [0.0167294, -0.459606, 1.0]]]
[['2, k, 0', [-0.151587, -0.462122, 1.0]], ['2, k, 1', [-0.160503, -0.16619, 1.0]], ['2, k, 2', [-0.168022, 0.123512, 1.0]], ['2, k, 3', [-0.18719, 0.256018, 1.0]], ['2, k, 4', [-0.338915, 0.00532814, 1.0]], ['2, k, 5', [-0.367877, -0.221254, 1.0]], ['2, k, 6', [-0.353101, -0.429486, 1.0]], ['2, k, 7', [-0.344496, -0.467482, 1.0]], ['2, k, 8', [-0.00499776, 0.021188, 1.0]], ['2, k, 9', [0.0505149, -0.226296, 1.0]], ['2, k, 10', [0.0501887, -0.43499, 1.0]], ['2, k, 11', [0.0454912, -0.462679, 1.0]], ['2, k, 12', [-0.225486, -0.458829, 1.0]], ['2, k, 13', [-0.27236, -0.745757, 1.0]], ['2, k, 14', [-0.298434, -1.07469, 1.0]], ['2, k, 15', [-0.294393, -1.14188, 1.0]], ['2, k, 16', [-0.0731647, -0.45179, 1.0]], ['2, k, 17', [-0.0282185, -0.742473, 1.0]], ['2, k, 18', [0.00807519, -1.07452, 1.0]], ['2, k, 19', [0.0191105, -1.13534, 1.0]], ['2, k, 20', [-0.166356, 0.0520012, 1.0]], ['2, k, 21', [-0.335699, -0.520805, 1.0]], ['2, k, 22', [-0.314144, -0.459081, 1.0]], ['2, k, 23', [0.0512529, -0.522702, 1.0]], ['2, k, 24', [0.016415, -0.457204, 1.0]]]
[['2, k, 0', [-0.151517, -0.462048, 1.0]], ['2, k, 1', [-0.160446, -0.166192, 1.0]], ['2, k, 2', [-0.16795, 0.123409, 1.0]], ['2, k, 3', [-0.187811, 0.255725, 1.0]], ['2, k, 4', [-0.338957, 0.00536941, 1.0]], ['2, k, 5', [-0.367719, -0.222433, 1.0]], ['2, k, 6', [-0.352986, -0.431005, 1.0]], ['2, k, 7', [-0.345799, -0.4668, 1.0]], ['2, k, 8', [-0.00501172, 0.0211791, 1.0]], ['2, k, 9', [0.0505339, -0.227865, 1.0]], ['2, k, 10', [0.0506362, -0.436887, 1.0]], ['2, k, 11', [0.0471257, -0.462528, 1.0]], ['2, k, 12', [-0.225456, -0.458834, 1.0]], ['2, k, 13', [-0.272255, -0.745348, 1.0]], ['2, k, 14', [-0.298887, -1.07471, 1.0]], ['2, k, 15', [-0.294441, -1.14198, 1.0]], ['2, k, 16', [-0.0730013, -0.45149, 1.0]], ['2, k, 17', [-0.0275342, -0.743366, 1.0]], ['2, k, 18', [0.00856931, -1.07515, 1.0]], ['2, k, 19', [0.019039, -1.13547, 1.0]], ['2, k, 20', [-0.16629, 0.0519319, 1.0]], ['2, k, 21', [-0.338615, -0.519756, 1.0]], ['2, k, 22', [-0.315819, -0.456489, 1.0]], ['2, k, 23', [0.0491177, -0.521816, 1.0]], ['2, k, 24', [0.0176675, -0.463532, 1.0]]]
[['2, k, 0', [-0.151358, -0.461926, 1.0]], ['2, k, 1', [-0.160418, -0.166139, 1.0]], ['2, k, 2', [-0.167987, 0.123419, 1.0]], ['2, k, 3', [-0.188467, 0.255318, 1.0]], ['2, k, 4', [-0.339577, 0.00493432, 1.0]], ['2, k, 5', [-0.367522, -0.223137, 1.0]], ['2, k, 6', [-0.352949, -0.432027, 1.0]], ['2, k, 7', [-0.346324, -0.466876, 1.0]], ['2, k, 8', [-0.00505891, 0.0211763, 1.0]], ['2, k, 9', [0.0505642, -0.228659, 1.0]], ['2, k, 10', [0.051212, -0.438, 1.0]], ['2, k, 11', [0.0469042, -0.462011, 1.0]], ['2, k, 12', [-0.225374, -0.458928, 1.0]], ['2, k, 13', [-0.271957, -0.745182, 1.0]], ['2, k, 14', [-0.29868, -1.07473, 1.0]], ['2, k, 15', [-0.293943, -1.14137, 1.0]], ['2, k, 16', [-0.0726982, -0.450892, 1.0]], ['2, k, 17', [-0.0268515, -0.743536, 1.0]], ['2, k, 18', [0.00878111, -1.07499, 1.0]], ['2, k, 19', [0.0189848, -1.13504, 1.0]], ['2, k, 20', [-0.166315, 0.0519494, 1.0]], ['2, k, 21', [-0.32963, -0.524812, 1.0]], ['2, k, 22', [-0.315916, -0.465471, 1.0]], ['2, k, 23', [0.0511436, -0.521463, 1.0]], ['2, k, 24', [0.0171535, -0.465318, 1.0]]]
