[['2, k, 0', [13.44292, 81.17391, 1.0]], ['2, k, 1', [9.748088778925082, 110.79368881905356, 1.0]], ['2, k, 2', [6.788075835502098, 133.39093412197627, 1.0]], ['2, k, 3', [5.920968972501529, 139.87102896265841, 1.0]], ['2, k, 4', [21.62903094688695, 128.94884556622318, 1.0]], ['2, k, 5', [23.24971352368979, 99.26311065668241, 1.0]], ['2, k, 6', [24.653236805269398, 77.96231416569304, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-6.289959693747721, 126.48789202829863, 1.0]], ['2, k, 9', [-15.94985314241164, 105.80351624077781, 1.0]], ['2, k, 10', [-20.782474693058994, 84.48918097084885, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [17.6959796669457, 81.09815766393459, 1.0]], ['2, k, 13', [12.5248681841131, 45.38076477256051, 1.0]], ['2, k, 14', [6.635730589013866, 10.61611372343338, 1.0]], ['2, k, 15', [13.496805664437087, 7.698482170708676, 1.0]], ['2, k, 16', [8.764659365038142, 81.69589831818602, 1.0]], ['2, k, 17', [1.367813114145422, 48.34223044113562, 1.0]], ['2, k, 18', [-4.217448476427054, 11.048096965977791, 1.0]], ['2, k, 19', [2.947263801240771, 7.874075994157634, 1.0]], ['2, k, 20', [6.788075835502098, 133.39093412197627, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [13.577420000000002, 81.01152333333334, 1.0]], ['2, k, 1', [9.63504477772397, 110.77196557195212, 1.0]], ['2, k, 2', [6.556089496755718, 133.40447615368618, 1.0]], ['2, k, 3', [5.6577635790910055, 139.8938353356895, 1.0]], ['2, k, 4', [21.414238794363968, 128.97398903176395, 1.0]], ['2, k, 5', [23.108338625358975, 99.29293593386949, 1.0]], ['2, k, 6', [24.498643952435124, 77.98263669620887, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-6.505064134370722, 126.43920625544004, 1.0]], ['2, k, 9', [-16.133996223606133, 105.79297905999087, 1.0]], ['2, k, 10', [-20.901158720812695, 84.26802222254496, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [17.860470672800375, 80.91677786501083, 1.0]], ['2, k, 13', [12.200513788092204, 45.41279154328949, 1.0]], ['2, k, 14', [5.884142014130676, 10.556220695063601, 1.0]], ['2, k, 15', [12.750756855348776, 7.8037964727670275, 1.0]], ['2, k, 16', [8.897097580010245, 81.43175259208398, 1.0]], ['2, k, 17', [1.092002675154002, 48.414733842903615, 1.0]], ['2, k, 18', [-4.7833218080953195, 11.177947403209615, 1.0]], ['2, k, 19', [2.3801418455477545, 8.276902300760486, 1.0]], ['2, k, 20', [6.556089496755718, 133.40447615368618, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [13.563386, 80.82508, 1.0]], ['2, k, 1', [9.528137339003745, 110.72871593604533, 1.0]], ['2, k, 2', [6.414826016265484, 133.39700854992554, 1.0]], ['2, k, 3', [5.506633363859858, 139.89004769806212, 1.0]], ['2, k, 4', [21.288688546836234, 128.98809907030244, 1.0]], ['2, k, 5', [23.09324045555528, 99.31500511473847, 1.0]], ['2, k, 6', [24.461884882523915, 78.00784728432282, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-6.6148629908068255, 126.40433628967426, 1.0]], ['2, k, 9', [-16.17447862874051, 105.76504036587424, 1.0]], ['2, k, 10', [-20.825291768503284, 83.95305028333907, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [17.873097793101323, 80.75577713480281, 1.0]], ['2, k, 13', [12.04784667791558, 45.43866583403562, 1.0]], ['2, k, 14', [5.52108089517272, 10.558027694064236, 1.0]], ['2, k, 15', [12.395252868205105, 7.870306279162117, 1.0]], ['2, k, 16', [8.860050783639146, 81.1231902980685, 1.0]], ['2, k, 17', [1.059555637135153, 48.4292213128404, 1.0]], ['2, k, 18', [-4.922474842827291, 11.10646191008302, 1.0]], ['2, k, 19', [1.631330845049897, 5.070436204011985, 1.0]], ['2, k, 20', [6.414826016265484, 133.39700854992554, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [13.52911, 80.659108, 1.0]], ['2, k, 1', [9.48995505164601, 110.69394464916083, 1.0]], ['2, k, 2', [6.380715968684521, 133.4047311110506, 1.0]], ['2, k, 3', [5.471818240108287, 139.90377236303326, 1.0]], ['2, k, 4', [21.272284533974705, 129.02634388525033, 1.0]], ['2, k, 5', [23.216494805471573, 99.36343312480982, 1.0]], ['2, k, 6', [24.551735764109534, 78.065349894424, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-6.622563335891735, 126.381280915351, 1.0]], ['2, k, 9', [-16.123528589070247, 105.73549804482901, 1.0]], ['2, k, 10', [-20.657096873871996, 83.74207621561615, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [17.846242780392462, 80.57618423977576, 1.0]], ['2, k, 13', [12.060179935920898, 45.43856436703678, 1.0]], ['2, k, 14', [5.454050024665193, 10.518174543032472, 1.0]], ['2, k, 15', [12.341213391315275, 7.845945227951097, 1.0]], ['2, k, 16', [8.832752456818236, 80.88446891232884, 1.0]], ['2, k, 17', [1.1388105664558594, 48.40706319519681, 1.0]], ['2, k, 18', [-4.850540700738059, 11.087572901073273, 1.0]], ['2, k, 19', [1.8610650912240594, 5.929182343114906, 1.0]], ['2, k, 20', [6.380715968684521, 133.4047311110506, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [13.510896000000002, 80.52049199999999, 1.0]], ['2, k, 1', [9.493729980312253, 110.66404102381773, 1.0]], ['2, k, 2', [6.405964892273569, 133.41167267645, 1.0]], ['2, k, 3', [5.502568471707445, 139.91393571607722, 1.0]], ['2, k, 4', [21.310664543440673, 129.05672647197355, 1.0]], ['2, k, 5', [23.395720502402995, 99.40466312644688, 1.0]], ['2, k, 6', [24.6839540121892, 78.11543696080336, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-6.5659451180003625, 126.37211761645588, 1.0]], ['2, k, 9', [-16.02918831332107, 105.71913206484811, 1.0]], ['2, k, 10', [-20.483228563371934, 83.55220426335146, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [17.84044518245379, 80.43474640964482, 1.0]], ['2, k, 13', [12.094296998554341, 45.43088046578555, 1.0]], ['2, k, 14', [5.417515391458628, 10.487341322305987, 1.0]], ['2, k, 15', [12.312588676872288, 7.815580914681279, 1.0]], ['2, k, 16', [8.834726969664073, 80.68950134849851, 1.0]], ['2, k, 17', [1.2502254236282893, 48.393735083523, 1.0]], ['2, k, 18', [-4.737334095472583, 11.057884981292872, 1.0]], ['2, k, 19', [1.8091262794877343, 5.655755510533198, 1.0]], ['2, k, 20', [6.405964892273569, 133.41167267645, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [13.360949999999999, 80.41339200000002, 1.0]], ['2, k, 1', [9.368330931257342, 110.61956559374303, 1.0]], ['2, k, 2', [6.304468248628559, 133.40056676595887, 1.0]], ['2, k, 3', [5.40877241558578, 139.906393864422, 1.0]], ['2, k, 4', [21.220307483138726, 129.06507880044663, 1.0]], ['2, k, 5', [23.43715285168963, 99.42587757720757, 1.0]], ['2, k, 6', [24.70388643709246, 78.12637336554589, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-6.632437893018636, 126.34743586383003, 1.0]], ['2, k, 9', [-16.074772061217335, 105.65832961932615, 1.0]], ['2, k, 10', [-20.45296815924889, 83.4336978760916, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [17.685511404313715, 80.33810544047087, 1.0]], ['2, k, 13', [11.942067337595184, 45.44996957488038, 1.0]], ['2, k, 14', [5.173592361077221, 10.514215486028519, 1.0]], ['2, k, 15', [12.073845521208936, 7.839524355103732, 1.0]], ['2, k, 16', [8.672344104920487, 80.54289515594748, 1.0]], ['2, k, 17', [1.2065706925392083, 48.39383640216235, 1.0]], ['2, k, 18', [-4.808821341595152, 10.91417591164339, 1.0]], ['2, k, 19', [1.3001648491503346, 4.577817017130697, 1.0]], ['2, k, 20', [6.304468248628559, 133.40056676595887, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [13.250284000000002, 80.32294199999998, 1.0]], ['2, k, 1', [9.170505078382067, 110.55792894646059, 1.0]], ['2, k, 2', [6.100639030555847, 133.36840494295134, 1.0]], ['2, k, 3', [5.21121749427109, 139.87709189719408, 1.0]], ['2, k, 4', [21.022009809528207, 129.0323354520338, 1.0]], ['2, k, 5', [23.34641559165831, 99.40334546979999, 1.0]], ['2, k, 6', [24.531659221443274, 78.0800379232697, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-6.804002917915006, 126.31478321250621, 1.0]], ['2, k, 9', [-16.26096205098464, 105.59753732223734, 1.0]], ['2, k, 10', [-20.591192825045397, 83.36274728164872, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [17.559170644294685, 80.25623275414836, 1.0]], ['2, k, 13', [11.553459498319796, 45.50944834638596, 1.0]], ['2, k, 14', [4.576125569676679, 10.593261685922101, 1.0]], ['2, k, 15', [11.475509983610323, 7.9400733625108835, 1.0]], ['2, k, 16', [8.553958399397565, 80.42825535291453, 1.0]], ['2, k, 17', [1.0387901658592824, 48.40614869000741, 1.0]], ['2, k, 18', [-5.0410264623923275, 10.847848087749817, 1.0]], ['2, k, 19', [1.214697263811896, 5.0646382144353135, 1.0]], ['2, k, 20', [6.100639030555847, 133.36840494295134, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [13.165788000000001, 80.263086, 1.0]], ['2, k, 1', [9.048097541173135, 110.51856201572426, 1.0]], ['2, k, 2', [5.973592853398509, 133.35335247757237, 1.0]], ['2, k, 3', [5.08743150821112, 139.86365813560343, 1.0]], ['2, k, 4', [20.90065434158638, 129.01636503096333, 1.0]], ['2, k, 5', [23.312725562171668, 99.3964489536175, 1.0]], ['2, k, 6', [24.41915657547679, 78.05349008062143, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-6.900682767153289, 126.30308663589332, 1.0]], ['2, k, 9', [-16.361442343671428, 105.59071585006014, 1.0]], ['2, k, 10', [-20.681842306716188, 83.30864717629521, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [17.47668442646411, 80.2063179948269, 1.0]], ['2, k, 13', [11.384681871953791, 45.49600505490025, 1.0]], ['2, k, 14', [4.339771010065124, 10.589278694389137, 1.0]], ['2, k, 15', [11.242168312671847, 7.936328809544641, 1.0]], ['2, k, 16', [8.514201356720443, 80.35028974516199, 1.0]], ['2, k, 17', [0.9849341858153933, 48.426308637146875, 1.0]], ['2, k, 18', [-5.1244101894040455, 10.779323103512347, 1.0]], ['2, k, 19', [1.2483122327539027, 5.36652020360836, 1.0]], ['2, k, 20', [5.973592853398509, 133.35335247757237, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [13.108466000000002, 80.22172199999999, 1.0]], ['2, k, 1', [8.978616265287837, 110.49172050797289, 1.0]], ['2, k, 2', [5.899679185397019, 133.34477897244832, 1.0]], ['2, k, 3', [5.015272545386999, 139.8560139963558, 1.0]], ['2, k, 4', [20.830877319471092, 129.00705325974963, 1.0]], ['2, k, 5', [23.31976009454722, 99.39573588234775, 1.0]], ['2, k, 6', [24.37154120412572, 78.03461495705147, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-6.947994911270908, 126.29658387476836, 1.0]], ['2, k, 9', [-16.409928747705624, 105.60086299630088, 1.0]], ['2, k, 10', [-20.732032278786427, 83.27079342386352, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [17.424629567195296, 80.17965966563345, 1.0]], ['2, k, 13', [11.282286814423273, 45.4835040873298, 1.0]], ['2, k, 14', [4.195251509431285, 10.586265541785032, 1.0]], ['2, k, 15', [11.103016610785382, 7.9373946632772965, 1.0]], ['2, k, 16', [8.499990447238009, 80.29333529990214, 1.0]], ['2, k, 17', [0.9906245635523332, 48.43990872740147, 1.0]], ['2, k, 18', [-5.122700709371475, 10.735721765615246, 1.0]], ['2, k, 19', [0.9831469979676326, 5.88417726921157, 1.0]], ['2, k, 20', [5.899679185397019, 133.34477897244832, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [13.24819, 80.185726, 1.0]], ['2, k, 1', [9.04611040736254, 110.47286432715083, 1.0]], ['2, k, 2', [5.948948998079972, 133.34278155020817, 1.0]], ['2, k, 3', [5.065956347703994, 139.8547495013556, 1.0]], ['2, k, 4', [20.87853127480087, 128.99368954688086, 1.0]], ['2, k, 5', [23.389761864587186, 99.38880510147574, 1.0]], ['2, k, 6', [24.413462776117324, 78.00764183628382, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-6.883458509501266, 126.30205467407539, 1.0]], ['2, k, 9', [-16.37009385108125, 105.65275228953661, 1.0]], ['2, k, 10', [-20.72234256532883, 83.28990879606476, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [17.609023781103996, 80.18404241575759, 1.0]], ['2, k, 13', [11.283293933006336, 45.46524240587297, 1.0]], ['2, k, 14', [4.108530603298072, 10.58615191832834, 1.0]], ['2, k, 15', [10.663739474747771, 7.555944004749465, 1.0]], ['2, k, 16', [8.673979880349712, 80.22396062536825, 1.0]], ['2, k, 17', [1.0856448147880338, 48.453915708441755, 1.0]], ['2, k, 18', [-5.022406419455775, 10.886610221077468, 1.0]], ['2, k, 19', [1.1182292634063362, 6.262180751593188, 1.0]], ['2, k, 20', [5.948948998079972, 133.34278155020817, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [13.389576, 80.15978399999999, 1.0]], ['2, k, 1', [9.181162041434673, 110.46884232233324, 1.0]], ['2, k, 2', [6.0852116799314055, 133.35476722691976, 1.0]], ['2, k, 3', [5.20677745288541, 139.86774280193816, 1.0]], ['2, k, 4', [21.012188356901845, 128.9913419617956, 1.0]], ['2, k, 5', [23.524773716615197, 99.39210174763353, 1.0]], ['2, k, 6', [24.538583090625757, 77.99730296529687, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-6.7372652723777655, 126.32954491019284, 1.0]], ['2, k, 9', [-16.25812086629071, 105.73961740514488, 1.0]], ['2, k, 10', [-20.66557683032677, 83.38514044509517, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [17.801841881743353, 80.19001759675255, 1.0]], ['2, k, 13', [11.390709641446989, 45.416895810369304, 1.0]], ['2, k, 14', [4.1930658832494885, 10.55159970208257, 1.0]], ['2, k, 15', [10.755221009038742, 7.531411711005541, 1.0]], ['2, k, 16', [8.865926423270938, 80.16792257864857, 1.0]], ['2, k, 17', [1.2282828413300164, 48.472652952929494, 1.0]], ['2, k, 18', [-4.894002190338298, 10.946181747509534, 1.0]], ['2, k, 19', [1.2494503010633586, 6.514957339951667, 1.0]], ['2, k, 20', [6.0852116799314055, 133.35476722691976, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
