[['2, k, 0', [-0.2727521, 0.04369504, 1.0]], ['2, k, 1', [-0.2792259, 0.3582135, 1.0]], ['2, k, 2', [-0.2848961, 0.660877, 1.0]], ['2, k, 3', [-0.2781826, 0.8111799, 1.0]], ['2, k, 4', [-0.4365796, 0.5348976, 1.0]], ['2, k, 5', [-0.493262, 0.3125759, 1.0]], ['2, k, 6', [-0.4444264, 0.1352115, 1.0]], ['2, k, 7', [-0.4171568, 0.09732684, 1.0]], ['2, k, 8', [-0.1108765, 0.5301773, 1.0]], ['2, k, 9', [-0.06342214, 0.2710129, 1.0]], ['2, k, 10', [-0.05038681, 0.0420371, 1.0]], ['2, k, 11', [-0.06575212, -0.01181067, 1.0]], ['2, k, 12', [-0.3442101, 0.04126853, 1.0]], ['2, k, 13', [-0.3812554, -0.290781, 1.0]], ['2, k, 14', [-0.4022169, -0.6532654, 1.0]], ['2, k, 15', [-0.3986373, -0.7205144, 1.0]], ['2, k, 16', [-0.1922283, 0.04455241, 1.0]], ['2, k, 17', [-0.1648296, -0.2948186, 1.0]], ['2, k, 18', [-0.1694717, -0.6353241, 1.0]], ['2, k, 19', [-0.1472176, -0.7237246, 1.0]], ['2, k, 20', [-0.2836417, 0.5868341, 1.0]], ['2, k, 21', [-0.3979792, 0.06236774, 1.0]], ['2, k, 22', [-0.4432315, 0.07850386, 1.0]], ['2, k, 23', [-0.06171748, -0.08479854, 1.0]], ['2, k, 24', [-0.1022861, -0.01635178, 1.0]]]
[['2, k, 0', [-0.2726171, 0.0434546, 1.0]], ['2, k, 1', [-0.2794005, 0.3581124, 1.0]], ['2, k, 2', [-0.2854927, 0.6608477, 1.0]], ['2, k, 3', [-0.2788289, 0.8110473, 1.0]], ['2, k, 4', [-0.4367053, 0.5337812, 1.0]], ['2, k, 5', [-0.4933781, 0.3116846, 1.0]], ['2, k, 6', [-0.4443219, 0.1345173, 1.0]], ['2, k, 7', [-0.4111778, 0.0898269, 1.0]], ['2, k, 8', [-0.1110752, 0.5301976, 1.0]], ['2, k, 9', [-0.06350323, 0.2710464, 1.0]], ['2, k, 10', [-0.05186718, 0.0303466, 1.0]], ['2, k, 11', [-0.06698716, -0.01316387, 1.0]], ['2, k, 12', [-0.3440858, 0.04097101, 1.0]], ['2, k, 13', [-0.3812609, -0.2907824, 1.0]], ['2, k, 14', [-0.4025328, -0.6532134, 1.0]], ['2, k, 15', [-0.3986257, -0.7205193, 1.0]], ['2, k, 16', [-0.1920922, 0.04438977, 1.0]], ['2, k, 17', [-0.1647914, -0.295552, 1.0]], ['2, k, 18', [-0.1694432, -0.6359626, 1.0]], ['2, k, 19', [-0.1480285, -0.7232808, 1.0]], ['2, k, 20', [-0.2841274, 0.5867824, 1.0]], ['2, k, 21', [-0.3972504, 0.05635826, 1.0]], ['2, k, 22', [-0.4418365, 0.07262567, 1.0]], ['2, k, 23', [-0.06546738, -0.08013683, 1.0]], ['2, k, 24', [-0.1030155, -0.002812772, 1.0]]]
[['2, k, 0', [-0.2725619, 0.04344544, 1.0]], ['2, k, 1', [-0.2794198, 0.3580979, 1.0]], ['2, k, 2', [-0.2855969, 0.6608086, 1.0]], ['2, k, 3', [-0.2796465, 0.8110132, 1.0]], ['2, k, 4', [-0.4366868, 0.5342289, 1.0]], ['2, k, 5', [-0.4934302, 0.311654, 1.0]], ['2, k, 6', [-0.4443757, 0.1345121, 1.0]], ['2, k, 7', [-0.4112825, 0.08967363, 1.0]], ['2, k, 8', [-0.1111923, 0.5302373, 1.0]], ['2, k, 9', [-0.06360665, 0.2711095, 1.0]], ['2, k, 10', [-0.05154381, 0.03550956, 1.0]], ['2, k, 11', [-0.06617741, -0.01485725, 1.0]], ['2, k, 12', [-0.3440378, 0.04096469, 1.0]], ['2, k, 13', [-0.3812808, -0.290795, 1.0]], ['2, k, 14', [-0.4024372, -0.6531554, 1.0]], ['2, k, 15', [-0.3986273, -0.7205517, 1.0]], ['2, k, 16', [-0.1920293, 0.04438119, 1.0]], ['2, k, 17', [-0.1646885, -0.295487, 1.0]], ['2, k, 18', [-0.1694583, -0.6360299, 1.0]], ['2, k, 19', [-0.1494788, -0.7227211, 1.0]], ['2, k, 20', [-0.2842161, 0.5867515, 1.0]], ['2, k, 21', [-0.3970827, 0.0584721, 1.0]], ['2, k, 22', [-0.4414761, 0.07171525, 1.0]], ['2, k, 23', [-0.05997663, -0.08030864, 1.0]], ['2, k, 24', [-0.1025139, -0.008143201, 1.0]]]
[['2, k, 0', [-0.2725454, 0.0434053, 1.0]], ['2, k, 1', [-0.2795396, 0.3580539, 1.0]], ['2, k, 2', [-0.2859114, 0.6607932, 1.0]], ['2, k, 3', [-0.2804653, 0.8112737, 1.0]], ['2, k, 4', [-0.4373398, 0.5338238, 1.0]], ['2, k, 5', [-0.4935953, 0.311081, 1.0]], ['2, k, 6', [-0.4443125, 0.1338406, 1.0]], ['2, k, 7', [-0.4109437, 0.08893571, 1.0]], ['2, k, 8', [-0.1114657, 0.5303211, 1.0]], ['2, k, 9', [-0.06377704, 0.2710097, 1.0]], ['2, k, 10', [-0.05241845, 0.03044819, 1.0]], ['2, k, 11', [-0.066783, -0.01438969, 1.0]], ['2, k, 12', [-0.3440391, 0.04089778, 1.0]], ['2, k, 13', [-0.3811788, -0.2908884, 1.0]], ['2, k, 14', [-0.4024178, -0.6531845, 1.0]], ['2, k, 15', [-0.3986045, -0.7204317, 1.0]], ['2, k, 16', [-0.1919963, 0.04435927, 1.0]], ['2, k, 17', [-0.1646997, -0.2954779, 1.0]], ['2, k, 18', [-0.169573, -0.6359304, 1.0]], ['2, k, 19', [-0.145915, -0.7231838, 1.0]], ['2, k, 20', [-0.2844951, 0.5867286, 1.0]], ['2, k, 21', [-0.3972234, 0.05638862, 1.0]], ['2, k, 22', [-0.4416769, 0.07339223, 1.0]], ['2, k, 23', [-0.06163771, -0.08089254, 1.0]], ['2, k, 24', [-0.1024588, -0.01873376, 1.0]]]
[['2, k, 0', [-0.2725198, 0.04343528, 1.0]], ['2, k, 1', [-0.2796812, 0.35803, 1.0]], ['2, k, 2', [-0.2864045, 0.6606202, 1.0]], ['2, k, 3', [-0.2812982, 0.8106637, 1.0]], ['2, k, 4', [-0.4372823, 0.5342578, 1.0]], ['2, k, 5', [-0.4936913, 0.3103933, 1.0]], ['2, k, 6', [-0.4445072, 0.1333562, 1.0]], ['2, k, 7', [-0.4115973, 0.08925196, 1.0]], ['2, k, 8', [-0.1117781, 0.5304843, 1.0]], ['2, k, 9', [-0.06385618, 0.2710002, 1.0]], ['2, k, 10', [-0.05262435, 0.02786485, 1.0]], ['2, k, 11', [-0.06583332, -0.01595667, 1.0]], ['2, k, 12', [-0.3440196, 0.04091209, 1.0]], ['2, k, 13', [-0.3811753, -0.2908246, 1.0]], ['2, k, 14', [-0.4024757, -0.6532322, 1.0]], ['2, k, 15', [-0.3986558, -0.720481, 1.0]], ['2, k, 16', [-0.1919613, 0.04441551, 1.0]], ['2, k, 17', [-0.1646938, -0.2953775, 1.0]], ['2, k, 18', [-0.1695738, -0.6359032, 1.0]], ['2, k, 19', [-0.1478325, -0.7218244, 1.0]], ['2, k, 20', [-0.2849047, 0.586606, 1.0]], ['2, k, 21', [-0.3969519, 0.05688735, 1.0]], ['2, k, 22', [-0.441761, 0.07090575, 1.0]], ['2, k, 23', [-0.06053569, -0.07566482, 1.0]], ['2, k, 24', [-0.101302, -0.01201396, 1.0]]]
[['2, k, 0', [-0.2725172, 0.04344495, 1.0]], ['2, k, 1', [-0.2797976, 0.3580271, 1.0]], ['2, k, 2', [-0.2866349, 0.6605851, 1.0]], ['2, k, 3', [-0.2818057, 0.8107762, 1.0]], ['2, k, 4', [-0.4372529, 0.5347842, 1.0]], ['2, k, 5', [-0.494092, 0.3097744, 1.0]], ['2, k, 6', [-0.4441766, 0.1324184, 1.0]], ['2, k, 7', [-0.4112438, 0.08934581, 1.0]], ['2, k, 8', [-0.1120167, 0.5305955, 1.0]], ['2, k, 9', [-0.06404121, 0.2713635, 1.0]], ['2, k, 10', [-0.05127635, 0.04236852, 1.0]], ['2, k, 11', [-0.06563453, -0.01009499, 1.0]], ['2, k, 12', [-0.3440256, 0.04091708, 1.0]], ['2, k, 13', [-0.3810548, -0.2906422, 1.0]], ['2, k, 14', [-0.402436, -0.6533623, 1.0]], ['2, k, 15', [-0.3986398, -0.7205227, 1.0]], ['2, k, 16', [-0.1919433, 0.04444114, 1.0]], ['2, k, 17', [-0.164799, -0.2952227, 1.0]], ['2, k, 18', [-0.16968, -0.6356314, 1.0]], ['2, k, 19', [-0.1437106, -0.7213795, 1.0]], ['2, k, 20', [-0.2851215, 0.5865821, 1.0]], ['2, k, 21', [-0.4010874, 0.05596749, 1.0]], ['2, k, 22', [-0.4462353, 0.08023899, 1.0]], ['2, k, 23', [-0.06066578, -0.08041663, 1.0]], ['2, k, 24', [-0.1019824, -0.01812564, 1.0]]]
[['2, k, 0', [-0.2725106, 0.04347274, 1.0]], ['2, k, 1', [-0.2799083, 0.3580663, 1.0]], ['2, k, 2', [-0.2868724, 0.6606598, 1.0]], ['2, k, 3', [-0.2822627, 0.8107276, 1.0]], ['2, k, 4', [-0.4372337, 0.5350969, 1.0]], ['2, k, 5', [-0.4943532, 0.3095138, 1.0]], ['2, k, 6', [-0.4446715, 0.1322753, 1.0]], ['2, k, 7', [-0.4124584, 0.09026845, 1.0]], ['2, k, 8', [-0.1121013, 0.5306382, 1.0]], ['2, k, 9', [-0.06405675, 0.2713552, 1.0]], ['2, k, 10', [-0.05200491, 0.0318571, 1.0]], ['2, k, 11', [-0.06542917, -0.01285749, 1.0]], ['2, k, 12', [-0.3440323, 0.04093568, 1.0]], ['2, k, 13', [-0.3810306, -0.2906276, 1.0]], ['2, k, 14', [-0.4024914, -0.6534257, 1.0]], ['2, k, 15', [-0.3986847, -0.7205049, 1.0]], ['2, k, 16', [-0.1919239, 0.0444824, 1.0]], ['2, k, 17', [-0.164651, -0.294649, 1.0]], ['2, k, 18', [-0.1696697, -0.6357437, 1.0]], ['2, k, 19', [-0.1505956, -0.7222099, 1.0]], ['2, k, 20', [-0.2853389, 0.5866517, 1.0]], ['2, k, 21', [-0.3978591, 0.05677031, 1.0]], ['2, k, 22', [-0.4442372, 0.07598393, 1.0]], ['2, k, 23', [-0.05874196, -0.08050061, 1.0]], ['2, k, 24', [-0.1025615, -0.009673536, 1.0]]]
[['2, k, 0', [-0.2724523, 0.04348906, 1.0]], ['2, k, 1', [-0.2800157, 0.358071, 1.0]], ['2, k, 2', [-0.2873283, 0.6606545, 1.0]], ['2, k, 3', [-0.2826771, 0.810613, 1.0]], ['2, k, 4', [-0.4382606, 0.5343604, 1.0]], ['2, k, 5', [-0.4946166, 0.3089588, 1.0]], ['2, k, 6', [-0.4455716, 0.1319549, 1.0]], ['2, k, 7', [-0.4132327, 0.09075545, 1.0]], ['2, k, 8', [-0.1121547, 0.5306811, 1.0]], ['2, k, 9', [-0.06405129, 0.2715616, 1.0]], ['2, k, 10', [-0.05191505, 0.03056654, 1.0]], ['2, k, 11', [-0.06607538, -0.01248396, 1.0]], ['2, k, 12', [-0.3439834, 0.04092516, 1.0]], ['2, k, 13', [-0.3808561, -0.2905941, 1.0]], ['2, k, 14', [-0.4024048, -0.6535495, 1.0]], ['2, k, 15', [-0.3987185, -0.7205867, 1.0]], ['2, k, 16', [-0.1918467, 0.04454172, 1.0]], ['2, k, 17', [-0.1645581, -0.2950428, 1.0]], ['2, k, 18', [-0.1696762, -0.635781, 1.0]], ['2, k, 19', [-0.1518369, -0.7218478, 1.0]], ['2, k, 20', [-0.2857059, 0.5866529, 1.0]], ['2, k, 21', [-0.3998109, 0.05551737, 1.0]], ['2, k, 22', [-0.4464206, 0.07843766, 1.0]], ['2, k, 23', [-0.06057701, -0.07573353, 1.0]], ['2, k, 24', [-0.1016401, -0.01335215, 1.0]]]
[['2, k, 0', [-0.2724036, 0.04347968, 1.0]], ['2, k, 1', [-0.2800694, 0.3580629, 1.0]], ['2, k, 2', [-0.2875027, 0.6606525, 1.0]], ['2, k, 3', [-0.2832749, 0.810664, 1.0]], ['2, k, 4', [-0.4388908, 0.5341417, 1.0]], ['2, k, 5', [-0.4960769, 0.3103101, 1.0]], ['2, k, 6', [-0.4460748, 0.1327904, 1.0]], ['2, k, 7', [-0.414959, 0.09234919, 1.0]], ['2, k, 8', [-0.1122654, 0.5307475, 1.0]], ['2, k, 9', [-0.06418149, 0.2718624, 1.0]], ['2, k, 10', [-0.05183226, 0.02948214, 1.0]], ['2, k, 11', [-0.06632596, -0.01503362, 1.0]], ['2, k, 12', [-0.3439477, 0.04089385, 1.0]], ['2, k, 13', [-0.3807935, -0.290679, 1.0]], ['2, k, 14', [-0.4023744, -0.6535546, 1.0]], ['2, k, 15', [-0.3989811, -0.7208008, 1.0]], ['2, k, 16', [-0.1917873, 0.04455532, 1.0]], ['2, k, 17', [-0.164529, -0.2947348, 1.0]], ['2, k, 18', [-0.1696093, -0.6355351, 1.0]], ['2, k, 19', [-0.1520704, -0.7215872, 1.0]], ['2, k, 20', [-0.2858558, 0.5866496, 1.0]], ['2, k, 21', [-0.4026181, 0.05716255, 1.0]], ['2, k, 22', [-0.4417869, 0.06739503, 1.0]], ['2, k, 23', [-0.06423226, -0.07864919, 1.0]], ['2, k, 24', [-0.1014474, -0.009137151, 1.0]]]
[['2, k, 0', [-0.2722973, 0.04344574, 1.0]], ['2, k, 1', [-0.2801384, 0.3579864, 1.0]], ['2, k, 2', [-0.2878118, 0.6604568, 1.0]], ['2, k, 3', [-0.2837413, 0.8106549, 1.0]], ['2, k, 4', [-0.4395244, 0.5334935, 1.0]], ['2, k, 5', [-0.4968574, 0.3104252, 1.0]], ['2, k, 6', [-0.4465443, 0.1335425, 1.0]], ['2, k, 7', [-0.4168322, 0.09459095, 1.0]], ['2, k, 8', [-0.1124948, 0.530898, 1.0]], ['2, k, 9', [-0.06412575, 0.2726097, 1.0]], ['2, k, 10', [-0.0520881, 0.02596757, 1.0]], ['2, k, 11', [-0.06484716, -0.0172143, 1.0]], ['2, k, 12', [-0.3438317, 0.04083018, 1.0]], ['2, k, 13', [-0.3807614, -0.2906826, 1.0]], ['2, k, 14', [-0.4022301, -0.6533811, 1.0]], ['2, k, 15', [-0.3989749, -0.7207989, 1.0]], ['2, k, 16', [-0.1916877, 0.04454899, 1.0]], ['2, k, 17', [-0.1644281, -0.2946832, 1.0]], ['2, k, 18', [-0.1695828, -0.6355159, 1.0]], ['2, k, 19', [-0.1526821, -0.7214721, 1.0]], ['2, k, 20', [-0.286104, 0.586488, 1.0]], ['2, k, 21', [-0.4053614, 0.05929555, 1.0]], ['2, k, 22', [-0.4457467, 0.0700866, 1.0]], ['2, k, 23', [-0.0539362, -0.07937548, 1.0]], ['2, k, 24', [-0.0995213, -0.02793106, 1.0]]]
[['2, k, 0', [-0.2722803, 0.04348364, 1.0]], ['2, k, 1', [-0.280196, 0.3579858, 1.0]], ['2, k, 2', [-0.2879133, 0.6604167, 1.0]], ['2, k, 3', [-0.2841741, 0.8106952, 1.0]], ['2, k, 4', [-0.4393494, 0.5340564, 1.0]], ['2, k, 5', [-0.4993883, 0.3114268, 1.0]], ['2, k, 6', [-0.447308, 0.135919, 1.0]], ['2, k, 7', [-0.4205496, 0.0983397, 1.0]], ['2, k, 8', [-0.1125246, 0.5309018, 1.0]], ['2, k, 9', [-0.06412655, 0.2726311, 1.0]], ['2, k, 10', [-0.05186209, 0.02493514, 1.0]], ['2, k, 11', [-0.06597198, -0.01588781, 1.0]], ['2, k, 12', [-0.343823, 0.04088232, 1.0]], ['2, k, 13', [-0.3806627, -0.2906543, 1.0]], ['2, k, 14', [-0.4022557, -0.6534535, 1.0]], ['2, k, 15', [-0.3989535, -0.7207829, 1.0]], ['2, k, 16', [-0.1916681, 0.04458101, 1.0]], ['2, k, 17', [-0.164138, -0.2945667, 1.0]], ['2, k, 18', [-0.1695169, -0.6355688, 1.0]], ['2, k, 19', [-0.15313, -0.721508, 1.0]], ['2, k, 20', [-0.2862019, 0.5864601, 1.0]], ['2, k, 21', [-0.4114936, 0.06280997, 1.0]], ['2, k, 22', [-0.4565208, 0.09224004, 1.0]], ['2, k, 23', [-0.06470325, -0.07982201, 1.0]], ['2, k, 24', [-0.1022016, -0.01403036, 1.0]]]
