[['2, k, 0', [-0.2093505, -0.09220416, 1.0]], ['2, k, 1', [-0.1973065, 0.2240811, 1.0]], ['2, k, 2', [-0.1842664, 0.5285105, 1.0]], ['2, k, 3', [-0.1873415, 0.6563656, 1.0]], ['2, k, 4', [-0.3652593, 0.3992328, 1.0]], ['2, k, 5', [-0.4420269, 0.1789719, 1.0]], ['2, k, 6', [-0.4408831, -0.03093237, 1.0]], ['2, k, 7', [-0.4342161, -0.09224162, 1.0]], ['2, k, 8', [-0.01997924, 0.3926742, 1.0]], ['2, k, 9', [0.03092573, 0.1694765, 1.0]], ['2, k, 10', [0.002624045, -0.05148589, 1.0]], ['2, k, 11', [-0.006510928, -0.1170156, 1.0]], ['2, k, 12', [-0.2829084, -0.08608793, 1.0]], ['2, k, 13', [-0.2789263, -0.4148261, 1.0]], ['2, k, 14', [-0.2921038, -0.6865818, 1.0]], ['2, k, 15', [-0.3064817, -0.7475085, 1.0]], ['2, k, 16', [-0.1286132, -0.09505735, 1.0]], ['2, k, 17', [-0.1517158, -0.4223219, 1.0]], ['2, k, 18', [-0.1178421, -0.6839609, 1.0]], ['2, k, 19', [-0.06900503, -0.73918, 1.0]], ['2, k, 20', [-0.1877537, 0.4539677, 1.0]], ['2, k, 21', [-0.4229622, -0.1698042, 1.0]], ['2, k, 22', [-0.3866484, -0.08332951, 1.0]], ['2, k, 23', [-0.006972741, -0.1896974, 1.0]], ['2, k, 24', [-0.05086161, -0.090443, 1.0]]]
[['2, k, 0', [-0.2099387, -0.09246559, 1.0]], ['2, k, 1', [-0.1976776, 0.2240717, 1.0]], ['2, k, 2', [-0.1845673, 0.5286849, 1.0]], ['2, k, 3', [-0.1880428, 0.6568488, 1.0]], ['2, k, 4', [-0.3653772, 0.3993387, 1.0]], ['2, k, 5', [-0.4417879, 0.1790308, 1.0]], ['2, k, 6', [-0.4414317, -0.03119457, 1.0]], ['2, k, 7', [-0.4359332, -0.09168945, 1.0]], ['2, k, 8', [-0.02142666, 0.3909543, 1.0]], ['2, k, 9', [0.0284406, 0.1797536, 1.0]], ['2, k, 10', [0.006336491, -0.03750587, 1.0]], ['2, k, 11', [-0.003156237, -0.103976, 1.0]], ['2, k, 12', [-0.2835431, -0.08622965, 1.0]], ['2, k, 13', [-0.2775798, -0.4152652, 1.0]], ['2, k, 14', [-0.2920999, -0.6865696, 1.0]], ['2, k, 15', [-0.3064074, -0.7475946, 1.0]], ['2, k, 16', [-0.1291853, -0.09545633, 1.0]], ['2, k, 17', [-0.152201, -0.4226353, 1.0]], ['2, k, 18', [-0.1169324, -0.6839091, 1.0]], ['2, k, 19', [-0.06914595, -0.7389414, 1.0]], ['2, k, 20', [-0.1880608, 0.4541009, 1.0]], ['2, k, 21', [-0.4268543, -0.1698356, 1.0]], ['2, k, 22', [-0.3873378, -0.07530503, 1.0]], ['2, k, 23', [-0.006964081, -0.1790309, 1.0]], ['2, k, 24', [-0.04634285, -0.07625048, 1.0]]]
[['2, k, 0', [-0.2105831, -0.09284649, 1.0]], ['2, k, 1', [-0.1981589, 0.2240338, 1.0]], ['2, k, 2', [-0.185037, 0.5289399, 1.0]], ['2, k, 3', [-0.1889815, 0.6573485, 1.0]], ['2, k, 4', [-0.3659746, 0.3991461, 1.0]], ['2, k, 5', [-0.4420021, 0.1785839, 1.0]], ['2, k, 6', [-0.4417577, -0.0316961, 1.0]], ['2, k, 7', [-0.4353746, -0.09246562, 1.0]], ['2, k, 8', [-0.02372912, 0.3895829, 1.0]], ['2, k, 9', [0.02688599, 0.1936161, 1.0]], ['2, k, 10', [0.006628277, -0.01958723, 1.0]], ['2, k, 11', [-0.0007772099, -0.08956064, 1.0]], ['2, k, 12', [-0.284273, -0.08661365, 1.0]], ['2, k, 13', [-0.2770371, -0.4155401, 1.0]], ['2, k, 14', [-0.2920441, -0.6866096, 1.0]], ['2, k, 15', [-0.3063831, -0.7476641, 1.0]], ['2, k, 16', [-0.1298752, -0.09592503, 1.0]], ['2, k, 17', [-0.1529127, -0.4228402, 1.0]], ['2, k, 18', [-0.1169521, -0.6836872, 1.0]], ['2, k, 19', [-0.06951426, -0.7383706, 1.0]], ['2, k, 20', [-0.1885209, 0.4542834, 1.0]], ['2, k, 21', [-0.4307201, -0.1707154, 1.0]], ['2, k, 22', [-0.3867036, -0.1027945, 1.0]], ['2, k, 23', [-0.001361871, -0.1602829, 1.0]], ['2, k, 24', [-0.05916429, -0.07949976, 1.0]]]
[['2, k, 0', [-0.2118141, -0.09237196, 1.0]], ['2, k, 1', [-0.1990915, 0.2246458, 1.0]], ['2, k, 2', [-0.1857199, 0.5297777, 1.0]], ['2, k, 3', [-0.1906599, 0.6581826, 1.0]], ['2, k, 4', [-0.3667157, 0.3996189, 1.0]], ['2, k, 5', [-0.4417612, 0.1785333, 1.0]], ['2, k, 6', [-0.4423527, -0.03292996, 1.0]], ['2, k, 7', [-0.4356916, -0.09369443, 1.0]], ['2, k, 8', [-0.02413009, 0.3918117, 1.0]], ['2, k, 9', [0.02588971, 0.2019741, 1.0]], ['2, k, 10', [0.008049306, 0.01747496, 1.0]], ['2, k, 11', [0.00223039, -0.05754455, 1.0]], ['2, k, 12', [-0.2854919, -0.08590908, 1.0]], ['2, k, 13', [-0.2770225, -0.4155117, 1.0]], ['2, k, 14', [-0.2920548, -0.6866358, 1.0]], ['2, k, 15', [-0.3061436, -0.7477254, 1.0]], ['2, k, 16', [-0.1311035, -0.0955919, 1.0]], ['2, k, 17', [-0.1532997, -0.4224955, 1.0]], ['2, k, 18', [-0.1167991, -0.6837778, 1.0]], ['2, k, 19', [-0.06963109, -0.7382224, 1.0]], ['2, k, 20', [-0.1892681, 0.4550796, 1.0]], ['2, k, 21', [-0.429028, -0.1708822, 1.0]], ['2, k, 22', [-0.3922317, -0.1183629, 1.0]], ['2, k, 23', [0.006679623, -0.1278724, 1.0]], ['2, k, 24', [-0.05346258, -0.0459515, 1.0]]]
[['2, k, 0', [-0.2122917, -0.09217193, 1.0]], ['2, k, 1', [-0.1993467, 0.2250351, 1.0]], ['2, k, 2', [-0.1857057, 0.5304825, 1.0]], ['2, k, 3', [-0.1916178, 0.6589093, 1.0]], ['2, k, 4', [-0.3670527, 0.3994906, 1.0]], ['2, k, 5', [-0.4416947, 0.1780841, 1.0]], ['2, k, 6', [-0.4429463, -0.03487588, 1.0]], ['2, k, 7', [-0.4363231, -0.0961099, 1.0]], ['2, k, 8', [-0.02685513, 0.3922771, 1.0]], ['2, k, 9', [0.02457444, 0.2240389, 1.0]], ['2, k, 10', [0.00746196, 0.04555209, 1.0]], ['2, k, 11', [0.002931629, -0.02369504, 1.0]], ['2, k, 12', [-0.2859726, -0.08569063, 1.0]], ['2, k, 13', [-0.2769859, -0.4154577, 1.0]], ['2, k, 14', [-0.2920907, -0.6866496, 1.0]], ['2, k, 15', [-0.306068, -0.7477505, 1.0]], ['2, k, 16', [-0.1315902, -0.09537862, 1.0]], ['2, k, 17', [-0.1534709, -0.4222044, 1.0]], ['2, k, 18', [-0.1165099, -0.683965, 1.0]], ['2, k, 19', [-0.06947467, -0.7385308, 1.0]], ['2, k, 20', [-0.1893272, 0.4557092, 1.0]], ['2, k, 21', [-0.431955, -0.17019, 1.0]], ['2, k, 22', [-0.3902124, -0.09339307, 1.0]], ['2, k, 23', [0.01011378, -0.08819091, 1.0]], ['2, k, 24', [-0.05618461, -0.01562, 1.0]]]
[['2, k, 0', [-0.2121731, -0.09156727, 1.0]], ['2, k, 1', [-0.1992899, 0.2257909, 1.0]], ['2, k, 2', [-0.1856876, 0.5313752, 1.0]], ['2, k, 3', [-0.1928415, 0.6599813, 1.0]], ['2, k, 4', [-0.3678226, 0.3996697, 1.0]], ['2, k, 5', [-0.4418728, 0.1777595, 1.0]], ['2, k, 6', [-0.4359887, -0.06095766, 1.0]], ['2, k, 7', [-0.436055, -0.1008434, 1.0]], ['2, k, 8', [-0.02961102, 0.3948071, 1.0]], ['2, k, 9', [0.02079079, 0.2439685, 1.0]], ['2, k, 10', [0.00883595, 0.1022556, 1.0]], ['2, k, 11', [-0.001308747, 0.03199209, 1.0]], ['2, k, 12', [-0.2854503, -0.0853183, 1.0]], ['2, k, 13', [-0.2781558, -0.4148757, 1.0]], ['2, k, 14', [-0.2931477, -0.6867091, 1.0]], ['2, k, 15', [-0.3060622, -0.7478147, 1.0]], ['2, k, 16', [-0.1316286, -0.09473062, 1.0]], ['2, k, 17', [-0.1512346, -0.4210126, 1.0]], ['2, k, 18', [-0.1165062, -0.6841516, 1.0]], ['2, k, 19', [-0.06937874, -0.7389873, 1.0]], ['2, k, 20', [-0.1892887, 0.456587, 1.0]], ['2, k, 21', [-0.4336327, -0.1811021, 1.0]], ['2, k, 22', [-0.3910132, -0.09741879, 1.0]], ['2, k, 23', [0.003900695, -0.03037559, 1.0]], ['2, k, 24', [-0.05810478, 0.03013765, 1.0]]]
[['2, k, 0', [-0.2115168, -0.09051436, 1.0]], ['2, k, 1', [-0.1989862, 0.2266895, 1.0]], ['2, k, 2', [-0.1856284, 0.532118, 1.0]], ['2, k, 3', [-0.1939047, 0.6603827, 1.0]], ['2, k, 4', [-0.3682296, 0.4005238, 1.0]], ['2, k, 5', [-0.4419157, 0.1781504, 1.0]], ['2, k, 6', [-0.4425621, -0.04544311, 1.0]], ['2, k, 7', [-0.4376617, -0.09714609, 1.0]], ['2, k, 8', [-0.03205594, 0.3970509, 1.0]], ['2, k, 9', [0.02339529, 0.2741923, 1.0]], ['2, k, 10', [0.004842149, 0.1296577, 1.0]], ['2, k, 11', [-0.006276198, 0.07976253, 1.0]], ['2, k, 12', [-0.2841462, -0.08426125, 1.0]], ['2, k, 13', [-0.2781497, -0.4148459, 1.0]], ['2, k, 14', [-0.2932859, -0.6872869, 1.0]], ['2, k, 15', [-0.3060858, -0.7478641, 1.0]], ['2, k, 16', [-0.1313775, -0.09390162, 1.0]], ['2, k, 17', [-0.1492621, -0.4202174, 1.0]], ['2, k, 18', [-0.116504, -0.6841481, 1.0]], ['2, k, 19', [-0.06967163, -0.7391322, 1.0]], ['2, k, 20', [-0.1891669, 0.4573788, 1.0]], ['2, k, 21', [-0.4305393, -0.1758163, 1.0]], ['2, k, 22', [-0.3885201, -0.1077048, 1.0]], ['2, k, 23', [-0.001095236, 0.0217209, 1.0]], ['2, k, 24', [-0.06038295, 0.08283243, 1.0]]]
[['2, k, 0', [-0.2093076, -0.08825453, 1.0]], ['2, k, 1', [-0.1984652, 0.2281332, 1.0]], ['2, k, 2', [-0.186241, 0.5331127, 1.0]], ['2, k, 3', [-0.1949124, 0.6610616, 1.0]], ['2, k, 4', [-0.3696534, 0.4019555, 1.0]], ['2, k, 5', [-0.4418883, 0.1783881, 1.0]], ['2, k, 6', [-0.4425932, -0.04468061, 1.0]], ['2, k, 7', [-0.4383098, -0.09581835, 1.0]], ['2, k, 8', [-0.03172057, 0.4037759, 1.0]], ['2, k, 9', [0.02850289, 0.3098534, 1.0]], ['2, k, 10', [-0.001206137, 0.1636783, 1.0]], ['2, k, 11', [-0.01140099, 0.1381094, 1.0]], ['2, k, 12', [-0.2816056, -0.08245338, 1.0]], ['2, k, 13', [-0.2794543, -0.4145508, 1.0]], ['2, k, 14', [-0.2940711, -0.6875882, 1.0]], ['2, k, 15', [-0.3061517, -0.7480401, 1.0]], ['2, k, 16', [-0.1294422, -0.09120473, 1.0]], ['2, k, 17', [-0.1476178, -0.4179765, 1.0]], ['2, k, 18', [-0.116973, -0.6850313, 1.0]], ['2, k, 19', [-0.06988794, -0.7389344, 1.0]], ['2, k, 20', [-0.1895043, 0.458462, 1.0]], ['2, k, 21', [-0.4351166, -0.1757324, 1.0]], ['2, k, 22', [-0.3889186, -0.1131018, 1.0]], ['2, k, 23', [-0.01374402, 0.08216187, 1.0]], ['2, k, 24', [-0.06495979, 0.139594, 1.0]]]
[['2, k, 0', [-0.2080996, -0.08706979, 1.0]], ['2, k, 1', [-0.1987016, 0.2291239, 1.0]], ['2, k, 2', [-0.1882923, 0.5342647, 1.0]], ['2, k, 3', [-0.1955601, 0.6615266, 1.0]], ['2, k, 4', [-0.3697513, 0.4025536, 1.0]], ['2, k, 5', [-0.4417477, 0.1788437, 1.0]], ['2, k, 6', [-0.442726, -0.04331529, 1.0]], ['2, k, 7', [-0.4377077, -0.09942022, 1.0]], ['2, k, 8', [-0.03374581, 0.4093497, 1.0]], ['2, k, 9', [0.02625593, 0.3106742, 1.0]], ['2, k, 10', [-0.005980978, 0.2185254, 1.0]], ['2, k, 11', [-0.01664566, 0.1920049, 1.0]], ['2, k, 12', [-0.2805661, -0.08184282, 1.0]], ['2, k, 13', [-0.2804137, -0.413873, 1.0]], ['2, k, 14', [-0.2944998, -0.6881794, 1.0]], ['2, k, 15', [-0.3061728, -0.7482934, 1.0]], ['2, k, 16', [-0.1281045, -0.08938811, 1.0]], ['2, k, 17', [-0.1470169, -0.4165605, 1.0]], ['2, k, 18', [-0.1191406, -0.6846233, 1.0]], ['2, k, 19', [-0.0702251, -0.7388464, 1.0]], ['2, k, 20', [-0.1909775, 0.4595566, 1.0]], ['2, k, 21', [-0.4396519, -0.1753203, 1.0]], ['2, k, 22', [-0.3940678, -0.0910751, 1.0]], ['2, k, 23', [-0.01190161, 0.1402439, 1.0]], ['2, k, 24', [-0.06835629, 0.1957237, 1.0]]]
[['2, k, 0', [-0.2060011, -0.08586896, 1.0]], ['2, k, 1', [-0.1986592, 0.2296235, 1.0]], ['2, k, 2', [-0.1899227, 0.5344039, 1.0]], ['2, k, 3', [-0.1955298, 0.6617303, 1.0]], ['2, k, 4', [-0.3697634, 0.402524, 1.0]], ['2, k, 5', [-0.4416818, 0.1788648, 1.0]], ['2, k, 6', [-0.4428217, -0.03967434, 1.0]], ['2, k, 7', [-0.4375228, -0.09713474, 1.0]], ['2, k, 8', [-0.04182909, 0.4239253, 1.0]], ['2, k, 9', [0.02811714, 0.3571979, 1.0]], ['2, k, 10', [0.01352279, 0.3113493, 1.0]], ['2, k, 11', [-0.02186252, 0.2483469, 1.0]], ['2, k, 12', [-0.2788405, -0.08137662, 1.0]], ['2, k, 13', [-0.2821343, -0.4180932, 1.0]], ['2, k, 14', [-0.2941974, -0.6882524, 1.0]], ['2, k, 15', [-0.3059879, -0.7482779, 1.0]], ['2, k, 16', [-0.125779, -0.08736376, 1.0]], ['2, k, 17', [-0.146203, -0.4151267, 1.0]], ['2, k, 18', [-0.1184238, -0.6847352, 1.0]], ['2, k, 19', [-0.07023112, -0.7388411, 1.0]], ['2, k, 20', [-0.1920726, 0.4598026, 1.0]], ['2, k, 21', [-0.4358579, -0.174879, 1.0]], ['2, k, 22', [-0.4007856, -0.09792132, 1.0]], ['2, k, 23', [-0.02674152, 0.2047279, 1.0]], ['2, k, 24', [-0.0721545, 0.2520532, 1.0]]]
[['2, k, 0', [-0.2025919, -0.08759313, 1.0]], ['2, k, 1', [-0.19825, 0.2293337, 1.0]], ['2, k, 2', [-0.1914645, 0.5347315, 1.0]], ['2, k, 3', [-0.1947296, 0.6615108, 1.0]], ['2, k, 4', [-0.366777, 0.4003895, 1.0]], ['2, k, 5', [-0.4413687, 0.1786496, 1.0]], ['2, k, 6', [-0.4428487, -0.03925669, 1.0]], ['2, k, 7', [-0.4371434, -0.09666149, 1.0]], ['2, k, 8', [-0.04413098, 0.4388225, 1.0]], ['2, k, 9', [0.02793305, 0.363628, 1.0]], ['2, k, 10', [0.01432439, 0.3265651, 1.0]], ['2, k, 11', [-0.02805997, 0.2961562, 1.0]], ['2, k, 12', [-0.2758791, -0.08322223, 1.0]], ['2, k, 13', [-0.28311, -0.4195883, 1.0]], ['2, k, 14', [-0.2933483, -0.6879545, 1.0]], ['2, k, 15', [-0.305999, -0.7481633, 1.0]], ['2, k, 16', [-0.1220988, -0.08882743, 1.0]], ['2, k, 17', [-0.1451166, -0.4172907, 1.0]], ['2, k, 18', [-0.1183359, -0.6846172, 1.0]], ['2, k, 19', [-0.0704463, -0.7386934, 1.0]], ['2, k, 20', [-0.1930709, 0.4599616, 1.0]], ['2, k, 21', [-0.4324232, -0.1753529, 1.0]], ['2, k, 22', [-0.3969893, -0.07287487, 1.0]], ['2, k, 23', [-0.02766599, 0.2570237, 1.0]], ['2, k, 24', [-0.07650583, 0.2999487, 1.0]]]
