[['2, k, 0', [-0.311989, -0.391162, 1.0]], ['2, k, 1', [-0.313541, -0.0847718, 1.0]], ['2, k, 2', [-0.31288, 0.214148, 1.0]], ['2, k, 3', [-0.331214, 0.361477, 1.0]], ['2, k, 4', [-0.496664, 0.109286, 1.0]], ['2, k, 5', [-0.563451, -0.16095, 1.0]], ['2, k, 6', [-0.595636, -0.397088, 1.0]], ['2, k, 7', [-0.588623, -0.462464, 1.0]], ['2, k, 8', [-0.138871, 0.136494, 1.0]], ['2, k, 9', [-0.0459216, -0.124773, 1.0]], ['2, k, 10', [0.012149, -0.356948, 1.0]], ['2, k, 11', [0.0122484, -0.418316, 1.0]], ['2, k, 12', [-0.388795, -0.391252, 1.0]], ['2, k, 13', [-0.408131, -0.726672, 1.0]], ['2, k, 14', [-0.406868, -1.09224, 1.0]], ['2, k, 15', [-0.444526, -1.16659, 1.0]], ['2, k, 16', [-0.225535, -0.379012, 1.0]], ['2, k, 17', [-0.183896, -0.749022, 1.0]], ['2, k, 18', [-0.17191, -1.08143, 1.0]], ['2, k, 19', [-0.118036, -1.15123, 1.0]], ['2, k, 20', [-0.313424, 0.140524, 1.0]], ['2, k, 21', [-0.586362, -0.527564, 1.0]], ['2, k, 22', [-0.528506, -0.482, 1.0]], ['2, k, 23', [0.0241012, -0.47691, 1.0]], ['2, k, 24', [-0.0411611, -0.447498, 1.0]]]
[['2, k, 0', [-0.311992, -0.391159, 1.0]], ['2, k, 1', [-0.313507, -0.0847545, 1.0]], ['2, k, 2', [-0.312724, 0.214198, 1.0]], ['2, k, 3', [-0.331306, 0.361494, 1.0]], ['2, k, 4', [-0.496654, 0.109337, 1.0]], ['2, k, 5', [-0.563451, -0.161188, 1.0]], ['2, k, 6', [-0.595691, -0.397418, 1.0]], ['2, k, 7', [-0.588593, -0.462685, 1.0]], ['2, k, 8', [-0.138872, 0.136493, 1.0]], ['2, k, 9', [-0.04587, -0.125017, 1.0]], ['2, k, 10', [0.0121945, -0.356914, 1.0]], ['2, k, 11', [0.0124314, -0.41856, 1.0]], ['2, k, 12', [-0.388799, -0.391244, 1.0]], ['2, k, 13', [-0.40802, -0.726932, 1.0]], ['2, k, 14', [-0.407638, -1.09137, 1.0]], ['2, k, 15', [-0.444473, -1.16725, 1.0]], ['2, k, 16', [-0.225536, -0.379012, 1.0]], ['2, k, 17', [-0.183967, -0.748972, 1.0]], ['2, k, 18', [-0.171063, -1.08187, 1.0]], ['2, k, 19', [-0.118376, -1.15198, 1.0]], ['2, k, 20', [-0.313307, 0.140564, 1.0]], ['2, k, 21', [-0.588959, -0.526117, 1.0]], ['2, k, 22', [-0.528643, -0.481964, 1.0]], ['2, k, 23', [0.0211984, -0.478702, 1.0]], ['2, k, 24', [-0.0412698, -0.447588, 1.0]]]
[['2, k, 0', [-0.312013, -0.391142, 1.0]], ['2, k, 1', [-0.313502, -0.0847484, 1.0]], ['2, k, 2', [-0.312689, 0.214203, 1.0]], ['2, k, 3', [-0.331327, 0.361526, 1.0]], ['2, k, 4', [-0.496654, 0.109353, 1.0]], ['2, k, 5', [-0.563646, -0.16159, 1.0]], ['2, k, 6', [-0.59577, -0.397917, 1.0]], ['2, k, 7', [-0.588361, -0.46358, 1.0]], ['2, k, 8', [-0.138904, 0.136484, 1.0]], ['2, k, 9', [-0.0458799, -0.125091, 1.0]], ['2, k, 10', [0.0121907, -0.35696, 1.0]], ['2, k, 11', [0.0118816, -0.41945, 1.0]], ['2, k, 12', [-0.388817, -0.391223, 1.0]], ['2, k, 13', [-0.408026, -0.726919, 1.0]], ['2, k, 14', [-0.407632, -1.09135, 1.0]], ['2, k, 15', [-0.444752, -1.16732, 1.0]], ['2, k, 16', [-0.225567, -0.378996, 1.0]], ['2, k, 17', [-0.184092, -0.749027, 1.0]], ['2, k, 18', [-0.167845, -1.0852, 1.0]], ['2, k, 19', [-0.115097, -1.15144, 1.0]], ['2, k, 20', [-0.313282, 0.14057, 1.0]], ['2, k, 21', [-0.587258, -0.526923, 1.0]], ['2, k, 22', [-0.528441, -0.482179, 1.0]], ['2, k, 23', [0.0193409, -0.481562, 1.0]], ['2, k, 24', [-0.0412231, -0.447576, 1.0]]]
[['2, k, 0', [-0.312017, -0.391154, 1.0]], ['2, k, 1', [-0.313514, -0.0847512, 1.0]], ['2, k, 2', [-0.312718, 0.214217, 1.0]], ['2, k, 3', [-0.331343, 0.361522, 1.0]], ['2, k, 4', [-0.496646, 0.109336, 1.0]], ['2, k, 5', [-0.563554, -0.16155, 1.0]], ['2, k, 6', [-0.595774, -0.397898, 1.0]], ['2, k, 7', [-0.58851, -0.463669, 1.0]], ['2, k, 8', [-0.138937, 0.136438, 1.0]], ['2, k, 9', [-0.0458806, -0.125303, 1.0]], ['2, k, 10', [0.0122088, -0.35696, 1.0]], ['2, k, 11', [0.0120011, -0.418465, 1.0]], ['2, k, 12', [-0.388821, -0.391233, 1.0]], ['2, k, 13', [-0.408032, -0.727067, 1.0]], ['2, k, 14', [-0.407611, -1.0913, 1.0]], ['2, k, 15', [-0.444935, -1.16737, 1.0]], ['2, k, 16', [-0.225572, -0.379013, 1.0]], ['2, k, 17', [-0.184095, -0.74892, 1.0]], ['2, k, 18', [-0.168801, -1.08342, 1.0]], ['2, k, 19', [-0.122172, -1.15773, 1.0]], ['2, k, 20', [-0.313306, 0.140579, 1.0]], ['2, k, 21', [-0.583393, -0.527328, 1.0]], ['2, k, 22', [-0.528786, -0.482268, 1.0]], ['2, k, 23', [0.0143218, -0.48191, 1.0]], ['2, k, 24', [-0.0395733, -0.436111, 1.0]]]
[['2, k, 0', [-0.311981, -0.391137, 1.0]], ['2, k, 1', [-0.313484, -0.0847522, 1.0]], ['2, k, 2', [-0.312712, 0.214164, 1.0]], ['2, k, 3', [-0.331393, 0.361526, 1.0]], ['2, k, 4', [-0.496607, 0.109186, 1.0]], ['2, k, 5', [-0.563572, -0.161631, 1.0]], ['2, k, 6', [-0.595813, -0.398012, 1.0]], ['2, k, 7', [-0.588579, -0.464342, 1.0]], ['2, k, 8', [-0.138951, 0.136378, 1.0]], ['2, k, 9', [-0.0458495, -0.125451, 1.0]], ['2, k, 10', [0.012209, -0.357134, 1.0]], ['2, k, 11', [0.0107817, -0.418215, 1.0]], ['2, k, 12', [-0.388786, -0.391219, 1.0]], ['2, k, 13', [-0.40804, -0.727356, 1.0]], ['2, k, 14', [-0.407611, -1.09096, 1.0]], ['2, k, 15', [-0.445181, -1.16806, 1.0]], ['2, k, 16', [-0.225535, -0.378992, 1.0]], ['2, k, 17', [-0.184375, -0.748389, 1.0]], ['2, k, 18', [-0.168729, -1.08342, 1.0]], ['2, k, 19', [-0.12124, -1.15653, 1.0]], ['2, k, 20', [-0.31329, 0.140544, 1.0]], ['2, k, 21', [-0.588094, -0.527793, 1.0]], ['2, k, 22', [-0.529528, -0.482273, 1.0]], ['2, k, 23', [0.0176334, -0.479575, 1.0]], ['2, k, 24', [-0.0417346, -0.445873, 1.0]]]
[['2, k, 0', [-0.311977, -0.391132, 1.0]], ['2, k, 1', [-0.313465, -0.0847278, 1.0]], ['2, k, 2', [-0.312671, 0.214218, 1.0]], ['2, k, 3', [-0.331469, 0.361609, 1.0]], ['2, k, 4', [-0.496619, 0.109216, 1.0]], ['2, k, 5', [-0.563591, -0.16175, 1.0]], ['2, k, 6', [-0.595945, -0.398171, 1.0]], ['2, k, 7', [-0.58883, -0.463495, 1.0]], ['2, k, 8', [-0.13899, 0.136352, 1.0]], ['2, k, 9', [-0.0459063, -0.125386, 1.0]], ['2, k, 10', [0.0121583, -0.357142, 1.0]], ['2, k, 11', [0.0111341, -0.418825, 1.0]], ['2, k, 12', [-0.38878, -0.391206, 1.0]], ['2, k, 13', [-0.408031, -0.727511, 1.0]], ['2, k, 14', [-0.407659, -1.09137, 1.0]], ['2, k, 15', [-0.445346, -1.16818, 1.0]], ['2, k, 16', [-0.225532, -0.378991, 1.0]], ['2, k, 17', [-0.184918, -0.745947, 1.0]], ['2, k, 18', [-0.16863, -1.08346, 1.0]], ['2, k, 19', [-0.121085, -1.15646, 1.0]], ['2, k, 20', [-0.313254, 0.14059, 1.0]], ['2, k, 21', [-0.585802, -0.526703, 1.0]], ['2, k, 22', [-0.529015, -0.482725, 1.0]], ['2, k, 23', [0.0206745, -0.477441, 1.0]], ['2, k, 24', [-0.0414406, -0.446857, 1.0]]]
[['2, k, 0', [-0.311974, -0.391139, 1.0]], ['2, k, 1', [-0.313463, -0.0847319, 1.0]], ['2, k, 2', [-0.312686, 0.21424, 1.0]], ['2, k, 3', [-0.3316, 0.361611, 1.0]], ['2, k, 4', [-0.496621, 0.109194, 1.0]], ['2, k, 5', [-0.563631, -0.161738, 1.0]], ['2, k, 6', [-0.596011, -0.398197, 1.0]], ['2, k, 7', [-0.58908, -0.46379, 1.0]], ['2, k, 8', [-0.139068, 0.136329, 1.0]], ['2, k, 9', [-0.0459465, -0.125407, 1.0]], ['2, k, 10', [0.0121669, -0.357165, 1.0]], ['2, k, 11', [0.0112784, -0.418772, 1.0]], ['2, k, 12', [-0.388776, -0.391214, 1.0]], ['2, k, 13', [-0.408026, -0.727536, 1.0]], ['2, k, 14', [-0.407693, -1.09141, 1.0]], ['2, k, 15', [-0.445731, -1.16792, 1.0]], ['2, k, 16', [-0.225529, -0.378997, 1.0]], ['2, k, 17', [-0.184891, -0.744224, 1.0]], ['2, k, 18', [-0.169062, -1.08294, 1.0]], ['2, k, 19', [-0.120263, -1.15574, 1.0]], ['2, k, 20', [-0.313263, 0.140602, 1.0]], ['2, k, 21', [-0.587945, -0.527383, 1.0]], ['2, k, 22', [-0.528628, -0.482173, 1.0]], ['2, k, 23', [0.0176684, -0.481948, 1.0]], ['2, k, 24', [-0.041324, -0.446489, 1.0]]]
[['2, k, 0', [-0.311988, -0.391164, 1.0]], ['2, k, 1', [-0.313468, -0.0847292, 1.0]], ['2, k, 2', [-0.312667, 0.214317, 1.0]], ['2, k, 3', [-0.331752, 0.361662, 1.0]], ['2, k, 4', [-0.496837, 0.109209, 1.0]], ['2, k, 5', [-0.563752, -0.1619, 1.0]], ['2, k, 6', [-0.596064, -0.398393, 1.0]], ['2, k, 7', [-0.588916, -0.46371, 1.0]], ['2, k, 8', [-0.139177, 0.136358, 1.0]], ['2, k, 9', [-0.0459578, -0.125439, 1.0]], ['2, k, 10', [0.0121679, -0.357272, 1.0]], ['2, k, 11', [0.0114654, -0.418945, 1.0]], ['2, k, 12', [-0.38879, -0.391241, 1.0]], ['2, k, 13', [-0.408122, -0.727441, 1.0]], ['2, k, 14', [-0.407679, -1.09141, 1.0]], ['2, k, 15', [-0.445612, -1.16754, 1.0]], ['2, k, 16', [-0.225543, -0.37902, 1.0]], ['2, k, 17', [-0.184991, -0.744063, 1.0]], ['2, k, 18', [-0.169048, -1.08295, 1.0]], ['2, k, 19', [-0.118859, -1.15444, 1.0]], ['2, k, 20', [-0.313252, 0.140655, 1.0]], ['2, k, 21', [-0.58569, -0.524607, 1.0]], ['2, k, 22', [-0.528756, -0.482213, 1.0]], ['2, k, 23', [0.0184887, -0.480117, 1.0]], ['2, k, 24', [-0.0413032, -0.446418, 1.0]]]
[['2, k, 0', [-0.311985, -0.391174, 1.0]], ['2, k, 1', [-0.313491, -0.0847231, 1.0]], ['2, k, 2', [-0.312745, 0.214354, 1.0]], ['2, k, 3', [-0.331877, 0.361711, 1.0]], ['2, k, 4', [-0.497003, 0.109122, 1.0]], ['2, k, 5', [-0.563744, -0.161898, 1.0]], ['2, k, 6', [-0.596071, -0.398406, 1.0]], ['2, k, 7', [-0.588671, -0.463044, 1.0]], ['2, k, 8', [-0.139255, 0.136376, 1.0]], ['2, k, 9', [-0.0459908, -0.12547, 1.0]], ['2, k, 10', [0.0121006, -0.357303, 1.0]], ['2, k, 11', [0.011294, -0.419173, 1.0]], ['2, k, 12', [-0.388778, -0.391289, 1.0]], ['2, k, 13', [-0.408046, -0.727979, 1.0]], ['2, k, 14', [-0.407704, -1.09235, 1.0]], ['2, k, 15', [-0.445971, -1.16778, 1.0]], ['2, k, 16', [-0.225541, -0.379021, 1.0]], ['2, k, 17', [-0.185117, -0.74324, 1.0]], ['2, k, 18', [-0.169038, -1.08288, 1.0]], ['2, k, 19', [-0.119363, -1.15468, 1.0]], ['2, k, 20', [-0.313314, 0.140684, 1.0]], ['2, k, 21', [-0.586634, -0.525603, 1.0]], ['2, k, 22', [-0.52898, -0.483348, 1.0]], ['2, k, 23', [0.0207841, -0.478682, 1.0]], ['2, k, 24', [-0.0414412, -0.446779, 1.0]]]
[['2, k, 0', [-0.311939, -0.391187, 1.0]], ['2, k, 1', [-0.31342, -0.084715, 1.0]], ['2, k, 2', [-0.312666, 0.214396, 1.0]], ['2, k, 3', [-0.332051, 0.361773, 1.0]], ['2, k, 4', [-0.497092, 0.109018, 1.0]], ['2, k, 5', [-0.563733, -0.161968, 1.0]], ['2, k, 6', [-0.596146, -0.398471, 1.0]], ['2, k, 7', [-0.587968, -0.464213, 1.0]], ['2, k, 8', [-0.13944, 0.136427, 1.0]], ['2, k, 9', [-0.0460046, -0.125401, 1.0]], ['2, k, 10', [0.0121055, -0.357345, 1.0]], ['2, k, 11', [0.0115568, -0.418907, 1.0]], ['2, k, 12', [-0.388694, -0.391035, 1.0]], ['2, k, 13', [-0.408057, -0.729027, 1.0]], ['2, k, 14', [-0.40754, -1.09294, 1.0]], ['2, k, 15', [-0.446231, -1.16781, 1.0]], ['2, k, 16', [-0.225449, -0.379263, 1.0]], ['2, k, 17', [-0.185154, -0.743473, 1.0]], ['2, k, 18', [-0.169081, -1.08283, 1.0]], ['2, k, 19', [-0.119437, -1.15475, 1.0]], ['2, k, 20', [-0.313235, 0.140717, 1.0]], ['2, k, 21', [-0.583705, -0.525144, 1.0]], ['2, k, 22', [-0.528693, -0.484346, 1.0]], ['2, k, 23', [0.0172457, -0.482082, 1.0]], ['2, k, 24', [-0.0413531, -0.446517, 1.0]]]
[['2, k, 0', [-0.311881, -0.39123, 1.0]], ['2, k, 1', [-0.313371, -0.0847913, 1.0]], ['2, k, 2', [-0.312643, 0.214277, 1.0]], ['2, k, 3', [-0.332172, 0.361721, 1.0]], ['2, k, 4', [-0.497339, 0.108896, 1.0]], ['2, k, 5', [-0.563823, -0.162067, 1.0]], ['2, k, 6', [-0.596212, -0.398586, 1.0]], ['2, k, 7', [-0.588511, -0.463269, 1.0]], ['2, k, 8', [-0.139672, 0.136281, 1.0]], ['2, k, 9', [-0.0460033, -0.125496, 1.0]], ['2, k, 10', [0.0120703, -0.35737, 1.0]], ['2, k, 11', [0.0111806, -0.418205, 1.0]], ['2, k, 12', [-0.388629, -0.39085, 1.0]], ['2, k, 13', [-0.408063, -0.729259, 1.0]], ['2, k, 14', [-0.407555, -1.09305, 1.0]], ['2, k, 15', [-0.446812, -1.16787, 1.0]], ['2, k, 16', [-0.225358, -0.379531, 1.0]], ['2, k, 17', [-0.185188, -0.743585, 1.0]], ['2, k, 18', [-0.168617, -1.08289, 1.0]], ['2, k, 19', [-0.117893, -1.15337, 1.0]], ['2, k, 20', [-0.313205, 0.140609, 1.0]], ['2, k, 21', [-0.588608, -0.524749, 1.0]], ['2, k, 22', [-0.528494, -0.483578, 1.0]], ['2, k, 23', [0.0166896, -0.480049, 1.0]], ['2, k, 24', [-0.0414982, -0.446798, 1.0]]]
[['2, k, 0', [-0.311876, -0.391226, 1.0]], ['2, k, 1', [-0.313386, -0.0847816, 1.0]], ['2, k, 2', [-0.312686, 0.214288, 1.0]], ['2, k, 3', [-0.33231, 0.361726, 1.0]], ['2, k, 4', [-0.497467, 0.108828, 1.0]], ['2, k, 5', [-0.563925, -0.162231, 1.0]], ['2, k, 6', [-0.596309, -0.398779, 1.0]], ['2, k, 7', [-0.589283, -0.463686, 1.0]], ['2, k, 8', [-0.13982, 0.136279, 1.0]], ['2, k, 9', [-0.0460188, -0.125515, 1.0]], ['2, k, 10', [0.0119226, -0.357556, 1.0]], ['2, k, 11', [0.0110473, -0.419384, 1.0]], ['2, k, 12', [-0.388636, -0.390641, 1.0]], ['2, k, 13', [-0.408174, -0.729163, 1.0]], ['2, k, 14', [-0.407656, -1.09295, 1.0]], ['2, k, 15', [-0.446995, -1.16779, 1.0]], ['2, k, 16', [-0.225334, -0.379684, 1.0]], ['2, k, 17', [-0.185292, -0.742101, 1.0]], ['2, k, 18', [-0.168762, -1.0828, 1.0]], ['2, k, 19', [-0.117982, -1.15333, 1.0]], ['2, k, 20', [-0.313241, 0.140621, 1.0]], ['2, k, 21', [-0.585632, -0.525313, 1.0]], ['2, k, 22', [-0.529247, -0.484869, 1.0]], ['2, k, 23', [0.0143332, -0.482462, 1.0]], ['2, k, 24', [-0.0414322, -0.446621, 1.0]]]
[['2, k, 0', [-0.311851, -0.391233, 1.0]], ['2, k, 1', [-0.313317, -0.0848302, 1.0]], ['2, k, 2', [-0.312568, 0.214154, 1.0]], ['2, k, 3', [-0.332543, 0.36172, 1.0]], ['2, k, 4', [-0.497613, 0.108695, 1.0]], ['2, k, 5', [-0.56393, -0.162535, 1.0]], ['2, k, 6', [-0.596346, -0.39909, 1.0]], ['2, k, 7', [-0.58849, -0.463289, 1.0]], ['2, k, 8', [-0.139983, 0.13641, 1.0]], ['2, k, 9', [-0.0460886, -0.125401, 1.0]], ['2, k, 10', [0.0118974, -0.357728, 1.0]], ['2, k, 11', [0.0111838, -0.418714, 1.0]], ['2, k, 12', [-0.388586, -0.390472, 1.0]], ['2, k, 13', [-0.408212, -0.729044, 1.0]], ['2, k, 14', [-0.407343, -1.09266, 1.0]], ['2, k, 15', [-0.449337, -1.16777, 1.0]], ['2, k, 16', [-0.225315, -0.379857, 1.0]], ['2, k, 17', [-0.185352, -0.742346, 1.0]], ['2, k, 18', [-0.16851, -1.08284, 1.0]], ['2, k, 19', [-0.118139, -1.15349, 1.0]], ['2, k, 20', [-0.313135, 0.140513, 1.0]], ['2, k, 21', [-0.587517, -0.524091, 1.0]], ['2, k, 22', [-0.529061, -0.484063, 1.0]], ['2, k, 23', [0.016706, -0.480401, 1.0]], ['2, k, 24', [-0.0402123, -0.438777, 1.0]]]
[['2, k, 0', [-0.311841, -0.391237, 1.0]], ['2, k, 1', [-0.31339, -0.0849571, 1.0]], ['2, k, 2', [-0.312812, 0.213792, 1.0]], ['2, k, 3', [-0.332657, 0.361684, 1.0]], ['2, k, 4', [-0.497761, 0.108541, 1.0]], ['2, k, 5', [-0.563964, -0.162578, 1.0]], ['2, k, 6', [-0.596497, -0.399164, 1.0]], ['2, k, 7', [-0.588996, -0.463727, 1.0]], ['2, k, 8', [-0.140066, 0.136428, 1.0]], ['2, k, 9', [-0.0461055, -0.12541, 1.0]], ['2, k, 10', [0.0118871, -0.357756, 1.0]], ['2, k, 11', [0.0120333, -0.418579, 1.0]], ['2, k, 12', [-0.388559, -0.390285, 1.0]], ['2, k, 13', [-0.408222, -0.729235, 1.0]], ['2, k, 14', [-0.407219, -1.09281, 1.0]], ['2, k, 15', [-0.448777, -1.16758, 1.0]], ['2, k, 16', [-0.225311, -0.380001, 1.0]], ['2, k, 17', [-0.185424, -0.743856, 1.0]], ['2, k, 18', [-0.16756, -1.08419, 1.0]], ['2, k, 19', [-0.117361, -1.15292, 1.0]], ['2, k, 20', [-0.31333, 0.140218, 1.0]], ['2, k, 21', [-0.589247, -0.525111, 1.0]], ['2, k, 22', [-0.528955, -0.484925, 1.0]], ['2, k, 23', [0.0243554, -0.477609, 1.0]], ['2, k, 24', [-0.0410155, -0.445462, 1.0]]]
