[['2, k, 0', [-0.1006379, -0.2279171, 1.0]], ['2, k, 1', [-0.1222782, 0.05746306, 1.0]], ['2, k, 2', [-0.146161, 0.3366606, 1.0]], ['2, k, 3', [-0.1509759, 0.4702771, 1.0]], ['2, k, 4', [-0.3147894, 0.2326911, 1.0]], ['2, k, 5', [-0.3633977, 0.01053731, 1.0]], ['2, k, 6', [-0.258804, -0.1451728, 1.0]], ['2, k, 7', [-0.2033557, -0.1574339, 1.0]], ['2, k, 8', [0.01970755, 0.249357, 1.0]], ['2, k, 9', [0.04408772, 0.03862714, 1.0]], ['2, k, 10', [-0.02151037, -0.1321153, 1.0]], ['2, k, 11', [-0.03803236, -0.2153581, 1.0]], ['2, k, 12', [-0.179994, -0.2309342, 1.0]], ['2, k, 13', [-0.2422174, -0.2558015, 1.0]], ['2, k, 14', [-0.2475336, -0.6802285, 1.0]], ['2, k, 15', [-0.2342398, -0.7362621, 1.0]], ['2, k, 16', [-0.01783297, -0.2170621, 1.0]], ['2, k, 17', [0.07906441, -0.2420485, 1.0]], ['2, k, 18', [0.03542815, -0.6428759, 1.0]], ['2, k, 19', [0.05632195, -0.7209656, 1.0]], ['2, k, 20', [-0.1400818, 0.2680072, 1.0]], ['2, k, 21', [-0.1575807, -0.2022412, 1.0]], ['2, k, 22', [-0.2470885, -0.1601335, 1.0]], ['2, k, 23', [-0.05878371, -0.2701089, 1.0]], ['2, k, 24', [-0.1081416, -0.2053026, 1.0]]]
[['2, k, 0', [-0.100324, -0.2269393, 1.0]], ['2, k, 1', [-0.1232565, 0.05822935, 1.0]], ['2, k, 2', [-0.1485322, 0.3371593, 1.0]], ['2, k, 3', [-0.1561576, 0.4708978, 1.0]], ['2, k, 4', [-0.3150956, 0.2328522, 1.0]], ['2, k, 5', [-0.3647371, 0.01057375, 1.0]], ['2, k, 6', [-0.2599903, -0.1438896, 1.0]], ['2, k, 7', [-0.2054178, -0.1556933, 1.0]], ['2, k, 8', [0.01391737, 0.2530498, 1.0]], ['2, k, 9', [0.0423039, 0.05385876, 1.0]], ['2, k, 10', [-0.03649274, -0.1537656, 1.0]], ['2, k, 11', [-0.03176684, -0.2341088, 1.0]], ['2, k, 12', [-0.1797877, -0.2305805, 1.0]], ['2, k, 13', [-0.2422493, -0.2558415, 1.0]], ['2, k, 14', [-0.2466719, -0.6816295, 1.0]], ['2, k, 15', [-0.2341017, -0.7372258, 1.0]], ['2, k, 16', [-0.01752281, -0.2152269, 1.0]], ['2, k, 17', [0.07925461, -0.2419022, 1.0]], ['2, k, 18', [0.03549601, -0.6416929, 1.0]], ['2, k, 19', [0.05705291, -0.71728, 1.0]], ['2, k, 20', [-0.1421149, 0.2685828, 1.0]], ['2, k, 21', [-0.151894, -0.20004, 1.0]], ['2, k, 22', [-0.2496307, -0.1590913, 1.0]], ['2, k, 23', [-0.05612316, -0.2978059, 1.0]], ['2, k, 24', [-0.07328334, -0.2042008, 1.0]]]
[['2, k, 0', [-0.09994102, -0.2255178, 1.0]], ['2, k, 1', [-0.1246477, 0.0595579, 1.0]], ['2, k, 2', [-0.1521872, 0.3383754, 1.0]], ['2, k, 3', [-0.1580465, 0.4713952, 1.0]], ['2, k, 4', [-0.3194444, 0.2338202, 1.0]], ['2, k, 5', [-0.365748, 0.0111514, 1.0]], ['2, k, 6', [-0.2588146, -0.1259607, 1.0]], ['2, k, 7', [-0.2075058, -0.1457791, 1.0]], ['2, k, 8', [0.012144, 0.2546876, 1.0]], ['2, k, 9', [0.03029174, 0.06070553, 1.0]], ['2, k, 10', [-0.008513381, -0.1221485, 1.0]], ['2, k, 11', [-0.0187825, -0.2024572, 1.0]], ['2, k, 12', [-0.179506, -0.229761, 1.0]], ['2, k, 13', [-0.2422733, -0.255833, 1.0]], ['2, k, 14', [-0.246436, -0.6816587, 1.0]], ['2, k, 15', [-0.2341345, -0.7374722, 1.0]], ['2, k, 16', [-0.0171314, -0.2133939, 1.0]], ['2, k, 17', [0.07927036, -0.2418285, 1.0]], ['2, k, 18', [0.03687112, -0.6384546, 1.0]], ['2, k, 19', [0.05625547, -0.7158916, 1.0]], ['2, k, 20', [-0.1451979, 0.2698464, 1.0]], ['2, k, 21', [-0.147514, -0.1828308, 1.0]], ['2, k, 22', [-0.250459, -0.1530222, 1.0]], ['2, k, 23', [-0.04163642, -0.2550963, 1.0]], ['2, k, 24', [0.03643702, -0.2433824, 1.0]]]
[['2, k, 0', [-0.09958484, -0.2243682, 1.0]], ['2, k, 1', [-0.1265053, 0.06107654, 1.0]], ['2, k, 2', [-0.1571823, 0.3401334, 1.0]], ['2, k, 3', [-0.1605274, 0.4726268, 1.0]], ['2, k, 4', [-0.3217135, 0.2336805, 1.0]], ['2, k, 5', [-0.3664681, 0.01141835, 1.0]], ['2, k, 6', [-0.2643982, -0.1272097, 1.0]], ['2, k, 7', [-0.2126745, -0.1440412, 1.0]], ['2, k, 8', [0.007976485, 0.2552879, 1.0]], ['2, k, 9', [0.03014977, 0.06939542, 1.0]], ['2, k, 10', [-0.006437755, -0.1114835, 1.0]], ['2, k, 11', [-0.01793694, -0.1783228, 1.0]], ['2, k, 12', [-0.1791878, -0.2290683, 1.0]], ['2, k, 13', [-0.2422692, -0.2559682, 1.0]], ['2, k, 14', [-0.2463727, -0.6815932, 1.0]], ['2, k, 15', [-0.2340913, -0.7374259, 1.0]], ['2, k, 16', [-0.0167577, -0.211754, 1.0]], ['2, k, 17', [0.08001474, -0.2421841, 1.0]], ['2, k, 18', [0.03727176, -0.6370022, 1.0]], ['2, k, 19', [0.0559205, -0.7143866, 1.0]], ['2, k, 20', [-0.1494125, 0.2715601, 1.0]], ['2, k, 21', [-0.1533878, -0.1821469, 1.0]], ['2, k, 22', [-0.2563928, -0.1527591, 1.0]], ['2, k, 23', [-0.03743789, -0.2341189, 1.0]], ['2, k, 24', [0.03839233, -0.214752, 1.0]]]
[['2, k, 0', [-0.09923208, -0.223261, 1.0]], ['2, k, 1', [-0.1270745, 0.06202996, 1.0]], ['2, k, 2', [-0.1579016, 0.3408154, 1.0]], ['2, k, 3', [-0.16361, 0.4741144, 1.0]], ['2, k, 4', [-0.3234501, 0.2332873, 1.0]], ['2, k, 5', [-0.3668813, 0.01127576, 1.0]], ['2, k, 6', [-0.2647556, -0.1286348, 1.0]], ['2, k, 7', [-0.2104866, -0.1467336, 1.0]], ['2, k, 8', [0.004386984, 0.2582707, 1.0]], ['2, k, 9', [0.02900541, 0.0792039, 1.0]], ['2, k, 10', [-0.006067088, -0.08234341, 1.0]], ['2, k, 11', [-0.01795508, -0.1456465, 1.0]], ['2, k, 12', [-0.1789208, -0.2286494, 1.0]], ['2, k, 13', [-0.2422881, -0.2559332, 1.0]], ['2, k, 14', [-0.2465075, -0.6818134, 1.0]], ['2, k, 15', [-0.2339741, -0.7370517, 1.0]], ['2, k, 16', [-0.01643091, -0.210025, 1.0]], ['2, k, 17', [0.08185593, -0.2441806, 1.0]], ['2, k, 18', [0.03889229, -0.6308048, 1.0]], ['2, k, 19', [0.05478477, -0.7105203, 1.0]], ['2, k, 20', [-0.1501507, 0.2722971, 1.0]], ['2, k, 21', [-0.1524909, -0.1844974, 1.0]], ['2, k, 22', [-0.2526324, -0.1551847, 1.0]], ['2, k, 23', [-0.02625147, -0.1948727, 1.0]], ['2, k, 24', [0.02943779, -0.1657004, 1.0]]]
[['2, k, 0', [-0.09898633, -0.2226458, 1.0]], ['2, k, 1', [-0.1276235, 0.0627505, 1.0]], ['2, k, 2', [-0.1589153, 0.3415008, 1.0]], ['2, k, 3', [-0.1650843, 0.4748386, 1.0]], ['2, k, 4', [-0.3245369, 0.2325801, 1.0]], ['2, k, 5', [-0.367108, 0.01101041, 1.0]], ['2, k, 6', [-0.2646231, -0.129592, 1.0]], ['2, k, 7', [-0.2106835, -0.1475122, 1.0]], ['2, k, 8', [0.002246439, 0.260042, 1.0]], ['2, k, 9', [0.02811502, 0.09252737, 1.0]], ['2, k, 10', [0.008990717, -0.07135301, 1.0]], ['2, k, 11', [-0.01124149, -0.1050488, 1.0]], ['2, k, 12', [-0.1784966, -0.228273, 1.0]], ['2, k, 13', [-0.2422823, -0.255799, 1.0]], ['2, k, 14', [-0.2463599, -0.6814205, 1.0]], ['2, k, 15', [-0.2340104, -0.7368892, 1.0]], ['2, k, 16', [-0.01636891, -0.2092649, 1.0]], ['2, k, 17', [0.08552762, -0.2488729, 1.0]], ['2, k, 18', [0.03878715, -0.6306362, 1.0]], ['2, k, 19', [0.05267055, -0.7116219, 1.0]], ['2, k, 20', [-0.1510969, 0.27299, 1.0]], ['2, k, 21', [-0.1535487, -0.1865906, 1.0]], ['2, k, 22', [-0.2506946, -0.1558664, 1.0]], ['2, k, 23', [-0.009533363, -0.1497861, 1.0]], ['2, k, 24', [0.02638647, -0.125137, 1.0]]]
[['2, k, 0', [-0.1005276, -0.2208256, 1.0]], ['2, k, 1', [-0.1301572, 0.06443214, 1.0]], ['2, k, 2', [-0.1608234, 0.342544, 1.0]], ['2, k, 3', [-0.1681589, 0.4783304, 1.0]], ['2, k, 4', [-0.3256515, 0.2327493, 1.0]], ['2, k, 5', [-0.3678231, 0.0119492, 1.0]], ['2, k, 6', [-0.2625525, -0.1228408, 1.0]], ['2, k, 7', [-0.2114403, -0.1473736, 1.0]], ['2, k, 8', [-0.003820048, 0.2633841, 1.0]], ['2, k, 9', [0.02225694, 0.1141985, 1.0]], ['2, k, 10', [0.01273319, 0.009392446, 1.0]], ['2, k, 11', [-0.001181951, -0.03259579, 1.0]], ['2, k, 12', [-0.1795229, -0.2273667, 1.0]], ['2, k, 13', [-0.2422855, -0.2554215, 1.0]], ['2, k, 14', [-0.2464996, -0.6811816, 1.0]], ['2, k, 15', [-0.2339537, -0.7367585, 1.0]], ['2, k, 16', [-0.01875079, -0.2066801, 1.0]], ['2, k, 17', [0.08456972, -0.2504046, 1.0]], ['2, k, 18', [0.03832757, -0.6336024, 1.0]], ['2, k, 19', [0.0522651, -0.7144372, 1.0]], ['2, k, 20', [-0.1532441, 0.2741665, 1.0]], ['2, k, 21', [-0.1555443, -0.1863374, 1.0]], ['2, k, 22', [-0.251216, -0.1555703, 1.0]], ['2, k, 23', [0.002202847, -0.06915714, 1.0]], ['2, k, 24', [0.03830886, -0.05521775, 1.0]]]
[['2, k, 0', [-0.1007037, -0.2195425, 1.0]], ['2, k, 1', [-0.1304665, 0.06545232, 1.0]], ['2, k, 2', [-0.1608423, 0.3432301, 1.0]], ['2, k, 3', [-0.1696928, 0.4783682, 1.0]], ['2, k, 4', [-0.326481, 0.2327561, 1.0]], ['2, k, 5', [-0.3678425, 0.01173415, 1.0]], ['2, k, 6', [-0.261285, -0.1219443, 1.0]], ['2, k, 7', [-0.2097086, -0.1477996, 1.0]], ['2, k, 8', [-0.009803735, 0.2676204, 1.0]], ['2, k, 9', [0.02633908, 0.1616096, 1.0]], ['2, k, 10', [0.01427581, 0.0837541, 1.0]], ['2, k, 11', [0.009301843, 0.04417522, 1.0]], ['2, k, 12', [-0.1794011, -0.2268094, 1.0]], ['2, k, 13', [-0.2421858, -0.2550409, 1.0]], ['2, k, 14', [-0.2465935, -0.6812874, 1.0]], ['2, k, 15', [-0.2338646, -0.7369338, 1.0]], ['2, k, 16', [-0.01933942, -0.2047605, 1.0]], ['2, k, 17', [0.08404656, -0.250293, 1.0]], ['2, k, 18', [0.03835119, -0.6350613, 1.0]], ['2, k, 19', [0.05242901, -0.7154378, 1.0]], ['2, k, 20', [-0.1533503, 0.2749147, 1.0]], ['2, k, 21', [-0.1522682, -0.1866215, 1.0]], ['2, k, 22', [-0.2505562, -0.1554582, 1.0]], ['2, k, 23', [0.04712155, 0.01833314, 1.0]], ['2, k, 24', [0.0453676, 0.05485271, 1.0]]]
[['2, k, 0', [-0.1006676, -0.2185923, 1.0]], ['2, k, 1', [-0.1318437, 0.06658, 1.0]], ['2, k, 2', [-0.1640387, 0.3444386, 1.0]], ['2, k, 3', [-0.1717443, 0.4778537, 1.0]], ['2, k, 4', [-0.3270918, 0.2324715, 1.0]], ['2, k, 5', [-0.367774, 0.01184645, 1.0]], ['2, k, 6', [-0.2650564, -0.125922, 1.0]], ['2, k, 7', [-0.2031867, -0.1615845, 1.0]], ['2, k, 8', [-0.01369129, 0.2707908, 1.0]], ['2, k, 9', [0.01625968, 0.1897742, 1.0]], ['2, k, 10', [0.01634882, 0.09649035, 1.0]], ['2, k, 11', [0.01333666, 0.08074433, 1.0]], ['2, k, 12', [-0.1792942, -0.2266417, 1.0]], ['2, k, 13', [-0.242059, -0.2543314, 1.0]], ['2, k, 14', [-0.2469695, -0.6801054, 1.0]], ['2, k, 15', [-0.234219, -0.7355981, 1.0]], ['2, k, 16', [-0.01954551, -0.2027964, 1.0]], ['2, k, 17', [0.08345427, -0.2499564, 1.0]], ['2, k, 18', [0.03587225, -0.6401566, 1.0]], ['2, k, 19', [0.02230538, -0.6913387, 1.0]], ['2, k, 20', [-0.1560772, 0.2761043, 1.0]], ['2, k, 21', [-0.1656369, -0.2107322, 1.0]], ['2, k, 22', [-0.2226563, -0.1803362, 1.0]], ['2, k, 23', [0.02792729, 0.06042788, 1.0]], ['2, k, 24', [0.06408563, 0.06232781, 1.0]]]
[['2, k, 0', [-0.1007924, -0.2184662, 1.0]], ['2, k, 1', [-0.1324359, 0.06699929, 1.0]], ['2, k, 2', [-0.1647521, 0.3451584, 1.0]], ['2, k, 3', [-0.1726938, 0.4780884, 1.0]], ['2, k, 4', [-0.3277538, 0.2324122, 1.0]], ['2, k, 5', [-0.3676595, 0.01170943, 1.0]], ['2, k, 6', [-0.2643768, -0.1285883, 1.0]], ['2, k, 7', [-0.2021302, -0.1611246, 1.0]], ['2, k, 8', [-0.01329698, 0.2698325, 1.0]], ['2, k, 9', [0.03735021, 0.2120738, 1.0]], ['2, k, 10', [0.01849126, 0.1617599, 1.0]], ['2, k, 11', [0.02069715, 0.1197535, 1.0]], ['2, k, 12', [-0.1794121, -0.2266169, 1.0]], ['2, k, 13', [-0.2419127, -0.2536396, 1.0]], ['2, k, 14', [-0.2470185, -0.6802613, 1.0]], ['2, k, 15', [-0.2341456, -0.7364007, 1.0]], ['2, k, 16', [-0.01963463, -0.2027295, 1.0]], ['2, k, 17', [0.08333118, -0.2494676, 1.0]], ['2, k, 18', [0.0350101, -0.644389, 1.0]], ['2, k, 19', [0.06556124, -0.7283124, 1.0]], ['2, k, 20', [-0.1567938, 0.2767383, 1.0]], ['2, k, 21', [-0.1641874, -0.212183, 1.0]], ['2, k, 22', [-0.2490538, -0.1603387, 1.0]], ['2, k, 23', [0.05486158, 0.1141942, 1.0]], ['2, k, 24', [0.05960011, 0.1127059, 1.0]]]
[['2, k, 0', [-0.1007443, -0.2184079, 1.0]], ['2, k, 1', [-0.1330647, 0.06716532, 1.0]], ['2, k, 2', [-0.1662797, 0.3454708, 1.0]], ['2, k, 3', [-0.1738372, 0.4793743, 1.0]], ['2, k, 4', [-0.3283265, 0.2318428, 1.0]], ['2, k, 5', [-0.3677196, 0.01169487, 1.0]], ['2, k, 6', [-0.2636054, -0.1309023, 1.0]], ['2, k, 7', [-0.201886, -0.1631276, 1.0]], ['2, k, 8', [-0.01777715, 0.2715144, 1.0]], ['2, k, 9', [0.03224866, 0.1996323, 1.0]], ['2, k, 10', [0.01343243, 0.1532676, 1.0]], ['2, k, 11', [0.03349491, 0.1610681, 1.0]], ['2, k, 12', [-0.1793904, -0.2267018, 1.0]], ['2, k, 13', [-0.2418762, -0.2535525, 1.0]], ['2, k, 14', [-0.2477168, -0.6806039, 1.0]], ['2, k, 15', [-0.2337589, -0.7376974, 1.0]], ['2, k, 16', [-0.0194879, -0.2024347, 1.0]], ['2, k, 17', [0.08303557, -0.2494905, 1.0]], ['2, k, 18', [0.0350375, -0.644324, 1.0]], ['2, k, 19', [0.06580511, -0.7281759, 1.0]], ['2, k, 20', [-0.1580961, 0.2770025, 1.0]], ['2, k, 21', [-0.162505, -0.2154274, 1.0]], ['2, k, 22', [-0.225359, -0.1757317, 1.0]], ['2, k, 23', [0.05899217, 0.165504, 1.0]], ['2, k, 24', [0.06951477, 0.144724, 1.0]]]
