[['2, k, 0', [-0.1634587, -0.1536517, 1.0]], ['2, k, 1', [-0.1678002, 0.1086802, 1.0]], ['2, k, 2', [-0.1706531, 0.3639585, 1.0]], ['2, k, 3', [-0.1660708, 0.5109838, 1.0]], ['2, k, 4', [-0.3370918, 0.2490278, 1.0]], ['2, k, 5', [-0.3794063, 0.03003807, 1.0]], ['2, k, 6', [-0.2669301, -0.07664929, 1.0]], ['2, k, 7', [-0.1948871, -0.1084228, 1.0]], ['2, k, 8', [0.01474416, 0.2554927, 1.0]], ['2, k, 9', [0.08276352, 0.02409253, 1.0]], ['2, k, 10', [0.0182804, -0.08794316, 1.0]], ['2, k, 11', [-0.06343502, -0.122476, 1.0]], ['2, k, 12', [-0.235117, -0.1517059, 1.0]], ['2, k, 13', [-0.2626676, -0.2063247, 1.0]], ['2, k, 14', [-0.2171842, -0.6166846, 1.0]], ['2, k, 15', [-0.2212451, -0.6898819, 1.0]], ['2, k, 16', [-0.08785813, -0.1518695, 1.0]], ['2, k, 17', [0.07639784, -0.2073572, 1.0]], ['2, k, 18', [0.009201794, -0.6156835, 1.0]], ['2, k, 19', [0.01409501, -0.6888094, 1.0]], ['2, k, 20', [-0.1701348, 0.3010927, 1.0]], ['2, k, 21', [-0.1343592, -0.1268815, 1.0]], ['2, k, 22', [-0.2024409, -0.1423868, 1.0]], ['2, k, 23', [-0.1219818, -0.1327267, 1.0]], ['2, k, 24', [0.00793063, -0.1666493, 1.0]]]
[['2, k, 0', [-0.1611835, -0.1545228, 1.0]], ['2, k, 1', [-0.1677568, 0.1085393, 1.0]], ['2, k, 2', [-0.1724988, 0.3638436, 1.0]], ['2, k, 3', [-0.17127, 0.5107135, 1.0]], ['2, k, 4', [-0.3385504, 0.2471674, 1.0]], ['2, k, 5', [-0.3792859, 0.02856488, 1.0]], ['2, k, 6', [-0.2747492, -0.08234257, 1.0]], ['2, k, 7', [-0.1974808, -0.1078532, 1.0]], ['2, k, 8', [0.01305908, 0.2564084, 1.0]], ['2, k, 9', [0.08072077, 0.02755814, 1.0]], ['2, k, 10', [0.01427665, -0.08836699, 1.0]], ['2, k, 11', [-0.0652474, -0.1208084, 1.0]], ['2, k, 12', [-0.2321034, -0.1535211, 1.0]], ['2, k, 13', [-0.2614717, -0.2059659, 1.0]], ['2, k, 14', [-0.2165405, -0.6168906, 1.0]], ['2, k, 15', [-0.2208579, -0.6898927, 1.0]], ['2, k, 16', [-0.08615044, -0.1520353, 1.0]], ['2, k, 17', [0.07985684, -0.2068302, 1.0]], ['2, k, 18', [0.00973637, -0.6157339, 1.0]], ['2, k, 19', [0.01505658, -0.6929429, 1.0]], ['2, k, 20', [-0.1711394, 0.300922, 1.0]], ['2, k, 21', [-0.132845, -0.1281011, 1.0]], ['2, k, 22', [-0.2013073, -0.1453339, 1.0]], ['2, k, 23', [-0.1264613, -0.1253182, 1.0]], ['2, k, 24', [-0.01938697, -0.1736632, 1.0]]]
[['2, k, 0', [-0.1606097, -0.1548458, 1.0]], ['2, k, 1', [-0.1679626, 0.1084834, 1.0]], ['2, k, 2', [-0.1752303, 0.3642787, 1.0]], ['2, k, 3', [-0.1768738, 0.5109963, 1.0]], ['2, k, 4', [-0.3405105, 0.245018, 1.0]], ['2, k, 5', [-0.3795595, 0.02758316, 1.0]], ['2, k, 6', [-0.2821062, -0.07449652, 1.0]], ['2, k, 7', [-0.1989859, -0.1064487, 1.0]], ['2, k, 8', [0.01080391, 0.257543, 1.0]], ['2, k, 9', [0.0807253, 0.02873225, 1.0]], ['2, k, 10', [0.01370298, -0.08676678, 1.0]], ['2, k, 11', [-0.06502056, -0.1183933, 1.0]], ['2, k, 12', [-0.2315245, -0.1541934, 1.0]], ['2, k, 13', [-0.2616118, -0.2060278, 1.0]], ['2, k, 14', [-0.2157949, -0.6192213, 1.0]], ['2, k, 15', [-0.2203863, -0.6904793, 1.0]], ['2, k, 16', [-0.08556827, -0.1519723, 1.0]], ['2, k, 17', [0.08798241, -0.2036783, 1.0]], ['2, k, 18', [0.009945505, -0.6174182, 1.0]], ['2, k, 19', [0.01673013, -0.6819983, 1.0]], ['2, k, 20', [-0.1730843, 0.3011468, 1.0]], ['2, k, 21', [-0.1308175, -0.1244474, 1.0]], ['2, k, 22', [-0.228049, -0.1373886, 1.0]], ['2, k, 23', [-0.1222948, -0.1205513, 1.0]], ['2, k, 24', [-0.02392242, -0.1762494, 1.0]]]
[['2, k, 0', [-0.1585371, -0.1549281, 1.0]], ['2, k, 1', [-0.1684645, 0.1085169, 1.0]], ['2, k, 2', [-0.1824612, 0.3651285, 1.0]], ['2, k, 3', [-0.1832487, 0.5117987, 1.0]], ['2, k, 4', [-0.3446718, 0.2417145, 1.0]], ['2, k, 5', [-0.3798743, 0.02653576, 1.0]], ['2, k, 6', [-0.2585011, -0.08525273, 1.0]], ['2, k, 7', [-0.1991149, -0.1043797, 1.0]], ['2, k, 8', [0.007210978, 0.2590158, 1.0]], ['2, k, 9', [0.07860576, 0.03090587, 1.0]], ['2, k, 10', [0.006966596, -0.07684328, 1.0]], ['2, k, 11', [-0.0729534, -0.1107553, 1.0]], ['2, k, 12', [-0.2297977, -0.1550912, 1.0]], ['2, k, 13', [-0.2629227, -0.2058735, 1.0]], ['2, k, 14', [-0.2155328, -0.6232548, 1.0]], ['2, k, 15', [-0.2199119, -0.6909401, 1.0]], ['2, k, 16', [-0.08302416, -0.1510677, 1.0]], ['2, k, 17', [0.09574386, -0.1979607, 1.0]], ['2, k, 18', [0.01558673, -0.6136709, 1.0]], ['2, k, 19', [0.02908638, -0.6788879, 1.0]], ['2, k, 20', [-0.1782445, 0.301735, 1.0]], ['2, k, 21', [-0.1272635, -0.1217557, 1.0]], ['2, k, 22', [-0.2280702, -0.1381586, 1.0]], ['2, k, 23', [-0.129823, -0.1184539, 1.0]], ['2, k, 24', [-0.09196736, -0.1458535, 1.0]]]
[['2, k, 0', [-0.1568546, -0.1550715, 1.0]], ['2, k, 1', [-0.1685677, 0.1085201, 1.0]], ['2, k, 2', [-0.1837504, 0.3653309, 1.0]], ['2, k, 3', [-0.1896906, 0.5130168, 1.0]], ['2, k, 4', [-0.3464549, 0.240027, 1.0]], ['2, k, 5', [-0.3820946, 0.02396825, 1.0]], ['2, k, 6', [-0.2591631, -0.08396734, 1.0]], ['2, k, 7', [-0.1350746, -0.1015984, 1.0]], ['2, k, 8', [0.002757245, 0.2607952, 1.0]], ['2, k, 9', [0.07794819, 0.03258897, 1.0]], ['2, k, 10', [0.0272132, -0.09456758, 1.0]], ['2, k, 11', [-0.07455342, -0.09703214, 1.0]], ['2, k, 12', [-0.228165, -0.1560602, 1.0]], ['2, k, 13', [-0.267088, -0.207102, 1.0]], ['2, k, 14', [-0.2171061, -0.6245604, 1.0]], ['2, k, 15', [-0.21982, -0.6913367, 1.0]], ['2, k, 16', [-0.08121575, -0.1503697, 1.0]], ['2, k, 17', [0.1135306, -0.1881637, 1.0]], ['2, k, 18', [0.07257486, -0.610297, 1.0]], ['2, k, 19', [0.08282471, -0.6889648, 1.0]], ['2, k, 20', [-0.1793765, 0.3018995, 1.0]], ['2, k, 21', [-0.0779101, -0.1183024, 1.0]], ['2, k, 22', [-0.1298022, -0.1498745, 1.0]], ['2, k, 23', [-0.1168904, -0.1145044, 1.0]], ['2, k, 24', [-0.07340558, -0.1391249, 1.0]]]
[['2, k, 0', [-0.155211, -0.1554297, 1.0]], ['2, k, 1', [-0.1687352, 0.1083472, 1.0]], ['2, k, 2', [-0.1855154, 0.3647766, 1.0]], ['2, k, 3', [-0.1938113, 0.5127121, 1.0]], ['2, k, 4', [-0.3485508, 0.2376647, 1.0]], ['2, k, 5', [-0.3842869, 0.02261453, 1.0]], ['2, k, 6', [-0.2784197, -0.07544176, 1.0]], ['2, k, 7', [-0.134878, -0.1038085, 1.0]], ['2, k, 8', [0.0003198276, 0.2614612, 1.0]], ['2, k, 9', [0.07744288, 0.03318335, 1.0]], ['2, k, 10', [0.02738374, -0.09404716, 1.0]], ['2, k, 11', [-0.07349417, -0.09496323, 1.0]], ['2, k, 12', [-0.2265731, -0.1572405, 1.0]], ['2, k, 13', [-0.2724294, -0.2061398, 1.0]], ['2, k, 14', [-0.2177405, -0.624854, 1.0]], ['2, k, 15', [-0.2199752, -0.6917093, 1.0]], ['2, k, 16', [-0.07951912, -0.1499789, 1.0]], ['2, k, 17', [0.1217962, -0.1852164, 1.0]], ['2, k, 18', [0.0995992, -0.6159067, 1.0]], ['2, k, 19', [0.1258139, -0.6889586, 1.0]], ['2, k, 20', [-0.1808365, 0.3014278, 1.0]], ['2, k, 21', [-0.08051643, -0.1177782, 1.0]], ['2, k, 22', [-0.1304408, -0.1483307, 1.0]], ['2, k, 23', [-0.109484, -0.1124287, 1.0]], ['2, k, 24', [-0.07532685, -0.1421462, 1.0]]]
[['2, k, 0', [-0.1535471, -0.1558139, 1.0]], ['2, k, 1', [-0.1685997, 0.1085914, 1.0]], ['2, k, 2', [-0.1858273, 0.3662384, 1.0]], ['2, k, 3', [-0.1971411, 0.5128043, 1.0]], ['2, k, 4', [-0.3508238, 0.2346483, 1.0]], ['2, k, 5', [-0.3857557, 0.02267925, 1.0]], ['2, k, 6', [-0.2961708, -0.0884131, 1.0]], ['2, k, 7', [-0.237012, -0.1005228, 1.0]], ['2, k, 8', [-0.0005253888, 0.2618426, 1.0]], ['2, k, 9', [0.1026542, 0.04029965, 1.0]], ['2, k, 10', [0.01531911, -0.07010593, 1.0]], ['2, k, 11', [-0.05010288, -0.1043141, 1.0]], ['2, k, 12', [-0.2249834, -0.1583716, 1.0]], ['2, k, 13', [-0.2764602, -0.2063241, 1.0]], ['2, k, 14', [-0.2181144, -0.6249593, 1.0]], ['2, k, 15', [-0.2197109, -0.6920155, 1.0]], ['2, k, 16', [-0.0778202, -0.149641, 1.0]], ['2, k, 17', [0.1331993, -0.1842547, 1.0]], ['2, k, 18', [0.1293275, -0.6197762, 1.0]], ['2, k, 19', [0.1513138, -0.6914137, 1.0]], ['2, k, 20', [-0.1810945, 0.3024824, 1.0]], ['2, k, 21', [-0.1553044, -0.1127128, 1.0]], ['2, k, 22', [-0.2121108, -0.1400568, 1.0]], ['2, k, 23', [-0.1106128, -0.1130422, 1.0]], ['2, k, 24', [-0.03933024, -0.1567875, 1.0]]]
[['2, k, 0', [-0.1529539, -0.1558773, 1.0]], ['2, k, 1', [-0.1694645, 0.1081727, 1.0]], ['2, k, 2', [-0.1897878, 0.3646364, 1.0]], ['2, k, 3', [-0.2003269, 0.5118422, 1.0]], ['2, k, 4', [-0.3532968, 0.2327861, 1.0]], ['2, k, 5', [-0.3886597, 0.02178108, 1.0]], ['2, k, 6', [-0.2988245, -0.08951414, 1.0]], ['2, k, 7', [-0.1401444, -0.1049077, 1.0]], ['2, k, 8', [-0.001650961, 0.2617922, 1.0]], ['2, k, 9', [0.08652467, 0.03701296, 1.0]], ['2, k, 10', [0.005491094, -0.07845633, 1.0]], ['2, k, 11', [-0.08529198, -0.09581822, 1.0]], ['2, k, 12', [-0.2247139, -0.1589728, 1.0]], ['2, k, 13', [-0.284182, -0.205723, 1.0]], ['2, k, 14', [-0.2188546, -0.6249713, 1.0]], ['2, k, 15', [-0.2197492, -0.6920342, 1.0]], ['2, k, 16', [-0.07697886, -0.149291, 1.0]], ['2, k, 17', [0.1681749, -0.1905317, 1.0]], ['2, k, 18', [0.246824, -0.6248583, 1.0]], ['2, k, 19', [0.2796805, -0.6810687, 1.0]], ['2, k, 20', [-0.1843434, 0.3012632, 1.0]], ['2, k, 21', [-0.09036455, -0.1190553, 1.0]], ['2, k, 22', [-0.1401878, -0.1442929, 1.0]], ['2, k, 23', [-0.1287687, -0.1089898, 1.0]], ['2, k, 24', [-0.07376935, -0.1428441, 1.0]]]
[['2, k, 0', [-0.1528977, -0.1559294, 1.0]], ['2, k, 1', [-0.1706363, 0.1079251, 1.0]], ['2, k, 2', [-0.19248, 0.3644635, 1.0]], ['2, k, 3', [-0.2024559, 0.512015, 1.0]], ['2, k, 4', [-0.3546287, 0.23222, 1.0]], ['2, k, 5', [-0.3897543, 0.02162278, 1.0]], ['2, k, 6', [-0.294343, -0.08317718, 1.0]], ['2, k, 7', [-0.2282785, -0.1054261, 1.0]], ['2, k, 8', [-0.003388006, 0.2616463, 1.0]], ['2, k, 9', [0.07037666, 0.03436861, 1.0]], ['2, k, 10', [0.002140375, -0.09055276, 1.0]], ['2, k, 11', [-0.05786768, -0.123343, 1.0]], ['2, k, 12', [-0.2247989, -0.1591928, 1.0]], ['2, k, 13', [-0.2884458, -0.2061879, 1.0]], ['2, k, 14', [-0.219498, -0.6256078, 1.0]], ['2, k, 15', [-0.2211688, -0.6917974, 1.0]], ['2, k, 16', [-0.07666644, -0.1492418, 1.0]], ['2, k, 17', [0.1762082, -0.1983651, 1.0]], ['2, k, 18', [0.2894239, -0.6442095, 1.0]], ['2, k, 19', [0.3043396, -0.6839373, 1.0]], ['2, k, 20', [-0.1868367, 0.3010803, 1.0]], ['2, k, 21', [-0.1486798, -0.1271354, 1.0]], ['2, k, 22', [-0.2115743, -0.1416348, 1.0]], ['2, k, 23', [-0.1184917, -0.1279067, 1.0]], ['2, k, 24', [-0.1080888, -0.1547482, 1.0]]]
[['2, k, 0', [-0.1533397, -0.1558171, 1.0]], ['2, k, 1', [-0.1725923, 0.1071939, 1.0]], ['2, k, 2', [-0.1947427, 0.3626104, 1.0]], ['2, k, 3', [-0.2036683, 0.5101296, 1.0]], ['2, k, 4', [-0.3567057, 0.2317138, 1.0]], ['2, k, 5', [-0.3912348, 0.02106193, 1.0]], ['2, k, 6', [-0.2920911, -0.08295836, 1.0]], ['2, k, 7', [-0.2267814, -0.1065415, 1.0]], ['2, k, 8', [-0.004773693, 0.2612107, 1.0]], ['2, k, 9', [0.06352443, 0.05091841, 1.0]], ['2, k, 10', [0.02432718, -0.0705243, 1.0]], ['2, k, 11', [-0.06757392, -0.1146721, 1.0]], ['2, k, 12', [-0.2264042, -0.1590765, 1.0]], ['2, k, 13', [-0.2926282, -0.2060745, 1.0]], ['2, k, 14', [-0.2211471, -0.6236957, 1.0]], ['2, k, 15', [-0.2199147, -0.6920136, 1.0]], ['2, k, 16', [-0.07673133, -0.1491048, 1.0]], ['2, k, 17', [0.1872477, -0.2151897, 1.0]], ['2, k, 18', [0.3518322, -0.6447368, 1.0]], ['2, k, 19', [0.3793945, -0.6855469, 1.0]], ['2, k, 20', [-0.1891637, 0.2995428, 1.0]], ['2, k, 21', [-0.1493325, -0.1219865, 1.0]], ['2, k, 22', [-0.2449623, -0.1430024, 1.0]], ['2, k, 23', [-0.1197271, -0.1217999, 1.0]], ['2, k, 24', [-0.1050278, -0.1515168, 1.0]]]
[['2, k, 0', [-0.1539605, -0.155782, 1.0]], ['2, k, 1', [-0.1733562, 0.1070279, 1.0]], ['2, k, 2', [-0.1953101, 0.3623556, 1.0]], ['2, k, 3', [-0.2039479, 0.5099451, 1.0]], ['2, k, 4', [-0.3571415, 0.2315282, 1.0]], ['2, k, 5', [-0.3924314, 0.02091056, 1.0]], ['2, k, 6', [-0.2915804, -0.08282816, 1.0]], ['2, k, 7', [-0.2248804, -0.1080186, 1.0]], ['2, k, 8', [-0.005363865, 0.2606553, 1.0]], ['2, k, 9', [0.06296783, 0.03132259, 1.0]], ['2, k, 10', [-0.009839861, -0.08507007, 1.0]], ['2, k, 11', [-0.06255747, -0.1161259, 1.0]], ['2, k, 12', [-0.228457, -0.1589122, 1.0]], ['2, k, 13', [-0.2974935, -0.2048046, 1.0]], ['2, k, 14', [-0.2216917, -0.6232053, 1.0]], ['2, k, 15', [-0.2201575, -0.6916614, 1.0]], ['2, k, 16', [-0.07672161, -0.149097, 1.0]], ['2, k, 17', [0.1932722, -0.2239263, 1.0]], ['2, k, 18', [0.3651488, -0.643202, 1.0]], ['2, k, 19', [0.3701689, -0.679478, 1.0]], ['2, k, 20', [-0.1898155, 0.2993289, 1.0]], ['2, k, 21', [-0.1471567, -0.1303645, 1.0]], ['2, k, 22', [-0.2444881, -0.1436464, 1.0]], ['2, k, 23', [-0.1194406, -0.126568, 1.0]], ['2, k, 24', [-0.01058059, -0.16526, 1.0]]]
