[['2, k, 0', [-0.03114864, -0.2106481, 1.0]], ['2, k, 1', [-0.02597688, 0.0477477, 1.0]], ['2, k, 2', [-0.02199502, 0.2997007, 1.0]], ['2, k, 3', [-0.01735315, 0.4410975, 1.0]], ['2, k, 4', [-0.199675, 0.1988604, 1.0]], ['2, k, 5', [-0.3233297, -0.004392646, 1.0]], ['2, k, 6', [-0.3289127, -0.09939995, 1.0]], ['2, k, 7', [-0.3498358, -0.06627467, 1.0]], ['2, k, 8', [0.1490307, 0.2106939, 1.0]], ['2, k, 9', [0.2137718, 0.01981021, 1.0]], ['2, k, 10', [0.1939804, -0.1589684, 1.0]], ['2, k, 11', [0.1844152, -0.2128671, 1.0]], ['2, k, 12', [-0.1085861, -0.2061583, 1.0]], ['2, k, 13', [-0.182819, -0.3719312, 1.0]], ['2, k, 14', [-0.2413889, -0.7217299, 1.0]], ['2, k, 15', [-0.2078797, -0.7533987, 1.0]], ['2, k, 16', [0.04695568, -0.2094016, 1.0]], ['2, k, 17', [0.08618459, -0.3830251, 1.0]], ['2, k, 18', [0.1063231, -0.7323185, 1.0]], ['2, k, 19', [0.08006836, -0.7628646, 1.0]], ['2, k, 20', [-0.02294542, 0.237581, 1.0]], ['2, k, 21', [-0.4004139, -0.08216725, 1.0]], ['2, k, 22', [-0.322826, -0.04177182, 1.0]], ['2, k, 23', [0.1691569, -0.2670285, 1.0]], ['2, k, 24', [0.187387, -0.2361253, 1.0]]]
[['2, k, 0', [-0.03116259, -0.2106294, 1.0]], ['2, k, 1', [-0.02595953, 0.04776022, 1.0]], ['2, k, 2', [-0.02186964, 0.2997144, 1.0]], ['2, k, 3', [-0.01736144, 0.4411033, 1.0]], ['2, k, 4', [-0.1997086, 0.1988905, 1.0]], ['2, k, 5', [-0.3232571, -0.00433972, 1.0]], ['2, k, 6', [-0.3039357, -0.161943, 1.0]], ['2, k, 7', [-0.2869837, -0.2099334, 1.0]], ['2, k, 8', [0.1489999, 0.2102588, 1.0]], ['2, k, 9', [0.2134085, 0.01965151, 1.0]], ['2, k, 10', [0.193803, -0.1594459, 1.0]], ['2, k, 11', [0.1874925, -0.2029503, 1.0]], ['2, k, 12', [-0.1086501, -0.2061616, 1.0]], ['2, k, 13', [-0.1827658, -0.3716272, 1.0]], ['2, k, 14', [-0.234466, -0.7226071, 1.0]], ['2, k, 15', [-0.2071264, -0.7559868, 1.0]], ['2, k, 16', [0.04697396, -0.2093794, 1.0]], ['2, k, 17', [0.08607351, -0.3829905, 1.0]], ['2, k, 18', [0.1062419, -0.7311029, 1.0]], ['2, k, 19', [0.08012033, -0.7627864, 1.0]], ['2, k, 20', [-0.02286326, 0.2375938, 1.0]], ['2, k, 21', [-0.2607555, -0.2524748, 1.0]], ['2, k, 22', [-0.2898133, -0.1816305, 1.0]], ['2, k, 23', [0.1590745, -0.2638671, 1.0]], ['2, k, 24', [0.1904462, -0.2263082, 1.0]]]
[['2, k, 0', [-0.03105078, -0.2105883, 1.0]], ['2, k, 1', [-0.02594818, 0.04777571, 1.0]], ['2, k, 2', [-0.02187372, 0.299728, 1.0]], ['2, k, 3', [-0.0173623, 0.4410883, 1.0]], ['2, k, 4', [-0.1997041, 0.1988897, 1.0]], ['2, k, 5', [-0.3229404, -0.003817722, 1.0]], ['2, k, 6', [-0.3343752, -0.067306, 1.0]], ['2, k, 7', [-0.3271777, -0.07928605, 1.0]], ['2, k, 8', [0.149016, 0.2100557, 1.0]], ['2, k, 9', [0.2136678, 0.01962114, 1.0]], ['2, k, 10', [0.1932994, -0.1577386, 1.0]], ['2, k, 11', [0.1860491, -0.2050352, 1.0]], ['2, k, 12', [-0.1085758, -0.2061652, 1.0]], ['2, k, 13', [-0.182838, -0.3715509, 1.0]], ['2, k, 14', [-0.2371153, -0.7216294, 1.0]], ['2, k, 15', [-0.2069337, -0.7548632, 1.0]], ['2, k, 16', [0.04715373, -0.209281, 1.0]], ['2, k, 17', [0.08607472, -0.3829895, 1.0]], ['2, k, 18', [0.1061863, -0.7308404, 1.0]], ['2, k, 19', [0.07954642, -0.7626235, 1.0]], ['2, k, 20', [-0.02286388, 0.2376077, 1.0]], ['2, k, 21', [-0.3790294, -0.09402199, 1.0]], ['2, k, 22', [-0.3004335, -0.04756794, 1.0]], ['2, k, 23', [0.1621667, -0.2638345, 1.0]], ['2, k, 24', [0.1928095, -0.21334, 1.0]]]
[['2, k, 0', [-0.03072964, -0.2107433, 1.0]], ['2, k, 1', [-0.02585945, 0.04773313, 1.0]], ['2, k, 2', [-0.02182034, 0.2997182, 1.0]], ['2, k, 3', [-0.01741435, 0.4411851, 1.0]], ['2, k, 4', [-0.1997802, 0.1981674, 1.0]], ['2, k, 5', [-0.3229007, -0.003677883, 1.0]], ['2, k, 6', [-0.3344652, -0.06695755, 1.0]], ['2, k, 7', [-0.3331177, -0.08832811, 1.0]], ['2, k, 8', [0.1489969, 0.2099793, 1.0]], ['2, k, 9', [0.2142785, 0.02072727, 1.0]], ['2, k, 10', [0.1926213, -0.1780917, 1.0]], ['2, k, 11', [0.1865594, -0.2173994, 1.0]], ['2, k, 12', [-0.1082068, -0.206353, 1.0]], ['2, k, 13', [-0.1828886, -0.3708366, 1.0]], ['2, k, 14', [-0.2373051, -0.72146, 1.0]], ['2, k, 15', [-0.2059657, -0.7542586, 1.0]], ['2, k, 16', [0.04748676, -0.2094456, 1.0]], ['2, k, 17', [0.08611155, -0.3835169, 1.0]], ['2, k, 18', [0.1063572, -0.7311927, 1.0]], ['2, k, 19', [0.07983314, -0.7623867, 1.0]], ['2, k, 20', [-0.02281164, 0.2375932, 1.0]], ['2, k, 21', [-0.3832243, -0.08967642, 1.0]], ['2, k, 22', [-0.3156661, -0.0439982, 1.0]], ['2, k, 23', [0.1672636, -0.2645889, 1.0]], ['2, k, 24', [0.1759963, -0.2491414, 1.0]]]
[['2, k, 0', [-0.03041178, -0.2109942, 1.0]], ['2, k, 1', [-0.02554975, 0.047658, 1.0]], ['2, k, 2', [-0.02130455, 0.2997946, 1.0]], ['2, k, 3', [-0.01739459, 0.4410617, 1.0]], ['2, k, 4', [-0.1998017, 0.1974652, 1.0]], ['2, k, 5', [-0.3236061, -0.004025104, 1.0]], ['2, k, 6', [-0.3365514, -0.07657435, 1.0]], ['2, k, 7', [-0.4050378, -0.08127463, 1.0]], ['2, k, 8', [0.1489475, 0.2096329, 1.0]], ['2, k, 9', [0.2162446, 0.02230867, 1.0]], ['2, k, 10', [0.193752, -0.1668416, 1.0]], ['2, k, 11', [0.1861563, -0.2149302, 1.0]], ['2, k, 12', [-0.1079636, -0.2067369, 1.0]], ['2, k, 13', [-0.1828796, -0.3707814, 1.0]], ['2, k, 14', [-0.2339588, -0.7199348, 1.0]], ['2, k, 15', [-0.2055792, -0.7547191, 1.0]], ['2, k, 16', [0.04792869, -0.2095934, 1.0]], ['2, k, 17', [0.08592315, -0.3833758, 1.0]], ['2, k, 18', [0.1064062, -0.7312074, 1.0]], ['2, k, 19', [0.07984327, -0.7621512, 1.0]], ['2, k, 20', [-0.02236284, 0.2376257, 1.0]], ['2, k, 21', [-0.3967561, -0.06220728, 1.0]], ['2, k, 22', [-0.4090694, -0.06244815, 1.0]], ['2, k, 23', [0.1694635, -0.272772, 1.0]], ['2, k, 24', [0.1845311, -0.2492076, 1.0]]]
[['2, k, 0', [-0.0304204, -0.2110775, 1.0]], ['2, k, 1', [-0.02553463, 0.04758478, 1.0]], ['2, k, 2', [-0.02124328, 0.2997245, 1.0]], ['2, k, 3', [-0.01740591, 0.4410627, 1.0]], ['2, k, 4', [-0.1998771, 0.1968922, 1.0]], ['2, k, 5', [-0.3306621, -0.003438791, 1.0]], ['2, k, 6', [-0.3327946, -0.08971161, 1.0]], ['2, k, 7', [-0.3349357, -0.07928193, 1.0]], ['2, k, 8', [0.1489573, 0.2094129, 1.0]], ['2, k, 9', [0.2168556, 0.02246935, 1.0]], ['2, k, 10', [0.1936706, -0.1860371, 1.0]], ['2, k, 11', [0.1838347, -0.2264036, 1.0]], ['2, k, 12', [-0.1079852, -0.2067723, 1.0]], ['2, k, 13', [-0.1827911, -0.3718245, 1.0]], ['2, k, 14', [-0.234157, -0.7206674, 1.0]], ['2, k, 15', [-0.202772, -0.7541199, 1.0]], ['2, k, 16', [0.04798133, -0.2097759, 1.0]], ['2, k, 17', [0.08574513, -0.3827443, 1.0]], ['2, k, 18', [0.1061267, -0.7311941, 1.0]], ['2, k, 19', [0.07999489, -0.7624027, 1.0]], ['2, k, 20', [-0.0223149, 0.2375583, 1.0]], ['2, k, 21', [-0.3849455, -0.09443322, 1.0]], ['2, k, 22', [-0.3848929, -0.1044035, 1.0]], ['2, k, 23', [0.18056, -0.2661347, 1.0]], ['2, k, 24', [0.1691262, -0.2332268, 1.0]]]
[['2, k, 0', [-0.03020775, -0.2111794, 1.0]], ['2, k, 1', [-0.02544878, 0.04758099, 1.0]], ['2, k, 2', [-0.02110979, 0.2998161, 1.0]], ['2, k, 3', [-0.01735663, 0.4410957, 1.0]], ['2, k, 4', [-0.2002922, 0.195353, 1.0]], ['2, k, 5', [-0.3351123, -0.003702492, 1.0]], ['2, k, 6', [-0.3329484, -0.09193486, 1.0]], ['2, k, 7', [-0.334339, -0.08279417, 1.0]], ['2, k, 8', [0.1491663, 0.2091408, 1.0]], ['2, k, 9', [0.2174768, 0.02188114, 1.0]], ['2, k, 10', [0.1963911, -0.194012, 1.0]], ['2, k, 11', [0.1781536, -0.2410005, 1.0]], ['2, k, 12', [-0.1077224, -0.2069777, 1.0]], ['2, k, 13', [-0.1828864, -0.3716446, 1.0]], ['2, k, 14', [-0.2335497, -0.7201793, 1.0]], ['2, k, 15', [-0.2032625, -0.7546272, 1.0]], ['2, k, 16', [0.04818592, -0.2098022, 1.0]], ['2, k, 17', [0.0856937, -0.3828185, 1.0]], ['2, k, 18', [0.1059049, -0.7311254, 1.0]], ['2, k, 19', [0.0805842, -0.7625756, 1.0]], ['2, k, 20', [-0.02219802, 0.2376158, 1.0]], ['2, k, 21', [-0.3847716, -0.08918088, 1.0]], ['2, k, 22', [-0.3771606, -0.04870645, 1.0]], ['2, k, 23', [0.1533496, -0.2621849, 1.0]], ['2, k, 24', [0.1360661, -0.2569415, 1.0]]]
[['2, k, 0', [-0.03019756, -0.2111928, 1.0]], ['2, k, 1', [-0.02535981, 0.0475398, 1.0]], ['2, k, 2', [-0.02080594, 0.29974, 1.0]], ['2, k, 3', [-0.01733061, 0.4410212, 1.0]], ['2, k, 4', [-0.2006893, 0.1949801, 1.0]], ['2, k, 5', [-0.3380403, -0.002585343, 1.0]], ['2, k, 6', [-0.3457418, -0.08368371, 1.0]], ['2, k, 7', [-0.3373555, -0.08172509, 1.0]], ['2, k, 8', [0.1493953, 0.2084429, 1.0]], ['2, k, 9', [0.2204063, 0.02126274, 1.0]], ['2, k, 10', [0.1907931, -0.1511318, 1.0]], ['2, k, 11', [0.1851207, -0.196999, 1.0]], ['2, k, 12', [-0.1077162, -0.2070462, 1.0]], ['2, k, 13', [-0.1827488, -0.3714927, 1.0]], ['2, k, 14', [-0.2350715, -0.7192138, 1.0]], ['2, k, 15', [-0.2046036, -0.7554026, 1.0]], ['2, k, 16', [0.04820302, -0.2097957, 1.0]], ['2, k, 17', [0.08569583, -0.382825, 1.0]], ['2, k, 18', [0.106109, -0.7310195, 1.0]], ['2, k, 19', [0.08058399, -0.7626705, 1.0]], ['2, k, 20', [-0.02196131, 0.2375504, 1.0]], ['2, k, 21', [-0.3815222, -0.0920099, 1.0]], ['2, k, 22', [-0.3792442, -0.05577955, 1.0]], ['2, k, 23', [0.1575634, -0.2632658, 1.0]], ['2, k, 24', [0.1429753, -0.2133418, 1.0]]]
[['2, k, 0', [-0.03011364, -0.2112055, 1.0]], ['2, k, 1', [-0.02526096, 0.04752553, 1.0]], ['2, k, 2', [-0.02065665, 0.2997245, 1.0]], ['2, k, 3', [-0.01701846, 0.4409813, 1.0]], ['2, k, 4', [-0.2012605, 0.1945443, 1.0]], ['2, k, 5', [-0.3408846, 0.002538681, 1.0]], ['2, k, 6', [-0.3315265, -0.1024863, 1.0]], ['2, k, 7', [-0.3293681, -0.123306, 1.0]], ['2, k, 8', [0.1495707, 0.2081226, 1.0]], ['2, k, 9', [0.2220563, 0.02224118, 1.0]], ['2, k, 10', [0.2001783, -0.08493719, 1.0]], ['2, k, 11', [0.2010163, -0.07852907, 1.0]], ['2, k, 12', [-0.1075319, -0.2072099, 1.0]], ['2, k, 13', [-0.1829053, -0.3711867, 1.0]], ['2, k, 14', [-0.236112, -0.7196619, 1.0]], ['2, k, 15', [-0.2043892, -0.7551393, 1.0]], ['2, k, 16', [0.04825446, -0.2097349, 1.0]], ['2, k, 17', [0.08596986, -0.3826618, 1.0]], ['2, k, 18', [0.1059121, -0.7308673, 1.0]], ['2, k, 19', [0.08030513, -0.7628523, 1.0]], ['2, k, 20', [-0.02182413, 0.2375358, 1.0]], ['2, k, 21', [-0.3980648, -0.0917475, 1.0]], ['2, k, 22', [-0.376395, -0.06537532, 1.0]], ['2, k, 23', [0.2198467, -0.0532285, 1.0]], ['2, k, 24', [0.2359526, -0.04738003, 1.0]]]
[['2, k, 0', [-0.03078332, -0.2111719, 1.0]], ['2, k, 1', [-0.02533877, 0.04750589, 1.0]], ['2, k, 2', [-0.02051565, 0.2996674, 1.0]], ['2, k, 3', [-0.01675203, 0.4409702, 1.0]], ['2, k, 4', [-0.2028295, 0.194197, 1.0]], ['2, k, 5', [-0.3699091, 0.009408612, 1.0]], ['2, k, 6', [-0.3458888, -0.06206658, 1.0]], ['2, k, 7', [-0.4039876, -0.07608075, 1.0]], ['2, k, 8', [0.1499059, 0.2065426, 1.0]], ['2, k, 9', [0.2228476, 0.02153317, 1.0]], ['2, k, 10', [0.1947297, -0.1534682, 1.0]], ['2, k, 11', [0.1867406, -0.1913857, 1.0]], ['2, k, 12', [-0.1082216, -0.2071943, 1.0]], ['2, k, 13', [-0.1829226, -0.3711375, 1.0]], ['2, k, 14', [-0.2363714, -0.7198079, 1.0]], ['2, k, 15', [-0.2219691, -0.7696106, 1.0]], ['2, k, 16', [0.04756238, -0.2096774, 1.0]], ['2, k, 17', [0.08603277, -0.3826947, 1.0]], ['2, k, 18', [0.1063648, -0.7300647, 1.0]], ['2, k, 19', [0.08070892, -0.7619998, 1.0]], ['2, k, 20', [-0.0217617, 0.2375004, 1.0]], ['2, k, 21', [-0.4014002, -0.07571062, 1.0]], ['2, k, 22', [-0.4058614, -0.05441477, 1.0]], ['2, k, 23', [0.155214, -0.263227, 1.0]], ['2, k, 24', [0.2218301, -0.1592379, 1.0]]]
[['2, k, 0', [-0.03096399, -0.2110828, 1.0]], ['2, k, 1', [-0.02525521, 0.04751604, 1.0]], ['2, k, 2', [-0.01979005, 0.2995839, 1.0]], ['2, k, 3', [-0.01633003, 0.4409706, 1.0]], ['2, k, 4', [-0.2039595, 0.1945007, 1.0]], ['2, k, 5', [-0.3613636, 0.01973593, 1.0]], ['2, k, 6', [-0.3463206, -0.06287226, 1.0]], ['2, k, 7', [-0.4007299, -0.0716302, 1.0]], ['2, k, 8', [0.1499751, 0.2062338, 1.0]], ['2, k, 9', [0.2238246, 0.02118781, 1.0]], ['2, k, 10', [0.2110131, -0.07640777, 1.0]], ['2, k, 11', [0.2041185, -0.08158529, 1.0]], ['2, k, 12', [-0.1083912, -0.2071033, 1.0]], ['2, k, 13', [-0.1828635, -0.3705181, 1.0]], ['2, k, 14', [-0.2377346, -0.7191092, 1.0]], ['2, k, 15', [-0.2093078, -0.7545858, 1.0]], ['2, k, 16', [0.04735376, -0.2095853, 1.0]], ['2, k, 17', [0.08602194, -0.3827463, 1.0]], ['2, k, 18', [0.1066607, -0.7301434, 1.0]], ['2, k, 19', [0.0809572, -0.7621234, 1.0]], ['2, k, 20', [-0.02126221, 0.2374531, 1.0]], ['2, k, 21', [-0.4053089, -0.05581461, 1.0]], ['2, k, 22', [-0.4026566, -0.02945181, 1.0]], ['2, k, 23', [0.2271496, -0.05224524, 1.0]], ['2, k, 24', [0.2298218, -0.05784296, 1.0]]]
