[['2, k, 0', [0.201313, -1.21396, 1.0]], ['2, k, 1', [0.188738, -0.927412, 1.0]], ['2, k, 2', [0.175615, -0.642304, 1.0]], ['2, k, 3', [0.170148, -0.522027, 1.0]], ['2, k, 4', [-0.00129771, -0.714543, 1.0]], ['2, k, 5', [-0.1402, -0.812072, 1.0]], ['2, k, 6', [-0.192167, -0.808414, 1.0]], ['2, k, 7', [-0.200847, -0.79978, 1.0]], ['2, k, 8', [0.35829, -0.72303, 1.0]], ['2, k, 9', [0.472919, -0.851057, 1.0]], ['2, k, 10', [0.470808, -0.881416, 1.0]], ['2, k, 11', [0.456453, -0.89654, 1.0]], ['2, k, 12', [0.117493, -1.19926, 1.0]], ['2, k, 13', [0.121205, -1.44827, 1.0]], ['2, k, 14', [0.11613, -1.8046, 1.0]], ['2, k, 15', [0.104098, -1.8376, 1.0]], ['2, k, 16', [0.280903, -1.20313, 1.0]], ['2, k, 17', [0.308122, -1.44137, 1.0]], ['2, k, 18', [0.336442, -1.79466, 1.0]], ['2, k, 19', [0.329624, -1.84683, 1.0]], ['2, k, 20', [0.179004, -0.71352, 1.0]], ['2, k, 21', [-0.196235, -0.809614, 1.0]], ['2, k, 22', [-0.16633, -0.797918, 1.0]], ['2, k, 23', [0.458518, -0.902634, 1.0]], ['2, k, 24', [0.493592, -0.881568, 1.0]]]
[['2, k, 0', [0.200996, -1.2112, 1.0]], ['2, k, 1', [0.188714, -0.925869, 1.0]], ['2, k, 2', [0.175769, -0.641436, 1.0]], ['2, k, 3', [0.16862, -0.498136, 1.0]], ['2, k, 4', [-0.000942269, -0.713853, 1.0]], ['2, k, 5', [-0.139951, -0.807134, 1.0]], ['2, k, 6', [-0.206558, -0.762752, 1.0]], ['2, k, 7', [-0.207482, -0.773603, 1.0]], ['2, k, 8', [0.358338, -0.722387, 1.0]], ['2, k, 9', [0.473317, -0.843107, 1.0]], ['2, k, 10', [0.50434, -0.868449, 1.0]], ['2, k, 11', [0.458771, -0.878112, 1.0]], ['2, k, 12', [0.117182, -1.19645, 1.0]], ['2, k, 13', [0.12154, -1.46241, 1.0]], ['2, k, 14', [0.115029, -1.88481, 1.0]], ['2, k, 15', [0.1016, -1.9158, 1.0]], ['2, k, 16', [0.280582, -1.20043, 1.0]], ['2, k, 17', [0.311021, -1.46433, 1.0]], ['2, k, 18', [0.340332, -1.86961, 1.0]], ['2, k, 19', [0.330711, -1.92452, 1.0]], ['2, k, 20', [0.179116, -0.712528, 1.0]], ['2, k, 21', [-0.189171, -0.783405, 1.0]], ['2, k, 22', [-0.163521, -0.76689, 1.0]], ['2, k, 23', [0.472146, -0.884312, 1.0]], ['2, k, 24', [0.503467, -0.871339, 1.0]]]
[['2, k, 0', [0.203476, -1.20857, 1.0]], ['2, k, 1', [0.190314, -0.92318, 1.0]], ['2, k, 2', [0.17677, -0.638422, 1.0]], ['2, k, 3', [0.168688, -0.497141, 1.0]], ['2, k, 4', [3.37809e-05, -0.710244, 1.0]], ['2, k, 5', [-0.136826, -0.799647, 1.0]], ['2, k, 6', [-0.184098, -0.763265, 1.0]], ['2, k, 7', [-0.200452, -0.748244, 1.0]], ['2, k, 8', [0.358612, -0.719987, 1.0]], ['2, k, 9', [0.478069, -0.842957, 1.0]], ['2, k, 10', [0.484463, -0.851074, 1.0]], ['2, k, 11', [0.456754, -0.856009, 1.0]], ['2, k, 12', [0.119842, -1.19365, 1.0]], ['2, k, 13', [0.121861, -1.47852, 1.0]], ['2, k, 14', [0.109414, -1.89908, 1.0]], ['2, k, 15', [0.0930975, -1.93865, 1.0]], ['2, k, 16', [0.282901, -1.19796, 1.0]], ['2, k, 17', [0.313002, -1.48092, 1.0]], ['2, k, 18', [0.340151, -1.88461, 1.0]], ['2, k, 19', [0.329002, -1.94594, 1.0]], ['2, k, 20', [0.180262, -0.70962, 1.0]], ['2, k, 21', [-0.191377, -0.756204, 1.0]], ['2, k, 22', [-0.130571, -0.761865, 1.0]], ['2, k, 23', [0.466093, -0.861342, 1.0]], ['2, k, 24', [0.508393, -0.860667, 1.0]]]
[['2, k, 0', [0.203985, -1.20423, 1.0]], ['2, k, 1', [0.191793, -0.918379, 1.0]], ['2, k, 2', [0.179679, -0.632436, 1.0]], ['2, k, 3', [0.169349, -0.495489, 1.0]], ['2, k, 4', [0.00011048, -0.709703, 1.0]], ['2, k, 5', [-0.125226, -0.774969, 1.0]], ['2, k, 6', [-0.185073, -0.71862, 1.0]], ['2, k, 7', [-0.198652, -0.72367, 1.0]], ['2, k, 8', [0.359699, -0.717556, 1.0]], ['2, k, 9', [0.485253, -0.837183, 1.0]], ['2, k, 10', [0.476686, -0.829171, 1.0]], ['2, k, 11', [0.45901, -0.83594, 1.0]], ['2, k, 12', [0.120298, -1.18962, 1.0]], ['2, k, 13', [0.121857, -1.45638, 1.0]], ['2, k, 14', [0.11105, -1.87572, 1.0]], ['2, k, 15', [0.0965831, -1.91091, 1.0]], ['2, k, 16', [0.283434, -1.19328, 1.0]], ['2, k, 17', [0.310679, -1.45839, 1.0]], ['2, k, 18', [0.339104, -1.86386, 1.0]], ['2, k, 19', [0.329715, -1.91876, 1.0]], ['2, k, 20', [0.182749, -0.703966, 1.0]], ['2, k, 21', [-0.184725, -0.730922, 1.0]], ['2, k, 22', [-0.124941, -0.742231, 1.0]], ['2, k, 23', [0.467391, -0.840176, 1.0]], ['2, k, 24', [0.505594, -0.838045, 1.0]]]
[['2, k, 0', [0.203519, -1.2032, 1.0]], ['2, k, 1', [0.192158, -0.916526, 1.0]], ['2, k, 2', [0.18154, -0.629197, 1.0]], ['2, k, 3', [0.170718, -0.491594, 1.0]], ['2, k, 4', [0.00121766, -0.698541, 1.0]], ['2, k, 5', [-0.131607, -0.761561, 1.0]], ['2, k, 6', [-0.168124, -0.729507, 1.0]], ['2, k, 7', [-0.194807, -0.701639, 1.0]], ['2, k, 8', [0.360968, -0.712041, 1.0]], ['2, k, 9', [0.494335, -0.822122, 1.0]], ['2, k, 10', [0.480741, -0.82443, 1.0]], ['2, k, 11', [0.4613, -0.813434, 1.0]], ['2, k, 12', [0.119766, -1.18816, 1.0]], ['2, k, 13', [0.12232, -1.44605, 1.0]], ['2, k, 14', [0.117302, -1.85348, 1.0]], ['2, k, 15', [0.103569, -1.89647, 1.0]], ['2, k, 16', [0.283032, -1.19262, 1.0]], ['2, k, 17', [0.309241, -1.4469, 1.0]], ['2, k, 18', [0.337502, -1.84234, 1.0]], ['2, k, 19', [0.329248, -1.90464, 1.0]], ['2, k, 20', [0.18417, -0.70105, 1.0]], ['2, k, 21', [-0.197216, -0.702008, 1.0]], ['2, k, 22', [-0.128623, -0.716397, 1.0]], ['2, k, 23', [0.47396, -0.81749, 1.0]], ['2, k, 24', [0.504004, -0.811532, 1.0]]]
[['2, k, 0', [0.204701, -1.19518, 1.0]], ['2, k, 1', [0.194092, -0.911814, 1.0]], ['2, k, 2', [0.183666, -0.626889, 1.0]], ['2, k, 3', [0.171231, -0.487369, 1.0]], ['2, k, 4', [0.00228559, -0.693661, 1.0]], ['2, k, 5', [-0.131778, -0.762034, 1.0]], ['2, k, 6', [-0.163879, -0.713196, 1.0]], ['2, k, 7', [-0.186938, -0.678315, 1.0]], ['2, k, 8', [0.361415, -0.706828, 1.0]], ['2, k, 9', [0.493584, -0.811459, 1.0]], ['2, k, 10', [0.505378, -0.788331, 1.0]], ['2, k, 11', [0.462477, -0.789261, 1.0]], ['2, k, 12', [0.120961, -1.17979, 1.0]], ['2, k, 13', [0.123371, -1.44415, 1.0]], ['2, k, 14', [0.122227, -1.83862, 1.0]], ['2, k, 15', [0.109371, -1.88221, 1.0]], ['2, k, 16', [0.284132, -1.18523, 1.0]], ['2, k, 17', [0.307798, -1.43596, 1.0]], ['2, k, 18', [0.338876, -1.83015, 1.0]], ['2, k, 19', [0.331676, -1.89163, 1.0]], ['2, k, 20', [0.186255, -0.698245, 1.0]], ['2, k, 21', [-0.195521, -0.677227, 1.0]], ['2, k, 22', [-0.116132, -0.696012, 1.0]], ['2, k, 23', [0.456109, -0.790467, 1.0]], ['2, k, 24', [0.510851, -0.798108, 1.0]]]
[['2, k, 0', [0.204722, -1.19435, 1.0]], ['2, k, 1', [0.194878, -0.910769, 1.0]], ['2, k, 2', [0.186106, -0.625623, 1.0]], ['2, k, 3', [0.171752, -0.485302, 1.0]], ['2, k, 4', [0.00467527, -0.68437, 1.0]], ['2, k, 5', [-0.132001, -0.760628, 1.0]], ['2, k, 6', [-0.165508, -0.696617, 1.0]], ['2, k, 7', [-0.193145, -0.656777, 1.0]], ['2, k, 8', [0.363098, -0.69778, 1.0]], ['2, k, 9', [0.490771, -0.796559, 1.0]], ['2, k, 10', [0.475127, -0.779511, 1.0]], ['2, k, 11', [0.461505, -0.766307, 1.0]], ['2, k, 12', [0.12097, -1.17897, 1.0]], ['2, k, 13', [0.124991, -1.4426, 1.0]], ['2, k, 14', [0.122261, -1.81556, 1.0]], ['2, k, 15', [0.109415, -1.85803, 1.0]], ['2, k, 16', [0.28416, -1.18443, 1.0]], ['2, k, 17', [0.307425, -1.43384, 1.0]], ['2, k, 18', [0.338103, -1.80775, 1.0]], ['2, k, 19', [0.331707, -1.86903, 1.0]], ['2, k, 20', [0.188214, -0.69695, 1.0]], ['2, k, 21', [-0.186876, -0.656792, 1.0]], ['2, k, 22', [-0.119995, -0.676154, 1.0]], ['2, k, 23', [0.471619, -0.767104, 1.0]], ['2, k, 24', [0.506936, -0.765955, 1.0]]]
[['2, k, 0', [0.205721, -1.19059, 1.0]], ['2, k, 1', [0.196509, -0.907854, 1.0]], ['2, k, 2', [0.188444, -0.623222, 1.0]], ['2, k, 3', [0.172527, -0.481333, 1.0]], ['2, k, 4', [0.0098607, -0.676068, 1.0]], ['2, k, 5', [-0.13005, -0.760535, 1.0]], ['2, k, 6', [-0.163813, -0.683418, 1.0]], ['2, k, 7', [-0.19411, -0.634818, 1.0]], ['2, k, 8', [0.364199, -0.692464, 1.0]], ['2, k, 9', [0.488544, -0.772268, 1.0]], ['2, k, 10', [0.483569, -0.762881, 1.0]], ['2, k, 11', [0.464011, -0.742372, 1.0]], ['2, k, 12', [0.122124, -1.17442, 1.0]], ['2, k, 13', [0.126278, -1.44431, 1.0]], ['2, k, 14', [0.122883, -1.79431, 1.0]], ['2, k, 15', [0.109269, -1.83766, 1.0]], ['2, k, 16', [0.284979, -1.18144, 1.0]], ['2, k, 17', [0.307323, -1.43206, 1.0]], ['2, k, 18', [0.339855, -1.78907, 1.0]], ['2, k, 19', [0.334109, -1.85153, 1.0]], ['2, k, 20', [0.190362, -0.694433, 1.0]], ['2, k, 21', [-0.190222, -0.631779, 1.0]], ['2, k, 22', [-0.124292, -0.652824, 1.0]], ['2, k, 23', [0.477272, -0.745367, 1.0]], ['2, k, 24', [0.507322, -0.742196, 1.0]]]
[['2, k, 0', [0.206068, -1.18548, 1.0]], ['2, k, 1', [0.198407, -0.903393, 1.0]], ['2, k, 2', [0.19208, -0.618903, 1.0]], ['2, k, 3', [0.175672, -0.475802, 1.0]], ['2, k, 4', [0.0117354, -0.674961, 1.0]], ['2, k, 5', [-0.131385, -0.757888, 1.0]], ['2, k, 6', [-0.202916, -0.709925, 1.0]], ['2, k, 7', [-0.197762, -0.616392, 1.0]], ['2, k, 8', [0.363735, -0.694476, 1.0]], ['2, k, 9', [0.486594, -0.748178, 1.0]], ['2, k, 10', [0.459615, -0.759514, 1.0]], ['2, k, 11', [0.465083, -0.720505, 1.0]], ['2, k, 12', [0.122826, -1.16694, 1.0]], ['2, k, 13', [0.127886, -1.44611, 1.0]], ['2, k, 14', [0.120358, -1.77459, 1.0]], ['2, k, 15', [0.105132, -1.81905, 1.0]], ['2, k, 16', [0.285037, -1.17834, 1.0]], ['2, k, 17', [0.307487, -1.43105, 1.0]], ['2, k, 18', [0.338544, -1.775, 1.0]], ['2, k, 19', [0.332456, -1.83871, 1.0]], ['2, k, 20', [0.19353, -0.690076, 1.0]], ['2, k, 21', [-0.186508, -0.616007, 1.0]], ['2, k, 22', [-0.131181, -0.632161, 1.0]], ['2, k, 23', [0.482216, -0.723125, 1.0]], ['2, k, 24', [0.518665, -0.736638, 1.0]]]
[['2, k, 0', [0.205928, -1.17906, 1.0]], ['2, k, 1', [0.198936, -0.898202, 1.0]], ['2, k, 2', [0.192676, -0.614595, 1.0]], ['2, k, 3', [0.179614, -0.471076, 1.0]], ['2, k, 4', [0.0131665, -0.673868, 1.0]], ['2, k, 5', [-0.134817, -0.754819, 1.0]], ['2, k, 6', [-0.205753, -0.657071, 1.0]], ['2, k, 7', [-0.197379, -0.599476, 1.0]], ['2, k, 8', [0.365699, -0.687916, 1.0]], ['2, k, 9', [0.476626, -0.721302, 1.0]], ['2, k, 10', [0.473845, -0.718421, 1.0]], ['2, k, 11', [0.468072, -0.699059, 1.0]], ['2, k, 12', [0.122665, -1.16383, 1.0]], ['2, k, 13', [0.128614, -1.44709, 1.0]], ['2, k, 14', [0.118488, -1.76237, 1.0]], ['2, k, 15', [0.103562, -1.80844, 1.0]], ['2, k, 16', [0.284866, -1.16755, 1.0]], ['2, k, 17', [0.308061, -1.4295, 1.0]], ['2, k, 18', [0.336569, -1.75667, 1.0]], ['2, k, 19', [0.331579, -1.82132, 1.0]], ['2, k, 20', [0.194182, -0.685583, 1.0]], ['2, k, 21', [-0.169572, -0.599981, 1.0]], ['2, k, 22', [-0.177203, -0.623753, 1.0]], ['2, k, 23', [0.489495, -0.69645, 1.0]], ['2, k, 24', [0.507695, -0.694762, 1.0]]]
[['2, k, 0', [0.209337, -1.1705, 1.0]], ['2, k, 1', [0.201488, -0.892348, 1.0]], ['2, k, 2', [0.194855, -0.610638, 1.0]], ['2, k, 3', [0.183138, -0.46872, 1.0]], ['2, k, 4', [0.0413639, -0.63652, 1.0]], ['2, k, 5', [-0.112059, -0.737878, 1.0]], ['2, k, 6', [-0.180138, -0.655521, 1.0]], ['2, k, 7', [-0.202987, -0.628965, 1.0]], ['2, k, 8', [0.354698, -0.668385, 1.0]], ['2, k, 9', [0.487001, -0.711619, 1.0]], ['2, k, 10', [0.453233, -0.685122, 1.0]], ['2, k, 11', [0.429341, -0.6667, 1.0]], ['2, k, 12', [0.126327, -1.15917, 1.0]], ['2, k, 13', [0.131077, -1.48831, 1.0]], ['2, k, 14', [0.135736, -1.76131, 1.0]], ['2, k, 15', [0.121436, -1.81164, 1.0]], ['2, k, 16', [0.287836, -1.15537, 1.0]], ['2, k, 17', [0.307584, -1.41591, 1.0]], ['2, k, 18', [0.336621, -1.75104, 1.0]], ['2, k, 19', [0.328727, -1.82, 1.0]], ['2, k, 20', [0.196406, -0.681301, 1.0]], ['2, k, 21', [-0.175166, -0.629385, 1.0]], ['2, k, 22', [-0.182778, -0.653042, 1.0]], ['2, k, 23', [0.450923, -0.664244, 1.0]], ['2, k, 24', [0.469339, -0.662758, 1.0]]]
