[['2, k, 0', [-0.233502, -0.1417054, 1.0]], ['2, k, 1', [-0.2335805, 0.1247472, 1.0]], ['2, k, 2', [-0.234426, 0.385092, 1.0]], ['2, k, 3', [-0.2401961, 0.5180288, 1.0]], ['2, k, 4', [-0.4015718, 0.2750807, 1.0]], ['2, k, 5', [-0.4513969, 0.07033963, 1.0]], ['2, k, 6', [-0.4071566, -0.077699, 1.0]], ['2, k, 7', [-0.3836405, -0.1200375, 1.0]], ['2, k, 8', [-0.06342883, 0.2849208, 1.0]], ['2, k, 9', [-0.00713394, 0.07544477, 1.0]], ['2, k, 10', [-0.01216281, -0.07255576, 1.0]], ['2, k, 11', [-0.0317945, -0.09903079, 1.0]], ['2, k, 12', [-0.3088285, -0.1418927, 1.0]], ['2, k, 13', [-0.3848443, -0.2162782, 1.0]], ['2, k, 14', [-0.3803811, -0.6150464, 1.0]], ['2, k, 15', [-0.370147, -0.670564, 1.0]], ['2, k, 16', [-0.1535632, -0.1387514, 1.0]], ['2, k, 17', [-0.03213143, -0.2087316, 1.0]], ['2, k, 18', [-0.02783944, -0.5989332, 1.0]], ['2, k, 19', [0.0003338212, -0.6646883, 1.0]], ['2, k, 20', [-0.2341062, 0.3208642, 1.0]], ['2, k, 21', [-0.365506, -0.1572641, 1.0]], ['2, k, 22', [-0.334257, -0.1414821, 1.0]], ['2, k, 23', [-0.03901324, -0.1333578, 1.0]], ['2, k, 24', [-0.005088705, -0.1337877, 1.0]]]
[['2, k, 0', [-0.2325757, -0.1412648, 1.0]], ['2, k, 1', [-0.233591, 0.1247471, 1.0]], ['2, k, 2', [-0.2351561, 0.3848236, 1.0]], ['2, k, 3', [-0.2409229, 0.5170759, 1.0]], ['2, k, 4', [-0.4020749, 0.2743887, 1.0]], ['2, k, 5', [-0.4512427, 0.06982335, 1.0]], ['2, k, 6', [-0.3917966, -0.1076303, 1.0]], ['2, k, 7', [-0.3648267, -0.1593533, 1.0]], ['2, k, 8', [-0.06386483, 0.2846607, 1.0]], ['2, k, 9', [-0.007100407, 0.07484479, 1.0]], ['2, k, 10', [-0.03082561, -0.09650291, 1.0]], ['2, k, 11', [-0.04566418, -0.1405656, 1.0]], ['2, k, 12', [-0.3083041, -0.1416647, 1.0]], ['2, k, 13', [-0.3835326, -0.2170136, 1.0]], ['2, k, 14', [-0.3784871, -0.6145664, 1.0]], ['2, k, 15', [-0.3685713, -0.6701788, 1.0]], ['2, k, 16', [-0.1521353, -0.1380307, 1.0]], ['2, k, 17', [-0.03144576, -0.2088695, 1.0]], ['2, k, 18', [-0.02800013, -0.5990999, 1.0]], ['2, k, 19', [0.0003711909, -0.6648757, 1.0]], ['2, k, 20', [-0.2346118, 0.3206809, 1.0]], ['2, k, 21', [-0.3598696, -0.2064855, 1.0]], ['2, k, 22', [-0.3301016, -0.1473721, 1.0]], ['2, k, 23', [-0.05099061, -0.1848636, 1.0]], ['2, k, 24', [-0.007012345, -0.1370781, 1.0]]]
[['2, k, 0', [-0.2318542, -0.1417849, 1.0]], ['2, k, 1', [-0.2336369, 0.1245325, 1.0]], ['2, k, 2', [-0.2357532, 0.3846187, 1.0]], ['2, k, 3', [-0.242031, 0.5166994, 1.0]], ['2, k, 4', [-0.4022169, 0.2735949, 1.0]], ['2, k, 5', [-0.4509299, 0.06775689, 1.0]], ['2, k, 6', [-0.4110722, -0.07954547, 1.0]], ['2, k, 7', [-0.3766919, -0.1383696, 1.0]], ['2, k, 8', [-0.06431288, 0.2839574, 1.0]], ['2, k, 9', [-0.007420457, 0.07381067, 1.0]], ['2, k, 10', [-0.02721383, -0.08418392, 1.0]], ['2, k, 11', [-0.04363587, -0.134823, 1.0]], ['2, k, 12', [-0.307414, -0.1423154, 1.0]], ['2, k, 13', [-0.3826297, -0.2174805, 1.0]], ['2, k, 14', [-0.3780141, -0.6167064, 1.0]], ['2, k, 15', [-0.3689253, -0.6724479, 1.0]], ['2, k, 16', [-0.1515817, -0.138434, 1.0]], ['2, k, 17', [-0.02987769, -0.2077634, 1.0]], ['2, k, 18', [-0.02778828, -0.5986607, 1.0]], ['2, k, 19', [0.0002652345, -0.6642383, 1.0]], ['2, k, 20', [-0.235064, 0.3204475, 1.0]], ['2, k, 21', [-0.3610084, -0.1762006, 1.0]], ['2, k, 22', [-0.3342168, -0.1537219, 1.0]], ['2, k, 23', [-0.03884101, -0.1692328, 1.0]], ['2, k, 24', [-0.008005076, -0.1432323, 1.0]]]
[['2, k, 0', [-0.2316732, -0.1417004, 1.0]], ['2, k, 1', [-0.2341211, 0.124466, 1.0]], ['2, k, 2', [-0.2384024, 0.3842399, 1.0]], ['2, k, 3', [-0.2446575, 0.5163893, 1.0]], ['2, k, 4', [-0.4037231, 0.2725556, 1.0]], ['2, k, 5', [-0.4505448, 0.06763177, 1.0]], ['2, k, 6', [-0.3863771, -0.1069821, 1.0]], ['2, k, 7', [-0.3616572, -0.1584903, 1.0]], ['2, k, 8', [-0.06488006, 0.2837166, 1.0]], ['2, k, 9', [-0.007447362, 0.07355879, 1.0]], ['2, k, 10', [-0.03219132, -0.09025916, 1.0]], ['2, k, 11', [-0.04589878, -0.1340166, 1.0]], ['2, k, 12', [-0.307191, -0.1422682, 1.0]], ['2, k, 13', [-0.382141, -0.2174311, 1.0]], ['2, k, 14', [-0.377192, -0.6160774, 1.0]], ['2, k, 15', [-0.3682048, -0.6722261, 1.0]], ['2, k, 16', [-0.1514406, -0.1383136, 1.0]], ['2, k, 17', [-0.02877093, -0.2082986, 1.0]], ['2, k, 18', [-0.02783754, -0.5986532, 1.0]], ['2, k, 19', [0.0007162439, -0.664221, 1.0]], ['2, k, 20', [-0.2371335, 0.3201397, 1.0]], ['2, k, 21', [-0.3529124, -0.2066924, 1.0]], ['2, k, 22', [-0.3242608, -0.1555185, 1.0]], ['2, k, 23', [-0.05223666, -0.177816, 1.0]], ['2, k, 24', [-0.007179679, -0.131135, 1.0]]]
[['2, k, 0', [-0.231538, -0.1416836, 1.0]], ['2, k, 1', [-0.2343803, 0.1244874, 1.0]], ['2, k, 2', [-0.2393422, 0.3844429, 1.0]], ['2, k, 3', [-0.2462007, 0.5169138, 1.0]], ['2, k, 4', [-0.4046609, 0.271697, 1.0]], ['2, k, 5', [-0.4503757, 0.0662742, 1.0]], ['2, k, 6', [-0.4006047, -0.08231406, 1.0]], ['2, k, 7', [-0.3676553, -0.14144, 1.0]], ['2, k, 8', [-0.06617253, 0.2840458, 1.0]], ['2, k, 9', [-0.007677665, 0.07318389, 1.0]], ['2, k, 10', [-0.03176227, -0.09183932, 1.0]], ['2, k, 11', [-0.04397955, -0.1324366, 1.0]], ['2, k, 12', [-0.3069793, -0.1423662, 1.0]], ['2, k, 13', [-0.3819989, -0.2175103, 1.0]], ['2, k, 14', [-0.3769023, -0.6166796, 1.0]], ['2, k, 15', [-0.3690645, -0.6726169, 1.0]], ['2, k, 16', [-0.1513276, -0.138186, 1.0]], ['2, k, 17', [-0.02748332, -0.207594, 1.0]], ['2, k, 18', [-0.0275577, -0.5983062, 1.0]], ['2, k, 19', [0.001178732, -0.6644809, 1.0]], ['2, k, 20', [-0.2379508, 0.3202776, 1.0]], ['2, k, 21', [-0.3492433, -0.1818893, 1.0]], ['2, k, 22', [-0.3226261, -0.1583148, 1.0]], ['2, k, 23', [-0.05060219, -0.1779287, 1.0]], ['2, k, 24', [-0.004223838, -0.122542, 1.0]]]
[['2, k, 0', [-0.2314151, -0.1412161, 1.0]], ['2, k, 1', [-0.2349279, 0.1243904, 1.0]], ['2, k, 2', [-0.2403578, 0.3839618, 1.0]], ['2, k, 3', [-0.2482217, 0.5163398, 1.0]], ['2, k, 4', [-0.4055289, 0.2710704, 1.0]], ['2, k, 5', [-0.4508716, 0.06880995, 1.0]], ['2, k, 6', [-0.4019619, -0.08017296, 1.0]], ['2, k, 7', [-0.3704877, -0.1371219, 1.0]], ['2, k, 8', [-0.06655174, 0.2837472, 1.0]], ['2, k, 9', [-0.007719949, 0.07311518, 1.0]], ['2, k, 10', [-0.03075246, -0.09316081, 1.0]], ['2, k, 11', [-0.04397187, -0.1345782, 1.0]], ['2, k, 12', [-0.3069686, -0.1420375, 1.0]], ['2, k, 13', [-0.3819859, -0.2176014, 1.0]], ['2, k, 14', [-0.376723, -0.6165844, 1.0]], ['2, k, 15', [-0.368861, -0.6728737, 1.0]], ['2, k, 16', [-0.1510875, -0.1375618, 1.0]], ['2, k, 17', [-0.02644511, -0.2062982, 1.0]], ['2, k, 18', [-0.02741835, -0.5982934, 1.0]], ['2, k, 19', [0.001612955, -0.665024, 1.0]], ['2, k, 20', [-0.2388582, 0.3199039, 1.0]], ['2, k, 21', [-0.3544566, -0.1740342, 1.0]], ['2, k, 22', [-0.3236479, -0.1615795, 1.0]], ['2, k, 23', [-0.0459739, -0.1752454, 1.0]], ['2, k, 24', [-0.001441778, -0.1294194, 1.0]]]
[['2, k, 0', [-0.2312311, -0.1404662, 1.0]], ['2, k, 1', [-0.2356557, 0.1247276, 1.0]], ['2, k, 2', [-0.2417068, 0.3841679, 1.0]], ['2, k, 3', [-0.2507499, 0.5158893, 1.0]], ['2, k, 4', [-0.4065611, 0.2704941, 1.0]], ['2, k, 5', [-0.4512742, 0.06860225, 1.0]], ['2, k, 6', [-0.4020967, -0.0804989, 1.0]], ['2, k, 7', [-0.376207, -0.1363809, 1.0]], ['2, k, 8', [-0.06738619, 0.2842509, 1.0]], ['2, k, 9', [-0.007715755, 0.07301822, 1.0]], ['2, k, 10', [-0.0306962, -0.09346265, 1.0]], ['2, k, 11', [-0.04559573, -0.1348712, 1.0]], ['2, k, 12', [-0.3068544, -0.1415371, 1.0]], ['2, k, 13', [-0.3819514, -0.2178104, 1.0]], ['2, k, 14', [-0.3766665, -0.6167333, 1.0]], ['2, k, 15', [-0.368922, -0.6726558, 1.0]], ['2, k, 16', [-0.1508687, -0.1365927, 1.0]], ['2, k, 17', [-0.02597459, -0.2059294, 1.0]], ['2, k, 18', [-0.02692474, -0.5979147, 1.0]], ['2, k, 19', [0.001778994, -0.6652564, 1.0]], ['2, k, 20', [-0.2400875, 0.3201306, 1.0]], ['2, k, 21', [-0.3560103, -0.1743443, 1.0]], ['2, k, 22', [-0.3251643, -0.1490855, 1.0]], ['2, k, 23', [-0.04892173, -0.1777615, 1.0]], ['2, k, 24', [-0.002274189, -0.1283233, 1.0]]]
[['2, k, 0', [-0.2311987, -0.1402753, 1.0]], ['2, k, 1', [-0.2361246, 0.1247498, 1.0]], ['2, k, 2', [-0.2426191, 0.3840078, 1.0]], ['2, k, 3', [-0.252842, 0.5163131, 1.0]], ['2, k, 4', [-0.4079477, 0.2695589, 1.0]], ['2, k, 5', [-0.4526677, 0.06855023, 1.0]], ['2, k, 6', [-0.402651, -0.08050817, 1.0]], ['2, k, 7', [-0.3763348, -0.1375928, 1.0]], ['2, k, 8', [-0.06879535, 0.2842918, 1.0]], ['2, k, 9', [-0.008181776, 0.07487246, 1.0]], ['2, k, 10', [-0.03016704, -0.0940876, 1.0]], ['2, k, 11', [-0.04274002, -0.1342578, 1.0]], ['2, k, 12', [-0.3069177, -0.1414775, 1.0]], ['2, k, 13', [-0.3820603, -0.2178212, 1.0]], ['2, k, 14', [-0.3752372, -0.6150589, 1.0]], ['2, k, 15', [-0.3658571, -0.6731988, 1.0]], ['2, k, 16', [-0.1507291, -0.1362264, 1.0]], ['2, k, 17', [-0.02500025, -0.205044, 1.0]], ['2, k, 18', [-0.02673992, -0.5975013, 1.0]], ['2, k, 19', [0.0029074, -0.6657204, 1.0]], ['2, k, 20', [-0.240932, 0.3200103, 1.0]], ['2, k, 21', [-0.3537761, -0.1739395, 1.0]], ['2, k, 22', [-0.3359107, -0.1435428, 1.0]], ['2, k, 23', [-0.04363044, -0.1766086, 1.0]], ['2, k, 24', [-0.003743412, -0.1303346, 1.0]]]
[['2, k, 0', [-0.2314555, -0.1400159, 1.0]], ['2, k, 1', [-0.2371738, 0.1249169, 1.0]], ['2, k, 2', [-0.2441208, 0.3840465, 1.0]], ['2, k, 3', [-0.2567078, 0.5169783, 1.0]], ['2, k, 4', [-0.4094144, 0.2695692, 1.0]], ['2, k, 5', [-0.4540134, 0.06781142, 1.0]], ['2, k, 6', [-0.4025948, -0.08141936, 1.0]], ['2, k, 7', [-0.3724773, -0.1396529, 1.0]], ['2, k, 8', [-0.06968223, 0.2842844, 1.0]], ['2, k, 9', [-0.008257522, 0.07547299, 1.0]], ['2, k, 10', [-0.03088643, -0.08742086, 1.0]], ['2, k, 11', [-0.04387216, -0.1362299, 1.0]], ['2, k, 12', [-0.307193, -0.1412662, 1.0]], ['2, k, 13', [-0.3822634, -0.2178509, 1.0]], ['2, k, 14', [-0.3751141, -0.6153469, 1.0]], ['2, k, 15', [-0.3661158, -0.673543, 1.0]], ['2, k, 16', [-0.1509698, -0.1359301, 1.0]], ['2, k, 17', [-0.02330987, -0.2039548, 1.0]], ['2, k, 18', [-0.02668856, -0.5980089, 1.0]], ['2, k, 19', [0.003337146, -0.6655658, 1.0]], ['2, k, 20', [-0.2423874, 0.3200724, 1.0]], ['2, k, 21', [-0.3561929, -0.1797686, 1.0]], ['2, k, 22', [-0.3243964, -0.161339, 1.0]], ['2, k, 23', [-0.04131994, -0.1787489, 1.0]], ['2, k, 24', [-0.008663072, -0.1353418, 1.0]]]
[['2, k, 0', [-0.2314596, -0.1398139, 1.0]], ['2, k, 1', [-0.238005, 0.1251196, 1.0]], ['2, k, 2', [-0.2460612, 0.384279, 1.0]], ['2, k, 3', [-0.2596101, 0.5170922, 1.0]], ['2, k, 4', [-0.411341, 0.2689351, 1.0]], ['2, k, 5', [-0.4571595, 0.07031363, 1.0]], ['2, k, 6', [-0.4129034, -0.08107171, 1.0]], ['2, k, 7', [-0.3778572, -0.1388055, 1.0]], ['2, k, 8', [-0.07135432, 0.2844585, 1.0]], ['2, k, 9', [-0.008827904, 0.07549158, 1.0]], ['2, k, 10', [-0.03085117, -0.08984128, 1.0]], ['2, k, 11', [-0.04445462, -0.129758, 1.0]], ['2, k, 12', [-0.3072481, -0.1411774, 1.0]], ['2, k, 13', [-0.3827524, -0.2179181, 1.0]], ['2, k, 14', [-0.3753283, -0.6154633, 1.0]], ['2, k, 15', [-0.3668529, -0.6729345, 1.0]], ['2, k, 16', [-0.1509068, -0.1355855, 1.0]], ['2, k, 17', [-0.02136171, -0.2027323, 1.0]], ['2, k, 18', [-0.02217356, -0.597385, 1.0]], ['2, k, 19', [0.00542856, -0.6636208, 1.0]], ['2, k, 20', [-0.2440601, 0.3202905, 1.0]], ['2, k, 21', [-0.3574715, -0.1810991, 1.0]], ['2, k, 22', [-0.3344018, -0.148488, 1.0]], ['2, k, 23', [-0.05062476, -0.1759156, 1.0]], ['2, k, 24', [-0.003365441, -0.1210818, 1.0]]]
[['2, k, 0', [-0.2314526, -0.1397349, 1.0]], ['2, k, 1', [-0.2390971, 0.1251366, 1.0]], ['2, k, 2', [-0.2489581, 0.3841476, 1.0]], ['2, k, 3', [-0.2632237, 0.5168842, 1.0]], ['2, k, 4', [-0.4138787, 0.2683026, 1.0]], ['2, k, 5', [-0.4597219, 0.06971443, 1.0]], ['2, k, 6', [-0.4156258, -0.08233948, 1.0]], ['2, k, 7', [-0.3801253, -0.1393391, 1.0]], ['2, k, 8', [-0.07463361, 0.2853664, 1.0]], ['2, k, 9', [-0.009338177, 0.07540286, 1.0]], ['2, k, 10', [-0.03092255, -0.0908266, 1.0]], ['2, k, 11', [-0.04425632, -0.1291904, 1.0]], ['2, k, 12', [-0.3072399, -0.1412056, 1.0]], ['2, k, 13', [-0.3835571, -0.2172718, 1.0]], ['2, k, 14', [-0.3757932, -0.6154441, 1.0]], ['2, k, 15', [-0.3693512, -0.6723101, 1.0]], ['2, k, 16', [-0.1509142, -0.1353178, 1.0]], ['2, k, 17', [-0.01848933, -0.2009054, 1.0]], ['2, k, 18', [-0.01710726, -0.5966306, 1.0]], ['2, k, 19', [0.01357799, -0.6626192, 1.0]], ['2, k, 20', [-0.2464948, 0.3201919, 1.0]], ['2, k, 21', [-0.3563286, -0.1798803, 1.0]], ['2, k, 22', [-0.3372194, -0.1445357, 1.0]], ['2, k, 23', [-0.04800807, -0.1761973, 1.0]], ['2, k, 24', [-0.0004859738, -0.1174836, 1.0]]]
