Exercise,Video,Repetition,Start,End,Label,Incomplete
Exercise_1,V1,1,0:00:03.26,0:00:05.06,Left,0
Exercise_1,V1,2,0:00:05.06,0:00:06.62,Right,0
Exercise_1,V1,3,0:00:06.62,0:00:08.06,Left,0
Exercise_1,V1,4,0:00:08.06,0:00:09.46,Right,0
Exercise_1,V1,5,0:00:09.46,0:00:10.70,Left,0
Exercise_1,V1,6,0:00:10.70,0:00:11.98,Right,0
Exercise_1,V1,7,0:00:11.98,0:00:13.34,Left,0
Exercise_1,V1,8,0:00:13.34,0:00:14.78,Right,0
Exercise_1,V1,9,0:00:14.78,0:00:16.18,Left,0
Exercise_1,V1,10,0:00:16.18,0:00:17.74,Right,0
Exercise_1,V2,1,0:00:03.42,0:00:07.26,Right,0
Exercise_1,V2,2,0:00:07.26,0:00:10.74,Left,0
Exercise_1,V2,3,0:00:10.74,0:00:13.86,Right,0
Exercise_1,V2,4,0:00:13.86,0:00:17.10,Left,0
Exercise_1,V2,5,0:00:17.10,0:00:20.14,Right,0
Exercise_1,V2,6,0:00:20.14,0:00:23.26,Left,0
Exercise_1,V2,7,0:00:23.26,0:00:26.14,Right,0
Exercise_1,V2,8,0:00:26.14,0:00:28.94,Left,0
Exercise_1,V2,9,0:00:28.94,0:00:31.86,Right,0
Exercise_1,V2,10,0:00:31.86,0:00:35.18,Left,0
Exercise_1,V2,11,0:00:35.18,0:00:38.06,Right,0
Exercise_1,V3,1,0:00:01.54,0:00:07.38,Left,0
Exercise_1,V3,2,0:00:07.38,0:00:12.14,Right,0
Exercise_1,V3,3,0:00:12.14,0:00:16.26,Left,0
Exercise_1,V3,4,0:00:16.26,0:00:20.54,Right,0
Exercise_1,V3,5,0:00:20.54,0:00:24.58,Left,0
Exercise_1,V3,6,0:00:24.58,0:00:28.94,Right,0
Exercise_1,V4,1,0:00:04.06,0:00:10.50,Right,0
Exercise_1,V4,2,0:00:10.50,0:00:16.10,Left,0
Exercise_1,V4,3,0:00:16.10,0:00:22.62,Right,0
Exercise_1,V4,4,0:00:22.62,0:00:28.30,Left,0
Exercise_1,V4,5,0:00:28.30,0:00:34.94,Right,0
Exercise_1,V4,6,0:00:34.94,0:00:40.94,Left,0
Exercise_1,V4,7,0:00:40.94,0:00:47.26,Right,0
Exercise_1,V4,8,0:00:47.26,0:00:53.18,Left,0
Exercise_1,V4,9,0:00:53.18,0:00:59.90,Right,0
Exercise_1,V4,10,0:00:59.90,0:01:06.02,Left,0
Exercise_1,V5,1,0:00:00.90,0:00:04.38,Right,0
Exercise_1,V5,2,0:00:04.38,0:00:07.02,Left,0
Exercise_1,V5,3,0:00:07.02,0:00:10.02,Right,0
Exercise_1,V5,4,0:00:10.02,0:00:12.90,Left,0
Exercise_1,V5,5,0:00:12.90,0:00:15.98,Right,0
Exercise_1,V5,6,0:00:15.98,0:00:19.14,Left,0
Exercise_1,V5,7,0:00:19.14,0:00:22.14,Right,0
Exercise_1,V5,8,0:00:22.14,0:00:24.82,Left,0
Exercise_1,V6,1,0:00:08.66,0:00:11.46,Left,0
Exercise_1,V6,2,0:00:11.46,0:00:13.82,Right,0
Exercise_1,V6,3,0:00:13.82,0:00:16.30,Left,0
Exercise_1,V6,4,0:00:16.30,0:00:18.66,Right,0
Exercise_1,V6,5,0:00:18.66,0:00:20.98,Left,0
Exercise_1,V6,6,0:00:20.98,0:00:23.26,Right,0
Exercise_1,V6,7,0:00:23.26,0:00:25.54,Left,0
Exercise_1,V6,8,0:00:25.54,0:00:27.90,Right,0
Exercise_1,V6,9,0:00:27.90,0:00:30.10,Left,0
Exercise_1,V6,10,0:00:30.10,0:00:32.94,Right,0
Exercise_1,V7,1,0:00:12.34,0:00:15.58,Left,0
Exercise_1,V7,2,0:00:15.58,0:00:18.26,Right,0
Exercise_1,V7,3,0:00:18.26,0:00:20.98,Left,0
Exercise_1,V7,4,0:00:20.98,0:00:23.70,Right,0
Exercise_1,V7,5,0:00:23.70,0:00:26.46,Left,0
Exercise_1,V7,6,0:00:26.46,0:00:29.14,Right,0
Exercise_1,V7,7,0:00:29.14,0:00:31.78,Left,0
Exercise_1,V7,8,0:00:31.78,0:00:34.50,Right,0
Exercise_1,V7,9,0:00:34.50,0:00:37.02,Left,0
Exercise_1,V7,10,0:00:37.02,0:00:39.66,Right,0
