Exercise,Video,Repetition,Start,End,Incomplete
Exercise_1,V1,1,0:00:03.26,0:00:06.62,0
Exercise_1,V1,2,0:00:06.62,0:00:09.46,0
Exercise_1,V1,3,0:00:09.46,0:00:11.98,0
Exercise_1,V1,4,0:00:11.98,0:00:14.78,0
Exercise_1,V1,5,0:00:14.78,0:00:17.74,0
Exercise_1,V2,1,0:00:03.42,0:00:10.74,0
Exercise_1,V2,2,0:00:10.74,0:00:17.10,0
Exercise_1,V2,3,0:00:17.10,0:00:23.26,0
Exercise_1,V2,4,0:00:23.26,0:00:28.94,0
Exercise_1,V2,5,0:00:28.94,0:00:35.18,0
Exercise_1,V3,1,0:00:01.54,0:00:12.14,0
Exercise_1,V3,2,0:00:12.14,0:00:20.54,0
Exercise_1,V3,3,0:00:20.54,0:00:28.94,0
Exercise_1,V4,1,0:00:04.06,0:00:16.10,0
Exercise_1,V4,2,0:00:16.10,0:00:28.30,0
Exercise_1,V4,3,0:00:28.30,0:00:40.94,0
Exercise_1,V4,4,0:00:40.94,0:00:53.18,0
Exercise_1,V4,5,0:00:53.18,0:01:06.02,0
Exercise_1,V5,1,0:00:00.90,0:00:07.02,0
Exercise_1,V5,2,0:00:07.02,0:00:12.90,0
Exercise_1,V5,3,0:00:12.90,0:00:19.14,0
Exercise_1,V5,4,0:00:19.14,0:00:24.82,0
Exercise_1,V6,1,0:00:08.66,0:00:13.82,0
Exercise_1,V6,2,0:00:13.82,0:00:18.66,0
Exercise_1,V6,3,0:00:18.66,0:00:23.26,0
Exercise_1,V6,4,0:00:23.26,0:00:27.90,0
Exercise_1,V6,5,0:00:27.90,0:00:32.94,0
Exercise_1,V7,1,0:00:12.34,0:00:18.26,0
Exercise_1,V7,2,0:00:18.26,0:00:23.70,0
Exercise_1,V7,3,0:00:23.70,0:00:29.14,0
Exercise_1,V7,4,0:00:29.14,0:00:34.50,0
Exercise_1,V7,5,0:00:34.50,0:00:39.66,0
Exercise_1,V7,6,0:00:39.66,0:00:45.38,0
Exercise_1,V7,7,0:00:45.38,0:00:51.02,0
Exercise_1,V7,8,0:00:51.02,0:00:57.26,0
Exercise_1,V8,1,0:00:01.30,0:00:06.18,0
Exercise_1,V8,2,0:00:06.18,0:00:10.78,0
Exercise_1,V8,3,0:00:10.78,0:00:15.18,0
Exercise_1,V8,4,0:00:15.18,0:00:19.70,0
Exercise_1,V8,5,0:00:19.70,0:00:23.82,0
Exercise_1,V9,1,0:00:01.62,0:00:07.58,0
Exercise_1,V9,2,0:00:07.58,0:00:13.90,0
Exercise_1,V9,3,0:00:13.90,0:00:20.46,0
Exercise_1,V9,4,0:00:20.46,0:00:27.46,0
Exercise_1,V9,5,0:00:27.46,0:00:33.70,1
Exercise_1,V10,1,0:00:02.66,0:00:07.90,0
Exercise_1,V10,2,0:00:07.90,0:00:12.26,0
Exercise_1,V10,3,0:00:12.26,0:00:17.26,0
Exercise_1,V10,4,0:00:17.26,0:00:22.62,0
Exercise_1,V11,1,0:00:00.90,0:00:11.26,0
Exercise_1,V11,2,0:00:11.26,0:00:18.10,0
Exercise_1,V11,3,0:00:18.10,0:00:24.58,0
Exercise_1,V11,4,0:00:24.58,0:00:30.42,0
Exercise_1,V12,1,0:00:08.34,0:00:18.14,0
Exercise_1,V12,2,0:00:18.14,0:00:26.86,0
Exercise_1,V12,3,0:00:26.86,0:00:35.62,0
Exercise_1,V12,4,0:00:35.62,0:00:44.78,0
Exercise_1,V12,5,0:00:44.78,0:00:53.42,0
Exercise_1,V13,1,0:00:09.78,0:00:17.30,0
Exercise_1,V13,2,0:00:17.30,0:00:24.70,0
Exercise_1,V14,1,0:00:01.30,0:00:08.54,0
Exercise_1,V14,2,0:00:08.54,0:00:14.38,0
Exercise_1,V14,3,0:00:14.38,0:00:20.30,0
Exercise_1,V14,4,0:00:20.30,0:00:26.90,0
Exercise_1,V14,5,0:00:26.90,0:00:32.30,0
Exercise_1,V15,1,0:00:01.74,0:00:09.34,0
Exercise_1,V15,2,0:00:09.34,0:00:15.46,0
Exercise_1,V15,3,0:00:15.46,0:00:22.46,0
Exercise_1,V15,4,0:00:22.46,0:00:29.22,0
Exercise_1,V15,5,0:00:29.22,0:00:36.02,0
Exercise_1,V16,1,0:00:00.00,0:00:10.98,0
Exercise_1,V16,2,0:00:10.98,0:00:17.82,0
Exercise_1,V16,3,0:00:17.82,0:00:23.54,0
Exercise_1,V17,1,0:00:01.42,0:00:06.78,0
Exercise_1,V17,2,0:00:06.78,0:00:10.90,0
Exercise_1,V17,3,0:00:10.90,0:00:14.94,0
Exercise_1,V17,4,0:00:14.94,0:00:18.66,0
Exercise_1,V18,1,0:00:10.90,0:00:16.74,0
