[['2, k, 0', [0.0883765, -0.277336, 1.0]], ['2, k, 1', [-0.000167102, 0.0180009, 1.0]], ['2, k, 2', [-0.0866472, 0.306358, 1.0]], ['2, k, 3', [-0.180376, 0.421855, 1.0]], ['2, k, 4', [-0.271386, 0.362845, 1.0]], ['2, k, 5', [-0.375701, 0.114106, 1.0]], ['2, k, 6', [-0.632971, 0.149623, 1.0]], ['2, k, 7', [-0.717506, 0.198933, 1.0]], ['2, k, 8', [0.0525529, 0.263824, 1.0]], ['2, k, 9', [-0.125644, 0.463403, 1.0]], ['2, k, 10', [-0.346188, 0.619206, 1.0]], ['2, k, 11', [-0.430814, 0.643582, 1.0]], ['2, k, 12', [0.0133732, -0.250982, 1.0]], ['2, k, 13', [-0.0659229, -0.544696, 1.0]], ['2, k, 14', [-0.0361111, -0.603006, 1.0]], ['2, k, 15', [-0.0434956, -0.728131, 1.0]], ['2, k, 16', [0.161028, -0.296258, 1.0]], ['2, k, 17', [0.065636, -0.612163, 1.0]], ['2, k, 18', [0.139848, -0.63754, 1.0]], ['2, k, 19', [0.12287, -0.76125, 1.0]], ['2, k, 20', [-0.0653278, 0.235288, 1.0]], ['2, k, 21', [-0.781504, 0.235246, 1.0]], ['2, k, 22', [-0.75657, 0.156085, 1.0]], ['2, k, 23', [-0.49715, 0.669209, 1.0]], ['2, k, 24', [-0.499001, 0.569673, 1.0]]]
[['2, k, 0', [0.0703854, -0.273965, 1.0]], ['2, k, 1', [-0.00376899, 0.020468, 1.0]], ['2, k, 2', [-0.0858008, 0.308089, 1.0]], ['2, k, 3', [-0.18027, 0.421897, 1.0]], ['2, k, 4', [-0.200974, 0.160355, 1.0]], ['2, k, 5', [-0.414991, 0.0982781, 1.0]], ['2, k, 6', [-0.631767, 0.151001, 1.0]], ['2, k, 7', [-0.721307, 0.205873, 1.0]], ['2, k, 8', [0.0527003, 0.26376, 1.0]], ['2, k, 9', [-0.14627, 0.487778, 1.0]], ['2, k, 10', [-0.351994, 0.624284, 1.0]], ['2, k, 11', [-0.426995, 0.655848, 1.0]], ['2, k, 12', [-0.0065178, -0.297112, 1.0]], ['2, k, 13', [0.0327881, -0.317384, 1.0]], ['2, k, 14', [-0.0072322, -0.572175, 1.0]], ['2, k, 15', [-0.0261903, -0.637052, 1.0]], ['2, k, 16', [0.133115, -0.241269, 1.0]], ['2, k, 17', [0.134442, -0.566126, 1.0]], ['2, k, 18', [0.143413, -0.756231, 1.0]], ['2, k, 19', [0.0499491, -0.726598, 1.0]], ['2, k, 20', [-0.0651741, 0.236785, 1.0]], ['2, k, 21', [-0.774844, 0.259929, 1.0]], ['2, k, 22', [-0.779813, 0.170003, 1.0]], ['2, k, 23', [-0.489662, 0.669596, 1.0]], ['2, k, 24', [-0.485695, 0.586856, 1.0]]]
[['2, k, 0', [0.0447666, -0.26546, 1.0]], ['2, k, 1', [-0.0127375, 0.0237314, 1.0]], ['2, k, 2', [-0.0854544, 0.308261, 1.0]], ['2, k, 3', [-0.177948, 0.426801, 1.0]], ['2, k, 4', [-0.200554, 0.159208, 1.0]], ['2, k, 5', [-0.425407, 0.103791, 1.0]], ['2, k, 6', [-0.648839, 0.164204, 1.0]], ['2, k, 7', [-0.724503, 0.225295, 1.0]], ['2, k, 8', [0.0527504, 0.264659, 1.0]], ['2, k, 9', [-0.151673, 0.498832, 1.0]], ['2, k, 10', [-0.34866, 0.630582, 1.0]], ['2, k, 11', [-0.407726, 0.666859, 1.0]], ['2, k, 12', [-0.0183504, -0.290991, 1.0]], ['2, k, 13', [0.0887807, -0.347938, 1.0]], ['2, k, 14', [0.0411967, -0.642986, 1.0]], ['2, k, 15', [0.0174274, -0.703257, 1.0]], ['2, k, 16', [0.106722, -0.232802, 1.0]], ['2, k, 17', [0.136724, -0.545422, 1.0]], ['2, k, 18', [0.146253, -0.766105, 1.0]], ['2, k, 19', [0.108772, -0.722514, 1.0]], ['2, k, 20', [-0.0653539, 0.237194, 1.0]], ['2, k, 21', [-0.778139, 0.275558, 1.0]], ['2, k, 22', [-0.782617, 0.183986, 1.0]], ['2, k, 23', [-0.47374, 0.687702, 1.0]], ['2, k, 24', [-0.473804, 0.599746, 1.0]]]
[['2, k, 0', [0.0711958, -0.262151, 1.0]], ['2, k, 1', [-0.0078226, 0.0309336, 1.0]], ['2, k, 2', [-0.0845423, 0.311547, 1.0]], ['2, k, 3', [-0.179639, 0.427684, 1.0]], ['2, k, 4', [-0.200148, 0.166635, 1.0]], ['2, k, 5', [-0.414181, 0.118495, 1.0]], ['2, k, 6', [-0.625962, 0.171487, 1.0]], ['2, k, 7', [-0.71608, 0.231716, 1.0]], ['2, k, 8', [0.0522058, 0.264228, 1.0]], ['2, k, 9', [-0.134845, 0.490595, 1.0]], ['2, k, 10', [-0.322992, 0.647415, 1.0]], ['2, k, 11', [-0.401686, 0.681199, 1.0]], ['2, k, 12', [0.00776499, -0.279376, 1.0]], ['2, k, 13', [-0.0428433, -0.566126, 1.0]], ['2, k, 14', [-0.0745272, -0.7975, 1.0]], ['2, k, 15', [-0.0351944, -0.706291, 1.0]], ['2, k, 16', [0.132743, -0.237789, 1.0]], ['2, k, 17', [0.14452, -0.504817, 1.0]], ['2, k, 18', [0.139007, -0.742779, 1.0]], ['2, k, 19', [0.104206, -0.819892, 1.0]], ['2, k, 20', [-0.064627, 0.241788, 1.0]], ['2, k, 21', [-0.783104, 0.252787, 1.0]], ['2, k, 22', [-0.755632, 0.200355, 1.0]], ['2, k, 23', [-0.467273, 0.696023, 1.0]], ['2, k, 24', [-0.460881, 0.61895, 1.0]]]
[['2, k, 0', [0.0700785, -0.260264, 1.0]], ['2, k, 1', [-0.00821485, 0.0317642, 1.0]], ['2, k, 2', [-0.0844235, 0.311916, 1.0]], ['2, k, 3', [-0.180039, 0.42872, 1.0]], ['2, k, 4', [-0.200279, 0.166691, 1.0]], ['2, k, 5', [-0.407435, 0.128715, 1.0]], ['2, k, 6', [-0.608247, 0.188469, 1.0]], ['2, k, 7', [-0.700647, 0.243538, 1.0]], ['2, k, 8', [0.0503083, 0.266073, 1.0]], ['2, k, 9', [-0.12314, 0.48861, 1.0]], ['2, k, 10', [-0.319827, 0.657367, 1.0]], ['2, k, 11', [-0.390565, 0.695326, 1.0]], ['2, k, 12', [0.00744934, -0.27886, 1.0]], ['2, k, 13', [-0.0400494, -0.549668, 1.0]], ['2, k, 14', [-0.0728282, -0.78707, 1.0]], ['2, k, 15', [-0.0310618, -0.702218, 1.0]], ['2, k, 16', [0.130375, -0.233722, 1.0]], ['2, k, 17', [0.144811, -0.497279, 1.0]], ['2, k, 18', [0.138837, -0.740473, 1.0]], ['2, k, 19', [0.105406, -0.817893, 1.0]], ['2, k, 20', [-0.0647299, 0.2427, 1.0]], ['2, k, 21', [-0.770051, 0.276561, 1.0]], ['2, k, 22', [-0.705928, 0.212422, 1.0]], ['2, k, 23', [-0.448709, 0.717827, 1.0]], ['2, k, 24', [-0.447902, 0.632969, 1.0]]]
[['2, k, 0', [0.0649179, -0.258193, 1.0]], ['2, k, 1', [-0.00906948, 0.0324616, 1.0]], ['2, k, 2', [-0.0835338, 0.313038, 1.0]], ['2, k, 3', [-0.179002, 0.429102, 1.0]], ['2, k, 4', [-0.200265, 0.167522, 1.0]], ['2, k, 5', [-0.402932, 0.139004, 1.0]], ['2, k, 6', [-0.598988, 0.210439, 1.0]], ['2, k, 7', [-0.691186, 0.263374, 1.0]], ['2, k, 8', [0.0502424, 0.266227, 1.0]], ['2, k, 9', [-0.115893, 0.484426, 1.0]], ['2, k, 10', [-0.315919, 0.673004, 1.0]], ['2, k, 11', [-0.370917, 0.709008, 1.0]], ['2, k, 12', [0.00328308, -0.277214, 1.0]], ['2, k, 13', [-0.0371537, -0.538018, 1.0]], ['2, k, 14', [-0.0705304, -0.779068, 1.0]], ['2, k, 15', [-0.0264666, -0.697577, 1.0]], ['2, k, 16', [0.123998, -0.231419, 1.0]], ['2, k, 17', [0.144752, -0.496246, 1.0]], ['2, k, 18', [0.138747, -0.743237, 1.0]], ['2, k, 19', [0.101594, -0.817769, 1.0]], ['2, k, 20', [-0.0644085, 0.24381, 1.0]], ['2, k, 21', [-0.758772, 0.295521, 1.0]], ['2, k, 22', [-0.757562, 0.263718, 1.0]], ['2, k, 23', [-0.425483, 0.738053, 1.0]], ['2, k, 24', [-0.437079, 0.64887, 1.0]]]
[['2, k, 0', [0.0569204, -0.252389, 1.0]], ['2, k, 1', [-0.00892141, 0.0381223, 1.0]], ['2, k, 2', [-0.0706663, 0.32693, 1.0]], ['2, k, 3', [-0.171177, 0.438191, 1.0]], ['2, k, 4', [-0.201132, 0.18533, 1.0]], ['2, k, 5', [-0.39828, 0.14928, 1.0]], ['2, k, 6', [-0.601523, 0.231053, 1.0]], ['2, k, 7', [-0.688681, 0.284519, 1.0]], ['2, k, 8', [0.0412837, 0.293694, 1.0]], ['2, k, 9', [-0.121221, 0.507345, 1.0]], ['2, k, 10', [-0.265029, 0.679726, 1.0]], ['2, k, 11', [-0.348579, 0.724471, 1.0]], ['2, k, 12', [-0.0026926, -0.273312, 1.0]], ['2, k, 13', [-0.0350429, -0.527583, 1.0]], ['2, k, 14', [-0.0697741, -0.770268, 1.0]], ['2, k, 15', [-0.0612441, -0.682884, 1.0]], ['2, k, 16', [0.114431, -0.224002, 1.0]], ['2, k, 17', [0.143012, -0.494265, 1.0]], ['2, k, 18', [0.138561, -0.743749, 1.0]], ['2, k, 19', [0.0982952, -0.816783, 1.0]], ['2, k, 20', [-0.0565071, 0.2549, 1.0]], ['2, k, 21', [-0.757084, 0.31856, 1.0]], ['2, k, 22', [-0.721397, 0.275268, 1.0]], ['2, k, 23', [-0.414201, 0.74707, 1.0]], ['2, k, 24', [-0.399043, 0.699785, 1.0]]]
[['2, k, 0', [0.0551485, -0.251789, 1.0]], ['2, k, 1', [-0.0082913, 0.0414712, 1.0]], ['2, k, 2', [-0.0659578, 0.334003, 1.0]], ['2, k, 3', [-0.161977, 0.449149, 1.0]], ['2, k, 4', [-0.203142, 0.19391, 1.0]], ['2, k, 5', [-0.396943, 0.157305, 1.0]], ['2, k, 6', [-0.60319, 0.25649, 1.0]], ['2, k, 7', [-0.688105, 0.321431, 1.0]], ['2, k, 8', [0.040816, 0.298366, 1.0]], ['2, k, 9', [-0.114443, 0.511901, 1.0]], ['2, k, 10', [-0.264222, 0.686716, 1.0]], ['2, k, 11', [-0.33391, 0.741945, 1.0]], ['2, k, 12', [-0.00430628, -0.272726, 1.0]], ['2, k, 13', [-0.0362054, -0.520965, 1.0]], ['2, k, 14', [-0.0707804, -0.765716, 1.0]], ['2, k, 15', [-0.061567, -0.679719, 1.0]], ['2, k, 16', [0.112333, -0.223442, 1.0]], ['2, k, 17', [0.141785, -0.491097, 1.0]], ['2, k, 18', [0.13767, -0.742271, 1.0]], ['2, k, 19', [0.101622, -0.816617, 1.0]], ['2, k, 20', [-0.0525103, 0.261526, 1.0]], ['2, k, 21', [-0.746908, 0.372719, 1.0]], ['2, k, 22', [-0.732032, 0.315806, 1.0]], ['2, k, 23', [-0.392914, 0.769726, 1.0]], ['2, k, 24', [-0.381983, 0.704189, 1.0]]]
[['2, k, 0', [0.0462105, -0.237719, 1.0]], ['2, k, 1', [-0.00906797, 0.0517991, 1.0]], ['2, k, 2', [-0.0633976, 0.338758, 1.0]], ['2, k, 3', [-0.156505, 0.455557, 1.0]], ['2, k, 4', [-0.203567, 0.197028, 1.0]], ['2, k, 5', [-0.403747, 0.185126, 1.0]], ['2, k, 6', [-0.591088, 0.273248, 1.0]], ['2, k, 7', [-0.706281, 0.392466, 1.0]], ['2, k, 8', [0.0399267, 0.366255, 1.0]], ['2, k, 9', [-0.112466, 0.579945, 1.0]], ['2, k, 10', [-0.265345, 0.721801, 1.0]], ['2, k, 11', [-0.321018, 0.76129, 1.0]], ['2, k, 12', [-0.00859929, -0.267246, 1.0]], ['2, k, 13', [-0.0359258, -0.511825, 1.0]], ['2, k, 14', [-0.0718951, -0.761085, 1.0]], ['2, k, 15', [-0.0608987, -0.675884, 1.0]], ['2, k, 16', [0.0971704, -0.196565, 1.0]], ['2, k, 17', [0.140216, -0.488326, 1.0]], ['2, k, 18', [0.136525, -0.743634, 1.0]], ['2, k, 19', [0.0989219, -0.817804, 1.0]], ['2, k, 20', [-0.0503051, 0.267561, 1.0]], ['2, k, 21', [-0.739364, 0.442281, 1.0]], ['2, k, 22', [-0.764879, 0.3414, 1.0]], ['2, k, 23', [-0.376269, 0.783009, 1.0]], ['2, k, 24', [-0.381459, 0.706644, 1.0]]]
[['2, k, 0', [0.0437808, -0.228634, 1.0]], ['2, k, 1', [-0.00853558, 0.0585726, 1.0]], ['2, k, 2', [-0.0608618, 0.341932, 1.0]], ['2, k, 3', [-0.14184, 0.482764, 1.0]], ['2, k, 4', [-0.20294, 0.195809, 1.0]], ['2, k, 5', [-0.405227, 0.203263, 1.0]], ['2, k, 6', [-0.605281, 0.327512, 1.0]], ['2, k, 7', [-0.697352, 0.413934, 1.0]], ['2, k, 8', [0.0342375, 0.34332, 1.0]], ['2, k, 9', [-0.0961749, 0.57797, 1.0]], ['2, k, 10', [-0.263651, 0.744131, 1.0]], ['2, k, 11', [-0.309537, 0.774854, 1.0]], ['2, k, 12', [-0.0153425, -0.235507, 1.0]], ['2, k, 13', [-0.0402854, -0.479784, 1.0]], ['2, k, 14', [-0.0562613, -0.739749, 1.0]], ['2, k, 15', [-0.0715358, -0.647467, 1.0]], ['2, k, 16', [0.0971349, -0.19682, 1.0]], ['2, k, 17', [0.13807, -0.4858, 1.0]], ['2, k, 18', [0.135734, -0.744134, 1.0]], ['2, k, 19', [0.0972487, -0.818109, 1.0]], ['2, k, 20', [-0.0480696, 0.271656, 1.0]], ['2, k, 21', [-0.739763, 0.468184, 1.0]], ['2, k, 22', [-0.727513, 0.384829, 1.0]], ['2, k, 23', [-0.353544, 0.805537, 1.0]], ['2, k, 24', [-0.380772, 0.714653, 1.0]]]
[['2, k, 0', [0.0433437, -0.227685, 1.0]], ['2, k, 1', [-0.00726407, 0.0616262, 1.0]], ['2, k, 2', [-0.0553249, 0.347423, 1.0]], ['2, k, 3', [-0.135757, 0.488444, 1.0]], ['2, k, 4', [-0.201544, 0.200284, 1.0]], ['2, k, 5', [-0.404741, 0.223196, 1.0]], ['2, k, 6', [-0.60473, 0.342143, 1.0]], ['2, k, 7', [-0.690739, 0.433911, 1.0]], ['2, k, 8', [0.0361285, 0.336225, 1.0]], ['2, k, 9', [-0.0906193, 0.576704, 1.0]], ['2, k, 10', [-0.216162, 0.76168, 1.0]], ['2, k, 11', [-0.274758, 0.791061, 1.0]], ['2, k, 12', [-0.0168291, -0.23496, 1.0]], ['2, k, 13', [-0.0426542, -0.477003, 1.0]], ['2, k, 14', [-0.0574255, -0.740217, 1.0]], ['2, k, 15', [-0.072792, -0.645098, 1.0]], ['2, k, 16', [0.0983548, -0.198783, 1.0]], ['2, k, 17', [0.132263, -0.482262, 1.0]], ['2, k, 18', [0.129092, -0.741901, 1.0]], ['2, k, 19', [0.112377, -0.822417, 1.0]], ['2, k, 20', [-0.0437475, 0.276699, 1.0]], ['2, k, 21', [-0.734013, 0.490819, 1.0]], ['2, k, 22', [-0.734992, 0.413871, 1.0]], ['2, k, 23', [-0.333623, 0.809344, 1.0]], ['2, k, 24', [-0.339771, 0.743992, 1.0]]]
