[['2, k, 0', [-0.14612, -0.325219, 1.0]], ['2, k, 1', [-0.158289, -0.0487215, 1.0]], ['2, k, 2', [-0.169161, 0.221124, 1.0]], ['2, k, 3', [-0.163593, 0.363284, 1.0]], ['2, k, 4', [-0.35, 0.132935, 1.0]], ['2, k, 5', [-0.51414, -0.00745299, 1.0]], ['2, k, 6', [-0.443763, -0.186556, 1.0]], ['2, k, 7', [-0.418689, -0.168261, 1.0]], ['2, k, 8', [0.00782572, 0.13689, 1.0]], ['2, k, 9', [0.194063, 0.00609933, 1.0]], ['2, k, 10', [0.108485, -0.162837, 1.0]], ['2, k, 11', [0.0519668, -0.20462, 1.0]], ['2, k, 12', [-0.225604, -0.321325, 1.0]], ['2, k, 13', [-0.277626, -0.664114, 1.0]], ['2, k, 14', [-0.351634, -1.08035, 1.0]], ['2, k, 15', [-0.362305, -1.14844, 1.0]], ['2, k, 16', [-0.0623622, -0.319645, 1.0]], ['2, k, 17', [0.00118281, -0.658798, 1.0]], ['2, k, 18', [0.0721679, -1.07164, 1.0]], ['2, k, 19', [0.0793457, -1.15039, 1.0]], ['2, k, 20', [-0.16666, 0.154632, 1.0]], ['2, k, 21', [-0.361725, -0.229587, 1.0]], ['2, k, 22', [-0.452288, -0.168342, 1.0]], ['2, k, 23', [0.0284647, -0.285468, 1.0]], ['2, k, 24', [0.105171, -0.190206, 1.0]]]
[['2, k, 0', [-0.146345, -0.325487, 1.0]], ['2, k, 1', [-0.158423, -0.0488262, 1.0]], ['2, k, 2', [-0.169245, 0.221113, 1.0]], ['2, k, 3', [-0.163625, 0.36334, 1.0]], ['2, k, 4', [-0.350078, 0.132905, 1.0]], ['2, k, 5', [-0.51442, -0.00716038, 1.0]], ['2, k, 6', [-0.391624, -0.18238, 1.0]], ['2, k, 7', [-0.343206, -0.215904, 1.0]], ['2, k, 8', [0.00765096, 0.136869, 1.0]], ['2, k, 9', [0.194008, 0.00598384, 1.0]], ['2, k, 10', [0.106411, -0.162026, 1.0]], ['2, k, 11', [0.0720892, -0.1841, 1.0]], ['2, k, 12', [-0.225842, -0.32162, 1.0]], ['2, k, 13', [-0.281447, -0.672202, 1.0]], ['2, k, 14', [-0.350994, -1.07924, 1.0]], ['2, k, 15', [-0.361882, -1.14844, 1.0]], ['2, k, 16', [-0.0625779, -0.319892, 1.0]], ['2, k, 17', [0.00182607, -0.664663, 1.0]], ['2, k, 18', [0.0734729, -1.07428, 1.0]], ['2, k, 19', [0.0786344, -1.15002, 1.0]], ['2, k, 20', [-0.166752, 0.154602, 1.0]], ['2, k, 21', [-0.322272, -0.308834, 1.0]], ['2, k, 22', [-0.340908, -0.311118, 1.0]], ['2, k, 23', [0.0369125, -0.221425, 1.0]], ['2, k, 24', [0.08472, -0.201955, 1.0]]]
[['2, k, 0', [-0.147772, -0.325272, 1.0]], ['2, k, 1', [-0.158873, -0.0486734, 1.0]], ['2, k, 2', [-0.169281, 0.221215, 1.0]], ['2, k, 3', [-0.16372, 0.363507, 1.0]], ['2, k, 4', [-0.350131, 0.133021, 1.0]], ['2, k, 5', [-0.514882, -0.00671877, 1.0]], ['2, k, 6', [-0.391786, -0.182163, 1.0]], ['2, k, 7', [-0.344281, -0.217378, 1.0]], ['2, k, 8', [0.00752489, 0.136821, 1.0]], ['2, k, 9', [0.193419, 0.00588831, 1.0]], ['2, k, 10', [0.107757, -0.162977, 1.0]], ['2, k, 11', [0.0520347, -0.20223, 1.0]], ['2, k, 12', [-0.227285, -0.321286, 1.0]], ['2, k, 13', [-0.283506, -0.685943, 1.0]], ['2, k, 14', [-0.350653, -1.07907, 1.0]], ['2, k, 15', [-0.360974, -1.14724, 1.0]], ['2, k, 16', [-0.0639678, -0.319792, 1.0]], ['2, k, 17', [-0.000310469, -0.662945, 1.0]], ['2, k, 18', [0.0737896, -1.07414, 1.0]], ['2, k, 19', [0.0763634, -1.13801, 1.0]], ['2, k, 20', [-0.166849, 0.154708, 1.0]], ['2, k, 21', [-0.328563, -0.308025, 1.0]], ['2, k, 22', [-0.360641, -0.289495, 1.0]], ['2, k, 23', [0.0224771, -0.284486, 1.0]], ['2, k, 24', [0.0893882, -0.209541, 1.0]]]
[['2, k, 0', [-0.149662, -0.325216, 1.0]], ['2, k, 1', [-0.159568, -0.0485197, 1.0]], ['2, k, 2', [-0.169347, 0.221403, 1.0]], ['2, k, 3', [-0.163635, 0.363723, 1.0]], ['2, k, 4', [-0.35027, 0.133287, 1.0]], ['2, k, 5', [-0.516829, -0.00508583, 1.0]], ['2, k, 6', [-0.391943, -0.182052, 1.0]], ['2, k, 7', [-0.345463, -0.217129, 1.0]], ['2, k, 8', [0.0070028, 0.136484, 1.0]], ['2, k, 9', [0.192591, 0.00551094, 1.0]], ['2, k, 10', [0.106991, -0.163405, 1.0]], ['2, k, 11', [0.0511137, -0.203679, 1.0]], ['2, k, 12', [-0.229106, -0.321057, 1.0]], ['2, k, 13', [-0.284616, -0.685201, 1.0]], ['2, k, 14', [-0.35059, -1.07909, 1.0]], ['2, k, 15', [-0.351951, -1.15405, 1.0]], ['2, k, 16', [-0.0658748, -0.319913, 1.0]], ['2, k, 17', [-0.000868884, -0.6635, 1.0]], ['2, k, 18', [0.0737443, -1.07269, 1.0]], ['2, k, 19', [0.0760282, -1.13808, 1.0]], ['2, k, 20', [-0.167028, 0.154883, 1.0]], ['2, k, 21', [-0.329743, -0.309462, 1.0]], ['2, k, 22', [-0.385421, -0.249249, 1.0]], ['2, k, 23', [0.0177847, -0.285136, 1.0]], ['2, k, 24', [0.00478836, -0.171216, 1.0]]]
[['2, k, 0', [-0.151973, -0.325256, 1.0]], ['2, k, 1', [-0.16097, -0.0478442, 1.0]], ['2, k, 2', [-0.170023, 0.222891, 1.0]], ['2, k, 3', [-0.163609, 0.364252, 1.0]], ['2, k, 4', [-0.350732, 0.133636, 1.0]], ['2, k, 5', [-0.518245, -0.00179161, 1.0]], ['2, k, 6', [-0.392161, -0.182105, 1.0]], ['2, k, 7', [-0.346822, -0.217269, 1.0]], ['2, k, 8', [0.0063835, 0.136159, 1.0]], ['2, k, 9', [0.190853, 0.00381794, 1.0]], ['2, k, 10', [0.0956673, -0.164918, 1.0]], ['2, k, 11', [0.0421906, -0.206021, 1.0]], ['2, k, 12', [-0.231411, -0.320863, 1.0]], ['2, k, 13', [-0.287347, -0.682722, 1.0]], ['2, k, 14', [-0.34966, -1.07771, 1.0]], ['2, k, 15', [-0.356006, -1.15105, 1.0]], ['2, k, 16', [-0.0681404, -0.320173, 1.0]], ['2, k, 17', [-0.00434977, -0.665547, 1.0]], ['2, k, 18', [0.0739902, -1.07249, 1.0]], ['2, k, 19', [0.0760623, -1.13883, 1.0]], ['2, k, 20', [-0.167887, 0.156128, 1.0]], ['2, k, 21', [-0.332226, -0.308797, 1.0]], ['2, k, 22', [-0.352478, -0.313575, 1.0]], ['2, k, 23', [0.0143724, -0.285112, 1.0]], ['2, k, 24', [-0.00814083, -0.16533, 1.0]]]
[['2, k, 0', [-0.155788, -0.326331, 1.0]], ['2, k, 1', [-0.162173, -0.048078, 1.0]], ['2, k, 2', [-0.16995, 0.223024, 1.0]], ['2, k, 3', [-0.163612, 0.36447, 1.0]], ['2, k, 4', [-0.351594, 0.134157, 1.0]], ['2, k, 5', [-0.520131, 0.00185604, 1.0]], ['2, k, 6', [-0.392993, -0.18232, 1.0]], ['2, k, 7', [-0.349289, -0.218509, 1.0]], ['2, k, 8', [0.00503738, 0.135107, 1.0]], ['2, k, 9', [0.189094, 0.00288169, 1.0]], ['2, k, 10', [0.0972702, -0.16295, 1.0]], ['2, k, 11', [0.0692817, -0.184753, 1.0]], ['2, k, 12', [-0.235038, -0.321449, 1.0]], ['2, k, 13', [-0.288188, -0.68192, 1.0]], ['2, k, 14', [-0.350394, -1.07837, 1.0]], ['2, k, 15', [-0.356426, -1.15082, 1.0]], ['2, k, 16', [-0.0720547, -0.321736, 1.0]], ['2, k, 17', [-0.007965, -0.663263, 1.0]], ['2, k, 18', [0.0739888, -1.07251, 1.0]], ['2, k, 19', [0.0755161, -1.13924, 1.0]], ['2, k, 20', [-0.168062, 0.156189, 1.0]], ['2, k, 21', [-0.335682, -0.308121, 1.0]], ['2, k, 22', [-0.388615, -0.25176, 1.0]], ['2, k, 23', [0.0363885, -0.220806, 1.0]], ['2, k, 24', [0.0479099, -0.167272, 1.0]]]
[['2, k, 0', [-0.159217, -0.327412, 1.0]], ['2, k, 1', [-0.165065, -0.0482241, 1.0]], ['2, k, 2', [-0.171706, 0.223755, 1.0]], ['2, k, 3', [-0.163733, 0.364762, 1.0]], ['2, k, 4', [-0.353048, 0.134898, 1.0]], ['2, k, 5', [-0.521491, 0.00422313, 1.0]], ['2, k, 6', [-0.393791, -0.182225, 1.0]], ['2, k, 7', [-0.350739, -0.219309, 1.0]], ['2, k, 8', [0.0035811, 0.134424, 1.0]], ['2, k, 9', [0.186928, 0.00105865, 1.0]], ['2, k, 10', [0.0955665, -0.164397, 1.0]], ['2, k, 11', [0.0616585, -0.187985, 1.0]], ['2, k, 12', [-0.238333, -0.322165, 1.0]], ['2, k, 13', [-0.29151, -0.678354, 1.0]], ['2, k, 14', [-0.350682, -1.0774, 1.0]], ['2, k, 15', [-0.358998, -1.14887, 1.0]], ['2, k, 16', [-0.0754986, -0.323148, 1.0]], ['2, k, 17', [-0.0104857, -0.66193, 1.0]], ['2, k, 18', [0.0739169, -1.07228, 1.0]], ['2, k, 19', [0.0811841, -1.14499, 1.0]], ['2, k, 20', [-0.170107, 0.156727, 1.0]], ['2, k, 21', [-0.338985, -0.308582, 1.0]], ['2, k, 22', [-0.388523, -0.252621, 1.0]], ['2, k, 23', [0.0290527, -0.222169, 1.0]], ['2, k, 24', [0.043213, -0.167607, 1.0]]]
[['2, k, 0', [-0.165318, -0.329642, 1.0]], ['2, k, 1', [-0.167913, -0.049504, 1.0]], ['2, k, 2', [-0.171935, 0.223226, 1.0]], ['2, k, 3', [-0.164156, 0.365025, 1.0]], ['2, k, 4', [-0.355561, 0.135158, 1.0]], ['2, k, 5', [-0.52552, 0.00800111, 1.0]], ['2, k, 6', [-0.395805, -0.183033, 1.0]], ['2, k, 7', [-0.354522, -0.226975, 1.0]], ['2, k, 8', [0.000265986, 0.132773, 1.0]], ['2, k, 9', [0.181339, -0.00169407, 1.0]], ['2, k, 10', [0.0924101, -0.167557, 1.0]], ['2, k, 11', [0.0421411, -0.203987, 1.0]], ['2, k, 12', [-0.244276, -0.323925, 1.0]], ['2, k, 13', [-0.297375, -0.67654, 1.0]], ['2, k, 14', [-0.351143, -1.06943, 1.0]], ['2, k, 15', [-0.35049, -1.15141, 1.0]], ['2, k, 16', [-0.081541, -0.32575, 1.0]], ['2, k, 17', [-0.0180432, -0.661354, 1.0]], ['2, k, 18', [0.0734789, -1.07028, 1.0]], ['2, k, 19', [0.0781151, -1.13948, 1.0]], ['2, k, 20', [-0.17091, 0.15607, 1.0]], ['2, k, 21', [-0.342236, -0.312981, 1.0]], ['2, k, 22', [-0.383407, -0.263204, 1.0]], ['2, k, 23', [0.00241601, -0.291225, 1.0]], ['2, k, 24', [-0.00478549, -0.187126, 1.0]]]
[['2, k, 0', [-0.170022, -0.329939, 1.0]], ['2, k, 1', [-0.170239, -0.0500093, 1.0]], ['2, k, 2', [-0.172287, 0.222905, 1.0]], ['2, k, 3', [-0.164724, 0.365264, 1.0]], ['2, k, 4', [-0.356917, 0.135307, 1.0]], ['2, k, 5', [-0.528152, 0.00999639, 1.0]], ['2, k, 6', [-0.437134, -0.159362, 1.0]], ['2, k, 7', [-0.395346, -0.191227, 1.0]], ['2, k, 8', [-0.0014069, 0.132121, 1.0]], ['2, k, 9', [0.179732, -0.00259138, 1.0]], ['2, k, 10', [0.0909076, -0.168374, 1.0]], ['2, k, 11', [0.0413517, -0.204343, 1.0]], ['2, k, 12', [-0.249021, -0.325076, 1.0]], ['2, k, 13', [-0.29981, -0.674531, 1.0]], ['2, k, 14', [-0.351246, -1.06944, 1.0]], ['2, k, 15', [-0.3529, -1.14875, 1.0]], ['2, k, 16', [-0.0862211, -0.325163, 1.0]], ['2, k, 17', [-0.0203464, -0.675105, 1.0]], ['2, k, 18', [0.0731397, -1.0714, 1.0]], ['2, k, 19', [0.0786752, -1.14058, 1.0]], ['2, k, 20', [-0.171629, 0.155685, 1.0]], ['2, k, 21', [-0.366629, -0.277189, 1.0]], ['2, k, 22', [-0.434955, -0.20102, 1.0]], ['2, k, 23', [0.00033821, -0.291514, 1.0]], ['2, k, 24', [-0.00663841, -0.184042, 1.0]]]
[['2, k, 0', [-0.173479, -0.330105, 1.0]], ['2, k, 1', [-0.172315, -0.050364, 1.0]], ['2, k, 2', [-0.172781, 0.22253, 1.0]], ['2, k, 3', [-0.165566, 0.365103, 1.0]], ['2, k, 4', [-0.35849, 0.13552, 1.0]], ['2, k, 5', [-0.530925, 0.0113011, 1.0]], ['2, k, 6', [-0.438757, -0.1572, 1.0]], ['2, k, 7', [-0.399704, -0.191377, 1.0]], ['2, k, 8', [-0.00272247, 0.13143, 1.0]], ['2, k, 9', [0.17676, -0.00318197, 1.0]], ['2, k, 10', [0.0895361, -0.169734, 1.0]], ['2, k, 11', [0.0326415, -0.208038, 1.0]], ['2, k, 12', [-0.252256, -0.325678, 1.0]], ['2, k, 13', [-0.303246, -0.6736, 1.0]], ['2, k, 14', [-0.35105, -1.06984, 1.0]], ['2, k, 15', [-0.35384, -1.14832, 1.0]], ['2, k, 16', [-0.0897459, -0.324857, 1.0]], ['2, k, 17', [-0.0250908, -0.666745, 1.0]], ['2, k, 18', [0.0721913, -1.06863, 1.0]], ['2, k, 19', [0.0785174, -1.13962, 1.0]], ['2, k, 20', [-0.172502, 0.155306, 1.0]], ['2, k, 21', [-0.36745, -0.286, 1.0]], ['2, k, 22', [-0.450542, -0.192284, 1.0]], ['2, k, 23', [-0.010039, -0.288558, 1.0]], ['2, k, 24', [-0.0183719, -0.183423, 1.0]]]
[['2, k, 0', [-0.176917, -0.330619, 1.0]], ['2, k, 1', [-0.174119, -0.0507067, 1.0]], ['2, k, 2', [-0.173052, 0.222385, 1.0]], ['2, k, 3', [-0.1659, 0.365145, 1.0]], ['2, k, 4', [-0.359944, 0.135715, 1.0]], ['2, k, 5', [-0.533183, 0.0132395, 1.0]], ['2, k, 6', [-0.440706, -0.154782, 1.0]], ['2, k, 7', [-0.404753, -0.191564, 1.0]], ['2, k, 8', [-0.00349229, 0.130823, 1.0]], ['2, k, 9', [0.174651, -0.00453122, 1.0]], ['2, k, 10', [0.0880677, -0.171372, 1.0]], ['2, k, 11', [0.0323128, -0.208202, 1.0]], ['2, k, 12', [-0.255572, -0.326255, 1.0]], ['2, k, 13', [-0.307336, -0.668888, 1.0]], ['2, k, 14', [-0.351218, -1.06084, 1.0]], ['2, k, 15', [-0.355297, -1.14672, 1.0]], ['2, k, 16', [-0.0931248, -0.32528, 1.0]], ['2, k, 17', [-0.0262948, -0.666601, 1.0]], ['2, k, 18', [0.0720522, -1.06858, 1.0]], ['2, k, 19', [0.0776006, -1.13841, 1.0]], ['2, k, 20', [-0.17309, 0.155113, 1.0]], ['2, k, 21', [-0.377102, -0.282437, 1.0]], ['2, k, 22', [-0.442846, -0.198636, 1.0]], ['2, k, 23', [-0.0109943, -0.289222, 1.0]], ['2, k, 24', [-0.0162182, -0.188624, 1.0]]]
