[['2, k, 0', [0.00900057, -0.402371, 1.0]], ['2, k, 1', [-0.00164854, -0.0981441, 1.0]], ['2, k, 2', [-0.0119714, 0.197827, 1.0]], ['2, k, 3', [-0.00942161, 0.351869, 1.0]], ['2, k, 4', [-0.198124, 0.0964304, 1.0]], ['2, k, 5', [-0.274186, -0.201169, 1.0]], ['2, k, 6', [-0.308424, -0.459485, 1.0]], ['2, k, 7', [-0.303178, -0.458016, 1.0]], ['2, k, 8', [0.183526, 0.0906974, 1.0]], ['2, k, 9', [0.282243, -0.205471, 1.0]], ['2, k, 10', [0.300878, -0.462639, 1.0]], ['2, k, 11', [0.292751, -0.449308, 1.0]], ['2, k, 12', [-0.078381, -0.394263, 1.0]], ['2, k, 13', [-0.0941484, -0.746711, 1.0]], ['2, k, 14', [-0.0960186, -1.10372, 1.0]], ['2, k, 15', [-0.130492, -1.171, 1.0]], ['2, k, 16', [0.0960836, -0.396921, 1.0]], ['2, k, 17', [0.165398, -0.759235, 1.0]], ['2, k, 18', [0.167426, -1.10083, 1.0]], ['2, k, 19', [0.187587, -1.16184, 1.0]], ['2, k, 20', [-0.00943845, 0.125019, 1.0]], ['2, k, 21', [-0.303812, -0.527354, 1.0]], ['2, k, 22', [-0.340671, -0.470226, 1.0]], ['2, k, 23', [0.289445, -0.51771, 1.0]], ['2, k, 24', [0.341177, -0.467531, 1.0]]]
[['2, k, 0', [0.00849035, -0.400838, 1.0]], ['2, k, 1', [-0.00175093, -0.0977271, 1.0]], ['2, k, 2', [-0.0119563, 0.197836, 1.0]], ['2, k, 3', [-0.00940635, 0.351844, 1.0]], ['2, k, 4', [-0.198039, 0.0964174, 1.0]], ['2, k, 5', [-0.274613, -0.201133, 1.0]], ['2, k, 6', [-0.314404, -0.451422, 1.0]], ['2, k, 7', [-0.305229, -0.454287, 1.0]], ['2, k, 8', [0.18352, 0.0906032, 1.0]], ['2, k, 9', [0.282246, -0.204994, 1.0]], ['2, k, 10', [0.299464, -0.459735, 1.0]], ['2, k, 11', [0.29025, -0.444856, 1.0]], ['2, k, 12', [-0.078894, -0.392664, 1.0]], ['2, k, 13', [-0.094184, -0.746768, 1.0]], ['2, k, 14', [-0.0960343, -1.10378, 1.0]], ['2, k, 15', [-0.131435, -1.17257, 1.0]], ['2, k, 16', [0.0955917, -0.395508, 1.0]], ['2, k, 17', [0.165268, -0.759214, 1.0]], ['2, k, 18', [0.167299, -1.10031, 1.0]], ['2, k, 19', [0.187347, -1.1629, 1.0]], ['2, k, 20', [-0.009433, 0.125066, 1.0]], ['2, k, 21', [-0.30112, -0.519174, 1.0]], ['2, k, 22', [-0.352361, -0.433856, 1.0]], ['2, k, 23', [0.284066, -0.513005, 1.0]], ['2, k, 24', [0.336172, -0.43614, 1.0]]]
[['2, k, 0', [0.00807988, -0.398868, 1.0]], ['2, k, 1', [-0.001837, -0.0970243, 1.0]], ['2, k, 2', [-0.0118981, 0.197917, 1.0]], ['2, k, 3', [-0.00944849, 0.351887, 1.0]], ['2, k, 4', [-0.19799, 0.0964161, 1.0]], ['2, k, 5', [-0.273851, -0.196193, 1.0]], ['2, k, 6', [-0.313452, -0.435814, 1.0]], ['2, k, 7', [-0.303159, -0.452776, 1.0]], ['2, k, 8', [0.183498, 0.0906415, 1.0]], ['2, k, 9', [0.278518, -0.193374, 1.0]], ['2, k, 10', [0.296951, -0.439585, 1.0]], ['2, k, 11', [0.286687, -0.441136, 1.0]], ['2, k, 12', [-0.0792839, -0.390823, 1.0]], ['2, k, 13', [-0.0942042, -0.746699, 1.0]], ['2, k, 14', [-0.0960255, -1.1034, 1.0]], ['2, k, 15', [-0.131295, -1.17291, 1.0]], ['2, k, 16', [0.0951754, -0.393489, 1.0]], ['2, k, 17', [0.165249, -0.75923, 1.0]], ['2, k, 18', [0.166729, -1.09934, 1.0]], ['2, k, 19', [0.187457, -1.16319, 1.0]], ['2, k, 20', [-0.00940098, 0.125237, 1.0]], ['2, k, 21', [-0.292568, -0.511701, 1.0]], ['2, k, 22', [-0.359137, -0.4394, 1.0]], ['2, k, 23', [0.282353, -0.501991, 1.0]], ['2, k, 24', [0.313664, -0.427219, 1.0]]]
[['2, k, 0', [0.00712557, -0.395196, 1.0]], ['2, k, 1', [-0.00235643, -0.0955319, 1.0]], ['2, k, 2', [-0.012132, 0.198156, 1.0]], ['2, k, 3', [-0.0094664, 0.352205, 1.0]], ['2, k, 4', [-0.197024, 0.0972004, 1.0]], ['2, k, 5', [-0.273234, -0.183712, 1.0]], ['2, k, 6', [-0.309728, -0.413236, 1.0]], ['2, k, 7', [-0.302023, -0.442482, 1.0]], ['2, k, 8', [0.18343, 0.0906815, 1.0]], ['2, k, 9', [0.276528, -0.181245, 1.0]], ['2, k, 10', [0.299056, -0.41248, 1.0]], ['2, k, 11', [0.28572, -0.428927, 1.0]], ['2, k, 12', [-0.0802775, -0.386689, 1.0]], ['2, k, 13', [-0.0940423, -0.745034, 1.0]], ['2, k, 14', [-0.0969644, -1.10254, 1.0]], ['2, k, 15', [-0.131204, -1.1737, 1.0]], ['2, k, 16', [0.0942918, -0.390385, 1.0]], ['2, k, 17', [0.16515, -0.759358, 1.0]], ['2, k, 18', [0.166365, -1.09918, 1.0]], ['2, k, 19', [0.187328, -1.16369, 1.0]], ['2, k, 20', [-0.00967575, 0.125699, 1.0]], ['2, k, 21', [-0.294636, -0.497316, 1.0]], ['2, k, 22', [-0.360114, -0.430639, 1.0]], ['2, k, 23', [0.274507, -0.490899, 1.0]], ['2, k, 24', [0.243799, -0.439616, 1.0]]]
[['2, k, 0', [0.0068463, -0.392982, 1.0]], ['2, k, 1', [-0.00240481, -0.0939936, 1.0]], ['2, k, 2', [-0.0118844, 0.19886, 1.0]], ['2, k, 3', [-0.00946231, 0.352486, 1.0]], ['2, k, 4', [-0.195667, 0.0985294, 1.0]], ['2, k, 5', [-0.272747, -0.167489, 1.0]], ['2, k, 6', [-0.308014, -0.380398, 1.0]], ['2, k, 7', [-0.299776, -0.424488, 1.0]], ['2, k, 8', [0.183394, 0.0906277, 1.0]], ['2, k, 9', [0.271643, -0.157053, 1.0]], ['2, k, 10', [0.29468, -0.378374, 1.0]], ['2, k, 11', [0.284143, -0.412204, 1.0]], ['2, k, 12', [-0.0805463, -0.38383, 1.0]], ['2, k, 13', [-0.0939973, -0.744897, 1.0]], ['2, k, 14', [-0.0961716, -1.10085, 1.0]], ['2, k, 15', [-0.130899, -1.17281, 1.0]], ['2, k, 16', [0.0940231, -0.388827, 1.0]], ['2, k, 17', [0.165131, -0.759043, 1.0]], ['2, k, 18', [0.166277, -1.09805, 1.0]], ['2, k, 19', [0.187129, -1.16308, 1.0]], ['2, k, 20', [-0.00951429, 0.126618, 1.0]], ['2, k, 21', [-0.28897, -0.477507, 1.0]], ['2, k, 22', [-0.358192, -0.410372, 1.0]], ['2, k, 23', [0.282076, -0.46507, 1.0]], ['2, k, 24', [0.242609, -0.424577, 1.0]]]
[['2, k, 0', [0.00631963, -0.390593, 1.0]], ['2, k, 1', [-0.00273731, -0.0921333, 1.0]], ['2, k, 2', [-0.0119384, 0.199944, 1.0]], ['2, k, 3', [-0.00923291, 0.35385, 1.0]], ['2, k, 4', [-0.195509, 0.0986336, 1.0]], ['2, k, 5', [-0.27194, -0.15042, 1.0]], ['2, k, 6', [-0.306335, -0.346458, 1.0]], ['2, k, 7', [-0.299388, -0.400517, 1.0]], ['2, k, 8', [0.183339, 0.0905985, 1.0]], ['2, k, 9', [0.271024, -0.14258, 1.0]], ['2, k, 10', [0.296603, -0.345303, 1.0]], ['2, k, 11', [0.283853, -0.383843, 1.0]], ['2, k, 12', [-0.0809968, -0.381582, 1.0]], ['2, k, 13', [-0.0939837, -0.745967, 1.0]], ['2, k, 14', [-0.0962185, -1.10082, 1.0]], ['2, k, 15', [-0.132562, -1.17344, 1.0]], ['2, k, 16', [0.0934383, -0.386446, 1.0]], ['2, k, 17', [0.165069, -0.758466, 1.0]], ['2, k, 18', [0.165877, -1.09781, 1.0]], ['2, k, 19', [0.187378, -1.16304, 1.0]], ['2, k, 20', [-0.00964979, 0.127931, 1.0]], ['2, k, 21', [-0.290343, -0.452402, 1.0]], ['2, k, 22', [-0.210982, -0.417947, 1.0]], ['2, k, 23', [0.281202, -0.438376, 1.0]], ['2, k, 24', [0.23991, -0.399707, 1.0]]]
[['2, k, 0', [0.00559209, -0.387836, 1.0]], ['2, k, 1', [-0.00306153, -0.0899981, 1.0]], ['2, k, 2', [-0.0117761, 0.201399, 1.0]], ['2, k, 3', [-0.00915793, 0.355508, 1.0]], ['2, k, 4', [-0.194688, 0.0990768, 1.0]], ['2, k, 5', [-0.271927, -0.136282, 1.0]], ['2, k, 6', [-0.305628, -0.316755, 1.0]], ['2, k, 7', [-0.299461, -0.374462, 1.0]], ['2, k, 8', [0.183211, 0.0903735, 1.0]], ['2, k, 9', [0.267174, -0.129151, 1.0]], ['2, k, 10', [0.295606, -0.308742, 1.0]], ['2, k, 11', [0.282639, -0.355137, 1.0]], ['2, k, 12', [-0.0816674, -0.378608, 1.0]], ['2, k, 13', [-0.0940889, -0.743831, 1.0]], ['2, k, 14', [-0.0975536, -1.10061, 1.0]], ['2, k, 15', [-0.13212, -1.17413, 1.0]], ['2, k, 16', [0.092685, -0.384029, 1.0]], ['2, k, 17', [0.164814, -0.756999, 1.0]], ['2, k, 18', [0.165804, -1.09705, 1.0]], ['2, k, 19', [0.187717, -1.16341, 1.0]], ['2, k, 20', [-0.00963136, 0.129595, 1.0]], ['2, k, 21', [-0.29394, -0.426043, 1.0]], ['2, k, 22', [-0.20492, -0.390803, 1.0]], ['2, k, 23', [0.27876, -0.41181, 1.0]], ['2, k, 24', [0.200723, -0.374619, 1.0]]]
[['2, k, 0', [0.00476462, -0.382834, 1.0]], ['2, k, 1', [-0.00332172, -0.0872475, 1.0]], ['2, k, 2', [-0.0115809, 0.202805, 1.0]], ['2, k, 3', [-0.00891039, 0.357063, 1.0]], ['2, k, 4', [-0.193059, 0.0994216, 1.0]], ['2, k, 5', [-0.277902, -0.119053, 1.0]], ['2, k, 6', [-0.302075, -0.281967, 1.0]], ['2, k, 7', [-0.301195, -0.343459, 1.0]], ['2, k, 8', [0.182841, 0.0901746, 1.0]], ['2, k, 9', [0.264526, -0.101234, 1.0]], ['2, k, 10', [0.289971, -0.265007, 1.0]], ['2, k, 11', [0.280332, -0.322798, 1.0]], ['2, k, 12', [-0.0823829, -0.373719, 1.0]], ['2, k, 13', [-0.0941612, -0.743432, 1.0]], ['2, k, 14', [-0.0979077, -1.1005, 1.0]], ['2, k, 15', [-0.132184, -1.17425, 1.0]], ['2, k, 16', [0.0917708, -0.379131, 1.0]], ['2, k, 17', [0.165039, -0.75569, 1.0]], ['2, k, 18', [0.165622, -1.09662, 1.0]], ['2, k, 19', [0.187321, -1.16288, 1.0]], ['2, k, 20', [-0.00956035, 0.131316, 1.0]], ['2, k, 21', [-0.291645, -0.389148, 1.0]], ['2, k, 22', [-0.205997, -0.355075, 1.0]], ['2, k, 23', [0.254347, -0.393632, 1.0]], ['2, k, 24', [0.205467, -0.339885, 1.0]]]
[['2, k, 0', [0.00453342, -0.382164, 1.0]], ['2, k, 1', [-0.0033332, -0.0857553, 1.0]], ['2, k, 2', [-0.0110102, 0.204564, 1.0]], ['2, k, 3', [-0.00883678, 0.35877, 1.0]], ['2, k, 4', [-0.192046, 0.0986826, 1.0]], ['2, k, 5', [-0.278127, -0.105294, 1.0]], ['2, k, 6', [-0.29679, -0.248566, 1.0]], ['2, k, 7', [-0.302928, -0.301887, 1.0]], ['2, k, 8', [0.182558, 0.0904653, 1.0]], ['2, k, 9', [0.264869, -0.082958, 1.0]], ['2, k, 10', [0.288025, -0.230523, 1.0]], ['2, k, 11', [0.280124, -0.27365, 1.0]], ['2, k, 12', [-0.0825225, -0.373421, 1.0]], ['2, k, 13', [-0.0958807, -0.740479, 1.0]], ['2, k, 14', [-0.0987284, -1.09676, 1.0]], ['2, k, 15', [-0.130928, -1.173, 1.0]], ['2, k, 16', [0.0914373, -0.377985, 1.0]], ['2, k, 17', [0.164757, -0.752807, 1.0]], ['2, k, 18', [0.165668, -1.09548, 1.0]], ['2, k, 19', [0.186123, -1.16317, 1.0]], ['2, k, 20', [-0.00915131, 0.133076, 1.0]], ['2, k, 21', [-0.297277, -0.352096, 1.0]], ['2, k, 22', [-0.206043, -0.316999, 1.0]], ['2, k, 23', [0.280575, -0.317143, 1.0]], ['2, k, 24', [0.195704, -0.300965, 1.0]]]
[['2, k, 0', [0.00343261, -0.381989, 1.0]], ['2, k, 1', [-0.00346148, -0.0846915, 1.0]], ['2, k, 2', [-0.0102989, 0.20596, 1.0]], ['2, k, 3', [-0.0084981, 0.359906, 1.0]], ['2, k, 4', [-0.191958, 0.0984986, 1.0]], ['2, k, 5', [-0.284279, -0.0537703, 1.0]], ['2, k, 6', [-0.291291, -0.217171, 1.0]], ['2, k, 7', [-0.301375, -0.262793, 1.0]], ['2, k, 8', [0.182032, 0.0908445, 1.0]], ['2, k, 9', [0.282309, -0.0244259, 1.0]], ['2, k, 10', [0.286445, -0.18298, 1.0]], ['2, k, 11', [0.279687, -0.236914, 1.0]], ['2, k, 12', [-0.0830903, -0.374209, 1.0]], ['2, k, 13', [-0.0957976, -0.740375, 1.0]], ['2, k, 14', [-0.0998166, -1.0956, 1.0]], ['2, k, 15', [-0.130369, -1.17281, 1.0]], ['2, k, 16', [0.0897099, -0.37683, 1.0]], ['2, k, 17', [0.164175, -0.749087, 1.0]], ['2, k, 18', [0.166224, -1.09362, 1.0]], ['2, k, 19', [0.184736, -1.16336, 1.0]], ['2, k, 20', [-0.00863214, 0.134415, 1.0]], ['2, k, 21', [-0.296156, -0.299821, 1.0]], ['2, k, 22', [-0.202946, -0.273336, 1.0]], ['2, k, 23', [0.273476, -0.28257, 1.0]], ['2, k, 24', [0.188582, -0.257617, 1.0]]]
[['2, k, 0', [0.00297028, -0.38498, 1.0]], ['2, k, 1', [-0.00316246, -0.0840483, 1.0]], ['2, k, 2', [-0.0092311, 0.209216, 1.0]], ['2, k, 3', [-0.00717047, 0.362861, 1.0]], ['2, k, 4', [-0.184874, 0.101522, 1.0]], ['2, k, 5', [-0.27865, -0.0269693, 1.0]], ['2, k, 6', [-0.291803, -0.146896, 1.0]], ['2, k, 7', [-0.301408, -0.178676, 1.0]], ['2, k, 8', [0.172347, 0.0987573, 1.0]], ['2, k, 9', [0.279853, 0.00355569, 1.0]], ['2, k, 10', [0.288579, -0.11731, 1.0]], ['2, k, 11', [0.278089, -0.157808, 1.0]], ['2, k, 12', [-0.0813849, -0.378581, 1.0]], ['2, k, 13', [-0.0955638, -0.741017, 1.0]], ['2, k, 14', [-0.10201, -1.09452, 1.0]], ['2, k, 15', [-0.129475, -1.1727, 1.0]], ['2, k, 16', [0.0868242, -0.378548, 1.0]], ['2, k, 17', [0.16442, -0.748585, 1.0]], ['2, k, 18', [0.165764, -1.09286, 1.0]], ['2, k, 19', [0.182315, -1.16256, 1.0]], ['2, k, 20', [-0.00774331, 0.136992, 1.0]], ['2, k, 21', [-0.301419, -0.210397, 1.0]], ['2, k, 22', [-0.211753, -0.189019, 1.0]], ['2, k, 23', [0.243431, -0.220761, 1.0]], ['2, k, 24', [0.186683, -0.171685, 1.0]]]
