[['2, k, 0', [0.1360312, -0.4844834, 1.0]], ['2, k, 1', [0.1448485, -0.2568176, 1.0]], ['2, k, 2', [0.1494697, -0.03304457, 1.0]], ['2, k, 3', [0.1739936, 0.1028257, 1.0]], ['2, k, 4', [-0.03739632, -0.09494686, 1.0]], ['2, k, 5', [-0.289467, -0.0843875, 1.0]], ['2, k, 6', [-0.5380879, -0.06551369, 1.0]], ['2, k, 7', [-0.6131166, -0.05617252, 1.0]], ['2, k, 8', [0.3202093, -0.1405397, 1.0]], ['2, k, 9', [0.3995799, -0.3700509, 1.0]], ['2, k, 10', [0.2286085, -0.3320454, 1.0]], ['2, k, 11', [0.156277, -0.3263747, 1.0]], ['2, k, 12', [0.04873895, -0.4734995, 1.0]], ['2, k, 13', [-0.04420576, -0.5194315, 1.0]], ['2, k, 14', [-0.04178007, -0.9136156, 1.0]], ['2, k, 15', [-0.1161081, -0.9532239, 1.0]], ['2, k, 16', [0.219375, -0.4827179, 1.0]], ['2, k, 17', [0.2341662, -0.5206981, 1.0]], ['2, k, 18', [0.2130291, -0.9295893, 1.0]], ['2, k, 19', [0.214478, -0.9626169, 1.0]], ['2, k, 20', [0.1485759, -0.08849047, 1.0]], ['2, k, 21', [-0.6951977, -0.04930238, 1.0]], ['2, k, 22', [-0.6928337, -0.04996862, 1.0]], ['2, k, 23', [0.1234501, -0.2990998, 1.0]], ['2, k, 24', [0.1592186, -0.2663842, 1.0]]]
[['2, k, 0', [0.1333427, -0.4832683, 1.0]], ['2, k, 1', [0.1441041, -0.2564805, 1.0]], ['2, k, 2', [0.149837, -0.0330908, 1.0]], ['2, k, 3', [0.1739895, 0.1027745, 1.0]], ['2, k, 4', [-0.03742562, -0.09198811, 1.0]], ['2, k, 5', [-0.2904638, -0.04885316, 1.0]], ['2, k, 6', [-0.5184703, -0.01684844, 1.0]], ['2, k, 7', [-0.6000249, 0.002019531, 1.0]], ['2, k, 8', [0.3199199, -0.1404419, 1.0]], ['2, k, 9', [0.3993286, -0.3695545, 1.0]], ['2, k, 10', [0.228194, -0.331835, 1.0]], ['2, k, 11', [0.156201, -0.3248595, 1.0]], ['2, k, 12', [0.04668812, -0.4719349, 1.0]], ['2, k, 13', [-0.04432042, -0.5194498, 1.0]], ['2, k, 14', [-0.04185268, -0.9135971, 1.0]], ['2, k, 15', [-0.1161722, -0.9529879, 1.0]], ['2, k, 16', [0.2161412, -0.4819767, 1.0]], ['2, k, 17', [0.2340857, -0.5206098, 1.0]], ['2, k, 18', [0.2132501, -0.929576, 1.0]], ['2, k, 19', [0.2143952, -0.9626559, 1.0]], ['2, k, 20', [0.1486531, -0.0884525, 1.0]], ['2, k, 21', [-0.671999, 0.01734668, 1.0]], ['2, k, 22', [-0.647747, 0.001214734, 1.0]], ['2, k, 23', [0.1196157, -0.2960869, 1.0]], ['2, k, 24', [0.1578064, -0.2660205, 1.0]]]
[['2, k, 0', [0.1197707, -0.478945, 1.0]], ['2, k, 1', [0.1396758, -0.2548398, 1.0]], ['2, k, 2', [0.1500021, -0.03283839, 1.0]], ['2, k, 3', [0.173853, 0.1024395, 1.0]], ['2, k, 4', [-0.03817538, -0.08680898, 1.0]], ['2, k, 5', [-0.2876887, -0.02556415, 1.0]], ['2, k, 6', [-0.4677977, 0.02307178, 1.0]], ['2, k, 7', [-0.5487507, 0.04532827, 1.0]], ['2, k, 8', [0.3191654, -0.1411577, 1.0]], ['2, k, 9', [0.3990245, -0.3690448, 1.0]], ['2, k, 10', [0.2261969, -0.3328452, 1.0]], ['2, k, 11', [0.1541449, -0.3251183, 1.0]], ['2, k, 12', [0.03377394, -0.4647446, 1.0]], ['2, k, 13', [-0.04441656, -0.5198418, 1.0]], ['2, k, 14', [-0.04239635, -0.9131206, 1.0]], ['2, k, 15', [-0.03859193, -0.9463628, 1.0]], ['2, k, 16', [0.2021372, -0.4804872, 1.0]], ['2, k, 17', [0.2340426, -0.5206469, 1.0]], ['2, k, 18', [0.2130633, -0.9295649, 1.0]], ['2, k, 19', [0.2131802, -0.962802, 1.0]], ['2, k, 20', [0.1481416, -0.08802692, 1.0]], ['2, k, 21', [-0.6136734, 0.0670476, 1.0]], ['2, k, 22', [-0.5494747, 0.02217779, 1.0]], ['2, k, 23', [0.1186102, -0.2947908, 1.0]], ['2, k, 24', [0.156328, -0.2652922, 1.0]]]
[['2, k, 0', [0.12062, -0.4785697, 1.0]], ['2, k, 1', [0.1395305, -0.2546457, 1.0]], ['2, k, 2', [0.1498754, -0.0326757, 1.0]], ['2, k, 3', [0.1737628, 0.1022341, 1.0]], ['2, k, 4', [-0.03791552, -0.08741555, 1.0]], ['2, k, 5', [-0.2810293, -0.004405714, 1.0]], ['2, k, 6', [-0.5134715, 0.09270751, 1.0]], ['2, k, 7', [-0.605363, 0.1223536, 1.0]], ['2, k, 8', [0.3184917, -0.141272, 1.0]], ['2, k, 9', [0.3985655, -0.3687328, 1.0]], ['2, k, 10', [0.2246534, -0.3292755, 1.0]], ['2, k, 11', [0.1538219, -0.3235876, 1.0]], ['2, k, 12', [0.03452701, -0.4646462, 1.0]], ['2, k, 13', [-0.04451742, -0.5198867, 1.0]], ['2, k, 14', [-0.04736326, -0.9129785, 1.0]], ['2, k, 15', [-0.1283114, -0.9430651, 1.0]], ['2, k, 16', [0.2032028, -0.4797987, 1.0]], ['2, k, 17', [0.2339478, -0.5207328, 1.0]], ['2, k, 18', [0.2130616, -0.9296696, 1.0]], ['2, k, 19', [0.2131868, -0.9630272, 1.0]], ['2, k, 20', [0.1478879, -0.08777928, 1.0]], ['2, k, 21', [-0.6698261, 0.1531093, 1.0]], ['2, k, 22', [-0.6588185, 0.1566827, 1.0]], ['2, k, 23', [0.1178002, -0.2962851, 1.0]], ['2, k, 24', [0.1513592, -0.2605006, 1.0]]]
[['2, k, 0', [0.1213923, -0.4773479, 1.0]], ['2, k, 1', [0.1394931, -0.2540449, 1.0]], ['2, k, 2', [0.1502754, -0.03235886, 1.0]], ['2, k, 3', [0.1734848, 0.1020125, 1.0]], ['2, k, 4', [-0.03997269, -0.08071633, 1.0]], ['2, k, 5', [-0.276546, 0.01984991, 1.0]], ['2, k, 6', [-0.4989633, 0.132064, 1.0]], ['2, k, 7', [-0.5558445, 0.1600739, 1.0]], ['2, k, 8', [0.3181263, -0.1414121, 1.0]], ['2, k, 9', [0.3974447, -0.3665845, 1.0]], ['2, k, 10', [0.2237873, -0.3286386, 1.0]], ['2, k, 11', [0.1517238, -0.3197765, 1.0]], ['2, k, 12', [0.03587634, -0.4632697, 1.0]], ['2, k, 13', [-0.04464249, -0.5197284, 1.0]], ['2, k, 14', [-0.04574978, -0.9128478, 1.0]], ['2, k, 15', [-0.1246081, -0.9470357, 1.0]], ['2, k, 16', [0.2035432, -0.4787519, 1.0]], ['2, k, 17', [0.2338187, -0.5207611, 1.0]], ['2, k, 18', [0.2129831, -0.9295503, 1.0]], ['2, k, 19', [0.2122655, -0.9630393, 1.0]], ['2, k, 20', [0.1480876, -0.08740059, 1.0]], ['2, k, 21', [-0.6268985, 0.2008822, 1.0]], ['2, k, 22', [-0.5266441, 0.1170762, 1.0]], ['2, k, 23', [0.1129234, -0.2948396, 1.0]], ['2, k, 24', [0.1361687, -0.3756369, 1.0]]]
[['2, k, 0', [0.1231647, -0.476804, 1.0]], ['2, k, 1', [0.139625, -0.2535453, 1.0]], ['2, k, 2', [0.1501693, -0.03204966, 1.0]], ['2, k, 3', [0.1731394, 0.1019333, 1.0]], ['2, k, 4', [-0.03935115, -0.08173534, 1.0]], ['2, k, 5', [-0.2659841, 0.03947112, 1.0]], ['2, k, 6', [-0.4852971, 0.1633942, 1.0]], ['2, k, 7', [-0.5352283, 0.2049834, 1.0]], ['2, k, 8', [0.3173258, -0.1405237, 1.0]], ['2, k, 9', [0.3973955, -0.366427, 1.0]], ['2, k, 10', [0.2229443, -0.328126, 1.0]], ['2, k, 11', [0.1492231, -0.3189864, 1.0]], ['2, k, 12', [0.0370509, -0.4632983, 1.0]], ['2, k, 13', [-0.04471431, -0.519834, 1.0]], ['2, k, 14', [-0.04732149, -0.9138288, 1.0]], ['2, k, 15', [-0.1261459, -0.9525825, 1.0]], ['2, k, 16', [0.2062867, -0.4774438, 1.0]], ['2, k, 17', [0.2338311, -0.5207575, 1.0]], ['2, k, 18', [0.2131341, -0.9293183, 1.0]], ['2, k, 19', [0.21281, -0.9628479, 1.0]], ['2, k, 20', [0.1479854, -0.08698183, 1.0]], ['2, k, 21', [-0.6098083, 0.2563661, 1.0]], ['2, k, 22', [-0.499231, 0.2133048, 1.0]], ['2, k, 23', [0.1087482, -0.2863858, 1.0]], ['2, k, 24', [0.1351493, -0.3748641, 1.0]]]
[['2, k, 0', [0.1231479, -0.4764424, 1.0]], ['2, k, 1', [0.1391002, -0.2528151, 1.0]], ['2, k, 2', [0.149653, -0.0311139, 1.0]], ['2, k, 3', [0.172742, 0.1019673, 1.0]], ['2, k, 4', [-0.03919998, -0.08080661, 1.0]], ['2, k, 5', [-0.2538611, 0.05955963, 1.0]], ['2, k, 6', [-0.4609854, 0.2067077, 1.0]], ['2, k, 7', [-0.5126563, 0.2473865, 1.0]], ['2, k, 8', [0.3169682, -0.1409934, 1.0]], ['2, k, 9', [0.3973351, -0.3663192, 1.0]], ['2, k, 10', [0.2218338, -0.3268484, 1.0]], ['2, k, 11', [0.1504419, -0.3179081, 1.0]], ['2, k, 12', [0.03709076, -0.462979, 1.0]], ['2, k, 13', [-0.04475101, -0.5198654, 1.0]], ['2, k, 14', [-0.04882978, -0.9135347, 1.0]], ['2, k, 15', [-0.1248884, -0.9560502, 1.0]], ['2, k, 16', [0.2061909, -0.4771146, 1.0]], ['2, k, 17', [0.2338063, -0.5207715, 1.0]], ['2, k, 18', [0.2133461, -0.9294834, 1.0]], ['2, k, 19', [0.2127341, -0.9631286, 1.0]], ['2, k, 20', [0.1473816, -0.08605552, 1.0]], ['2, k, 21', [-0.5795731, 0.3037395, 1.0]], ['2, k, 22', [-0.5079834, 0.2726758, 1.0]], ['2, k, 23', [0.107338, -0.2860529, 1.0]], ['2, k, 24', [0.09538492, -0.3495361, 1.0]]]
[['2, k, 0', [0.1224095, -0.4759436, 1.0]], ['2, k, 1', [0.1381269, -0.2522843, 1.0]], ['2, k, 2', [0.1491008, -0.03090313, 1.0]], ['2, k, 3', [0.1724537, 0.1023588, 1.0]], ['2, k, 4', [-0.03911388, -0.0794507, 1.0]], ['2, k, 5', [-0.2272322, 0.07789543, 1.0]], ['2, k, 6', [-0.4403475, 0.215766, 1.0]], ['2, k, 7', [-0.4922602, 0.2556713, 1.0]], ['2, k, 8', [0.3160884, -0.1412567, 1.0]], ['2, k, 9', [0.3969029, -0.3664474, 1.0]], ['2, k, 10', [0.2222167, -0.3229879, 1.0]], ['2, k, 11', [0.149349, -0.3153407, 1.0]], ['2, k, 12', [0.03663383, -0.4625402, 1.0]], ['2, k, 13', [-0.04475294, -0.5198714, 1.0]], ['2, k, 14', [-0.04914431, -0.9130605, 1.0]], ['2, k, 15', [-0.1247943, -0.9576446, 1.0]], ['2, k, 16', [0.2050883, -0.4766487, 1.0]], ['2, k, 17', [0.2338127, -0.5207836, 1.0]], ['2, k, 18', [0.213356, -0.9295912, 1.0]], ['2, k, 19', [0.2121614, -0.9633406, 1.0]], ['2, k, 20', [0.1467071, -0.08576686, 1.0]], ['2, k, 21', [-0.5592489, 0.3119945, 1.0]], ['2, k, 22', [-0.4877493, 0.2808917, 1.0]], ['2, k, 23', [0.1087045, -0.2882005, 1.0]], ['2, k, 24', [0.1326497, -0.3685402, 1.0]]]
[['2, k, 0', [0.1212901, -0.4741857, 1.0]], ['2, k, 1', [0.1372215, -0.2509619, 1.0]], ['2, k, 2', [0.1489498, -0.03032117, 1.0]], ['2, k, 3', [0.1724298, 0.1024049, 1.0]], ['2, k, 4', [-0.03813909, -0.0688564, 1.0]], ['2, k, 5', [-0.2159105, 0.1045277, 1.0]], ['2, k, 6', [-0.4026745, 0.2686548, 1.0]], ['2, k, 7', [-0.4548296, 0.3113724, 1.0]], ['2, k, 8', [0.3150681, -0.1405077, 1.0]], ['2, k, 9', [0.396113, -0.3668795, 1.0]], ['2, k, 10', [0.2212367, -0.3218156, 1.0]], ['2, k, 11', [0.1487224, -0.3149464, 1.0]], ['2, k, 12', [0.03599899, -0.4602318, 1.0]], ['2, k, 13', [-0.04488002, -0.5198109, 1.0]], ['2, k, 14', [-0.04668264, -0.9115468, 1.0]], ['2, k, 15', [-0.1201998, -0.957416, 1.0]], ['2, k, 16', [0.2034822, -0.4753737, 1.0]], ['2, k, 17', [0.2339385, -0.5207763, 1.0]], ['2, k, 18', [0.2132778, -0.9296801, 1.0]], ['2, k, 19', [0.2093364, -0.9635887, 1.0]], ['2, k, 20', [0.146385, -0.08504227, 1.0]], ['2, k, 21', [-0.5116965, 0.3762907, 1.0]], ['2, k, 22', [-0.4352136, 0.3246553, 1.0]], ['2, k, 23', [0.1058283, -0.281172, 1.0]], ['2, k, 24', [0.1313596, -0.3684763, 1.0]]]
[['2, k, 0', [0.1220573, -0.4735135, 1.0]], ['2, k, 1', [0.1371853, -0.2504604, 1.0]], ['2, k, 2', [0.148576, -0.03013821, 1.0]], ['2, k, 3', [0.172742, 0.1029135, 1.0]], ['2, k, 4', [-0.03662894, -0.06481626, 1.0]], ['2, k, 5', [-0.1961652, 0.1135969, 1.0]], ['2, k, 6', [-0.3787151, 0.290339, 1.0]], ['2, k, 7', [-0.4713089, 0.3893936, 1.0]], ['2, k, 8', [0.3144845, -0.1403929, 1.0]], ['2, k, 9', [0.3953343, -0.3665256, 1.0]], ['2, k, 10', [0.2187131, -0.3195304, 1.0]], ['2, k, 11', [0.1465549, -0.3138033, 1.0]], ['2, k, 12', [0.03705599, -0.4595855, 1.0]], ['2, k, 13', [-0.04493001, -0.5198247, 1.0]], ['2, k, 14', [-0.04870858, -0.9121096, 1.0]], ['2, k, 15', [-0.1185264, -0.9610673, 1.0]], ['2, k, 16', [0.2039737, -0.4747724, 1.0]], ['2, k, 17', [0.2339562, -0.5208309, 1.0]], ['2, k, 18', [0.2138529, -0.9297588, 1.0]], ['2, k, 19', [0.2087187, -0.9637429, 1.0]], ['2, k, 20', [0.1460632, -0.08474627, 1.0]], ['2, k, 21', [-0.514069, 0.4508386, 1.0]], ['2, k, 22', [-0.5002825, 0.4237182, 1.0]], ['2, k, 23', [0.09943844, -0.284789, 1.0]], ['2, k, 24', [0.1326762, -0.3683223, 1.0]]]
[['2, k, 0', [0.1223408, -0.4734449, 1.0]], ['2, k, 1', [0.1370004, -0.2499888, 1.0]], ['2, k, 2', [0.1482157, -0.02941975, 1.0]], ['2, k, 3', [0.1725965, 0.1030483, 1.0]], ['2, k, 4', [-0.03529999, -0.06390542, 1.0]], ['2, k, 5', [-0.1786073, 0.1299873, 1.0]], ['2, k, 6', [-0.3538616, 0.3136912, 1.0]], ['2, k, 7', [-0.4417917, 0.4244473, 1.0]], ['2, k, 8', [0.3142887, -0.1406989, 1.0]], ['2, k, 9', [0.3940133, -0.3664971, 1.0]], ['2, k, 10', [0.2085293, -0.3321379, 1.0]], ['2, k, 11', [0.1410872, -0.313581, 1.0]], ['2, k, 12', [0.03773892, -0.4595703, 1.0]], ['2, k, 13', [-0.0449971, -0.5198208, 1.0]], ['2, k, 14', [-0.04730089, -0.9108184, 1.0]], ['2, k, 15', [-0.1139594, -0.9593636, 1.0]], ['2, k, 16', [0.2040045, -0.4747155, 1.0]], ['2, k, 17', [0.2339768, -0.5208254, 1.0]], ['2, k, 18', [0.2136385, -0.9299278, 1.0]], ['2, k, 19', [0.2072465, -0.9639726, 1.0]], ['2, k, 20', [0.1457068, -0.08406597, 1.0]], ['2, k, 21', [-0.4731627, 0.4763698, 1.0]], ['2, k, 22', [-0.4245641, 0.4288778, 1.0]], ['2, k, 23', [0.09771795, -0.2804313, 1.0]], ['2, k, 24', [0.1268421, -0.3664927, 1.0]]]
