[['2, k, 0', [-0.2053088, -0.1449851, 1.0]], ['2, k, 1', [-0.2135278, 0.1047624, 1.0]], ['2, k, 2', [-0.2207807, 0.3512849, 1.0]], ['2, k, 3', [-0.2207632, 0.4731053, 1.0]], ['2, k, 4', [-0.3730792, 0.2520777, 1.0]], ['2, k, 5', [-0.4099003, 0.06221416, 1.0]], ['2, k, 6', [-0.3335994, -0.1028006, 1.0]], ['2, k, 7', [-0.3110278, -0.1420212, 1.0]], ['2, k, 8', [-0.0605897, 0.2426825, 1.0]], ['2, k, 9', [0.006107216, 0.05268677, 1.0]], ['2, k, 10', [-0.006543261, -0.1329428, 1.0]], ['2, k, 11', [-0.01379279, -0.1817565, 1.0]], ['2, k, 12', [-0.2803998, -0.1443535, 1.0]], ['2, k, 13', [-0.264733, -0.2755767, 1.0]], ['2, k, 14', [-0.2414717, -0.5970411, 1.0]], ['2, k, 15', [-0.2195956, -0.6670752, 1.0]], ['2, k, 16', [-0.125928, -0.1424104, 1.0]], ['2, k, 17', [-0.08660322, -0.2708997, 1.0]], ['2, k, 18', [-0.08993533, -0.6019925, 1.0]], ['2, k, 19', [-0.1069791, -0.67167, 1.0]], ['2, k, 20', [-0.2189828, 0.2902806, 1.0]], ['2, k, 21', [-0.2859845, -0.1884196, 1.0]], ['2, k, 22', [-0.3435211, -0.1540422, 1.0]], ['2, k, 23', [0.01927334, -0.2244059, 1.0]], ['2, k, 24', [0.01720337, -0.1587051, 1.0]]]
[['2, k, 0', [-0.2052404, -0.1446151, 1.0]], ['2, k, 1', [-0.2134994, 0.1055144, 1.0]], ['2, k, 2', [-0.220821, 0.3520635, 1.0]], ['2, k, 3', [-0.2207104, 0.473062, 1.0]], ['2, k, 4', [-0.3729492, 0.2531681, 1.0]], ['2, k, 5', [-0.4094226, 0.06325125, 1.0]], ['2, k, 6', [-0.3278087, -0.119142, 1.0]], ['2, k, 7', [-0.3062716, -0.1568479, 1.0]], ['2, k, 8', [-0.06060157, 0.242775, 1.0]], ['2, k, 9', [0.007127544, 0.04865145, 1.0]], ['2, k, 10', [0.003779117, -0.1557525, 1.0]], ['2, k, 11', [0.005624589, -0.1868102, 1.0]], ['2, k, 12', [-0.2803755, -0.1440357, 1.0]], ['2, k, 13', [-0.2648551, -0.2754421, 1.0]], ['2, k, 14', [-0.2414051, -0.5972227, 1.0]], ['2, k, 15', [-0.2185384, -0.663451, 1.0]], ['2, k, 16', [-0.125771, -0.1418819, 1.0]], ['2, k, 17', [-0.0866476, -0.2715167, 1.0]], ['2, k, 18', [-0.08995588, -0.6018113, 1.0]], ['2, k, 19', [-0.1069338, -0.6612654, 1.0]], ['2, k, 20', [-0.2190264, 0.2910789, 1.0]], ['2, k, 21', [-0.2799767, -0.1997629, 1.0]], ['2, k, 22', [-0.3177509, -0.1952643, 1.0]], ['2, k, 23', [0.04895111, -0.2387061, 1.0]], ['2, k, 24', [0.04762394, -0.1790146, 1.0]]]
[['2, k, 0', [-0.2050439, -0.14431, 1.0]], ['2, k, 1', [-0.2133085, 0.1059167, 1.0]], ['2, k, 2', [-0.2206732, 0.3523076, 1.0]], ['2, k, 3', [-0.2213639, 0.4748601, 1.0]], ['2, k, 4', [-0.3731791, 0.2541552, 1.0]], ['2, k, 5', [-0.4107825, 0.06452407, 1.0]], ['2, k, 6', [-0.327791, -0.1095943, 1.0]], ['2, k, 7', [-0.3055498, -0.148784, 1.0]], ['2, k, 8', [-0.06063058, 0.2429303, 1.0]], ['2, k, 9', [0.008966825, 0.04256441, 1.0]], ['2, k, 10', [0.03234779, -0.1339223, 1.0]], ['2, k, 11', [0.04781174, -0.1875477, 1.0]], ['2, k, 12', [-0.2801944, -0.1438557, 1.0]], ['2, k, 13', [-0.2651351, -0.2750449, 1.0]], ['2, k, 14', [-0.2412397, -0.597142, 1.0]], ['2, k, 15', [-0.2152383, -0.6662478, 1.0]], ['2, k, 16', [-0.1255747, -0.14141, 1.0]], ['2, k, 17', [-0.0872783, -0.2725449, 1.0]], ['2, k, 18', [-0.09002891, -0.6018323, 1.0]], ['2, k, 19', [-0.1064076, -0.6617613, 1.0]], ['2, k, 20', [-0.2188858, 0.2913847, 1.0]], ['2, k, 21', [-0.2790551, -0.1941541, 1.0]], ['2, k, 22', [-0.3441766, -0.1591872, 1.0]], ['2, k, 23', [0.07352336, -0.2478757, 1.0]], ['2, k, 24', [0.06499159, -0.1765338, 1.0]]]
[['2, k, 0', [-0.2071536, -0.1436291, 1.0]], ['2, k, 1', [-0.2137431, 0.1066343, 1.0]], ['2, k, 2', [-0.2198011, 0.3530163, 1.0]], ['2, k, 3', [-0.2223551, 0.4760144, 1.0]], ['2, k, 4', [-0.3730236, 0.2549678, 1.0]], ['2, k, 5', [-0.4106371, 0.06559513, 1.0]], ['2, k, 6', [-0.3258937, -0.1200069, 1.0]], ['2, k, 7', [-0.3014832, -0.1560046, 1.0]], ['2, k, 8', [-0.06068393, 0.2432007, 1.0]], ['2, k, 9', [0.02133419, 0.03801199, 1.0]], ['2, k, 10', [0.08649873, -0.1291207, 1.0]], ['2, k, 11', [0.1028799, -0.1865146, 1.0]], ['2, k, 12', [-0.2820099, -0.1430202, 1.0]], ['2, k, 13', [-0.2650791, -0.2750105, 1.0]], ['2, k, 14', [-0.2411426, -0.597373, 1.0]], ['2, k, 15', [-0.2133008, -0.6623744, 1.0]], ['2, k, 16', [-0.1280633, -0.1410673, 1.0]], ['2, k, 17', [-0.08755259, -0.2754276, 1.0]], ['2, k, 18', [-0.08944852, -0.6025782, 1.0]], ['2, k, 19', [-0.1063557, -0.6619595, 1.0]], ['2, k, 20', [-0.2183969, 0.2920834, 1.0]], ['2, k, 21', [-0.2776972, -0.2029011, 1.0]], ['2, k, 22', [-0.3363588, -0.1622801, 1.0]], ['2, k, 23', [0.133171, -0.2392489, 1.0]], ['2, k, 24', [0.1236934, -0.1834946, 1.0]]]
[['2, k, 0', [-0.2075575, -0.1426992, 1.0]], ['2, k, 1', [-0.2144395, 0.1075408, 1.0]], ['2, k, 2', [-0.2207146, 0.3536294, 1.0]], ['2, k, 3', [-0.2233202, 0.4760037, 1.0]], ['2, k, 4', [-0.3730943, 0.2551001, 1.0]], ['2, k, 5', [-0.4110141, 0.06592967, 1.0]], ['2, k, 6', [-0.3246779, -0.126036, 1.0]], ['2, k, 7', [-0.3025677, -0.1629584, 1.0]], ['2, k, 8', [-0.05864409, 0.2509738, 1.0]], ['2, k, 9', [0.03308533, 0.03317938, 1.0]], ['2, k, 10', [0.1109813, -0.1379896, 1.0]], ['2, k, 11', [0.1353614, -0.181962, 1.0]], ['2, k, 12', [-0.2822726, -0.1424357, 1.0]], ['2, k, 13', [-0.2649646, -0.2749335, 1.0]], ['2, k, 14', [-0.2411359, -0.5973803, 1.0]], ['2, k, 15', [-0.214595, -0.6628132, 1.0]], ['2, k, 16', [-0.1285944, -0.1398168, 1.0]], ['2, k, 17', [-0.08768722, -0.2777785, 1.0]], ['2, k, 18', [-0.08917714, -0.6015471, 1.0]], ['2, k, 19', [-0.1017039, -0.6707458, 1.0]], ['2, k, 20', [-0.2192698, 0.2927866, 1.0]], ['2, k, 21', [-0.2751218, -0.2070741, 1.0]], ['2, k, 22', [-0.3190375, -0.188491, 1.0]], ['2, k, 23', [0.1743686, -0.2363346, 1.0]], ['2, k, 24', [0.1444285, -0.1525998, 1.0]]]
[['2, k, 0', [-0.2075599, -0.142657, 1.0]], ['2, k, 1', [-0.214597, 0.1076261, 1.0]], ['2, k, 2', [-0.2211241, 0.3536083, 1.0]], ['2, k, 3', [-0.2239553, 0.4749044, 1.0]], ['2, k, 4', [-0.3731957, 0.2552244, 1.0]], ['2, k, 5', [-0.4112277, 0.06629013, 1.0]], ['2, k, 6', [-0.3289745, -0.1133338, 1.0]], ['2, k, 7', [-0.306421, -0.1493886, 1.0]], ['2, k, 8', [-0.05905373, 0.2507566, 1.0]], ['2, k, 9', [0.0419108, 0.03665034, 1.0]], ['2, k, 10', [0.1368734, -0.1291851, 1.0]], ['2, k, 11', [0.1675229, -0.1672818, 1.0]], ['2, k, 12', [-0.2822806, -0.1423741, 1.0]], ['2, k, 13', [-0.2652289, -0.2746432, 1.0]], ['2, k, 14', [-0.2412262, -0.5974249, 1.0]], ['2, k, 15', [-0.2171295, -0.6641502, 1.0]], ['2, k, 16', [-0.1285929, -0.1398032, 1.0]], ['2, k, 17', [-0.08794703, -0.2784893, 1.0]], ['2, k, 18', [-0.08932745, -0.6018628, 1.0]], ['2, k, 19', [-0.1016712, -0.6698492, 1.0]], ['2, k, 20', [-0.2196156, 0.2928068, 1.0]], ['2, k, 21', [-0.2788515, -0.1973498, 1.0]], ['2, k, 22', [-0.3273611, -0.169865, 1.0]], ['2, k, 23', [0.2062194, -0.2228715, 1.0]], ['2, k, 24', [0.1935977, -0.1724454, 1.0]]]
[['2, k, 0', [-0.207627, -0.14265, 1.0]], ['2, k, 1', [-0.2150339, 0.1078854, 1.0]], ['2, k, 2', [-0.2220595, 0.3542147, 1.0]], ['2, k, 3', [-0.2239166, 0.4746552, 1.0]], ['2, k, 4', [-0.3782851, 0.2491928, 1.0]], ['2, k, 5', [-0.411881, 0.05882915, 1.0]], ['2, k, 6', [-0.3287301, -0.1108122, 1.0]], ['2, k, 7', [-0.3077151, -0.147239, 1.0]], ['2, k, 8', [-0.05919609, 0.2505437, 1.0]], ['2, k, 9', [0.06482969, 0.03944315, 1.0]], ['2, k, 10', [0.1764182, -0.123633, 1.0]], ['2, k, 11', [0.2030994, -0.1591133, 1.0]], ['2, k, 12', [-0.2824619, -0.1424781, 1.0]], ['2, k, 13', [-0.2657739, -0.2755997, 1.0]], ['2, k, 14', [-0.2410959, -0.5975423, 1.0]], ['2, k, 15', [-0.2204103, -0.6639326, 1.0]], ['2, k, 16', [-0.1286135, -0.1397417, 1.0]], ['2, k, 17', [-0.08793379, -0.2785303, 1.0]], ['2, k, 18', [-0.08958136, -0.6016119, 1.0]], ['2, k, 19', [-0.1013652, -0.6683074, 1.0]], ['2, k, 20', [-0.2204265, 0.2933244, 1.0]], ['2, k, 21', [-0.2759335, -0.1964801, 1.0]], ['2, k, 22', [-0.3363872, -0.1671845, 1.0]], ['2, k, 23', [0.2466056, -0.1997901, 1.0]], ['2, k, 24', [0.2251239, -0.1622029, 1.0]]]
[['2, k, 0', [-0.207739, -0.1417568, 1.0]], ['2, k, 1', [-0.2152753, 0.1086463, 1.0]], ['2, k, 2', [-0.2223564, 0.3546953, 1.0]], ['2, k, 3', [-0.225033, 0.4760593, 1.0]], ['2, k, 4', [-0.3799843, 0.2508628, 1.0]], ['2, k, 5', [-0.4116917, 0.06007491, 1.0]], ['2, k, 6', [-0.3303052, -0.1078621, 1.0]], ['2, k, 7', [-0.3088259, -0.1448029, 1.0]], ['2, k, 8', [-0.05722466, 0.2583027, 1.0]], ['2, k, 9', [0.08103037, 0.04606585, 1.0]], ['2, k, 10', [0.2080894, -0.09613691, 1.0]], ['2, k, 11', [0.2328382, -0.135484, 1.0]], ['2, k, 12', [-0.2825046, -0.1419529, 1.0]], ['2, k, 13', [-0.2658609, -0.275434, 1.0]], ['2, k, 14', [-0.2411908, -0.5975932, 1.0]], ['2, k, 15', [-0.2275469, -0.6644499, 1.0]], ['2, k, 16', [-0.1287984, -0.1383766, 1.0]], ['2, k, 17', [-0.08817085, -0.2778506, 1.0]], ['2, k, 18', [-0.08954184, -0.601842, 1.0]], ['2, k, 19', [-0.1012697, -0.6678988, 1.0]], ['2, k, 20', [-0.2207158, 0.2938817, 1.0]], ['2, k, 21', [-0.2805017, -0.189381, 1.0]], ['2, k, 22', [-0.3429829, -0.1603376, 1.0]], ['2, k, 23', [0.2898195, -0.1947027, 1.0]], ['2, k, 24', [0.2325395, -0.1164801, 1.0]]]
[['2, k, 0', [-0.207722, -0.1410998, 1.0]], ['2, k, 1', [-0.2160061, 0.1097082, 1.0]], ['2, k, 2', [-0.2243818, 0.356233, 1.0]], ['2, k, 3', [-0.2267098, 0.4755481, 1.0]], ['2, k, 4', [-0.3806208, 0.2490771, 1.0]], ['2, k, 5', [-0.4120047, 0.05825663, 1.0]], ['2, k, 6', [-0.3306972, -0.1066068, 1.0]], ['2, k, 7', [-0.3073907, -0.1460809, 1.0]], ['2, k, 8', [-0.05602486, 0.2613735, 1.0]], ['2, k, 9', [0.09311832, 0.05925532, 1.0]], ['2, k, 10', [0.2276217, -0.07758782, 1.0]], ['2, k, 11', [0.2587763, -0.102306, 1.0]], ['2, k, 12', [-0.2825021, -0.1418215, 1.0]], ['2, k, 13', [-0.2659007, -0.2753369, 1.0]], ['2, k, 14', [-0.2417482, -0.5966967, 1.0]], ['2, k, 15', [-0.2239572, -0.6633973, 1.0]], ['2, k, 16', [-0.1287291, -0.1368768, 1.0]], ['2, k, 17', [-0.08814139, -0.277746, 1.0]], ['2, k, 18', [-0.08952609, -0.6018975, 1.0]], ['2, k, 19', [-0.1011321, -0.667075, 1.0]], ['2, k, 20', [-0.2223709, 0.2953059, 1.0]], ['2, k, 21', [-0.2782274, -0.1903307, 1.0]], ['2, k, 22', [-0.3397071, -0.1622292, 1.0]], ['2, k, 23', [0.3134702, -0.1471632, 1.0]], ['2, k, 24', [0.297346, -0.1180718, 1.0]]]
[['2, k, 0', [-0.2075195, -0.1407377, 1.0]], ['2, k, 1', [-0.2163082, 0.109975, 1.0]], ['2, k, 2', [-0.2254429, 0.3563064, 1.0]], ['2, k, 3', [-0.2273273, 0.4753934, 1.0]], ['2, k, 4', [-0.3811505, 0.2482212, 1.0]], ['2, k, 5', [-0.4120686, 0.05746163, 1.0]], ['2, k, 6', [-0.3308607, -0.1061112, 1.0]], ['2, k, 7', [-0.311904, -0.1425578, 1.0]], ['2, k, 8', [-0.05471799, 0.2639162, 1.0]], ['2, k, 9', [0.1008694, 0.08272994, 1.0]], ['2, k, 10', [0.2457508, -0.04061106, 1.0]], ['2, k, 11', [0.2895933, -0.07802172, 1.0]], ['2, k, 12', [-0.2823335, -0.1417686, 1.0]], ['2, k, 13', [-0.2661546, -0.2754966, 1.0]], ['2, k, 14', [-0.2409984, -0.5980575, 1.0]], ['2, k, 15', [-0.2294994, -0.6646168, 1.0]], ['2, k, 16', [-0.1285119, -0.1360513, 1.0]], ['2, k, 17', [-0.08814703, -0.2775823, 1.0]], ['2, k, 18', [-0.08965501, -0.6023712, 1.0]], ['2, k, 19', [-0.1036776, -0.6776123, 1.0]], ['2, k, 20', [-0.2232158, 0.2954502, 1.0]], ['2, k, 21', [-0.2770497, -0.1857804, 1.0]], ['2, k, 22', [-0.339726, -0.1657891, 1.0]], ['2, k, 23', [0.3396101, -0.1195689, 1.0]], ['2, k, 24', [0.3201258, -0.102615, 1.0]]]
[['2, k, 0', [-0.2079872, -0.1390598, 1.0]], ['2, k, 1', [-0.2169119, 0.1106841, 1.0]], ['2, k, 2', [-0.2263066, 0.3566443, 1.0]], ['2, k, 3', [-0.2276595, 0.4742827, 1.0]], ['2, k, 4', [-0.3789166, 0.2518171, 1.0]], ['2, k, 5', [-0.4112843, 0.06163307, 1.0]], ['2, k, 6', [-0.3308559, -0.106046, 1.0]], ['2, k, 7', [-0.3094603, -0.1425052, 1.0]], ['2, k, 8', [-0.05388642, 0.2665954, 1.0]], ['2, k, 9', [0.1089813, 0.098612, 1.0]], ['2, k, 10', [0.2817263, -0.02949496, 1.0]], ['2, k, 11', [0.3193061, -0.0559807, 1.0]], ['2, k, 12', [-0.2824809, -0.140315, 1.0]], ['2, k, 13', [-0.2664671, -0.2753653, 1.0]], ['2, k, 14', [-0.2411781, -0.5981917, 1.0]], ['2, k, 15', [-0.2293941, -0.6645558, 1.0]], ['2, k, 16', [-0.129292, -0.1343522, 1.0]], ['2, k, 17', [-0.08810995, -0.2774574, 1.0]], ['2, k, 18', [-0.08960842, -0.602613, 1.0]], ['2, k, 19', [-0.1015098, -0.6706205, 1.0]], ['2, k, 20', [-0.223983, 0.2958691, 1.0]], ['2, k, 21', [-0.278621, -0.1882182, 1.0]], ['2, k, 22', [-0.3399928, -0.1608727, 1.0]], ['2, k, 23', [0.378137, -0.09812461, 1.0]], ['2, k, 24', [0.3405663, -0.05304466, 1.0]]]
