[['2, k, 0', [0.1507281, -0.01742952, 1.0]], ['2, k, 1', [0.1613626, 0.3012244, 1.0]], ['2, k, 2', [0.1702029, 0.6091473, 1.0]], ['2, k, 3', [0.1542993, 0.7501143, 1.0]], ['2, k, 4', [-0.01609253, 0.5014635, 1.0]], ['2, k, 5', [-0.06081209, 0.2422692, 1.0]], ['2, k, 6', [-0.08034819, -0.02580828, 1.0]], ['2, k, 7', [-0.08827493, -0.09400944, 1.0]], ['2, k, 8', [0.3432022, 0.4867593, 1.0]], ['2, k, 9', [0.3752362, 0.2239557, 1.0]], ['2, k, 10', [0.4021517, -0.02589035, 1.0]], ['2, k, 11', [0.4091682, -0.1017812, 1.0]], ['2, k, 12', [0.06984746, -0.01490609, 1.0]], ['2, k, 13', [0.07643185, -0.3367338, 1.0]], ['2, k, 14', [0.1007372, -0.6469007, 1.0]], ['2, k, 15', [0.05910229, -0.7197974, 1.0]], ['2, k, 16', [0.2268786, -0.01941, 1.0]], ['2, k, 17', [0.2334263, -0.3521648, 1.0]], ['2, k, 18', [0.2260868, -0.6526603, 1.0]], ['2, k, 19', [0.2249897, -0.7227893, 1.0]], ['2, k, 20', [0.1682497, 0.5336583, 1.0]], ['2, k, 21', [-0.1044472, -0.1662009, 1.0]], ['2, k, 22', [-0.1369675, -0.09560992, 1.0]], ['2, k, 23', [0.4215039, -0.1817324, 1.0]], ['2, k, 24', [0.3516537, -0.06982311, 1.0]]]
[['2, k, 0', [0.1505302, -0.01761724, 1.0]], ['2, k, 1', [0.1611683, 0.3011657, 1.0]], ['2, k, 2', [0.1700774, 0.6091704, 1.0]], ['2, k, 3', [0.154239, 0.7500464, 1.0]], ['2, k, 4', [-0.01676801, 0.5010123, 1.0]], ['2, k, 5', [-0.06089875, 0.2419865, 1.0]], ['2, k, 6', [-0.08101947, -0.02556585, 1.0]], ['2, k, 7', [-0.09456578, -0.09092737, 1.0]], ['2, k, 8', [0.3430734, 0.4867953, 1.0]], ['2, k, 9', [0.3738485, 0.2242061, 1.0]], ['2, k, 10', [0.4009379, -0.02873927, 1.0]], ['2, k, 11', [0.4095991, -0.1041876, 1.0]], ['2, k, 12', [0.06974898, -0.01516394, 1.0]], ['2, k, 13', [0.07647072, -0.3366944, 1.0]], ['2, k, 14', [0.1000977, -0.647296, 1.0]], ['2, k, 15', [0.06057426, -0.719851, 1.0]], ['2, k, 16', [0.2265783, -0.01950238, 1.0]], ['2, k, 17', [0.2332694, -0.3523184, 1.0]], ['2, k, 18', [0.2260767, -0.6531781, 1.0]], ['2, k, 19', [0.2252013, -0.7230753, 1.0]], ['2, k, 20', [0.1681032, 0.5336679, 1.0]], ['2, k, 21', [-0.1072426, -0.1648678, 1.0]], ['2, k, 22', [-0.1395303, -0.07122099, 1.0]], ['2, k, 23', [0.420788, -0.1888672, 1.0]], ['2, k, 24', [0.3651314, -0.1211772, 1.0]]]
[['2, k, 0', [0.1503918, -0.01759401, 1.0]], ['2, k, 1', [0.1611439, 0.3011704, 1.0]], ['2, k, 2', [0.1701936, 0.6091531, 1.0]], ['2, k, 3', [0.1546586, 0.7502022, 1.0]], ['2, k, 4', [-0.01670512, 0.5009732, 1.0]], ['2, k, 5', [-0.06077198, 0.2415589, 1.0]], ['2, k, 6', [-0.08128834, -0.02542057, 1.0]], ['2, k, 7', [-0.09425661, -0.08942315, 1.0]], ['2, k, 8', [0.3432606, 0.4869041, 1.0]], ['2, k, 9', [0.3705514, 0.2309131, 1.0]], ['2, k, 10', [0.3908493, -0.01611575, 1.0]], ['2, k, 11', [0.4031843, -0.08303359, 1.0]], ['2, k, 12', [0.0696724, -0.01514709, 1.0]], ['2, k, 13', [0.07677931, -0.3374621, 1.0]], ['2, k, 14', [0.0999983, -0.6472575, 1.0]], ['2, k, 15', [0.04868174, -0.7192287, 1.0]], ['2, k, 16', [0.2263838, -0.01947902, 1.0]], ['2, k, 17', [0.2331317, -0.35197, 1.0]], ['2, k, 18', [0.2260187, -0.6528485, 1.0]], ['2, k, 19', [0.2260403, -0.7226729, 1.0]], ['2, k, 20', [0.1681772, 0.5336586, 1.0]], ['2, k, 21', [-0.1079238, -0.1604979, 1.0]], ['2, k, 22', [-0.1392337, -0.06901535, 1.0]], ['2, k, 23', [0.4102993, -0.1528404, 1.0]], ['2, k, 24', [0.3569472, -0.08286595, 1.0]]]
[['2, k, 0', [0.150372, -0.01720511, 1.0]], ['2, k, 1', [0.1615487, 0.3016029, 1.0]], ['2, k, 2', [0.1715398, 0.6097264, 1.0]], ['2, k, 3', [0.1564689, 0.7509191, 1.0]], ['2, k, 4', [-0.01602653, 0.5016502, 1.0]], ['2, k, 5', [-0.06045535, 0.2411779, 1.0]], ['2, k, 6', [-0.08146513, -0.02560446, 1.0]], ['2, k, 7', [-0.09337343, -0.08989158, 1.0]], ['2, k, 8', [0.3430642, 0.4870435, 1.0]], ['2, k, 9', [0.3652909, 0.2442639, 1.0]], ['2, k, 10', [0.3687008, 0.08578065, 1.0]], ['2, k, 11', [0.3828413, 0.02388642, 1.0]], ['2, k, 12', [0.06958739, -0.01477724, 1.0]], ['2, k, 13', [0.07678819, -0.3365787, 1.0]], ['2, k, 14', [0.09998453, -0.6473511, 1.0]], ['2, k, 15', [0.05706456, -0.7197409, 1.0]], ['2, k, 16', [0.2264406, -0.01908283, 1.0]], ['2, k, 17', [0.2330385, -0.3517194, 1.0]], ['2, k, 18', [0.2271259, -0.6518324, 1.0]], ['2, k, 19', [0.2260388, -0.7207859, 1.0]], ['2, k, 20', [0.1692201, 0.5341991, 1.0]], ['2, k, 21', [-0.0982881, -0.1632457, 1.0]], ['2, k, 22', [-0.1385653, -0.07414656, 1.0]], ['2, k, 23', [0.3842602, -0.02637994, 1.0]], ['2, k, 24', [0.3379784, 0.02021356, 1.0]]]
[['2, k, 0', [0.1499075, -0.01673331, 1.0]], ['2, k, 1', [0.1616297, 0.3020262, 1.0]], ['2, k, 2', [0.1724595, 0.6104184, 1.0]], ['2, k, 3', [0.158495, 0.7517058, 1.0]], ['2, k, 4', [-0.01534986, 0.5019448, 1.0]], ['2, k, 5', [-0.05974663, 0.2405555, 1.0]], ['2, k, 6', [-0.08155283, -0.02581169, 1.0]], ['2, k, 7', [-0.09262478, -0.08944526, 1.0]], ['2, k, 8', [0.3430915, 0.4868623, 1.0]], ['2, k, 9', [0.3626857, 0.2522543, 1.0]], ['2, k, 10', [0.3640628, 0.1031796, 1.0]], ['2, k, 11', [0.3748083, 0.07624649, 1.0]], ['2, k, 12', [0.06905762, -0.01424039, 1.0]], ['2, k, 13', [0.07680275, -0.3364069, 1.0]], ['2, k, 14', [0.1004305, -0.6471579, 1.0]], ['2, k, 15', [0.02275085, -0.7143555, 1.0]], ['2, k, 16', [0.2260326, -0.01866268, 1.0]], ['2, k, 17', [0.2330211, -0.351536, 1.0]], ['2, k, 18', [0.2286387, -0.6518282, 1.0]], ['2, k, 19', [0.2258179, -0.7202762, 1.0]], ['2, k, 20', [0.1698636, 0.5348161, 1.0]], ['2, k, 21', [-0.1025476, -0.1609567, 1.0]], ['2, k, 22', [-0.1384263, -0.07349733, 1.0]], ['2, k, 23', [0.3834073, 0.03860907, 1.0]], ['2, k, 24', [0.3313253, 0.06550372, 1.0]]]
[['2, k, 0', [0.1500597, -0.0165527, 1.0]], ['2, k, 1', [0.1622387, 0.3025211, 1.0]], ['2, k, 2', [0.1736626, 0.6112174, 1.0]], ['2, k, 3', [0.1605445, 0.751988, 1.0]], ['2, k, 4', [-0.01421939, 0.5018831, 1.0]], ['2, k, 5', [-0.05911772, 0.2403324, 1.0]], ['2, k, 6', [-0.08152733, -0.02580496, 1.0]], ['2, k, 7', [-0.09335054, -0.08703971, 1.0]], ['2, k, 8', [0.3432451, 0.4869516, 1.0]], ['2, k, 9', [0.3629808, 0.2577859, 1.0]], ['2, k, 10', [0.3642966, 0.1657751, 1.0]], ['2, k, 11', [0.365227, 0.1345524, 1.0]], ['2, k, 12', [0.06911003, -0.01419718, 1.0]], ['2, k, 13', [0.07674507, -0.3362479, 1.0]], ['2, k, 14', [0.1004158, -0.6469839, 1.0]], ['2, k, 15', [0.05416587, -0.7212481, 1.0]], ['2, k, 16', [0.2263701, -0.01822346, 1.0]], ['2, k, 17', [0.2330704, -0.3514169, 1.0]], ['2, k, 18', [0.2288854, -0.6516379, 1.0]], ['2, k, 19', [0.2259558, -0.7203848, 1.0]], ['2, k, 20', [0.1709298, 0.5355488, 1.0]], ['2, k, 21', [-0.1031256, -0.1587687, 1.0]], ['2, k, 22', [-0.1432838, -0.08994643, 1.0]], ['2, k, 23', [0.3740612, 0.1064092, 1.0]], ['2, k, 24', [0.3224539, 0.1134127, 1.0]]]
[['2, k, 0', [0.1499393, -0.01646334, 1.0]], ['2, k, 1', [0.162407, 0.3026379, 1.0]], ['2, k, 2', [0.1745911, 0.611393, 1.0]], ['2, k, 3', [0.1626541, 0.752431, 1.0]], ['2, k, 4', [-0.01362334, 0.5018735, 1.0]], ['2, k, 5', [-0.05897636, 0.2403757, 1.0]], ['2, k, 6', [-0.08160602, -0.0257297, 1.0]], ['2, k, 7', [-0.09332962, -0.08643573, 1.0]], ['2, k, 8', [0.3432463, 0.4868971, 1.0]], ['2, k, 9', [0.3613434, 0.2669348, 1.0]], ['2, k, 10', [0.3716516, 0.2101009, 1.0]], ['2, k, 11', [0.3553227, 0.1817119, 1.0]], ['2, k, 12', [0.06893855, -0.01402831, 1.0]], ['2, k, 13', [0.07703199, -0.3366764, 1.0]], ['2, k, 14', [0.1008173, -0.646768, 1.0]], ['2, k, 15', [0.0547302, -0.721029, 1.0]], ['2, k, 16', [0.226242, -0.01817215, 1.0]], ['2, k, 17', [0.2330695, -0.3514236, 1.0]], ['2, k, 18', [0.228857, -0.6516851, 1.0]], ['2, k, 19', [0.2252267, -0.7203287, 1.0]], ['2, k, 20', [0.1716294, 0.5357208, 1.0]], ['2, k, 21', [-0.1090552, -0.1603695, 1.0]], ['2, k, 22', [-0.14186, -0.08624309, 1.0]], ['2, k, 23', [0.3731362, 0.1681902, 1.0]], ['2, k, 24', [0.3190182, 0.1808358, 1.0]]]
[['2, k, 0', [0.1499525, -0.01641275, 1.0]], ['2, k, 1', [0.1628482, 0.3027264, 1.0]], ['2, k, 2', [0.1758344, 0.6113971, 1.0]], ['2, k, 3', [0.1646582, 0.7527167, 1.0]], ['2, k, 4', [-0.0130558, 0.5019569, 1.0]], ['2, k, 5', [-0.05852409, 0.2403416, 1.0]], ['2, k, 6', [-0.08171965, -0.02574669, 1.0]], ['2, k, 7', [-0.09478812, -0.0868604, 1.0]], ['2, k, 8', [0.3433236, 0.4872424, 1.0]], ['2, k, 9', [0.3516398, 0.267368, 1.0]], ['2, k, 10', [0.3490541, 0.2451843, 1.0]], ['2, k, 11', [0.3442091, 0.2391559, 1.0]], ['2, k, 12', [0.0689574, -0.01396932, 1.0]], ['2, k, 13', [0.07674929, -0.3370789, 1.0]], ['2, k, 14', [0.1013305, -0.6474369, 1.0]], ['2, k, 15', [0.05430608, -0.7213813, 1.0]], ['2, k, 16', [0.2262691, -0.018083, 1.0]], ['2, k, 17', [0.2337274, -0.3536209, 1.0]], ['2, k, 18', [0.2280948, -0.6524674, 1.0]], ['2, k, 19', [0.2250107, -0.7215427, 1.0]], ['2, k, 20', [0.1726682, 0.535759, 1.0]], ['2, k, 21', [-0.1039106, -0.1644884, 1.0]], ['2, k, 22', [-0.1395698, -0.06853271, 1.0]], ['2, k, 23', [0.3648402, 0.2470844, 1.0]], ['2, k, 24', [0.311464, 0.2400151, 1.0]]]
[['2, k, 0', [0.1493098, -0.01602349, 1.0]], ['2, k, 1', [0.1629181, 0.3028131, 1.0]], ['2, k, 2', [0.1766862, 0.6114, 1.0]], ['2, k, 3', [0.1661965, 0.7529632, 1.0]], ['2, k, 4', [-0.01154727, 0.5020564, 1.0]], ['2, k, 5', [-0.05774119, 0.2407729, 1.0]], ['2, k, 6', [-0.08173712, -0.0257053, 1.0]], ['2, k, 7', [-0.09342885, -0.08670054, 1.0]], ['2, k, 8', [0.3427196, 0.4880286, 1.0]], ['2, k, 9', [0.3514448, 0.2450972, 1.0]], ['2, k, 10', [0.3207985, 0.2760991, 1.0]], ['2, k, 11', [0.3357168, 0.298719, 1.0]], ['2, k, 12', [0.0680009, -0.01322029, 1.0]], ['2, k, 13', [0.07682768, -0.3364668, 1.0]], ['2, k, 14', [0.1015934, -0.6472331, 1.0]], ['2, k, 15', [0.05433969, -0.7211416, 1.0]], ['2, k, 16', [0.2256817, -0.01786418, 1.0]], ['2, k, 17', [0.233696, -0.3536283, 1.0]], ['2, k, 18', [0.2283654, -0.6521954, 1.0]], ['2, k, 19', [0.2230339, -0.7214592, 1.0]], ['2, k, 20', [0.1732544, 0.5358084, 1.0]], ['2, k, 21', [-0.1049751, -0.1608756, 1.0]], ['2, k, 22', [-0.1441201, -0.0918353, 1.0]], ['2, k, 23', [0.3478257, 0.3144012, 1.0]], ['2, k, 24', [0.301716, 0.3048615, 1.0]]]
[['2, k, 0', [0.1492835, -0.01585489, 1.0]], ['2, k, 1', [0.1634836, 0.303085, 1.0]], ['2, k, 2', [0.1783298, 0.6116743, 1.0]], ['2, k, 3', [0.16755, 0.7528954, 1.0]], ['2, k, 4', [-0.01066871, 0.5020507, 1.0]], ['2, k, 5', [-0.05619018, 0.2386183, 1.0]], ['2, k, 6', [-0.08175171, -0.02572336, 1.0]], ['2, k, 7', [-0.09367431, -0.0864756, 1.0]], ['2, k, 8', [0.3431245, 0.4884023, 1.0]], ['2, k, 9', [0.3600174, 0.2498039, 1.0]], ['2, k, 10', [0.3310668, 0.3004022, 1.0]], ['2, k, 11', [0.3270406, 0.3474332, 1.0]], ['2, k, 12', [0.06798649, -0.01305195, 1.0]], ['2, k, 13', [0.07685915, -0.3364121, 1.0]], ['2, k, 14', [0.1018519, -0.6470374, 1.0]], ['2, k, 15', [0.05384986, -0.7207996, 1.0]], ['2, k, 16', [0.2256518, -0.01764349, 1.0]], ['2, k, 17', [0.2336065, -0.3534454, 1.0]], ['2, k, 18', [0.2283418, -0.6533864, 1.0]], ['2, k, 19', [0.2233301, -0.7223311, 1.0]], ['2, k, 20', [0.1746342, 0.5360951, 1.0]], ['2, k, 21', [-0.1033105, -0.1587953, 1.0]], ['2, k, 22', [-0.1405586, -0.07589682, 1.0]], ['2, k, 23', [0.3349794, 0.3749768, 1.0]], ['2, k, 24', [0.2876114, 0.3520555, 1.0]]]
[['2, k, 0', [0.1492385, -0.01593621, 1.0]], ['2, k, 1', [0.1638149, 0.3030208, 1.0]], ['2, k, 2', [0.1793121, 0.6116387, 1.0]], ['2, k, 3', [0.1687856, 0.752557, 1.0]], ['2, k, 4', [-0.009825714, 0.5018381, 1.0]], ['2, k, 5', [-0.05525113, 0.2373278, 1.0]], ['2, k, 6', [-0.08178769, -0.02571162, 1.0]], ['2, k, 7', [-0.09299186, -0.08608063, 1.0]], ['2, k, 8', [0.3419313, 0.4887114, 1.0]], ['2, k, 9', [0.3596207, 0.2386435, 1.0]], ['2, k, 10', [0.3264204, 0.3516749, 1.0]], ['2, k, 11', [0.3209192, 0.3908129, 1.0]], ['2, k, 12', [0.06790123, -0.01331267, 1.0]], ['2, k, 13', [0.07677908, -0.3365602, 1.0]], ['2, k, 14', [0.101356, -0.6482059, 1.0]], ['2, k, 15', [0.05102839, -0.7205865, 1.0]], ['2, k, 16', [0.2255925, -0.01775504, 1.0]], ['2, k, 17', [0.2335295, -0.3531963, 1.0]], ['2, k, 18', [0.2299933, -0.6546916, 1.0]], ['2, k, 19', [0.2234007, -0.7226114, 1.0]], ['2, k, 20', [0.1754736, 0.5360405, 1.0]], ['2, k, 21', [-0.1052003, -0.1597172, 1.0]], ['2, k, 22', [-0.1411289, -0.08235291, 1.0]], ['2, k, 23', [0.3252325, 0.4275724, 1.0]], ['2, k, 24', [0.2787983, 0.3972062, 1.0]]]
