[['2, k, 0', [-0.393224, -0.731959, 1.0]], ['2, k, 1', [-0.402811, -0.435949, 1.0]], ['2, k, 2', [-0.410044, -0.144589, 1.0]], ['2, k, 3', [-0.40431, -0.000846927, 1.0]], ['2, k, 4', [-0.545265, -0.224286, 1.0]], ['2, k, 5', [-0.657344, -0.327929, 1.0]], ['2, k, 6', [-0.659679, -0.308936, 1.0]], ['2, k, 7', [-0.636776, -0.239945, 1.0]], ['2, k, 8', [-0.256184, -0.222167, 1.0]], ['2, k, 9', [-0.105345, -0.323338, 1.0]], ['2, k, 10', [-0.000607815, -0.284857, 1.0]], ['2, k, 11', [0.020481, -0.232412, 1.0]], ['2, k, 12', [-0.45383, -0.722672, 1.0]], ['2, k, 13', [-0.544042, -0.95516, 1.0]], ['2, k, 14', [-0.501049, -1.09509, 1.0]], ['2, k, 15', [-0.509277, -1.19727, 1.0]], ['2, k, 16', [-0.322162, -0.721801, 1.0]], ['2, k, 17', [-0.195814, -0.966778, 1.0]], ['2, k, 18', [-0.247086, -1.07442, 1.0]], ['2, k, 19', [-0.219604, -1.20313, 1.0]], ['2, k, 20', [-0.408644, -0.216846, 1.0]], ['2, k, 21', [-0.635404, -0.217624, 1.0]], ['2, k, 22', [-0.663014, -0.220785, 1.0]], ['2, k, 23', [0.05211, -0.22767, 1.0]], ['2, k, 24', [-0.0280573, -0.228901, 1.0]]]
[['2, k, 0', [-0.389838, -0.683334, 1.0]], ['2, k, 1', [-0.400619, -0.420544, 1.0]], ['2, k, 2', [-0.409491, -0.144487, 1.0]], ['2, k, 3', [-0.403617, -0.000629293, 1.0]], ['2, k, 4', [-0.544934, -0.223945, 1.0]], ['2, k, 5', [-0.657185, -0.32712, 1.0]], ['2, k, 6', [-0.645498, -0.283547, 1.0]], ['2, k, 7', [-0.616554, -0.218774, 1.0]], ['2, k, 8', [-0.256148, -0.222548, 1.0]], ['2, k, 9', [-0.104679, -0.32353, 1.0]], ['2, k, 10', [0.0026558, -0.284564, 1.0]], ['2, k, 11', [0.0243769, -0.226988, 1.0]], ['2, k, 12', [-0.450634, -0.673052, 1.0]], ['2, k, 13', [-0.530002, -0.951868, 1.0]], ['2, k, 14', [-0.500451, -1.09547, 1.0]], ['2, k, 15', [-0.458065, -1.15626, 1.0]], ['2, k, 16', [-0.318834, -0.675736, 1.0]], ['2, k, 17', [-0.214653, -0.953257, 1.0]], ['2, k, 18', [-0.182024, -1.27655, 1.0]], ['2, k, 19', [-0.232568, -1.17742, 1.0]], ['2, k, 20', [-0.407733, -0.21545, 1.0]], ['2, k, 21', [-0.585178, -0.202484, 1.0]], ['2, k, 22', [-0.66057, -0.212904, 1.0]], ['2, k, 23', [0.0481491, -0.218955, 1.0]], ['2, k, 24', [-0.0198795, -0.223026, 1.0]]]
[['2, k, 0', [-0.387176, -0.684728, 1.0]], ['2, k, 1', [-0.399186, -0.418893, 1.0]], ['2, k, 2', [-0.409285, -0.144382, 1.0]], ['2, k, 3', [-0.403475, -0.00030138, 1.0]], ['2, k, 4', [-0.544786, -0.224013, 1.0]], ['2, k, 5', [-0.6521, -0.322905, 1.0]], ['2, k, 6', [-0.631027, -0.254194, 1.0]], ['2, k, 7', [-0.615278, -0.213618, 1.0]], ['2, k, 8', [-0.25617, -0.223036, 1.0]], ['2, k, 9', [-0.104409, -0.322989, 1.0]], ['2, k, 10', [-0.00295807, -0.271925, 1.0]], ['2, k, 11', [0.022831, -0.218312, 1.0]], ['2, k, 12', [-0.447987, -0.674882, 1.0]], ['2, k, 13', [-0.490624, -0.944391, 1.0]], ['2, k, 14', [-0.53218, -1.20667, 1.0]], ['2, k, 15', [-0.485312, -1.23385, 1.0]], ['2, k, 16', [-0.316314, -0.676859, 1.0]], ['2, k, 17', [-0.242963, -0.950002, 1.0]], ['2, k, 18', [-0.224232, -1.22942, 1.0]], ['2, k, 19', [-0.220018, -1.14565, 1.0]], ['2, k, 20', [-0.407291, -0.214803, 1.0]], ['2, k, 21', [-0.585349, -0.197224, 1.0]], ['2, k, 22', [-0.650808, -0.187758, 1.0]], ['2, k, 23', [0.0436204, -0.21231, 1.0]], ['2, k, 24', [-0.0273564, -0.214145, 1.0]]]
[['2, k, 0', [-0.386299, -0.685013, 1.0]], ['2, k, 1', [-0.39814, -0.417574, 1.0]], ['2, k, 2', [-0.408829, -0.144198, 1.0]], ['2, k, 3', [-0.403328, -1.904e-05, 1.0]], ['2, k, 4', [-0.544719, -0.223936, 1.0]], ['2, k, 5', [-0.649219, -0.318682, 1.0]], ['2, k, 6', [-0.630956, -0.254094, 1.0]], ['2, k, 7', [-0.613805, -0.20914, 1.0]], ['2, k, 8', [-0.256169, -0.223151, 1.0]], ['2, k, 9', [-0.104085, -0.321836, 1.0]], ['2, k, 10', [0.000577203, -0.281725, 1.0]], ['2, k, 11', [0.0186936, -0.210792, 1.0]], ['2, k, 12', [-0.447143, -0.675263, 1.0]], ['2, k, 13', [-0.490195, -0.94311, 1.0]], ['2, k, 14', [-0.527303, -1.18844, 1.0]], ['2, k, 15', [-0.499611, -1.25024, 1.0]], ['2, k, 16', [-0.315475, -0.677119, 1.0]], ['2, k, 17', [-0.243115, -0.949169, 1.0]], ['2, k, 18', [-0.219384, -1.19962, 1.0]], ['2, k, 19', [-0.24231, -1.09764, 1.0]], ['2, k, 20', [-0.406522, -0.213973, 1.0]], ['2, k, 21', [-0.587463, -0.190763, 1.0]], ['2, k, 22', [-0.653603, -0.180555, 1.0]], ['2, k, 23', [0.0277507, -0.201015, 1.0]], ['2, k, 24', [-0.0325369, -0.205877, 1.0]]]
[['2, k, 0', [-0.385394, -0.685252, 1.0]], ['2, k, 1', [-0.397386, -0.416794, 1.0]], ['2, k, 2', [-0.408524, -0.144131, 1.0]], ['2, k, 3', [-0.403379, 0.000619455, 1.0]], ['2, k, 4', [-0.544508, -0.224105, 1.0]], ['2, k, 5', [-0.649221, -0.31749, 1.0]], ['2, k, 6', [-0.632728, -0.252456, 1.0]], ['2, k, 7', [-0.616914, -0.204439, 1.0]], ['2, k, 8', [-0.256109, -0.223192, 1.0]], ['2, k, 9', [-0.102954, -0.317462, 1.0]], ['2, k, 10', [7.01263e-05, -0.28175, 1.0]], ['2, k, 11', [0.0206297, -0.205895, 1.0]], ['2, k, 12', [-0.446261, -0.675724, 1.0]], ['2, k, 13', [-0.490187, -0.943283, 1.0]], ['2, k, 14', [-0.524369, -1.18166, 1.0]], ['2, k, 15', [-0.492906, -1.20709, 1.0]], ['2, k, 16', [-0.314554, -0.677179, 1.0]], ['2, k, 17', [-0.243331, -0.949104, 1.0]], ['2, k, 18', [-0.220235, -1.22729, 1.0]], ['2, k, 19', [-0.239443, -1.11772, 1.0]], ['2, k, 20', [-0.406024, -0.213515, 1.0]], ['2, k, 21', [-0.589648, -0.187438, 1.0]], ['2, k, 22', [-0.646101, -0.176273, 1.0]], ['2, k, 23', [0.0367398, -0.196608, 1.0]], ['2, k, 24', [-0.0277632, -0.203128, 1.0]]]
[['2, k, 0', [-0.384834, -0.685703, 1.0]], ['2, k, 1', [-0.39718, -0.416539, 1.0]], ['2, k, 2', [-0.408497, -0.14412, 1.0]], ['2, k, 3', [-0.403187, 0.00110093, 1.0]], ['2, k, 4', [-0.544504, -0.224084, 1.0]], ['2, k, 5', [-0.649438, -0.315554, 1.0]], ['2, k, 6', [-0.632628, -0.251284, 1.0]], ['2, k, 7', [-0.619894, -0.200343, 1.0]], ['2, k, 8', [-0.256045, -0.22356, 1.0]], ['2, k, 9', [-0.064029, -0.282558, 1.0]], ['2, k, 10', [0.00741022, -0.281795, 1.0]], ['2, k, 11', [0.0146093, -0.19995, 1.0]], ['2, k, 12', [-0.44573, -0.676166, 1.0]], ['2, k, 13', [-0.49052, -0.94457, 1.0]], ['2, k, 14', [-0.525238, -1.17685, 1.0]], ['2, k, 15', [-0.498781, -1.22259, 1.0]], ['2, k, 16', [-0.314008, -0.677648, 1.0]], ['2, k, 17', [-0.24343, -0.948821, 1.0]], ['2, k, 18', [-0.221049, -1.22659, 1.0]], ['2, k, 19', [-0.243356, -1.10944, 1.0]], ['2, k, 20', [-0.405939, -0.213314, 1.0]], ['2, k, 21', [-0.590311, -0.180559, 1.0]], ['2, k, 22', [-0.65752, -0.183668, 1.0]], ['2, k, 23', [0.0188561, -0.187165, 1.0]], ['2, k, 24', [-0.0386409, -0.196772, 1.0]]]
[['2, k, 0', [-0.384558, -0.685529, 1.0]], ['2, k, 1', [-0.39702, -0.415888, 1.0]], ['2, k, 2', [-0.408481, -0.144105, 1.0]], ['2, k, 3', [-0.403136, 0.00147732, 1.0]], ['2, k, 4', [-0.54443, -0.224046, 1.0]], ['2, k, 5', [-0.649399, -0.312001, 1.0]], ['2, k, 6', [-0.632959, -0.25051, 1.0]], ['2, k, 7', [-0.619044, -0.198328, 1.0]], ['2, k, 8', [-0.255613, -0.223856, 1.0]], ['2, k, 9', [-0.0627327, -0.282168, 1.0]], ['2, k, 10', [0.00125698, -0.218938, 1.0]], ['2, k, 11', [0.0126773, -0.195469, 1.0]], ['2, k, 12', [-0.445453, -0.675998, 1.0]], ['2, k, 13', [-0.490468, -0.944186, 1.0]], ['2, k, 14', [-0.523381, -1.18501, 1.0]], ['2, k, 15', [-0.494491, -1.19814, 1.0]], ['2, k, 16', [-0.313758, -0.677493, 1.0]], ['2, k, 17', [-0.243628, -0.948345, 1.0]], ['2, k, 18', [-0.226551, -1.19064, 1.0]], ['2, k, 19', [-0.246289, -1.09624, 1.0]], ['2, k, 20', [-0.405891, -0.213027, 1.0]], ['2, k, 21', [-0.592823, -0.17872, 1.0]], ['2, k, 22', [-0.651319, -0.187021, 1.0]], ['2, k, 23', [0.0232877, -0.182399, 1.0]], ['2, k, 24', [-0.0419925, -0.191789, 1.0]]]
[['2, k, 0', [-0.384177, -0.685568, 1.0]], ['2, k, 1', [-0.396823, -0.41552, 1.0]], ['2, k, 2', [-0.408437, -0.144029, 1.0]], ['2, k, 3', [-0.402947, 0.0017059, 1.0]], ['2, k, 4', [-0.544178, -0.224914, 1.0]], ['2, k, 5', [-0.649043, -0.310632, 1.0]], ['2, k, 6', [-0.632765, -0.247791, 1.0]], ['2, k, 7', [-0.621477, -0.195058, 1.0]], ['2, k, 8', [-0.255449, -0.224533, 1.0]], ['2, k, 9', [-0.0967929, -0.299594, 1.0]], ['2, k, 10', [-0.00486281, -0.241596, 1.0]], ['2, k, 11', [0.0151498, -0.19192, 1.0]], ['2, k, 12', [-0.445034, -0.676142, 1.0]], ['2, k, 13', [-0.491102, -0.945246, 1.0]], ['2, k, 14', [-0.514677, -1.18476, 1.0]], ['2, k, 15', [-0.519811, -1.2357, 1.0]], ['2, k, 16', [-0.313405, -0.677458, 1.0]], ['2, k, 17', [-0.24363, -0.948368, 1.0]], ['2, k, 18', [-0.218612, -1.24794, 1.0]], ['2, k, 19', [-0.198608, -1.13379, 1.0]], ['2, k, 20', [-0.405803, -0.212729, 1.0]], ['2, k, 21', [-0.596941, -0.174632, 1.0]], ['2, k, 22', [-0.670732, -0.180798, 1.0]], ['2, k, 23', [0.0335456, -0.18151, 1.0]], ['2, k, 24', [-0.0393051, -0.188786, 1.0]]]
[['2, k, 0', [-0.383677, -0.685262, 1.0]], ['2, k, 1', [-0.396642, -0.414971, 1.0]], ['2, k, 2', [-0.408433, -0.143951, 1.0]], ['2, k, 3', [-0.402959, 0.00222349, 1.0]], ['2, k, 4', [-0.544092, -0.225326, 1.0]], ['2, k, 5', [-0.649458, -0.309543, 1.0]], ['2, k, 6', [-0.639696, -0.249528, 1.0]], ['2, k, 7', [-0.621999, -0.193341, 1.0]], ['2, k, 8', [-0.253903, -0.230755, 1.0]], ['2, k, 9', [-0.0749651, -0.283712, 1.0]], ['2, k, 10', [-0.0043412, -0.231742, 1.0]], ['2, k, 11', [0.00120714, -0.189719, 1.0]], ['2, k, 12', [-0.444423, -0.675454, 1.0]], ['2, k, 13', [-0.49094, -0.945576, 1.0]], ['2, k, 14', [-0.517247, -1.23211, 1.0]], ['2, k, 15', [-0.512828, -1.16808, 1.0]], ['2, k, 16', [-0.312981, -0.677406, 1.0]], ['2, k, 17', [-0.243726, -0.948273, 1.0]], ['2, k, 18', [-0.224201, -1.18499, 1.0]], ['2, k, 19', [-0.201384, -1.22631, 1.0]], ['2, k, 20', [-0.405777, -0.212408, 1.0]], ['2, k, 21', [-0.596573, -0.172733, 1.0]], ['2, k, 22', [-0.669573, -0.183747, 1.0]], ['2, k, 23', [0.0136853, -0.175585, 1.0]], ['2, k, 24', [-0.0664423, -0.183375, 1.0]]]
[['2, k, 0', [-0.383697, -0.68599, 1.0]], ['2, k, 1', [-0.396649, -0.414949, 1.0]], ['2, k, 2', [-0.4084, -0.143856, 1.0]], ['2, k, 3', [-0.402941, 0.00244054, 1.0]], ['2, k, 4', [-0.544028, -0.225529, 1.0]], ['2, k, 5', [-0.647757, -0.306397, 1.0]], ['2, k, 6', [-0.64207, -0.249906, 1.0]], ['2, k, 7', [-0.622381, -0.190798, 1.0]], ['2, k, 8', [-0.253086, -0.232633, 1.0]], ['2, k, 9', [-0.0554698, -0.287162, 1.0]], ['2, k, 10', [0.00079654, -0.199722, 1.0]], ['2, k, 11', [-0.0644063, -0.183242, 1.0]], ['2, k, 12', [-0.444551, -0.676608, 1.0]], ['2, k, 13', [-0.49086, -0.945259, 1.0]], ['2, k, 14', [-0.513121, -1.1795, 1.0]], ['2, k, 15', [-0.500663, -1.22049, 1.0]], ['2, k, 16', [-0.31295, -0.677844, 1.0]], ['2, k, 17', [-0.243752, -0.948216, 1.0]], ['2, k, 18', [-0.227259, -1.22819, 1.0]], ['2, k, 19', [-0.206193, -1.27444, 1.0]], ['2, k, 20', [-0.40576, -0.212269, 1.0]], ['2, k, 21', [-0.595233, -0.171658, 1.0]], ['2, k, 22', [-0.669869, -0.180736, 1.0]], ['2, k, 23', [-0.128692, -0.182452, 1.0]], ['2, k, 24', [-0.136066, -0.180107, 1.0]]]
[['2, k, 0', [-0.383568, -0.687043, 1.0]], ['2, k, 1', [-0.396631, -0.414965, 1.0]], ['2, k, 2', [-0.408315, -0.143782, 1.0]], ['2, k, 3', [-0.402971, 0.00271841, 1.0]], ['2, k, 4', [-0.543832, -0.225973, 1.0]], ['2, k, 5', [-0.645512, -0.303772, 1.0]], ['2, k, 6', [-0.641529, -0.249572, 1.0]], ['2, k, 7', [-0.623687, -0.190287, 1.0]], ['2, k, 8', [-0.252667, -0.23482, 1.0]], ['2, k, 9', [-0.052905, -0.286516, 1.0]], ['2, k, 10', [-0.0733288, -0.209548, 1.0]], ['2, k, 11', [-0.093744, -0.183743, 1.0]], ['2, k, 12', [-0.444581, -0.678127, 1.0]], ['2, k, 13', [-0.490709, -0.946269, 1.0]], ['2, k, 14', [-0.518319, -1.18477, 1.0]], ['2, k, 15', [-0.506638, -1.24582, 1.0]], ['2, k, 16', [-0.312732, -0.678515, 1.0]], ['2, k, 17', [-0.243965, -0.948186, 1.0]], ['2, k, 18', [-0.227627, -1.19065, 1.0]], ['2, k, 19', [-0.206367, -1.23374, 1.0]], ['2, k, 20', [-0.405702, -0.212178, 1.0]], ['2, k, 21', [-0.595006, -0.170327, 1.0]], ['2, k, 22', [-0.666112, -0.181164, 1.0]], ['2, k, 23', [-0.144836, -0.179302, 1.0]], ['2, k, 24', [-0.150346, -0.19145, 1.0]]]
