[['2, k, 0', [-0.1602973, 0.06724862, 1.0]], ['2, k, 1', [-0.1659653, 0.3378574, 1.0]], ['2, k, 2', [-0.1711077, 0.601382, 1.0]], ['2, k, 3', [-0.1747603, 0.7346073, 1.0]], ['2, k, 4', [-0.3178712, 0.4905235, 1.0]], ['2, k, 5', [-0.3589637, 0.2566669, 1.0]], ['2, k, 6', [-0.3523615, 0.0735863, 1.0]], ['2, k, 7', [-0.3372283, 0.0342805, 1.0]], ['2, k, 8', [-0.007348069, 0.4845539, 1.0]], ['2, k, 9', [0.03995713, 0.2434536, 1.0]], ['2, k, 10', [0.04602669, 0.0453348, 1.0]], ['2, k, 11', [0.04137319, -0.01460325, 1.0]], ['2, k, 12', [-0.2212666, 0.06691843, 1.0]], ['2, k, 13', [-0.213624, -0.2491115, 1.0]], ['2, k, 14', [-0.2143703, -0.5651929, 1.0]], ['2, k, 15', [-0.2120273, -0.636169, 1.0]], ['2, k, 16', [-0.09584955, 0.06604876, 1.0]], ['2, k, 17', [-0.1150488, -0.2492543, 1.0]], ['2, k, 18', [-0.1080383, -0.5654871, 1.0]], ['2, k, 19', [-0.1140921, -0.6359103, 1.0]], ['2, k, 20', [-0.1699829, 0.5365189, 1.0]], ['2, k, 21', [-0.3402718, -0.02683875, 1.0]], ['2, k, 22', [-0.3117386, 0.03038836, 1.0]], ['2, k, 23', [0.04172086, -0.08570551, 1.0]], ['2, k, 24', [0.008085616, -0.009761738, 1.0]]]
[['2, k, 0', [-0.1615701, 0.0673715, 1.0]], ['2, k, 1', [-0.1669639, 0.3378385, 1.0]], ['2, k, 2', [-0.1719456, 0.6012252, 1.0]], ['2, k, 3', [-0.1765427, 0.7351596, 1.0]], ['2, k, 4', [-0.3175797, 0.4907647, 1.0]], ['2, k, 5', [-0.3598232, 0.2569714, 1.0]], ['2, k, 6', [-0.3515985, 0.07361633, 1.0]], ['2, k, 7', [-0.339798, 0.03315783, 1.0]], ['2, k, 8', [-0.008896683, 0.4847071, 1.0]], ['2, k, 9', [0.03764006, 0.274195, 1.0]], ['2, k, 10', [0.06001097, 0.1106658, 1.0]], ['2, k, 11', [0.06310552, 0.04084873, 1.0]], ['2, k, 12', [-0.2225862, 0.06705803, 1.0]], ['2, k, 13', [-0.2124347, -0.2492273, 1.0]], ['2, k, 14', [-0.2145359, -0.5651289, 1.0]], ['2, k, 15', [-0.2122554, -0.6367057, 1.0]], ['2, k, 16', [-0.09700174, 0.06614967, 1.0]], ['2, k, 17', [-0.1151064, -0.249176, 1.0]], ['2, k, 18', [-0.1106272, -0.5660822, 1.0]], ['2, k, 19', [-0.1128339, -0.6366583, 1.0]], ['2, k, 20', [-0.1708366, 0.5364007, 1.0]], ['2, k, 21', [-0.3435806, -0.02612707, 1.0]], ['2, k, 22', [-0.3125189, 0.0299301, 1.0]], ['2, k, 23', [0.07085142, -0.02444803, 1.0]], ['2, k, 24', [0.02319603, 0.04322561, 1.0]]]
[['2, k, 0', [-0.1620156, 0.06743214, 1.0]], ['2, k, 1', [-0.1681805, 0.3380483, 1.0]], ['2, k, 2', [-0.1741992, 0.6016859, 1.0]], ['2, k, 3', [-0.1776336, 0.7358744, 1.0]], ['2, k, 4', [-0.3172918, 0.4909218, 1.0]], ['2, k, 5', [-0.3600657, 0.2565717, 1.0]], ['2, k, 6', [-0.3508174, 0.07307106, 1.0]], ['2, k, 7', [-0.3421281, 0.03120205, 1.0]], ['2, k, 8', [-0.009996491, 0.4854401, 1.0]], ['2, k, 9', [0.04980114, 0.2971082, 1.0]], ['2, k, 10', [0.06956418, 0.1570298, 1.0]], ['2, k, 11', [0.06977955, 0.09279577, 1.0]], ['2, k, 12', [-0.2229927, 0.06715785, 1.0]], ['2, k, 13', [-0.2188472, -0.2495736, 1.0]], ['2, k, 14', [-0.2164021, -0.5242508, 1.0]], ['2, k, 15', [-0.2161405, -0.5714124, 1.0]], ['2, k, 16', [-0.09743734, 0.06616358, 1.0]], ['2, k, 17', [-0.114916, -0.2493933, 1.0]], ['2, k, 18', [-0.1110288, -0.5635378, 1.0]], ['2, k, 19', [-0.1141641, -0.6351118, 1.0]], ['2, k, 20', [-0.1727946, 0.5367849, 1.0]], ['2, k, 21', [-0.34622, -0.03060568, 1.0]], ['2, k, 22', [-0.3098688, 0.01129794, 1.0]], ['2, k, 23', [0.0778824, 0.03336974, 1.0]], ['2, k, 24', [0.02705943, 0.08926471, 1.0]]]
[['2, k, 0', [-0.1623453, 0.06763189, 1.0]], ['2, k, 1', [-0.168495, 0.3382111, 1.0]], ['2, k, 2', [-0.1742792, 0.6017263, 1.0]], ['2, k, 3', [-0.1780069, 0.7354864, 1.0]], ['2, k, 4', [-0.317085, 0.4910356, 1.0]], ['2, k, 5', [-0.3606875, 0.256818, 1.0]], ['2, k, 6', [-0.3507227, 0.07327791, 1.0]], ['2, k, 7', [-0.3421076, 0.03205074, 1.0]], ['2, k, 8', [-0.01285484, 0.4890165, 1.0]], ['2, k, 9', [0.05755919, 0.3511312, 1.0]], ['2, k, 10', [0.07218133, 0.230336, 1.0]], ['2, k, 11', [0.0758769, 0.1736984, 1.0]], ['2, k, 12', [-0.2233478, 0.067241, 1.0]], ['2, k, 13', [-0.2139739, -0.2491788, 1.0]], ['2, k, 14', [-0.2157644, -0.5664139, 1.0]], ['2, k, 15', [-0.2096132, -0.6373054, 1.0]], ['2, k, 16', [-0.09772502, 0.06648047, 1.0]], ['2, k, 17', [-0.1133733, -0.2493092, 1.0]], ['2, k, 18', [-0.1110895, -0.5632876, 1.0]], ['2, k, 19', [-0.1137762, -0.6348601, 1.0]], ['2, k, 20', [-0.1729578, 0.5368649, 1.0]], ['2, k, 21', [-0.3480288, -0.02747132, 1.0]], ['2, k, 22', [-0.3121777, 0.02148554, 1.0]], ['2, k, 23', [0.08660961, 0.119235, 1.0]], ['2, k, 24', [0.03578101, 0.169353, 1.0]]]
[['2, k, 0', [-0.1624194, 0.06777411, 1.0]], ['2, k, 1', [-0.1688429, 0.3382507, 1.0]], ['2, k, 2', [-0.1749292, 0.6015785, 1.0]], ['2, k, 3', [-0.1773123, 0.7355444, 1.0]], ['2, k, 4', [-0.3241552, 0.4872413, 1.0]], ['2, k, 5', [-0.3616316, 0.2559677, 1.0]], ['2, k, 6', [-0.3524162, 0.07185713, 1.0]], ['2, k, 7', [-0.3446273, 0.03597188, 1.0]], ['2, k, 8', [-0.01624872, 0.4929937, 1.0]], ['2, k, 9', [0.07357015, 0.4074685, 1.0]], ['2, k, 10', [0.07710902, 0.3159469, 1.0]], ['2, k, 11', [0.08051967, 0.262862, 1.0]], ['2, k, 12', [-0.2234045, 0.06721248, 1.0]], ['2, k, 13', [-0.2146259, -0.2492022, 1.0]], ['2, k, 14', [-0.2155786, -0.5666738, 1.0]], ['2, k, 15', [-0.2091071, -0.6378024, 1.0]], ['2, k, 16', [-0.09778532, 0.06695951, 1.0]], ['2, k, 17', [-0.1133866, -0.2491658, 1.0]], ['2, k, 18', [-0.1092769, -0.5670891, 1.0]], ['2, k, 19', [-0.1136688, -0.6371444, 1.0]], ['2, k, 20', [-0.1735303, 0.5367689, 1.0]], ['2, k, 21', [-0.3385165, -0.03842398, 1.0]], ['2, k, 22', [-0.3124487, 0.02266721, 1.0]], ['2, k, 23', [0.08897639, 0.2269008, 1.0]], ['2, k, 24', [0.04063528, 0.2588004, 1.0]]]
[['2, k, 0', [-0.1628388, 0.06779248, 1.0]], ['2, k, 1', [-0.1693583, 0.3384615, 1.0]], ['2, k, 2', [-0.1754007, 0.6020986, 1.0]], ['2, k, 3', [-0.1762459, 0.7353647, 1.0]], ['2, k, 4', [-0.3220936, 0.4883825, 1.0]], ['2, k, 5', [-0.3629088, 0.2557398, 1.0]], ['2, k, 6', [-0.3527195, 0.07159906, 1.0]], ['2, k, 7', [-0.3472663, 0.03229424, 1.0]], ['2, k, 8', [-0.0195503, 0.4929576, 1.0]], ['2, k, 9', [0.05102329, 0.3721685, 1.0]], ['2, k, 10', [0.07074372, 0.3967559, 1.0]], ['2, k, 11', [0.08414748, 0.3652633, 1.0]], ['2, k, 12', [-0.2238734, 0.06721421, 1.0]], ['2, k, 13', [-0.2151362, -0.2492401, 1.0]], ['2, k, 14', [-0.217639, -0.5631632, 1.0]], ['2, k, 15', [-0.2097567, -0.6347327, 1.0]], ['2, k, 16', [-0.09811932, 0.0669738, 1.0]], ['2, k, 17', [-0.1134295, -0.2492339, 1.0]], ['2, k, 18', [-0.1091753, -0.5742292, 1.0]], ['2, k, 19', [-0.1161479, -0.6430562, 1.0]], ['2, k, 20', [-0.1740235, 0.5372002, 1.0]], ['2, k, 21', [-0.3450373, -0.03338485, 1.0]], ['2, k, 22', [-0.3116682, 0.008000933, 1.0]], ['2, k, 23', [0.08637733, 0.3448497, 1.0]], ['2, k, 24', [0.06904559, 0.3617912, 1.0]]]
[['2, k, 0', [-0.16276, 0.06795552, 1.0]], ['2, k, 1', [-0.1694275, 0.3384988, 1.0]], ['2, k, 2', [-0.1757466, 0.6018416, 1.0]], ['2, k, 3', [-0.1752321, 0.7352459, 1.0]], ['2, k, 4', [-0.3231615, 0.4876337, 1.0]], ['2, k, 5', [-0.3652392, 0.2566902, 1.0]], ['2, k, 6', [-0.3554733, 0.07000177, 1.0]], ['2, k, 7', [-0.3501742, 0.03192543, 1.0]], ['2, k, 8', [-0.02057652, 0.4930545, 1.0]], ['2, k, 9', [0.003237023, 0.3266468, 1.0]], ['2, k, 10', [0.04484344, 0.4255973, 1.0]], ['2, k, 11', [0.07826979, 0.4604908, 1.0]], ['2, k, 12', [-0.223853, 0.06721789, 1.0]], ['2, k, 13', [-0.2133407, -0.2490246, 1.0]], ['2, k, 14', [-0.2189425, -0.5700154, 1.0]], ['2, k, 15', [-0.2090665, -0.640201, 1.0]], ['2, k, 16', [-0.09790149, 0.06746159, 1.0]], ['2, k, 17', [-0.1137713, -0.248844, 1.0]], ['2, k, 18', [-0.1084831, -0.576005, 1.0]], ['2, k, 19', [-0.1120763, -0.6417381, 1.0]], ['2, k, 20', [-0.1742856, 0.5370368, 1.0]], ['2, k, 21', [-0.3505657, -0.032798, 1.0]], ['2, k, 22', [-0.3185168, 0.01734476, 1.0]], ['2, k, 23', [0.08870162, 0.4559741, 1.0]], ['2, k, 24', [0.06353302, 0.4717513, 1.0]]]
[['2, k, 0', [-0.162004, 0.06865418, 1.0]], ['2, k, 1', [-0.1692829, 0.3388129, 1.0]], ['2, k, 2', [-0.1759677, 0.6021037, 1.0]], ['2, k, 3', [-0.1741029, 0.7356074, 1.0]], ['2, k, 4', [-0.3206823, 0.4888001, 1.0]], ['2, k, 5', [-0.3658144, 0.2570799, 1.0]], ['2, k, 6', [-0.357112, 0.06723001, 1.0]], ['2, k, 7', [-0.3520756, 0.02888839, 1.0]], ['2, k, 8', [-0.02115058, 0.4930094, 1.0]], ['2, k, 9', [0.1005209, 0.5150244, 1.0]], ['2, k, 10', [0.07408945, 0.534336, 1.0]], ['2, k, 11', [0.07226229, 0.5445367, 1.0]], ['2, k, 12', [-0.2235817, 0.06734207, 1.0]], ['2, k, 13', [-0.2131994, -0.2490953, 1.0]], ['2, k, 14', [-0.2175022, -0.5734171, 1.0]], ['2, k, 15', [-0.209912, -0.6440261, 1.0]], ['2, k, 16', [-0.09633245, 0.06919727, 1.0]], ['2, k, 17', [-0.1137039, -0.2469502, 1.0]], ['2, k, 18', [-0.1083087, -0.5758705, 1.0]], ['2, k, 19', [-0.1129498, -0.6419498, 1.0]], ['2, k, 20', [-0.1743923, 0.537308, 1.0]], ['2, k, 21', [-0.3592983, -0.0338095, 1.0]], ['2, k, 22', [-0.3176854, 0.01879879, 1.0]], ['2, k, 23', [0.06907842, 0.5504722, 1.0]], ['2, k, 24', [0.04075163, 0.5392019, 1.0]]]
[['2, k, 0', [-0.160509, 0.07040904, 1.0]], ['2, k, 1', [-0.1691721, 0.3398129, 1.0]], ['2, k, 2', [-0.1771447, 0.6033128, 1.0]], ['2, k, 3', [-0.173061, 0.7354655, 1.0]], ['2, k, 4', [-0.3189702, 0.4896344, 1.0]], ['2, k, 5', [-0.3679429, 0.2602563, 1.0]], ['2, k, 6', [-0.3645806, 0.07679714, 1.0]], ['2, k, 7', [-0.3564477, 0.03650972, 1.0]], ['2, k, 8', [-0.02238298, 0.4933091, 1.0]], ['2, k, 9', [0.06262656, 0.5568136, 1.0]], ['2, k, 10', [0.06878138, 0.6065118, 1.0]], ['2, k, 11', [0.06722206, 0.6242835, 1.0]], ['2, k, 12', [-0.2230249, 0.06801921, 1.0]], ['2, k, 13', [-0.210847, -0.2483141, 1.0]], ['2, k, 14', [-0.2172782, -0.5732085, 1.0]], ['2, k, 15', [-0.2123322, -0.6441528, 1.0]], ['2, k, 16', [-0.09362625, 0.07220427, 1.0]], ['2, k, 17', [-0.1124395, -0.2437315, 1.0]], ['2, k, 18', [-0.1085664, -0.5767879, 1.0]], ['2, k, 19', [-0.1124917, -0.6419759, 1.0]], ['2, k, 20', [-0.1751422, 0.5384436, 1.0]], ['2, k, 21', [-0.3638607, -0.03282823, 1.0]], ['2, k, 22', [-0.3156559, 0.03540314, 1.0]], ['2, k, 23', [0.08559003, 0.634386, 1.0]], ['2, k, 24', [0.02852108, 0.6143761, 1.0]]]
[['2, k, 0', [-0.1594839, 0.07246123, 1.0]], ['2, k, 1', [-0.1677317, 0.3413937, 1.0]], ['2, k, 2', [-0.1751584, 0.6043962, 1.0]], ['2, k, 3', [-0.172309, 0.735716, 1.0]], ['2, k, 4', [-0.3169923, 0.4905529, 1.0]], ['2, k, 5', [-0.3696525, 0.2622631, 1.0]], ['2, k, 6', [-0.3657864, 0.0787104, 1.0]], ['2, k, 7', [-0.3589041, 0.03622442, 1.0]], ['2, k, 8', [-0.02521526, 0.4987076, 1.0]], ['2, k, 9', [0.05062647, 0.6059114, 1.0]], ['2, k, 10', [0.06219947, 0.6742422, 1.0]], ['2, k, 11', [0.05824335, 0.6988513, 1.0]], ['2, k, 12', [-0.2226136, 0.06900062, 1.0]], ['2, k, 13', [-0.2103966, -0.2472945, 1.0]], ['2, k, 14', [-0.2128761, -0.5637335, 1.0]], ['2, k, 15', [-0.2128817, -0.63605, 1.0]], ['2, k, 16', [-0.092091, 0.07506819, 1.0]], ['2, k, 17', [-0.1113342, -0.2405502, 1.0]], ['2, k, 18', [-0.1079221, -0.5742939, 1.0]], ['2, k, 19', [-0.1126339, -0.6398115, 1.0]], ['2, k, 20', [-0.1733757, 0.5396182, 1.0]], ['2, k, 21', [-0.3666689, -0.03439848, 1.0]], ['2, k, 22', [-0.3158306, 0.02722921, 1.0]], ['2, k, 23', [0.08716685, 0.7166045, 1.0]], ['2, k, 24', [0.01095116, 0.6874601, 1.0]]]
[['2, k, 0', [-0.1588921, 0.07514438, 1.0]], ['2, k, 1', [-0.1667823, 0.3432775, 1.0]], ['2, k, 2', [-0.1739563, 0.6054723, 1.0]], ['2, k, 3', [-0.1704844, 0.7363281, 1.0]], ['2, k, 4', [-0.3153798, 0.4919295, 1.0]], ['2, k, 5', [-0.3703097, 0.2631035, 1.0]], ['2, k, 6', [-0.3671077, 0.07970457, 1.0]], ['2, k, 7', [-0.3588087, 0.03677487, 1.0]], ['2, k, 8', [-0.02527639, 0.4994077, 1.0]], ['2, k, 9', [0.04789433, 0.6211053, 1.0]], ['2, k, 10', [0.04865681, 0.7164646, 1.0]], ['2, k, 11', [0.04640665, 0.7616676, 1.0]], ['2, k, 12', [-0.2223551, 0.07110176, 1.0]], ['2, k, 13', [-0.2121553, -0.2453204, 1.0]], ['2, k, 14', [-0.2160882, -0.5603627, 1.0]], ['2, k, 15', [-0.212339, -0.63278, 1.0]], ['2, k, 16', [-0.09129725, 0.07795475, 1.0]], ['2, k, 17', [-0.1109962, -0.2376899, 1.0]], ['2, k, 18', [-0.1086834, -0.5751749, 1.0]], ['2, k, 19', [-0.1121315, -0.6405871, 1.0]], ['2, k, 20', [-0.1722599, 0.540863, 1.0]], ['2, k, 21', [-0.3645282, -0.03180961, 1.0]], ['2, k, 22', [-0.3167122, 0.02992311, 1.0]], ['2, k, 23', [0.06283519, 0.7837436, 1.0]], ['2, k, 24', [0.002414838, 0.7553072, 1.0]]]
