[['2, k, 0', [0.0320035, -0.394373, 1.0]], ['2, k, 1', [0.00882675, -0.0807108, 1.0]], ['2, k, 2', [-0.0137987, 0.225279, 1.0]], ['2, k, 3', [-0.0227805, 0.377396, 1.0]], ['2, k, 4', [-0.181828, 0.116979, 1.0]], ['2, k, 5', [-0.279068, -0.146839, 1.0]], ['2, k, 6', [-0.350736, -0.36232, 1.0]], ['2, k, 7', [-0.352842, -0.434008, 1.0]], ['2, k, 8', [0.159902, 0.121049, 1.0]], ['2, k, 9', [0.281325, -0.124875, 1.0]], ['2, k, 10', [0.344132, -0.34068, 1.0]], ['2, k, 11', [0.346126, -0.400661, 1.0]], ['2, k, 12', [-0.0464373, -0.389626, 1.0]], ['2, k, 13', [-0.0585995, -0.798891, 1.0]], ['2, k, 14', [-0.0700248, -1.15105, 1.0]], ['2, k, 15', [-0.078064, -1.19434, 1.0]], ['2, k, 16', [0.109539, -0.387831, 1.0]], ['2, k, 17', [0.141552, -0.798359, 1.0]], ['2, k, 18', [0.145354, -1.14899, 1.0]], ['2, k, 19', [0.177002, -1.21289, 1.0]], ['2, k, 20', [-0.00821698, 0.149829, 1.0]], ['2, k, 21', [-0.36922, -0.482962, 1.0]], ['2, k, 22', [-0.278531, -0.454014, 1.0]], ['2, k, 23', [0.346689, -0.4502, 1.0]], ['2, k, 24', [0.389932, -0.391626, 1.0]]]
[['2, k, 0', [0.0319779, -0.394525, 1.0]], ['2, k, 1', [0.00879748, -0.0807363, 1.0]], ['2, k, 2', [-0.013858, 0.225344, 1.0]], ['2, k, 3', [-0.0227821, 0.377418, 1.0]], ['2, k, 4', [-0.18178, 0.117021, 1.0]], ['2, k, 5', [-0.279036, -0.146812, 1.0]], ['2, k, 6', [-0.350835, -0.36225, 1.0]], ['2, k, 7', [-0.353301, -0.433493, 1.0]], ['2, k, 8', [0.159895, 0.121059, 1.0]], ['2, k, 9', [0.281279, -0.125274, 1.0]], ['2, k, 10', [0.344163, -0.340671, 1.0]], ['2, k, 11', [0.34717, -0.400957, 1.0]], ['2, k, 12', [-0.0464621, -0.389763, 1.0]], ['2, k, 13', [-0.0584881, -0.798922, 1.0]], ['2, k, 14', [-0.0680237, -1.16423, 1.0]], ['2, k, 15', [-0.077861, -1.21642, 1.0]], ['2, k, 16', [0.109513, -0.387994, 1.0]], ['2, k, 17', [0.14144, -0.795759, 1.0]], ['2, k, 18', [0.145076, -1.14825, 1.0]], ['2, k, 19', [0.183653, -1.20521, 1.0]], ['2, k, 20', [-0.00826504, 0.149864, 1.0]], ['2, k, 21', [-0.364356, -0.48132, 1.0]], ['2, k, 22', [-0.278596, -0.453979, 1.0]], ['2, k, 23', [0.346667, -0.450166, 1.0]], ['2, k, 24', [0.392339, -0.395178, 1.0]]]
[['2, k, 0', [0.0319925, -0.394564, 1.0]], ['2, k, 1', [0.00880401, -0.0807496, 1.0]], ['2, k, 2', [-0.0138649, 0.225378, 1.0]], ['2, k, 3', [-0.0227779, 0.377422, 1.0]], ['2, k, 4', [-0.181703, 0.117073, 1.0]], ['2, k, 5', [-0.279019, -0.146813, 1.0]], ['2, k, 6', [-0.350674, -0.361929, 1.0]], ['2, k, 7', [-0.352835, -0.433396, 1.0]], ['2, k, 8', [0.159781, 0.12124, 1.0]], ['2, k, 9', [0.281185, -0.125268, 1.0]], ['2, k, 10', [0.344173, -0.340616, 1.0]], ['2, k, 11', [0.346848, -0.400468, 1.0]], ['2, k, 12', [-0.0464453, -0.389818, 1.0]], ['2, k, 13', [-0.058063, -0.798417, 1.0]], ['2, k, 14', [-0.0674472, -1.16364, 1.0]], ['2, k, 15', [-0.0799649, -1.21515, 1.0]], ['2, k, 16', [0.109526, -0.388016, 1.0]], ['2, k, 17', [0.141369, -0.796749, 1.0]], ['2, k, 18', [0.145374, -1.15154, 1.0]], ['2, k, 19', [0.179684, -1.21231, 1.0]], ['2, k, 20', [-0.00826814, 0.149885, 1.0]], ['2, k, 21', [-0.368751, -0.481937, 1.0]], ['2, k, 22', [-0.278505, -0.45397, 1.0]], ['2, k, 23', [0.348473, -0.45096, 1.0]], ['2, k, 24', [0.392623, -0.395374, 1.0]]]
[['2, k, 0', [0.0319459, -0.394539, 1.0]], ['2, k, 1', [0.00876621, -0.0807481, 1.0]], ['2, k, 2', [-0.0138941, 0.225361, 1.0]], ['2, k, 3', [-0.0227733, 0.377431, 1.0]], ['2, k, 4', [-0.18169, 0.117104, 1.0]], ['2, k, 5', [-0.278979, -0.146773, 1.0]], ['2, k, 6', [-0.350704, -0.361926, 1.0]], ['2, k, 7', [-0.353442, -0.433669, 1.0]], ['2, k, 8', [0.159693, 0.121242, 1.0]], ['2, k, 9', [0.281184, -0.125279, 1.0]], ['2, k, 10', [0.34416, -0.340666, 1.0]], ['2, k, 11', [0.346991, -0.400534, 1.0]], ['2, k, 12', [-0.0465094, -0.389768, 1.0]], ['2, k, 13', [-0.0577952, -0.798173, 1.0]], ['2, k, 14', [-0.0677468, -1.1635, 1.0]], ['2, k, 15', [-0.0820909, -1.21592, 1.0]], ['2, k, 16', [0.109496, -0.388008, 1.0]], ['2, k, 17', [0.141291, -0.796428, 1.0]], ['2, k, 18', [0.145101, -1.15059, 1.0]], ['2, k, 19', [0.181483, -1.21075, 1.0]], ['2, k, 20', [-0.00829955, 0.149872, 1.0]], ['2, k, 21', [-0.367378, -0.481285, 1.0]], ['2, k, 22', [-0.27962, -0.454509, 1.0]], ['2, k, 23', [0.346831, -0.450396, 1.0]], ['2, k, 24', [0.390314, -0.392304, 1.0]]]
[['2, k, 0', [0.0319535, -0.394531, 1.0]], ['2, k, 1', [0.00877551, -0.0807477, 1.0]], ['2, k, 2', [-0.0138766, 0.225351, 1.0]], ['2, k, 3', [-0.0227551, 0.37741, 1.0]], ['2, k, 4', [-0.181652, 0.117152, 1.0]], ['2, k, 5', [-0.279008, -0.146848, 1.0]], ['2, k, 6', [-0.350728, -0.36156, 1.0]], ['2, k, 7', [-0.350323, -0.433622, 1.0]], ['2, k, 8', [0.159648, 0.121354, 1.0]], ['2, k, 9', [0.281149, -0.12517, 1.0]], ['2, k, 10', [0.344159, -0.340672, 1.0]], ['2, k, 11', [0.34651, -0.39998, 1.0]], ['2, k, 12', [-0.0464994, -0.389763, 1.0]], ['2, k, 13', [-0.0577313, -0.798392, 1.0]], ['2, k, 14', [-0.0678033, -1.16172, 1.0]], ['2, k, 15', [-0.0835826, -1.21551, 1.0]], ['2, k, 16', [0.109509, -0.387986, 1.0]], ['2, k, 17', [0.141266, -0.796496, 1.0]], ['2, k, 18', [0.147154, -1.14621, 1.0]], ['2, k, 19', [0.181304, -1.21105, 1.0]], ['2, k, 20', [-0.00828479, 0.149866, 1.0]], ['2, k, 21', [-0.359514, -0.481097, 1.0]], ['2, k, 22', [-0.267166, -0.454412, 1.0]], ['2, k, 23', [0.347247, -0.45043, 1.0]], ['2, k, 24', [0.381905, -0.394087, 1.0]]]
[['2, k, 0', [0.0319515, -0.394654, 1.0]], ['2, k, 1', [0.00873968, -0.0807994, 1.0]], ['2, k, 2', [-0.0139321, 0.225343, 1.0]], ['2, k, 3', [-0.0227574, 0.377405, 1.0]], ['2, k, 4', [-0.181664, 0.11717, 1.0]], ['2, k, 5', [-0.278981, -0.146816, 1.0]], ['2, k, 6', [-0.350818, -0.361311, 1.0]], ['2, k, 7', [-0.352856, -0.433348, 1.0]], ['2, k, 8', [0.159644, 0.121411, 1.0]], ['2, k, 9', [0.281154, -0.125204, 1.0]], ['2, k, 10', [0.344158, -0.340731, 1.0]], ['2, k, 11', [0.345941, -0.401053, 1.0]], ['2, k, 12', [-0.0464963, -0.389881, 1.0]], ['2, k, 13', [-0.0577136, -0.800043, 1.0]], ['2, k, 14', [-0.0696613, -1.16356, 1.0]], ['2, k, 15', [-0.0857842, -1.22117, 1.0]], ['2, k, 16', [0.109499, -0.388111, 1.0]], ['2, k, 17', [0.141264, -0.796523, 1.0]], ['2, k, 18', [0.147225, -1.1483, 1.0]], ['2, k, 19', [0.181906, -1.2121, 1.0]], ['2, k, 20', [-0.00833554, 0.14985, 1.0]], ['2, k, 21', [-0.36463, -0.480262, 1.0]], ['2, k, 22', [-0.274874, -0.454123, 1.0]], ['2, k, 23', [0.349112, -0.450889, 1.0]], ['2, k, 24', [0.388964, -0.388947, 1.0]]]
[['2, k, 0', [0.0318511, -0.394679, 1.0]], ['2, k, 1', [0.00868175, -0.080777, 1.0]], ['2, k, 2', [-0.0139651, 0.225413, 1.0]], ['2, k, 3', [-0.0227559, 0.377512, 1.0]], ['2, k, 4', [-0.1817, 0.117221, 1.0]], ['2, k, 5', [-0.278956, -0.146628, 1.0]], ['2, k, 6', [-0.350933, -0.360821, 1.0]], ['2, k, 7', [-0.352123, -0.433468, 1.0]], ['2, k, 8', [0.159636, 0.121418, 1.0]], ['2, k, 9', [0.28115, -0.125292, 1.0]], ['2, k, 10', [0.344141, -0.340738, 1.0]], ['2, k, 11', [0.345604, -0.39986, 1.0]], ['2, k, 12', [-0.0466123, -0.389902, 1.0]], ['2, k, 13', [-0.0576658, -0.800154, 1.0]], ['2, k, 14', [-0.0704458, -1.16197, 1.0]], ['2, k, 15', [-0.0859019, -1.22102, 1.0]], ['2, k, 16', [0.109408, -0.38814, 1.0]], ['2, k, 17', [0.141135, -0.796631, 1.0]], ['2, k, 18', [0.146639, -1.14567, 1.0]], ['2, k, 19', [0.183202, -1.21297, 1.0]], ['2, k, 20', [-0.00837435, 0.149906, 1.0]], ['2, k, 21', [-0.362769, -0.479844, 1.0]], ['2, k, 22', [-0.27362, -0.454097, 1.0]], ['2, k, 23', [0.346834, -0.449897, 1.0]], ['2, k, 24', [0.38039, -0.385872, 1.0]]]
[['2, k, 0', [0.0318133, -0.394822, 1.0]], ['2, k, 1', [0.00863091, -0.0808085, 1.0]], ['2, k, 2', [-0.0140644, 0.225593, 1.0]], ['2, k, 3', [-0.0227613, 0.377516, 1.0]], ['2, k, 4', [-0.181701, 0.117393, 1.0]], ['2, k, 5', [-0.278858, -0.146421, 1.0]], ['2, k, 6', [-0.351103, -0.360577, 1.0]], ['2, k, 7', [-0.352985, -0.432837, 1.0]], ['2, k, 8', [0.159617, 0.121466, 1.0]], ['2, k, 9', [0.281202, -0.125527, 1.0]], ['2, k, 10', [0.343974, -0.340677, 1.0]], ['2, k, 11', [0.345691, -0.399715, 1.0]], ['2, k, 12', [-0.0466454, -0.390035, 1.0]], ['2, k, 13', [-0.057644, -0.800173, 1.0]], ['2, k, 14', [-0.0691844, -1.16515, 1.0]], ['2, k, 15', [-0.0865465, -1.22181, 1.0]], ['2, k, 16', [0.109362, -0.388306, 1.0]], ['2, k, 17', [0.141111, -0.796558, 1.0]], ['2, k, 18', [0.146805, -1.14713, 1.0]], ['2, k, 19', [0.183114, -1.21129, 1.0]], ['2, k, 20', [-0.00846051, 0.150014, 1.0]], ['2, k, 21', [-0.362872, -0.480714, 1.0]], ['2, k, 22', [-0.272113, -0.453018, 1.0]], ['2, k, 23', [0.347371, -0.450256, 1.0]], ['2, k, 24', [0.38734, -0.391857, 1.0]]]
[['2, k, 0', [0.0318418, -0.394447, 1.0]], ['2, k, 1', [0.00858218, -0.0807059, 1.0]], ['2, k, 2', [-0.0141699, 0.225584, 1.0]], ['2, k, 3', [-0.0227523, 0.377494, 1.0]], ['2, k, 4', [-0.181755, 0.117494, 1.0]], ['2, k, 5', [-0.278856, -0.146371, 1.0]], ['2, k, 6', [-0.351255, -0.360169, 1.0]], ['2, k, 7', [-0.353077, -0.433043, 1.0]], ['2, k, 8', [0.159579, 0.121522, 1.0]], ['2, k, 9', [0.281231, -0.12552, 1.0]], ['2, k, 10', [0.343916, -0.340528, 1.0]], ['2, k, 11', [0.345436, -0.398905, 1.0]], ['2, k, 12', [-0.0466053, -0.389644, 1.0]], ['2, k, 13', [-0.057372, -0.799575, 1.0]], ['2, k, 14', [-0.0697222, -1.16165, 1.0]], ['2, k, 15', [-0.0876234, -1.21777, 1.0]], ['2, k, 16', [0.10938, -0.387957, 1.0]], ['2, k, 17', [0.141076, -0.796487, 1.0]], ['2, k, 18', [0.146352, -1.14246, 1.0]], ['2, k, 19', [0.181631, -1.21003, 1.0]], ['2, k, 20', [-0.00854293, 0.150032, 1.0]], ['2, k, 21', [-0.363565, -0.480079, 1.0]], ['2, k, 22', [-0.272997, -0.453013, 1.0]], ['2, k, 23', [0.347807, -0.45113, 1.0]], ['2, k, 24', [0.387197, -0.391182, 1.0]]]
[['2, k, 0', [0.0314679, -0.394815, 1.0]], ['2, k, 1', [0.00854784, -0.0808059, 1.0]], ['2, k, 2', [-0.0140683, 0.225559, 1.0]], ['2, k, 3', [-0.0227305, 0.377477, 1.0]], ['2, k, 4', [-0.181402, 0.117538, 1.0]], ['2, k, 5', [-0.278833, -0.14615, 1.0]], ['2, k, 6', [-0.351463, -0.359795, 1.0]], ['2, k, 7', [-0.352798, -0.432933, 1.0]], ['2, k, 8', [0.159582, 0.121498, 1.0]], ['2, k, 9', [0.28116, -0.125587, 1.0]], ['2, k, 10', [0.343757, -0.339953, 1.0]], ['2, k, 11', [0.344933, -0.398267, 1.0]], ['2, k, 12', [-0.0470853, -0.390749, 1.0]], ['2, k, 13', [-0.0573007, -0.79967, 1.0]], ['2, k, 14', [-0.0692768, -1.16215, 1.0]], ['2, k, 15', [-0.0871606, -1.21601, 1.0]], ['2, k, 16', [0.108978, -0.387913, 1.0]], ['2, k, 17', [0.141078, -0.796486, 1.0]], ['2, k, 18', [0.146167, -1.14161, 1.0]], ['2, k, 19', [0.18174, -1.21014, 1.0]], ['2, k, 20', [-0.0084849, 0.149998, 1.0]], ['2, k, 21', [-0.364992, -0.47994, 1.0]], ['2, k, 22', [-0.271706, -0.453079, 1.0]], ['2, k, 23', [0.34618, -0.448765, 1.0]], ['2, k, 24', [0.38605, -0.388388, 1.0]]]
[['2, k, 0', [0.0312319, -0.394873, 1.0]], ['2, k, 1', [0.0084561, -0.080879, 1.0]], ['2, k, 2', [-0.014039, 0.225464, 1.0]], ['2, k, 3', [-0.0227339, 0.377488, 1.0]], ['2, k, 4', [-0.181447, 0.117666, 1.0]], ['2, k, 5', [-0.278667, -0.14597, 1.0]], ['2, k, 6', [-0.352079, -0.359066, 1.0]], ['2, k, 7', [-0.351172, -0.432303, 1.0]], ['2, k, 8', [0.159582, 0.121501, 1.0]], ['2, k, 9', [0.281255, -0.125635, 1.0]], ['2, k, 10', [0.343599, -0.339895, 1.0]], ['2, k, 11', [0.345036, -0.398313, 1.0]], ['2, k, 12', [-0.0474226, -0.391251, 1.0]], ['2, k, 13', [-0.0571623, -0.797719, 1.0]], ['2, k, 14', [-0.0684856, -1.16212, 1.0]], ['2, k, 15', [-0.0873467, -1.216, 1.0]], ['2, k, 16', [0.108705, -0.387664, 1.0]], ['2, k, 17', [0.141081, -0.796472, 1.0]], ['2, k, 18', [0.147298, -1.14636, 1.0]], ['2, k, 19', [0.188976, -1.21464, 1.0]], ['2, k, 20', [-0.00848483, 0.149912, 1.0]], ['2, k, 21', [-0.359349, -0.477548, 1.0]], ['2, k, 22', [-0.264866, -0.453329, 1.0]], ['2, k, 23', [0.349471, -0.449469, 1.0]], ['2, k, 24', [0.386742, -0.389175, 1.0]]]
