[['2, k, 0', [-0.2060247, -0.1126299, 1.0]], ['2, k, 1', [-0.2112387, 0.196314, 1.0]], ['2, k, 2', [-0.2154632, 0.4937787, 1.0]], ['2, k, 3', [-0.2349379, 0.6212134, 1.0]], ['2, k, 4', [-0.3837932, 0.3711833, 1.0]], ['2, k, 5', [-0.4084539, 0.1055189, 1.0]], ['2, k, 6', [-0.4079059, -0.1050849, 1.0]], ['2, k, 7', [-0.4287401, -0.1476467, 1.0]], ['2, k, 8', [-0.0616991, 0.3784129, 1.0]], ['2, k, 9', [0.00105606, 0.1192739, 1.0]], ['2, k, 10', [0.01867651, -0.09157708, 1.0]], ['2, k, 11', [-0.0027915, -0.1282042, 1.0]], ['2, k, 12', [-0.278668, -0.1116843, 1.0]], ['2, k, 13', [-0.2770512, -0.4667405, 1.0]], ['2, k, 14', [-0.2222371, -0.779551, 1.0]], ['2, k, 15', [-0.2598407, -0.7045928, 1.0]], ['2, k, 16', [-0.126169, -0.1096314, 1.0]], ['2, k, 17', [-0.06664059, -0.4895334, 1.0]], ['2, k, 18', [-0.1474236, -0.7738816, 1.0]], ['2, k, 19', [-0.0384065, -0.741281, 1.0]], ['2, k, 20', [-0.2146334, 0.4210272, 1.0]], ['2, k, 21', [-0.4359891, -0.2209352, 1.0]], ['2, k, 22', [-0.4692384, -0.144831, 1.0]], ['2, k, 23', [0.005270764, -0.1959276, 1.0]], ['2, k, 24', [-0.04093796, -0.1398831, 1.0]]]
[['2, k, 0', [-0.2061278, -0.1128092, 1.0]], ['2, k, 1', [-0.2113302, 0.1961486, 1.0]], ['2, k, 2', [-0.2154716, 0.493652, 1.0]], ['2, k, 3', [-0.2350366, 0.6211014, 1.0]], ['2, k, 4', [-0.3838833, 0.3704493, 1.0]], ['2, k, 5', [-0.4089834, 0.1056139, 1.0]], ['2, k, 6', [-0.4108685, -0.1046666, 1.0]], ['2, k, 7', [-0.4327098, -0.147245, 1.0]], ['2, k, 8', [-0.06185868, 0.3784634, 1.0]], ['2, k, 9', [0.001039147, 0.1192732, 1.0]], ['2, k, 10', [0.01872387, -0.09155697, 1.0]], ['2, k, 11', [-0.002354534, -0.128359, 1.0]], ['2, k, 12', [-0.2787509, -0.1119452, 1.0]], ['2, k, 13', [-0.2768625, -0.4673527, 1.0]], ['2, k, 14', [-0.2223477, -0.7804007, 1.0]], ['2, k, 15', [-0.2597014, -0.7049872, 1.0]], ['2, k, 16', [-0.1262723, -0.1097292, 1.0]], ['2, k, 17', [-0.0665224, -0.4898655, 1.0]], ['2, k, 18', [-0.1490776, -0.7735762, 1.0]], ['2, k, 19', [-0.03998562, -0.7414457, 1.0]], ['2, k, 20', [-0.2146672, 0.4208888, 1.0]], ['2, k, 21', [-0.4396809, -0.2171897, 1.0]], ['2, k, 22', [-0.4747814, -0.1432038, 1.0]], ['2, k, 23', [0.006483447, -0.1955021, 1.0]], ['2, k, 24', [-0.04075235, -0.1164791, 1.0]]]
[['2, k, 0', [-0.2061546, -0.112828, 1.0]], ['2, k, 1', [-0.2113303, 0.1961672, 1.0]], ['2, k, 2', [-0.2153841, 0.4938047, 1.0]], ['2, k, 3', [-0.2351501, 0.6211726, 1.0]], ['2, k, 4', [-0.383594, 0.3704698, 1.0]], ['2, k, 5', [-0.4099019, 0.1064392, 1.0]], ['2, k, 6', [-0.4166476, -0.1020717, 1.0]], ['2, k, 7', [-0.4358104, -0.1338662, 1.0]], ['2, k, 8', [-0.0618563, 0.3784742, 1.0]], ['2, k, 9', [0.0008689865, 0.1192454, 1.0]], ['2, k, 10', [0.01889607, -0.09158003, 1.0]], ['2, k, 11', [-0.002427772, -0.128995, 1.0]], ['2, k, 12', [-0.2787693, -0.1119755, 1.0]], ['2, k, 13', [-0.2767542, -0.4672846, 1.0]], ['2, k, 14', [-0.2234738, -0.7805658, 1.0]], ['2, k, 15', [-0.2598811, -0.7046261, 1.0]], ['2, k, 16', [-0.1263041, -0.1097361, 1.0]], ['2, k, 17', [-0.06665462, -0.4892634, 1.0]], ['2, k, 18', [-0.1503904, -0.7715398, 1.0]], ['2, k, 19', [-0.04130529, -0.740799, 1.0]], ['2, k, 20', [-0.2146149, 0.420995, 1.0]], ['2, k, 21', [-0.4435885, -0.2071997, 1.0]], ['2, k, 22', [-0.4820592, -0.1274707, 1.0]], ['2, k, 23', [0.006403171, -0.1954783, 1.0]], ['2, k, 24', [-0.040866, -0.1220595, 1.0]]]
[['2, k, 0', [-0.2062582, -0.1127897, 1.0]], ['2, k, 1', [-0.2114052, 0.1962015, 1.0]], ['2, k, 2', [-0.2153939, 0.4938277, 1.0]], ['2, k, 3', [-0.2351008, 0.6211758, 1.0]], ['2, k, 4', [-0.3834027, 0.370911, 1.0]], ['2, k, 5', [-0.4131895, 0.11247, 1.0]], ['2, k, 6', [-0.4230842, -0.08628119, 1.0]], ['2, k, 7', [-0.4370989, -0.1164644, 1.0]], ['2, k, 8', [-0.06186052, 0.3785365, 1.0]], ['2, k, 9', [0.0008900145, 0.1192413, 1.0]], ['2, k, 10', [0.01897478, -0.09159272, 1.0]], ['2, k, 11', [-0.002662653, -0.1287919, 1.0]], ['2, k, 12', [-0.2788771, -0.11193, 1.0]], ['2, k, 13', [-0.2766904, -0.4675956, 1.0]], ['2, k, 14', [-0.2232954, -0.780811, 1.0]], ['2, k, 15', [-0.2597641, -0.7049426, 1.0]], ['2, k, 16', [-0.1263955, -0.1097027, 1.0]], ['2, k, 17', [-0.06724373, -0.4879993, 1.0]], ['2, k, 18', [-0.1509571, -0.7705926, 1.0]], ['2, k, 19', [-0.04163031, -0.7401799, 1.0]], ['2, k, 20', [-0.2146436, 0.4210212, 1.0]], ['2, k, 21', [-0.4425445, -0.1929912, 1.0]], ['2, k, 22', [-0.4773881, -0.1076737, 1.0]], ['2, k, 23', [0.005684163, -0.1955944, 1.0]], ['2, k, 24', [-0.04109586, -0.1429863, 1.0]]]
[['2, k, 0', [-0.2063753, -0.1127603, 1.0]], ['2, k, 1', [-0.2114088, 0.1962197, 1.0]], ['2, k, 2', [-0.2151954, 0.4938552, 1.0]], ['2, k, 3', [-0.2351111, 0.6211385, 1.0]], ['2, k, 4', [-0.3829351, 0.3716819, 1.0]], ['2, k, 5', [-0.4163018, 0.1216631, 1.0]], ['2, k, 6', [-0.421382, -0.06678309, 1.0]], ['2, k, 7', [-0.4350807, -0.089142, 1.0]], ['2, k, 8', [-0.0618369, 0.3785577, 1.0]], ['2, k, 9', [0.0009563555, 0.119108, 1.0]], ['2, k, 10', [0.0189502, -0.09172659, 1.0]], ['2, k, 11', [-0.002950405, -0.1288828, 1.0]], ['2, k, 12', [-0.2789815, -0.1118898, 1.0]], ['2, k, 13', [-0.2765929, -0.4671406, 1.0]], ['2, k, 14', [-0.2235225, -0.7803868, 1.0]], ['2, k, 15', [-0.2600924, -0.7047278, 1.0]], ['2, k, 16', [-0.1265158, -0.1096828, 1.0]], ['2, k, 17', [-0.0672986, -0.4876355, 1.0]], ['2, k, 18', [-0.1283865, -0.7845999, 1.0]], ['2, k, 19', [-0.02016938, -0.7414253, 1.0]], ['2, k, 20', [-0.2145209, 0.4210471, 1.0]], ['2, k, 21', [-0.438585, -0.1642246, 1.0]], ['2, k, 22', [-0.4793661, -0.08689558, 1.0]], ['2, k, 23', [0.004421442, -0.1957962, 1.0]], ['2, k, 24', [-0.04086239, -0.1166052, 1.0]]]
[['2, k, 0', [-0.2063688, -0.1127623, 1.0]], ['2, k, 1', [-0.2113289, 0.1962058, 1.0]], ['2, k, 2', [-0.2149483, 0.4938137, 1.0]], ['2, k, 3', [-0.2351234, 0.6210638, 1.0]], ['2, k, 4', [-0.3824418, 0.3717345, 1.0]], ['2, k, 5', [-0.4170581, 0.1291299, 1.0]], ['2, k, 6', [-0.4236841, -0.03418208, 1.0]], ['2, k, 7', [-0.4370239, -0.05627504, 1.0]], ['2, k, 8', [-0.06178937, 0.3784935, 1.0]], ['2, k, 9', [0.0008642758, 0.1193053, 1.0]], ['2, k, 10', [0.01898306, -0.09151168, 1.0]], ['2, k, 11', [-0.002983156, -0.1284159, 1.0]], ['2, k, 12', [-0.2789649, -0.1118677, 1.0]], ['2, k, 13', [-0.276484, -0.4670171, 1.0]], ['2, k, 14', [-0.2235826, -0.7803115, 1.0]], ['2, k, 15', [-0.2604625, -0.7048755, 1.0]], ['2, k, 16', [-0.1264939, -0.1097046, 1.0]], ['2, k, 17', [-0.06741337, -0.4873526, 1.0]], ['2, k, 18', [-0.1403229, -0.7679445, 1.0]], ['2, k, 19', [-0.03373574, -0.738215, 1.0]], ['2, k, 20', [-0.2143209, 0.4210137, 1.0]], ['2, k, 21', [-0.4382047, -0.1247596, 1.0]], ['2, k, 22', [-0.4852899, -0.05553667, 1.0]], ['2, k, 23', [0.002519203, -0.1960526, 1.0]], ['2, k, 24', [-0.04098234, -0.126695, 1.0]]]
[['2, k, 0', [-0.2060688, -0.1127527, 1.0]], ['2, k, 1', [-0.2111032, 0.1962377, 1.0]], ['2, k, 2', [-0.2147582, 0.4938636, 1.0]], ['2, k, 3', [-0.2350461, 0.6210279, 1.0]], ['2, k, 4', [-0.3818766, 0.3710454, 1.0]], ['2, k, 5', [-0.4189452, 0.1403709, 1.0]], ['2, k, 6', [-0.4280719, 0.005882953, 1.0]], ['2, k, 7', [-0.4427837, -0.01429779, 1.0]], ['2, k, 8', [-0.06179167, 0.3784693, 1.0]], ['2, k, 9', [0.001001637, 0.1199634, 1.0]], ['2, k, 10', [0.01900568, -0.09087057, 1.0]], ['2, k, 11', [-0.002940818, -0.1283194, 1.0]], ['2, k, 12', [-0.2786535, -0.1118694, 1.0]], ['2, k, 13', [-0.2763669, -0.4668351, 1.0]], ['2, k, 14', [-0.2237044, -0.7802092, 1.0]], ['2, k, 15', [-0.2604801, -0.7047001, 1.0]], ['2, k, 16', [-0.1260484, -0.1096725, 1.0]], ['2, k, 17', [-0.06687202, -0.4885317, 1.0]], ['2, k, 18', [-0.1403169, -0.7692127, 1.0]], ['2, k, 19', [-0.03379504, -0.7390155, 1.0]], ['2, k, 20', [-0.2141191, 0.4210594, 1.0]], ['2, k, 21', [-0.4400667, -0.06882109, 1.0]], ['2, k, 22', [-0.4867719, -0.01259952, 1.0]], ['2, k, 23', [0.005080039, -0.1953407, 1.0]], ['2, k, 24', [-0.04098358, -0.1256744, 1.0]]]
[['2, k, 0', [-0.2059864, -0.1127063, 1.0]], ['2, k, 1', [-0.2110752, 0.1962599, 1.0]], ['2, k, 2', [-0.2147822, 0.4938538, 1.0]], ['2, k, 3', [-0.2349298, 0.6210647, 1.0]], ['2, k, 4', [-0.3818837, 0.3710233, 1.0]], ['2, k, 5', [-0.4194007, 0.1573716, 1.0]], ['2, k, 6', [-0.4375351, 0.05758942, 1.0]], ['2, k, 7', [-0.4489951, 0.03572318, 1.0]], ['2, k, 8', [-0.06176737, 0.3786652, 1.0]], ['2, k, 9', [0.0009536705, 0.1201636, 1.0]], ['2, k, 10', [0.01901167, -0.09065035, 1.0]], ['2, k, 11', [-0.002911702, -0.1292649, 1.0]], ['2, k, 12', [-0.2785585, -0.1117428, 1.0]], ['2, k, 13', [-0.2763537, -0.4665047, 1.0]], ['2, k, 14', [-0.2244042, -0.7801228, 1.0]], ['2, k, 15', [-0.260708, -0.7042102, 1.0]], ['2, k, 16', [-0.1258991, -0.109641, 1.0]], ['2, k, 17', [-0.06689163, -0.4883627, 1.0]], ['2, k, 18', [-0.1483236, -0.7699653, 1.0]], ['2, k, 19', [-0.03981955, -0.739924, 1.0]], ['2, k, 20', [-0.2141274, 0.421059, 1.0]], ['2, k, 21', [-0.438847, -0.01293046, 1.0]], ['2, k, 22', [-0.4970207, 0.02832309, 1.0]], ['2, k, 23', [0.004793688, -0.1959064, 1.0]], ['2, k, 24', [-0.0408433, -0.1165312, 1.0]]]
[['2, k, 0', [-0.2058045, -0.1127492, 1.0]], ['2, k, 1', [-0.2110387, 0.19618, 1.0]], ['2, k, 2', [-0.2149172, 0.49372, 1.0]], ['2, k, 3', [-0.2345848, 0.6209971, 1.0]], ['2, k, 4', [-0.3819595, 0.3708264, 1.0]], ['2, k, 5', [-0.4191595, 0.1581129, 1.0]], ['2, k, 6', [-0.4433142, 0.1072013, 1.0]], ['2, k, 7', [-0.4521827, 0.09804145, 1.0]], ['2, k, 8', [-0.06169846, 0.3786758, 1.0]], ['2, k, 9', [0.00099293, 0.1203022, 1.0]], ['2, k, 10', [0.01896402, -0.09053018, 1.0]], ['2, k, 11', [-0.002732096, -0.1286908, 1.0]], ['2, k, 12', [-0.2783695, -0.1118267, 1.0]], ['2, k, 13', [-0.2763725, -0.4654862, 1.0]], ['2, k, 14', [-0.2244955, -0.7790532, 1.0]], ['2, k, 15', [-0.2612792, -0.7033887, 1.0]], ['2, k, 16', [-0.1257615, -0.1096568, 1.0]], ['2, k, 17', [-0.06666034, -0.488839, 1.0]], ['2, k, 18', [-0.1528814, -0.7702895, 1.0]], ['2, k, 19', [-0.04355025, -0.7406694, 1.0]], ['2, k, 20', [-0.2142156, 0.4209393, 1.0]], ['2, k, 21', [-0.452542, 0.0476161, 1.0]], ['2, k, 22', [-0.4943399, 0.1013361, 1.0]], ['2, k, 23', [0.005663149, -0.1952391, 1.0]], ['2, k, 24', [-0.0411345, -0.1259908, 1.0]]]
[['2, k, 0', [-0.2058243, -0.1126412, 1.0]], ['2, k, 1', [-0.211007, 0.1962295, 1.0]], ['2, k, 2', [-0.2147933, 0.4937185, 1.0]], ['2, k, 3', [-0.2344522, 0.6211348, 1.0]], ['2, k, 4', [-0.3821696, 0.370973, 1.0]], ['2, k, 5', [-0.4085132, 0.1569281, 1.0]], ['2, k, 6', [-0.4515273, 0.156693, 1.0]], ['2, k, 7', [-0.4585081, 0.152975, 1.0]], ['2, k, 8', [-0.06167326, 0.3791174, 1.0]], ['2, k, 9', [0.001085532, 0.1205219, 1.0]], ['2, k, 10', [0.01892745, -0.09030478, 1.0]], ['2, k, 11', [-0.003234013, -0.1289012, 1.0]], ['2, k, 12', [-0.2784066, -0.111587, 1.0]], ['2, k, 13', [-0.2763416, -0.4652109, 1.0]], ['2, k, 14', [-0.2250773, -0.7787328, 1.0]], ['2, k, 15', [-0.260029, -0.7023641, 1.0]], ['2, k, 16', [-0.1257928, -0.1095574, 1.0]], ['2, k, 17', [-0.06612609, -0.4900696, 1.0]], ['2, k, 18', [-0.1539467, -0.7711245, 1.0]], ['2, k, 19', [-0.04463439, -0.7409635, 1.0]], ['2, k, 20', [-0.2141205, 0.4209536, 1.0]], ['2, k, 21', [-0.4635572, 0.1023765, 1.0]], ['2, k, 22', [-0.5111943, 0.1565883, 1.0]], ['2, k, 23', [0.002751747, -0.1965872, 1.0]], ['2, k, 24', [-0.04185237, -0.1148485, 1.0]]]
[['2, k, 0', [-0.2055317, -0.1126926, 1.0]], ['2, k, 1', [-0.2108251, 0.1961643, 1.0]], ['2, k, 2', [-0.2146929, 0.4936453, 1.0]], ['2, k, 3', [-0.234107, 0.6212428, 1.0]], ['2, k, 4', [-0.382092, 0.3710322, 1.0]], ['2, k, 5', [-0.3985678, 0.1510726, 1.0]], ['2, k, 6', [-0.4450177, 0.2004086, 1.0]], ['2, k, 7', [-0.4623372, 0.2043272, 1.0]], ['2, k, 8', [-0.06159077, 0.378785, 1.0]], ['2, k, 9', [0.00102208, 0.1204901, 1.0]], ['2, k, 10', [0.01904531, -0.09032767, 1.0]], ['2, k, 11', [-0.003500191, -0.1293972, 1.0]], ['2, k, 12', [-0.2781533, -0.111628, 1.0]], ['2, k, 13', [-0.276388, -0.4654988, 1.0]], ['2, k, 14', [-0.2250456, -0.7789467, 1.0]], ['2, k, 15', [-0.2599689, -0.7026613, 1.0]], ['2, k, 16', [-0.125409, -0.1096406, 1.0]], ['2, k, 17', [-0.06577115, -0.4904816, 1.0]], ['2, k, 18', [-0.1337966, -0.7787816, 1.0]], ['2, k, 19', [-0.02697069, -0.7410395, 1.0]], ['2, k, 20', [-0.2140004, 0.4208805, 1.0]], ['2, k, 21', [-0.4739359, 0.2431555, 1.0]], ['2, k, 22', [-0.4371639, 0.2458566, 1.0]], ['2, k, 23', [0.003775239, -0.1962122, 1.0]], ['2, k, 24', [-0.04124606, -0.127194, 1.0]]]
