[['2, k, 0', [-0.1362455, -0.2296729, 1.0]], ['2, k, 1', [-0.1390218, -0.0004609629, 1.0]], ['2, k, 2', [-0.1441154, 0.2217676, 1.0]], ['2, k, 3', [-0.1377167, 0.3629149, 1.0]], ['2, k, 4', [-0.3016293, 0.1118098, 1.0]], ['2, k, 5', [-0.3491138, -0.1118954, 1.0]], ['2, k, 6', [-0.3447815, -0.3220817, 1.0]], ['2, k, 7', [-0.3480444, -0.3835663, 1.0]], ['2, k, 8', [0.02093526, 0.1148049, 1.0]], ['2, k, 9', [0.06227998, -0.08479086, 1.0]], ['2, k, 10', [0.06264682, -0.2133564, 1.0]], ['2, k, 11', [0.01925072, -0.2486506, 1.0]], ['2, k, 12', [-0.2099257, -0.2248375, 1.0]], ['2, k, 13', [-0.1724577, -0.375956, 1.0]], ['2, k, 14', [-0.1442067, -0.7312963, 1.0]], ['2, k, 15', [-0.1308459, -0.7923814, 1.0]], ['2, k, 16', [-0.05979552, -0.2294566, 1.0]], ['2, k, 17', [0.05980592, -0.3484155, 1.0]], ['2, k, 18', [0.09464785, -0.73651, 1.0]], ['2, k, 19', [0.09383737, -0.793842, 1.0]], ['2, k, 20', [-0.1422831, 0.1672152, 1.0]], ['2, k, 21', [-0.3472842, -0.4583178, 1.0]], ['2, k, 22', [-0.3897074, -0.3957169, 1.0]], ['2, k, 23', [0.02474718, -0.3078283, 1.0]], ['2, k, 24', [0.06619101, -0.2658243, 1.0]]]
[['2, k, 0', [-0.1337538, -0.2292237, 1.0]], ['2, k, 1', [-0.1389321, -0.0005056344, 1.0]], ['2, k, 2', [-0.1444416, 0.221749, 1.0]], ['2, k, 3', [-0.1392125, 0.3625744, 1.0]], ['2, k, 4', [-0.3015425, 0.1119875, 1.0]], ['2, k, 5', [-0.3488581, -0.1121059, 1.0]], ['2, k, 6', [-0.3447089, -0.3221982, 1.0]], ['2, k, 7', [-0.349242, -0.3829059, 1.0]], ['2, k, 8', [0.02069655, 0.1146655, 1.0]], ['2, k, 9', [0.06997764, -0.08153682, 1.0]], ['2, k, 10', [0.06630597, -0.155616, 1.0]], ['2, k, 11', [0.03779813, -0.1961122, 1.0]], ['2, k, 12', [-0.2072404, -0.2244921, 1.0]], ['2, k, 13', [-0.1725955, -0.3760027, 1.0]], ['2, k, 14', [-0.1442295, -0.7315148, 1.0]], ['2, k, 15', [-0.1308329, -0.7929192, 1.0]], ['2, k, 16', [-0.05746413, -0.2289298, 1.0]], ['2, k, 17', [0.05991201, -0.348909, 1.0]], ['2, k, 18', [0.09467173, -0.7364218, 1.0]], ['2, k, 19', [0.0938348, -0.7937567, 1.0]], ['2, k, 20', [-0.1425393, 0.1671638, 1.0]], ['2, k, 21', [-0.3544764, -0.4526244, 1.0]], ['2, k, 22', [-0.384877, -0.3758063, 1.0]], ['2, k, 23', [0.03151359, -0.2069583, 1.0]], ['2, k, 24', [0.04175484, -0.2568931, 1.0]]]
[['2, k, 0', [-0.1230748, -0.2270661, 1.0]], ['2, k, 1', [-0.1366432, 1.524397e-05, 1.0]], ['2, k, 2', [-0.1444705, 0.2218468, 1.0]], ['2, k, 3', [-0.140431, 0.362763, 1.0]], ['2, k, 4', [-0.3019584, 0.1115567, 1.0]], ['2, k, 5', [-0.3489549, -0.1114061, 1.0]], ['2, k, 6', [-0.3446136, -0.3220677, 1.0]], ['2, k, 7', [-0.3493158, -0.3874448, 1.0]], ['2, k, 8', [0.02048164, 0.1150873, 1.0]], ['2, k, 9', [0.08807561, -0.0716928, 1.0]], ['2, k, 10', [0.1112132, -0.101283, 1.0]], ['2, k, 11', [0.06756654, -0.1283004, 1.0]], ['2, k, 12', [-0.1957222, -0.2237542, 1.0]], ['2, k, 13', [-0.1727136, -0.376018, 1.0]], ['2, k, 14', [-0.1442795, -0.731546, 1.0]], ['2, k, 15', [-0.1308275, -0.7930047, 1.0]], ['2, k, 16', [-0.04743361, -0.2254521, 1.0]], ['2, k, 17', [0.06002685, -0.3510779, 1.0]], ['2, k, 18', [0.09461337, -0.7362835, 1.0]], ['2, k, 19', [0.09386031, -0.7935834, 1.0]], ['2, k, 20', [-0.1424654, 0.1672471, 1.0]], ['2, k, 21', [-0.3557446, -0.4539835, 1.0]], ['2, k, 22', [-0.3789087, -0.3733607, 1.0]], ['2, k, 23', [0.0601937, -0.1429017, 1.0]], ['2, k, 24', [0.09118016, -0.1536876, 1.0]]]
[['2, k, 0', [-0.1175813, -0.2255055, 1.0]], ['2, k, 1', [-0.1347655, 0.0006805308, 1.0]], ['2, k, 2', [-0.1446476, 0.222041, 1.0]], ['2, k, 3', [-0.1409141, 0.3627764, 1.0]], ['2, k, 4', [-0.3018177, 0.1118802, 1.0]], ['2, k, 5', [-0.3495214, -0.110338, 1.0]], ['2, k, 6', [-0.3446466, -0.3219633, 1.0]], ['2, k, 7', [-0.3488648, -0.3861398, 1.0]], ['2, k, 8', [0.01959383, 0.1147047, 1.0]], ['2, k, 9', [0.1318097, -0.03309119, 1.0]], ['2, k, 10', [0.1296268, -0.07714652, 1.0]], ['2, k, 11', [0.07630066, -0.0664277, 1.0]], ['2, k, 12', [-0.1905132, -0.2227645, 1.0]], ['2, k, 13', [-0.172732, -0.3760717, 1.0]], ['2, k, 14', [-0.1441781, -0.7315633, 1.0]], ['2, k, 15', [-0.1308582, -0.7927386, 1.0]], ['2, k, 16', [-0.0416815, -0.2232541, 1.0]], ['2, k, 17', [0.06003707, -0.3517471, 1.0]], ['2, k, 18', [0.09464467, -0.7360724, 1.0]], ['2, k, 19', [0.09383312, -0.793562, 1.0]], ['2, k, 20', [-0.142446, 0.1673839, 1.0]], ['2, k, 21', [-0.3568735, -0.4580628, 1.0]], ['2, k, 22', [-0.3835182, -0.3828198, 1.0]], ['2, k, 23', [0.07650826, -0.0598355, 1.0]], ['2, k, 24', [0.04057381, -0.05007978, 1.0]]]
[['2, k, 0', [-0.1143811, -0.2246292, 1.0]], ['2, k, 1', [-0.1334491, 0.0008856973, 1.0]], ['2, k, 2', [-0.1447924, 0.2220064, 1.0]], ['2, k, 3', [-0.1412331, 0.3627345, 1.0]], ['2, k, 4', [-0.3023022, 0.1119717, 1.0]], ['2, k, 5', [-0.349791, -0.110532, 1.0]], ['2, k, 6', [-0.3447967, -0.3216822, 1.0]], ['2, k, 7', [-0.3490824, -0.3883439, 1.0]], ['2, k, 8', [0.0177272, 0.1209283, 1.0]], ['2, k, 9', [0.1324223, -0.05670834, 1.0]], ['2, k, 10', [0.1208516, -0.02180177, 1.0]], ['2, k, 11', [0.1019832, 0.02010159, 1.0]], ['2, k, 12', [-0.1872172, -0.2227645, 1.0]], ['2, k, 13', [-0.1727177, -0.3762507, 1.0]], ['2, k, 14', [-0.143624, -0.7322366, 1.0]], ['2, k, 15', [-0.1308852, -0.7927651, 1.0]], ['2, k, 16', [-0.03865407, -0.22149, 1.0]], ['2, k, 17', [0.06023771, -0.3526903, 1.0]], ['2, k, 18', [0.09461232, -0.7360798, 1.0]], ['2, k, 19', [0.09394525, -0.7935065, 1.0]], ['2, k, 20', [-0.1424441, 0.1673818, 1.0]], ['2, k, 21', [-0.3515152, -0.4581445, 1.0]], ['2, k, 22', [-0.3891064, -0.3884786, 1.0]], ['2, k, 23', [0.09081344, 0.0354996, 1.0]], ['2, k, 24', [0.06834453, 0.04363452, 1.0]]]
[['2, k, 0', [-0.1129199, -0.2247254, 1.0]], ['2, k, 1', [-0.1326104, 0.0009611663, 1.0]], ['2, k, 2', [-0.144948, 0.2221014, 1.0]], ['2, k, 3', [-0.1414384, 0.3627043, 1.0]], ['2, k, 4', [-0.3019319, 0.1123629, 1.0]], ['2, k, 5', [-0.3493485, -0.1109675, 1.0]], ['2, k, 6', [-0.344796, -0.321499, 1.0]], ['2, k, 7', [-0.3490803, -0.3905542, 1.0]], ['2, k, 8', [0.01642129, 0.1186641, 1.0]], ['2, k, 9', [0.1504125, -0.0526106, 1.0]], ['2, k, 10', [0.1133207, 0.09004156, 1.0]], ['2, k, 11', [0.08667922, 0.1219627, 1.0]], ['2, k, 12', [-0.1859069, -0.2228381, 1.0]], ['2, k, 13', [-0.172802, -0.3765848, 1.0]], ['2, k, 14', [-0.1436339, -0.7322507, 1.0]], ['2, k, 15', [-0.130733, -0.7925417, 1.0]], ['2, k, 16', [-0.0369796, -0.2216456, 1.0]], ['2, k, 17', [0.06007215, -0.3529003, 1.0]], ['2, k, 18', [0.09460453, -0.7358847, 1.0]], ['2, k, 19', [0.09392469, -0.7933977, 1.0]], ['2, k, 20', [-0.1424398, 0.1674257, 1.0]], ['2, k, 21', [-0.352319, -0.4587875, 1.0]], ['2, k, 22', [-0.3871825, -0.3859139, 1.0]], ['2, k, 23', [0.08320147, 0.1435026, 1.0]], ['2, k, 24', [0.04531538, 0.1472765, 1.0]]]
[['2, k, 0', [-0.1105887, -0.2240957, 1.0]], ['2, k, 1', [-0.1308092, 0.001203148, 1.0]], ['2, k, 2', [-0.1448634, 0.2220872, 1.0]], ['2, k, 3', [-0.1415299, 0.3629076, 1.0]], ['2, k, 4', [-0.3013954, 0.1125542, 1.0]], ['2, k, 5', [-0.348471, -0.1121641, 1.0]], ['2, k, 6', [-0.3448033, -0.3215422, 1.0]], ['2, k, 7', [-0.3489975, -0.3915473, 1.0]], ['2, k, 8', [0.01845082, 0.11929, 1.0]], ['2, k, 9', [0.145377, 0.003968403, 1.0]], ['2, k, 10', [0.1052986, 0.1582811, 1.0]], ['2, k, 11', [0.08262687, 0.203328, 1.0]], ['2, k, 12', [-0.1835652, -0.2223233, 1.0]], ['2, k, 13', [-0.1728255, -0.3766669, 1.0]], ['2, k, 14', [-0.1436812, -0.732399, 1.0]], ['2, k, 15', [-0.1305138, -0.7926778, 1.0]], ['2, k, 16', [-0.03483334, -0.2209323, 1.0]], ['2, k, 17', [0.05996223, -0.3529786, 1.0]], ['2, k, 18', [0.09457581, -0.7357919, 1.0]], ['2, k, 19', [0.0939275, -0.7934199, 1.0]], ['2, k, 20', [-0.1420641, 0.1674316, 1.0]], ['2, k, 21', [-0.3498257, -0.4613479, 1.0]], ['2, k, 22', [-0.3854472, -0.3851203, 1.0]], ['2, k, 23', [0.05805079, 0.2496989, 1.0]], ['2, k, 24', [0.04455656, 0.2097719, 1.0]]]
[['2, k, 0', [-0.1102683, -0.224157, 1.0]], ['2, k, 1', [-0.1304493, 0.001336338, 1.0]], ['2, k, 2', [-0.1449716, 0.2223005, 1.0]], ['2, k, 3', [-0.1418098, 0.362788, 1.0]], ['2, k, 4', [-0.301247, 0.1121142, 1.0]], ['2, k, 5', [-0.3484878, -0.1124974, 1.0]], ['2, k, 6', [-0.344764, -0.3218378, 1.0]], ['2, k, 7', [-0.3500705, -0.3906463, 1.0]], ['2, k, 8', [0.01884619, 0.1209555, 1.0]], ['2, k, 9', [0.1479211, 0.001496467, 1.0]], ['2, k, 10', [0.1037003, 0.2085221, 1.0]], ['2, k, 11', [0.08764957, 0.2689077, 1.0]], ['2, k, 12', [-0.183252, -0.2225793, 1.0]], ['2, k, 13', [-0.1727942, -0.3768087, 1.0]], ['2, k, 14', [-0.1436696, -0.7324409, 1.0]], ['2, k, 15', [-0.1305301, -0.7927148, 1.0]], ['2, k, 16', [-0.03457044, -0.2208144, 1.0]], ['2, k, 17', [0.05992287, -0.3528067, 1.0]], ['2, k, 18', [0.09453662, -0.7355703, 1.0]], ['2, k, 19', [0.09392358, -0.7934268, 1.0]], ['2, k, 20', [-0.14203, 0.1676244, 1.0]], ['2, k, 21', [-0.3545785, -0.4594128, 1.0]], ['2, k, 22', [-0.379474, -0.3733166, 1.0]], ['2, k, 23', [0.06083362, 0.32539, 1.0]], ['2, k, 24', [0.05398013, 0.2665787, 1.0]]]
[['2, k, 0', [-0.1082887, -0.2238004, 1.0]], ['2, k, 1', [-0.1296983, 0.001518659, 1.0]], ['2, k, 2', [-0.1451183, 0.2223635, 1.0]], ['2, k, 3', [-0.1426494, 0.3622549, 1.0]], ['2, k, 4', [-0.3011174, 0.112168, 1.0]], ['2, k, 5', [-0.3476251, -0.1118235, 1.0]], ['2, k, 6', [-0.3445709, -0.3214548, 1.0]], ['2, k, 7', [-0.3498551, -0.3925079, 1.0]], ['2, k, 8', [0.01871882, 0.1220375, 1.0]], ['2, k, 9', [0.1423613, 0.03874573, 1.0]], ['2, k, 10', [0.1101319, 0.2386578, 1.0]], ['2, k, 11', [0.09554311, 0.3154303, 1.0]], ['2, k, 12', [-0.1812361, -0.2225927, 1.0]], ['2, k, 13', [-0.1727791, -0.376792, 1.0]], ['2, k, 14', [-0.1436142, -0.7324612, 1.0]], ['2, k, 15', [-0.1305191, -0.792744, 1.0]], ['2, k, 16', [-0.03269526, -0.2201026, 1.0]], ['2, k, 17', [0.05982507, -0.3529133, 1.0]], ['2, k, 18', [0.09440305, -0.7362208, 1.0]], ['2, k, 19', [0.09390197, -0.7936096, 1.0]], ['2, k, 20', [-0.1420251, 0.1676612, 1.0]], ['2, k, 21', [-0.3536435, -0.4601698, 1.0]], ['2, k, 22', [-0.3855067, -0.3853865, 1.0]], ['2, k, 23', [0.07708423, 0.3760119, 1.0]], ['2, k, 24', [0.07011399, 0.2817021, 1.0]]]
[['2, k, 0', [-0.1067278, -0.2234091, 1.0]], ['2, k, 1', [-0.1283717, 0.001619823, 1.0]], ['2, k, 2', [-0.1449006, 0.2222496, 1.0]], ['2, k, 3', [-0.1429165, 0.361596, 1.0]], ['2, k, 4', [-0.3004085, 0.1128629, 1.0]], ['2, k, 5', [-0.3480341, -0.1099088, 1.0]], ['2, k, 6', [-0.3445816, -0.3214045, 1.0]], ['2, k, 7', [-0.3504937, -0.3909731, 1.0]], ['2, k, 8', [0.01796595, 0.1227024, 1.0]], ['2, k, 9', [0.1426709, 0.05119371, 1.0]], ['2, k, 10', [0.1159676, 0.2731031, 1.0]], ['2, k, 11', [0.1037041, 0.344499, 1.0]], ['2, k, 12', [-0.1797128, -0.2226524, 1.0]], ['2, k, 13', [-0.1727962, -0.3769187, 1.0]], ['2, k, 14', [-0.1434955, -0.7325848, 1.0]], ['2, k, 15', [-0.1305864, -0.7927555, 1.0]], ['2, k, 16', [-0.03108291, -0.2192196, 1.0]], ['2, k, 17', [0.0597548, -0.3526073, 1.0]], ['2, k, 18', [0.09437022, -0.736316, 1.0]], ['2, k, 19', [0.093932, -0.7935507, 1.0]], ['2, k, 20', [-0.141518, 0.1675917, 1.0]], ['2, k, 21', [-0.3528466, -0.4578754, 1.0]], ['2, k, 22', [-0.3872692, -0.3846343, 1.0]], ['2, k, 23', [0.09465444, 0.3993932, 1.0]], ['2, k, 24', [0.06705033, 0.333423, 1.0]]]
[['2, k, 0', [-0.1074966, -0.2237483, 1.0]], ['2, k, 1', [-0.1285164, 0.001276157, 1.0]], ['2, k, 2', [-0.1451706, 0.2218051, 1.0]], ['2, k, 3', [-0.1436159, 0.3608769, 1.0]], ['2, k, 4', [-0.3002517, 0.1128843, 1.0]], ['2, k, 5', [-0.3476245, -0.109819, 1.0]], ['2, k, 6', [-0.344494, -0.3215479, 1.0]], ['2, k, 7', [-0.3467252, -0.3767815, 1.0]], ['2, k, 8', [0.01716795, 0.1237762, 1.0]], ['2, k, 9', [0.145926, 0.09908661, 1.0]], ['2, k, 10', [0.113788, 0.3057526, 1.0]], ['2, k, 11', [0.1113609, 0.3481933, 1.0]], ['2, k, 12', [-0.1807782, -0.2234082, 1.0]], ['2, k, 13', [-0.1728131, -0.3769741, 1.0]], ['2, k, 14', [-0.143388, -0.7326069, 1.0]], ['2, k, 15', [-0.1305818, -0.7928391, 1.0]], ['2, k, 16', [-0.03165713, -0.2192929, 1.0]], ['2, k, 17', [0.05974257, -0.3525495, 1.0]], ['2, k, 18', [0.09435812, -0.7363918, 1.0]], ['2, k, 19', [0.09396803, -0.7934982, 1.0]], ['2, k, 20', [-0.1416782, 0.1671938, 1.0]], ['2, k, 21', [-0.3508507, -0.4515257, 1.0]], ['2, k, 22', [-0.3847558, -0.3742256, 1.0]], ['2, k, 23', [0.1157323, 0.4103664, 1.0]], ['2, k, 24', [0.07313149, 0.3603459, 1.0]]]
