[['2, k, 0', [-0.559977, -0.501978, 1.0]], ['2, k, 1', [-0.563802, -0.353586, 1.0]], ['2, k, 2', [-0.565489, -0.206717, 1.0]], ['2, k, 3', [-0.58753, -0.072021, 1.0]], ['2, k, 4', [-0.696453, -0.298622, 1.0]], ['2, k, 5', [-0.783133, -0.459171, 1.0]], ['2, k, 6', [-0.848959, -0.532039, 1.0]], ['2, k, 7', [-0.790577, -0.525975, 1.0]], ['2, k, 8', [-0.397379, -0.251896, 1.0]], ['2, k, 9', [-0.384227, -0.453571, 1.0]], ['2, k, 10', [-0.197496, -0.3499, 1.0]], ['2, k, 11', [-0.154912, -0.324097, 1.0]], ['2, k, 12', [-0.622017, -0.507269, 1.0]], ['2, k, 13', [-0.291784, -0.267972, 1.0]], ['2, k, 14', [-0.65714, -0.425815, 1.0]], ['2, k, 15', [-0.691139, -0.461317, 1.0]], ['2, k, 16', [-0.4861, -0.486084, 1.0]], ['2, k, 17', [-0.28666, -0.261853, 1.0]], ['2, k, 18', [-0.53974, -0.411022, 1.0]], ['2, k, 19', [-0.573322, -0.42708, 1.0]], ['2, k, 20', [-0.56547, -0.243293, 1.0]], ['2, k, 21', [-0.776474, -0.533115, 1.0]], ['2, k, 22', [-0.750107, -0.508748, 1.0]], ['2, k, 23', [-0.123231, -0.30773, 1.0]], ['2, k, 24', [-0.191027, -0.277091, 1.0]]]
[['2, k, 0', [-0.60905, -0.681949, 1.0]], ['2, k, 1', [-0.587768, -0.441639, 1.0]], ['2, k, 2', [-0.566186, -0.20679, 1.0]], ['2, k, 3', [-0.589179, -0.0722383, 1.0]], ['2, k, 4', [-0.696427, -0.298465, 1.0]], ['2, k, 5', [-0.784002, -0.456016, 1.0]], ['2, k, 6', [-0.782394, -0.478084, 1.0]], ['2, k, 7', [-0.776774, -0.49217, 1.0]], ['2, k, 8', [-0.39993, -0.252988, 1.0]], ['2, k, 9', [-0.381254, -0.447999, 1.0]], ['2, k, 10', [-0.242043, -0.285992, 1.0]], ['2, k, 11', [-0.177445, -0.311436, 1.0]], ['2, k, 12', [-0.670461, -0.683862, 1.0]], ['2, k, 13', [-0.330548, -0.308303, 1.0]], ['2, k, 14', [-0.710054, -0.466748, 1.0]], ['2, k, 15', [-0.734627, -0.480764, 1.0]], ['2, k, 16', [-0.534161, -0.664954, 1.0]], ['2, k, 17', [-0.289588, -0.262189, 1.0]], ['2, k, 18', [-0.551228, -0.417362, 1.0]], ['2, k, 19', [-0.585811, -0.430069, 1.0]], ['2, k, 20', [-0.568336, -0.252394, 1.0]], ['2, k, 21', [-0.772249, -0.497039, 1.0]], ['2, k, 22', [-0.701935, -0.479907, 1.0]], ['2, k, 23', [-0.125272, -0.295145, 1.0]], ['2, k, 24', [-0.227446, -0.257584, 1.0]]]
[['2, k, 0', [-0.587622, -0.709539, 1.0]], ['2, k, 1', [-0.580505, -0.445111, 1.0]], ['2, k, 2', [-0.562649, -0.201754, 1.0]], ['2, k, 3', [-0.588008, -0.0717341, 1.0]], ['2, k, 4', [-0.688754, -0.28544, 1.0]], ['2, k, 5', [-0.789998, -0.452384, 1.0]], ['2, k, 6', [-0.766033, -0.448572, 1.0]], ['2, k, 7', [-0.777843, -0.459066, 1.0]], ['2, k, 8', [-0.403079, -0.225425, 1.0]], ['2, k, 9', [-0.392548, -0.424657, 1.0]], ['2, k, 10', [-0.18172, -0.341818, 1.0]], ['2, k, 11', [-0.153666, -0.314215, 1.0]], ['2, k, 12', [-0.649223, -0.713964, 1.0]], ['2, k, 13', [-0.420648, -0.294291, 1.0]], ['2, k, 14', [-0.761771, -0.516474, 1.0]], ['2, k, 15', [-0.768495, -0.490651, 1.0]], ['2, k, 16', [-0.513004, -0.69079, 1.0]], ['2, k, 17', [-0.288451, -0.270299, 1.0]], ['2, k, 18', [-0.456376, -0.478343, 1.0]], ['2, k, 19', [-0.537487, -0.469981, 1.0]], ['2, k, 20', [-0.566548, -0.252776, 1.0]], ['2, k, 21', [-0.768081, -0.462066, 1.0]], ['2, k, 22', [-0.700879, -0.447709, 1.0]], ['2, k, 23', [-0.0781043, -0.330996, 1.0]], ['2, k, 24', [-0.139352, -0.344558, 1.0]]]
[['2, k, 0', [-0.58225, -0.690869, 1.0]], ['2, k, 1', [-0.578204, -0.441088, 1.0]], ['2, k, 2', [-0.563525, -0.198108, 1.0]], ['2, k, 3', [-0.587347, -0.0712835, 1.0]], ['2, k, 4', [-0.687999, -0.281387, 1.0]], ['2, k, 5', [-0.790276, -0.431044, 1.0]], ['2, k, 6', [-0.746861, -0.382396, 1.0]], ['2, k, 7', [-0.779097, -0.422956, 1.0]], ['2, k, 8', [-0.401508, -0.225849, 1.0]], ['2, k, 9', [-0.39361, -0.418066, 1.0]], ['2, k, 10', [-0.205298, -0.308225, 1.0]], ['2, k, 11', [-0.142301, -0.305932, 1.0]], ['2, k, 12', [-0.643166, -0.693009, 1.0]], ['2, k, 13', [-0.447695, -0.262048, 1.0]], ['2, k, 14', [-0.80862, -0.487079, 1.0]], ['2, k, 15', [-0.795719, -0.462769, 1.0]], ['2, k, 16', [-0.509039, -0.674413, 1.0]], ['2, k, 17', [-0.279262, -0.260056, 1.0]], ['2, k, 18', [-0.467349, -0.505536, 1.0]], ['2, k, 19', [-0.545178, -0.482742, 1.0]], ['2, k, 20', [-0.566409, -0.252242, 1.0]], ['2, k, 21', [-0.772426, -0.425327, 1.0]], ['2, k, 22', [-0.693972, -0.411846, 1.0]], ['2, k, 23', [-0.0918285, -0.304048, 1.0]], ['2, k, 24', [-0.162018, -0.271369, 1.0]]]
[['2, k, 0', [-0.581805, -0.671869, 1.0]], ['2, k, 1', [-0.574604, -0.432886, 1.0]], ['2, k, 2', [-0.56173, -0.195529, 1.0]], ['2, k, 3', [-0.586359, -0.0694304, 1.0]], ['2, k, 4', [-0.701686, -0.285749, 1.0]], ['2, k, 5', [-0.813323, -0.470501, 1.0]], ['2, k, 6', [-0.766348, -0.402651, 1.0]], ['2, k, 7', [-0.786112, -0.388269, 1.0]], ['2, k, 8', [-0.395917, -0.226512, 1.0]], ['2, k, 9', [-0.376617, -0.41279, 1.0]], ['2, k, 10', [-0.1867, -0.296835, 1.0]], ['2, k, 11', [-0.141783, -0.295263, 1.0]], ['2, k, 12', [-0.642332, -0.67814, 1.0]], ['2, k, 13', [-0.730081, -0.280698, 1.0]], ['2, k, 14', [-0.88442, -0.470915, 1.0]], ['2, k, 15', [-0.816151, -0.424903, 1.0]], ['2, k, 16', [-0.509718, -0.651742, 1.0]], ['2, k, 17', [-0.266303, -0.266937, 1.0]], ['2, k, 18', [-0.0841295, -0.342197, 1.0]], ['2, k, 19', [-0.210052, -0.348852, 1.0]], ['2, k, 20', [-0.56521, -0.25115, 1.0]], ['2, k, 21', [-0.770292, -0.384044, 1.0]], ['2, k, 22', [-0.72035, -0.385963, 1.0]], ['2, k, 23', [-0.0926949, -0.287342, 1.0]], ['2, k, 24', [-0.153173, -0.267764, 1.0]]]
[['2, k, 0', [-0.744149, -0.558164, 1.0]], ['2, k, 1', [-0.656268, -0.369445, 1.0]], ['2, k, 2', [-0.563404, -0.191823, 1.0]], ['2, k, 3', [-0.586785, -0.0663989, 1.0]], ['2, k, 4', [-0.709847, -0.28479, 1.0]], ['2, k, 5', [-0.819313, -0.474456, 1.0]], ['2, k, 6', [-0.788519, -0.353266, 1.0]], ['2, k, 7', [-0.793639, -0.354526, 1.0]], ['2, k, 8', [-0.395984, -0.226196, 1.0]], ['2, k, 9', [-0.37628, -0.410892, 1.0]], ['2, k, 10', [-0.220139, -0.251236, 1.0]], ['2, k, 11', [-0.185029, -0.254544, 1.0]], ['2, k, 12', [-0.803595, -0.565218, 1.0]], ['2, k, 13', [-0.722059, -0.263647, 1.0]], ['2, k, 14', [-0.87736, -0.467669, 1.0]], ['2, k, 15', [-0.822279, -0.408987, 1.0]], ['2, k, 16', [-0.67044, -0.540419, 1.0]], ['2, k, 17', [-0.294142, -0.264404, 1.0]], ['2, k, 18', [-0.0795036, -0.297696, 1.0]], ['2, k, 19', [-0.205608, -0.307497, 1.0]], ['2, k, 20', [-0.585054, -0.233105, 1.0]], ['2, k, 21', [-0.773724, -0.348642, 1.0]], ['2, k, 22', [-0.738659, -0.359863, 1.0]], ['2, k, 23', [-0.133967, -0.262643, 1.0]], ['2, k, 24', [-0.206929, -0.240768, 1.0]]]
[['2, k, 0', [-0.574171, -0.56397, 1.0]], ['2, k, 1', [-0.570106, -0.380758, 1.0]], ['2, k, 2', [-0.563293, -0.192761, 1.0]], ['2, k, 3', [-0.58603, -0.0624694, 1.0]], ['2, k, 4', [-0.708267, -0.284898, 1.0]], ['2, k, 5', [-0.817589, -0.477267, 1.0]], ['2, k, 6', [-0.746603, -0.364866, 1.0]], ['2, k, 7', [-0.785695, -0.313276, 1.0]], ['2, k, 8', [-0.395362, -0.233364, 1.0]], ['2, k, 9', [-0.375544, -0.415637, 1.0]], ['2, k, 10', [-0.295212, -0.212867, 1.0]], ['2, k, 11', [-0.299012, -0.201182, 1.0]], ['2, k, 12', [-0.637009, -0.567708, 1.0]], ['2, k, 13', [-0.694822, -0.253385, 1.0]], ['2, k, 14', [-0.832552, -0.473797, 1.0]], ['2, k, 15', [-0.808681, -0.40766, 1.0]], ['2, k, 16', [-0.500729, -0.549822, 1.0]], ['2, k, 17', [-0.266516, -0.223654, 1.0]], ['2, k, 18', [-0.0848374, -0.287494, 1.0]], ['2, k, 19', [-0.211329, -0.291743, 1.0]], ['2, k, 20', [-0.574128, -0.239235, 1.0]], ['2, k, 21', [-0.767568, -0.304319, 1.0]], ['2, k, 22', [-0.701643, -0.303583, 1.0]], ['2, k, 23', [-0.292345, -0.19072, 1.0]], ['2, k, 24', [-0.335922, -0.186723, 1.0]]]
[['2, k, 0', [-0.491523, -0.520305, 1.0]], ['2, k, 1', [-0.491376, -0.340737, 1.0]], ['2, k, 2', [-0.489261, -0.162467, 1.0]], ['2, k, 3', [-0.586016, -0.0528886, 1.0]], ['2, k, 4', [-0.628294, -0.249481, 1.0]], ['2, k, 5', [-0.737937, -0.443525, 1.0]], ['2, k, 6', [-0.605074, -0.236424, 1.0]], ['2, k, 7', [-0.582827, -0.124476, 1.0]], ['2, k, 8', [-0.320207, -0.208974, 1.0]], ['2, k, 9', [-0.300154, -0.390283, 1.0]], ['2, k, 10', [-0.271377, -0.214561, 1.0]], ['2, k, 11', [-0.284213, -0.213382, 1.0]], ['2, k, 12', [-0.555691, -0.524621, 1.0]], ['2, k, 13', [-0.621266, -0.116221, 1.0]], ['2, k, 14', [-0.594857, -0.399845, 1.0]], ['2, k, 15', [-0.634619, -0.310208, 1.0]], ['2, k, 16', [-0.418414, -0.506518, 1.0]], ['2, k, 17', [-0.19584, -0.176992, 1.0]], ['2, k, 18', [-0.431745, -0.361009, 1.0]], ['2, k, 19', [-0.548337, -0.306774, 1.0]], ['2, k, 20', [-0.490153, -0.206873, 1.0]], ['2, k, 21', [-0.546773, -0.0602097, 1.0]], ['2, k, 22', [-0.524792, -0.128997, 1.0]], ['2, k, 23', [-0.299903, -0.187745, 1.0]], ['2, k, 24', [-0.322003, -0.204636, 1.0]]]
[['2, k, 0', [-0.757289, -0.364546, 1.0]], ['2, k, 1', [-0.653743, -0.274088, 1.0]], ['2, k, 2', [-0.549009, -0.183789, 1.0]], ['2, k, 3', [-0.58276, -0.0558019, 1.0]], ['2, k, 4', [-0.687921, -0.270755, 1.0]], ['2, k, 5', [-0.797662, -0.465333, 1.0]], ['2, k, 6', [-0.656447, -0.26357, 1.0]], ['2, k, 7', [-0.562304, -0.0636879, 1.0]], ['2, k, 8', [-0.379894, -0.230263, 1.0]], ['2, k, 9', [-0.359564, -0.411461, 1.0]], ['2, k, 10', [-0.461601, -0.187898, 1.0]], ['2, k, 11', [-0.518239, -0.103294, 1.0]], ['2, k, 12', [-0.819358, -0.370383, 1.0]], ['2, k, 13', [-0.687649, -0.177775, 1.0]], ['2, k, 14', [-0.401462, -0.0796292, 1.0]], ['2, k, 15', [-0.510033, -0.146052, 1.0]], ['2, k, 16', [-0.681886, -0.352289, 1.0]], ['2, k, 17', [-0.349913, -0.177329, 1.0]], ['2, k, 18', [-0.549373, -0.394567, 1.0]], ['2, k, 19', [-0.547886, -0.497754, 1.0]], ['2, k, 20', [-0.575451, -0.206367, 1.0]], ['2, k, 21', [-0.548794, -0.00526813, 1.0]], ['2, k, 22', [-0.542696, -0.100884, 1.0]], ['2, k, 23', [-0.526756, -0.0511954, 1.0]], ['2, k, 24', [-0.532287, -0.137926, 1.0]]]
[['2, k, 0', [-0.482824, -0.0483523, 1.0]], ['2, k, 1', [-0.481733, -0.0583336, 1.0]], ['2, k, 2', [-0.47899, -0.0679397, 1.0]], ['2, k, 3', [-0.506175, 0.0562837, 1.0]], ['2, k, 4', [-0.618033, -0.155097, 1.0]], ['2, k, 5', [-0.728435, -0.350757, 1.0]], ['2, k, 6', [-0.613728, -0.133633, 1.0]], ['2, k, 7', [-0.616877, -0.0682179, 1.0]], ['2, k, 8', [-0.309992, -0.11459, 1.0]], ['2, k, 9', [-0.290013, -0.296347, 1.0]], ['2, k, 10', [-0.472665, -0.142615, 1.0]], ['2, k, 11', [-0.540155, -0.0892739, 1.0]], ['2, k, 12', [-0.593526, 0.14426, 1.0]], ['2, k, 13', [-0.636992, -0.189744, 1.0]], ['2, k, 14', [-0.411474, -0.299141, 1.0]], ['2, k, 15', [-0.49975, -0.223867, 1.0]], ['2, k, 16', [-0.362579, -0.240122, 1.0]], ['2, k, 17', [-0.638244, -0.0530249, 1.0]], ['2, k, 18', [-0.398544, -0.214803, 1.0]], ['2, k, 19', [-0.352353, -0.196773, 1.0]], ['2, k, 20', [-0.479992, -0.0656009, 1.0]], ['2, k, 21', [-0.597976, 0.0127539, 1.0]], ['2, k, 22', [-0.572273, -0.0840965, 1.0]], ['2, k, 23', [-0.587172, -0.0284326, 1.0]], ['2, k, 24', [-0.561965, -0.145693, 1.0]]]
[['2, k, 0', [-0.528923, -0.773151, 1.0]], ['2, k, 1', [-0.528513, -0.479192, 1.0]], ['2, k, 2', [-0.525775, -0.188399, 1.0]], ['2, k, 3', [-0.534643, -0.0450911, 1.0]], ['2, k, 4', [-0.650957, -0.257205, 1.0]], ['2, k, 5', [-0.707557, -0.0467546, 1.0]], ['2, k, 6', [-0.657716, 0.151998, 1.0]], ['2, k, 7', [-0.621474, 0.194376, 1.0]], ['2, k, 8', [-0.356018, -0.24889, 1.0]], ['2, k, 9', [-0.139256, -0.179008, 1.0]], ['2, k, 10', [0.0288432, -0.0814462, 1.0]], ['2, k, 11', [0.0656136, -0.0165964, 1.0]], ['2, k, 12', [-0.590318, -0.766873, 1.0]], ['2, k, 13', [-0.580376, -1.03477, 1.0]], ['2, k, 14', [-0.567472, -1.44417, 1.0]], ['2, k, 15', [-0.523926, -1.56445, 1.0]], ['2, k, 16', [-0.456365, -0.763112, 1.0]], ['2, k, 17', [-0.398323, -1.06926, 1.0]], ['2, k, 18', [-0.363106, -1.47723, 1.0]], ['2, k, 19', [-0.398538, -1.55673, 1.0]], ['2, k, 20', [-0.526879, -0.260696, 1.0]], ['2, k, 21', [-0.584484, 0.23301, 1.0]], ['2, k, 22', [-0.659967, 0.213331, 1.0]], ['2, k, 23', [0.0974403, 0.00458666, 1.0]], ['2, k, 24', [-0.00384648, 0.0241283, 1.0]]]
