[['2, k, 0', [-0.2092362, -0.1079547, 1.0]], ['2, k, 1', [-0.2155548, 0.199783, 1.0]], ['2, k, 2', [-0.2199573, 0.4957892, 1.0]], ['2, k, 3', [-0.2256742, 0.6249147, 1.0]], ['2, k, 4', [-0.3788814, 0.3653932, 1.0]], ['2, k, 5', [-0.4698508, 0.1322313, 1.0]], ['2, k, 6', [-0.5488269, -0.02918586, 1.0]], ['2, k, 7', [-0.5540612, -0.02335573, 1.0]], ['2, k, 8', [-0.06102774, 0.3858597, 1.0]], ['2, k, 9', [0.003045949, 0.1752727, 1.0]], ['2, k, 10', [-0.03429735, -0.01171269, 1.0]], ['2, k, 11', [-0.08461205, -0.06205693, 1.0]], ['2, k, 12', [-0.2827783, -0.1073568, 1.0]], ['2, k, 13', [-0.2802875, -0.4385045, 1.0]], ['2, k, 14', [-0.2315603, -0.7503058, 1.0]], ['2, k, 15', [-0.288123, -0.7000869, 1.0]], ['2, k, 16', [-0.1280622, -0.1048753, 1.0]], ['2, k, 17', [-0.07459041, -0.4822873, 1.0]], ['2, k, 18', [0.04878711, -0.7542548, 1.0]], ['2, k, 19', [0.009116407, -0.7132974, 1.0]], ['2, k, 20', [-0.2191437, 0.4234069, 1.0]], ['2, k, 21', [-0.5547616, -0.09523851, 1.0]], ['2, k, 22', [-0.5723963, -0.07356767, 1.0]], ['2, k, 23', [-0.09088893, -0.1205039, 1.0]], ['2, k, 24', [-0.03125031, -0.07472967, 1.0]]]
[['2, k, 0', [-0.2092181, -0.1079118, 1.0]], ['2, k, 1', [-0.2155649, 0.1998502, 1.0]], ['2, k, 2', [-0.2200415, 0.4959225, 1.0]], ['2, k, 3', [-0.2259189, 0.6251712, 1.0]], ['2, k, 4', [-0.3789311, 0.3652723, 1.0]], ['2, k, 5', [-0.4698734, 0.1322724, 1.0]], ['2, k, 6', [-0.5487033, -0.02919394, 1.0]], ['2, k, 7', [-0.5536827, -0.02292972, 1.0]], ['2, k, 8', [-0.06007053, 0.38763, 1.0]], ['2, k, 9', [0.002642203, 0.1757361, 1.0]], ['2, k, 10', [-0.04690935, -0.005860262, 1.0]], ['2, k, 11', [-0.09523592, -0.05505998, 1.0]], ['2, k, 12', [-0.2827536, -0.107346, 1.0]], ['2, k, 13', [-0.2800925, -0.4447963, 1.0]], ['2, k, 14', [-0.2307768, -0.756367, 1.0]], ['2, k, 15', [-0.2830346, -0.6993234, 1.0]], ['2, k, 16', [-0.1280556, -0.1047319, 1.0]], ['2, k, 17', [-0.07512648, -0.4808969, 1.0]], ['2, k, 18', [0.04790655, -0.75319, 1.0]], ['2, k, 19', [0.006845351, -0.7123994, 1.0]], ['2, k, 20', [-0.219204, 0.4235219, 1.0]], ['2, k, 21', [-0.5532393, -0.09429722, 1.0]], ['2, k, 22', [-0.5722315, -0.07417181, 1.0]], ['2, k, 23', [-0.1053489, -0.1134111, 1.0]], ['2, k, 24', [-0.04426578, -0.09707206, 1.0]]]
[['2, k, 0', [-0.2091667, -0.1078011, 1.0]], ['2, k, 1', [-0.2155519, 0.1999834, 1.0]], ['2, k, 2', [-0.2200911, 0.496105, 1.0]], ['2, k, 3', [-0.2259789, 0.6253826, 1.0]], ['2, k, 4', [-0.3789237, 0.3648517, 1.0]], ['2, k, 5', [-0.4699264, 0.1322191, 1.0]], ['2, k, 6', [-0.548304, -0.02953363, 1.0]], ['2, k, 7', [-0.5530999, -0.02329017, 1.0]], ['2, k, 8', [-0.05936395, 0.3889513, 1.0]], ['2, k, 9', [0.002028267, 0.1759753, 1.0]], ['2, k, 10', [-0.05202888, -0.004420974, 1.0]], ['2, k, 11', [-0.1009962, -0.05371938, 1.0]], ['2, k, 12', [-0.2826625, -0.1073164, 1.0]], ['2, k, 13', [-0.2799563, -0.4420361, 1.0]], ['2, k, 14', [-0.2314316, -0.7536235, 1.0]], ['2, k, 15', [-0.2846173, -0.6988139, 1.0]], ['2, k, 16', [-0.1280603, -0.1044304, 1.0]], ['2, k, 17', [-0.07520655, -0.4806577, 1.0]], ['2, k, 18', [0.04750191, -0.7529292, 1.0]], ['2, k, 19', [0.007597856, -0.711778, 1.0]], ['2, k, 20', [-0.2192355, 0.4236915, 1.0]], ['2, k, 21', [-0.5550265, -0.09498941, 1.0]], ['2, k, 22', [-0.5736559, -0.07218839, 1.0]], ['2, k, 23', [-0.1135371, -0.1117194, 1.0]], ['2, k, 24', [-0.0472385, -0.0936134, 1.0]]]
[['2, k, 0', [-0.209146, -0.1077047, 1.0]], ['2, k, 1', [-0.2155253, 0.2002575, 1.0]], ['2, k, 2', [-0.2200832, 0.4966739, 1.0]], ['2, k, 3', [-0.2260309, 0.625889, 1.0]], ['2, k, 4', [-0.3787969, 0.3648341, 1.0]], ['2, k, 5', [-0.469911, 0.1322183, 1.0]], ['2, k, 6', [-0.5483144, -0.0294889, 1.0]], ['2, k, 7', [-0.5535595, -0.02417575, 1.0]], ['2, k, 8', [-0.05914451, 0.3898879, 1.0]], ['2, k, 9', [0.002345937, 0.177895, 1.0]], ['2, k, 10', [-0.1218674, -0.01983206, 1.0]], ['2, k, 11', [-0.1741266, -0.0690355, 1.0]], ['2, k, 12', [-0.2826287, -0.1072435, 1.0]], ['2, k, 13', [-0.2796969, -0.4396865, 1.0]], ['2, k, 14', [-0.2320803, -0.7514347, 1.0]], ['2, k, 15', [-0.2864957, -0.6988385, 1.0]], ['2, k, 16', [-0.1280585, -0.1042938, 1.0]], ['2, k, 17', [-0.07528689, -0.4804778, 1.0]], ['2, k, 18', [0.04748089, -0.7524586, 1.0]], ['2, k, 19', [0.007851448, -0.7119927, 1.0]], ['2, k, 20', [-0.2192207, 0.4241795, 1.0]], ['2, k, 21', [-0.5535695, -0.09577524, 1.0]], ['2, k, 22', [-0.5719601, -0.07436553, 1.0]], ['2, k, 23', [-0.2075645, -0.1304985, 1.0]], ['2, k, 24', [-0.1251603, -0.1203937, 1.0]]]
[['2, k, 0', [-0.2091755, -0.107429, 1.0]], ['2, k, 1', [-0.2155657, 0.2006873, 1.0]], ['2, k, 2', [-0.2201504, 0.4972667, 1.0]], ['2, k, 3', [-0.2260667, 0.6263092, 1.0]], ['2, k, 4', [-0.3787851, 0.3648486, 1.0]], ['2, k, 5', [-0.4699405, 0.1321557, 1.0]], ['2, k, 6', [-0.5483002, -0.02964711, 1.0]], ['2, k, 7', [-0.5537199, -0.02534563, 1.0]], ['2, k, 8', [-0.05890466, 0.3907783, 1.0]], ['2, k, 9', [0.002777897, 0.1789974, 1.0]], ['2, k, 10', [-0.09501609, 0.02309192, 1.0]], ['2, k, 11', [-0.1457104, -0.01603857, 1.0]], ['2, k, 12', [-0.2826214, -0.1071207, 1.0]], ['2, k, 13', [-0.2794845, -0.4370033, 1.0]], ['2, k, 14', [-0.2327657, -0.7490095, 1.0]], ['2, k, 15', [-0.2886658, -0.6990386, 1.0]], ['2, k, 16', [-0.1281553, -0.1038008, 1.0]], ['2, k, 17', [-0.07582828, -0.4793736, 1.0]], ['2, k, 18', [0.04639857, -0.7516667, 1.0]], ['2, k, 19', [0.008648854, -0.712965, 1.0]], ['2, k, 20', [-0.219281, 0.4247343, 1.0]], ['2, k, 21', [-0.555842, -0.09810186, 1.0]], ['2, k, 22', [-0.5750017, -0.07357049, 1.0]], ['2, k, 23', [-0.170906, -0.05661549, 1.0]], ['2, k, 24', [-0.07444361, -0.04713394, 1.0]]]
[['2, k, 0', [-0.20918, -0.1073374, 1.0]], ['2, k, 1', [-0.215565, 0.2008372, 1.0]], ['2, k, 2', [-0.2201502, 0.4974664, 1.0]], ['2, k, 3', [-0.2263931, 0.6265866, 1.0]], ['2, k, 4', [-0.3788207, 0.3644416, 1.0]], ['2, k, 5', [-0.4698904, 0.1320631, 1.0]], ['2, k, 6', [-0.547901, -0.03003047, 1.0]], ['2, k, 7', [-0.5534497, -0.02400973, 1.0]], ['2, k, 8', [-0.05881607, 0.391036, 1.0]], ['2, k, 9', [0.0008274153, 0.1822364, 1.0]], ['2, k, 10', [-0.121499, 0.02431525, 1.0]], ['2, k, 11', [-0.1729436, -0.01948106, 1.0]], ['2, k, 12', [-0.2825913, -0.1070616, 1.0]], ['2, k, 13', [-0.2791142, -0.4366985, 1.0]], ['2, k, 14', [-0.2329354, -0.7486596, 1.0]], ['2, k, 15', [-0.2886622, -0.698869, 1.0]], ['2, k, 16', [-0.128202, -0.1036614, 1.0]], ['2, k, 17', [-0.07621316, -0.4787472, 1.0]], ['2, k, 18', [0.04591023, -0.7511105, 1.0]], ['2, k, 19', [0.00767076, -0.7136036, 1.0]], ['2, k, 20', [-0.2192807, 0.4249236, 1.0]], ['2, k, 21', [-0.5550499, -0.09908962, 1.0]], ['2, k, 22', [-0.5731424, -0.07517126, 1.0]], ['2, k, 23', [-0.1944011, -0.08817004, 1.0]], ['2, k, 24', [-0.1178065, -0.0677993, 1.0]]]
[['2, k, 0', [-0.209319, -0.1072516, 1.0]], ['2, k, 1', [-0.2156693, 0.2010259, 1.0]], ['2, k, 2', [-0.2202154, 0.4978077, 1.0]], ['2, k, 3', [-0.2266581, 0.6269549, 1.0]], ['2, k, 4', [-0.3788807, 0.3645462, 1.0]], ['2, k, 5', [-0.4697276, 0.1320264, 1.0]], ['2, k, 6', [-0.5479892, -0.02992883, 1.0]], ['2, k, 7', [-0.5535522, -0.02422955, 1.0]], ['2, k, 8', [-0.05911197, 0.3907663, 1.0]], ['2, k, 9', [0.0005672268, 0.1821112, 1.0]], ['2, k, 10', [-0.12752, 0.02940519, 1.0]], ['2, k, 11', [-0.1764273, -0.0106381, 1.0]], ['2, k, 12', [-0.2826928, -0.1069826, 1.0]], ['2, k, 13', [-0.2791948, -0.4349358, 1.0]], ['2, k, 14', [-0.2326474, -0.7465688, 1.0]], ['2, k, 15', [-0.2890742, -0.699251, 1.0]], ['2, k, 16', [-0.1283892, -0.1035714, 1.0]], ['2, k, 17', [-0.07622503, -0.4787455, 1.0]], ['2, k, 18', [0.04544286, -0.751363, 1.0]], ['2, k, 19', [0.007619709, -0.7126985, 1.0]], ['2, k, 20', [-0.2193584, 0.4252239, 1.0]], ['2, k, 21', [-0.5547269, -0.09538592, 1.0]], ['2, k, 22', [-0.5744014, -0.07801725, 1.0]], ['2, k, 23', [-0.1916223, -0.08452067, 1.0]], ['2, k, 24', [-0.1158436, -0.05808993, 1.0]]]
[['2, k, 0', [-0.2095006, -0.1072967, 1.0]], ['2, k, 1', [-0.2157981, 0.2011371, 1.0]], ['2, k, 2', [-0.2203564, 0.4981279, 1.0]], ['2, k, 3', [-0.2270974, 0.627246, 1.0]], ['2, k, 4', [-0.3789003, 0.3643179, 1.0]], ['2, k, 5', [-0.4697228, 0.1320188, 1.0]], ['2, k, 6', [-0.5481205, -0.03007538, 1.0]], ['2, k, 7', [-0.5533204, -0.02397546, 1.0]], ['2, k, 8', [-0.05932735, 0.3897224, 1.0]], ['2, k, 9', [-0.001394748, 0.1811096, 1.0]], ['2, k, 10', [-0.1425743, 0.04176426, 1.0]], ['2, k, 11', [-0.1866214, 0.008500808, 1.0]], ['2, k, 12', [-0.282861, -0.106986, 1.0]], ['2, k, 13', [-0.2792432, -0.4347897, 1.0]], ['2, k, 14', [-0.2326658, -0.7464193, 1.0]], ['2, k, 15', [-0.2894122, -0.7001436, 1.0]], ['2, k, 16', [-0.1285888, -0.1036541, 1.0]], ['2, k, 17', [-0.0762647, -0.4787189, 1.0]], ['2, k, 18', [0.03534893, -0.7573956, 1.0]], ['2, k, 19', [0.01433711, -0.702948, 1.0]], ['2, k, 20', [-0.2194937, 0.4254794, 1.0]], ['2, k, 21', [-0.5544598, -0.0936167, 1.0]], ['2, k, 22', [-0.5735742, -0.08106838, 1.0]], ['2, k, 23', [-0.2155072, -0.04274763, 1.0]], ['2, k, 24', [-0.126137, -0.04429983, 1.0]]]
[['2, k, 0', [-0.209904, -0.1073845, 1.0]], ['2, k, 1', [-0.2159983, 0.2012092, 1.0]], ['2, k, 2', [-0.2204552, 0.4983197, 1.0]], ['2, k, 3', [-0.2273471, 0.6273755, 1.0]], ['2, k, 4', [-0.3789453, 0.3640556, 1.0]], ['2, k, 5', [-0.4697291, 0.132001, 1.0]], ['2, k, 6', [-0.5483018, -0.03007891, 1.0]], ['2, k, 7', [-0.5533519, -0.02268948, 1.0]], ['2, k, 8', [-0.06008788, 0.3887119, 1.0]], ['2, k, 9', [-0.001568555, 0.1807609, 1.0]], ['2, k, 10', [-0.145663, 0.08090489, 1.0]], ['2, k, 11', [-0.1893949, 0.05366638, 1.0]], ['2, k, 12', [-0.2832658, -0.1070493, 1.0]], ['2, k, 13', [-0.2791965, -0.4346865, 1.0]], ['2, k, 14', [-0.2316949, -0.745813, 1.0]], ['2, k, 15', [-0.2891243, -0.7016666, 1.0]], ['2, k, 16', [-0.1290087, -0.1037766, 1.0]], ['2, k, 17', [-0.07641148, -0.4786422, 1.0]], ['2, k, 18', [0.04573517, -0.750825, 1.0]], ['2, k, 19', [0.007194255, -0.7127609, 1.0]], ['2, k, 20', [-0.219614, 0.4256394, 1.0]], ['2, k, 21', [-0.5543685, -0.0953662, 1.0]], ['2, k, 22', [-0.5751733, -0.07227323, 1.0]], ['2, k, 23', [-0.2106631, 0.037544, 1.0]], ['2, k, 24', [-0.1340027, -0.00821125, 1.0]]]
[['2, k, 0', [-0.2100767, -0.1072805, 1.0]], ['2, k, 1', [-0.2160842, 0.2013263, 1.0]], ['2, k, 2', [-0.2204786, 0.4984534, 1.0]], ['2, k, 3', [-0.2277894, 0.6279253, 1.0]], ['2, k, 4', [-0.3788822, 0.3641143, 1.0]], ['2, k, 5', [-0.469755, 0.1319522, 1.0]], ['2, k, 6', [-0.5481207, -0.03036116, 1.0]], ['2, k, 7', [-0.5525458, -0.02419794, 1.0]], ['2, k, 8', [-0.06062346, 0.3872581, 1.0]], ['2, k, 9', [-0.0002457915, 0.1808454, 1.0]], ['2, k, 10', [-0.150195, 0.08083142, 1.0]], ['2, k, 11', [-0.1929105, 0.05612415, 1.0]], ['2, k, 12', [-0.2834605, -0.106877, 1.0]], ['2, k, 13', [-0.2791818, -0.434285, 1.0]], ['2, k, 14', [-0.231955, -0.7454731, 1.0]], ['2, k, 15', [-0.289396, -0.7016864, 1.0]], ['2, k, 16', [-0.1292301, -0.1036955, 1.0]], ['2, k, 17', [-0.07649177, -0.4786182, 1.0]], ['2, k, 18', [0.04619519, -0.7506053, 1.0]], ['2, k, 19', [0.008404113, -0.7148806, 1.0]], ['2, k, 20', [-0.2196522, 0.4257689, 1.0]], ['2, k, 21', [-0.5547726, -0.09483654, 1.0]], ['2, k, 22', [-0.5743296, -0.07314572, 1.0]], ['2, k, 23', [-0.223728, 0.05352747, 1.0]], ['2, k, 24', [-0.1715423, -0.000466167, 1.0]]]
[['2, k, 0', [-0.2102356, -0.1070336, 1.0]], ['2, k, 1', [-0.2161577, 0.2016077, 1.0]], ['2, k, 2', [-0.2204624, 0.4987776, 1.0]], ['2, k, 3', [-0.2280062, 0.6281239, 1.0]], ['2, k, 4', [-0.3786353, 0.364076, 1.0]], ['2, k, 5', [-0.4697371, 0.1319044, 1.0]], ['2, k, 6', [-0.5484111, -0.03070034, 1.0]], ['2, k, 7', [-0.5528002, -0.02486724, 1.0]], ['2, k, 8', [-0.06107089, 0.3870105, 1.0]], ['2, k, 9', [0.000245167, 0.1814257, 1.0]], ['2, k, 10', [-0.2054759, 0.07849153, 1.0]], ['2, k, 11', [-0.2318874, 0.07060959, 1.0]], ['2, k, 12', [-0.2835657, -0.1066441, 1.0]], ['2, k, 13', [-0.2792862, -0.4328968, 1.0]], ['2, k, 14', [-0.2321822, -0.7440891, 1.0]], ['2, k, 15', [-0.2903823, -0.7020511, 1.0]], ['2, k, 16', [-0.12948, -0.1033962, 1.0]], ['2, k, 17', [-0.07655092, -0.4785256, 1.0]], ['2, k, 18', [0.04647541, -0.7505581, 1.0]], ['2, k, 19', [0.007505246, -0.7154142, 1.0]], ['2, k, 20', [-0.2196599, 0.4260841, 1.0]], ['2, k, 21', [-0.5557524, -0.09661365, 1.0]], ['2, k, 22', [-0.5725675, -0.07813787, 1.0]], ['2, k, 23', [-0.2409364, 0.07285298, 1.0]], ['2, k, 24', [-0.254184, 0.04729734, 1.0]]]
