[['2, k, 0', [-0.121073, -0.381929, 1.0]], ['2, k, 1', [-0.113166, -0.119211, 1.0]], ['2, k, 2', [-0.104811, 0.13875, 1.0]], ['2, k, 3', [-0.0906701, 0.249739, 1.0]], ['2, k, 4', [-0.263399, 0.123484, 1.0]], ['2, k, 5', [-0.394267, -0.00530631, 1.0]], ['2, k, 6', [-0.431922, -0.0676958, 1.0]], ['2, k, 7', [-0.412763, -0.107523, 1.0]], ['2, k, 8', [0.0689633, 0.0896274, 1.0]], ['2, k, 9', [0.189608, -0.0320961, 1.0]], ['2, k, 10', [0.171101, -0.131155, 1.0]], ['2, k, 11', [0.144077, -0.161091, 1.0]], ['2, k, 12', [-0.195185, -0.369552, 1.0]], ['2, k, 13', [-0.249338, -0.730036, 1.0]], ['2, k, 14', [-0.258188, -1.04855, 1.0]], ['2, k, 15', [-0.240112, -1.10059, 1.0]], ['2, k, 16', [-0.0439943, -0.384948, 1.0]], ['2, k, 17', [-0.0118424, -0.671609, 1.0]], ['2, k, 18', [-0.0476657, -1.03069, 1.0]], ['2, k, 19', [-0.0116653, -1.08496, 1.0]], ['2, k, 20', [-0.106984, 0.074963, 1.0]], ['2, k, 21', [-0.395516, -0.135405, 1.0]], ['2, k, 22', [-0.366356, -0.105911, 1.0]], ['2, k, 23', [0.113508, -0.183534, 1.0]], ['2, k, 24', [0.190653, -0.177787, 1.0]]]
[['2, k, 0', [-0.120727, -0.381147, 1.0]], ['2, k, 1', [-0.113125, -0.118398, 1.0]], ['2, k, 2', [-0.105081, 0.139707, 1.0]], ['2, k, 3', [-0.0905175, 0.251449, 1.0]], ['2, k, 4', [-0.263348, 0.123541, 1.0]], ['2, k, 5', [-0.393285, -0.00419462, 1.0]], ['2, k, 6', [-0.43284, -0.0601616, 1.0]], ['2, k, 7', [-0.398733, -0.0997886, 1.0]], ['2, k, 8', [0.0690853, 0.0900103, 1.0]], ['2, k, 9', [0.190572, -0.0308505, 1.0]], ['2, k, 10', [0.175427, -0.116821, 1.0]], ['2, k, 11', [0.150513, -0.138333, 1.0]], ['2, k, 12', [-0.194882, -0.368916, 1.0]], ['2, k, 13', [-0.249299, -0.730023, 1.0]], ['2, k, 14', [-0.257737, -1.04892, 1.0]], ['2, k, 15', [-0.239788, -1.10085, 1.0]], ['2, k, 16', [-0.0436109, -0.38402, 1.0]], ['2, k, 17', [-0.0115958, -0.671136, 1.0]], ['2, k, 18', [-0.0455885, -1.02528, 1.0]], ['2, k, 19', [-0.0150483, -1.07774, 1.0]], ['2, k, 20', [-0.107169, 0.075874, 1.0]], ['2, k, 21', [-0.386888, -0.116533, 1.0]], ['2, k, 22', [-0.330587, -0.108245, 1.0]], ['2, k, 23', [0.121413, -0.159939, 1.0]], ['2, k, 24', [0.223818, -0.156296, 1.0]]]
[['2, k, 0', [-0.120809, -0.380233, 1.0]], ['2, k, 1', [-0.112512, -0.117834, 1.0]], ['2, k, 2', [-0.10299, 0.140152, 1.0]], ['2, k, 3', [-0.0898097, 0.25172, 1.0]], ['2, k, 4', [-0.263205, 0.123685, 1.0]], ['2, k, 5', [-0.399492, -0.0060747, 1.0]], ['2, k, 6', [-0.444427, -0.0367081, 1.0]], ['2, k, 7', [-0.395361, -0.0787971, 1.0]], ['2, k, 8', [0.0693362, 0.0910033, 1.0]], ['2, k, 9', [0.207915, -0.0137335, 1.0]], ['2, k, 10', [0.184435, -0.087086, 1.0]], ['2, k, 11', [0.145613, -0.118669, 1.0]], ['2, k, 12', [-0.194987, -0.36805, 1.0]], ['2, k, 13', [-0.249142, -0.724103, 1.0]], ['2, k, 14', [-0.259537, -1.04598, 1.0]], ['2, k, 15', [-0.239603, -1.09372, 1.0]], ['2, k, 16', [-0.0436861, -0.382926, 1.0]], ['2, k, 17', [-0.0115494, -0.671309, 1.0]], ['2, k, 18', [-0.0467073, -1.02865, 1.0]], ['2, k, 19', [-0.0255702, -1.08111, 1.0]], ['2, k, 20', [-0.105564, 0.0763713, 1.0]], ['2, k, 21', [-0.375683, -0.0961284, 1.0]], ['2, k, 22', [-0.332175, -0.0865056, 1.0]], ['2, k, 23', [0.103441, -0.136645, 1.0]], ['2, k, 24', [0.198361, -0.135298, 1.0]]]
[['2, k, 0', [-0.12097, -0.380084, 1.0]], ['2, k, 1', [-0.112552, -0.117727, 1.0]], ['2, k, 2', [-0.103016, 0.140321, 1.0]], ['2, k, 3', [-0.0893215, 0.252148, 1.0]], ['2, k, 4', [-0.262972, 0.124175, 1.0]], ['2, k, 5', [-0.394506, 0.00284265, 1.0]], ['2, k, 6', [-0.435517, -0.0216763, 1.0]], ['2, k, 7', [-0.393774, -0.0564526, 1.0]], ['2, k, 8', [0.0685011, 0.0921929, 1.0]], ['2, k, 9', [0.213904, -0.00587123, 1.0]], ['2, k, 10', [0.193115, -0.0647128, 1.0]], ['2, k, 11', [0.1594, -0.0925108, 1.0]], ['2, k, 12', [-0.19513, -0.367934, 1.0]], ['2, k, 13', [-0.249408, -0.724767, 1.0]], ['2, k, 14', [-0.258701, -1.04577, 1.0]], ['2, k, 15', [-0.238517, -1.09482, 1.0]], ['2, k, 16', [-0.0438547, -0.382764, 1.0]], ['2, k, 17', [-0.0115193, -0.671348, 1.0]], ['2, k, 18', [-0.0458248, -1.02958, 1.0]], ['2, k, 19', [-0.0273046, -1.08078, 1.0]], ['2, k, 20', [-0.105587, 0.0765196, 1.0]], ['2, k, 21', [-0.375342, -0.0747582, 1.0]], ['2, k, 22', [-0.333321, -0.0681877, 1.0]], ['2, k, 23', [0.12502, -0.113007, 1.0]], ['2, k, 24', [0.231183, -0.109704, 1.0]]]
[['2, k, 0', [-0.121034, -0.379803, 1.0]], ['2, k, 1', [-0.112504, -0.11784, 1.0]], ['2, k, 2', [-0.102799, 0.13929, 1.0]], ['2, k, 3', [-0.0881689, 0.252844, 1.0]], ['2, k, 4', [-0.262509, 0.124649, 1.0]], ['2, k, 5', [-0.397499, 0.0178009, 1.0]], ['2, k, 6', [-0.433203, -0.00199437, 1.0]], ['2, k, 7', [-0.392274, -0.0336156, 1.0]], ['2, k, 8', [0.0684069, 0.0934606, 1.0]], ['2, k, 9', [0.184202, 0.00508309, 1.0]], ['2, k, 10', [0.199947, -0.0432796, 1.0]], ['2, k, 11', [0.160094, -0.0679963, 1.0]], ['2, k, 12', [-0.195208, -0.367687, 1.0]], ['2, k, 13', [-0.249497, -0.725358, 1.0]], ['2, k, 14', [-0.258727, -1.04579, 1.0]], ['2, k, 15', [-0.238457, -1.09505, 1.0]], ['2, k, 16', [-0.0439114, -0.382468, 1.0]], ['2, k, 17', [-0.0113043, -0.671322, 1.0]], ['2, k, 18', [-0.0459812, -1.02451, 1.0]], ['2, k, 19', [-0.0264141, -1.07953, 1.0]], ['2, k, 20', [-0.105414, 0.0758111, 1.0]], ['2, k, 21', [-0.37136, -0.0512997, 1.0]], ['2, k, 22', [-0.325645, -0.0411578, 1.0]], ['2, k, 23', [0.129735, -0.0909469, 1.0]], ['2, k, 24', [0.221486, -0.0824928, 1.0]]]
[['2, k, 0', [-0.120975, -0.379723, 1.0]], ['2, k, 1', [-0.111958, -0.117578, 1.0]], ['2, k, 2', [-0.101496, 0.139809, 1.0]], ['2, k, 3', [-0.0868582, 0.254418, 1.0]], ['2, k, 4', [-0.261153, 0.127001, 1.0]], ['2, k, 5', [-0.39026, 0.027571, 1.0]], ['2, k, 6', [-0.397224, 0.012747, 1.0]], ['2, k, 7', [-0.387353, -0.0131279, 1.0]], ['2, k, 8', [0.0685844, 0.0967136, 1.0]], ['2, k, 9', [0.182545, 0.00985639, 1.0]], ['2, k, 10', [0.207832, -0.0209351, 1.0]], ['2, k, 11', [0.159723, -0.0425228, 1.0]], ['2, k, 12', [-0.195151, -0.36764, 1.0]], ['2, k, 13', [-0.249543, -0.725534, 1.0]], ['2, k, 14', [-0.259105, -1.04567, 1.0]], ['2, k, 15', [-0.238408, -1.09435, 1.0]], ['2, k, 16', [-0.0438523, -0.382362, 1.0]], ['2, k, 17', [-0.011126, -0.676641, 1.0]], ['2, k, 18', [-0.046003, -1.02458, 1.0]], ['2, k, 19', [-0.025308, -1.0791, 1.0]], ['2, k, 20', [-0.104305, 0.076245, 1.0]], ['2, k, 21', [-0.375186, -0.0284121, 1.0]], ['2, k, 22', [-0.318814, -0.0216699, 1.0]], ['2, k, 23', [0.130993, -0.0650832, 1.0]], ['2, k, 24', [0.221642, -0.0553678, 1.0]]]
[['2, k, 0', [-0.121105, -0.380312, 1.0]], ['2, k, 1', [-0.111677, -0.117401, 1.0]], ['2, k, 2', [-0.0998485, 0.142073, 1.0]], ['2, k, 3', [-0.0855922, 0.256788, 1.0]], ['2, k, 4', [-0.259415, 0.130534, 1.0]], ['2, k, 5', [-0.37557, 0.0449742, 1.0]], ['2, k, 6', [-0.364126, 0.0179101, 1.0]], ['2, k, 7', [-0.382938, 0.00728322, 1.0]], ['2, k, 8', [0.0686323, 0.0967494, 1.0]], ['2, k, 9', [0.186048, 0.0236249, 1.0]], ['2, k, 10', [0.182939, -0.0120104, 1.0]], ['2, k, 11', [0.162573, -0.0191178, 1.0]], ['2, k, 12', [-0.195202, -0.367904, 1.0]], ['2, k, 13', [-0.249522, -0.725312, 1.0]], ['2, k, 14', [-0.258659, -1.04612, 1.0]], ['2, k, 15', [-0.24011, -1.10206, 1.0]], ['2, k, 16', [-0.0440992, -0.383452, 1.0]], ['2, k, 17', [-0.0111595, -0.678445, 1.0]], ['2, k, 18', [-0.0460015, -1.02462, 1.0]], ['2, k, 19', [-0.023603, -1.07986, 1.0]], ['2, k, 20', [-0.103083, 0.0777549, 1.0]], ['2, k, 21', [-0.379998, -0.00824945, 1.0]], ['2, k, 22', [-0.313315, -0.000156464, 1.0]], ['2, k, 23', [0.133695, -0.0402926, 1.0]], ['2, k, 24', [0.222286, -0.0335782, 1.0]]]
[['2, k, 0', [-0.12095, -0.380385, 1.0]], ['2, k, 1', [-0.110519, -0.116149, 1.0]], ['2, k, 2', [-0.0975122, 0.145997, 1.0]], ['2, k, 3', [-0.0835946, 0.260887, 1.0]], ['2, k, 4', [-0.259366, 0.130877, 1.0]], ['2, k, 5', [-0.363431, 0.0533227, 1.0]], ['2, k, 6', [-0.358715, 0.0241964, 1.0]], ['2, k, 7', [-0.38013, 0.0269666, 1.0]], ['2, k, 8', [0.0690651, 0.0977555, 1.0]], ['2, k, 9', [0.187051, 0.0408633, 1.0]], ['2, k, 10', [0.159837, -0.00112903, 1.0]], ['2, k, 11', [0.16188, 0.00489772, 1.0]], ['2, k, 12', [-0.195016, -0.368019, 1.0]], ['2, k, 13', [-0.248732, -0.72214, 1.0]], ['2, k, 14', [-0.258081, -1.04555, 1.0]], ['2, k, 15', [-0.238477, -1.09941, 1.0]], ['2, k, 16', [-0.0439561, -0.383475, 1.0]], ['2, k, 17', [-0.0107909, -0.683232, 1.0]], ['2, k, 18', [-0.0460497, -1.02442, 1.0]], ['2, k, 19', [-0.0195072, -1.07993, 1.0]], ['2, k, 20', [-0.100985, 0.0809699, 1.0]], ['2, k, 21', [-0.385882, 0.012807, 1.0]], ['2, k, 22', [-0.307393, 0.0192844, 1.0]], ['2, k, 23', [0.138686, -0.0130653, 1.0]], ['2, k, 24', [0.226482, -0.00641009, 1.0]]]
[['2, k, 0', [-0.120917, -0.380384, 1.0]], ['2, k, 1', [-0.109947, -0.114198, 1.0]], ['2, k, 2', [-0.0966437, 0.150894, 1.0]], ['2, k, 3', [-0.0815232, 0.266186, 1.0]], ['2, k, 4', [-0.253824, 0.139873, 1.0]], ['2, k, 5', [-0.37714, 0.0836123, 1.0]], ['2, k, 6', [-0.358691, 0.0539555, 1.0]], ['2, k, 7', [-0.377534, 0.0466496, 1.0]], ['2, k, 8', [0.0692853, 0.0992896, 1.0]], ['2, k, 9', [0.156461, 0.0311841, 1.0]], ['2, k, 10', [0.135292, 0.00118221, 1.0]], ['2, k, 11', [0.158356, 0.0300293, 1.0]], ['2, k, 12', [-0.194912, -0.367815, 1.0]], ['2, k, 13', [-0.24889, -0.721574, 1.0]], ['2, k, 14', [-0.258501, -1.04548, 1.0]], ['2, k, 15', [-0.228923, -1.09524, 1.0]], ['2, k, 16', [-0.0439767, -0.383654, 1.0]], ['2, k, 17', [-0.0100574, -0.684773, 1.0]], ['2, k, 18', [-0.0457687, -1.02681, 1.0]], ['2, k, 19', [-0.022086, -1.08516, 1.0]], ['2, k, 20', [-0.100134, 0.0851326, 1.0]], ['2, k, 21', [-0.38346, 0.0299937, 1.0]], ['2, k, 22', [-0.306001, 0.0411905, 1.0]], ['2, k, 23', [0.164331, 0.0175281, 1.0]], ['2, k, 24', [0.220516, 0.0173318, 1.0]]]
[['2, k, 0', [-0.121108, -0.380114, 1.0]], ['2, k, 1', [-0.110498, -0.113723, 1.0]], ['2, k, 2', [-0.0981027, 0.151007, 1.0]], ['2, k, 3', [-0.0799632, 0.268425, 1.0]], ['2, k, 4', [-0.254255, 0.141011, 1.0]], ['2, k, 5', [-0.385223, 0.0138823, 1.0]], ['2, k, 6', [-0.35606, 0.0440243, 1.0]], ['2, k, 7', [-0.367994, 0.0670908, 1.0]], ['2, k, 8', [0.0696782, 0.105131, 1.0]], ['2, k, 9', [0.200644, 0.00898667, 1.0]], ['2, k, 10', [0.094841, 0.0373481, 1.0]], ['2, k, 11', [0.141061, 0.0540056, 1.0]], ['2, k, 12', [-0.194957, -0.367922, 1.0]], ['2, k, 13', [-0.248857, -0.725034, 1.0]], ['2, k, 14', [-0.258375, -1.04601, 1.0]], ['2, k, 15', [-0.231222, -1.0969, 1.0]], ['2, k, 16', [-0.0444618, -0.382325, 1.0]], ['2, k, 17', [-0.0100318, -0.686821, 1.0]], ['2, k, 18', [-0.0463171, -1.02671, 1.0]], ['2, k, 19', [-0.0265345, -1.08206, 1.0]], ['2, k, 20', [-0.10128, 0.0853848, 1.0]], ['2, k, 21', [-0.368678, 0.0632054, 1.0]], ['2, k, 22', [-0.289655, 0.05999, 1.0]], ['2, k, 23', [0.157745, 0.0429121, 1.0]], ['2, k, 24', [0.192166, 0.0490501, 1.0]]]
[['2, k, 0', [-0.121087, -0.380998, 1.0]], ['2, k, 1', [-0.110413, -0.113209, 1.0]], ['2, k, 2', [-0.0982086, 0.153114, 1.0]], ['2, k, 3', [-0.0783304, 0.27241, 1.0]], ['2, k, 4', [-0.248515, 0.141647, 1.0]], ['2, k, 5', [-0.388205, 0.0216225, 1.0]], ['2, k, 6', [-0.413945, 0.0462268, 1.0]], ['2, k, 7', [-0.375022, 0.086465, 1.0]], ['2, k, 8', [0.0686213, 0.106418, 1.0]], ['2, k, 9', [0.204247, 0.0110704, 1.0]], ['2, k, 10', [0.193463, 0.0536581, 1.0]], ['2, k, 11', [0.173498, 0.076258, 1.0]], ['2, k, 12', [-0.194973, -0.369999, 1.0]], ['2, k, 13', [-0.247997, -0.726521, 1.0]], ['2, k, 14', [-0.259139, -1.04782, 1.0]], ['2, k, 15', [-0.239022, -1.10132, 1.0]], ['2, k, 16', [-0.0443889, -0.382564, 1.0]], ['2, k, 17', [-0.00988612, -0.688857, 1.0]], ['2, k, 18', [-0.0451102, -1.02811, 1.0]], ['2, k, 19', [-0.0258236, -1.08207, 1.0]], ['2, k, 20', [-0.101321, 0.0870534, 1.0]], ['2, k, 21', [-0.360915, 0.0824582, 1.0]], ['2, k, 22', [-0.315263, 0.0686782, 1.0]], ['2, k, 23', [0.140573, 0.0725242, 1.0]], ['2, k, 24', [0.236713, 0.0674605, 1.0]]]
