[['2, k, 0', [0.0372114, -0.353782, 1.0]], ['2, k, 1', [0.0510859, -0.0469914, 1.0]], ['2, k, 2', [0.0644772, 0.254054, 1.0]], ['2, k, 3', [0.0739331, 0.393635, 1.0]], ['2, k, 4', [-0.0821768, 0.182601, 1.0]], ['2, k, 5', [-0.204444, 0.0893132, 1.0]], ['2, k, 6', [-0.215329, 0.0506787, 1.0]], ['2, k, 7', [-0.309126, 0.0671528, 1.0]], ['2, k, 8', [0.207059, 0.172053, 1.0]], ['2, k, 9', [0.314205, 0.076637, 1.0]], ['2, k, 10', [0.350141, 0.0460211, 1.0]], ['2, k, 11', [0.352506, 0.0258824, 1.0]], ['2, k, 12', [-0.0289476, -0.347504, 1.0]], ['2, k, 13', [-0.0707706, -0.790658, 1.0]], ['2, k, 14', [0.00986821, -0.723581, 1.0]], ['2, k, 15', [-0.0141027, -0.829653, 1.0]], ['2, k, 16', [0.102558, -0.352312, 1.0]], ['2, k, 17', [0.191169, -0.776409, 1.0]], ['2, k, 18', [0.194742, -1.08032, 1.0]], ['2, k, 19', [0.188668, -1.13496, 1.0]], ['2, k, 20', [0.0612063, 0.179598, 1.0]], ['2, k, 21', [-0.326656, 0.0514294, 1.0]], ['2, k, 22', [-0.280131, 0.0744198, 1.0]], ['2, k, 23', [0.37401, 0.000881293, 1.0]], ['2, k, 24', [0.397903, 0.0410955, 1.0]]]
[['2, k, 0', [0.0661307, -0.371233, 1.0]], ['2, k, 1', [0.0573746, -0.051506, 1.0]], ['2, k, 2', [0.0641004, 0.253938, 1.0]], ['2, k, 3', [0.0739298, 0.393806, 1.0]], ['2, k, 4', [-0.077508, 0.18932, 1.0]], ['2, k, 5', [-0.165802, 0.150425, 1.0]], ['2, k, 6', [-0.262524, 0.119406, 1.0]], ['2, k, 7', [-0.370201, 0.0950189, 1.0]], ['2, k, 8', [0.206473, 0.181184, 1.0]], ['2, k, 9', [0.313038, 0.125759, 1.0]], ['2, k, 10', [0.349249, 0.084129, 1.0]], ['2, k, 11', [0.355662, 0.0693299, 1.0]], ['2, k, 12', [0.000260337, -0.365965, 1.0]], ['2, k, 13', [-0.0746456, -0.862686, 1.0]], ['2, k, 14', [-0.0616658, -1.15019, 1.0]], ['2, k, 15', [-0.0985598, -1.23726, 1.0]], ['2, k, 16', [0.130603, -0.368337, 1.0]], ['2, k, 17', [0.224696, -0.782214, 1.0]], ['2, k, 18', [0.221671, -1.17385, 1.0]], ['2, k, 19', [0.22998, -1.23535, 1.0]], ['2, k, 20', [0.0613729, 0.179164, 1.0]], ['2, k, 21', [-0.423668, 0.0859712, 1.0]], ['2, k, 22', [-0.312307, 0.0918954, 1.0]], ['2, k, 23', [0.367315, 0.0434691, 1.0]], ['2, k, 24', [0.383502, 0.0771789, 1.0]]]
[['2, k, 0', [0.0657347, -0.362764, 1.0]], ['2, k, 1', [0.0623206, -0.0498346, 1.0]], ['2, k, 2', [0.0640957, 0.25444, 1.0]], ['2, k, 3', [0.0738932, 0.393787, 1.0]], ['2, k, 4', [-0.0707486, 0.166762, 1.0]], ['2, k, 5', [-0.163299, 0.153493, 1.0]], ['2, k, 6', [-0.2431, 0.1374, 1.0]], ['2, k, 7', [-0.319414, 0.135605, 1.0]], ['2, k, 8', [0.201673, 0.171088, 1.0]], ['2, k, 9', [0.303461, 0.149369, 1.0]], ['2, k, 10', [0.364115, 0.076565, 1.0]], ['2, k, 11', [0.362934, 0.103322, 1.0]], ['2, k, 12', [-0.000268049, -0.35943, 1.0]], ['2, k, 13', [-0.0738999, -0.833576, 1.0]], ['2, k, 14', [-0.0586447, -1.14903, 1.0]], ['2, k, 15', [-0.0511238, -1.25404, 1.0]], ['2, k, 16', [0.130249, -0.357889, 1.0]], ['2, k, 17', [0.184646, -0.705864, 1.0]], ['2, k, 18', [0.224269, -1.13238, 1.0]], ['2, k, 19', [0.278168, -1.23892, 1.0]], ['2, k, 20', [0.0618384, 0.17971, 1.0]], ['2, k, 21', [-0.418556, 0.138226, 1.0]], ['2, k, 22', [-0.362905, 0.127398, 1.0]], ['2, k, 23', [0.39495, 0.0757631, 1.0]], ['2, k, 24', [0.40436, 0.0962279, 1.0]]]
[['2, k, 0', [0.06598, -0.362502, 1.0]], ['2, k, 1', [0.061646, -0.0496285, 1.0]], ['2, k, 2', [0.0610275, 0.254703, 1.0]], ['2, k, 3', [0.0740086, 0.391851, 1.0]], ['2, k, 4', [-0.0614099, 0.141222, 1.0]], ['2, k, 5', [-0.203937, 0.139541, 1.0]], ['2, k, 6', [-0.236782, 0.136178, 1.0]], ['2, k, 7', [-0.267408, 0.170469, 1.0]], ['2, k, 8', [0.199654, 0.135448, 1.0]], ['2, k, 9', [0.303383, 0.135601, 1.0]], ['2, k, 10', [0.388997, 0.112426, 1.0]], ['2, k, 11', [0.485642, 0.138847, 1.0]], ['2, k, 12', [0.000230244, -0.358856, 1.0]], ['2, k, 13', [-0.0627988, -0.823534, 1.0]], ['2, k, 14', [-0.0728558, -1.20295, 1.0]], ['2, k, 15', [-0.0444246, -1.26722, 1.0]], ['2, k, 16', [0.130328, -0.35782, 1.0]], ['2, k, 17', [0.219754, -0.851808, 1.0]], ['2, k, 18', [0.221754, -1.20618, 1.0]], ['2, k, 19', [0.201416, -1.27344, 1.0]], ['2, k, 20', [0.0597416, 0.179831, 1.0]], ['2, k, 21', [-0.305865, 0.152931, 1.0]], ['2, k, 22', [-0.203305, 0.162034, 1.0]], ['2, k, 23', [0.557162, 0.120389, 1.0]], ['2, k, 24', [0.554345, 0.142567, 1.0]]]
[['2, k, 0', [0.0666388, -0.361213, 1.0]], ['2, k, 1', [0.0620669, -0.0502945, 1.0]], ['2, k, 2', [0.0594421, 0.251989, 1.0]], ['2, k, 3', [0.0740761, 0.391645, 1.0]], ['2, k, 4', [-0.0640583, 0.138244, 1.0]], ['2, k, 5', [-0.211782, 0.161369, 1.0]], ['2, k, 6', [-0.259561, 0.186563, 1.0]], ['2, k, 7', [-0.27496, 0.204467, 1.0]], ['2, k, 8', [0.201495, 0.136305, 1.0]], ['2, k, 9', [0.320187, 0.141112, 1.0]], ['2, k, 10', [0.375984, 0.12831, 1.0]], ['2, k, 11', [0.395955, 0.181723, 1.0]], ['2, k, 12', [0.00120323, -0.357864, 1.0]], ['2, k, 13', [-0.0214217, -0.700073, 1.0]], ['2, k, 14', [-0.0638577, -1.12895, 1.0]], ['2, k, 15', [-0.0505131, -1.24037, 1.0]], ['2, k, 16', [0.130624, -0.356184, 1.0]], ['2, k, 17', [0.181228, -0.698294, 1.0]], ['2, k, 18', [0.218761, -1.12735, 1.0]], ['2, k, 19', [0.202157, -1.23912, 1.0]], ['2, k, 20', [0.0590225, 0.17715, 1.0]], ['2, k, 21', [-0.323461, 0.189424, 1.0]], ['2, k, 22', [-0.222085, 0.199734, 1.0]], ['2, k, 23', [0.443358, 0.162091, 1.0]], ['2, k, 24', [0.454569, 0.183655, 1.0]]]
[['2, k, 0', [0.0671794, -0.359564, 1.0]], ['2, k, 1', [0.0634213, -0.050445, 1.0]], ['2, k, 2', [0.0609045, 0.250397, 1.0]], ['2, k, 3', [0.0736002, 0.393831, 1.0]], ['2, k, 4', [-0.074323, 0.159317, 1.0]], ['2, k, 5', [-0.191349, 0.18789, 1.0]], ['2, k, 6', [-0.247687, 0.186535, 1.0]], ['2, k, 7', [-0.283029, 0.240618, 1.0]], ['2, k, 8', [0.205661, 0.153133, 1.0]], ['2, k, 9', [0.319275, 0.146083, 1.0]], ['2, k, 10', [0.377634, 0.160145, 1.0]], ['2, k, 11', [0.375569, 0.214454, 1.0]], ['2, k, 12', [0.00231533, -0.355631, 1.0]], ['2, k, 13', [-0.0223833, -0.681149, 1.0]], ['2, k, 14', [-0.0635739, -1.11411, 1.0]], ['2, k, 15', [-0.0547648, -1.23377, 1.0]], ['2, k, 16', [0.130709, -0.35501, 1.0]], ['2, k, 17', [0.183278, -0.680349, 1.0]], ['2, k, 18', [0.219875, -1.11306, 1.0]], ['2, k, 19', [0.196527, -1.23718, 1.0]], ['2, k, 20', [0.0608855, 0.175804, 1.0]], ['2, k, 21', [-0.344394, 0.22695, 1.0]], ['2, k, 22', [-0.234664, 0.242598, 1.0]], ['2, k, 23', [0.367028, 0.209292, 1.0]], ['2, k, 24', [0.415041, 0.185067, 1.0]]]
[['2, k, 0', [0.0687004, -0.35409, 1.0]], ['2, k, 1', [0.0639231, -0.0496036, 1.0]], ['2, k, 2', [0.0609211, 0.250112, 1.0]], ['2, k, 3', [0.0734733, 0.403353, 1.0]], ['2, k, 4', [-0.0727069, 0.158141, 1.0]], ['2, k, 5', [-0.19118, 0.188138, 1.0]], ['2, k, 6', [-0.24667, 0.198863, 1.0]], ['2, k, 7', [-0.271832, 0.272901, 1.0]], ['2, k, 8', [0.207644, 0.158192, 1.0]], ['2, k, 9', [0.31782, 0.157092, 1.0]], ['2, k, 10', [0.349941, 0.201044, 1.0]], ['2, k, 11', [0.378551, 0.244933, 1.0]], ['2, k, 12', [0.00403548, -0.35194, 1.0]], ['2, k, 13', [-0.0654373, -0.790743, 1.0]], ['2, k, 14', [-0.0719666, -1.20549, 1.0]], ['2, k, 15', [-0.0506248, -1.26898, 1.0]], ['2, k, 16', [0.131772, -0.347741, 1.0]], ['2, k, 17', [0.182132, -0.672855, 1.0]], ['2, k, 18', [0.220396, -1.12263, 1.0]], ['2, k, 19', [0.20177, -1.24129, 1.0]], ['2, k, 20', [0.0610081, 0.175699, 1.0]], ['2, k, 21', [-0.281937, 0.276989, 1.0]], ['2, k, 22', [-0.196002, 0.266978, 1.0]], ['2, k, 23', [0.354514, 0.242367, 1.0]], ['2, k, 24', [0.413539, 0.221909, 1.0]]]
[['2, k, 0', [0.0687975, -0.34727, 1.0]], ['2, k, 1', [0.0643409, -0.0465849, 1.0]], ['2, k, 2', [0.0610355, 0.250573, 1.0]], ['2, k, 3', [0.0738596, 0.402967, 1.0]], ['2, k, 4', [-0.0789938, 0.175176, 1.0]], ['2, k, 5', [-0.192302, 0.19071, 1.0]], ['2, k, 6', [-0.245438, 0.235077, 1.0]], ['2, k, 7', [-0.269995, 0.299894, 1.0]], ['2, k, 8', [0.206688, 0.160288, 1.0]], ['2, k, 9', [0.316743, 0.16664, 1.0]], ['2, k, 10', [0.37416, 0.214323, 1.0]], ['2, k, 11', [0.410149, 0.27812, 1.0]], ['2, k, 12', [0.00475198, -0.340606, 1.0]], ['2, k, 13', [-0.0633071, -0.780294, 1.0]], ['2, k, 14', [-0.0740359, -1.20525, 1.0]], ['2, k, 15', [-0.037527, -1.27232, 1.0]], ['2, k, 16', [0.131506, -0.344449, 1.0]], ['2, k, 17', [0.181126, -0.669073, 1.0]], ['2, k, 18', [0.222933, -1.13141, 1.0]], ['2, k, 19', [0.188192, -1.25229, 1.0]], ['2, k, 20', [0.0612683, 0.176585, 1.0]], ['2, k, 21', [-0.278927, 0.308973, 1.0]], ['2, k, 22', [-0.203078, 0.300691, 1.0]], ['2, k, 23', [0.485242, 0.260129, 1.0]], ['2, k, 24', [0.449248, 0.258597, 1.0]]]
[['2, k, 0', [0.0688126, -0.347122, 1.0]], ['2, k, 1', [0.0641891, -0.046071, 1.0]], ['2, k, 2', [0.0605193, 0.251088, 1.0]], ['2, k, 3', [0.0731341, 0.401417, 1.0]], ['2, k, 4', [-0.0792178, 0.17797, 1.0]], ['2, k, 5', [-0.19819, 0.217601, 1.0]], ['2, k, 6', [-0.251527, 0.264382, 1.0]], ['2, k, 7', [-0.269331, 0.32989, 1.0]], ['2, k, 8', [0.207664, 0.166722, 1.0]], ['2, k, 9', [0.315513, 0.178421, 1.0]], ['2, k, 10', [0.373869, 0.21896, 1.0]], ['2, k, 11', [0.416643, 0.307689, 1.0]], ['2, k, 12', [0.00477173, -0.340543, 1.0]], ['2, k, 13', [-0.0629172, -0.780115, 1.0]], ['2, k, 14', [-0.0748181, -1.2045, 1.0]], ['2, k, 15', [-0.0370427, -1.27256, 1.0]], ['2, k, 16', [0.131495, -0.344346, 1.0]], ['2, k, 17', [0.182532, -0.668582, 1.0]], ['2, k, 18', [0.224409, -1.14101, 1.0]], ['2, k, 19', [0.206373, -1.26154, 1.0]], ['2, k, 20', [0.0609305, 0.177143, 1.0]], ['2, k, 21', [-0.303295, 0.336878, 1.0]], ['2, k, 22', [-0.206273, 0.329383, 1.0]], ['2, k, 23', [0.481434, 0.303161, 1.0]], ['2, k, 24', [0.484119, 0.295384, 1.0]]]
[['2, k, 0', [0.0686127, -0.346541, 1.0]], ['2, k, 1', [0.0640026, -0.0449593, 1.0]], ['2, k, 2', [0.0602865, 0.252043, 1.0]], ['2, k, 3', [0.0728628, 0.395758, 1.0]], ['2, k, 4', [-0.0792562, 0.177977, 1.0]], ['2, k, 5', [-0.1884, 0.215031, 1.0]], ['2, k, 6', [-0.240574, 0.269032, 1.0]], ['2, k, 7', [-0.274017, 0.361338, 1.0]], ['2, k, 8', [0.207168, 0.167225, 1.0]], ['2, k, 9', [0.312002, 0.185341, 1.0]], ['2, k, 10', [0.367174, 0.256937, 1.0]], ['2, k, 11', [0.404889, 0.336968, 1.0]], ['2, k, 12', [0.0047458, -0.340574, 1.0]], ['2, k, 13', [-0.0625572, -0.78029, 1.0]], ['2, k, 14', [-0.0747101, -1.20448, 1.0]], ['2, k, 15', [-0.0222671, -1.26977, 1.0]], ['2, k, 16', [0.130801, -0.342206, 1.0]], ['2, k, 17', [0.182755, -0.666359, 1.0]], ['2, k, 18', [0.225468, -1.14689, 1.0]], ['2, k, 19', [0.211237, -1.26031, 1.0]], ['2, k, 20', [0.0607752, 0.178289, 1.0]], ['2, k, 21', [-0.287708, 0.386047, 1.0]], ['2, k, 22', [-0.206924, 0.355458, 1.0]], ['2, k, 23', [0.443262, 0.351252, 1.0]], ['2, k, 24', [0.442725, 0.315582, 1.0]]]
[['2, k, 0', [0.0684036, -0.345851, 1.0]], ['2, k, 1', [0.0636786, -0.0441304, 1.0]], ['2, k, 2', [0.0597684, 0.252694, 1.0]], ['2, k, 3', [0.0724627, 0.38316, 1.0]], ['2, k, 4', [-0.0794314, 0.1792, 1.0]], ['2, k, 5', [-0.20074, 0.241238, 1.0]], ['2, k, 6', [-0.247581, 0.325459, 1.0]], ['2, k, 7', [-0.272101, 0.388006, 1.0]], ['2, k, 8', [0.207165, 0.167354, 1.0]], ['2, k, 9', [0.312566, 0.190278, 1.0]], ['2, k, 10', [0.368671, 0.262914, 1.0]], ['2, k, 11', [0.407763, 0.363006, 1.0]], ['2, k, 12', [0.00468789, -0.340446, 1.0]], ['2, k, 13', [-0.062366, -0.780202, 1.0]], ['2, k, 14', [-0.0745683, -1.20355, 1.0]], ['2, k, 15', [-0.022212, -1.26976, 1.0]], ['2, k, 16', [0.130491, -0.341293, 1.0]], ['2, k, 17', [0.182632, -0.665626, 1.0]], ['2, k, 18', [0.226415, -1.15261, 1.0]], ['2, k, 19', [0.195002, -1.22882, 1.0]], ['2, k, 20', [0.0603725, 0.179009, 1.0]], ['2, k, 21', [-0.278061, 0.424819, 1.0]], ['2, k, 22', [-0.206915, 0.383881, 1.0]], ['2, k, 23', [0.433146, 0.389825, 1.0]], ['2, k, 24', [0.466089, 0.359038, 1.0]]]
