[['2, k, 0', [-0.1777173, -0.1340688, 1.0]], ['2, k, 1', [-0.1765359, 0.1136596, 1.0]], ['2, k, 2', [-0.1749024, 0.355791, 1.0]], ['2, k, 3', [-0.1767007, 0.4864761, 1.0]], ['2, k, 4', [-0.321398, 0.2474707, 1.0]], ['2, k, 5', [-0.3863392, 0.01240235, 1.0]], ['2, k, 6', [-0.3759965, -0.1787159, 1.0]], ['2, k, 7', [-0.370891, -0.2038523, 1.0]], ['2, k, 8', [-0.02650147, 0.2508167, 1.0]], ['2, k, 9', [0.03787357, -0.01002361, 1.0]], ['2, k, 10', [0.08131265, -0.1993467, 1.0]], ['2, k, 11', [0.08946463, -0.2394611, 1.0]], ['2, k, 12', [-0.2447285, -0.1330504, 1.0]], ['2, k, 13', [-0.2668662, -0.269419, 1.0]], ['2, k, 14', [-0.2524258, -0.604427, 1.0]], ['2, k, 15', [-0.2480166, -0.6636724, 1.0]], ['2, k, 16', [-0.1068401, -0.1322345, 1.0]], ['2, k, 17', [0.01848437, -0.2663359, 1.0]], ['2, k, 18', [0.01248093, -0.6032802, 1.0]], ['2, k, 19', [0.02398022, -0.6637233, 1.0]], ['2, k, 20', [-0.175416, 0.2960209, 1.0]], ['2, k, 21', [-0.3628424, -0.2688841, 1.0]], ['2, k, 22', [-0.341314, -0.1944809, 1.0]], ['2, k, 23', [0.1010402, -0.306027, 1.0]], ['2, k, 24', [0.1151065, -0.254141, 1.0]]]
[['2, k, 0', [-0.1776559, -0.1341727, 1.0]], ['2, k, 1', [-0.1766959, 0.1135607, 1.0]], ['2, k, 2', [-0.1756633, 0.3557264, 1.0]], ['2, k, 3', [-0.1767977, 0.486673, 1.0]], ['2, k, 4', [-0.3217227, 0.2474148, 1.0]], ['2, k, 5', [-0.3860721, 0.01371275, 1.0]], ['2, k, 6', [-0.3759516, -0.1717782, 1.0]], ['2, k, 7', [-0.3667677, -0.2011592, 1.0]], ['2, k, 8', [-0.02695117, 0.2506776, 1.0]], ['2, k, 9', [0.04016929, -0.009367691, 1.0]], ['2, k, 10', [0.08314588, -0.1963726, 1.0]], ['2, k, 11', [0.091661, -0.2371177, 1.0]], ['2, k, 12', [-0.2447025, -0.133212, 1.0]], ['2, k, 13', [-0.2668546, -0.2693398, 1.0]], ['2, k, 14', [-0.2522452, -0.6043879, 1.0]], ['2, k, 15', [-0.2484818, -0.6637459, 1.0]], ['2, k, 16', [-0.1067197, -0.1323172, 1.0]], ['2, k, 17', [0.01870156, -0.2666153, 1.0]], ['2, k, 18', [0.0123824, -0.6034995, 1.0]], ['2, k, 19', [0.02429922, -0.6636308, 1.0]], ['2, k, 20', [-0.1759904, 0.2959355, 1.0]], ['2, k, 21', [-0.3596929, -0.2635738, 1.0]], ['2, k, 22', [-0.3454277, -0.2008672, 1.0]], ['2, k, 23', [0.1026032, -0.3062063, 1.0]], ['2, k, 24', [0.1114136, -0.22067, 1.0]]]
[['2, k, 0', [-0.1780937, -0.1342188, 1.0]], ['2, k, 1', [-0.1777078, 0.1135893, 1.0]], ['2, k, 2', [-0.1774554, 0.3559602, 1.0]], ['2, k, 3', [-0.1774322, 0.4872289, 1.0]], ['2, k, 4', [-0.3218131, 0.2474333, 1.0]], ['2, k, 5', [-0.3862003, 0.0138255, 1.0]], ['2, k, 6', [-0.3771373, -0.1670232, 1.0]], ['2, k, 7', [-0.366473, -0.2001124, 1.0]], ['2, k, 8', [-0.02698878, 0.2499619, 1.0]], ['2, k, 9', [0.04283791, 0.002993464, 1.0]], ['2, k, 10', [0.09246748, -0.1933005, 1.0]], ['2, k, 11', [0.0962903, -0.2370285, 1.0]], ['2, k, 12', [-0.2452815, -0.1331417, 1.0]], ['2, k, 13', [-0.2668335, -0.2693042, 1.0]], ['2, k, 14', [-0.2524855, -0.6042044, 1.0]], ['2, k, 15', [-0.2484729, -0.6639124, 1.0]], ['2, k, 16', [-0.1070491, -0.1324459, 1.0]], ['2, k, 17', [0.01899219, -0.2665808, 1.0]], ['2, k, 18', [0.01279288, -0.6032057, 1.0]], ['2, k, 19', [0.02399808, -0.6636263, 1.0]], ['2, k, 20', [-0.1775908, 0.2961098, 1.0]], ['2, k, 21', [-0.3623932, -0.257996, 1.0]], ['2, k, 22', [-0.3431958, -0.2070303, 1.0]], ['2, k, 23', [0.1084679, -0.3033554, 1.0]], ['2, k, 24', [0.122315, -0.230021, 1.0]]]
[['2, k, 0', [-0.1782048, -0.1341282, 1.0]], ['2, k, 1', [-0.1780137, 0.1137488, 1.0]], ['2, k, 2', [-0.1779901, 0.3562258, 1.0]], ['2, k, 3', [-0.1779125, 0.4874977, 1.0]], ['2, k, 4', [-0.3240344, 0.2481871, 1.0]], ['2, k, 5', [-0.3864716, 0.01444492, 1.0]], ['2, k, 6', [-0.3735708, -0.1737462, 1.0]], ['2, k, 7', [-0.3540109, -0.2015944, 1.0]], ['2, k, 8', [-0.02738189, 0.249947, 1.0]], ['2, k, 9', [0.04718756, 0.005805268, 1.0]], ['2, k, 10', [0.09543356, -0.1695364, 1.0]], ['2, k, 11', [0.09912227, -0.2232591, 1.0]], ['2, k, 12', [-0.2454326, -0.1330553, 1.0]], ['2, k, 13', [-0.2668864, -0.2692682, 1.0]], ['2, k, 14', [-0.2524845, -0.6041145, 1.0]], ['2, k, 15', [-0.248856, -0.6639279, 1.0]], ['2, k, 16', [-0.1071217, -0.1323459, 1.0]], ['2, k, 17', [0.02111834, -0.2634627, 1.0]], ['2, k, 18', [0.01263445, -0.6034899, 1.0]], ['2, k, 19', [0.02429933, -0.6650188, 1.0]], ['2, k, 20', [-0.1780811, 0.2963544, 1.0]], ['2, k, 21', [-0.3579639, -0.2529029, 1.0]], ['2, k, 22', [-0.3133383, -0.1924142, 1.0]], ['2, k, 23', [0.1176085, -0.2888947, 1.0]], ['2, k, 24', [0.1329709, -0.2508691, 1.0]]]
[['2, k, 0', [-0.1784347, -0.1340749, 1.0]], ['2, k, 1', [-0.1788255, 0.113858, 1.0]], ['2, k, 2', [-0.1797622, 0.3564269, 1.0]], ['2, k, 3', [-0.1784444, 0.4865354, 1.0]], ['2, k, 4', [-0.3240664, 0.2483085, 1.0]], ['2, k, 5', [-0.3861413, 0.01563474, 1.0]], ['2, k, 6', [-0.3718245, -0.1607129, 1.0]], ['2, k, 7', [-0.3509072, -0.1964804, 1.0]], ['2, k, 8', [-0.02817212, 0.2505747, 1.0]], ['2, k, 9', [0.05402428, 0.01514289, 1.0]], ['2, k, 10', [0.09994464, -0.1580933, 1.0]], ['2, k, 11', [0.1040669, -0.198551, 1.0]], ['2, k, 12', [-0.2457802, -0.1329596, 1.0]], ['2, k, 13', [-0.2670446, -0.2690148, 1.0]], ['2, k, 14', [-0.2527111, -0.6040275, 1.0]], ['2, k, 15', [-0.2492602, -0.6638033, 1.0]], ['2, k, 16', [-0.1072504, -0.1323181, 1.0]], ['2, k, 17', [0.02216862, -0.2622778, 1.0]], ['2, k, 18', [0.01241047, -0.6033786, 1.0]], ['2, k, 19', [0.02437187, -0.6649739, 1.0]], ['2, k, 20', [-0.1796072, 0.2965356, 1.0]], ['2, k, 21', [-0.3496016, -0.2545024, 1.0]], ['2, k, 22', [-0.3060323, -0.1863677, 1.0]], ['2, k, 23', [0.1288838, -0.2564274, 1.0]], ['2, k, 24', [0.1396709, -0.19783, 1.0]]]
[['2, k, 0', [-0.1788789, -0.1338611, 1.0]], ['2, k, 1', [-0.1792899, 0.1149943, 1.0]], ['2, k, 2', [-0.1791437, 0.3597606, 1.0]], ['2, k, 3', [-0.1787155, 0.4871847, 1.0]], ['2, k, 4', [-0.3256033, 0.2482548, 1.0]], ['2, k, 5', [-0.385966, 0.01758764, 1.0]], ['2, k, 6', [-0.3650732, -0.1562988, 1.0]], ['2, k, 7', [-0.3489935, -0.1928423, 1.0]], ['2, k, 8', [-0.02962312, 0.2518762, 1.0]], ['2, k, 9', [0.05942729, 0.0490854, 1.0]], ['2, k, 10', [0.1210838, -0.09475053, 1.0]], ['2, k, 11', [0.1333207, -0.1313253, 1.0]], ['2, k, 12', [-0.2463131, -0.1328043, 1.0]], ['2, k, 13', [-0.2673415, -0.2688469, 1.0]], ['2, k, 14', [-0.2530743, -0.6037743, 1.0]], ['2, k, 15', [-0.2496087, -0.6635813, 1.0]], ['2, k, 16', [-0.1076073, -0.1320501, 1.0]], ['2, k, 17', [0.02147875, -0.2642508, 1.0]], ['2, k, 18', [0.01228654, -0.6043632, 1.0]], ['2, k, 19', [0.02396621, -0.6652339, 1.0]], ['2, k, 20', [-0.179406, 0.2992366, 1.0]], ['2, k, 21', [-0.345597, -0.2482729, 1.0]], ['2, k, 22', [-0.3068364, -0.1862578, 1.0]], ['2, k, 23', [0.154772, -0.1769194, 1.0]], ['2, k, 24', [0.1591268, -0.119299, 1.0]]]
[['2, k, 0', [-0.1791583, -0.1334658, 1.0]], ['2, k, 1', [-0.1796239, 0.1157482, 1.0]], ['2, k, 2', [-0.179285, 0.3603975, 1.0]], ['2, k, 3', [-0.1791765, 0.4874035, 1.0]], ['2, k, 4', [-0.3267844, 0.2484713, 1.0]], ['2, k, 5', [-0.3866085, 0.02449511, 1.0]], ['2, k, 6', [-0.3649684, -0.1487935, 1.0]], ['2, k, 7', [-0.3488117, -0.1872417, 1.0]], ['2, k, 8', [-0.032576, 0.2549302, 1.0]], ['2, k, 9', [0.05918296, 0.127072, 1.0]], ['2, k, 10', [0.1273817, 0.02333794, 1.0]], ['2, k, 11', [0.1452515, -0.01534037, 1.0]], ['2, k, 12', [-0.2466177, -0.1325705, 1.0]], ['2, k, 13', [-0.2674259, -0.268796, 1.0]], ['2, k, 14', [-0.2529666, -0.6037438, 1.0]], ['2, k, 15', [-0.2493703, -0.6637287, 1.0]], ['2, k, 16', [-0.1079032, -0.1313597, 1.0]], ['2, k, 17', [0.02141342, -0.2640611, 1.0]], ['2, k, 18', [0.01253265, -0.6036961, 1.0]], ['2, k, 19', [0.02390474, -0.6634812, 1.0]], ['2, k, 20', [-0.1795908, 0.299961, 1.0]], ['2, k, 21', [-0.3465231, -0.2454314, 1.0]], ['2, k, 22', [-0.3055117, -0.1840779, 1.0]], ['2, k, 23', [0.1585994, -0.06501532, 1.0]], ['2, k, 24', [0.1891472, -0.0637314, 1.0]]]
[['2, k, 0', [-0.1791635, -0.1334127, 1.0]], ['2, k, 1', [-0.1808638, 0.1157971, 1.0]], ['2, k, 2', [-0.1830835, 0.3598273, 1.0]], ['2, k, 3', [-0.1793194, 0.4861003, 1.0]], ['2, k, 4', [-0.3270843, 0.2484416, 1.0]], ['2, k, 5', [-0.3867595, 0.02478299, 1.0]], ['2, k, 6', [-0.3642185, -0.1466286, 1.0]], ['2, k, 7', [-0.3428937, -0.1841859, 1.0]], ['2, k, 8', [-0.03535713, 0.2572013, 1.0]], ['2, k, 9', [0.05925512, 0.1617138, 1.0]], ['2, k, 10', [0.1273926, 0.07452779, 1.0]], ['2, k, 11', [0.1536675, 0.03689142, 1.0]], ['2, k, 12', [-0.2466309, -0.1325737, 1.0]], ['2, k, 13', [-0.2676743, -0.2686095, 1.0]], ['2, k, 14', [-0.2531543, -0.6031206, 1.0]], ['2, k, 15', [-0.2496105, -0.6634666, 1.0]], ['2, k, 16', [-0.1078563, -0.1311203, 1.0]], ['2, k, 17', [0.02148735, -0.2640035, 1.0]], ['2, k, 18', [0.01269486, -0.6022881, 1.0]], ['2, k, 19', [0.02409454, -0.6635612, 1.0]], ['2, k, 20', [-0.1826053, 0.2995981, 1.0]], ['2, k, 21', [-0.3343037, -0.2389135, 1.0]], ['2, k, 22', [-0.2998826, -0.1701981, 1.0]], ['2, k, 23', [0.1790974, -0.01170088, 1.0]], ['2, k, 24', [0.1906399, 0.0097606, 1.0]]]
[['2, k, 0', [-0.1790117, -0.1323536, 1.0]], ['2, k, 1', [-0.1812125, 0.1165937, 1.0]], ['2, k, 2', [-0.1837959, 0.3602103, 1.0]], ['2, k, 3', [-0.1796968, 0.4870612, 1.0]], ['2, k, 4', [-0.3277824, 0.2492733, 1.0]], ['2, k, 5', [-0.3907877, 0.03461141, 1.0]], ['2, k, 6', [-0.3631867, -0.1364125, 1.0]], ['2, k, 7', [-0.342885, -0.1729478, 1.0]], ['2, k, 8', [-0.04268602, 0.2669022, 1.0]], ['2, k, 9', [0.07801509, 0.2623454, 1.0]], ['2, k, 10', [0.1279598, 0.1985638, 1.0]], ['2, k, 11', [0.143693, 0.2526879, 1.0]], ['2, k, 12', [-0.2465519, -0.1321257, 1.0]], ['2, k, 13', [-0.2683465, -0.2675247, 1.0]], ['2, k, 14', [-0.2532583, -0.6028131, 1.0]], ['2, k, 15', [-0.2492273, -0.6635779, 1.0]], ['2, k, 16', [-0.1075612, -0.1290464, 1.0]], ['2, k, 17', [0.02190314, -0.2630923, 1.0]], ['2, k, 18', [0.01296872, -0.6016347, 1.0]], ['2, k, 19', [0.02389876, -0.6638526, 1.0]], ['2, k, 20', [-0.1832402, 0.3000939, 1.0]], ['2, k, 21', [-0.3428414, -0.2237978, 1.0]], ['2, k, 22', [-0.3087651, -0.163113, 1.0]], ['2, k, 23', [0.1733812, 0.2399503, 1.0]], ['2, k, 24', [0.144736, 0.258793, 1.0]]]
[['2, k, 0', [-0.1786328, -0.1314028, 1.0]], ['2, k, 1', [-0.1814615, 0.1175836, 1.0]], ['2, k, 2', [-0.1845704, 0.361223, 1.0]], ['2, k, 3', [-0.1796496, 0.4861256, 1.0]], ['2, k, 4', [-0.3274966, 0.2499048, 1.0]], ['2, k, 5', [-0.3902824, 0.03751196, 1.0]], ['2, k, 6', [-0.3622221, -0.1350344, 1.0]], ['2, k, 7', [-0.3424613, -0.1697756, 1.0]], ['2, k, 8', [-0.04516571, 0.2704687, 1.0]], ['2, k, 9', [0.07596087, 0.2951975, 1.0]], ['2, k, 10', [0.1200972, 0.3133568, 1.0]], ['2, k, 11', [0.1396597, 0.313804, 1.0]], ['2, k, 12', [-0.2463377, -0.1316412, 1.0]], ['2, k, 13', [-0.2691637, -0.265961, 1.0]], ['2, k, 14', [-0.2529613, -0.6025922, 1.0]], ['2, k, 15', [-0.2493543, -0.6641266, 1.0]], ['2, k, 16', [-0.1070111, -0.1276955, 1.0]], ['2, k, 17', [0.0220482, -0.2629682, 1.0]], ['2, k, 18', [0.01374745, -0.6024472, 1.0]], ['2, k, 19', [0.02509372, -0.6649425, 1.0]], ['2, k, 20', [-0.1838814, 0.301091, 1.0]], ['2, k, 21', [-0.3431799, -0.2223577, 1.0]], ['2, k, 22', [-0.3040824, -0.1610048, 1.0]], ['2, k, 23', [0.1615624, 0.3173005, 1.0]], ['2, k, 24', [0.1606108, 0.3048213, 1.0]]]
[['2, k, 0', [-0.177655, -0.1299688, 1.0]], ['2, k, 1', [-0.1811714, 0.1184977, 1.0]], ['2, k, 2', [-0.1846164, 0.3617133, 1.0]], ['2, k, 3', [-0.1795683, 0.4859696, 1.0]], ['2, k, 4', [-0.3254125, 0.2511974, 1.0]], ['2, k, 5', [-0.3901525, 0.03802216, 1.0]], ['2, k, 6', [-0.3526357, -0.1513565, 1.0]], ['2, k, 7', [-0.3319208, -0.1851974, 1.0]], ['2, k, 8', [-0.04437436, 0.2759857, 1.0]], ['2, k, 9', [0.05906538, 0.3643343, 1.0]], ['2, k, 10', [0.1215175, 0.3641105, 1.0]], ['2, k, 11', [0.1380619, 0.4364274, 1.0]], ['2, k, 12', [-0.2455612, -0.1307188, 1.0]], ['2, k, 13', [-0.2695525, -0.2653399, 1.0]], ['2, k, 14', [-0.2553045, -0.6019009, 1.0]], ['2, k, 15', [-0.2494693, -0.6638362, 1.0]], ['2, k, 16', [-0.1058419, -0.1258187, 1.0]], ['2, k, 17', [0.02231544, -0.2629879, 1.0]], ['2, k, 18', [0.01355064, -0.6021601, 1.0]], ['2, k, 19', [0.02523726, -0.6647877, 1.0]], ['2, k, 20', [-0.1838657, 0.3016747, 1.0]], ['2, k, 21', [-0.3284586, -0.2384005, 1.0]], ['2, k, 22', [-0.2926794, -0.173845, 1.0]], ['2, k, 23', [0.1781638, 0.4387447, 1.0]], ['2, k, 24', [0.1628528, 0.42263, 1.0]]]
