[['2, k, 0', [0.03781053, -0.01518386, 1.0]], ['2, k, 1', [0.03946309, 0.2286131, 1.0]], ['2, k, 2', [0.04004328, 0.465017, 1.0]], ['2, k, 3', [0.06805135, 0.6108379, 1.0]], ['2, k, 4', [-0.1496139, 0.4062978, 1.0]], ['2, k, 5', [-0.2153379, 0.2058084, 1.0]], ['2, k, 6', [-0.005631469, 0.1499278, 1.0]], ['2, k, 7', [0.04146602, 0.1989405, 1.0]], ['2, k, 8', [0.2224711, 0.3747358, 1.0]], ['2, k, 9', [0.2760807, 0.1266427, 1.0]], ['2, k, 10', [0.1065743, 0.2170958, 1.0]], ['2, k, 11', [0.05536721, 0.2091614, 1.0]], ['2, k, 12', [-0.0354522, -0.01049781, 1.0]], ['2, k, 13', [-0.1007666, -0.2974391, 1.0]], ['2, k, 14', [-0.07307123, -0.6147866, 1.0]], ['2, k, 15', [-0.04236099, -0.6573742, 1.0]], ['2, k, 16', [0.1092245, -0.01976878, 1.0]], ['2, k, 17', [0.1650263, -0.3041157, 1.0]], ['2, k, 18', [0.1043162, -0.6167067, 1.0]], ['2, k, 19', [0.09307124, -0.6580104, 1.0]], ['2, k, 20', [0.03968353, 0.4069925, 1.0]], ['2, k, 21', [0.09192146, 0.2182757, 1.0]], ['2, k, 22', [0.05436463, 0.1481551, 1.0]], ['2, k, 23', [0.02065904, 0.2209434, 1.0]], ['2, k, 24', [0.04676961, 0.2710095, 1.0]]]
[['2, k, 0', [0.03776712, -0.01533, 1.0]], ['2, k, 1', [0.03946889, 0.2286247, 1.0]], ['2, k, 2', [0.040209, 0.4651666, 1.0]], ['2, k, 3', [0.06796889, 0.6108069, 1.0]], ['2, k, 4', [-0.1496409, 0.4062029, 1.0]], ['2, k, 5', [-0.2152637, 0.2117727, 1.0]], ['2, k, 6', [-0.06050209, 0.2197294, 1.0]], ['2, k, 7', [0.037437, 0.2180607, 1.0]], ['2, k, 8', [0.2224068, 0.3748813, 1.0]], ['2, k, 9', [0.2760583, 0.1266782, 1.0]], ['2, k, 10', [0.1058491, 0.217317, 1.0]], ['2, k, 11', [0.05552041, 0.2125176, 1.0]], ['2, k, 12', [-0.03545891, -0.01061038, 1.0]], ['2, k, 13', [-0.1007717, -0.2976537, 1.0]], ['2, k, 14', [-0.07325998, -0.6147988, 1.0]], ['2, k, 15', [-0.04172342, -0.6575811, 1.0]], ['2, k, 16', [0.1091791, -0.01991849, 1.0]], ['2, k, 17', [0.1651554, -0.3057486, 1.0]], ['2, k, 18', [0.103968, -0.6181391, 1.0]], ['2, k, 19', [0.09310567, -0.6580918, 1.0]], ['2, k, 20', [0.03980821, 0.4071014, 1.0]], ['2, k, 21', [0.09331494, 0.2249652, 1.0]], ['2, k, 22', [0.0427836, 0.1631879, 1.0]], ['2, k, 23', [0.01959608, 0.227809, 1.0]], ['2, k, 24', [0.09062611, 0.2242613, 1.0]]]
[['2, k, 0', [0.03761045, -0.0156643, 1.0]], ['2, k, 1', [0.03941423, 0.2286247, 1.0]], ['2, k, 2', [0.04015755, 0.4653213, 1.0]], ['2, k, 3', [0.06797321, 0.6107978, 1.0]], ['2, k, 4', [-0.1496459, 0.4061036, 1.0]], ['2, k, 5', [-0.2164937, 0.2150411, 1.0]], ['2, k, 6', [-0.02498033, 0.2635499, 1.0]], ['2, k, 7', [0.03560253, 0.2322524, 1.0]], ['2, k, 8', [0.2224344, 0.3750036, 1.0]], ['2, k, 9', [0.2758458, 0.1256742, 1.0]], ['2, k, 10', [0.1056846, 0.2202984, 1.0]], ['2, k, 11', [0.05494887, 0.2197421, 1.0]], ['2, k, 12', [-0.0355532, -0.01085426, 1.0]], ['2, k, 13', [-0.100779, -0.2971732, 1.0]], ['2, k, 14', [-0.0732754, -0.6145523, 1.0]], ['2, k, 15', [-0.04215258, -0.6572332, 1.0]], ['2, k, 16', [0.1090129, -0.02029163, 1.0]], ['2, k, 17', [0.1650324, -0.3063004, 1.0]], ['2, k, 18', [0.103833, -0.6186907, 1.0]], ['2, k, 19', [0.09346998, -0.6580805, 1.0]], ['2, k, 20', [0.03976726, 0.4072022, 1.0]], ['2, k, 21', [0.09389262, 0.2342855, 1.0]], ['2, k, 22', [0.0426478, 0.1825338, 1.0]], ['2, k, 23', [0.02040015, 0.2384122, 1.0]], ['2, k, 24', [0.08886755, 0.2349302, 1.0]]]
[['2, k, 0', [0.03756832, -0.01608929, 1.0]], ['2, k, 1', [0.0393944, 0.2285763, 1.0]], ['2, k, 2', [0.04017737, 0.4653694, 1.0]], ['2, k, 3', [0.06798409, 0.6107968, 1.0]], ['2, k, 4', [-0.1495568, 0.4062701, 1.0]], ['2, k, 5', [-0.2202721, 0.2251579, 1.0]], ['2, k, 6', [-0.01865409, 0.2657949, 1.0]], ['2, k, 7', [0.0353885, 0.2377215, 1.0]], ['2, k, 8', [0.2224933, 0.375097, 1.0]], ['2, k, 9', [0.2759562, 0.126308, 1.0]], ['2, k, 10', [0.08285594, 0.1569852, 1.0]], ['2, k, 11', [0.05472681, 0.2140275, 1.0]], ['2, k, 12', [-0.03560708, -0.01113087, 1.0]], ['2, k, 13', [-0.1008341, -0.2970302, 1.0]], ['2, k, 14', [-0.07448816, -0.6143681, 1.0]], ['2, k, 15', [-0.04179521, -0.6570379, 1.0]], ['2, k, 16', [0.1090447, -0.02082256, 1.0]], ['2, k, 17', [0.1647487, -0.3074799, 1.0]], ['2, k, 18', [0.1033864, -0.6195834, 1.0]], ['2, k, 19', [0.09354223, -0.6584915, 1.0]], ['2, k, 20', [0.03978518, 0.4072286, 1.0]], ['2, k, 21', [0.09005005, 0.2396759, 1.0]], ['2, k, 22', [0.03906308, 0.1894028, 1.0]], ['2, k, 23', [0.02212823, 0.2356311, 1.0]], ['2, k, 24', [0.08257341, 0.2414911, 1.0]]]
[['2, k, 0', [0.03651268, -0.01741762, 1.0]], ['2, k, 1', [0.03903051, 0.2282979, 1.0]], ['2, k, 2', [0.04009427, 0.4653984, 1.0]], ['2, k, 3', [0.06798555, 0.6107813, 1.0]], ['2, k, 4', [-0.1494198, 0.4064461, 1.0]], ['2, k, 5', [-0.2195257, 0.2253097, 1.0]], ['2, k, 6', [-0.02152855, 0.2700782, 1.0]], ['2, k, 7', [0.03735025, 0.2452697, 1.0]], ['2, k, 8', [0.2224309, 0.3754671, 1.0]], ['2, k, 9', [0.2828267, 0.1501695, 1.0]], ['2, k, 10', [0.1078961, 0.2471666, 1.0]], ['2, k, 11', [0.05792066, 0.2360658, 1.0]], ['2, k, 12', [-0.03663662, -0.0121323, 1.0]], ['2, k, 13', [-0.1008382, -0.2969008, 1.0]], ['2, k, 14', [-0.07450321, -0.6145377, 1.0]], ['2, k, 15', [-0.04169187, -0.656566, 1.0]], ['2, k, 16', [0.1081248, -0.02235438, 1.0]], ['2, k, 17', [0.1644783, -0.3082401, 1.0]], ['2, k, 18', [0.1032493, -0.6203064, 1.0]], ['2, k, 19', [0.09317181, -0.6584328, 1.0]], ['2, k, 20', [0.03967191, 0.4071998, 1.0]], ['2, k, 21', [0.08882567, 0.2517793, 1.0]], ['2, k, 22', [0.04656942, 0.1958883, 1.0]], ['2, k, 23', [0.02267552, 0.2468874, 1.0]], ['2, k, 24', [0.04699127, 0.2930901, 1.0]]]
[['2, k, 0', [0.03594841, -0.01896009, 1.0]], ['2, k, 1', [0.03889647, 0.2280782, 1.0]], ['2, k, 2', [0.04012259, 0.4654866, 1.0]], ['2, k, 3', [0.06799604, 0.610743, 1.0]], ['2, k, 4', [-0.1489101, 0.406517, 1.0]], ['2, k, 5', [-0.2198414, 0.2310634, 1.0]], ['2, k, 6', [-0.02085291, 0.2757444, 1.0]], ['2, k, 7', [0.0393757, 0.2510801, 1.0]], ['2, k, 8', [0.2224975, 0.3757262, 1.0]], ['2, k, 9', [0.2812325, 0.1430417, 1.0]], ['2, k, 10', [0.1071574, 0.2461357, 1.0]], ['2, k, 11', [0.05655057, 0.2434185, 1.0]], ['2, k, 12', [-0.03710576, -0.01366443, 1.0]], ['2, k, 13', [-0.1008585, -0.2970308, 1.0]], ['2, k, 14', [-0.07458858, -0.6140977, 1.0]], ['2, k, 15', [-0.04130079, -0.6573168, 1.0]], ['2, k, 16', [0.1075362, -0.02382485, 1.0]], ['2, k, 17', [0.1642473, -0.3085042, 1.0]], ['2, k, 18', [0.1032599, -0.6205461, 1.0]], ['2, k, 19', [0.09308106, -0.6586023, 1.0]], ['2, k, 20', [0.03967625, 0.4072163, 1.0]], ['2, k, 21', [0.09273481, 0.2628745, 1.0]], ['2, k, 22', [0.04864067, 0.2018867, 1.0]], ['2, k, 23', [0.01895095, 0.2516203, 1.0]], ['2, k, 24', [0.04552238, 0.3007774, 1.0]]]
[['2, k, 0', [0.03353249, -0.03297248, 1.0]], ['2, k, 1', [0.03557323, 0.2252211, 1.0]], ['2, k, 2', [0.03576519, 0.4666198, 1.0]], ['2, k, 3', [0.06799509, 0.6107898, 1.0]], ['2, k, 4', [-0.148649, 0.4073105, 1.0]], ['2, k, 5', [-0.2242126, 0.248677, 1.0]], ['2, k, 6', [-0.01363027, 0.2812087, 1.0]], ['2, k, 7', [0.03851455, 0.2590182, 1.0]], ['2, k, 8', [0.2225258, 0.3764573, 1.0]], ['2, k, 9', [0.285618, 0.1558167, 1.0]], ['2, k, 10', [0.105583, 0.2491495, 1.0]], ['2, k, 11', [0.05573759, 0.2535578, 1.0]], ['2, k, 12', [-0.04199849, -0.02951873, 1.0]], ['2, k, 13', [-0.100913, -0.2970435, 1.0]], ['2, k, 14', [-0.07461551, -0.6139234, 1.0]], ['2, k, 15', [-0.04086811, -0.657491, 1.0]], ['2, k, 16', [0.1074304, -0.03551891, 1.0]], ['2, k, 17', [0.1642414, -0.3085153, 1.0]], ['2, k, 18', [0.1030806, -0.6204965, 1.0]], ['2, k, 19', [0.09276713, -0.6585956, 1.0]], ['2, k, 20', [0.03631866, 0.4074292, 1.0]], ['2, k, 21', [0.08573774, 0.2647889, 1.0]], ['2, k, 22', [0.0456371, 0.2062049, 1.0]], ['2, k, 23', [0.02269174, 0.2678497, 1.0]], ['2, k, 24', [0.08473377, 0.2796399, 1.0]]]
[['2, k, 0', [0.03662824, -0.003182023, 1.0]], ['2, k, 1', [0.03617489, 0.2311403, 1.0]], ['2, k, 2', [0.03593502, 0.4673165, 1.0]], ['2, k, 3', [0.06798774, 0.6107969, 1.0]], ['2, k, 4', [-0.1476062, 0.4118117, 1.0]], ['2, k, 5', [-0.2235878, 0.2526155, 1.0]], ['2, k, 6', [-0.02056244, 0.2845984, 1.0]], ['2, k, 7', [0.03763139, 0.2667067, 1.0]], ['2, k, 8', [0.2273302, 0.3803876, 1.0]], ['2, k, 9', [0.2915771, 0.1790119, 1.0]], ['2, k, 10', [0.1573859, 0.2557737, 1.0]], ['2, k, 11', [0.06211397, 0.2627187, 1.0]], ['2, k, 12', [-0.0432252, 0.001611127, 1.0]], ['2, k, 13', [-0.110762, -0.1999397, 1.0]], ['2, k, 14', [-0.08124414, -0.5920895, 1.0]], ['2, k, 15', [-0.06718497, -0.6517577, 1.0]], ['2, k, 16', [0.1146119, -0.008197768, 1.0]], ['2, k, 17', [0.1683923, -0.2106344, 1.0]], ['2, k, 18', [0.1121584, -0.5879532, 1.0]], ['2, k, 19', [0.09825899, -0.6427406, 1.0]], ['2, k, 20', [0.03647283, 0.408852, 1.0]], ['2, k, 21', [0.07561947, 0.2641404, 1.0]], ['2, k, 22', [0.04233567, 0.213597, 1.0]], ['2, k, 23', [0.02125661, 0.2772955, 1.0]], ['2, k, 24', [0.07066181, 0.3046796, 1.0]]]
[['2, k, 0', [0.03638896, -0.01103995, 1.0]], ['2, k, 1', [0.03559027, 0.2309969, 1.0]], ['2, k, 2', [0.03370359, 0.468387, 1.0]], ['2, k, 3', [0.06803657, 0.6108674, 1.0]], ['2, k, 4', [-0.1468052, 0.4128743, 1.0]], ['2, k, 5', [-0.2277693, 0.2593558, 1.0]], ['2, k, 6', [-0.02137671, 0.2915874, 1.0]], ['2, k, 7', [0.03771607, 0.2771805, 1.0]], ['2, k, 8', [0.2263907, 0.3816557, 1.0]], ['2, k, 9', [0.2917581, 0.1792216, 1.0]], ['2, k, 10', [0.1571549, 0.264814, 1.0]], ['2, k, 11', [0.06091401, 0.2749646, 1.0]], ['2, k, 12', [-0.04143171, -0.007975622, 1.0]], ['2, k, 13', [-0.1007209, -0.3052301, 1.0]], ['2, k, 14', [-0.07847147, -0.622986, 1.0]], ['2, k, 15', [-0.04778379, -0.6597599, 1.0]], ['2, k, 16', [0.1131326, -0.01442053, 1.0]], ['2, k, 17', [0.1616162, -0.3102131, 1.0]], ['2, k, 18', [0.1043439, -0.6244109, 1.0]], ['2, k, 19', [0.09582102, -0.6558418, 1.0]], ['2, k, 20', [0.03457133, 0.4096497, 1.0]], ['2, k, 21', [0.07456817, 0.275398, 1.0]], ['2, k, 22', [0.04793895, 0.2271073, 1.0]], ['2, k, 23', [0.02609149, 0.2886501, 1.0]], ['2, k, 24', [0.04779429, 0.3309757, 1.0]]]
[['2, k, 0', [0.03671367, -0.01484561, 1.0]], ['2, k, 1', [0.03521311, 0.2308831, 1.0]], ['2, k, 2', [0.03218573, 0.4697653, 1.0]], ['2, k, 3', [0.06803998, 0.6108778, 1.0]], ['2, k, 4', [-0.1411892, 0.4193358, 1.0]], ['2, k, 5', [-0.2300442, 0.256335, 1.0]], ['2, k, 6', [-0.02192594, 0.2945167, 1.0]], ['2, k, 7', [0.03417096, 0.2882825, 1.0]], ['2, k, 8', [0.2256033, 0.38345, 1.0]], ['2, k, 9', [0.2909333, 0.179763, 1.0]], ['2, k, 10', [0.1570334, 0.2711663, 1.0]], ['2, k, 11', [0.0623812, 0.2859321, 1.0]], ['2, k, 12', [-0.04061606, -0.0110984, 1.0]], ['2, k, 13', [-0.1011255, -0.2997451, 1.0]], ['2, k, 14', [-0.07670417, -0.6169699, 1.0]], ['2, k, 15', [-0.04544158, -0.6583285, 1.0]], ['2, k, 16', [0.1128524, -0.01848377, 1.0]], ['2, k, 17', [0.161671, -0.3101534, 1.0]], ['2, k, 18', [0.1035264, -0.6236082, 1.0]], ['2, k, 19', [0.0960867, -0.6568168, 1.0]], ['2, k, 20', [0.03330754, 0.4106354, 1.0]], ['2, k, 21', [0.07303325, 0.2871505, 1.0]], ['2, k, 22', [0.04842703, 0.2393374, 1.0]], ['2, k, 23', [0.02833534, 0.3007289, 1.0]], ['2, k, 24', [0.03832755, 0.3430128, 1.0]]]
[['2, k, 0', [0.03199906, -0.03534132, 1.0]], ['2, k, 1', [0.033138, 0.2285784, 1.0]], ['2, k, 2', [0.03060691, 0.4710937, 1.0]], ['2, k, 3', [0.06796775, 0.6111141, 1.0]], ['2, k, 4', [-0.1423492, 0.4222946, 1.0]], ['2, k, 5', [-0.2249771, 0.2703965, 1.0]], ['2, k, 6', [-0.02269952, 0.3078955, 1.0]], ['2, k, 7', [0.03516246, 0.2991365, 1.0]], ['2, k, 8', [0.2240296, 0.3873019, 1.0]], ['2, k, 9', [0.3043241, 0.2062466, 1.0]], ['2, k, 10', [0.1276471, 0.2760438, 1.0]], ['2, k, 11', [0.06313863, 0.2956752, 1.0]], ['2, k, 12', [-0.04710291, -0.03017589, 1.0]], ['2, k, 13', [-0.1010428, -0.2977095, 1.0]], ['2, k, 14', [-0.07732023, -0.6155666, 1.0]], ['2, k, 15', [-0.04479103, -0.6568915, 1.0]], ['2, k, 16', [0.1100287, -0.0391764, 1.0]], ['2, k, 17', [0.1617976, -0.309603, 1.0]], ['2, k, 18', [0.1031743, -0.6224818, 1.0]], ['2, k, 19', [0.0960276, -0.6575422, 1.0]], ['2, k, 20', [0.03207217, 0.4111571, 1.0]], ['2, k, 21', [0.07395732, 0.2982401, 1.0]], ['2, k, 22', [0.05047399, 0.2508825, 1.0]], ['2, k, 23', [0.02384356, 0.3035258, 1.0]], ['2, k, 24', [0.07478261, 0.33558, 1.0]]]
