[['2, k, 0', [-10.20419, 79.15136, 1.0]], ['2, k, 1', [-8.76123067513284, 108.99503437281425, 1.0]], ['2, k, 2', [-7.663160589772241, 131.43380629244862, 1.0]], ['2, k, 3', [-7.339745921097983, 137.7727672833844, 1.0]], ['2, k, 4', [8.855534112746057, 124.43239554496625, 1.0]], ['2, k, 5', [13.23292719831614, 99.58020224224451, 1.0]], ['2, k, 6', [12.181652067207061, 77.45408557082621, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-25.18297211302196, 124.45619875817633, 1.0]], ['2, k, 9', [-28.802748329138247, 97.2388774277466, 1.0]], ['2, k, 10', [-35.75294416057174, 75.07834248301934, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-2.4650247348938255, 78.6212676380565, 1.0]], ['2, k, 13', [-1.6993275742103848, 41.9932468008635, 1.0]], ['2, k, 14', [-3.5668527965673245, 7.778451350991446, 1.0]], ['2, k, 15', [-3.9226410505273814, -1.3816846321632177, 1.0]], ['2, k, 16', [-17.656726346060566, 79.46247976723878, 1.0]], ['2, k, 17', [-19.986137133980037, 43.53585452918678, 1.0]], ['2, k, 18', [-21.410828149646612, 7.518192719338501, 1.0]], ['2, k, 19', [-22.806571800644676, -1.064526168835343, 1.0]], ['2, k, 20', [-7.663160589772241, 131.43380629244862, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-10.195446666666667, 79.15608333333334, 1.0]], ['2, k, 1', [-8.75987878341902, 108.98648755910861, 1.0]], ['2, k, 2', [-7.664651367569339, 131.40957487749756, 1.0]], ['2, k, 3', [-7.341759503433817, 137.74869571871767, 1.0]], ['2, k, 4', [8.857934794773628, 124.43242015694423, 1.0]], ['2, k, 5', [13.208432364458876, 99.56097480894343, 1.0]], ['2, k, 6', [12.147048909212407, 77.44800964589187, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-25.207846656131906, 124.45169364837894, 1.0]], ['2, k, 9', [-28.793469548243042, 97.28434432858185, 1.0]], ['2, k, 10', [-35.780670689836946, 75.06898591584948, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-2.453294576393284, 78.62711150510168, 1.0]], ['2, k, 13', [-1.723156370241993, 41.92590127671741, 1.0]], ['2, k, 14', [-3.5495177847058406, 7.5619137714966485, 1.0]], ['2, k, 15', [-3.9395318279612095, -1.3944126613871148, 1.0]], ['2, k, 16', [-17.642798012610438, 79.46739354113451, 1.0]], ['2, k, 17', [-19.975555290624953, 43.49790589220706, 1.0]], ['2, k, 18', [-21.407485805818702, 7.666812022934948, 1.0]], ['2, k, 19', [-22.764937148491146, -1.04237681511027, 1.0]], ['2, k, 20', [-7.664651367569339, 131.40957487749756, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-10.197296, 79.160456, 1.0]], ['2, k, 1', [-8.75962371679581, 108.98538469978942, 1.0]], ['2, k, 2', [-7.659537649762389, 131.40136455336162, 1.0]], ['2, k, 3', [-7.334660495645454, 137.74054366757858, 1.0]], ['2, k, 4', [8.880184806690162, 124.4623561156342, 1.0]], ['2, k, 5', [13.202226568404658, 99.54987272222134, 1.0]], ['2, k, 6', [12.131724975474599, 77.44520415635678, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-25.199212744583843, 124.47379225936815, 1.0]], ['2, k, 9', [-28.78309459776743, 97.25349468578582, 1.0]], ['2, k, 10', [-35.758915408647724, 75.04945323573696, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-2.4556378207760785, 78.62970011513991, 1.0]], ['2, k, 13', [-1.7445817668321544, 42.004094926036494, 1.0]], ['2, k, 14', [-3.5286311341861447, 7.647317838140459, 1.0]], ['2, k, 15', [-3.9971631057439616, -1.3875120128848852, 1.0]], ['2, k, 16', [-17.644125372694027, 79.47649515065726, 1.0]], ['2, k, 17', [-19.98692260103523, 43.42602187407387, 1.0]], ['2, k, 18', [-21.415212078005172, 7.667537888194978, 1.0]], ['2, k, 19', [-22.73204410408684, -0.8915562255301435, 1.0]], ['2, k, 20', [-7.659537649762389, 131.40136455336162, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-10.19973, 79.161168, 1.0]], ['2, k, 1', [-8.755604571703463, 108.98009553467466, 1.0]], ['2, k, 2', [-7.645940858694572, 131.38992613368174, 1.0]], ['2, k, 3', [-7.316909712466, 137.72902867163543, 1.0]], ['2, k, 4', [8.903489475293934, 124.45819256115492, 1.0]], ['2, k, 5', [13.20452649992233, 99.5295785289094, 1.0]], ['2, k, 6', [12.149015207929349, 77.42849671760153, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-25.14976655625745, 124.49412496081983, 1.0]], ['2, k, 9', [-28.742355464842184, 97.23290330981953, 1.0]], ['2, k, 10', [-35.70955812711099, 75.00696577349956, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-2.4598908422411334, 78.62779371911881, 1.0]], ['2, k, 13', [-1.7560611796608183, 42.03784124278466, 1.0]], ['2, k, 14', [-3.54767610723617, 7.673765092028688, 1.0]], ['2, k, 15', [-4.082842572039928, -1.3352533431177704, 1.0]], ['2, k, 16', [-17.649539473435023, 79.48267269940625, 1.0]], ['2, k, 17', [-19.99390379701027, 43.375557543565414, 1.0]], ['2, k, 18', [-21.447577718951237, 7.6433329025203705, 1.0]], ['2, k, 19', [-22.738050263464288, -0.7467738145529221, 1.0]], ['2, k, 20', [-7.645940858694572, 131.38992613368174, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-10.208928, 79.16169000000001, 1.0]], ['2, k, 1', [-8.752598410815832, 108.97739457058888, 1.0]], ['2, k, 2', [-7.6277114960987085, 131.38626509861552, 1.0]], ['2, k, 3', [-7.292937955434693, 137.72522066721746, 1.0]], ['2, k, 4', [8.943333783598872, 124.45989896108752, 1.0]], ['2, k, 5', [13.241651575871412, 99.52897389971112, 1.0]], ['2, k, 6', [12.215772503363134, 77.43075038724945, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-25.133817995619477, 124.52010739814449, 1.0]], ['2, k, 9', [-28.69834436551137, 97.18661036366012, 1.0]], ['2, k, 10', [-35.64627561917558, 74.95111844115591, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-2.47028207561005, 78.62379380282103, 1.0]], ['2, k, 13', [-1.7773334522466495, 42.042629636408094, 1.0]], ['2, k, 14', [-3.5650503510636367, 7.624750853353753, 1.0]], ['2, k, 15', [-4.067505864730219, -1.3793176069447277, 1.0]], ['2, k, 16', [-17.662248954720127, 79.49027679682709, 1.0]], ['2, k, 17', [-20.000731797572904, 43.31835342917956, 1.0]], ['2, k, 18', [-21.461343398205067, 7.532464371872393, 1.0]], ['2, k, 19', [-22.68759016132357, -0.7110109163539153, 1.0]], ['2, k, 20', [-7.6277114960987085, 131.38626509861552, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-10.21848, 79.158662, 1.0]], ['2, k, 1', [-8.742465778008999, 108.97222698009818, 1.0]], ['2, k, 2', [-7.591102730772228, 131.37927792254294, 1.0]], ['2, k, 3', [-7.2471478684742, 137.7180012077115, 1.0]], ['2, k, 4', [8.988774609968786, 124.46508486150523, 1.0]], ['2, k, 5', [13.299616012119671, 99.54056418690683, 1.0]], ['2, k, 6', [12.306497775622228, 77.44780407009881, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-25.064066475393947, 124.51098689577663, 1.0]], ['2, k, 9', [-28.677860204459556, 97.14448149656991, 1.0]], ['2, k, 10', [-35.619583420096596, 74.8891538171672, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-2.480091352325326, 78.61536178489202, 1.0]], ['2, k, 13', [-1.798592547740356, 42.025768996668894, 1.0]], ['2, k, 14', [-3.598391551512122, 7.655039923946454, 1.0]], ['2, k, 15', [-4.088842636634079, -1.3208194059658087, 1.0]], ['2, k, 16', [-17.676897548381167, 79.49401160400943, 1.0]], ['2, k, 17', [-20.003693317789345, 43.27956187256422, 1.0]], ['2, k, 18', [-21.464326427195505, 7.443644717540963, 1.0]], ['2, k, 19', [-22.688091759122987, -0.7507238858656677, 1.0]], ['2, k, 20', [-7.591102730772228, 131.37927792254294, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-10.232174, 79.15435400000001, 1.0]], ['2, k, 1', [-8.732764187309812, 108.96565962796195, 1.0]], ['2, k, 2', [-7.557456501228886, 131.37142745317377, 1.0]], ['2, k, 3', [-7.205997048470608, 137.70998609376272, 1.0]], ['2, k, 4', [9.029288066196015, 124.47721802185207, 1.0]], ['2, k, 5', [13.335091238288733, 99.57635234632303, 1.0]], ['2, k, 6', [12.367796818994787, 77.482971988315, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-24.975239773994105, 124.51505051564435, 1.0]], ['2, k, 9', [-28.6878881084374, 97.09614460591055, 1.0]], ['2, k, 10', [-35.70227645380527, 74.8636728953016, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-2.4912662464466466, 78.60526401898026, 1.0]], ['2, k, 13', [-1.8069358231099195, 42.010443475068676, 1.0]], ['2, k, 14', [-3.62044547865814, 7.683505906824095, 1.0]], ['2, k, 15', [-4.070824724774584, -1.257331525263286, 1.0]], ['2, k, 16', [-17.69875627661264, 79.49591166184335, 1.0]], ['2, k, 17', [-20.012523214010983, 43.27052715221119, 1.0]], ['2, k, 18', [-21.484339766748388, 7.341883969495825, 1.0]], ['2, k, 19', [-22.71411789052577, -0.8782363014867283, 1.0]], ['2, k, 20', [-7.557456501228886, 131.37142745317377, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-10.246112, 79.148154, 1.0]], ['2, k, 1', [-8.727640790511732, 108.95729398295478, 1.0]], ['2, k, 2', [-7.534566643739556, 131.36368820252596, 1.0]], ['2, k, 3', [-7.178150950822272, 137.70223753540134, 1.0]], ['2, k, 4', [9.057202293142788, 124.47757291450365, 1.0]], ['2, k, 5', [13.3601807915777, 99.60228835307811, 1.0]], ['2, k, 6', [12.410712650308048, 77.50737069206416, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-24.928906259029, 124.54494436229926, 1.0]], ['2, k, 9', [-28.81650595757941, 97.12555318466411, 1.0]], ['2, k, 10', [-36.109209438854606, 75.01750197886946, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-2.500190686146156, 78.59505156219106, 1.0]], ['2, k, 13', [-1.8253093412236732, 41.87523958140467, 1.0]], ['2, k, 14', [-3.640981455329519, 7.5339210196223405, 1.0]], ['2, k, 15', [-4.0214701774662895, -1.3306489355725866, 1.0]], ['2, k, 16', [-17.71745100982464, 79.4931256742447, 1.0]], ['2, k, 17', [-20.036638789460977, 43.25219662121729, 1.0]], ['2, k, 18', [-21.50647350626218, 7.2585486940879775, 1.0]], ['2, k, 19', [-22.744439143665492, -1.2417498669359812, 1.0]], ['2, k, 20', [-7.534566643739556, 131.36368820252596, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-10.263912000000001, 79.143082, 1.0]], ['2, k, 1', [-8.727669815068793, 108.94983922046438, 1.0]], ['2, k, 2', [-7.519207193609367, 131.3537311169461, 1.0]], ['2, k, 3', [-7.158848296174169, 137.69210323781707, 1.0]], ['2, k, 4', [9.067352644049567, 124.47550771644322, 1.0]], ['2, k, 5', [13.393103467606089, 99.61765327545345, 1.0]], ['2, k, 6', [12.446894527619452, 77.52337326455444, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-24.848657953864276, 124.59191041008823, 1.0]], ['2, k, 9', [-29.089836516571555, 97.29608849395251, 1.0]], ['2, k, 10', [-36.88784573548263, 75.41148130230441, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-2.5112760026984953, 78.58665753417394, 1.0]], ['2, k, 13', [-1.8389246371843058, 41.690212625576805, 1.0]], ['2, k, 14', [-3.6548198457660424, 7.385703878365192, 1.0]], ['2, k, 15', [-4.015014210474699, -1.5166325096874544, 1.0]], ['2, k, 16', [-17.74276184488049, 79.49225307403356, 1.0]], ['2, k, 17', [-20.077284362780006, 43.2373562105953, 1.0]], ['2, k, 18', [-21.534628511119525, 7.19138677953169, 1.0]], ['2, k, 19', [-22.765401157420342, -1.5362650394217496, 1.0]], ['2, k, 20', [-7.519207193609367, 131.3537311169461, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-10.28065, 79.14359999999999, 1.0]], ['2, k, 1', [-8.729835896695674, 108.94442790541767, 1.0]], ['2, k, 2', [-7.510463986620672, 131.34381391857517, 1.0]], ['2, k, 3', [-7.147728488374159, 137.68181551386505, 1.0]], ['2, k, 4', [9.068429535786162, 124.47205950593222, 1.0]], ['2, k, 5', [13.431521119899749, 99.61472775180833, 1.0]], ['2, k, 6', [12.47879748362847, 77.52788657574737, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-24.74420446719804, 124.65672577590072, 1.0]], ['2, k, 9', [-29.615319685511448, 97.65303853362096, 1.0]], ['2, k, 10', [-38.20384284850991, 76.0831309610461, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-2.5187454650212615, 78.58525899228029, 1.0]], ['2, k, 13', [-1.8618251508290875, 41.71851325239339, 1.0]], ['2, k, 14', [-3.681699612129888, 7.335576502495904, 1.0]], ['2, k, 15', [-3.9641239417289524, -1.5560314698022033, 1.0]], ['2, k, 16', [-17.763515107754802, 79.49721490971997, 1.0]], ['2, k, 17', [-20.117659845615663, 43.233884496325736, 1.0]], ['2, k, 18', [-21.55581508584489, 7.114115357476187, 1.0]], ['2, k, 19', [-22.77641289562717, -1.771738271119105, 1.0]], ['2, k, 20', [-7.510463986620672, 131.34381391857517, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-10.288768, 79.13773599999999, 1.0]], ['2, k, 1', [-8.722020447834849, 108.93306139972881, 1.0]], ['2, k, 2', [-7.489933700727521, 131.3317661088868, 1.0]], ['2, k, 3', [-7.124313166006985, 137.66914352599593, 1.0]], ['2, k, 4', [9.082912021970124, 124.47036636418872, 1.0]], ['2, k, 5', [13.485770778383458, 99.62526105534742, 1.0]], ['2, k, 6', [12.531110313542815, 77.53707384992191, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-24.640260070667992, 124.71604813249485, 1.0]], ['2, k, 9', [-30.39865814506063, 98.23703911342086, 1.0]], ['2, k, 10', [-39.9326773914912, 77.11936433506813, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-2.5174318251980434, 78.58015664400635, 1.0]], ['2, k, 13', [-1.8824266930637905, 41.777968317183245, 1.0]], ['2, k, 14', [-3.720358196362782, 7.273462782097859, 1.0]], ['2, k, 15', [-3.966292122782765, -1.7422236073505992, 1.0]], ['2, k, 16', [-17.77432242542172, 79.49528709961962, 1.0]], ['2, k, 17', [-20.149874206745963, 43.21899115450961, 1.0]], ['2, k, 18', [-21.563036005172265, 7.059534834428739, 1.0]], ['2, k, 19', [-22.76325136893719, -1.853898058734769, 1.0]], ['2, k, 20', [-7.489933700727521, 131.3317661088868, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
