[['2, k, 0', [-0.360684, -0.255174, 1.0]], ['2, k, 1', [-0.364133, 0.0531265, 1.0]], ['2, k, 2', [-0.365341, 0.353329, 1.0]], ['2, k, 3', [-0.381482, 0.502671, 1.0]], ['2, k, 4', [-0.556346, 0.239753, 1.0]], ['2, k, 5', [-0.599256, -0.047699, 1.0]], ['2, k, 6', [-0.569443, -0.296915, 1.0]], ['2, k, 7', [-0.562997, -0.314085, 1.0]], ['2, k, 8', [-0.179992, 0.26537, 1.0]], ['2, k, 9', [-0.109504, -0.0209656, 1.0]], ['2, k, 10', [-0.10379, -0.271585, 1.0]], ['2, k, 11', [-0.127529, -0.281691, 1.0]], ['2, k, 12', [-0.441299, -0.25725, 1.0]], ['2, k, 13', [-0.482581, -0.630188, 1.0]], ['2, k, 14', [-0.516019, -1.02808, 1.0]], ['2, k, 15', [-0.512695, -1.06934, 1.0]], ['2, k, 16', [-0.269665, -0.245766, 1.0]], ['2, k, 17', [-0.213508, -0.642265, 1.0]], ['2, k, 18', [-0.167986, -1.00174, 1.0]], ['2, k, 19', [-0.151245, -1.06738, 1.0]], ['2, k, 20', [-0.365426, 0.279453, 1.0]], ['2, k, 21', [-0.567922, -0.39112, 1.0]], ['2, k, 22', [-0.51141, -0.314798, 1.0]], ['2, k, 23', [-0.128837, -0.370647, 1.0]], ['2, k, 24', [-0.167622, -0.273148, 1.0]]]
[['2, k, 0', [-0.360711, -0.255163, 1.0]], ['2, k, 1', [-0.364221, 0.0530946, 1.0]], ['2, k, 2', [-0.365544, 0.353197, 1.0]], ['2, k, 3', [-0.381488, 0.502615, 1.0]], ['2, k, 4', [-0.556388, 0.239735, 1.0]], ['2, k, 5', [-0.599295, -0.0474197, 1.0]], ['2, k, 6', [-0.569473, -0.296744, 1.0]], ['2, k, 7', [-0.562794, -0.314619, 1.0]], ['2, k, 8', [-0.17994, 0.265347, 1.0]], ['2, k, 9', [-0.109233, -0.0216963, 1.0]], ['2, k, 10', [-0.10383, -0.272453, 1.0]], ['2, k, 11', [-0.127388, -0.281315, 1.0]], ['2, k, 12', [-0.441324, -0.257238, 1.0]], ['2, k, 13', [-0.482394, -0.631293, 1.0]], ['2, k, 14', [-0.513943, -1.01101, 1.0]], ['2, k, 15', [-0.513853, -1.0688, 1.0]], ['2, k, 16', [-0.269695, -0.245757, 1.0]], ['2, k, 17', [-0.212263, -0.635981, 1.0]], ['2, k, 18', [-0.169423, -1.00405, 1.0]], ['2, k, 19', [-0.150906, -1.06926, 1.0]], ['2, k, 20', [-0.365597, 0.279351, 1.0]], ['2, k, 21', [-0.568816, -0.391257, 1.0]], ['2, k, 22', [-0.51163, -0.323675, 1.0]], ['2, k, 23', [-0.128185, -0.371341, 1.0]], ['2, k, 24', [-0.166054, -0.26981, 1.0]]]
[['2, k, 0', [-0.360624, -0.255218, 1.0]], ['2, k, 1', [-0.364235, 0.0530945, 1.0]], ['2, k, 2', [-0.36564, 0.353244, 1.0]], ['2, k, 3', [-0.381483, 0.502619, 1.0]], ['2, k, 4', [-0.55646, 0.23978, 1.0]], ['2, k, 5', [-0.599182, -0.0473728, 1.0]], ['2, k, 6', [-0.569482, -0.296732, 1.0]], ['2, k, 7', [-0.562401, -0.314605, 1.0]], ['2, k, 8', [-0.179875, 0.265339, 1.0]], ['2, k, 9', [-0.109243, -0.0217108, 1.0]], ['2, k, 10', [-0.103795, -0.272485, 1.0]], ['2, k, 11', [-0.127263, -0.281489, 1.0]], ['2, k, 12', [-0.441263, -0.257263, 1.0]], ['2, k, 13', [-0.481941, -0.633669, 1.0]], ['2, k, 14', [-0.514874, -1.00743, 1.0]], ['2, k, 15', [-0.506765, -1.06661, 1.0]], ['2, k, 16', [-0.269583, -0.245853, 1.0]], ['2, k, 17', [-0.21216, -0.634602, 1.0]], ['2, k, 18', [-0.16859, -1.0067, 1.0]], ['2, k, 19', [-0.151111, -1.06927, 1.0]], ['2, k, 20', [-0.365668, 0.279384, 1.0]], ['2, k, 21', [-0.561039, -0.392255, 1.0]], ['2, k, 22', [-0.510736, -0.317053, 1.0]], ['2, k, 23', [-0.128371, -0.37029, 1.0]], ['2, k, 24', [-0.165398, -0.279394, 1.0]]]
[['2, k, 0', [-0.359568, -0.255634, 1.0]], ['2, k, 1', [-0.363868, 0.0528029, 1.0]], ['2, k, 2', [-0.365589, 0.353042, 1.0]], ['2, k, 3', [-0.381432, 0.502618, 1.0]], ['2, k, 4', [-0.55651, 0.239697, 1.0]], ['2, k, 5', [-0.599202, -0.0474268, 1.0]], ['2, k, 6', [-0.569467, -0.296793, 1.0]], ['2, k, 7', [-0.5631, -0.313537, 1.0]], ['2, k, 8', [-0.179777, 0.265328, 1.0]], ['2, k, 9', [-0.109224, -0.0217091, 1.0]], ['2, k, 10', [-0.103766, -0.272497, 1.0]], ['2, k, 11', [-0.127156, -0.282787, 1.0]], ['2, k, 12', [-0.440215, -0.257717, 1.0]], ['2, k, 13', [-0.482047, -0.635027, 1.0]], ['2, k, 14', [-0.514382, -1.00935, 1.0]], ['2, k, 15', [-0.508066, -1.06744, 1.0]], ['2, k, 16', [-0.268542, -0.246216, 1.0]], ['2, k, 17', [-0.211872, -0.63323, 1.0]], ['2, k, 18', [-0.170807, -1.00905, 1.0]], ['2, k, 19', [-0.151116, -1.0693, 1.0]], ['2, k, 20', [-0.365565, 0.279171, 1.0]], ['2, k, 21', [-0.561622, -0.390462, 1.0]], ['2, k, 22', [-0.512763, -0.325121, 1.0]], ['2, k, 23', [-0.12833, -0.370311, 1.0]], ['2, k, 24', [-0.167267, -0.273529, 1.0]]]
[['2, k, 0', [-0.359484, -0.255755, 1.0]], ['2, k, 1', [-0.363584, 0.0526051, 1.0]], ['2, k, 2', [-0.364971, 0.352693, 1.0]], ['2, k, 3', [-0.381359, 0.502626, 1.0]], ['2, k, 4', [-0.556576, 0.239749, 1.0]], ['2, k, 5', [-0.599225, -0.0474213, 1.0]], ['2, k, 6', [-0.569488, -0.29679, 1.0]], ['2, k, 7', [-0.56346, -0.314349, 1.0]], ['2, k, 8', [-0.179687, 0.265286, 1.0]], ['2, k, 9', [-0.10921, -0.0217172, 1.0]], ['2, k, 10', [-0.103747, -0.272508, 1.0]], ['2, k, 11', [-0.127314, -0.281888, 1.0]], ['2, k, 12', [-0.440137, -0.257795, 1.0]], ['2, k, 13', [-0.482105, -0.6351, 1.0]], ['2, k, 14', [-0.514176, -1.00901, 1.0]], ['2, k, 15', [-0.508469, -1.06816, 1.0]], ['2, k, 16', [-0.268455, -0.246381, 1.0]], ['2, k, 17', [-0.211414, -0.633386, 1.0]], ['2, k, 18', [-0.169415, -1.02002, 1.0]], ['2, k, 19', [-0.150452, -1.07276, 1.0]], ['2, k, 20', [-0.365044, 0.278864, 1.0]], ['2, k, 21', [-0.566072, -0.391026, 1.0]], ['2, k, 22', [-0.512547, -0.314223, 1.0]], ['2, k, 23', [-0.128305, -0.370137, 1.0]], ['2, k, 24', [-0.166361, -0.273428, 1.0]]]
[['2, k, 0', [-0.359577, -0.255696, 1.0]], ['2, k, 1', [-0.363611, 0.052637, 1.0]], ['2, k, 2', [-0.364979, 0.352719, 1.0]], ['2, k, 3', [-0.381286, 0.502641, 1.0]], ['2, k, 4', [-0.556608, 0.239756, 1.0]], ['2, k, 5', [-0.599146, -0.0472953, 1.0]], ['2, k, 6', [-0.569503, -0.296661, 1.0]], ['2, k, 7', [-0.562226, -0.313715, 1.0]], ['2, k, 8', [-0.179599, 0.265257, 1.0]], ['2, k, 9', [-0.10912, -0.0216344, 1.0]], ['2, k, 10', [-0.102255, -0.272353, 1.0]], ['2, k, 11', [-0.127144, -0.282022, 1.0]], ['2, k, 12', [-0.440243, -0.257716, 1.0]], ['2, k, 13', [-0.482062, -0.634858, 1.0]], ['2, k, 14', [-0.515255, -1.00832, 1.0]], ['2, k, 15', [-0.519073, -1.06832, 1.0]], ['2, k, 16', [-0.268548, -0.246331, 1.0]], ['2, k, 17', [-0.21224, -0.6362, 1.0]], ['2, k, 18', [-0.1706, -1.02144, 1.0]], ['2, k, 19', [-0.150409, -1.07035, 1.0]], ['2, k, 20', [-0.365055, 0.27889, 1.0]], ['2, k, 21', [-0.568556, -0.392135, 1.0]], ['2, k, 22', [-0.510061, -0.334882, 1.0]], ['2, k, 23', [-0.130029, -0.371472, 1.0]], ['2, k, 24', [-0.166347, -0.273032, 1.0]]]
[['2, k, 0', [-0.359518, -0.255559, 1.0]], ['2, k, 1', [-0.363356, 0.0526602, 1.0]], ['2, k, 2', [-0.364331, 0.35253, 1.0]], ['2, k, 3', [-0.381207, 0.50266, 1.0]], ['2, k, 4', [-0.556679, 0.239638, 1.0]], ['2, k, 5', [-0.599145, -0.0472952, 1.0]], ['2, k, 6', [-0.569449, -0.296633, 1.0]], ['2, k, 7', [-0.56311, -0.314565, 1.0]], ['2, k, 8', [-0.17952, 0.265241, 1.0]], ['2, k, 9', [-0.109072, -0.0215767, 1.0]], ['2, k, 10', [-0.102273, -0.272281, 1.0]], ['2, k, 11', [-0.126826, -0.280559, 1.0]], ['2, k, 12', [-0.440191, -0.257613, 1.0]], ['2, k, 13', [-0.482054, -0.634895, 1.0]], ['2, k, 14', [-0.515358, -1.00844, 1.0]], ['2, k, 15', [-0.512089, -1.07006, 1.0]], ['2, k, 16', [-0.268482, -0.246159, 1.0]], ['2, k, 17', [-0.211931, -0.635702, 1.0]], ['2, k, 18', [-0.170571, -1.02138, 1.0]], ['2, k, 19', [-0.150717, -1.07082, 1.0]], ['2, k, 20', [-0.36452, 0.278769, 1.0]], ['2, k, 21', [-0.567966, -0.392608, 1.0]], ['2, k, 22', [-0.510662, -0.336621, 1.0]], ['2, k, 23', [-0.128286, -0.370176, 1.0]], ['2, k, 24', [-0.167311, -0.270651, 1.0]]]
[['2, k, 0', [-0.359368, -0.255659, 1.0]], ['2, k, 1', [-0.363199, 0.0525754, 1.0]], ['2, k, 2', [-0.364223, 0.352484, 1.0]], ['2, k, 3', [-0.381094, 0.502716, 1.0]], ['2, k, 4', [-0.557015, 0.239368, 1.0]], ['2, k, 5', [-0.599137, -0.0473119, 1.0]], ['2, k, 6', [-0.569467, -0.296607, 1.0]], ['2, k, 7', [-0.561366, -0.313106, 1.0]], ['2, k, 8', [-0.17935, 0.265182, 1.0]], ['2, k, 9', [-0.108914, -0.0214305, 1.0]], ['2, k, 10', [-0.102458, -0.272094, 1.0]], ['2, k, 11', [-0.127057, -0.280804, 1.0]], ['2, k, 12', [-0.440035, -0.257737, 1.0]], ['2, k, 13', [-0.481938, -0.634811, 1.0]], ['2, k, 14', [-0.516777, -1.0057, 1.0]], ['2, k, 15', [-0.511755, -1.06465, 1.0]], ['2, k, 16', [-0.268342, -0.246237, 1.0]], ['2, k, 17', [-0.211816, -0.636067, 1.0]], ['2, k, 18', [-0.170624, -1.01907, 1.0]], ['2, k, 19', [-0.151332, -1.06796, 1.0]], ['2, k, 20', [-0.364397, 0.278711, 1.0]], ['2, k, 21', [-0.562023, -0.390899, 1.0]], ['2, k, 22', [-0.510282, -0.326875, 1.0]], ['2, k, 23', [-0.128619, -0.369296, 1.0]], ['2, k, 24', [-0.167288, -0.273435, 1.0]]]
[['2, k, 0', [-0.35916, -0.255571, 1.0]], ['2, k, 1', [-0.362967, 0.0525717, 1.0]], ['2, k, 2', [-0.36401, 0.352399, 1.0]], ['2, k, 3', [-0.380963, 0.502798, 1.0]], ['2, k, 4', [-0.557007, 0.239412, 1.0]], ['2, k, 5', [-0.599166, -0.0472029, 1.0]], ['2, k, 6', [-0.569436, -0.296447, 1.0]], ['2, k, 7', [-0.562967, -0.313485, 1.0]], ['2, k, 8', [-0.179293, 0.265153, 1.0]], ['2, k, 9', [-0.108817, -0.0212367, 1.0]], ['2, k, 10', [-0.101541, -0.271808, 1.0]], ['2, k, 11', [-0.126146, -0.280469, 1.0]], ['2, k, 12', [-0.439812, -0.257605, 1.0]], ['2, k, 13', [-0.482005, -0.634538, 1.0]], ['2, k, 14', [-0.517816, -1.01013, 1.0]], ['2, k, 15', [-0.51109, -1.0633, 1.0]], ['2, k, 16', [-0.268141, -0.246184, 1.0]], ['2, k, 17', [-0.211395, -0.634949, 1.0]], ['2, k, 18', [-0.167493, -1.02104, 1.0]], ['2, k, 19', [-0.144937, -1.07473, 1.0]], ['2, k, 20', [-0.364174, 0.278644, 1.0]], ['2, k, 21', [-0.569097, -0.391751, 1.0]], ['2, k, 22', [-0.511091, -0.327243, 1.0]], ['2, k, 23', [-0.127378, -0.369595, 1.0]], ['2, k, 24', [-0.164568, -0.264216, 1.0]]]
[['2, k, 0', [-0.358603, -0.255584, 1.0]], ['2, k, 1', [-0.362663, 0.0525337, 1.0]], ['2, k, 2', [-0.363922, 0.352369, 1.0]], ['2, k, 3', [-0.380876, 0.502836, 1.0]], ['2, k, 4', [-0.556976, 0.239496, 1.0]], ['2, k, 5', [-0.599061, -0.0472628, 1.0]], ['2, k, 6', [-0.569395, -0.296477, 1.0]], ['2, k, 7', [-0.562608, -0.313982, 1.0]], ['2, k, 8', [-0.179237, 0.265115, 1.0]], ['2, k, 9', [-0.108784, -0.0211979, 1.0]], ['2, k, 10', [-0.10157, -0.271726, 1.0]], ['2, k, 11', [-0.126831, -0.280149, 1.0]], ['2, k, 12', [-0.439157, -0.257201, 1.0]], ['2, k, 13', [-0.482141, -0.633929, 1.0]], ['2, k, 14', [-0.51791, -1.00923, 1.0]], ['2, k, 15', [-0.509524, -1.06101, 1.0]], ['2, k, 16', [-0.267491, -0.246587, 1.0]], ['2, k, 17', [-0.210771, -0.634792, 1.0]], ['2, k, 18', [-0.168829, -1.02453, 1.0]], ['2, k, 19', [-0.145003, -1.0745, 1.0]], ['2, k, 20', [-0.364042, 0.27861, 1.0]], ['2, k, 21', [-0.5647, -0.393409, 1.0]], ['2, k, 22', [-0.509093, -0.33681, 1.0]], ['2, k, 23', [-0.127551, -0.370313, 1.0]], ['2, k, 24', [-0.167037, -0.271927, 1.0]]]
[['2, k, 0', [-0.358178, -0.255654, 1.0]], ['2, k, 1', [-0.362365, 0.0524144, 1.0]], ['2, k, 2', [-0.36378, 0.352244, 1.0]], ['2, k, 3', [-0.380729, 0.502889, 1.0]], ['2, k, 4', [-0.556972, 0.239498, 1.0]], ['2, k, 5', [-0.599093, -0.0472822, 1.0]], ['2, k, 6', [-0.569303, -0.29646, 1.0]], ['2, k, 7', [-0.560916, -0.314699, 1.0]], ['2, k, 8', [-0.179171, 0.265103, 1.0]], ['2, k, 9', [-0.108766, -0.0213114, 1.0]], ['2, k, 10', [-0.101553, -0.271792, 1.0]], ['2, k, 11', [-0.126167, -0.280619, 1.0]], ['2, k, 12', [-0.438784, -0.257076, 1.0]], ['2, k, 13', [-0.482217, -0.634571, 1.0]], ['2, k, 14', [-0.517105, -1.00899, 1.0]], ['2, k, 15', [-0.516939, -1.06954, 1.0]], ['2, k, 16', [-0.266951, -0.246924, 1.0]], ['2, k, 17', [-0.210772, -0.636957, 1.0]], ['2, k, 18', [-0.168381, -1.02561, 1.0]], ['2, k, 19', [-0.145289, -1.07438, 1.0]], ['2, k, 20', [-0.363862, 0.278482, 1.0]], ['2, k, 21', [-0.557382, -0.391652, 1.0]], ['2, k, 22', [-0.508946, -0.314288, 1.0]], ['2, k, 23', [-0.127565, -0.370741, 1.0]], ['2, k, 24', [-0.167158, -0.269827, 1.0]]]
