[['2, k, 0', [-0.08226906, 0.03673389, 1.0]], ['2, k, 1', [-0.09265507, 0.3240295, 1.0]], ['2, k, 2', [-0.1032308, 0.602779, 1.0]], ['2, k, 3', [-0.08334772, 0.7256867, 1.0]], ['2, k, 4', [-0.251843, 0.4896794, 1.0]], ['2, k, 5', [-0.273711, 0.2586585, 1.0]], ['2, k, 6', [-0.2717401, 0.1039332, 1.0]], ['2, k, 7', [-0.2526486, 0.04009346, 1.0]], ['2, k, 8', [0.06339515, 0.4960074, 1.0]], ['2, k, 9', [0.09425052, 0.2626813, 1.0]], ['2, k, 10', [0.08716335, 0.08707553, 1.0]], ['2, k, 11', [0.06469145, 0.02634256, 1.0]], ['2, k, 12', [-0.1498861, 0.03449788, 1.0]], ['2, k, 13', [-0.1420338, -0.2988464, 1.0]], ['2, k, 14', [-0.1417429, -0.6392256, 1.0]], ['2, k, 15', [-0.129676, -0.7109342, 1.0]], ['2, k, 16', [-0.01268327, 0.03780149, 1.0]], ['2, k, 17', [-0.03451379, -0.2954347, 1.0]], ['2, k, 18', [-0.03995094, -0.6196849, 1.0]], ['2, k, 19', [-0.04380912, -0.6962036, 1.0]], ['2, k, 20', [-0.1006425, 0.5343123, 1.0]], ['2, k, 21', [-0.2221782, 0.001720143, 1.0]], ['2, k, 22', [-0.2438915, 0.05464271, 1.0]], ['2, k, 23', [0.0605037, -0.0266373, 1.0]], ['2, k, 24', [0.07228901, -0.03572657, 1.0]]]
[['2, k, 0', [-0.08451734, 0.0363194, 1.0]], ['2, k, 1', [-0.09550043, 0.323318, 1.0]], ['2, k, 2', [-0.1066864, 0.6016733, 1.0]], ['2, k, 3', [-0.08694932, 0.7245906, 1.0]], ['2, k, 4', [-0.2538209, 0.4889606, 1.0]], ['2, k, 5', [-0.2760815, 0.2624296, 1.0]], ['2, k, 6', [-0.2733301, 0.112117, 1.0]], ['2, k, 7', [-0.2504773, 0.05093547, 1.0]], ['2, k, 8', [0.06004295, 0.4948918, 1.0]], ['2, k, 9', [0.09032582, 0.2637413, 1.0]], ['2, k, 10', [0.08115156, 0.09368733, 1.0]], ['2, k, 11', [0.05740574, 0.02866097, 1.0]], ['2, k, 12', [-0.1522908, 0.03409567, 1.0]], ['2, k, 13', [-0.1448194, -0.2987038, 1.0]], ['2, k, 14', [-0.1418251, -0.6390749, 1.0]], ['2, k, 15', [-0.1299348, -0.7113912, 1.0]], ['2, k, 16', [-0.01468225, 0.03742876, 1.0]], ['2, k, 17', [-0.03566401, -0.2962863, 1.0]], ['2, k, 18', [-0.03991209, -0.6182289, 1.0]], ['2, k, 19', [-0.04386204, -0.6960304, 1.0]], ['2, k, 20', [-0.1039532, 0.5333141, 1.0]], ['2, k, 21', [-0.2238959, 0.01210876, 1.0]], ['2, k, 22', [-0.2336447, 0.06603713, 1.0]], ['2, k, 23', [0.05104882, -0.02129873, 1.0]], ['2, k, 24', [0.07275266, -0.006388085, 1.0]]]
[['2, k, 0', [-0.0871506, 0.03589211, 1.0]], ['2, k, 1', [-0.1017095, 0.3221081, 1.0]], ['2, k, 2', [-0.1170937, 0.5994545, 1.0]], ['2, k, 3', [-0.09196507, 0.723092, 1.0]], ['2, k, 4', [-0.2614049, 0.4890322, 1.0]], ['2, k, 5', [-0.2808238, 0.2633914, 1.0]], ['2, k, 6', [-0.2745407, 0.1138012, 1.0]], ['2, k, 7', [-0.2545935, 0.04988742, 1.0]], ['2, k, 8', [0.05298948, 0.4930742, 1.0]], ['2, k, 9', [0.08130988, 0.2626629, 1.0]], ['2, k, 10', [0.07827178, 0.09356721, 1.0]], ['2, k, 11', [0.05379726, 0.02345992, 1.0]], ['2, k, 12', [-0.1552956, 0.03320917, 1.0]], ['2, k, 13', [-0.1551994, -0.2993133, 1.0]], ['2, k, 14', [-0.1447886, -0.6399683, 1.0]], ['2, k, 15', [-0.1305876, -0.7131227, 1.0]], ['2, k, 16', [-0.0171422, 0.03739374, 1.0]], ['2, k, 17', [-0.0236747, -0.29915, 1.0]], ['2, k, 18', [-0.04002716, -0.6317063, 1.0]], ['2, k, 19', [-0.04306443, -0.7071639, 1.0]], ['2, k, 20', [-0.1132717, 0.5313649, 1.0]], ['2, k, 21', [-0.2200216, 0.01181658, 1.0]], ['2, k, 22', [-0.227992, 0.06169273, 1.0]], ['2, k, 23', [0.05005163, -0.02576255, 1.0]], ['2, k, 24', [0.07445244, -0.02247373, 1.0]]]
[['2, k, 0', [-0.0890401, 0.03559179, 1.0]], ['2, k, 1', [-0.1045681, 0.3216206, 1.0]], ['2, k, 2', [-0.1202075, 0.5989211, 1.0]], ['2, k, 3', [-0.09635677, 0.7214401, 1.0]], ['2, k, 4', [-0.2666423, 0.4885082, 1.0]], ['2, k, 5', [-0.2866856, 0.262403, 1.0]], ['2, k, 6', [-0.2779646, 0.1121111, 1.0]], ['2, k, 7', [-0.2580061, 0.04118839, 1.0]], ['2, k, 8', [0.04736883, 0.4896545, 1.0]], ['2, k, 9', [0.07567534, 0.261778, 1.0]], ['2, k, 10', [0.07538743, 0.09026121, 1.0]], ['2, k, 11', [0.05540876, 0.01398844, 1.0]], ['2, k, 12', [-0.1574045, 0.03256237, 1.0]], ['2, k, 13', [-0.1672126, -0.2990968, 1.0]], ['2, k, 14', [-0.1484458, -0.6387939, 1.0]], ['2, k, 15', [-0.1334314, -0.7134672, 1.0]], ['2, k, 16', [-0.01895343, 0.03741714, 1.0]], ['2, k, 17', [-0.01263357, -0.3007596, 1.0]], ['2, k, 18', [-0.03905122, -0.6317149, 1.0]], ['2, k, 19', [-0.03684037, -0.7074739, 1.0]], ['2, k, 20', [-0.1163814, 0.5308309, 1.0]], ['2, k, 21', [-0.2271551, 0.002968123, 1.0]], ['2, k, 22', [-0.2362863, 0.04853138, 1.0]], ['2, k, 23', [0.05105029, -0.02977564, 1.0]], ['2, k, 24', [0.08248083, -0.01652699, 1.0]]]
[['2, k, 0', [-0.0906525, 0.03552255, 1.0]], ['2, k, 1', [-0.1085648, 0.3215833, 1.0]], ['2, k, 2', [-0.1268645, 0.5990548, 1.0]], ['2, k, 3', [-0.1008572, 0.7219539, 1.0]], ['2, k, 4', [-0.2722684, 0.4869485, 1.0]], ['2, k, 5', [-0.2938437, 0.2612351, 1.0]], ['2, k, 6', [-0.2845206, 0.1045182, 1.0]], ['2, k, 7', [-0.2687109, 0.02779536, 1.0]], ['2, k, 8', [0.0427549, 0.4887545, 1.0]], ['2, k, 9', [0.07129763, 0.2587886, 1.0]], ['2, k, 10', [0.07411573, 0.0634641, 1.0]], ['2, k, 11', [0.05824354, 0.004097272, 1.0]], ['2, k, 12', [-0.1589962, 0.03210215, 1.0]], ['2, k, 13', [-0.1727643, -0.2987891, 1.0]], ['2, k, 14', [-0.1501279, -0.6353192, 1.0]], ['2, k, 15', [-0.1350256, -0.7114177, 1.0]], ['2, k, 16', [-0.02052228, 0.03777451, 1.0]], ['2, k, 17', [0.001124721, -0.2908086, 1.0]], ['2, k, 18', [-0.02809739, -0.6305451, 1.0]], ['2, k, 19', [-0.00864551, -0.702379, 1.0]], ['2, k, 20', [-0.1223602, 0.5309088, 1.0]], ['2, k, 21', [-0.2378467, -0.01711576, 1.0]], ['2, k, 22', [-0.2418035, 0.02544689, 1.0]], ['2, k, 23', [0.05684037, -0.03352081, 1.0]], ['2, k, 24', [0.08321347, 0.001646327, 1.0]]]
[['2, k, 0', [-0.09423103, 0.03596072, 1.0]], ['2, k, 1', [-0.1133086, 0.3219302, 1.0]], ['2, k, 2', [-0.1320266, 0.5992911, 1.0]], ['2, k, 3', [-0.1054867, 0.7219368, 1.0]], ['2, k, 4', [-0.2773749, 0.4864581, 1.0]], ['2, k, 5', [-0.3076627, 0.2537604, 1.0]], ['2, k, 6', [-0.3050491, 0.05331583, 1.0]], ['2, k, 7', [-0.2964634, -0.009697218, 1.0]], ['2, k, 8', [0.03693029, 0.4886502, 1.0]], ['2, k, 9', [0.0661722, 0.2541335, 1.0]], ['2, k, 10', [0.07918724, 0.0708679, 1.0]], ['2, k, 11', [0.07832134, -0.006187391, 1.0]], ['2, k, 12', [-0.1619976, 0.03210954, 1.0]], ['2, k, 13', [-0.1768304, -0.2980714, 1.0]], ['2, k, 14', [-0.1532269, -0.6341307, 1.0]], ['2, k, 15', [-0.1375458, -0.7109899, 1.0]], ['2, k, 16', [-0.02469848, 0.03880607, 1.0]], ['2, k, 17', [0.03935267, -0.2591623, 1.0]], ['2, k, 18', [0.02668041, -0.6164767, 1.0]], ['2, k, 19', [0.05801392, -0.6933594, 1.0]], ['2, k, 20', [-0.1274726, 0.531174, 1.0]], ['2, k, 21', [-0.2666906, -0.07064873, 1.0]], ['2, k, 22', [-0.271655, -0.01084391, 1.0]], ['2, k, 23', [0.08656916, -0.06086692, 1.0]], ['2, k, 24', [0.099777, -0.002053967, 1.0]]]
[['2, k, 0', [-0.09771238, 0.03725668, 1.0]], ['2, k, 1', [-0.1176517, 0.3227625, 1.0]], ['2, k, 2', [-0.1370419, 0.5996184, 1.0]], ['2, k, 3', [-0.1114629, 0.7219218, 1.0]], ['2, k, 4', [-0.2896403, 0.4848221, 1.0]], ['2, k, 5', [-0.3356639, 0.2517317, 1.0]], ['2, k, 6', [-0.3508919, 0.01462183, 1.0]], ['2, k, 7', [-0.3533982, -0.05095563, 1.0]], ['2, k, 8', [0.02906105, 0.4868914, 1.0]], ['2, k, 9', [0.06135952, 0.2540098, 1.0]], ['2, k, 10', [0.1197639, 0.04978361, 1.0]], ['2, k, 11', [0.1262065, -0.02524972, 1.0]], ['2, k, 12', [-0.1646716, 0.0323377, 1.0]], ['2, k, 13', [-0.1841138, -0.2800751, 1.0]], ['2, k, 14', [-0.1544404, -0.6343828, 1.0]], ['2, k, 15', [-0.139604, -0.710395, 1.0]], ['2, k, 16', [-0.02931417, 0.04153444, 1.0]], ['2, k, 17', [0.1039715, -0.2463268, 1.0]], ['2, k, 18', [0.1768244, -0.6039956, 1.0]], ['2, k, 19', [0.2434082, -0.6821289, 1.0]], ['2, k, 20', [-0.1323336, 0.5316325, 1.0]], ['2, k, 21', [-0.3489029, -0.1222535, 1.0]], ['2, k, 22', [-0.3241158, -0.066875, 1.0]], ['2, k, 23', [0.1546836, -0.08446501, 1.0]], ['2, k, 24', [0.1599941, -0.05838749, 1.0]]]
[['2, k, 0', [-0.1012435, 0.03851297, 1.0]], ['2, k, 1', [-0.1211282, 0.3234967, 1.0]], ['2, k, 2', [-0.1403279, 0.5999197, 1.0]], ['2, k, 3', [-0.1143693, 0.7223362, 1.0]], ['2, k, 4', [-0.2955542, 0.4837446, 1.0]], ['2, k, 5', [-0.337983, 0.2505387, 1.0]], ['2, k, 6', [-0.3571936, 0.01344509, 1.0]], ['2, k, 7', [-0.3662199, -0.0526042, 1.0]], ['2, k, 8', [0.02486051, 0.4867697, 1.0]], ['2, k, 9', [0.05901904, 0.2547533, 1.0]], ['2, k, 10', [0.1267373, 0.03387666, 1.0]], ['2, k, 11', [0.1365347, -0.03523244, 1.0]], ['2, k, 12', [-0.1673428, 0.03271093, 1.0]], ['2, k, 13', [-0.1852925, -0.2791206, 1.0]], ['2, k, 14', [-0.1565599, -0.6348458, 1.0]], ['2, k, 15', [-0.1416557, -0.7097383, 1.0]], ['2, k, 16', [-0.03325634, 0.04365653, 1.0]], ['2, k, 17', [0.1063043, -0.231581, 1.0]], ['2, k, 18', [0.2229433, -0.5946507, 1.0]], ['2, k, 19', [0.2836976, -0.6759306, 1.0]], ['2, k, 20', [-0.1356744, 0.5320355, 1.0]], ['2, k, 21', [-0.3605178, -0.1278567, 1.0]], ['2, k, 22', [-0.3252641, -0.05229308, 1.0]], ['2, k, 23', [0.1699753, -0.09731209, 1.0]], ['2, k, 24', [0.1709926, -0.04671479, 1.0]]]
[['2, k, 0', [-0.1035244, 0.03908669, 1.0]], ['2, k, 1', [-0.1238282, 0.323888, 1.0]], ['2, k, 2', [-0.1434046, 0.6001415, 1.0]], ['2, k, 3', [-0.1168654, 0.7224567, 1.0]], ['2, k, 4', [-0.2976801, 0.4828146, 1.0]], ['2, k, 5', [-0.3414279, 0.2512972, 1.0]], ['2, k, 6', [-0.3679144, 0.01494311, 1.0]], ['2, k, 7', [-0.3803762, -0.05098167, 1.0]], ['2, k, 8', [0.02251933, 0.4865447, 1.0]], ['2, k, 9', [0.05850546, 0.2550038, 1.0]], ['2, k, 10', [0.1286651, 0.03193671, 1.0]], ['2, k, 11', [0.1375633, -0.03225015, 1.0]], ['2, k, 12', [-0.1697997, 0.03305168, 1.0]], ['2, k, 13', [-0.1859706, -0.276512, 1.0]], ['2, k, 14', [-0.1569393, -0.6345813, 1.0]], ['2, k, 15', [-0.1430418, -0.7084685, 1.0]], ['2, k, 16', [-0.03509387, 0.04430393, 1.0]], ['2, k, 17', [0.1128556, -0.2240104, 1.0]], ['2, k, 18', [0.2466342, -0.582433, 1.0]], ['2, k, 19', [0.3084608, -0.6687968, 1.0]], ['2, k, 20', [-0.1386605, 0.5322999, 1.0]], ['2, k, 21', [-0.379389, -0.1250504, 1.0]], ['2, k, 22', [-0.3461333, -0.05270572, 1.0]], ['2, k, 23', [0.1718227, -0.09637775, 1.0]], ['2, k, 24', [0.1597002, -0.02414882, 1.0]]]
[['2, k, 0', [-0.1042295, 0.03956796, 1.0]], ['2, k, 1', [-0.1250835, 0.324416, 1.0]], ['2, k, 2', [-0.1454236, 0.6007833, 1.0]], ['2, k, 3', [-0.118516, 0.7223557, 1.0]], ['2, k, 4', [-0.2991041, 0.4824977, 1.0]], ['2, k, 5', [-0.3464301, 0.2539938, 1.0]], ['2, k, 6', [-0.3794347, 0.01880529, 1.0]], ['2, k, 7', [-0.3892629, -0.04551837, 1.0]], ['2, k, 8', [0.02133451, 0.4865339, 1.0]], ['2, k, 9', [0.0583806, 0.255263, 1.0]], ['2, k, 10', [0.1296691, 0.03201779, 1.0]], ['2, k, 11', [0.140249, -0.02865136, 1.0]], ['2, k, 12', [-0.1704752, 0.03339594, 1.0]], ['2, k, 13', [-0.1863566, -0.2765556, 1.0]], ['2, k, 14', [-0.1573492, -0.6354163, 1.0]], ['2, k, 15', [-0.1443628, -0.7087102, 1.0]], ['2, k, 16', [-0.03569842, 0.04485309, 1.0]], ['2, k, 17', [0.1208188, -0.219023, 1.0]], ['2, k, 18', [0.2748924, -0.5703152, 1.0]], ['2, k, 19', [0.2926931, -0.6180107, 1.0]], ['2, k, 20', [-0.1404697, 0.5329099, 1.0]], ['2, k, 21', [-0.3889616, -0.1204425, 1.0]], ['2, k, 22', [-0.3555563, -0.04875141, 1.0]], ['2, k, 23', [0.1765828, -0.09003934, 1.0]], ['2, k, 24', [0.1767757, -0.04606689, 1.0]]]
[['2, k, 0', [-0.1043224, 0.04069575, 1.0]], ['2, k, 1', [-0.1257465, 0.3249357, 1.0]], ['2, k, 2', [-0.1465574, 0.6010167, 1.0]], ['2, k, 3', [-0.1206633, 0.7224669, 1.0]], ['2, k, 4', [-0.3006942, 0.4823542, 1.0]], ['2, k, 5', [-0.3481628, 0.2551628, 1.0]], ['2, k, 6', [-0.3823112, 0.02035724, 1.0]], ['2, k, 7', [-0.3946764, -0.04326397, 1.0]], ['2, k, 8', [0.01873044, 0.4855052, 1.0]], ['2, k, 9', [0.05851271, 0.2552024, 1.0]], ['2, k, 10', [0.133921, 0.03219887, 1.0]], ['2, k, 11', [0.1516249, -0.03510308, 1.0]], ['2, k, 12', [-0.1704317, 0.03419311, 1.0]], ['2, k, 13', [-0.1869252, -0.2739589, 1.0]], ['2, k, 14', [-0.1576075, -0.6350479, 1.0]], ['2, k, 15', [-0.1443562, -0.7084843, 1.0]], ['2, k, 16', [-0.03584068, 0.04628349, 1.0]], ['2, k, 17', [0.1270945, -0.2227125, 1.0]], ['2, k, 18', [0.2831434, -0.573467, 1.0]], ['2, k, 19', [0.3004152, -0.6210667, 1.0]], ['2, k, 20', [-0.1414558, 0.5332018, 1.0]], ['2, k, 21', [-0.3925864, -0.1154543, 1.0]], ['2, k, 22', [-0.3554983, -0.04125505, 1.0]], ['2, k, 23', [0.1770194, -0.09704503, 1.0]], ['2, k, 24', [0.1748, -0.02981196, 1.0]]]
