[['2, k, 0', [-0.1260783, 0.112902, 1.0]], ['2, k, 1', [-0.1230137, 0.4394672, 1.0]], ['2, k, 2', [-0.1188375, 0.7536106, 1.0]], ['2, k, 3', [-0.1137344, 0.8930514, 1.0]], ['2, k, 4', [-0.297027, 0.6311385, 1.0]], ['2, k, 5', [-0.3687809, 0.3623964, 1.0]], ['2, k, 6', [-0.3815334, 0.1190411, 1.0]], ['2, k, 7', [-0.3722179, 0.051071, 1.0]], ['2, k, 8', [0.06499422, 0.6329848, 1.0]], ['2, k, 9', [0.0954354, 0.3629377, 1.0]], ['2, k, 10', [0.1253401, 0.1369146, 1.0]], ['2, k, 11', [0.1059517, 0.05676264, 1.0]], ['2, k, 12', [-0.2046573, 0.11163, 1.0]], ['2, k, 13', [-0.2489138, -0.3383162, 1.0]], ['2, k, 14', [-0.2686587, -0.6830355, 1.0]], ['2, k, 15', [-0.2878643, -0.7581713, 1.0]], ['2, k, 16', [-0.04328033, 0.1104214, 1.0]], ['2, k, 17', [-0.09016531, -0.3151665, 1.0]], ['2, k, 18', [-0.113865, -0.6677906, 1.0]], ['2, k, 19', [-0.06827691, -0.7347102, 1.0]], ['2, k, 20', [-0.1200251, 0.6768252, 1.0]], ['2, k, 21', [-0.3791836, -0.01754919, 1.0]], ['2, k, 22', [-0.3196474, 0.05560284, 1.0]], ['2, k, 23', [0.09916399, -0.02103038, 1.0]], ['2, k, 24', [0.06929316, 0.04070569, 1.0]]]
[['2, k, 0', [-0.1241665, 0.1126991, 1.0]], ['2, k, 1', [-0.1185419, 0.4393963, 1.0]], ['2, k, 2', [-0.1112316, 0.7538506, 1.0]], ['2, k, 3', [-0.1062425, 0.8931202, 1.0]], ['2, k, 4', [-0.2904137, 0.6314807, 1.0]], ['2, k, 5', [-0.3655636, 0.3640883, 1.0]], ['2, k, 6', [-0.3818691, 0.1203912, 1.0]], ['2, k, 7', [-0.3758616, 0.05478423, 1.0]], ['2, k, 8', [0.07264447, 0.6313432, 1.0]], ['2, k, 9', [0.1000914, 0.3612497, 1.0]], ['2, k, 10', [0.1265947, 0.1347105, 1.0]], ['2, k, 11', [0.1079016, 0.05337926, 1.0]], ['2, k, 12', [-0.2028901, 0.1119156, 1.0]], ['2, k, 13', [-0.251393, -0.3402125, 1.0]], ['2, k, 14', [-0.2895199, -0.6745265, 1.0]], ['2, k, 15', [-0.2927046, -0.7518713, 1.0]], ['2, k, 16', [-0.04121735, 0.1097, 1.0]], ['2, k, 17', [-0.08739007, -0.3159828, 1.0]], ['2, k, 18', [-0.1136594, -0.6679527, 1.0]], ['2, k, 19', [-0.1324675, -0.7283201, 1.0]], ['2, k, 20', [-0.1132412, 0.6769724, 1.0]], ['2, k, 21', [-0.3498544, -0.04593945, 1.0]], ['2, k, 22', [-0.3198197, 0.08239834, 1.0]], ['2, k, 23', [0.1039408, -0.02601845, 1.0]], ['2, k, 24', [0.07321836, 0.05566147, 1.0]]]
[['2, k, 0', [-0.1227655, 0.1128075, 1.0]], ['2, k, 1', [-0.1148381, 0.4396881, 1.0]], ['2, k, 2', [-0.1049561, 0.7543354, 1.0]], ['2, k, 3', [-0.09750974, 0.8928007, 1.0]], ['2, k, 4', [-0.2845261, 0.6321992, 1.0]], ['2, k, 5', [-0.3623064, 0.3656158, 1.0]], ['2, k, 6', [-0.3823286, 0.1215512, 1.0]], ['2, k, 7', [-0.3780181, 0.05634336, 1.0]], ['2, k, 8', [0.07843076, 0.6299344, 1.0]], ['2, k, 9', [0.1062221, 0.3595865, 1.0]], ['2, k, 10', [0.1294393, 0.112587, 1.0]], ['2, k, 11', [0.1107768, 0.04720848, 1.0]], ['2, k, 12', [-0.2015581, 0.1124862, 1.0]], ['2, k, 13', [-0.2603329, -0.3398703, 1.0]], ['2, k, 14', [-0.323594, -0.6490055, 1.0]], ['2, k, 15', [-0.3483883, -0.7347622, 1.0]], ['2, k, 16', [-0.03971994, 0.1093585, 1.0]], ['2, k, 17', [-0.08588133, -0.3149493, 1.0]], ['2, k, 18', [-0.1139711, -0.6678256, 1.0]], ['2, k, 19', [-0.07181017, -0.7308156, 1.0]], ['2, k, 20', [-0.1076031, 0.677411, 1.0]], ['2, k, 21', [-0.3828116, -0.01643507, 1.0]], ['2, k, 22', [-0.3228441, 0.05054782, 1.0]], ['2, k, 23', [0.09789982, -0.03622004, 1.0]], ['2, k, 24', [0.07234477, 0.04766296, 1.0]]]
[['2, k, 0', [-0.1224061, 0.1126797, 1.0]], ['2, k, 1', [-0.1116394, 0.4395695, 1.0]], ['2, k, 2', [-0.09744895, 0.7544774, 1.0]], ['2, k, 3', [-0.09163488, 0.8926328, 1.0]], ['2, k, 4', [-0.2766627, 0.6325451, 1.0]], ['2, k, 5', [-0.3587048, 0.3659063, 1.0]], ['2, k, 6', [-0.3842655, 0.1259127, 1.0]], ['2, k, 7', [-0.3825659, 0.05694654, 1.0]], ['2, k, 8', [0.08412311, 0.6302447, 1.0]], ['2, k, 9', [0.1110565, 0.3593401, 1.0]], ['2, k, 10', [0.1297147, 0.1112317, 1.0]], ['2, k, 11', [0.1133905, 0.04609379, 1.0]], ['2, k, 12', [-0.2012989, 0.1125496, 1.0]], ['2, k, 13', [-0.2731229, -0.3400681, 1.0]], ['2, k, 14', [-0.3440014, -0.6458169, 1.0]], ['2, k, 15', [-0.3828059, -0.7199856, 1.0]], ['2, k, 16', [-0.03921291, 0.1089587, 1.0]], ['2, k, 17', [-0.08549017, -0.3142297, 1.0]], ['2, k, 18', [-0.114135, -0.6679717, 1.0]], ['2, k, 19', [-0.07069481, -0.7321879, 1.0]], ['2, k, 20', [-0.1012554, 0.6774712, 1.0]], ['2, k, 21', [-0.3958979, -0.008279306, 1.0]], ['2, k, 22', [-0.3265009, 0.0538738, 1.0]], ['2, k, 23', [0.09639577, -0.04426033, 1.0]], ['2, k, 24', [0.06684987, 0.01554373, 1.0]]]
[['2, k, 0', [-0.1222025, 0.1124641, 1.0]], ['2, k, 1', [-0.1091593, 0.4395508, 1.0]], ['2, k, 2', [-0.0920793, 0.755206, 1.0]], ['2, k, 3', [-0.08549365, 0.8937867, 1.0]], ['2, k, 4', [-0.2717341, 0.6324053, 1.0]], ['2, k, 5', [-0.3559181, 0.3655313, 1.0]], ['2, k, 6', [-0.3854234, 0.1266978, 1.0]], ['2, k, 7', [-0.3850096, 0.05837803, 1.0]], ['2, k, 8', [0.08790438, 0.630424, 1.0]], ['2, k, 9', [0.1164892, 0.3578131, 1.0]], ['2, k, 10', [0.1304403, 0.1092439, 1.0]], ['2, k, 11', [0.1161703, 0.04539533, 1.0]], ['2, k, 12', [-0.2011623, 0.112541, 1.0]], ['2, k, 13', [-0.2859046, -0.33878, 1.0]], ['2, k, 14', [-0.3791531, -0.6497927, 1.0]], ['2, k, 15', [-0.4360673, -0.7080315, 1.0]], ['2, k, 16', [-0.03889862, 0.1083321, 1.0]], ['2, k, 17', [-0.08480776, -0.3121826, 1.0]], ['2, k, 18', [-0.1138733, -0.6677991, 1.0]], ['2, k, 19', [-0.07080959, -0.7328064, 1.0]], ['2, k, 20', [-0.09658291, 0.6779836, 1.0]], ['2, k, 21', [-0.3978209, -0.01250626, 1.0]], ['2, k, 22', [-0.3310261, 0.05315138, 1.0]], ['2, k, 23', [0.1038381, -0.04329558, 1.0]], ['2, k, 24', [0.06803128, 0.02283769, 1.0]]]
[['2, k, 0', [-0.1221903, 0.1124024, 1.0]], ['2, k, 1', [-0.1073063, 0.4393791, 1.0]], ['2, k, 2', [-0.08766515, 0.7549103, 1.0]], ['2, k, 3', [-0.08222694, 0.8933433, 1.0]], ['2, k, 4', [-0.2687001, 0.632208, 1.0]], ['2, k, 5', [-0.3531169, 0.3645743, 1.0]], ['2, k, 6', [-0.386661, 0.1232802, 1.0]], ['2, k, 7', [-0.3850211, 0.0596141, 1.0]], ['2, k, 8', [0.09213188, 0.6301223, 1.0]], ['2, k, 9', [0.120029, 0.356488, 1.0]], ['2, k, 10', [0.1327458, 0.1083015, 1.0]], ['2, k, 11', [0.12056, 0.04092269, 1.0]], ['2, k, 12', [-0.2011615, 0.1126323, 1.0]], ['2, k, 13', [-0.3069642, -0.3385858, 1.0]], ['2, k, 14', [-0.4222295, -0.6302451, 1.0]], ['2, k, 15', [-0.5092773, -0.7143555, 1.0]], ['2, k, 16', [-0.038871, 0.1078644, 1.0]], ['2, k, 17', [-0.08309207, -0.3079673, 1.0]], ['2, k, 18', [-0.1138119, -0.667299, 1.0]], ['2, k, 19', [-0.07015989, -0.7333213, 1.0]], ['2, k, 20', [-0.0927994, 0.6777331, 1.0]], ['2, k, 21', [-0.3739519, -0.04896101, 1.0]], ['2, k, 22', [-0.3273446, 0.08301447, 1.0]], ['2, k, 23', [0.1075018, -0.04287835, 1.0]], ['2, k, 24', [0.07568391, 0.0367924, 1.0]]]
[['2, k, 0', [-0.1221591, 0.1123868, 1.0]], ['2, k, 1', [-0.1061593, 0.4393181, 1.0]], ['2, k, 2', [-0.08589374, 0.7546877, 1.0]], ['2, k, 3', [-0.07904013, 0.8928084, 1.0]], ['2, k, 4', [-0.265258, 0.6324437, 1.0]], ['2, k, 5', [-0.3507113, 0.3638676, 1.0]], ['2, k, 6', [-0.3876006, 0.1235114, 1.0]], ['2, k, 7', [-0.3860874, 0.06231499, 1.0]], ['2, k, 8', [0.09537098, 0.6295282, 1.0]], ['2, k, 9', [0.124008, 0.3562191, 1.0]], ['2, k, 10', [0.1355146, 0.1063773, 1.0]], ['2, k, 11', [0.1221495, 0.03929028, 1.0]], ['2, k, 12', [-0.2010646, 0.1129822, 1.0]], ['2, k, 13', [-0.3407264, -0.3243145, 1.0]], ['2, k, 14', [-0.3920395, -0.6634883, 1.0]], ['2, k, 15', [-0.4936796, -0.6730674, 1.0]], ['2, k, 16', [-0.03880834, 0.1074342, 1.0]], ['2, k, 17', [-0.08174293, -0.3047761, 1.0]], ['2, k, 18', [-0.1141668, -0.6665078, 1.0]], ['2, k, 19', [-0.06884452, -0.7332789, 1.0]], ['2, k, 20', [-0.09112626, 0.6775607, 1.0]], ['2, k, 21', [-0.4060498, -0.01179094, 1.0]], ['2, k, 22', [-0.3402, 0.03899336, 1.0]], ['2, k, 23', [0.1074672, -0.04815464, 1.0]], ['2, k, 24', [0.07355195, 0.02492265, 1.0]]]
[['2, k, 0', [-0.1220624, 0.1123645, 1.0]], ['2, k, 1', [-0.1045646, 0.4393995, 1.0]], ['2, k, 2', [-0.0830955, 0.7548168, 1.0]], ['2, k, 3', [-0.07674539, 0.8935477, 1.0]], ['2, k, 4', [-0.2628093, 0.6321498, 1.0]], ['2, k, 5', [-0.3468785, 0.3634604, 1.0]], ['2, k, 6', [-0.3839468, 0.1353493, 1.0]], ['2, k, 7', [-0.3870539, 0.06853269, 1.0]], ['2, k, 8', [0.09705876, 0.6292142, 1.0]], ['2, k, 9', [0.1271434, 0.3558706, 1.0]], ['2, k, 10', [0.1378865, 0.1049544, 1.0]], ['2, k, 11', [0.1229101, 0.03722138, 1.0]], ['2, k, 12', [-0.2009083, 0.1134029, 1.0]], ['2, k, 13', [-0.3472853, -0.3184623, 1.0]], ['2, k, 14', [-0.4948714, -0.6168537, 1.0]], ['2, k, 15', [-0.5359065, -0.6855534, 1.0]], ['2, k, 16', [-0.0386402, 0.1070514, 1.0]], ['2, k, 17', [-0.08027802, -0.3018222, 1.0]], ['2, k, 18', [-0.1145124, -0.6662605, 1.0]], ['2, k, 19', [-0.06768955, -0.7331808, 1.0]], ['2, k, 20', [-0.08860276, 0.6776862, 1.0]], ['2, k, 21', [-0.4027285, -0.01545175, 1.0]], ['2, k, 22', [-0.3366619, 0.0487733, 1.0]], ['2, k, 23', [0.1135909, -0.04341408, 1.0]], ['2, k, 24', [0.07958836, 0.03610176, 1.0]]]
[['2, k, 0', [-0.1215926, 0.1123892, 1.0]], ['2, k, 1', [-0.1031786, 0.439474, 1.0]], ['2, k, 2', [-0.08181287, 0.7548013, 1.0]], ['2, k, 3', [-0.07400743, 0.893716, 1.0]], ['2, k, 4', [-0.2607304, 0.6320411, 1.0]], ['2, k, 5', [-0.344149, 0.3625426, 1.0]], ['2, k, 6', [-0.3836908, 0.1414599, 1.0]], ['2, k, 7', [-0.3894818, 0.06850658, 1.0]], ['2, k, 8', [0.09903616, 0.6291519, 1.0]], ['2, k, 9', [0.130719, 0.3543127, 1.0]], ['2, k, 10', [0.1409922, 0.1034091, 1.0]], ['2, k, 11', [0.1256881, 0.0362546, 1.0]], ['2, k, 12', [-0.200417, 0.113809, 1.0]], ['2, k, 13', [-0.360363, -0.3133354, 1.0]], ['2, k, 14', [-0.5231837, -0.6372246, 1.0]], ['2, k, 15', [-0.6123047, -0.6967773, 1.0]], ['2, k, 16', [-0.03814941, 0.1068543, 1.0]], ['2, k, 17', [-0.07646059, -0.2981146, 1.0]], ['2, k, 18', [-0.112787, -0.6635342, 1.0]], ['2, k, 19', [-0.06753378, -0.7329683, 1.0]], ['2, k, 20', [-0.08725808, 0.6776968, 1.0]], ['2, k, 21', [-0.4074327, -0.01695786, 1.0]], ['2, k, 22', [-0.336275, 0.0701522, 1.0]], ['2, k, 23', [0.1075459, -0.05028139, 1.0]], ['2, k, 24', [0.08238988, 0.0406774, 1.0]]]
[['2, k, 0', [-0.1211753, 0.1121927, 1.0]], ['2, k, 1', [-0.1016943, 0.439213, 1.0]], ['2, k, 2', [-0.07971208, 0.7544623, 1.0]], ['2, k, 3', [-0.07084692, 0.8937465, 1.0]], ['2, k, 4', [-0.2573095, 0.6312299, 1.0]], ['2, k, 5', [-0.3416007, 0.3620991, 1.0]], ['2, k, 6', [-0.3992969, 0.1186023, 1.0]], ['2, k, 7', [-0.4000978, 0.06241877, 1.0]], ['2, k, 8', [0.1015936, 0.6287245, 1.0]], ['2, k, 9', [0.1333815, 0.3538432, 1.0]], ['2, k, 10', [0.1472943, 0.1069807, 1.0]], ['2, k, 11', [0.1285554, 0.03776621, 1.0]], ['2, k, 12', [-0.2002052, 0.1138569, 1.0]], ['2, k, 13', [-0.3831892, -0.3075931, 1.0]], ['2, k, 14', [-0.5716746, -0.6490217, 1.0]], ['2, k, 15', [-0.6572266, -0.7236328, 1.0]], ['2, k, 16', [-0.03754493, 0.1063018, 1.0]], ['2, k, 17', [-0.07151344, -0.2960877, 1.0]], ['2, k, 18', [-0.1086176, -0.654774, 1.0]], ['2, k, 19', [-0.07272369, -0.7308618, 1.0]], ['2, k, 20', [-0.08529551, 0.6773824, 1.0]], ['2, k, 21', [-0.4168622, -0.024012, 1.0]], ['2, k, 22', [-0.3516738, 0.05190792, 1.0]], ['2, k, 23', [0.1079891, -0.04946631, 1.0]], ['2, k, 24', [0.08624128, 0.05061657, 1.0]]]
[['2, k, 0', [-0.1210894, 0.1120308, 1.0]], ['2, k, 1', [-0.1010184, 0.4390138, 1.0]], ['2, k, 2', [-0.07852638, 0.7542626, 1.0]], ['2, k, 3', [-0.06929148, 0.8938119, 1.0]], ['2, k, 4', [-0.2550282, 0.6307408, 1.0]], ['2, k, 5', [-0.340334, 0.3606741, 1.0]], ['2, k, 6', [-0.4005465, 0.1160733, 1.0]], ['2, k, 7', [-0.4023334, 0.06014847, 1.0]], ['2, k, 8', [0.1028244, 0.6283165, 1.0]], ['2, k, 9', [0.1351876, 0.3533655, 1.0]], ['2, k, 10', [0.1491953, 0.1079836, 1.0]], ['2, k, 11', [0.1314097, 0.03902783, 1.0]], ['2, k, 12', [-0.2001881, 0.113849, 1.0]], ['2, k, 13', [-0.3886011, -0.3067417, 1.0]], ['2, k, 14', [-0.5868744, -0.6552176, 1.0]], ['2, k, 15', [-0.6569546, -0.722953, 1.0]], ['2, k, 16', [-0.03740191, 0.1058834, 1.0]], ['2, k, 17', [-0.06914195, -0.2953056, 1.0]], ['2, k, 18', [-0.1073393, -0.651374, 1.0]], ['2, k, 19', [-0.07389081, -0.7301566, 1.0]], ['2, k, 20', [-0.08423074, 0.6771811, 1.0]], ['2, k, 21', [-0.4259475, -0.01782693, 1.0]], ['2, k, 22', [-0.3556794, 0.04833289, 1.0]], ['2, k, 23', [0.1193039, -0.04386602, 1.0]], ['2, k, 24', [0.0873842, 0.04629295, 1.0]]]
