[['2, k, 0', [-0.217103, -0.250998, 1.0]], ['2, k, 1', [-0.216973, 0.0381522, 1.0]], ['2, k, 2', [-0.215609, 0.320226, 1.0]], ['2, k, 3', [-0.220589, 0.448134, 1.0]], ['2, k, 4', [-0.400316, 0.239666, 1.0]], ['2, k, 5', [-0.562886, 0.0963905, 1.0]], ['2, k, 6', [-0.474529, -0.11521, 1.0]], ['2, k, 7', [-0.403701, -0.170785, 1.0]], ['2, k, 8', [-0.0497855, 0.234556, 1.0]], ['2, k, 9', [0.14005, 0.108811, 1.0]], ['2, k, 10', [0.0402838, -0.101267, 1.0]], ['2, k, 11', [-0.0155391, -0.140292, 1.0]], ['2, k, 12', [-0.29401, -0.246339, 1.0]], ['2, k, 13', [-0.383105, -0.643557, 1.0]], ['2, k, 14', [-0.44701, -1.01553, 1.0]], ['2, k, 15', [-0.473145, -1.07715, 1.0]], ['2, k, 16', [-0.134244, -0.248809, 1.0]], ['2, k, 17', [-0.0473163, -0.618466, 1.0]], ['2, k, 18', [0.0186346, -1.00142, 1.0]], ['2, k, 19', [0.0404053, -1.07129, 1.0]], ['2, k, 20', [-0.216166, 0.250744, 1.0]], ['2, k, 21', [-0.387517, -0.243062, 1.0]], ['2, k, 22', [-0.37324, -0.121487, 1.0]], ['2, k, 23', [-0.025872, -0.237133, 1.0]], ['2, k, 24', [-0.0431111, -0.124407, 1.0]]]
[['2, k, 0', [-0.21701, -0.251148, 1.0]], ['2, k, 1', [-0.216908, 0.0380948, 1.0]], ['2, k, 2', [-0.215551, 0.320226, 1.0]], ['2, k, 3', [-0.22055, 0.448088, 1.0]], ['2, k, 4', [-0.400315, 0.239666, 1.0]], ['2, k, 5', [-0.562912, 0.0964646, 1.0]], ['2, k, 6', [-0.441617, -0.10108, 1.0]], ['2, k, 7', [-0.394692, -0.154811, 1.0]], ['2, k, 8', [-0.0497601, 0.234525, 1.0]], ['2, k, 9', [0.139883, 0.108899, 1.0]], ['2, k, 10', [0.040341, -0.101217, 1.0]], ['2, k, 11', [-0.0154995, -0.140771, 1.0]], ['2, k, 12', [-0.293924, -0.246465, 1.0]], ['2, k, 13', [-0.38301, -0.643503, 1.0]], ['2, k, 14', [-0.446991, -1.01545, 1.0]], ['2, k, 15', [-0.472639, -1.07672, 1.0]], ['2, k, 16', [-0.134147, -0.248979, 1.0]], ['2, k, 17', [-0.0472457, -0.618585, 1.0]], ['2, k, 18', [0.0186475, -1.00093, 1.0]], ['2, k, 19', [0.0403374, -1.07085, 1.0]], ['2, k, 20', [-0.216109, 0.250731, 1.0]], ['2, k, 21', [-0.379067, -0.226946, 1.0]], ['2, k, 22', [-0.360703, -0.110278, 1.0]], ['2, k, 23', [-0.0243494, -0.23525, 1.0]], ['2, k, 24', [-0.0434095, -0.12533, 1.0]]]
[['2, k, 0', [-0.217024, -0.251132, 1.0]], ['2, k, 1', [-0.216897, 0.0380888, 1.0]], ['2, k, 2', [-0.215448, 0.320155, 1.0]], ['2, k, 3', [-0.220512, 0.44797, 1.0]], ['2, k, 4', [-0.400312, 0.239659, 1.0]], ['2, k, 5', [-0.563019, 0.0967198, 1.0]], ['2, k, 6', [-0.441798, -0.100735, 1.0]], ['2, k, 7', [-0.394576, -0.155789, 1.0]], ['2, k, 8', [-0.0496338, 0.234485, 1.0]], ['2, k, 9', [0.139743, 0.108949, 1.0]], ['2, k, 10', [0.0403462, -0.101128, 1.0]], ['2, k, 11', [-0.015748, -0.139447, 1.0]], ['2, k, 12', [-0.29394, -0.246451, 1.0]], ['2, k, 13', [-0.382958, -0.643621, 1.0]], ['2, k, 14', [-0.446375, -1.01465, 1.0]], ['2, k, 15', [-0.47271, -1.07678, 1.0]], ['2, k, 16', [-0.134159, -0.248963, 1.0]], ['2, k, 17', [-0.0472465, -0.618291, 1.0]], ['2, k, 18', [0.0183975, -1.00024, 1.0]], ['2, k, 19', [0.0408552, -1.07016, 1.0]], ['2, k, 20', [-0.216037, 0.250682, 1.0]], ['2, k, 21', [-0.375062, -0.22902, 1.0]], ['2, k, 22', [-0.357043, -0.11159, 1.0]], ['2, k, 23', [-0.0243748, -0.235528, 1.0]], ['2, k, 24', [-0.0434464, -0.125589, 1.0]]]
[['2, k, 0', [-0.217048, -0.251239, 1.0]], ['2, k, 1', [-0.21688, 0.0380697, 1.0]], ['2, k, 2', [-0.215375, 0.320208, 1.0]], ['2, k, 3', [-0.220478, 0.447959, 1.0]], ['2, k, 4', [-0.400279, 0.239626, 1.0]], ['2, k, 5', [-0.562893, 0.0969674, 1.0]], ['2, k, 6', [-0.441826, -0.100481, 1.0]], ['2, k, 7', [-0.39545, -0.155638, 1.0]], ['2, k, 8', [-0.0496028, 0.234479, 1.0]], ['2, k, 9', [0.139748, 0.108948, 1.0]], ['2, k, 10', [0.0404024, -0.101043, 1.0]], ['2, k, 11', [-0.0155664, -0.136013, 1.0]], ['2, k, 12', [-0.293965, -0.246568, 1.0]], ['2, k, 13', [-0.38293, -0.643547, 1.0]], ['2, k, 14', [-0.446828, -1.01477, 1.0]], ['2, k, 15', [-0.472489, -1.0767, 1.0]], ['2, k, 16', [-0.134181, -0.249057, 1.0]], ['2, k, 17', [-0.04727, -0.618185, 1.0]], ['2, k, 18', [0.0185787, -0.998327, 1.0]], ['2, k, 19', [0.0410624, -1.06966, 1.0]], ['2, k, 20', [-0.215983, 0.25071, 1.0]], ['2, k, 21', [-0.376486, -0.229245, 1.0]], ['2, k, 22', [-0.361885, -0.11345, 1.0]], ['2, k, 23', [-0.0251099, -0.231617, 1.0]], ['2, k, 24', [-0.0434828, -0.124395, 1.0]]]
[['2, k, 0', [-0.216971, -0.251349, 1.0]], ['2, k, 1', [-0.216818, 0.0380447, 1.0]], ['2, k, 2', [-0.215308, 0.320238, 1.0]], ['2, k, 3', [-0.220414, 0.447978, 1.0]], ['2, k, 4', [-0.400276, 0.239634, 1.0]], ['2, k, 5', [-0.562893, 0.0969798, 1.0]], ['2, k, 6', [-0.441782, -0.100396, 1.0]], ['2, k, 7', [-0.394932, -0.157021, 1.0]], ['2, k, 8', [-0.0495948, 0.234481, 1.0]], ['2, k, 9', [0.13975, 0.108972, 1.0]], ['2, k, 10', [0.0404399, -0.100962, 1.0]], ['2, k, 11', [-0.0157333, -0.139846, 1.0]], ['2, k, 12', [-0.293894, -0.246667, 1.0]], ['2, k, 13', [-0.38278, -0.643259, 1.0]], ['2, k, 14', [-0.446958, -1.01491, 1.0]], ['2, k, 15', [-0.47244, -1.0764, 1.0]], ['2, k, 16', [-0.134099, -0.249175, 1.0]], ['2, k, 17', [-0.0472245, -0.618198, 1.0]], ['2, k, 18', [0.0184982, -0.998284, 1.0]], ['2, k, 19', [0.0409515, -1.06949, 1.0]], ['2, k, 20', [-0.21592, 0.250726, 1.0]], ['2, k, 21', [-0.378504, -0.227277, 1.0]], ['2, k, 22', [-0.361431, -0.109863, 1.0]], ['2, k, 23', [-0.0243991, -0.235796, 1.0]], ['2, k, 24', [-0.0428903, -0.125566, 1.0]]]
[['2, k, 0', [-0.216966, -0.251386, 1.0]], ['2, k, 1', [-0.216799, 0.0380392, 1.0]], ['2, k, 2', [-0.215233, 0.320274, 1.0]], ['2, k, 3', [-0.220297, 0.448003, 1.0]], ['2, k, 4', [-0.400247, 0.23965, 1.0]], ['2, k, 5', [-0.562922, 0.097009, 1.0]], ['2, k, 6', [-0.441808, -0.100318, 1.0]], ['2, k, 7', [-0.394357, -0.155058, 1.0]], ['2, k, 8', [-0.0496229, 0.23453, 1.0]], ['2, k, 9', [0.139742, 0.109039, 1.0]], ['2, k, 10', [0.0406354, -0.10093, 1.0]], ['2, k, 11', [-0.0156804, -0.139291, 1.0]], ['2, k, 12', [-0.293889, -0.246712, 1.0]], ['2, k, 13', [-0.382772, -0.643276, 1.0]], ['2, k, 14', [-0.446891, -1.01487, 1.0]], ['2, k, 15', [-0.472054, -1.07629, 1.0]], ['2, k, 16', [-0.134094, -0.249203, 1.0]], ['2, k, 17', [-0.0471703, -0.618174, 1.0]], ['2, k, 18', [0.0182909, -0.997692, 1.0]], ['2, k, 19', [0.0409518, -1.06895, 1.0]], ['2, k, 20', [-0.215862, 0.250746, 1.0]], ['2, k, 21', [-0.375942, -0.226052, 1.0]], ['2, k, 22', [-0.359256, -0.108342, 1.0]], ['2, k, 23', [-0.0243816, -0.235606, 1.0]], ['2, k, 24', [-0.0429651, -0.124834, 1.0]]]
[['2, k, 0', [-0.216922, -0.251406, 1.0]], ['2, k, 1', [-0.216744, 0.0380343, 1.0]], ['2, k, 2', [-0.215167, 0.320294, 1.0]], ['2, k, 3', [-0.220224, 0.448013, 1.0]], ['2, k, 4', [-0.400161, 0.239696, 1.0]], ['2, k, 5', [-0.56315, 0.0974458, 1.0]], ['2, k, 6', [-0.442121, -0.0998267, 1.0]], ['2, k, 7', [-0.394616, -0.155443, 1.0]], ['2, k, 8', [-0.049602, 0.234552, 1.0]], ['2, k, 9', [0.139765, 0.109062, 1.0]], ['2, k, 10', [0.0406573, -0.100848, 1.0]], ['2, k, 11', [-0.015707, -0.140494, 1.0]], ['2, k, 12', [-0.293846, -0.24673, 1.0]], ['2, k, 13', [-0.382761, -0.643312, 1.0]], ['2, k, 14', [-0.446594, -1.0156, 1.0]], ['2, k, 15', [-0.472102, -1.07653, 1.0]], ['2, k, 16', [-0.13405, -0.249224, 1.0]], ['2, k, 17', [-0.0471958, -0.618113, 1.0]], ['2, k, 18', [0.0184787, -0.99738, 1.0]], ['2, k, 19', [0.040908, -1.06848, 1.0]], ['2, k, 20', [-0.215798, 0.250759, 1.0]], ['2, k, 21', [-0.376249, -0.229664, 1.0]], ['2, k, 22', [-0.353567, -0.10926, 1.0]], ['2, k, 23', [-0.0235979, -0.236188, 1.0]], ['2, k, 24', [-0.0441921, -0.126742, 1.0]]]
[['2, k, 0', [-0.216812, -0.251454, 1.0]], ['2, k, 1', [-0.21644, 0.037992, 1.0]], ['2, k, 2', [-0.214589, 0.320287, 1.0]], ['2, k, 3', [-0.220013, 0.448068, 1.0]], ['2, k, 4', [-0.400134, 0.239713, 1.0]], ['2, k, 5', [-0.563206, 0.0977157, 1.0]], ['2, k, 6', [-0.442271, -0.0995254, 1.0]], ['2, k, 7', [-0.394336, -0.156007, 1.0]], ['2, k, 8', [-0.0495271, 0.234561, 1.0]], ['2, k, 9', [0.139779, 0.109098, 1.0]], ['2, k, 10', [0.0406909, -0.100793, 1.0]], ['2, k, 11', [-0.014111, -0.140468, 1.0]], ['2, k, 12', [-0.293746, -0.246769, 1.0]], ['2, k, 13', [-0.382756, -0.643315, 1.0]], ['2, k, 14', [-0.447349, -1.01599, 1.0]], ['2, k, 15', [-0.471817, -1.07666, 1.0]], ['2, k, 16', [-0.133933, -0.249279, 1.0]], ['2, k, 17', [-0.0470142, -0.618137, 1.0]], ['2, k, 18', [0.0183575, -0.997124, 1.0]], ['2, k, 19', [0.0408005, -1.06827, 1.0]], ['2, k, 20', [-0.215292, 0.250742, 1.0]], ['2, k, 21', [-0.374756, -0.224608, 1.0]], ['2, k, 22', [-0.358638, -0.109103, 1.0]], ['2, k, 23', [-0.0245205, -0.235467, 1.0]], ['2, k, 24', [-0.0431195, -0.124035, 1.0]]]
[['2, k, 0', [-0.21673, -0.251467, 1.0]], ['2, k, 1', [-0.216379, 0.0380227, 1.0]], ['2, k, 2', [-0.214545, 0.320388, 1.0]], ['2, k, 3', [-0.219936, 0.448119, 1.0]], ['2, k, 4', [-0.4, 0.239922, 1.0]], ['2, k, 5', [-0.563211, 0.0976914, 1.0]], ['2, k, 6', [-0.44207, -0.0993682, 1.0]], ['2, k, 7', [-0.393945, -0.156416, 1.0]], ['2, k, 8', [-0.0494788, 0.234634, 1.0]], ['2, k, 9', [0.139854, 0.109206, 1.0]], ['2, k, 10', [0.0407288, -0.100639, 1.0]], ['2, k, 11', [-0.015073, -0.138747, 1.0]], ['2, k, 12', [-0.293664, -0.246772, 1.0]], ['2, k, 13', [-0.382705, -0.643363, 1.0]], ['2, k, 14', [-0.447888, -1.01618, 1.0]], ['2, k, 15', [-0.471959, -1.07678, 1.0]], ['2, k, 16', [-0.133851, -0.249303, 1.0]], ['2, k, 17', [-0.0469865, -0.618104, 1.0]], ['2, k, 18', [0.0183585, -0.996923, 1.0]], ['2, k, 19', [0.0405423, -1.06731, 1.0]], ['2, k, 20', [-0.215242, 0.250822, 1.0]], ['2, k, 21', [-0.371153, -0.227007, 1.0]], ['2, k, 22', [-0.359816, -0.112412, 1.0]], ['2, k, 23', [-0.0219847, -0.233508, 1.0]], ['2, k, 24', [-0.0432747, -0.124548, 1.0]]]
[['2, k, 0', [-0.216731, -0.251468, 1.0]], ['2, k, 1', [-0.216333, 0.0380371, 1.0]], ['2, k, 2', [-0.214378, 0.320454, 1.0]], ['2, k, 3', [-0.219777, 0.44822, 1.0]], ['2, k, 4', [-0.399959, 0.23995, 1.0]], ['2, k, 5', [-0.563226, 0.0980457, 1.0]], ['2, k, 6', [-0.442138, -0.0989503, 1.0]], ['2, k, 7', [-0.394286, -0.156703, 1.0]], ['2, k, 8', [-0.049078, 0.234653, 1.0]], ['2, k, 9', [0.139827, 0.109398, 1.0]], ['2, k, 10', [0.0408743, -0.100467, 1.0]], ['2, k, 11', [-0.0146651, -0.140646, 1.0]], ['2, k, 12', [-0.29367, -0.247024, 1.0]], ['2, k, 13', [-0.382486, -0.643756, 1.0]], ['2, k, 14', [-0.448217, -1.01612, 1.0]], ['2, k, 15', [-0.472241, -1.07693, 1.0]], ['2, k, 16', [-0.133856, -0.249091, 1.0]], ['2, k, 17', [-0.0468856, -0.618259, 1.0]], ['2, k, 18', [0.0184892, -0.996514, 1.0]], ['2, k, 19', [0.0405569, -1.06734, 1.0]], ['2, k, 20', [-0.215109, 0.250873, 1.0]], ['2, k, 21', [-0.369437, -0.228439, 1.0]], ['2, k, 22', [-0.358636, -0.109488, 1.0]], ['2, k, 23', [-0.02268, -0.232921, 1.0]], ['2, k, 24', [-0.0428546, -0.127056, 1.0]]]
[['2, k, 0', [-0.216696, -0.251474, 1.0]], ['2, k, 1', [-0.216253, 0.0380688, 1.0]], ['2, k, 2', [-0.214261, 0.320543, 1.0]], ['2, k, 3', [-0.219578, 0.448384, 1.0]], ['2, k, 4', [-0.399771, 0.240174, 1.0]], ['2, k, 5', [-0.563165, 0.0979839, 1.0]], ['2, k, 6', [-0.441993, -0.0988669, 1.0]], ['2, k, 7', [-0.393904, -0.157636, 1.0]], ['2, k, 8', [-0.0489371, 0.23469, 1.0]], ['2, k, 9', [0.1398, 0.109553, 1.0]], ['2, k, 10', [0.0409703, -0.100315, 1.0]], ['2, k, 11', [-0.0153095, -0.142351, 1.0]], ['2, k, 12', [-0.293592, -0.247241, 1.0]], ['2, k, 13', [-0.382376, -0.643747, 1.0]], ['2, k, 14', [-0.448243, -1.01607, 1.0]], ['2, k, 15', [-0.472266, -1.07698, 1.0]], ['2, k, 16', [-0.133785, -0.2489, 1.0]], ['2, k, 17', [-0.0468502, -0.618152, 1.0]], ['2, k, 18', [0.0189179, -0.996037, 1.0]], ['2, k, 19', [0.0408386, -1.06709, 1.0]], ['2, k, 20', [-0.215, 0.250947, 1.0]], ['2, k, 21', [-0.369901, -0.22615, 1.0]], ['2, k, 22', [-0.356202, -0.110043, 1.0]], ['2, k, 23', [-0.0231399, -0.235769, 1.0]], ['2, k, 24', [-0.0433949, -0.124354, 1.0]]]
