[['2, k, 0', [-4.66914, 83.83082, 1.0]], ['2, k, 1', [-4.172043703037843, 112.66001825302499, 1.0]], ['2, k, 2', [-3.775412073251689, 134.39653010103882, 1.0]], ['2, k, 3', [-3.6562090545037997, 140.57057958948204, 1.0]], ['2, k, 4', [12.035526572661176, 129.35938568124553, 1.0]], ['2, k, 5', [31.355451723045498, 121.57708919077949, 1.0]], ['2, k, 6', [34.42757208810031, 143.00079280545071, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-21.253830387967717, 129.79640722950495, 1.0]], ['2, k, 9', [-40.83416467921042, 122.91333398346808, 1.0]], ['2, k, 10', [-43.01069833927828, 146.7050729838547, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [2.567856059776785, 83.78905394856326, 1.0]], ['2, k, 13', [0.19216450358640458, 44.172360930714476, 1.0]], ['2, k, 14', [0.12231419776071945, 9.550131745398922, 1.0]], ['2, k, 15', [-2.5515611759735983, 3.1509265886098703, 1.0]], ['2, k, 16', [-11.76968874819875, 83.84247488360211, 1.0]], ['2, k, 17', [-12.021864762700483, 45.821345510824614, 1.0]], ['2, k, 18', [-10.828393180267334, 9.916805565404474, 1.0]], ['2, k, 19', [-10.821546346433982, 7.196709877143854, 1.0]], ['2, k, 20', [-3.775412073251689, 134.39653010103882, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-4.671566666666666, 83.80628333333334, 1.0]], ['2, k, 1', [-4.167504912527241, 112.64314147946139, 1.0]], ['2, k, 2', [-3.7586497532527496, 134.3803566015261, 1.0]], ['2, k, 3', [-3.633361082587231, 140.55433018554228, 1.0]], ['2, k, 4', [12.016666661921366, 129.40819715540027, 1.0]], ['2, k, 5', [31.323577925783788, 121.579902166987, 1.0]], ['2, k, 6', [34.58600722902211, 143.16915752387928, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-21.24038966065583, 129.3845738681954, 1.0]], ['2, k, 9', [-40.96151481893612, 123.27432955377229, 1.0]], ['2, k, 10', [-43.209664971769044, 147.05306558810298, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [2.564757665077563, 83.75972830630094, 1.0]], ['2, k, 13', [0.15444383897807024, 44.27123009714224, 1.0]], ['2, k, 14', [0.13324196748210873, 9.312925254143984, 1.0]], ['2, k, 15', [-2.6547762506629677, 3.170765044776685, 1.0]], ['2, k, 16', [-11.77275139702441, 83.81751146946448, 1.0]], ['2, k, 17', [-11.99020036994532, 45.83130444955334, 1.0]], ['2, k, 18', [-11.197285525743682, 10.847406556241772, 1.0]], ['2, k, 19', [-11.091904602280119, 8.12347784814271, 1.0]], ['2, k, 20', [-3.7586497532527496, 134.3803566015261, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-4.682563999999999, 83.802908, 1.0]], ['2, k, 1', [-4.162603610537577, 112.64315107208948, 1.0]], ['2, k, 2', [-3.7401076412347884, 134.38464283289747, 1.0]], ['2, k, 3', [-3.609608926982526, 140.55856000509291, 1.0]], ['2, k, 4', [12.011384610147292, 129.47688399239266, 1.0]], ['2, k, 5', [31.308739142419135, 121.54176365117985, 1.0]], ['2, k, 6', [34.72790045594718, 143.1985025863024, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-21.26082191097587, 129.3034796156335, 1.0]], ['2, k, 9', [-40.922114914733285, 123.262046884628, 1.0]], ['2, k, 10', [-43.11853528209352, 147.0500059269043, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [2.5542070805826853, 83.75171865782531, 1.0]], ['2, k, 13', [0.14793551659850213, 44.35678887901344, 1.0]], ['2, k, 14', [0.03443465016258877, 9.099446177240225, 1.0]], ['2, k, 15', [-2.7327242935173204, 3.1705914269388975, 1.0]], ['2, k, 16', [-11.784807500830453, 83.815796182977, 1.0]], ['2, k, 17', [-11.98960566097591, 45.46750883204866, 1.0]], ['2, k, 18', [-11.102125841902716, 10.632900057001251, 1.0]], ['2, k, 19', [-10.994719322344213, 7.913380653897706, 1.0]], ['2, k, 20', [-3.7401076412347884, 134.38464283289747, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-4.689594, 83.794522, 1.0]], ['2, k, 1', [-4.156977123518805, 112.64012784780063, 1.0]], ['2, k, 2', [-3.72091671709294, 134.38690334525953, 1.0]], ['2, k, 3', [-3.5855629269834193, 140.56076066206933, 1.0]], ['2, k, 4', [12.00457036532833, 129.52719309105302, 1.0]], ['2, k, 5', [31.285241164927797, 121.50222914217693, 1.0]], ['2, k, 6', [34.86244102156452, 143.24789756275516, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-21.28105343920431, 129.20453622891355, 1.0]], ['2, k, 9', [-40.90401959786216, 123.29140762690808, 1.0]], ['2, k, 10', [-43.08375509873104, 147.08496032270548, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [2.5472325555977706, 83.73924770879434, 1.0]], ['2, k, 13', [0.15193986352850342, 44.4346594101143, 1.0]], ['2, k, 14', [0.058754109837426696, 9.016335087901886, 1.0]], ['2, k, 15', [-2.6956683183207364, 3.114750382520108, 1.0]], ['2, k, 16', [-11.79223866295807, 83.80793220504903, 1.0]], ['2, k, 17', [-11.986702625061296, 45.28933932646599, 1.0]], ['2, k, 18', [-10.99524285439245, 10.607778336460186, 1.0]], ['2, k, 19', [-10.871384722264606, 7.891779593083921, 1.0]], ['2, k, 20', [-3.72091671709294, 134.38690334525953, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-4.689802, 83.78755, 1.0]], ['2, k, 1', [-4.144485232271214, 112.63835377252701, 1.0]], ['2, k, 2', [-3.696731155269262, 134.3911625510988, 1.0]], ['2, k, 3', [-3.557872290314126, 140.56497978168107, 1.0]], ['2, k, 4', [12.006512374612202, 129.577462882469, 1.0]], ['2, k, 5', [31.273494099286303, 121.47205678735753, 1.0]], ['2, k, 6', [35.014948025948996, 143.2893253009276, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-21.29692060946322, 129.18154968874492, 1.0]], ['2, k, 9', [-40.86882582112494, 123.26523247490593, 1.0]], ['2, k, 10', [-43.012208245865764, 147.07632305241117, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [2.543947705105168, 83.73152337343562, 1.0]], ['2, k, 13', [0.13676695773814762, 44.48613117213316, 1.0]], ['2, k, 14', [0.06997167199572443, 8.91579268364788, 1.0]], ['2, k, 15', [-2.6833351368897143, 3.0980187585320476, 1.0]], ['2, k, 16', [-11.793181651845867, 83.7991516738291, 1.0]], ['2, k, 17', [-11.986492379972228, 45.12747986736949, 1.0]], ['2, k, 18', [-10.974388647660339, 10.295669613412493, 1.0]], ['2, k, 19', [-10.849979878418138, 7.581218119133622, 1.0]], ['2, k, 20', [-3.696731155269262, 134.3911625510988, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-4.687776, 83.782062, 1.0]], ['2, k, 1', [-4.126543139349233, 112.63363526756063, 1.0]], ['2, k, 2', [-3.664542057529198, 134.39191244049258, 1.0]], ['2, k, 3', [-3.521956916446488, 140.56570424557682, 1.0]], ['2, k, 4', [12.01770788885694, 129.61309473856198, 1.0]], ['2, k, 5', [31.284664918585054, 121.45265721271596, 1.0]], ['2, k, 6', [35.213385916662965, 143.32521851657432, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-21.302084860702287, 129.20631351549966, 1.0]], ['2, k, 9', [-40.78740510739279, 123.16955526466732, 1.0]], ['2, k, 10', [-42.98484613913026, 146.99061074659804, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [2.5495533545308113, 83.72313633296037, 1.0]], ['2, k, 13', [0.1235077913476279, 44.5635181636364, 1.0]], ['2, k, 14', [0.08683245153349155, 8.923372962179165, 1.0]], ['2, k, 15', [-2.691540186867449, 3.130327449122917, 1.0]], ['2, k, 16', [-11.787571431655667, 83.79644990458634, 1.0]], ['2, k, 17', [-11.932720686859358, 44.97774748795876, 1.0]], ['2, k, 18', [-11.025486292410449, 9.981807542185628, 1.0]], ['2, k, 19', [-10.918318046158117, 7.267463331392504, 1.0]], ['2, k, 20', [-3.664542057529198, 134.39191244049258, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-4.677942, 83.774652, 1.0]], ['2, k, 1', [-4.091432400790001, 112.62819762962401, 1.0]], ['2, k, 2', [-3.6094009832917235, 134.39021614195772, 1.0]], ['2, k, 3', [-3.4615982128299003, 140.5639221125793, 1.0]], ['2, k, 4', [12.05305610438134, 129.6479673788787, 1.0]], ['2, k, 5', [31.322636898309167, 121.45385261961962, 1.0]], ['2, k, 6', [35.43541832109054, 143.39996150890516, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-21.21117701677624, 129.2543233809199, 1.0]], ['2, k, 9', [-40.69485035244994, 123.05053229335103, 1.0]], ['2, k, 10', [-42.95837337464428, 146.8831332306648, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [2.5598315228590787, 83.7101581195599, 1.0]], ['2, k, 13', [0.06951843010465275, 44.58563331471836, 1.0]], ['2, k, 14', [0.06515436559863087, 8.9282751833236, 1.0]], ['2, k, 15', [-2.748640183993997, 3.102544470033126, 1.0]], ['2, k, 16', [-11.772205877156132, 83.79369925947881, 1.0]], ['2, k, 17', [-11.86992232584411, 44.83206051808972, 1.0]], ['2, k, 18', [-11.051348555902964, 9.916772905494305, 1.0]], ['2, k, 19', [-10.96316388460534, 7.202909474510459, 1.0]], ['2, k, 20', [-3.6094009832917235, 134.39021614195772, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-4.65912, 83.77527, 1.0]], ['2, k, 1', [-4.043831476325241, 112.63124808476759, 1.0]], ['2, k, 2', [-3.5377733217340874, 134.39636523575695, 1.0]], ['2, k, 3', [-3.3832789911687775, 140.56990824669776, 1.0]], ['2, k, 4', [12.10519363008299, 129.69513499559594, 1.0]], ['2, k, 5', [31.38091451605247, 121.4831667522568, 1.0]], ['2, k, 6', [35.64416412794032, 143.20349987595475, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-21.09791416731899, 129.30999961026978, 1.0]], ['2, k, 9', [-40.58793027615947, 122.93741675579767, 1.0]], ['2, k, 10', [-42.95210012132145, 146.78336669724706, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [2.574109554093531, 83.70599529050983, 1.0]], ['2, k, 13', [0.023658587710300605, 44.57101052374109, 1.0]], ['2, k, 14', [0.1106323201874964, 8.914988213445525, 1.0]], ['2, k, 15', [-2.7658341347324233, 3.0549240446003783, 1.0]], ['2, k, 16', [-11.753352741716192, 83.79749723403627, 1.0]], ['2, k, 17', [-11.789381301813693, 45.05046570953236, 1.0]], ['2, k, 18', [-11.052795562909122, 10.130805102558213, 1.0]], ['2, k, 19', [-10.975603947866336, 7.406137312106592, 1.0]], ['2, k, 20', [-3.5377733217340874, 134.39636523575695, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-4.637054, 83.78086400000001, 1.0]], ['2, k, 1', [-3.990001010035885, 112.63437848412613, 1.0]], ['2, k, 2', [-3.4595991619277173, 134.39701702022333, 1.0]], ['2, k, 3', [-3.29852240011431, 140.57038304061373, 1.0]], ['2, k, 4', [12.16678359442096, 129.7281446119867, 1.0]], ['2, k, 5', [31.46423521979059, 121.52509577862814, 1.0]], ['2, k, 6', [35.88817303258683, 143.0610299340687, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-20.92233130126763, 129.37928453733804, 1.0]], ['2, k, 9', [-40.453356535094414, 122.82389286520187, 1.0]], ['2, k, 10', [-42.85686077312805, 146.67666953185355, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [2.5913783396461954, 83.70441089556265, 1.0]], ['2, k, 13', [0.06777759703477804, 44.584028519364644, 1.0]], ['2, k, 14', [0.07317873000052215, 8.809594023730675, 1.0]], ['2, k, 15', [-2.836718208868224, 3.010434301016609, 1.0]], ['2, k, 16', [-11.733522609242588, 83.80829663058911, 1.0]], ['2, k, 17', [-11.737055060604773, 45.075072588244396, 1.0]], ['2, k, 18', [-11.039206862800688, 10.448345371607878, 1.0]], ['2, k, 19', [-10.816015292594946, 6.8555024802920235, 1.0]], ['2, k, 20', [-3.4595991619277173, 134.39701702022333, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-4.600160000000001, 83.79863, 1.0]], ['2, k, 1', [-3.911630579794241, 112.65374090869675, 1.0]], ['2, k, 2', [-3.3497328766681354, 134.4172906856505, 1.0]], ['2, k, 3', [-3.180037673495146, 140.5904161371, 1.0]], ['2, k, 4', [12.242086123073264, 129.77727814903218, 1.0]], ['2, k, 5', [31.577409296915892, 121.57750396547114, 1.0]], ['2, k, 6', [36.095291942349036, 142.80977329475286, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-20.741710308196808, 129.45350307872164, 1.0]], ['2, k, 9', [-40.319578454578306, 122.70487712520615, 1.0]], ['2, k, 10', [-42.79801086522636, 146.55582448189185, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [2.621837147757656, 83.71621747069177, 1.0]], ['2, k, 13', [0.1912961054695672, 44.61544819542633, 1.0]], ['2, k, 14', [-0.004781600908111028, 8.694768775641933, 1.0]], ['2, k, 15', [-2.900996895339148, 2.945132347445937, 1.0]], ['2, k, 16', [-11.701428002726432, 83.82998307634224, 1.0]], ['2, k, 17', [-11.766421040707382, 44.7539043683528, 1.0]], ['2, k, 18', [-11.21082753782001, 10.620664447215624, 1.0]], ['2, k, 19', [-10.929455215638363, 6.63645794975462, 1.0]], ['2, k, 20', [-3.3497328766681354, 134.4172906856505, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-4.543272, 83.82532, 1.0]], ['2, k, 1', [-3.817341255778542, 112.68000570497838, 1.0]], ['2, k, 2', [-3.2267361811320643, 134.4408514351221, 1.0]], ['2, k, 3', [-3.04908117207091, 140.61268767117576, 1.0]], ['2, k, 4', [12.325959200995653, 129.82847987356985, 1.0]], ['2, k, 5', [31.718766736346915, 121.6627555932541, 1.0]], ['2, k, 6', [36.323157170375424, 142.67648265255633, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-20.557007381527857, 129.53211049059277, 1.0]], ['2, k, 9', [-40.18049857902942, 122.58960429570563, 1.0]], ['2, k, 10', [-42.76134081686435, 146.42614633975862, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [2.6678054924723886, 83.73619016212922, 1.0]], ['2, k, 13', [0.31721815658249897, 44.557949201827284, 1.0]], ['2, k, 14', [-0.07936300015194042, 8.759875317986193, 1.0]], ['2, k, 15', [-2.908477096215671, 3.1975437748335835, 1.0]], ['2, k, 16', [-11.654266031132698, 83.85711975788357, 1.0]], ['2, k, 17', [-11.848132818880789, 44.64048895885007, 1.0]], ['2, k, 18', [-11.48463759836721, 10.759979159882889, 1.0]], ['2, k, 19', [-11.20736027606664, 6.587644093486079, 1.0]], ['2, k, 20', [-3.2267361811320643, 134.4408514351221, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
