[['2, k, 0', [489.553, 210.521, 1.0]], ['2, k, 1', [488.131, 241.37, 1.0]], ['2, k, 2', [464.527, 241.342, 1.0]], ['2, k, 3', [451.384, 285.416, 1.0]], ['2, k, 4', [438.115, 323.667, 1.0]], ['2, k, 5', [513.089, 241.402, 1.0]], ['2, k, 6', [530.671, 286.852, 1.0]], ['2, k, 7', [546.87, 326.562, 1.0]], ['2, k, 8', [489.536, 322.105, 1.0]], ['2, k, 9', [474.803, 322.112, 1.0]], ['2, k, 10', [474.775, 383.809, 1.0]], ['2, k, 11', [464.665, 442.571, 1.0]], ['2, k, 12', [510.048, 322.112, 1.0]], ['2, k, 13', [508.663, 383.823, 1.0]], ['2, k, 14', [511.529, 442.54, 1.0]], ['2, k, 15', [486.555, 206.058, 1.0]], ['2, k, 16', [496.865, 206.057, 1.0]], ['2, k, 17', [476.296, 207.578, 1.0]], ['2, k, 18', [502.795, 207.583, 1.0]], ['2, k, 19', [511.632, 463.098, 1.0]], ['2, k, 20', [521.851, 460.181, 1.0]], ['2, k, 21', [508.66, 451.298, 1.0]], ['2, k, 22', [471.942, 461.659, 1.0]], ['2, k, 23', [463.088, 460.18, 1.0]], ['2, k, 24', [466.031, 449.858, 1.0]]]
[['2, k, 0', [489.578, 209.076, 1.0]], ['2, k, 1', [488.125, 241.366, 1.0]], ['2, k, 2', [464.519, 241.341, 1.0]], ['2, k, 3', [451.386, 285.414, 1.0]], ['2, k, 4', [438.092, 325.042, 1.0]], ['2, k, 5', [513.081, 241.401, 1.0]], ['2, k, 6', [530.688, 286.868, 1.0]], ['2, k, 7', [546.86, 326.534, 1.0]], ['2, k, 8', [489.534, 322.113, 1.0]], ['2, k, 9', [474.8, 322.125, 1.0]], ['2, k, 10', [474.787, 383.801, 1.0]], ['2, k, 11', [464.663, 442.551, 1.0]], ['2, k, 12', [510.045, 322.116, 1.0]], ['2, k, 13', [510.014, 383.813, 1.0]], ['2, k, 14', [511.53, 441.138, 1.0]], ['2, k, 15', [486.577, 204.677, 1.0]], ['2, k, 16', [496.889, 204.679, 1.0]], ['2, k, 17', [476.303, 206.177, 1.0]], ['2, k, 18', [504.233, 207.571, 1.0]], ['2, k, 19', [511.58, 463.076, 1.0]], ['2, k, 20', [521.8, 460.168, 1.0]], ['2, k, 21', [510.054, 449.866, 1.0]], ['2, k, 22', [471.933, 463.077, 1.0]], ['2, k, 23', [463.061, 461.606, 1.0]], ['2, k, 24', [466.026, 448.446, 1.0]]]
[['2, k, 0', [489.578, 209.077, 1.0]], ['2, k, 1', [488.125, 241.366, 1.0]], ['2, k, 2', [464.519, 241.34, 1.0]], ['2, k, 3', [451.386, 285.41, 1.0]], ['2, k, 4', [438.089, 325.05, 1.0]], ['2, k, 5', [513.081, 241.401, 1.0]], ['2, k, 6', [530.688, 286.867, 1.0]], ['2, k, 7', [546.86, 326.534, 1.0]], ['2, k, 8', [489.534, 322.112, 1.0]], ['2, k, 9', [474.799, 322.124, 1.0]], ['2, k, 10', [474.786, 383.8, 1.0]], ['2, k, 11', [464.663, 442.551, 1.0]], ['2, k, 12', [510.044, 322.116, 1.0]], ['2, k, 13', [510.014, 383.812, 1.0]], ['2, k, 14', [511.531, 441.137, 1.0]], ['2, k, 15', [486.578, 204.678, 1.0]], ['2, k, 16', [496.89, 204.68, 1.0]], ['2, k, 17', [476.304, 206.178, 1.0]], ['2, k, 18', [504.234, 207.572, 1.0]], ['2, k, 19', [511.581, 463.075, 1.0]], ['2, k, 20', [521.802, 460.167, 1.0]], ['2, k, 21', [510.054, 449.864, 1.0]], ['2, k, 22', [471.931, 463.08, 1.0]], ['2, k, 23', [463.059, 461.606, 1.0]], ['2, k, 24', [466.027, 448.445, 1.0]]]
[['2, k, 0', [489.579, 210.495, 1.0]], ['2, k, 1', [488.122, 241.369, 1.0]], ['2, k, 2', [464.515, 241.342, 1.0]], ['2, k, 3', [451.377, 285.416, 1.0]], ['2, k, 4', [438.09, 325.049, 1.0]], ['2, k, 5', [513.077, 241.404, 1.0]], ['2, k, 6', [530.665, 286.831, 1.0]], ['2, k, 7', [546.854, 326.523, 1.0]], ['2, k, 8', [489.538, 322.102, 1.0]], ['2, k, 9', [474.802, 322.113, 1.0]], ['2, k, 10', [474.786, 383.804, 1.0]], ['2, k, 11', [464.663, 442.559, 1.0]], ['2, k, 12', [510.05, 322.106, 1.0]], ['2, k, 13', [508.665, 383.794, 1.0]], ['2, k, 14', [511.531, 441.143, 1.0]], ['2, k, 15', [486.575, 204.686, 1.0]], ['2, k, 16', [496.888, 204.688, 1.0]], ['2, k, 17', [476.299, 207.548, 1.0]], ['2, k, 18', [504.233, 207.577, 1.0]], ['2, k, 19', [511.581, 463.087, 1.0]], ['2, k, 20', [521.803, 460.179, 1.0]], ['2, k, 21', [510.051, 449.874, 1.0]], ['2, k, 22', [471.937, 463.073, 1.0]], ['2, k, 23', [463.062, 461.603, 1.0]], ['2, k, 24', [466.026, 449.849, 1.0]]]
[['2, k, 0', [489.593, 210.504, 1.0]], ['2, k, 1', [488.125, 241.372, 1.0]], ['2, k, 2', [464.521, 241.354, 1.0]], ['2, k, 3', [451.371, 285.425, 1.0]], ['2, k, 4', [436.696, 325.034, 1.0]], ['2, k, 5', [513.075, 241.401, 1.0]], ['2, k, 6', [530.672, 286.824, 1.0]], ['2, k, 7', [546.85, 326.515, 1.0]], ['2, k, 8', [489.54, 322.103, 1.0]], ['2, k, 9', [474.805, 322.115, 1.0]], ['2, k, 10', [474.785, 383.805, 1.0]], ['2, k, 11', [464.661, 442.551, 1.0]], ['2, k, 12', [510.048, 322.109, 1.0]], ['2, k, 13', [508.666, 383.802, 1.0]], ['2, k, 14', [511.532, 441.142, 1.0]], ['2, k, 15', [486.587, 204.69, 1.0]], ['2, k, 16', [496.904, 204.691, 1.0]], ['2, k, 17', [476.309, 207.553, 1.0]], ['2, k, 18', [504.243, 207.582, 1.0]], ['2, k, 19', [511.587, 463.09, 1.0]], ['2, k, 20', [521.807, 460.179, 1.0]], ['2, k, 21', [510.053, 449.865, 1.0]], ['2, k, 22', [471.94, 463.067, 1.0]], ['2, k, 23', [463.064, 461.596, 1.0]], ['2, k, 24', [466.023, 448.446, 1.0]]]
[['2, k, 0', [489.592, 210.497, 1.0]], ['2, k, 1', [488.12, 241.368, 1.0]], ['2, k, 2', [463.173, 241.35, 1.0]], ['2, k, 3', [451.363, 286.795, 1.0]], ['2, k, 4', [436.682, 325.034, 1.0]], ['2, k, 5', [513.078, 241.395, 1.0]], ['2, k, 6', [530.665, 286.818, 1.0]], ['2, k, 7', [546.852, 326.534, 1.0]], ['2, k, 8', [489.536, 322.113, 1.0]], ['2, k, 9', [474.8, 322.126, 1.0]], ['2, k, 10', [474.783, 383.803, 1.0]], ['2, k, 11', [464.662, 442.543, 1.0]], ['2, k, 12', [510.046, 322.118, 1.0]], ['2, k, 13', [508.664, 383.805, 1.0]], ['2, k, 14', [511.534, 441.128, 1.0]], ['2, k, 15', [486.584, 204.683, 1.0]], ['2, k, 16', [496.908, 204.687, 1.0]], ['2, k, 17', [476.303, 206.178, 1.0]], ['2, k, 18', [504.253, 207.582, 1.0]], ['2, k, 19', [511.578, 463.087, 1.0]], ['2, k, 20', [521.801, 460.172, 1.0]], ['2, k, 21', [510.066, 448.447, 1.0]], ['2, k, 22', [471.931, 463.06, 1.0]], ['2, k, 23', [463.058, 460.198, 1.0]], ['2, k, 24', [466.026, 448.437, 1.0]]]
[['2, k, 0', [489.577, 210.513, 1.0]], ['2, k, 1', [488.129, 241.375, 1.0]], ['2, k, 2', [464.522, 241.358, 1.0]], ['2, k, 3', [451.361, 286.798, 1.0]], ['2, k, 4', [436.669, 323.663, 1.0]], ['2, k, 5', [513.081, 241.4, 1.0]], ['2, k, 6', [530.668, 286.827, 1.0]], ['2, k, 7', [546.854, 326.537, 1.0]], ['2, k, 8', [489.534, 322.113, 1.0]], ['2, k, 9', [474.801, 322.125, 1.0]], ['2, k, 10', [474.785, 383.8, 1.0]], ['2, k, 11', [464.662, 442.551, 1.0]], ['2, k, 12', [510.042, 322.117, 1.0]], ['2, k, 13', [508.665, 383.803, 1.0]], ['2, k, 14', [511.534, 441.14, 1.0]], ['2, k, 15', [486.576, 206.05, 1.0]], ['2, k, 16', [496.891, 206.053, 1.0]], ['2, k, 17', [476.302, 207.56, 1.0]], ['2, k, 18', [504.242, 207.592, 1.0]], ['2, k, 19', [511.579, 463.085, 1.0]], ['2, k, 20', [521.803, 460.173, 1.0]], ['2, k, 21', [510.062, 449.857, 1.0]], ['2, k, 22', [471.933, 463.066, 1.0]], ['2, k, 23', [463.06, 461.594, 1.0]], ['2, k, 24', [466.023, 448.447, 1.0]]]
[['2, k, 0', [489.572, 210.521, 1.0]], ['2, k, 1', [488.129, 241.385, 1.0]], ['2, k, 2', [464.524, 241.374, 1.0]], ['2, k, 3', [451.363, 286.802, 1.0]], ['2, k, 4', [436.655, 323.651, 1.0]], ['2, k, 5', [513.08, 241.406, 1.0]], ['2, k, 6', [530.663, 286.818, 1.0]], ['2, k, 7', [546.853, 326.536, 1.0]], ['2, k, 8', [489.539, 322.124, 1.0]], ['2, k, 9', [474.805, 322.131, 1.0]], ['2, k, 10', [474.78, 383.799, 1.0]], ['2, k, 11', [464.662, 442.549, 1.0]], ['2, k, 12', [510.048, 322.131, 1.0]], ['2, k, 13', [510.017, 383.825, 1.0]], ['2, k, 14', [511.535, 441.144, 1.0]], ['2, k, 15', [486.57, 206.055, 1.0]], ['2, k, 16', [496.884, 206.058, 1.0]], ['2, k, 17', [476.298, 207.571, 1.0]], ['2, k, 18', [504.236, 207.6, 1.0]], ['2, k, 19', [511.579, 463.087, 1.0]], ['2, k, 20', [521.802, 460.176, 1.0]], ['2, k, 21', [510.062, 449.863, 1.0]], ['2, k, 22', [471.932, 463.063, 1.0]], ['2, k, 23', [463.058, 461.591, 1.0]], ['2, k, 24', [466.026, 448.446, 1.0]]]
[['2, k, 0', [488.071, 213.424, 1.0]], ['2, k, 1', [488.125, 241.374, 1.0]], ['2, k, 2', [463.173, 241.362, 1.0]], ['2, k, 3', [451.346, 286.823, 1.0]], ['2, k, 4', [435.232, 323.638, 1.0]], ['2, k, 5', [513.081, 241.399, 1.0]], ['2, k, 6', [530.669, 286.811, 1.0]], ['2, k, 7', [546.86, 326.548, 1.0]], ['2, k, 8', [489.522, 322.109, 1.0]], ['2, k, 9', [474.799, 322.117, 1.0]], ['2, k, 10', [474.779, 383.818, 1.0]], ['2, k, 11', [464.668, 442.532, 1.0]], ['2, k, 12', [510.036, 322.114, 1.0]], ['2, k, 13', [508.665, 383.81, 1.0]], ['2, k, 14', [511.536, 442.527, 1.0]], ['2, k, 15', [483.683, 206.115, 1.0]], ['2, k, 16', [492.507, 206.108, 1.0]], ['2, k, 17', [474.89, 209.02, 1.0]], ['2, k, 18', [501.28, 207.609, 1.0]], ['2, k, 19', [511.624, 463.087, 1.0]], ['2, k, 20', [521.836, 460.191, 1.0]], ['2, k, 21', [510.042, 449.914, 1.0]], ['2, k, 22', [471.927, 463.077, 1.0]], ['2, k, 23', [463.054, 461.61, 1.0]], ['2, k, 24', [466.039, 448.427, 1.0]]]
[['2, k, 0', [488.09, 213.424, 1.0]], ['2, k, 1', [488.126, 241.377, 1.0]], ['2, k, 2', [464.516, 241.361, 1.0]], ['2, k, 3', [451.339, 286.808, 1.0]], ['2, k, 4', [435.223, 323.645, 1.0]], ['2, k, 5', [513.083, 241.401, 1.0]], ['2, k, 6', [530.666, 286.812, 1.0]], ['2, k, 7', [546.866, 326.541, 1.0]], ['2, k, 8', [489.525, 322.118, 1.0]], ['2, k, 9', [474.8, 322.124, 1.0]], ['2, k, 10', [474.78, 383.824, 1.0]], ['2, k, 11', [464.668, 442.533, 1.0]], ['2, k, 12', [510.035, 322.126, 1.0]], ['2, k, 13', [508.658, 383.793, 1.0]], ['2, k, 14', [511.53, 442.531, 1.0]], ['2, k, 15', [485.1, 206.118, 1.0]], ['2, k, 16', [493.945, 206.113, 1.0]], ['2, k, 17', [474.903, 209.023, 1.0]], ['2, k, 18', [501.299, 207.612, 1.0]], ['2, k, 19', [511.606, 463.097, 1.0]], ['2, k, 20', [521.821, 460.198, 1.0]], ['2, k, 21', [510.043, 449.91, 1.0]], ['2, k, 22', [471.934, 463.084, 1.0]], ['2, k, 23', [463.055, 461.617, 1.0]], ['2, k, 24', [466.035, 448.427, 1.0]]]
[['2, k, 0', [488.077, 213.434, 1.0]], ['2, k, 1', [488.125, 241.373, 1.0]], ['2, k, 2', [463.175, 241.36, 1.0]], ['2, k, 3', [451.342, 286.814, 1.0]], ['2, k, 4', [435.224, 323.647, 1.0]], ['2, k, 5', [513.08, 241.397, 1.0]], ['2, k, 6', [530.669, 286.807, 1.0]], ['2, k, 7', [546.861, 326.54, 1.0]], ['2, k, 8', [489.529, 322.127, 1.0]], ['2, k, 9', [474.807, 322.134, 1.0]], ['2, k, 10', [474.78, 383.825, 1.0]], ['2, k, 11', [464.662, 442.535, 1.0]], ['2, k, 12', [510.035, 322.133, 1.0]], ['2, k, 13', [508.659, 383.801, 1.0]], ['2, k, 14', [511.526, 441.155, 1.0]], ['2, k, 15', [483.692, 206.117, 1.0]], ['2, k, 16', [493.929, 206.114, 1.0]], ['2, k, 17', [474.898, 209.017, 1.0]], ['2, k, 18', [501.284, 207.615, 1.0]], ['2, k, 19', [511.604, 463.091, 1.0]], ['2, k, 20', [521.82, 460.187, 1.0]], ['2, k, 21', [510.042, 449.895, 1.0]], ['2, k, 22', [471.925, 463.089, 1.0]], ['2, k, 23', [463.048, 461.62, 1.0]], ['2, k, 24', [466.037, 448.427, 1.0]]]
