[['2, k, 0', [0.152527, -1.10961, 1.0]], ['2, k, 1', [0.155852, -0.826159, 1.0]], ['2, k, 2', [0.15843, -0.545536, 1.0]], ['2, k, 3', [0.17382, -0.400781, 1.0]], ['2, k, 4', [-0.0207896, -0.654328, 1.0]], ['2, k, 5', [-0.13147, -0.886186, 1.0]], ['2, k, 6', [-0.205496, -1.07281, 1.0]], ['2, k, 7', [-0.205063, -1.11455, 1.0]], ['2, k, 8', [0.336904, -0.653917, 1.0]], ['2, k, 9', [0.433195, -0.899009, 1.0]], ['2, k, 10', [0.465276, -1.0935, 1.0]], ['2, k, 11', [0.460139, -1.12987, 1.0]], ['2, k, 12', [0.0691712, -1.09604, 1.0]], ['2, k, 13', [0.0663349, -1.38274, 1.0]], ['2, k, 14', [0.0635776, -1.78366, 1.0]], ['2, k, 15', [0.049238, -1.8449, 1.0]], ['2, k, 16', [0.232127, -1.09585, 1.0]], ['2, k, 17', [0.24911, -1.38182, 1.0]], ['2, k, 18', [0.275612, -1.78521, 1.0]], ['2, k, 19', [0.268063, -1.84147, 1.0]], ['2, k, 20', [0.157918, -0.615475, 1.0]], ['2, k, 21', [-0.2102, -1.1537, 1.0]], ['2, k, 22', [-0.132046, -1.12812, 1.0]], ['2, k, 23', [0.465243, -1.17091, 1.0]], ['2, k, 24', [0.496079, -1.12468, 1.0]]]
[['2, k, 0', [0.152537, -1.10969, 1.0]], ['2, k, 1', [0.155944, -0.826248, 1.0]], ['2, k, 2', [0.158736, -0.545711, 1.0]], ['2, k, 3', [0.173833, -0.400821, 1.0]], ['2, k, 4', [-0.0207923, -0.654329, 1.0]], ['2, k, 5', [-0.131594, -0.886366, 1.0]], ['2, k, 6', [-0.205512, -1.07293, 1.0]], ['2, k, 7', [-0.205397, -1.11541, 1.0]], ['2, k, 8', [0.336989, -0.654002, 1.0]], ['2, k, 9', [0.433873, -0.899068, 1.0]], ['2, k, 10', [0.465276, -1.09362, 1.0]], ['2, k, 11', [0.459022, -1.1264, 1.0]], ['2, k, 12', [0.0691743, -1.09607, 1.0]], ['2, k, 13', [0.0673575, -1.38084, 1.0]], ['2, k, 14', [0.065955, -1.78335, 1.0]], ['2, k, 15', [0.0520702, -1.84439, 1.0]], ['2, k, 16', [0.232149, -1.09601, 1.0]], ['2, k, 17', [0.249358, -1.38175, 1.0]], ['2, k, 18', [0.276154, -1.78461, 1.0]], ['2, k, 19', [0.268784, -1.84127, 1.0]], ['2, k, 20', [0.158155, -0.615624, 1.0]], ['2, k, 21', [-0.212024, -1.15392, 1.0]], ['2, k, 22', [-0.13308, -1.12831, 1.0]], ['2, k, 23', [0.460711, -1.16417, 1.0]], ['2, k, 24', [0.49949, -1.12469, 1.0]]]
[['2, k, 0', [0.15257, -1.10973, 1.0]], ['2, k, 1', [0.155989, -0.82624, 1.0]], ['2, k, 2', [0.158837, -0.54557, 1.0]], ['2, k, 3', [0.1737, -0.400812, 1.0]], ['2, k, 4', [-0.0206452, -0.6547, 1.0]], ['2, k, 5', [-0.132022, -0.886914, 1.0]], ['2, k, 6', [-0.205628, -1.07327, 1.0]], ['2, k, 7', [-0.206313, -1.11464, 1.0]], ['2, k, 8', [0.337167, -0.654307, 1.0]], ['2, k, 9', [0.434333, -0.899288, 1.0]], ['2, k, 10', [0.465169, -1.09356, 1.0]], ['2, k, 11', [0.458515, -1.12632, 1.0]], ['2, k, 12', [0.0692036, -1.09612, 1.0]], ['2, k, 13', [0.0676798, -1.38101, 1.0]], ['2, k, 14', [0.0666764, -1.78284, 1.0]], ['2, k, 15', [0.0531817, -1.84392, 1.0]], ['2, k, 16', [0.232219, -1.09605, 1.0]], ['2, k, 17', [0.248999, -1.37835, 1.0]], ['2, k, 18', [0.27573, -1.78422, 1.0]], ['2, k, 19', [0.268539, -1.84059, 1.0]], ['2, k, 20', [0.158243, -0.615529, 1.0]], ['2, k, 21', [-0.212282, -1.15408, 1.0]], ['2, k, 22', [-0.132268, -1.12728, 1.0]], ['2, k, 23', [0.460932, -1.17034, 1.0]], ['2, k, 24', [0.501371, -1.12169, 1.0]]]
[['2, k, 0', [0.152597, -1.10974, 1.0]], ['2, k, 1', [0.155996, -0.82622, 1.0]], ['2, k, 2', [0.158806, -0.545401, 1.0]], ['2, k, 3', [0.173669, -0.400999, 1.0]], ['2, k, 4', [-0.0206522, -0.654797, 1.0]], ['2, k, 5', [-0.132021, -0.886897, 1.0]], ['2, k, 6', [-0.205599, -1.0733, 1.0]], ['2, k, 7', [-0.205774, -1.11445, 1.0]], ['2, k, 8', [0.337268, -0.654319, 1.0]], ['2, k, 9', [0.434306, -0.899366, 1.0]], ['2, k, 10', [0.46501, -1.09326, 1.0]], ['2, k, 11', [0.45862, -1.12635, 1.0]], ['2, k, 12', [0.0692197, -1.09614, 1.0]], ['2, k, 13', [0.0677829, -1.38107, 1.0]], ['2, k, 14', [0.0668979, -1.78272, 1.0]], ['2, k, 15', [0.0534838, -1.84386, 1.0]], ['2, k, 16', [0.232253, -1.09603, 1.0]], ['2, k, 17', [0.249089, -1.37856, 1.0]], ['2, k, 18', [0.275851, -1.78402, 1.0]], ['2, k, 19', [0.268738, -1.84049, 1.0]], ['2, k, 20', [0.158229, -0.615405, 1.0]], ['2, k, 21', [-0.214324, -1.15583, 1.0]], ['2, k, 22', [-0.131367, -1.12631, 1.0]], ['2, k, 23', [0.457396, -1.16736, 1.0]], ['2, k, 24', [0.50593, -1.12844, 1.0]]]
[['2, k, 0', [0.152678, -1.10957, 1.0]], ['2, k, 1', [0.156036, -0.826225, 1.0]], ['2, k, 2', [0.159021, -0.545577, 1.0]], ['2, k, 3', [0.173484, -0.401351, 1.0]], ['2, k, 4', [-0.0207676, -0.655044, 1.0]], ['2, k, 5', [-0.132027, -0.88692, 1.0]], ['2, k, 6', [-0.205658, -1.07324, 1.0]], ['2, k, 7', [-0.206031, -1.11356, 1.0]], ['2, k, 8', [0.337236, -0.654329, 1.0]], ['2, k, 9', [0.434012, -0.898129, 1.0]], ['2, k, 10', [0.464735, -1.0919, 1.0]], ['2, k, 11', [0.458711, -1.12593, 1.0]], ['2, k, 12', [0.0692624, -1.09608, 1.0]], ['2, k, 13', [0.0677596, -1.38091, 1.0]], ['2, k, 14', [0.066786, -1.78261, 1.0]], ['2, k, 15', [0.0532386, -1.84399, 1.0]], ['2, k, 16', [0.23236, -1.0957, 1.0]], ['2, k, 17', [0.249145, -1.37885, 1.0]], ['2, k, 18', [0.275719, -1.78333, 1.0]], ['2, k, 19', [0.268545, -1.84074, 1.0]], ['2, k, 20', [0.158387, -0.615508, 1.0]], ['2, k, 21', [-0.21031, -1.15455, 1.0]], ['2, k, 22', [-0.131125, -1.12695, 1.0]], ['2, k, 23', [0.46203, -1.16779, 1.0]], ['2, k, 24', [0.505199, -1.12107, 1.0]]]
[['2, k, 0', [0.152673, -1.1096, 1.0]], ['2, k, 1', [0.156099, -0.826416, 1.0]], ['2, k, 2', [0.159273, -0.546175, 1.0]], ['2, k, 3', [0.173404, -0.401825, 1.0]], ['2, k, 4', [-0.020952, -0.655662, 1.0]], ['2, k, 5', [-0.132135, -0.887, 1.0]], ['2, k, 6', [-0.205708, -1.07315, 1.0]], ['2, k, 7', [-0.205878, -1.11441, 1.0]], ['2, k, 8', [0.337217, -0.654746, 1.0]], ['2, k, 9', [0.434276, -0.898119, 1.0]], ['2, k, 10', [0.464416, -1.09144, 1.0]], ['2, k, 11', [0.458502, -1.12441, 1.0]], ['2, k, 12', [0.0692487, -1.09611, 1.0]], ['2, k, 13', [0.0676397, -1.38091, 1.0]], ['2, k, 14', [0.0665225, -1.78274, 1.0]], ['2, k, 15', [0.053045, -1.84474, 1.0]], ['2, k, 16', [0.232353, -1.09572, 1.0]], ['2, k, 17', [0.249355, -1.37985, 1.0]], ['2, k, 18', [0.276072, -1.7834, 1.0]], ['2, k, 19', [0.269148, -1.84144, 1.0]], ['2, k, 20', [0.158587, -0.615992, 1.0]], ['2, k, 21', [-0.211294, -1.15424, 1.0]], ['2, k, 22', [-0.131935, -1.12723, 1.0]], ['2, k, 23', [0.461639, -1.16652, 1.0]], ['2, k, 24', [0.500763, -1.12403, 1.0]]]
[['2, k, 0', [0.152584, -1.10969, 1.0]], ['2, k, 1', [0.156095, -0.826472, 1.0]], ['2, k, 2', [0.159366, -0.546226, 1.0]], ['2, k, 3', [0.173296, -0.402509, 1.0]], ['2, k, 4', [-0.0210411, -0.656249, 1.0]], ['2, k, 5', [-0.132429, -0.887626, 1.0]], ['2, k, 6', [-0.205835, -1.07337, 1.0]], ['2, k, 7', [-0.206942, -1.11436, 1.0]], ['2, k, 8', [0.337175, -0.655171, 1.0]], ['2, k, 9', [0.434259, -0.89829, 1.0]], ['2, k, 10', [0.464317, -1.09142, 1.0]], ['2, k, 11', [0.457466, -1.12455, 1.0]], ['2, k, 12', [0.0691434, -1.09623, 1.0]], ['2, k, 13', [0.067852, -1.38041, 1.0]], ['2, k, 14', [0.0671613, -1.78302, 1.0]], ['2, k, 15', [0.0536907, -1.84516, 1.0]], ['2, k, 16', [0.232288, -1.09578, 1.0]], ['2, k, 17', [0.249226, -1.37987, 1.0]], ['2, k, 18', [0.275886, -1.78382, 1.0]], ['2, k, 19', [0.268806, -1.84156, 1.0]], ['2, k, 20', [0.158651, -0.616054, 1.0]], ['2, k, 21', [-0.212728, -1.15243, 1.0]], ['2, k, 22', [-0.131315, -1.12726, 1.0]], ['2, k, 23', [0.464943, -1.16659, 1.0]], ['2, k, 24', [0.503732, -1.12177, 1.0]]]
[['2, k, 0', [0.152642, -1.10981, 1.0]], ['2, k, 1', [0.156128, -0.826601, 1.0]], ['2, k, 2', [0.159273, -0.546438, 1.0]], ['2, k, 3', [0.173074, -0.402747, 1.0]], ['2, k, 4', [-0.0210125, -0.656633, 1.0]], ['2, k, 5', [-0.132691, -0.887476, 1.0]], ['2, k, 6', [-0.205625, -1.07282, 1.0]], ['2, k, 7', [-0.205524, -1.11377, 1.0]], ['2, k, 8', [0.3371, -0.655277, 1.0]], ['2, k, 9', [0.434064, -0.899007, 1.0]], ['2, k, 10', [0.464337, -1.09172, 1.0]], ['2, k, 11', [0.458404, -1.12078, 1.0]], ['2, k, 12', [0.0691861, -1.09636, 1.0]], ['2, k, 13', [0.0681472, -1.37926, 1.0]], ['2, k, 14', [0.0677993, -1.78344, 1.0]], ['2, k, 15', [0.0545769, -1.84536, 1.0]], ['2, k, 16', [0.232359, -1.09586, 1.0]], ['2, k, 17', [0.24943, -1.37997, 1.0]], ['2, k, 18', [0.27627, -1.78389, 1.0]], ['2, k, 19', [0.269425, -1.84186, 1.0]], ['2, k, 20', [0.158607, -0.616255, 1.0]], ['2, k, 21', [-0.210355, -1.15298, 1.0]], ['2, k, 22', [-0.131883, -1.12685, 1.0]], ['2, k, 23', [0.459555, -1.1619, 1.0]], ['2, k, 24', [0.500576, -1.12039, 1.0]]]
[['2, k, 0', [0.152689, -1.10993, 1.0]], ['2, k, 1', [0.156124, -0.826864, 1.0]], ['2, k, 2', [0.159027, -0.546908, 1.0]], ['2, k, 3', [0.172934, -0.403674, 1.0]], ['2, k, 4', [-0.0209684, -0.657157, 1.0]], ['2, k, 5', [-0.132739, -0.887989, 1.0]], ['2, k, 6', [-0.205671, -1.07302, 1.0]], ['2, k, 7', [-0.206645, -1.11503, 1.0]], ['2, k, 8', [0.337321, -0.655723, 1.0]], ['2, k, 9', [0.434182, -0.899011, 1.0]], ['2, k, 10', [0.464408, -1.09132, 1.0]], ['2, k, 11', [0.458201, -1.12128, 1.0]], ['2, k, 12', [0.0692259, -1.09646, 1.0]], ['2, k, 13', [0.0680355, -1.37955, 1.0]], ['2, k, 14', [0.0674814, -1.7836, 1.0]], ['2, k, 15', [0.0540544, -1.84575, 1.0]], ['2, k, 16', [0.232422, -1.09602, 1.0]], ['2, k, 17', [0.249164, -1.37997, 1.0]], ['2, k, 18', [0.275593, -1.78422, 1.0]], ['2, k, 19', [0.268503, -1.84228, 1.0]], ['2, k, 20', [0.158437, -0.61668, 1.0]], ['2, k, 21', [-0.209695, -1.15249, 1.0]], ['2, k, 22', [-0.129987, -1.127, 1.0]], ['2, k, 23', [0.461704, -1.16068, 1.0]], ['2, k, 24', [0.501016, -1.1139, 1.0]]]
[['2, k, 0', [0.152673, -1.10989, 1.0]], ['2, k, 1', [0.156189, -0.826903, 1.0]], ['2, k, 2', [0.159272, -0.547147, 1.0]], ['2, k, 3', [0.172783, -0.40403, 1.0]], ['2, k, 4', [-0.0210625, -0.657583, 1.0]], ['2, k, 5', [-0.133192, -0.889977, 1.0]], ['2, k, 6', [-0.205994, -1.07386, 1.0]], ['2, k, 7', [-0.205267, -1.11484, 1.0]], ['2, k, 8', [0.337367, -0.656027, 1.0]], ['2, k, 9', [0.433796, -0.898238, 1.0]], ['2, k, 10', [0.464481, -1.08976, 1.0]], ['2, k, 11', [0.458793, -1.1209, 1.0]], ['2, k, 12', [0.0692136, -1.09654, 1.0]], ['2, k, 13', [0.0682625, -1.37892, 1.0]], ['2, k, 14', [0.0680357, -1.78388, 1.0]], ['2, k, 15', [0.0546125, -1.84596, 1.0]], ['2, k, 16', [0.232383, -1.09566, 1.0]], ['2, k, 17', [0.249225, -1.37992, 1.0]], ['2, k, 18', [0.275744, -1.78386, 1.0]], ['2, k, 19', [0.268627, -1.8422, 1.0]], ['2, k, 20', [0.158631, -0.616859, 1.0]], ['2, k, 21', [-0.209215, -1.15472, 1.0]], ['2, k, 22', [-0.131695, -1.12765, 1.0]], ['2, k, 23', [0.462949, -1.16112, 1.0]], ['2, k, 24', [0.509452, -1.13025, 1.0]]]
[['2, k, 0', [0.15271, -1.10992, 1.0]], ['2, k, 1', [0.156191, -0.827038, 1.0]], ['2, k, 2', [0.158999, -0.547421, 1.0]], ['2, k, 3', [0.172678, -0.404168, 1.0]], ['2, k, 4', [-0.0208576, -0.65806, 1.0]], ['2, k, 5', [-0.133157, -0.89009, 1.0]], ['2, k, 6', [-0.205935, -1.07377, 1.0]], ['2, k, 7', [-0.205074, -1.11458, 1.0]], ['2, k, 8', [0.337546, -0.656567, 1.0]], ['2, k, 9', [0.433832, -0.898607, 1.0]], ['2, k, 10', [0.464508, -1.08996, 1.0]], ['2, k, 11', [0.458578, -1.12054, 1.0]], ['2, k, 12', [0.0693113, -1.09678, 1.0]], ['2, k, 13', [0.0683735, -1.37852, 1.0]], ['2, k, 14', [0.068167, -1.78433, 1.0]], ['2, k, 15', [0.0545667, -1.84645, 1.0]], ['2, k, 16', [0.232428, -1.09559, 1.0]], ['2, k, 17', [0.249161, -1.38002, 1.0]], ['2, k, 18', [0.27551, -1.78387, 1.0]], ['2, k, 19', [0.268209, -1.84254, 1.0]], ['2, k, 20', [0.158443, -0.617098, 1.0]], ['2, k, 21', [-0.211951, -1.15522, 1.0]], ['2, k, 22', [-0.132306, -1.12733, 1.0]], ['2, k, 23', [0.462161, -1.16022, 1.0]], ['2, k, 24', [0.499452, -1.10875, 1.0]]]
