[['2, k, 0', [-0.1777464, 0.06372119, 1.0]], ['2, k, 1', [-0.1580649, 0.3714483, 1.0]], ['2, k, 2', [-0.1371442, 0.6674296, 1.0]], ['2, k, 3', [-0.1263477, 0.8140655, 1.0]], ['2, k, 4', [-0.2965542, 0.544203, 1.0]], ['2, k, 5', [-0.356953, 0.2769324, 1.0]], ['2, k, 6', [-0.3768284, 0.02353721, 1.0]], ['2, k, 7', [-0.3781689, -0.008422405, 1.0]], ['2, k, 8', [0.03282049, 0.5534511, 1.0]], ['2, k, 9', [0.089185, 0.3220803, 1.0]], ['2, k, 10', [0.1093188, 0.1039241, 1.0]], ['2, k, 11', [0.1064892, 0.06622891, 1.0]], ['2, k, 12', [-0.2494552, 0.06432743, 1.0]], ['2, k, 13', [-0.3293739, -0.2943631, 1.0]], ['2, k, 14', [-0.3619438, -0.6472698, 1.0]], ['2, k, 15', [-0.3615621, -0.7173036, 1.0]], ['2, k, 16', [-0.1000488, 0.0613158, 1.0]], ['2, k, 17', [-0.1179145, -0.2945235, 1.0]], ['2, k, 18', [-0.1577598, -0.6438003, 1.0]], ['2, k, 19', [-0.1527992, -0.7225145, 1.0]], ['2, k, 20', [-0.1425012, 0.5950873, 1.0]], ['2, k, 21', [-0.4026376, -0.0481647, 1.0]], ['2, k, 22', [-0.4082341, -0.006800335, 1.0]], ['2, k, 23', [0.1129495, 0.002698874, 1.0]], ['2, k, 24', [0.147999, 0.05397909, 1.0]]]
[['2, k, 0', [-0.1766589, 0.06411838, 1.0]], ['2, k, 1', [-0.1558299, 0.3720701, 1.0]], ['2, k, 2', [-0.1336422, 0.6683667, 1.0]], ['2, k, 3', [-0.121845, 0.8147404, 1.0]], ['2, k, 4', [-0.2926795, 0.5439873, 1.0]], ['2, k, 5', [-0.3533375, 0.2782288, 1.0]], ['2, k, 6', [-0.3741054, 0.02282319, 1.0]], ['2, k, 7', [-0.3765804, -0.00470897, 1.0]], ['2, k, 8', [0.03357499, 0.5536409, 1.0]], ['2, k, 9', [0.09188043, 0.3225573, 1.0]], ['2, k, 10', [0.1101158, 0.1041709, 1.0]], ['2, k, 11', [0.1087452, 0.0664015, 1.0]], ['2, k, 12', [-0.2482917, 0.06505221, 1.0]], ['2, k, 13', [-0.3286822, -0.2927573, 1.0]], ['2, k, 14', [-0.3617413, -0.6445662, 1.0]], ['2, k, 15', [-0.3615633, -0.7167264, 1.0]], ['2, k, 16', [-0.09907418, 0.06140646, 1.0]], ['2, k, 17', [-0.118134, -0.2945656, 1.0]], ['2, k, 18', [-0.1560878, -0.6464782, 1.0]], ['2, k, 19', [-0.1528378, -0.7230098, 1.0]], ['2, k, 20', [-0.1393209, 0.5959383, 1.0]], ['2, k, 21', [-0.3967902, -0.04656842, 1.0]], ['2, k, 22', [-0.405946, -0.008336809, 1.0]], ['2, k, 23', [0.1179651, -0.0002724211, 1.0]], ['2, k, 24', [0.1505312, 0.05508779, 1.0]]]
[['2, k, 0', [-0.1755275, 0.06455255, 1.0]], ['2, k, 1', [-0.1532152, 0.3727339, 1.0]], ['2, k, 2', [-0.1294958, 0.6692572, 1.0]], ['2, k, 3', [-0.1186659, 0.8159418, 1.0]], ['2, k, 4', [-0.2914668, 0.5445423, 1.0]], ['2, k, 5', [-0.3511203, 0.2798298, 1.0]], ['2, k, 6', [-0.365706, 0.04940536, 1.0]], ['2, k, 7', [-0.3667024, 0.01348647, 1.0]], ['2, k, 8', [0.03439958, 0.5535508, 1.0]], ['2, k, 9', [0.09450478, 0.3219277, 1.0]], ['2, k, 10', [0.1102981, 0.1035304, 1.0]], ['2, k, 11', [0.1088431, 0.06460167, 1.0]], ['2, k, 12', [-0.2470959, 0.06588652, 1.0]], ['2, k, 13', [-0.3277709, -0.2884335, 1.0]], ['2, k, 14', [-0.3625022, -0.6425378, 1.0]], ['2, k, 15', [-0.366639, -0.7133122, 1.0]], ['2, k, 16', [-0.09803192, 0.06145465, 1.0]], ['2, k, 17', [-0.118164, -0.2944796, 1.0]], ['2, k, 18', [-0.1560703, -0.6463925, 1.0]], ['2, k, 19', [-0.1528331, -0.7229614, 1.0]], ['2, k, 20', [-0.1355526, 0.5967728, 1.0]], ['2, k, 21', [-0.3820327, -0.02564142, 1.0]], ['2, k, 22', [-0.3969357, 0.008007352, 1.0]], ['2, k, 23', [0.124246, -0.001976941, 1.0]], ['2, k, 24', [0.1451008, 0.05544333, 1.0]]]
[['2, k, 0', [-0.1742802, 0.06506847, 1.0]], ['2, k, 1', [-0.1506878, 0.3730111, 1.0]], ['2, k, 2', [-0.1255209, 0.6691726, 1.0]], ['2, k, 3', [-0.1154381, 0.8162305, 1.0]], ['2, k, 4', [-0.2904148, 0.5447775, 1.0]], ['2, k, 5', [-0.3489674, 0.2807042, 1.0]], ['2, k, 6', [-0.363786, 0.03654052, 1.0]], ['2, k, 7', [-0.3672174, 0.003001903, 1.0]], ['2, k, 8', [0.03525376, 0.5532306, 1.0]], ['2, k, 9', [0.09547935, 0.3216281, 1.0]], ['2, k, 10', [0.1114204, 0.1033798, 1.0]], ['2, k, 11', [0.1114075, 0.06509731, 1.0]], ['2, k, 12', [-0.2457848, 0.0669105, 1.0]], ['2, k, 13', [-0.3288886, -0.2871592, 1.0]], ['2, k, 14', [-0.3666064, -0.6403269, 1.0]], ['2, k, 15', [-0.3770475, -0.7131194, 1.0]], ['2, k, 16', [-0.09689894, 0.06150701, 1.0]], ['2, k, 17', [-0.1182746, -0.2944695, 1.0]], ['2, k, 18', [-0.1569978, -0.6446829, 1.0]], ['2, k, 19', [-0.1525862, -0.7233777, 1.0]], ['2, k, 20', [-0.1319458, 0.5967925, 1.0]], ['2, k, 21', [-0.3902618, -0.03666, 1.0]], ['2, k, 22', [-0.4044042, -0.01996378, 1.0]], ['2, k, 23', [0.1186471, -0.0002874726, 1.0]], ['2, k, 24', [0.148048, 0.05329154, 1.0]]]
[['2, k, 0', [-0.1728633, 0.06556028, 1.0]], ['2, k, 1', [-0.1477793, 0.3737271, 1.0]], ['2, k, 2', [-0.121384, 0.6701167, 1.0]], ['2, k, 3', [-0.1124964, 0.8166804, 1.0]], ['2, k, 4', [-0.286257, 0.5455353, 1.0]], ['2, k, 5', [-0.3475394, 0.2814705, 1.0]], ['2, k, 6', [-0.3632967, 0.03453373, 1.0]], ['2, k, 7', [-0.3658592, 3.162079e-06, 1.0]], ['2, k, 8', [0.04315116, 0.5534083, 1.0]], ['2, k, 9', [0.09831738, 0.3219855, 1.0]], ['2, k, 10', [0.1095133, 0.1033129, 1.0]], ['2, k, 11', [0.1077448, 0.06483827, 1.0]], ['2, k, 12', [-0.2441765, 0.06781974, 1.0]], ['2, k, 13', [-0.3302321, -0.2877157, 1.0]], ['2, k, 14', [-0.3752548, -0.6393124, 1.0]], ['2, k, 15', [-0.3905981, -0.7122208, 1.0]], ['2, k, 16', [-0.09571214, 0.06158787, 1.0]], ['2, k, 17', [-0.1184085, -0.2946269, 1.0]], ['2, k, 18', [-0.1552457, -0.6473566, 1.0]], ['2, k, 19', [-0.1500967, -0.7254155, 1.0]], ['2, k, 20', [-0.1280877, 0.5976771, 1.0]], ['2, k, 21', [-0.3898369, -0.03994509, 1.0]], ['2, k, 22', [-0.3963861, -0.001571189, 1.0]], ['2, k, 23', [0.1211343, -0.0002739105, 1.0]], ['2, k, 24', [0.146501, 0.05302193, 1.0]]]
[['2, k, 0', [-0.171834, 0.06607603, 1.0]], ['2, k, 1', [-0.1459302, 0.3742534, 1.0]], ['2, k, 2', [-0.1187829, 0.6706535, 1.0]], ['2, k, 3', [-0.1108887, 0.8172177, 1.0]], ['2, k, 4', [-0.2845563, 0.545515, 1.0]], ['2, k, 5', [-0.3447215, 0.2812347, 1.0]], ['2, k, 6', [-0.3622458, 0.0343602, 1.0]], ['2, k, 7', [-0.3606428, -0.002000597, 1.0]], ['2, k, 8', [0.04693249, 0.5532052, 1.0]], ['2, k, 9', [0.09979247, 0.3214798, 1.0]], ['2, k, 10', [0.1106838, 0.1030108, 1.0]], ['2, k, 11', [0.1090044, 0.06580143, 1.0]], ['2, k, 12', [-0.2432371, 0.06839821, 1.0]], ['2, k, 13', [-0.3330581, -0.2874771, 1.0]], ['2, k, 14', [-0.3879111, -0.6338481, 1.0]], ['2, k, 15', [-0.4022614, -0.7094276, 1.0]], ['2, k, 16', [-0.0946949, 0.06193667, 1.0]], ['2, k, 17', [-0.1188037, -0.2918093, 1.0]], ['2, k, 18', [-0.1557919, -0.6441823, 1.0]], ['2, k, 19', [-0.1509051, -0.7234371, 1.0]], ['2, k, 20', [-0.1256659, 0.5982117, 1.0]], ['2, k, 21', [-0.37387, -0.04227761, 1.0]], ['2, k, 22', [-0.3963208, -0.01106742, 1.0]], ['2, k, 23', [0.1196963, 0.0005798315, 1.0]], ['2, k, 24', [0.1453759, 0.05528759, 1.0]]]
[['2, k, 0', [-0.1711747, 0.06628259, 1.0]], ['2, k, 1', [-0.1443159, 0.37445, 1.0]], ['2, k, 2', [-0.1161336, 0.6708437, 1.0]], ['2, k, 3', [-0.1087543, 0.8172944, 1.0]], ['2, k, 4', [-0.2816558, 0.5459734, 1.0]], ['2, k, 5', [-0.3421981, 0.2816001, 1.0]], ['2, k, 6', [-0.3614291, 0.03301914, 1.0]], ['2, k, 7', [-0.3582496, -0.004408677, 1.0]], ['2, k, 8', [0.0493574, 0.5537555, 1.0]], ['2, k, 9', [0.1008447, 0.3216471, 1.0]], ['2, k, 10', [0.1115197, 0.1031492, 1.0]], ['2, k, 11', [0.1097858, 0.06552844, 1.0]], ['2, k, 12', [-0.2426853, 0.06874744, 1.0]], ['2, k, 13', [-0.3391023, -0.2878722, 1.0]], ['2, k, 14', [-0.3981938, -0.6360025, 1.0]], ['2, k, 15', [-0.4184622, -0.7083298, 1.0]], ['2, k, 16', [-0.09396073, 0.06193216, 1.0]], ['2, k, 17', [-0.1188682, -0.2922122, 1.0]], ['2, k, 18', [-0.1547171, -0.6491241, 1.0]], ['2, k, 19', [-0.1471403, -0.7241557, 1.0]], ['2, k, 20', [-0.1232785, 0.5984032, 1.0]], ['2, k, 21', [-0.3616721, -0.04537965, 1.0]], ['2, k, 22', [-0.3949045, -0.0128072, 1.0]], ['2, k, 23', [0.1186427, 0.0003187318, 1.0]], ['2, k, 24', [0.1454143, 0.05525225, 1.0]]]
[['2, k, 0', [-0.1700988, 0.06730063, 1.0]], ['2, k, 1', [-0.1430688, 0.3752154, 1.0]], ['2, k, 2', [-0.1149493, 0.6714237, 1.0]], ['2, k, 3', [-0.1072126, 0.8174404, 1.0]], ['2, k, 4', [-0.2788216, 0.546928, 1.0]], ['2, k, 5', [-0.3389929, 0.2829866, 1.0]], ['2, k, 6', [-0.3598579, 0.03283836, 1.0]], ['2, k, 7', [-0.3578008, -0.002823936, 1.0]], ['2, k, 8', [0.05314054, 0.5554411, 1.0]], ['2, k, 9', [0.1016886, 0.3219188, 1.0]], ['2, k, 10', [0.1124217, 0.1035249, 1.0]], ['2, k, 11', [0.1085562, 0.063968, 1.0]], ['2, k, 12', [-0.2417929, 0.06978256, 1.0]], ['2, k, 13', [-0.3453253, -0.2855254, 1.0]], ['2, k, 14', [-0.4140318, -0.6280092, 1.0]], ['2, k, 15', [-0.4289268, -0.7044731, 1.0]], ['2, k, 16', [-0.09275442, 0.06281684, 1.0]], ['2, k, 17', [-0.1187681, -0.2870761, 1.0]], ['2, k, 18', [-0.1559686, -0.6475916, 1.0]], ['2, k, 19', [-0.1495494, -0.7238294, 1.0]], ['2, k, 20', [-0.1220667, 0.5990255, 1.0]], ['2, k, 21', [-0.3574423, -0.0463374, 1.0]], ['2, k, 22', [-0.3940184, -0.01049595, 1.0]], ['2, k, 23', [0.119781, 0.0004031133, 1.0]], ['2, k, 24', [0.1446936, 0.05516443, 1.0]]]
[['2, k, 0', [-0.1695027, 0.0677636, 1.0]], ['2, k, 1', [-0.141228, 0.375727, 1.0]], ['2, k, 2', [-0.111408, 0.6719618, 1.0]], ['2, k, 3', [-0.1049061, 0.8179097, 1.0]], ['2, k, 4', [-0.2762901, 0.5469286, 1.0]], ['2, k, 5', [-0.3363826, 0.2831135, 1.0]], ['2, k, 6', [-0.345996, 0.06422701, 1.0]], ['2, k, 7', [-0.3492, 0.03456483, 1.0]], ['2, k, 8', [0.05649462, 0.5552493, 1.0]], ['2, k, 9', [0.1031734, 0.3222143, 1.0]], ['2, k, 10', [0.1186693, 0.103854, 1.0]], ['2, k, 11', [0.1097954, 0.05567384, 1.0]], ['2, k, 12', [-0.2411026, 0.07065666, 1.0]], ['2, k, 13', [-0.3521353, -0.2856353, 1.0]], ['2, k, 14', [-0.4229502, -0.6282544, 1.0]], ['2, k, 15', [-0.4403622, -0.7026564, 1.0]], ['2, k, 16', [-0.09226139, 0.06293601, 1.0]], ['2, k, 17', [-0.1191978, -0.2861024, 1.0]], ['2, k, 18', [-0.1576523, -0.6437466, 1.0]], ['2, k, 19', [-0.1502501, -0.7236885, 1.0]], ['2, k, 20', [-0.1189822, 0.5995626, 1.0]], ['2, k, 21', [-0.3697191, -0.02780227, 1.0]], ['2, k, 22', [-0.3765758, 0.03472497, 1.0]], ['2, k, 23', [0.1200609, -0.002526799, 1.0]], ['2, k, 24', [0.1456233, 0.05305973, 1.0]]]
[['2, k, 0', [-0.1689793, 0.06821317, 1.0]], ['2, k, 1', [-0.1397215, 0.3761913, 1.0]], ['2, k, 2', [-0.1087712, 0.672417, 1.0]], ['2, k, 3', [-0.1034509, 0.8183808, 1.0]], ['2, k, 4', [-0.2722104, 0.5482289, 1.0]], ['2, k, 5', [-0.3341861, 0.2834074, 1.0]], ['2, k, 6', [-0.3461409, 0.06446734, 1.0]], ['2, k, 7', [-0.3487135, 0.03619721, 1.0]], ['2, k, 8', [0.05880596, 0.5545813, 1.0]], ['2, k, 9', [0.1059016, 0.3234829, 1.0]], ['2, k, 10', [0.1014633, 0.1039403, 1.0]], ['2, k, 11', [0.1090218, 0.0670022, 1.0]], ['2, k, 12', [-0.2406482, 0.07133994, 1.0]], ['2, k, 13', [-0.3574833, -0.2848493, 1.0]], ['2, k, 14', [-0.4368498, -0.6306845, 1.0]], ['2, k, 15', [-0.4532632, -0.6993258, 1.0]], ['2, k, 16', [-0.09162236, 0.06311799, 1.0]], ['2, k, 17', [-0.1193959, -0.285576, 1.0]], ['2, k, 18', [-0.1585087, -0.6423883, 1.0]], ['2, k, 19', [-0.1507114, -0.7236155, 1.0]], ['2, k, 20', [-0.1166254, 0.6000251, 1.0]], ['2, k, 21', [-0.3722512, -0.0266237, 1.0]], ['2, k, 22', [-0.3768718, 0.02975219, 1.0]], ['2, k, 23', [0.1197304, -0.0001698946, 1.0]], ['2, k, 24', [0.1457772, 0.05400201, 1.0]]]
[['2, k, 0', [-0.1685417, 0.06870811, 1.0]], ['2, k, 1', [-0.1384632, 0.3766812, 1.0]], ['2, k, 2', [-0.1067742, 0.672823, 1.0]], ['2, k, 3', [-0.1016822, 0.8186614, 1.0]], ['2, k, 4', [-0.2705166, 0.5484468, 1.0]], ['2, k, 5', [-0.3323587, 0.2833726, 1.0]], ['2, k, 6', [-0.3461871, 0.06428551, 1.0]], ['2, k, 7', [-0.3515596, 0.02584921, 1.0]], ['2, k, 8', [0.06116402, 0.5558773, 1.0]], ['2, k, 9', [0.1073341, 0.3234217, 1.0]], ['2, k, 10', [0.1105276, 0.1035606, 1.0]], ['2, k, 11', [0.1028529, 0.0853689, 1.0]], ['2, k, 12', [-0.2402675, 0.07182176, 1.0]], ['2, k, 13', [-0.3638031, -0.2850204, 1.0]], ['2, k, 14', [-0.4442571, -0.6316816, 1.0]], ['2, k, 15', [-0.4615217, -0.6962693, 1.0]], ['2, k, 16', [-0.09114956, 0.06357895, 1.0]], ['2, k, 17', [-0.119616, -0.2847019, 1.0]], ['2, k, 18', [-0.1585978, -0.641224, 1.0]], ['2, k, 19', [-0.1507365, -0.7236165, 1.0]], ['2, k, 20', [-0.1147956, 0.600458, 1.0]], ['2, k, 21', [-0.3627822, -0.01246602, 1.0]], ['2, k, 22', [-0.3827894, 0.01085245, 1.0]], ['2, k, 23', [0.1129654, 0.01213514, 1.0]], ['2, k, 24', [0.1472153, 0.06103861, 1.0]]]
