[['2, k, 0', [-0.33331, -0.803314, 1.0]], ['2, k, 1', [-0.364591, -0.509453, 1.0]], ['2, k, 2', [-0.393482, -0.219418, 1.0]], ['2, k, 3', [-0.403237, -0.0723149, 1.0]], ['2, k, 4', [-0.521882, -0.299, 1.0]], ['2, k, 5', [-0.595628, -0.376064, 1.0]], ['2, k, 6', [-0.570602, -0.354853, 1.0]], ['2, k, 7', [-0.593354, -0.340073, 1.0]], ['2, k, 8', [-0.227365, -0.289306, 1.0]], ['2, k, 9', [-0.211469, -0.54343, 1.0]], ['2, k, 10', [-0.348184, -0.457373, 1.0]], ['2, k, 11', [-0.394094, -0.429427, 1.0]], ['2, k, 12', [-0.396303, -0.795842, 1.0]], ['2, k, 13', [-0.48563, -1.03613, 1.0]], ['2, k, 14', [-0.494099, -1.32266, 1.0]], ['2, k, 15', [-0.477867, -1.35937, 1.0]], ['2, k, 16', [-0.262289, -0.791438, 1.0]], ['2, k, 17', [-0.167687, -1.04594, 1.0]], ['2, k, 18', [-0.19816, -1.32959, 1.0]], ['2, k, 19', [-0.188751, -1.35187, 1.0]], ['2, k, 20', [-0.386663, -0.291469, 1.0]], ['2, k, 21', [-0.586081, -0.328444, 1.0]], ['2, k, 22', [-0.506476, -0.335312, 1.0]], ['2, k, 23', [-0.392539, -0.427732, 1.0]], ['2, k, 24', [-0.390511, -0.425522, 1.0]]]
[['2, k, 0', [-0.345201, -0.795311, 1.0]], ['2, k, 1', [-0.366359, -0.508545, 1.0]], ['2, k, 2', [-0.392837, -0.220394, 1.0]], ['2, k, 3', [-0.402605, -0.0741787, 1.0]], ['2, k, 4', [-0.520887, -0.302264, 1.0]], ['2, k, 5', [-0.592422, -0.370081, 1.0]], ['2, k, 6', [-0.578715, -0.364772, 1.0]], ['2, k, 7', [-0.609673, -0.353336, 1.0]], ['2, k, 8', [-0.225518, -0.293975, 1.0]], ['2, k, 9', [-0.102357, -0.34368, 1.0]], ['2, k, 10', [-0.0546703, -0.328876, 1.0]], ['2, k, 11', [-0.0208815, -0.319624, 1.0]], ['2, k, 12', [-0.4081, -0.787692, 1.0]], ['2, k, 13', [-0.477254, -1.03939, 1.0]], ['2, k, 14', [-0.479106, -1.25951, 1.0]], ['2, k, 15', [-0.461615, -1.34095, 1.0]], ['2, k, 16', [-0.274075, -0.783964, 1.0]], ['2, k, 17', [-0.16508, -1.0401, 1.0]], ['2, k, 18', [-0.16261, -1.30937, 1.0]], ['2, k, 19', [-0.147301, -1.34681, 1.0]], ['2, k, 20', [-0.386534, -0.291735, 1.0]], ['2, k, 21', [-0.609773, -0.348666, 1.0]], ['2, k, 22', [-0.535247, -0.348718, 1.0]], ['2, k, 23', [0.000793062, -0.319873, 1.0]], ['2, k, 24', [0.0579738, -0.31697, 1.0]]]
[['2, k, 0', [-0.340656, -0.779332, 1.0]], ['2, k, 1', [-0.366003, -0.506737, 1.0]], ['2, k, 2', [-0.391478, -0.225306, 1.0]], ['2, k, 3', [-0.401689, -0.0783651, 1.0]], ['2, k, 4', [-0.518678, -0.319148, 1.0]], ['2, k, 5', [-0.592342, -0.37009, 1.0]], ['2, k, 6', [-0.579235, -0.365126, 1.0]], ['2, k, 7', [-0.60197, -0.364347, 1.0]], ['2, k, 8', [-0.217159, -0.312774, 1.0]], ['2, k, 9', [-0.0981376, -0.342971, 1.0]], ['2, k, 10', [-0.0501935, -0.334734, 1.0]], ['2, k, 11', [-0.0208546, -0.331705, 1.0]], ['2, k, 12', [-0.403733, -0.771721, 1.0]], ['2, k, 13', [-0.443938, -1.04523, 1.0]], ['2, k, 14', [-0.474371, -1.31416, 1.0]], ['2, k, 15', [-0.467229, -1.3703, 1.0]], ['2, k, 16', [-0.269378, -0.768177, 1.0]], ['2, k, 17', [-0.204474, -1.04082, 1.0]], ['2, k, 18', [-0.187815, -1.31761, 1.0]], ['2, k, 19', [-0.169313, -1.3576, 1.0]], ['2, k, 20', [-0.385488, -0.295164, 1.0]], ['2, k, 21', [-0.592457, -0.356114, 1.0]], ['2, k, 22', [-0.523205, -0.359795, 1.0]], ['2, k, 23', [-0.00269033, -0.332416, 1.0]], ['2, k, 24', [0.0523044, -0.330972, 1.0]]]
[['2, k, 0', [-0.340207, -0.780081, 1.0]], ['2, k, 1', [-0.365958, -0.507901, 1.0]], ['2, k, 2', [-0.391538, -0.230557, 1.0]], ['2, k, 3', [-0.399394, -0.0850203, 1.0]], ['2, k, 4', [-0.518587, -0.319119, 1.0]], ['2, k, 5', [-0.593082, -0.373736, 1.0]], ['2, k, 6', [-0.553509, -0.380776, 1.0]], ['2, k, 7', [-0.595591, -0.376088, 1.0]], ['2, k, 8', [-0.217197, -0.312577, 1.0]], ['2, k, 9', [-0.0765763, -0.345986, 1.0]], ['2, k, 10', [-0.0252049, -0.347362, 1.0]], ['2, k, 11', [-0.0157334, -0.342031, 1.0]], ['2, k, 12', [-0.40335, -0.772658, 1.0]], ['2, k, 13', [-0.44175, -1.03801, 1.0]], ['2, k, 14', [-0.466997, -1.35558, 1.0]], ['2, k, 15', [-0.485107, -1.44238, 1.0]], ['2, k, 16', [-0.268936, -0.768885, 1.0]], ['2, k, 17', [-0.206908, -1.02744, 1.0]], ['2, k, 18', [-0.191376, -1.2909, 1.0]], ['2, k, 19', [-0.173034, -1.33099, 1.0]], ['2, k, 20', [-0.385517, -0.299248, 1.0]], ['2, k, 21', [-0.604891, -0.373338, 1.0]], ['2, k, 22', [-0.518382, -0.371069, 1.0]], ['2, k, 23', [0.00141982, -0.342521, 1.0]], ['2, k, 24', [0.0443295, -0.340714, 1.0]]]
[['2, k, 0', [-0.339815, -0.785564, 1.0]], ['2, k, 1', [-0.36583, -0.511982, 1.0]], ['2, k, 2', [-0.390942, -0.237383, 1.0]], ['2, k, 3', [-0.398297, -0.0912034, 1.0]], ['2, k, 4', [-0.51799, -0.336746, 1.0]], ['2, k, 5', [-0.590267, -0.381359, 1.0]], ['2, k, 6', [-0.541253, -0.383705, 1.0]], ['2, k, 7', [-0.586429, -0.387491, 1.0]], ['2, k, 8', [-0.213017, -0.328031, 1.0]], ['2, k, 9', [-0.0952593, -0.386226, 1.0]], ['2, k, 10', [-0.0341677, -0.368834, 1.0]], ['2, k, 11', [-0.0159684, -0.354623, 1.0]], ['2, k, 12', [-0.403185, -0.778097, 1.0]], ['2, k, 13', [-0.441718, -1.04008, 1.0]], ['2, k, 14', [-0.472983, -1.3365, 1.0]], ['2, k, 15', [-0.465149, -1.39834, 1.0]], ['2, k, 16', [-0.268367, -0.774402, 1.0]], ['2, k, 17', [-0.207557, -1.02314, 1.0]], ['2, k, 18', [-0.193184, -1.27609, 1.0]], ['2, k, 19', [-0.174233, -1.31749, 1.0]], ['2, k, 20', [-0.38504, -0.305574, 1.0]], ['2, k, 21', [-0.589661, -0.384643, 1.0]], ['2, k, 22', [-0.511447, -0.382782, 1.0]], ['2, k, 23', [-0.00549662, -0.354597, 1.0]], ['2, k, 24', [0.0514027, -0.352596, 1.0]]]
[['2, k, 0', [-0.338622, -0.788703, 1.0]], ['2, k, 1', [-0.365552, -0.516461, 1.0]], ['2, k, 2', [-0.391568, -0.246171, 1.0]], ['2, k, 3', [-0.396879, -0.099744, 1.0]], ['2, k, 4', [-0.517305, -0.342315, 1.0]], ['2, k, 5', [-0.593531, -0.392626, 1.0]], ['2, k, 6', [-0.542363, -0.393368, 1.0]], ['2, k, 7', [-0.585317, -0.398035, 1.0]], ['2, k, 8', [-0.211734, -0.333078, 1.0]], ['2, k, 9', [-0.0956478, -0.387243, 1.0]], ['2, k, 10', [-0.0324158, -0.372751, 1.0]], ['2, k, 11', [-0.0141441, -0.365286, 1.0]], ['2, k, 12', [-0.402161, -0.781271, 1.0]], ['2, k, 13', [-0.441355, -1.04787, 1.0]], ['2, k, 14', [-0.472573, -1.33552, 1.0]], ['2, k, 15', [-0.464469, -1.40378, 1.0]], ['2, k, 16', [-0.267074, -0.777529, 1.0]], ['2, k, 17', [-0.205278, -1.02563, 1.0]], ['2, k, 18', [-0.196753, -1.27001, 1.0]], ['2, k, 19', [-0.177964, -1.31516, 1.0]], ['2, k, 20', [-0.3854, -0.313278, 1.0]], ['2, k, 21', [-0.589371, -0.393307, 1.0]], ['2, k, 22', [-0.516058, -0.393638, 1.0]], ['2, k, 23', [-0.00662505, -0.365374, 1.0]], ['2, k, 24', [0.0482944, -0.364791, 1.0]]]
[['2, k, 0', [-0.338161, -0.796061, 1.0]], ['2, k, 1', [-0.36543, -0.524288, 1.0]], ['2, k, 2', [-0.391283, -0.254958, 1.0]], ['2, k, 3', [-0.396122, -0.108949, 1.0]], ['2, k, 4', [-0.515952, -0.353788, 1.0]], ['2, k, 5', [-0.592395, -0.399824, 1.0]], ['2, k, 6', [-0.539943, -0.40031, 1.0]], ['2, k, 7', [-0.578146, -0.40644, 1.0]], ['2, k, 8', [-0.208879, -0.342271, 1.0]], ['2, k, 9', [-0.0735547, -0.387705, 1.0]], ['2, k, 10', [-0.00983495, -0.376776, 1.0]], ['2, k, 11', [-0.00903323, -0.375752, 1.0]], ['2, k, 12', [-0.401928, -0.789122, 1.0]], ['2, k, 13', [-0.440399, -1.04916, 1.0]], ['2, k, 14', [-0.472347, -1.33413, 1.0]], ['2, k, 15', [-0.510085, -1.40591, 1.0]], ['2, k, 16', [-0.266454, -0.784314, 1.0]], ['2, k, 17', [-0.203177, -1.03192, 1.0]], ['2, k, 18', [-0.196373, -1.26883, 1.0]], ['2, k, 19', [-0.177342, -1.31603, 1.0]], ['2, k, 20', [-0.385171, -0.32193, 1.0]], ['2, k, 21', [-0.584545, -0.404258, 1.0]], ['2, k, 22', [-0.509105, -0.402519, 1.0]], ['2, k, 23', [-0.0146951, -0.374601, 1.0]], ['2, k, 24', [0.0474841, -0.37594, 1.0]]]
[['2, k, 0', [-0.336576, -0.802061, 1.0]], ['2, k, 1', [-0.363907, -0.532051, 1.0]], ['2, k, 2', [-0.389478, -0.265446, 1.0]], ['2, k, 3', [-0.395451, -0.120184, 1.0]], ['2, k, 4', [-0.515525, -0.36314, 1.0]], ['2, k, 5', [-0.591119, -0.408284, 1.0]], ['2, k, 6', [-0.549364, -0.422615, 1.0]], ['2, k, 7', [-0.584246, -0.417204, 1.0]], ['2, k, 8', [-0.207561, -0.355265, 1.0]], ['2, k, 9', [-0.0966061, -0.419794, 1.0]], ['2, k, 10', [-0.0484615, -0.432631, 1.0]], ['2, k, 11', [-0.0222888, -0.386877, 1.0]], ['2, k, 12', [-0.400704, -0.794546, 1.0]], ['2, k, 13', [-0.437963, -1.05675, 1.0]], ['2, k, 14', [-0.472023, -1.33329, 1.0]], ['2, k, 15', [-0.498542, -1.40833, 1.0]], ['2, k, 16', [-0.26454, -0.790896, 1.0]], ['2, k, 17', [-0.2026, -1.03435, 1.0]], ['2, k, 18', [-0.200883, -1.26619, 1.0]], ['2, k, 19', [-0.183708, -1.31243, 1.0]], ['2, k, 20', [-0.383444, -0.331713, 1.0]], ['2, k, 21', [-0.577834, -0.412607, 1.0]], ['2, k, 22', [-0.514072, -0.41181, 1.0]], ['2, k, 23', [-0.0126549, -0.383365, 1.0]], ['2, k, 24', [0.0242137, -0.374748, 1.0]]]
[['2, k, 0', [-0.33599, -0.810709, 1.0]], ['2, k, 1', [-0.362968, -0.540261, 1.0]], ['2, k, 2', [-0.388061, -0.273124, 1.0]], ['2, k, 3', [-0.394162, -0.128197, 1.0]], ['2, k, 4', [-0.516175, -0.373215, 1.0]], ['2, k, 5', [-0.589894, -0.419371, 1.0]], ['2, k, 6', [-0.574797, -0.426183, 1.0]], ['2, k, 7', [-0.590181, -0.427642, 1.0]], ['2, k, 8', [-0.208173, -0.361877, 1.0]], ['2, k, 9', [-0.0970273, -0.421687, 1.0]], ['2, k, 10', [-0.0611104, -0.410898, 1.0]], ['2, k, 11', [-0.021821, -0.397645, 1.0]], ['2, k, 12', [-0.400278, -0.803774, 1.0]], ['2, k, 13', [-0.43473, -1.06254, 1.0]], ['2, k, 14', [-0.471432, -1.33331, 1.0]], ['2, k, 15', [-0.465361, -1.40869, 1.0]], ['2, k, 16', [-0.263865, -0.798802, 1.0]], ['2, k, 17', [-0.201815, -1.04142, 1.0]], ['2, k, 18', [-0.198781, -1.28121, 1.0]], ['2, k, 19', [-0.180132, -1.32849, 1.0]], ['2, k, 20', [-0.382145, -0.339542, 1.0]], ['2, k, 21', [-0.586354, -0.42361, 1.0]], ['2, k, 22', [-0.52417, -0.426145, 1.0]], ['2, k, 23', [-0.00266982, -0.396501, 1.0]], ['2, k, 24', [-0.0764555, -0.40311, 1.0]]]
[['2, k, 0', [-0.335704, -0.824991, 1.0]], ['2, k, 1', [-0.36328, -0.55207, 1.0]], ['2, k, 2', [-0.388742, -0.282748, 1.0]], ['2, k, 3', [-0.394632, -0.136276, 1.0]], ['2, k, 4', [-0.516786, -0.384588, 1.0]], ['2, k, 5', [-0.592498, -0.436169, 1.0]], ['2, k, 6', [-0.574586, -0.439353, 1.0]], ['2, k, 7', [-0.588846, -0.437185, 1.0]], ['2, k, 8', [-0.208751, -0.371356, 1.0]], ['2, k, 9', [-0.0972992, -0.428844, 1.0]], ['2, k, 10', [-0.0562087, -0.414483, 1.0]], ['2, k, 11', [-0.021474, -0.409003, 1.0]], ['2, k, 12', [-0.400693, -0.820409, 1.0]], ['2, k, 13', [-0.434351, -1.06589, 1.0]], ['2, k, 14', [-0.471369, -1.33341, 1.0]], ['2, k, 15', [-0.465264, -1.40686, 1.0]], ['2, k, 16', [-0.263013, -0.810791, 1.0]], ['2, k, 17', [-0.201251, -1.04751, 1.0]], ['2, k, 18', [-0.209657, -1.35444, 1.0]], ['2, k, 19', [-0.194145, -1.41687, 1.0]], ['2, k, 20', [-0.382747, -0.349699, 1.0]], ['2, k, 21', [-0.582051, -0.433888, 1.0]], ['2, k, 22', [-0.523233, -0.430772, 1.0]], ['2, k, 23', [-0.00258692, -0.4071, 1.0]], ['2, k, 24', [-0.0817835, -0.415353, 1.0]]]
[['2, k, 0', [-0.336124, -0.832238, 1.0]], ['2, k, 1', [-0.364752, -0.559206, 1.0]], ['2, k, 2', [-0.391267, -0.289743, 1.0]], ['2, k, 3', [-0.39454, -0.146804, 1.0]], ['2, k, 4', [-0.516287, -0.391438, 1.0]], ['2, k, 5', [-0.593232, -0.443991, 1.0]], ['2, k, 6', [-0.542977, -0.436525, 1.0]], ['2, k, 7', [-0.575934, -0.446082, 1.0]], ['2, k, 8', [-0.210337, -0.379253, 1.0]], ['2, k, 9', [-0.0990628, -0.437129, 1.0]], ['2, k, 10', [-0.0477246, -0.42801, 1.0]], ['2, k, 11', [-0.00184234, -0.418116, 1.0]], ['2, k, 12', [-0.402048, -0.827958, 1.0]], ['2, k, 13', [-0.432936, -1.0684, 1.0]], ['2, k, 14', [-0.465564, -1.32124, 1.0]], ['2, k, 15', [-0.457989, -1.39182, 1.0]], ['2, k, 16', [-0.262544, -0.817487, 1.0]], ['2, k, 17', [-0.201268, -1.04943, 1.0]], ['2, k, 18', [-0.211654, -1.35393, 1.0]], ['2, k, 19', [-0.196607, -1.41494, 1.0]], ['2, k, 20', [-0.385004, -0.356734, 1.0]], ['2, k, 21', [-0.578737, -0.444852, 1.0]], ['2, k, 22', [-0.504766, -0.443701, 1.0]], ['2, k, 23', [0.0110528, -0.41691, 1.0]], ['2, k, 24', [-0.0514655, -0.425973, 1.0]]]
