[['2, k, 0', [-0.1523852, -0.1471368, 1.0]], ['2, k, 1', [-0.164325, 0.1084493, 1.0]], ['2, k, 2', [-0.1744495, 0.3590415, 1.0]], ['2, k, 3', [-0.1743936, 0.5064478, 1.0]], ['2, k, 4', [-0.3426741, 0.2327876, 1.0]], ['2, k, 5', [-0.4055997, 0.01832984, 1.0]], ['2, k, 6', [-0.3067407, -0.08458287, 1.0]], ['2, k, 7', [-0.2303596, -0.1037707, 1.0]], ['2, k, 8', [0.01533488, 0.250593, 1.0]], ['2, k, 9', [0.08389735, 0.03187588, 1.0]], ['2, k, 10', [0.006605603, -0.05898674, 1.0]], ['2, k, 11', [-0.05188078, -0.07343041, 1.0]], ['2, k, 12', [-0.2294617, -0.1480656, 1.0]], ['2, k, 13', [-0.3094765, -0.2064431, 1.0]], ['2, k, 14', [-0.2300075, -0.6166401, 1.0]], ['2, k, 15', [-0.2172136, -0.6929227, 1.0]], ['2, k, 16', [-0.07167128, -0.1421425, 1.0]], ['2, k, 17', [0.08992416, -0.2048197, 1.0]], ['2, k, 18', [-0.02087551, -0.6284893, 1.0]], ['2, k, 19', [-0.02821421, -0.694921, 1.0]], ['2, k, 20', [-0.1722542, 0.2972038, 1.0]], ['2, k, 21', [-0.1668825, -0.124702, 1.0]], ['2, k, 22', [-0.2619647, -0.123929, 1.0]], ['2, k, 23', [-0.1072284, -0.1182933, 1.0]], ['2, k, 24', [0.01920876, -0.1132584, 1.0]]]
[['2, k, 0', [-0.1513763, -0.1468273, 1.0]], ['2, k, 1', [-0.1633095, 0.1085831, 1.0]], ['2, k, 2', [-0.1734281, 0.3589194, 1.0]], ['2, k, 3', [-0.1719124, 0.5065758, 1.0]], ['2, k, 4', [-0.3414577, 0.234278, 1.0]], ['2, k, 5', [-0.4042338, 0.01908335, 1.0]], ['2, k, 6', [-0.2989401, -0.08529891, 1.0]], ['2, k, 7', [-0.2247113, -0.1004892, 1.0]], ['2, k, 8', [0.01595689, 0.2500799, 1.0]], ['2, k, 9', [0.08493152, 0.03036376, 1.0]], ['2, k, 10', [0.008149295, -0.05883262, 1.0]], ['2, k, 11', [-0.04850269, -0.07437422, 1.0]], ['2, k, 12', [-0.2286571, -0.1475352, 1.0]], ['2, k, 13', [-0.3085367, -0.202826, 1.0]], ['2, k, 14', [-0.2344087, -0.6108072, 1.0]], ['2, k, 15', [-0.2308157, -0.6937181, 1.0]], ['2, k, 16', [-0.07040626, -0.1422221, 1.0]], ['2, k, 17', [0.09101161, -0.2057291, 1.0]], ['2, k, 18', [-0.02092615, -0.6278954, 1.0]], ['2, k, 19', [-0.0258084, -0.6951244, 1.0]], ['2, k, 20', [-0.1712515, 0.297148, 1.0]], ['2, k, 21', [-0.1566388, -0.1212356, 1.0]], ['2, k, 22', [-0.2570313, -0.1211864, 1.0]], ['2, k, 23', [-0.1024232, -0.122931, 1.0]], ['2, k, 24', [0.02296007, -0.1159866, 1.0]]]
[['2, k, 0', [-0.1511991, -0.1458614, 1.0]], ['2, k, 1', [-0.163597, 0.111511, 1.0]], ['2, k, 2', [-0.1745484, 0.3635615, 1.0]], ['2, k, 3', [-0.1688105, 0.5072572, 1.0]], ['2, k, 4', [-0.3387387, 0.2365085, 1.0]], ['2, k, 5', [-0.4029708, 0.01993338, 1.0]], ['2, k, 6', [-0.297074, -0.0845358, 1.0]], ['2, k, 7', [-0.2237386, -0.1024635, 1.0]], ['2, k, 8', [0.01648287, 0.2498886, 1.0]], ['2, k, 9', [0.08653407, 0.02990058, 1.0]], ['2, k, 10', [0.01098994, -0.05912665, 1.0]], ['2, k, 11', [-0.04716244, -0.07779238, 1.0]], ['2, k, 12', [-0.2288838, -0.1462478, 1.0]], ['2, k, 13', [-0.3095058, -0.201214, 1.0]], ['2, k, 14', [-0.2484051, -0.610525, 1.0]], ['2, k, 15', [-0.2532477, -0.6857032, 1.0]], ['2, k, 16', [-0.06975704, -0.1417561, 1.0]], ['2, k, 17', [0.09448915, -0.2078113, 1.0]], ['2, k, 18', [-0.01960766, -0.6251372, 1.0]], ['2, k, 19', [-0.01585153, -0.6928661, 1.0]], ['2, k, 20', [-0.1720861, 0.3013667, 1.0]], ['2, k, 21', [-0.1551724, -0.1173081, 1.0]], ['2, k, 22', [-0.2447281, -0.1337549, 1.0]], ['2, k, 23', [-0.1032835, -0.1211216, 1.0]], ['2, k, 24', [0.02168821, -0.1180292, 1.0]]]
[['2, k, 0', [-0.150985, -0.1457573, 1.0]], ['2, k, 1', [-0.1619728, 0.1112921, 1.0]], ['2, k, 2', [-0.1701119, 0.3623035, 1.0]], ['2, k, 3', [-0.1672624, 0.5073931, 1.0]], ['2, k, 4', [-0.336487, 0.2369647, 1.0]], ['2, k, 5', [-0.4016283, 0.01996788, 1.0]], ['2, k, 6', [-0.2947459, -0.08210741, 1.0]], ['2, k, 7', [-0.2255542, -0.1037452, 1.0]], ['2, k, 8', [0.01786423, 0.2499516, 1.0]], ['2, k, 9', [0.08841686, 0.02883187, 1.0]], ['2, k, 10', [0.01074458, -0.05537702, 1.0]], ['2, k, 11', [-0.04618886, -0.07706887, 1.0]], ['2, k, 12', [-0.2286132, -0.1460639, 1.0]], ['2, k, 13', [-0.3178019, -0.1953196, 1.0]], ['2, k, 14', [-0.282994, -0.6147472, 1.0]], ['2, k, 15', [-0.2786082, -0.6810701, 1.0]], ['2, k, 16', [-0.06960788, -0.1417451, 1.0]], ['2, k, 17', [0.09865426, -0.2085153, 1.0]], ['2, k, 18', [-0.01964059, -0.6251841, 1.0]], ['2, k, 19', [0.0043746, -0.6966316, 1.0]], ['2, k, 20', [-0.1684428, 0.3004441, 1.0]], ['2, k, 21', [-0.153627, -0.1184421, 1.0]], ['2, k, 22', [-0.244219, -0.1392735, 1.0]], ['2, k, 23', [-0.09977414, -0.1218983, 1.0]], ['2, k, 24', [0.02366904, -0.1178125, 1.0]]]
[['2, k, 0', [-0.1508358, -0.1460276, 1.0]], ['2, k, 1', [-0.1613718, 0.1109106, 1.0]], ['2, k, 2', [-0.1690849, 0.3616988, 1.0]], ['2, k, 3', [-0.1641471, 0.5071596, 1.0]], ['2, k, 4', [-0.3340755, 0.2366113, 1.0]], ['2, k, 5', [-0.4010291, 0.02012448, 1.0]], ['2, k, 6', [-0.2947485, -0.07951482, 1.0]], ['2, k, 7', [-0.227989, -0.1039474, 1.0]], ['2, k, 8', [0.01999415, 0.2479801, 1.0]], ['2, k, 9', [0.09143021, 0.026544, 1.0]], ['2, k, 10', [0.01195721, -0.05318456, 1.0]], ['2, k, 11', [-0.04424854, -0.07744417, 1.0]], ['2, k, 12', [-0.2285038, -0.1461694, 1.0]], ['2, k, 13', [-0.3531201, -0.1849583, 1.0]], ['2, k, 14', [-0.3562979, -0.6086034, 1.0]], ['2, k, 15', [-0.3633362, -0.6821817, 1.0]], ['2, k, 16', [-0.06942697, -0.1422596, 1.0]], ['2, k, 17', [0.1125053, -0.2069883, 1.0]], ['2, k, 18', [-0.01673212, -0.6220687, 1.0]], ['2, k, 19', [0.002219175, -0.6945676, 1.0]], ['2, k, 20', [-0.1674924, 0.2998908, 1.0]], ['2, k, 21', [-0.1561384, -0.120376, 1.0]], ['2, k, 22', [-0.2468016, -0.1412794, 1.0]], ['2, k, 23', [-0.09584499, -0.1203036, 1.0]], ['2, k, 24', [0.02488765, -0.124223, 1.0]]]
[['2, k, 0', [-0.1507326, -0.1461421, 1.0]], ['2, k, 1', [-0.1606004, 0.1107241, 1.0]], ['2, k, 2', [-0.1674679, 0.361421, 1.0]], ['2, k, 3', [-0.1608362, 0.5067006, 1.0]], ['2, k, 4', [-0.3306189, 0.2369781, 1.0]], ['2, k, 5', [-0.4009756, 0.02121612, 1.0]], ['2, k, 6', [-0.3012922, -0.08309022, 1.0]], ['2, k, 7', [-0.2381167, -0.09788412, 1.0]], ['2, k, 8', [0.02232317, 0.2467093, 1.0]], ['2, k, 9', [0.09277112, 0.02637009, 1.0]], ['2, k, 10', [0.01424515, -0.05269858, 1.0]], ['2, k, 11', [-0.04414006, -0.08340079, 1.0]], ['2, k, 12', [-0.2284604, -0.1461728, 1.0]], ['2, k, 13', [-0.3654972, -0.188162, 1.0]], ['2, k, 14', [-0.3937141, -0.6037437, 1.0]], ['2, k, 15', [-0.4127615, -0.6730514, 1.0]], ['2, k, 16', [-0.06924219, -0.142686, 1.0]], ['2, k, 17', [0.1174119, -0.2055246, 1.0]], ['2, k, 18', [-0.01480516, -0.6212499, 1.0]], ['2, k, 19', [0.0009241916, -0.6938049, 1.0]], ['2, k, 20', [-0.1660632, 0.2996289, 1.0]], ['2, k, 21', [-0.168369, -0.1205347, 1.0]], ['2, k, 22', [-0.2648356, -0.1303457, 1.0]], ['2, k, 23', [-0.09782556, -0.1241685, 1.0]], ['2, k, 24', [0.02258629, -0.1327602, 1.0]]]
[['2, k, 0', [-0.1507253, -0.1461453, 1.0]], ['2, k, 1', [-0.1603793, 0.1111001, 1.0]], ['2, k, 2', [-0.1671958, 0.3628244, 1.0]], ['2, k, 3', [-0.1578393, 0.5059769, 1.0]], ['2, k, 4', [-0.3290881, 0.2373878, 1.0]], ['2, k, 5', [-0.4011243, 0.02275661, 1.0]], ['2, k, 6', [-0.3086464, -0.08249373, 1.0]], ['2, k, 7', [-0.2372581, -0.1092861, 1.0]], ['2, k, 8', [0.02385044, 0.2458144, 1.0]], ['2, k, 9', [0.09347282, 0.02655587, 1.0]], ['2, k, 10', [0.01450639, -0.05164316, 1.0]], ['2, k, 11', [-0.04441497, -0.08365542, 1.0]], ['2, k, 12', [-0.2284892, -0.1460658, 1.0]], ['2, k, 13', [-0.4086041, -0.2034528, 1.0]], ['2, k, 14', [-0.5002126, -0.6235324, 1.0]], ['2, k, 15', [-0.5224609, -0.6738281, 1.0]], ['2, k, 16', [-0.06913126, -0.142828, 1.0]], ['2, k, 17', [0.1282839, -0.1987218, 1.0]], ['2, k, 18', [-0.008914486, -0.6157935, 1.0]], ['2, k, 19', [-0.009086886, -0.6856314, 1.0]], ['2, k, 20', [-0.1657634, 0.30071, 1.0]], ['2, k, 21', [-0.1609569, -0.1195585, 1.0]], ['2, k, 22', [-0.2874025, -0.1555488, 1.0]], ['2, k, 23', [-0.09780246, -0.1279843, 1.0]], ['2, k, 24', [0.02289683, -0.130518, 1.0]]]
[['2, k, 0', [-0.1514802, -0.1464186, 1.0]], ['2, k, 1', [-0.1587398, 0.1110517, 1.0]], ['2, k, 2', [-0.1602951, 0.3628526, 1.0]], ['2, k, 3', [-0.1538143, 0.506026, 1.0]], ['2, k, 4', [-0.3304259, 0.2372691, 1.0]], ['2, k, 5', [-0.4020743, 0.02321894, 1.0]], ['2, k, 6', [-0.3098665, -0.08422644, 1.0]], ['2, k, 7', [-0.2432265, -0.10315, 1.0]], ['2, k, 8', [0.0240413, 0.2456239, 1.0]], ['2, k, 9', [0.09360762, 0.02655373, 1.0]], ['2, k, 10', [0.01413783, -0.05081073, 1.0]], ['2, k, 11', [-0.04802756, -0.08708418, 1.0]], ['2, k, 12', [-0.229343, -0.1459957, 1.0]], ['2, k, 13', [-0.4253299, -0.2129133, 1.0]], ['2, k, 14', [-0.5616218, -0.6349199, 1.0]], ['2, k, 15', [-0.5769891, -0.6765813, 1.0]], ['2, k, 16', [-0.06972764, -0.1434966, 1.0]], ['2, k, 17', [0.1338581, -0.193007, 1.0]], ['2, k, 18', [-0.001810022, -0.6105822, 1.0]], ['2, k, 19', [0.01389996, -0.6475606, 1.0]], ['2, k, 20', [-0.1605213, 0.3007252, 1.0]], ['2, k, 21', [-0.1680382, -0.1174542, 1.0]], ['2, k, 22', [-0.2608063, -0.1434962, 1.0]], ['2, k, 23', [-0.1047321, -0.1193755, 1.0]], ['2, k, 24', [0.01610774, -0.1426033, 1.0]]]
[['2, k, 0', [-0.1511285, -0.147822, 1.0]], ['2, k, 1', [-0.1566741, 0.1094734, 1.0]], ['2, k, 2', [-0.1563168, 0.3598627, 1.0]], ['2, k, 3', [-0.1504762, 0.5048945, 1.0]], ['2, k, 4', [-0.3307954, 0.2373531, 1.0]], ['2, k, 5', [-0.4047497, 0.02389427, 1.0]], ['2, k, 6', [-0.3103518, -0.08450127, 1.0]], ['2, k, 7', [-0.2433899, -0.1146415, 1.0]], ['2, k, 8', [0.02452729, 0.2450172, 1.0]], ['2, k, 9', [0.09339459, 0.02701904, 1.0]], ['2, k, 10', [0.01440594, -0.05054192, 1.0]], ['2, k, 11', [-0.04818352, -0.08758448, 1.0]], ['2, k, 12', [-0.2291981, -0.1467353, 1.0]], ['2, k, 13', [-0.4443454, -0.2188586, 1.0]], ['2, k, 14', [-0.5998336, -0.6196435, 1.0]], ['2, k, 15', [-0.5757649, -0.656089, 1.0]], ['2, k, 16', [-0.06917728, -0.1455597, 1.0]], ['2, k, 17', [0.1369712, -0.1914883, 1.0]], ['2, k, 18', [-0.0005948293, -0.6107584, 1.0]], ['2, k, 19', [0.01502699, -0.6477567, 1.0]], ['2, k, 20', [-0.1569501, 0.2981583, 1.0]], ['2, k, 21', [-0.1691341, -0.1195818, 1.0]], ['2, k, 22', [-0.2951844, -0.1605731, 1.0]], ['2, k, 23', [-0.1012252, -0.1258572, 1.0]], ['2, k, 24', [0.01740088, -0.1384926, 1.0]]]
[['2, k, 0', [-0.151146, -0.1482136, 1.0]], ['2, k, 1', [-0.1553592, 0.1088643, 1.0]], ['2, k, 2', [-0.1536317, 0.3591067, 1.0]], ['2, k, 3', [-0.1487056, 0.5045086, 1.0]], ['2, k, 4', [-0.3313598, 0.2371136, 1.0]], ['2, k, 5', [-0.4076786, 0.02593718, 1.0]], ['2, k, 6', [-0.3103646, -0.08558984, 1.0]], ['2, k, 7', [-0.2451373, -0.1244108, 1.0]], ['2, k, 8', [0.0263765, 0.2431363, 1.0]], ['2, k, 9', [0.0934354, 0.02701296, 1.0]], ['2, k, 10', [0.01427247, -0.05051566, 1.0]], ['2, k, 11', [-0.0487096, -0.08786403, 1.0]], ['2, k, 12', [-0.2292552, -0.1469492, 1.0]], ['2, k, 13', [-0.4869098, -0.2314979, 1.0]], ['2, k, 14', [-0.6913004, -0.6313811, 1.0]], ['2, k, 15', [-0.6660174, -0.667756, 1.0]], ['2, k, 16', [-0.06915587, -0.1460702, 1.0]], ['2, k, 17', [0.1421503, -0.1899779, 1.0]], ['2, k, 18', [0.001776419, -0.6080986, 1.0]], ['2, k, 19', [0.01737578, -0.6451428, 1.0]], ['2, k, 20', [-0.1544762, 0.2973989, 1.0]], ['2, k, 21', [-0.1683507, -0.1349251, 1.0]], ['2, k, 22', [-0.2921578, -0.1766884, 1.0]], ['2, k, 23', [-0.1010789, -0.1288438, 1.0]], ['2, k, 24', [0.01824522, -0.138186, 1.0]]]
[['2, k, 0', [-0.1505319, -0.1490591, 1.0]], ['2, k, 1', [-0.1537617, 0.1082081, 1.0]], ['2, k, 2', [-0.1517449, 0.3586497, 1.0]], ['2, k, 3', [-0.145579, 0.5035682, 1.0]], ['2, k, 4', [-0.3232129, 0.2389739, 1.0]], ['2, k, 5', [-0.4087441, 0.02652279, 1.0]], ['2, k, 6', [-0.3127161, -0.08933812, 1.0]], ['2, k, 7', [-0.2459896, -0.125631, 1.0]], ['2, k, 8', [0.02723599, 0.2425614, 1.0]], ['2, k, 9', [0.09392866, 0.0269218, 1.0]], ['2, k, 10', [0.0138987, -0.05006237, 1.0]], ['2, k, 11', [-0.04871731, -0.08821712, 1.0]], ['2, k, 12', [-0.2288521, -0.1475133, 1.0]], ['2, k, 13', [-0.4930675, -0.2334946, 1.0]], ['2, k, 14', [-0.7427168, -0.6219358, 1.0]], ['2, k, 15', [-0.7153292, -0.6585151, 1.0]], ['2, k, 16', [-0.06840066, -0.1471055, 1.0]], ['2, k, 17', [0.145618, -0.1874042, 1.0]], ['2, k, 18', [0.006516043, -0.6029211, 1.0]], ['2, k, 19', [0.02353093, -0.6400203, 1.0]], ['2, k, 20', [-0.1525981, 0.2968862, 1.0]], ['2, k, 21', [-0.170358, -0.1393648, 1.0]], ['2, k, 22', [-0.2967944, -0.1796376, 1.0]], ['2, k, 23', [-0.0963936, -0.1304147, 1.0]], ['2, k, 24', [0.01810414, -0.1366722, 1.0]]]
