[['2, k, 0', [-0.20825, -0.500367, 1.0]], ['2, k, 1', [-0.223546, -0.193227, 1.0]], ['2, k, 2', [-0.236949, 0.107191, 1.0]], ['2, k, 3', [-0.228858, 0.250382, 1.0]], ['2, k, 4', [-0.381944, -0.0134991, 1.0]], ['2, k, 5', [-0.442188, -0.277018, 1.0]], ['2, k, 6', [-0.456062, -0.508536, 1.0]], ['2, k, 7', [-0.453687, -0.492531, 1.0]], ['2, k, 8', [-0.0605284, -0.00998125, 1.0]], ['2, k, 9', [0.00932179, -0.267798, 1.0]], ['2, k, 10', [0.0669941, -0.491192, 1.0]], ['2, k, 11', [0.0718953, -0.511846, 1.0]], ['2, k, 12', [-0.278398, -0.493576, 1.0]], ['2, k, 13', [-0.307306, -0.784313, 1.0]], ['2, k, 14', [-0.337961, -1.08761, 1.0]], ['2, k, 15', [-0.330811, -1.14844, 1.0]], ['2, k, 16', [-0.131785, -0.491982, 1.0]], ['2, k, 17', [-0.100273, -0.76685, 1.0]], ['2, k, 18', [-0.0884999, -1.04493, 1.0]], ['2, k, 19', [-0.0523682, -1.10254, 1.0]], ['2, k, 20', [-0.233914, 0.0330523, 1.0]], ['2, k, 21', [-0.458836, -0.555474, 1.0]], ['2, k, 22', [-0.407227, -0.489706, 1.0]], ['2, k, 23', [0.0579046, -0.533916, 1.0]], ['2, k, 24', [0.0266708, -0.516849, 1.0]]]
[['2, k, 0', [-0.208255, -0.500465, 1.0]], ['2, k, 1', [-0.223564, -0.193243, 1.0]], ['2, k, 2', [-0.236985, 0.107238, 1.0]], ['2, k, 3', [-0.22886, 0.250387, 1.0]], ['2, k, 4', [-0.381956, -0.013531, 1.0]], ['2, k, 5', [-0.442223, -0.276779, 1.0]], ['2, k, 6', [-0.456199, -0.508306, 1.0]], ['2, k, 7', [-0.453262, -0.492129, 1.0]], ['2, k, 8', [-0.0604571, -0.00980716, 1.0]], ['2, k, 9', [0.00933826, -0.26786, 1.0]], ['2, k, 10', [0.0667384, -0.49133, 1.0]], ['2, k, 11', [0.0708904, -0.511964, 1.0]], ['2, k, 12', [-0.278396, -0.493712, 1.0]], ['2, k, 13', [-0.307314, -0.784271, 1.0]], ['2, k, 14', [-0.337303, -1.08901, 1.0]], ['2, k, 15', [-0.330279, -1.15863, 1.0]], ['2, k, 16', [-0.131797, -0.492048, 1.0]], ['2, k, 17', [-0.100255, -0.766676, 1.0]], ['2, k, 18', [-0.0882273, -1.04493, 1.0]], ['2, k, 19', [-0.052045, -1.10319, 1.0]], ['2, k, 20', [-0.233944, 0.033081, 1.0]], ['2, k, 21', [-0.45949, -0.553393, 1.0]], ['2, k, 22', [-0.407211, -0.489791, 1.0]], ['2, k, 23', [0.0548854, -0.538606, 1.0]], ['2, k, 24', [0.0252214, -0.515982, 1.0]]]
[['2, k, 0', [-0.20819, -0.499858, 1.0]], ['2, k, 1', [-0.22351, -0.193139, 1.0]], ['2, k, 2', [-0.236919, 0.107141, 1.0]], ['2, k, 3', [-0.228797, 0.250351, 1.0]], ['2, k, 4', [-0.382008, -0.0134882, 1.0]], ['2, k, 5', [-0.442217, -0.276772, 1.0]], ['2, k, 6', [-0.456014, -0.508312, 1.0]], ['2, k, 7', [-0.452509, -0.492635, 1.0]], ['2, k, 8', [-0.0603847, -0.00974692, 1.0]], ['2, k, 9', [0.00923444, -0.26778, 1.0]], ['2, k, 10', [0.0664277, -0.491324, 1.0]], ['2, k, 11', [0.0712824, -0.51266, 1.0]], ['2, k, 12', [-0.27834, -0.493166, 1.0]], ['2, k, 13', [-0.307165, -0.784172, 1.0]], ['2, k, 14', [-0.337799, -1.09061, 1.0]], ['2, k, 15', [-0.331335, -1.16021, 1.0]], ['2, k, 16', [-0.131725, -0.491389, 1.0]], ['2, k, 17', [-0.100389, -0.766333, 1.0]], ['2, k, 18', [-0.0880334, -1.04493, 1.0]], ['2, k, 19', [-0.0517623, -1.10332, 1.0]], ['2, k, 20', [-0.23389, 0.0330379, 1.0]], ['2, k, 21', [-0.453943, -0.556425, 1.0]], ['2, k, 22', [-0.407161, -0.489772, 1.0]], ['2, k, 23', [0.0766827, -0.529908, 1.0]], ['2, k, 24', [0.0266271, -0.516748, 1.0]]]
[['2, k, 0', [-0.207969, -0.499368, 1.0]], ['2, k, 1', [-0.223418, -0.192987, 1.0]], ['2, k, 2', [-0.236902, 0.107144, 1.0]], ['2, k, 3', [-0.228839, 0.250326, 1.0]], ['2, k, 4', [-0.38198, -0.0133998, 1.0]], ['2, k, 5', [-0.442213, -0.276691, 1.0]], ['2, k, 6', [-0.455729, -0.508282, 1.0]], ['2, k, 7', [-0.453215, -0.492956, 1.0]], ['2, k, 8', [-0.0604037, -0.00973579, 1.0]], ['2, k, 9', [0.00927321, -0.267885, 1.0]], ['2, k, 10', [0.066345, -0.491494, 1.0]], ['2, k, 11', [0.0701603, -0.512633, 1.0]], ['2, k, 12', [-0.278108, -0.492634, 1.0]], ['2, k, 13', [-0.307124, -0.784219, 1.0]], ['2, k, 14', [-0.337517, -1.09089, 1.0]], ['2, k, 15', [-0.331701, -1.1587, 1.0]], ['2, k, 16', [-0.131522, -0.490959, 1.0]], ['2, k, 17', [-0.100427, -0.766176, 1.0]], ['2, k, 18', [-0.087989, -1.04492, 1.0]], ['2, k, 19', [-0.0519656, -1.10326, 1.0]], ['2, k, 20', [-0.233862, 0.0330559, 1.0]], ['2, k, 21', [-0.451995, -0.555938, 1.0]], ['2, k, 22', [-0.408339, -0.48974, 1.0]], ['2, k, 23', [0.0579079, -0.535993, 1.0]], ['2, k, 24', [0.0262777, -0.514974, 1.0]]]
[['2, k, 0', [-0.208033, -0.499505, 1.0]], ['2, k, 1', [-0.223409, -0.193102, 1.0]], ['2, k, 2', [-0.23678, 0.106932, 1.0]], ['2, k, 3', [-0.22883, 0.250324, 1.0]], ['2, k, 4', [-0.381985, -0.0134039, 1.0]], ['2, k, 5', [-0.442259, -0.276766, 1.0]], ['2, k, 6', [-0.455462, -0.508408, 1.0]], ['2, k, 7', [-0.452892, -0.491723, 1.0]], ['2, k, 8', [-0.0604117, -0.00973201, 1.0]], ['2, k, 9', [0.00927149, -0.267881, 1.0]], ['2, k, 10', [0.0659807, -0.491595, 1.0]], ['2, k, 11', [0.0684145, -0.51268, 1.0]], ['2, k, 12', [-0.278181, -0.492797, 1.0]], ['2, k, 13', [-0.306529, -0.782712, 1.0]], ['2, k, 14', [-0.336416, -1.08816, 1.0]], ['2, k, 15', [-0.331133, -1.14916, 1.0]], ['2, k, 16', [-0.131581, -0.491079, 1.0]], ['2, k, 17', [-0.100616, -0.76577, 1.0]], ['2, k, 18', [-0.08793, -1.04492, 1.0]], ['2, k, 19', [-0.05119, -1.10343, 1.0]], ['2, k, 20', [-0.233776, 0.0328706, 1.0]], ['2, k, 21', [-0.453396, -0.557098, 1.0]], ['2, k, 22', [-0.405746, -0.511435, 1.0]], ['2, k, 23', [0.0682841, -0.531691, 1.0]], ['2, k, 24', [0.0244646, -0.51679, 1.0]]]
[['2, k, 0', [-0.207955, -0.499282, 1.0]], ['2, k, 1', [-0.223369, -0.193056, 1.0]], ['2, k, 2', [-0.23676, 0.106876, 1.0]], ['2, k, 3', [-0.228778, 0.250355, 1.0]], ['2, k, 4', [-0.38197, -0.0133365, 1.0]], ['2, k, 5', [-0.442461, -0.275877, 1.0]], ['2, k, 6', [-0.455194, -0.507559, 1.0]], ['2, k, 7', [-0.452855, -0.493235, 1.0]], ['2, k, 8', [-0.060361, -0.00970533, 1.0]], ['2, k, 9', [0.00926076, -0.267952, 1.0]], ['2, k, 10', [0.0657752, -0.491686, 1.0]], ['2, k, 11', [0.0693879, -0.513057, 1.0]], ['2, k, 12', [-0.278086, -0.492509, 1.0]], ['2, k, 13', [-0.306401, -0.782503, 1.0]], ['2, k, 14', [-0.33613, -1.08781, 1.0]], ['2, k, 15', [-0.33165, -1.14756, 1.0]], ['2, k, 16', [-0.13152, -0.490912, 1.0]], ['2, k, 17', [-0.10061, -0.765749, 1.0]], ['2, k, 18', [-0.0877379, -1.04347, 1.0]], ['2, k, 19', [-0.0513511, -1.10338, 1.0]], ['2, k, 20', [-0.233753, 0.0328411, 1.0]], ['2, k, 21', [-0.455641, -0.558879, 1.0]], ['2, k, 22', [-0.40716, -0.489574, 1.0]], ['2, k, 23', [0.057977, -0.53813, 1.0]], ['2, k, 24', [0.0239598, -0.516848, 1.0]]]
[['2, k, 0', [-0.207862, -0.499218, 1.0]], ['2, k, 1', [-0.223289, -0.193025, 1.0]], ['2, k, 2', [-0.236709, 0.106864, 1.0]], ['2, k, 3', [-0.228818, 0.250344, 1.0]], ['2, k, 4', [-0.38189, -0.0134503, 1.0]], ['2, k, 5', [-0.44265, -0.275805, 1.0]], ['2, k, 6', [-0.455032, -0.507495, 1.0]], ['2, k, 7', [-0.452456, -0.494239, 1.0]], ['2, k, 8', [-0.0603768, -0.00972621, 1.0]], ['2, k, 9', [0.00928118, -0.267987, 1.0]], ['2, k, 10', [0.0657026, -0.49174, 1.0]], ['2, k, 11', [0.0683743, -0.51289, 1.0]], ['2, k, 12', [-0.277996, -0.492462, 1.0]], ['2, k, 13', [-0.305988, -0.78106, 1.0]], ['2, k, 14', [-0.336213, -1.08489, 1.0]], ['2, k, 15', [-0.330755, -1.1446, 1.0]], ['2, k, 16', [-0.131428, -0.490836, 1.0]], ['2, k, 17', [-0.100517, -0.76595, 1.0]], ['2, k, 18', [-0.0876877, -1.04372, 1.0]], ['2, k, 19', [-0.0515322, -1.10345, 1.0]], ['2, k, 20', [-0.233693, 0.0328379, 1.0]], ['2, k, 21', [-0.456375, -0.558974, 1.0]], ['2, k, 22', [-0.409659, -0.485333, 1.0]], ['2, k, 23', [0.0604407, -0.53284, 1.0]], ['2, k, 24', [0.0231776, -0.516279, 1.0]]]
[['2, k, 0', [-0.207061, -0.499351, 1.0]], ['2, k, 1', [-0.223054, -0.193027, 1.0]], ['2, k, 2', [-0.236708, 0.106878, 1.0]], ['2, k, 3', [-0.228772, 0.25035, 1.0]], ['2, k, 4', [-0.381912, -0.0134507, 1.0]], ['2, k, 5', [-0.442695, -0.275881, 1.0]], ['2, k, 6', [-0.455038, -0.507572, 1.0]], ['2, k, 7', [-0.452613, -0.493005, 1.0]], ['2, k, 8', [-0.0603709, -0.00971394, 1.0]], ['2, k, 9', [0.00928663, -0.26799, 1.0]], ['2, k, 10', [0.0656667, -0.491748, 1.0]], ['2, k, 11', [0.069364, -0.512761, 1.0]], ['2, k, 12', [-0.277245, -0.49261, 1.0]], ['2, k, 13', [-0.305867, -0.780827, 1.0]], ['2, k, 14', [-0.336137, -1.08377, 1.0]], ['2, k, 15', [-0.330996, -1.14596, 1.0]], ['2, k, 16', [-0.13059, -0.490947, 1.0]], ['2, k, 17', [-0.100701, -0.765561, 1.0]], ['2, k, 18', [-0.0876525, -1.04397, 1.0]], ['2, k, 19', [-0.0514831, -1.10355, 1.0]], ['2, k, 20', [-0.233663, 0.0328523, 1.0]], ['2, k, 21', [-0.449749, -0.556192, 1.0]], ['2, k, 22', [-0.408848, -0.482589, 1.0]], ['2, k, 23', [0.0894686, -0.52969, 1.0]], ['2, k, 24', [0.0260832, -0.517371, 1.0]]]
[['2, k, 0', [-0.207063, -0.499419, 1.0]], ['2, k, 1', [-0.223001, -0.193134, 1.0]], ['2, k, 2', [-0.236583, 0.10672, 1.0]], ['2, k, 3', [-0.228736, 0.250347, 1.0]], ['2, k, 4', [-0.381812, -0.0134218, 1.0]], ['2, k, 5', [-0.442688, -0.275873, 1.0]], ['2, k, 6', [-0.454855, -0.507571, 1.0]], ['2, k, 7', [-0.452149, -0.492969, 1.0]], ['2, k, 8', [-0.0603626, -0.00968634, 1.0]], ['2, k, 9', [0.00926316, -0.267981, 1.0]], ['2, k, 10', [0.0655917, -0.491739, 1.0]], ['2, k, 11', [0.0687649, -0.513167, 1.0]], ['2, k, 12', [-0.277241, -0.492716, 1.0]], ['2, k, 13', [-0.305902, -0.780954, 1.0]], ['2, k, 14', [-0.336264, -1.08466, 1.0]], ['2, k, 15', [-0.33095, -1.14572, 1.0]], ['2, k, 16', [-0.130598, -0.491005, 1.0]], ['2, k, 17', [-0.100696, -0.765547, 1.0]], ['2, k, 18', [-0.0873976, -1.04371, 1.0]], ['2, k, 19', [-0.0522211, -1.10327, 1.0]], ['2, k, 20', [-0.233552, 0.0327054, 1.0]], ['2, k, 21', [-0.453454, -0.557793, 1.0]], ['2, k, 22', [-0.407301, -0.49194, 1.0]], ['2, k, 23', [0.057959, -0.536518, 1.0]], ['2, k, 24', [0.0254742, -0.514832, 1.0]]]
[['2, k, 0', [-0.207126, -0.499442, 1.0]], ['2, k, 1', [-0.223026, -0.193197, 1.0]], ['2, k, 2', [-0.236574, 0.106579, 1.0]], ['2, k, 3', [-0.22878, 0.250274, 1.0]], ['2, k, 4', [-0.381566, -0.0135417, 1.0]], ['2, k, 5', [-0.442668, -0.275876, 1.0]], ['2, k, 6', [-0.454676, -0.507587, 1.0]], ['2, k, 7', [-0.451731, -0.492779, 1.0]], ['2, k, 8', [-0.0603779, -0.00964114, 1.0]], ['2, k, 9', [0.00927192, -0.268027, 1.0]], ['2, k, 10', [0.0655639, -0.491786, 1.0]], ['2, k, 11', [0.0679349, -0.513539, 1.0]], ['2, k, 12', [-0.277324, -0.492894, 1.0]], ['2, k, 13', [-0.3058, -0.780678, 1.0]], ['2, k, 14', [-0.336642, -1.08311, 1.0]], ['2, k, 15', [-0.330077, -1.14512, 1.0]], ['2, k, 16', [-0.130692, -0.490938, 1.0]], ['2, k, 17', [-0.100772, -0.765557, 1.0]], ['2, k, 18', [-0.0874261, -1.04381, 1.0]], ['2, k, 19', [-0.0521262, -1.10362, 1.0]], ['2, k, 20', [-0.23355, 0.0325855, 1.0]], ['2, k, 21', [-0.450929, -0.556436, 1.0]], ['2, k, 22', [-0.40732, -0.49028, 1.0]], ['2, k, 23', [0.0621385, -0.535976, 1.0]], ['2, k, 24', [0.0239145, -0.515949, 1.0]]]
[['2, k, 0', [-0.207219, -0.499433, 1.0]], ['2, k, 1', [-0.223063, -0.193192, 1.0]], ['2, k, 2', [-0.23654, 0.106561, 1.0]], ['2, k, 3', [-0.228837, 0.250187, 1.0]], ['2, k, 4', [-0.381618, -0.0135961, 1.0]], ['2, k, 5', [-0.442783, -0.276431, 1.0]], ['2, k, 6', [-0.454526, -0.508194, 1.0]], ['2, k, 7', [-0.451866, -0.494422, 1.0]], ['2, k, 8', [-0.0603654, -0.00952596, 1.0]], ['2, k, 9', [0.00932402, -0.268105, 1.0]], ['2, k, 10', [0.0653965, -0.491936, 1.0]], ['2, k, 11', [0.0695619, -0.512225, 1.0]], ['2, k, 12', [-0.277393, -0.492944, 1.0]], ['2, k, 13', [-0.305194, -0.780295, 1.0]], ['2, k, 14', [-0.337678, -1.08513, 1.0]], ['2, k, 15', [-0.329837, -1.14423, 1.0]], ['2, k, 16', [-0.130866, -0.490831, 1.0]], ['2, k, 17', [-0.100789, -0.765522, 1.0]], ['2, k, 18', [-0.0873476, -1.04382, 1.0]], ['2, k, 19', [-0.0514977, -1.10377, 1.0]], ['2, k, 20', [-0.233537, 0.0325759, 1.0]], ['2, k, 21', [-0.456773, -0.559353, 1.0]], ['2, k, 22', [-0.407306, -0.49245, 1.0]], ['2, k, 23', [0.0767999, -0.532047, 1.0]], ['2, k, 24', [0.0255912, -0.516384, 1.0]]]
