[['2, k, 0', [-0.2383911, -0.2200684, 1.0]], ['2, k, 1', [-0.2195639, 0.05772315, 1.0]], ['2, k, 2', [-0.1985642, 0.3277593, 1.0]], ['2, k, 3', [-0.1954443, 0.4607283, 1.0]], ['2, k, 4', [-0.3350578, 0.2344279, 1.0]], ['2, k, 5', [-0.3634377, 0.0327876, 1.0]], ['2, k, 6', [-0.3021301, -0.1559303, 1.0]], ['2, k, 7', [-0.2782924, -0.2010714, 1.0]], ['2, k, 8', [-0.05490891, 0.2248367, 1.0]], ['2, k, 9', [-0.01309967, -0.002842625, 1.0]], ['2, k, 10', [0.06223683, -0.1862579, 1.0]], ['2, k, 11', [0.08356864, -0.2134409, 1.0]], ['2, k, 12', [-0.3182176, -0.2119137, 1.0]], ['2, k, 13', [-0.2964525, -0.28127, 1.0]], ['2, k, 14', [-0.3028783, -0.6406873, 1.0]], ['2, k, 15', [-0.293668, -0.6708347, 1.0]], ['2, k, 16', [-0.1516156, -0.2221614, 1.0]], ['2, k, 17', [-0.03209535, -0.2677849, 1.0]], ['2, k, 18', [-0.04697874, -0.6299557, 1.0]], ['2, k, 19', [-0.04158321, -0.6602563, 1.0]], ['2, k, 20', [-0.2035103, 0.2612547, 1.0]], ['2, k, 21', [-0.2566063, -0.257206, 1.0]], ['2, k, 22', [-0.3051058, -0.2034837, 1.0]], ['2, k, 23', [0.09987167, -0.2529208, 1.0]], ['2, k, 24', [0.07076635, -0.2301435, 1.0]]]
[['2, k, 0', [-0.2365819, -0.2202655, 1.0]], ['2, k, 1', [-0.2195068, 0.05768394, 1.0]], ['2, k, 2', [-0.199661, 0.3276601, 1.0]], ['2, k, 3', [-0.1980025, 0.4608497, 1.0]], ['2, k, 4', [-0.3349532, 0.2346435, 1.0]], ['2, k, 5', [-0.363564, 0.03226217, 1.0]], ['2, k, 6', [-0.3149767, -0.1230802, 1.0]], ['2, k, 7', [-0.29015, -0.1645107, 1.0]], ['2, k, 8', [-0.0549449, 0.2248278, 1.0]], ['2, k, 9', [0.001831416, -0.006745842, 1.0]], ['2, k, 10', [0.09205332, -0.1754747, 1.0]], ['2, k, 11', [0.1191612, -0.2150937, 1.0]], ['2, k, 12', [-0.3163251, -0.2122248, 1.0]], ['2, k, 13', [-0.2965759, -0.2809498, 1.0]], ['2, k, 14', [-0.302985, -0.6403962, 1.0]], ['2, k, 15', [-0.2938581, -0.6705977, 1.0]], ['2, k, 16', [-0.1500091, -0.2222061, 1.0]], ['2, k, 17', [-0.03309296, -0.27051, 1.0]], ['2, k, 18', [-0.04707903, -0.632568, 1.0]], ['2, k, 19', [-0.04176595, -0.6628826, 1.0]], ['2, k, 20', [-0.2041492, 0.2611743, 1.0]], ['2, k, 21', [-0.2603155, -0.2151579, 1.0]], ['2, k, 22', [-0.3092901, -0.1741395, 1.0]], ['2, k, 23', [0.1458227, -0.2702597, 1.0]], ['2, k, 24', [0.1326332, -0.2460488, 1.0]]]
[['2, k, 0', [-0.2357475, -0.2205931, 1.0]], ['2, k, 1', [-0.2195476, 0.05766023, 1.0]], ['2, k, 2', [-0.2019636, 0.3279804, 1.0]], ['2, k, 3', [-0.2023588, 0.4615406, 1.0]], ['2, k, 4', [-0.3436044, 0.2307934, 1.0]], ['2, k, 5', [-0.3646383, 0.03115875, 1.0]], ['2, k, 6', [-0.3161446, -0.1239012, 1.0]], ['2, k, 7', [-0.2912863, -0.1624738, 1.0]], ['2, k, 8', [-0.05505829, 0.2248272, 1.0]], ['2, k, 9', [0.02237356, 0.005958905, 1.0]], ['2, k, 10', [0.1218204, -0.1727675, 1.0]], ['2, k, 11', [0.16084, -0.21385, 1.0]], ['2, k, 12', [-0.3155534, -0.2129236, 1.0]], ['2, k, 13', [-0.2965109, -0.2810283, 1.0]], ['2, k, 14', [-0.3031594, -0.6404959, 1.0]], ['2, k, 15', [-0.2936262, -0.6707379, 1.0]], ['2, k, 16', [-0.149009, -0.2221483, 1.0]], ['2, k, 17', [-0.03430856, -0.2740754, 1.0]], ['2, k, 18', [-0.04748438, -0.6360908, 1.0]], ['2, k, 19', [-0.04176228, -0.666402, 1.0]], ['2, k, 20', [-0.2057797, 0.2613505, 1.0]], ['2, k, 21', [-0.2616589, -0.2147455, 1.0]], ['2, k, 22', [-0.3078942, -0.172689, 1.0]], ['2, k, 23', [0.1967098, -0.2721264, 1.0]], ['2, k, 24', [0.1831635, -0.2440308, 1.0]]]
[['2, k, 0', [-0.234844, -0.2206281, 1.0]], ['2, k, 1', [-0.2196758, 0.05768991, 1.0]], ['2, k, 2', [-0.204401, 0.3284019, 1.0]], ['2, k, 3', [-0.2074122, 0.4616258, 1.0]], ['2, k, 4', [-0.3478391, 0.2280755, 1.0]], ['2, k, 5', [-0.3660897, 0.02766807, 1.0]], ['2, k, 6', [-0.3169591, -0.1266414, 1.0]], ['2, k, 7', [-0.2897089, -0.1679753, 1.0]], ['2, k, 8', [-0.05519862, 0.2250984, 1.0]], ['2, k, 9', [0.04825607, 0.01417669, 1.0]], ['2, k, 10', [0.1720952, -0.1627261, 1.0]], ['2, k, 11', [0.204261, -0.205309, 1.0]], ['2, k, 12', [-0.3144974, -0.2135109, 1.0]], ['2, k, 13', [-0.2966378, -0.2809029, 1.0]], ['2, k, 14', [-0.3032794, -0.6403649, 1.0]], ['2, k, 15', [-0.293428, -0.6706655, 1.0]], ['2, k, 16', [-0.1482015, -0.221579, 1.0]], ['2, k, 17', [-0.03490438, -0.275201, 1.0]], ['2, k, 18', [-0.0475774, -0.6373071, 1.0]], ['2, k, 19', [-0.0415367, -0.6676583, 1.0]], ['2, k, 20', [-0.2076279, 0.2616715, 1.0]], ['2, k, 21', [-0.2618202, -0.2201226, 1.0]], ['2, k, 22', [-0.3126737, -0.174595, 1.0]], ['2, k, 23', [0.2474144, -0.2706459, 1.0]], ['2, k, 24', [0.2177812, -0.2536538, 1.0]]]
[['2, k, 0', [-0.2344958, -0.2208246, 1.0]], ['2, k, 1', [-0.2203129, 0.05749552, 1.0]], ['2, k, 2', [-0.2081288, 0.3280485, 1.0]], ['2, k, 3', [-0.21154, 0.4619928, 1.0]], ['2, k, 4', [-0.3500751, 0.2264805, 1.0]], ['2, k, 5', [-0.3666577, 0.02706216, 1.0]], ['2, k, 6', [-0.3228974, -0.1669232, 1.0]], ['2, k, 7', [-0.2880099, -0.1997565, 1.0]], ['2, k, 8', [-0.05547814, 0.2253141, 1.0]], ['2, k, 9', [0.06880926, 0.0264462, 1.0]], ['2, k, 10', [0.224711, -0.1465614, 1.0]], ['2, k, 11', [0.2563716, -0.1882211, 1.0]], ['2, k, 12', [-0.3140999, -0.214017, 1.0]], ['2, k, 13', [-0.2966448, -0.2810045, 1.0]], ['2, k, 14', [-0.3033188, -0.6404325, 1.0]], ['2, k, 15', [-0.2931932, -0.6707609, 1.0]], ['2, k, 16', [-0.1478715, -0.2214952, 1.0]], ['2, k, 17', [-0.03519935, -0.2765718, 1.0]], ['2, k, 18', [-0.04759353, -0.638662, 1.0]], ['2, k, 19', [-0.04127891, -0.6690252, 1.0]], ['2, k, 20', [-0.210704, 0.2613508, 1.0]], ['2, k, 21', [-0.2604035, -0.2554016, 1.0]], ['2, k, 22', [-0.3267663, -0.2073423, 1.0]], ['2, k, 23', [0.2988428, -0.2509417, 1.0]], ['2, k, 24', [0.2659917, -0.2077379, 1.0]]]
[['2, k, 0', [-0.234156, -0.2208854, 1.0]], ['2, k, 1', [-0.2211744, 0.05741113, 1.0]], ['2, k, 2', [-0.2121141, 0.327996, 1.0]], ['2, k, 3', [-0.2172489, 0.4618061, 1.0]], ['2, k, 4', [-0.3523092, 0.2248499, 1.0]], ['2, k, 5', [-0.3680968, 0.02592824, 1.0]], ['2, k, 6', [-0.3328094, -0.1243423, 1.0]], ['2, k, 7', [-0.2916982, -0.1600946, 1.0]], ['2, k, 8', [-0.0560689, 0.2263886, 1.0]], ['2, k, 9', [0.09772946, 0.04808626, 1.0]], ['2, k, 10', [0.2365216, -0.08128503, 1.0]], ['2, k, 11', [0.2937172, -0.1378333, 1.0]], ['2, k, 12', [-0.3135604, -0.2144638, 1.0]], ['2, k, 13', [-0.2964907, -0.2816035, 1.0]], ['2, k, 14', [-0.3030996, -0.6409153, 1.0]], ['2, k, 15', [-0.2925225, -0.6712941, 1.0]], ['2, k, 16', [-0.1475715, -0.2212156, 1.0]], ['2, k, 17', [-0.03544721, -0.2767384, 1.0]], ['2, k, 18', [-0.04780891, -0.6390313, 1.0]], ['2, k, 19', [-0.04103504, -0.6694418, 1.0]], ['2, k, 20', [-0.21404, 0.2613024, 1.0]], ['2, k, 21', [-0.2630413, -0.2075581, 1.0]], ['2, k, 22', [-0.3313385, -0.1694709, 1.0]], ['2, k, 23', [0.341383, -0.1891303, 1.0]], ['2, k, 24', [0.2941499, -0.1157263, 1.0]]]
[['2, k, 0', [-0.233269, -0.2207874, 1.0]], ['2, k, 1', [-0.2218221, 0.05756554, 1.0]], ['2, k, 2', [-0.2151833, 0.3285843, 1.0]], ['2, k, 3', [-0.2213453, 0.462396, 1.0]], ['2, k, 4', [-0.3551135, 0.2227801, 1.0]], ['2, k, 5', [-0.3680306, 0.02485007, 1.0]], ['2, k, 6', [-0.3270586, -0.1677224, 1.0]], ['2, k, 7', [-0.2864991, -0.192549, 1.0]], ['2, k, 8', [-0.05667118, 0.2288305, 1.0]], ['2, k, 9', [0.107879, 0.07736068, 1.0]], ['2, k, 10', [0.2694082, -0.03426143, 1.0]], ['2, k, 11', [0.3197801, -0.07413486, 1.0]], ['2, k, 12', [-0.3126708, -0.2149909, 1.0]], ['2, k, 13', [-0.29654, -0.2817498, 1.0]], ['2, k, 14', [-0.3032363, -0.6409099, 1.0]], ['2, k, 15', [-0.2917866, -0.6713194, 1.0]], ['2, k, 16', [-0.146558, -0.2202139, 1.0]], ['2, k, 17', [-0.03584894, -0.2770261, 1.0]], ['2, k, 18', [-0.04830031, -0.6392694, 1.0]], ['2, k, 19', [-0.04064751, -0.669709, 1.0]], ['2, k, 20', [-0.2165734, 0.261802, 1.0]], ['2, k, 21', [-0.2552096, -0.2513132, 1.0]], ['2, k, 22', [-0.327726, -0.2005945, 1.0]], ['2, k, 23', [0.3748318, -0.1175046, 1.0]], ['2, k, 24', [0.3024496, -0.03831466, 1.0]]]
[['2, k, 0', [-0.231606, -0.219969, 1.0]], ['2, k, 1', [-0.2224203, 0.05806593, 1.0]], ['2, k, 2', [-0.2183213, 0.3296604, 1.0]], ['2, k, 3', [-0.2253609, 0.4628477, 1.0]], ['2, k, 4', [-0.3560465, 0.2221385, 1.0]], ['2, k, 5', [-0.3710063, 0.02659861, 1.0]], ['2, k, 6', [-0.3075899, -0.1290917, 1.0]], ['2, k, 7', [-0.2836562, -0.1669771, 1.0]], ['2, k, 8', [-0.05716798, 0.2314453, 1.0]], ['2, k, 9', [0.1247903, 0.121353, 1.0]], ['2, k, 10', [0.3038994, 0.0210117, 1.0]], ['2, k, 11', [0.3719754, -0.01785517, 1.0]], ['2, k, 12', [-0.3113424, -0.2149877, 1.0]], ['2, k, 13', [-0.2964841, -0.2817066, 1.0]], ['2, k, 14', [-0.3032789, -0.6408876, 1.0]], ['2, k, 15', [-0.2913502, -0.6713725, 1.0]], ['2, k, 16', [-0.1446049, -0.2180849, 1.0]], ['2, k, 17', [-0.03673425, -0.2777505, 1.0]], ['2, k, 18', [-0.04926547, -0.6399648, 1.0]], ['2, k, 19', [-0.04112048, -0.6704779, 1.0]], ['2, k, 20', [-0.2190865, 0.2627858, 1.0]], ['2, k, 21', [-0.2722657, -0.1931767, 1.0]], ['2, k, 22', [-0.3111891, -0.1604879, 1.0]], ['2, k, 23', [0.4313266, -0.05785291, 1.0]], ['2, k, 24', [0.3450316, 0.01744447, 1.0]]]
[['2, k, 0', [-0.2283485, -0.2186993, 1.0]], ['2, k, 1', [-0.2227075, 0.05848056, 1.0]], ['2, k, 2', [-0.2211354, 0.330323, 1.0]], ['2, k, 3', [-0.229121, 0.4637747, 1.0]], ['2, k, 4', [-0.3570128, 0.2211341, 1.0]], ['2, k, 5', [-0.3718013, 0.02851695, 1.0]], ['2, k, 6', [-0.30776, -0.1276477, 1.0]], ['2, k, 7', [-0.2774379, -0.1828123, 1.0]], ['2, k, 8', [-0.05763851, 0.2406012, 1.0]], ['2, k, 9', [0.1328876, 0.1531224, 1.0]], ['2, k, 10', [0.3090654, 0.09002084, 1.0]], ['2, k, 11', [0.3944983, 0.0629695, 1.0]], ['2, k, 12', [-0.3080274, -0.2151262, 1.0]], ['2, k, 13', [-0.296346, -0.2819836, 1.0]], ['2, k, 14', [-0.3033969, -0.6411598, 1.0]], ['2, k, 15', [-0.2905362, -0.6716949, 1.0]], ['2, k, 16', [-0.1413912, -0.2151682, 1.0]], ['2, k, 17', [-0.03740232, -0.2779193, 1.0]], ['2, k, 18', [-0.05013484, -0.6401141, 1.0]], ['2, k, 19', [-0.04104711, -0.670686, 1.0]], ['2, k, 20', [-0.22118, 0.2634463, 1.0]], ['2, k, 21', [-0.2580473, -0.2351065, 1.0]], ['2, k, 22', [-0.3110332, -0.1910926, 1.0]], ['2, k, 23', [0.4397661, 0.03725153, 1.0]], ['2, k, 24', [0.4189066, 0.03265947, 1.0]]]
[['2, k, 0', [-0.2276828, -0.217764, 1.0]], ['2, k, 1', [-0.2237334, 0.05949738, 1.0]], ['2, k, 2', [-0.2239752, 0.3312565, 1.0]], ['2, k, 3', [-0.2313214, 0.4643353, 1.0]], ['2, k, 4', [-0.3577142, 0.2206184, 1.0]], ['2, k, 5', [-0.3713122, 0.0262372, 1.0]], ['2, k, 6', [-0.314109, -0.1254864, 1.0]], ['2, k, 7', [-0.2777283, -0.1785819, 1.0]], ['2, k, 8', [-0.05754945, 0.2466311, 1.0]], ['2, k, 9', [0.1443938, 0.2096558, 1.0]], ['2, k, 10', [0.3275481, 0.1503419, 1.0]], ['2, k, 11', [0.4095458, 0.1561078, 1.0]], ['2, k, 12', [-0.3071268, -0.2147934, 1.0]], ['2, k, 13', [-0.2954668, -0.2825136, 1.0]], ['2, k, 14', [-0.3033887, -0.6417312, 1.0]], ['2, k, 15', [-0.2900059, -0.6723166, 1.0]], ['2, k, 16', [-0.1410634, -0.2132651, 1.0]], ['2, k, 17', [-0.03803724, -0.2779026, 1.0]], ['2, k, 18', [-0.05053756, -0.6400242, 1.0]], ['2, k, 19', [-0.04092258, -0.6706638, 1.0]], ['2, k, 20', [-0.2237077, 0.2644656, 1.0]], ['2, k, 21', [-0.2540668, -0.2292897, 1.0]], ['2, k, 22', [-0.3157399, -0.1874765, 1.0]], ['2, k, 23', [0.464689, 0.141338, 1.0]], ['2, k, 24', [0.378188, 0.1382768, 1.0]]]
[['2, k, 0', [-0.2263231, -0.2161412, 1.0]], ['2, k, 1', [-0.2244187, 0.0607034, 1.0]], ['2, k, 2', [-0.2260476, 0.3322379, 1.0]], ['2, k, 3', [-0.2335351, 0.4656394, 1.0]], ['2, k, 4', [-0.358303, 0.2202018, 1.0]], ['2, k, 5', [-0.3716895, 0.0270359, 1.0]], ['2, k, 6', [-0.3109474, -0.1324359, 1.0]], ['2, k, 7', [-0.2720463, -0.1800683, 1.0]], ['2, k, 8', [-0.05704027, 0.255803, 1.0]], ['2, k, 9', [0.1473464, 0.2340483, 1.0]], ['2, k, 10', [0.3590371, 0.2312672, 1.0]], ['2, k, 11', [0.43791, 0.2363216, 1.0]], ['2, k, 12', [-0.3055647, -0.2141668, 1.0]], ['2, k, 13', [-0.294422, -0.2825667, 1.0]], ['2, k, 14', [-0.3031777, -0.6417335, 1.0]], ['2, k, 15', [-0.2892644, -0.672348, 1.0]], ['2, k, 16', [-0.1401147, -0.2106324, 1.0]], ['2, k, 17', [-0.03804554, -0.2779142, 1.0]], ['2, k, 18', [-0.05091477, -0.6399337, 1.0]], ['2, k, 19', [-0.04076079, -0.670605, 1.0]], ['2, k, 20', [-0.2254948, 0.2655238, 1.0]], ['2, k, 21', [-0.246477, -0.2339163, 1.0]], ['2, k, 22', [-0.312138, -0.1890325, 1.0]], ['2, k, 23', [0.4855247, 0.2347703, 1.0]], ['2, k, 24', [0.4205478, 0.2594256, 1.0]]]
