[['2, k, 0', [-0.00287915, -0.279469, 1.0]], ['2, k, 1', [-0.00609509, 0.0263777, 1.0]], ['2, k, 2', [-0.0092012, 0.324932, 1.0]], ['2, k, 3', [-0.00547558, 0.475082, 1.0]], ['2, k, 4', [-0.177854, 0.24441, 1.0]], ['2, k, 5', [-0.331934, 0.107037, 1.0]], ['2, k, 6', [-0.241621, -0.0873497, 1.0]], ['2, k, 7', [-0.201688, -0.128011, 1.0]], ['2, k, 8', [0.163778, 0.238811, 1.0]], ['2, k, 9', [0.299073, 0.111998, 1.0]], ['2, k, 10', [0.228151, -0.0918231, 1.0]], ['2, k, 11', [0.192614, -0.112784, 1.0]], ['2, k, 12', [-0.0806905, -0.274412, 1.0]], ['2, k, 13', [-0.0999882, -0.672298, 1.0]], ['2, k, 14', [-0.107467, -0.989687, 1.0]], ['2, k, 15', [-0.133423, -1.04395, 1.0]], ['2, k, 16', [0.0750137, -0.276982, 1.0]], ['2, k, 17', [0.101741, -0.651542, 1.0]], ['2, k, 18', [0.0972819, -1.00308, 1.0]], ['2, k, 19', [0.118835, -1.05664, 1.0]], ['2, k, 20', [-0.00844176, 0.251366, 1.0]], ['2, k, 21', [-0.173145, -0.211128, 1.0]], ['2, k, 22', [-0.16345, -0.10621, 1.0]], ['2, k, 23', [0.189001, -0.200979, 1.0]], ['2, k, 24', [0.168975, -0.13283, 1.0]]]
[['2, k, 0', [-0.00283388, -0.279367, 1.0]], ['2, k, 1', [-0.00604612, 0.026369, 1.0]], ['2, k, 2', [-0.0090876, 0.324694, 1.0]], ['2, k, 3', [-0.00545544, 0.47507, 1.0]], ['2, k, 4', [-0.177885, 0.244492, 1.0]], ['2, k, 5', [-0.331978, 0.107071, 1.0]], ['2, k, 6', [-0.241619, -0.0873444, 1.0]], ['2, k, 7', [-0.199571, -0.128826, 1.0]], ['2, k, 8', [0.163701, 0.238727, 1.0]], ['2, k, 9', [0.299092, 0.111918, 1.0]], ['2, k, 10', [0.228161, -0.0919472, 1.0]], ['2, k, 11', [0.192975, -0.111143, 1.0]], ['2, k, 12', [-0.0806297, -0.274233, 1.0]], ['2, k, 13', [-0.0999928, -0.672315, 1.0]], ['2, k, 14', [-0.107458, -0.989756, 1.0]], ['2, k, 15', [-0.133386, -1.04377, 1.0]], ['2, k, 16', [0.0750436, -0.276937, 1.0]], ['2, k, 17', [0.101876, -0.651406, 1.0]], ['2, k, 18', [0.0988164, -1.0017, 1.0]], ['2, k, 19', [0.11982, -1.0564, 1.0]], ['2, k, 20', [-0.00834649, 0.251208, 1.0]], ['2, k, 21', [-0.169067, -0.208602, 1.0]], ['2, k, 22', [-0.15873, -0.0945889, 1.0]], ['2, k, 23', [0.190674, -0.197217, 1.0]], ['2, k, 24', [0.166894, -0.0998266, 1.0]]]
[['2, k, 0', [-0.0028407, -0.279362, 1.0]], ['2, k, 1', [-0.00602309, 0.0262982, 1.0]], ['2, k, 2', [-0.00895226, 0.324404, 1.0]], ['2, k, 3', [-0.00513461, 0.474931, 1.0]], ['2, k, 4', [-0.177893, 0.244472, 1.0]], ['2, k, 5', [-0.331802, 0.106978, 1.0]], ['2, k, 6', [-0.242092, -0.0879385, 1.0]], ['2, k, 7', [-0.198979, -0.132524, 1.0]], ['2, k, 8', [0.163694, 0.238745, 1.0]], ['2, k, 9', [0.299263, 0.111853, 1.0]], ['2, k, 10', [0.228174, -0.0919591, 1.0]], ['2, k, 11', [0.194293, -0.112871, 1.0]], ['2, k, 12', [-0.0806362, -0.274234, 1.0]], ['2, k, 13', [-0.100114, -0.672488, 1.0]], ['2, k, 14', [-0.10801, -0.989637, 1.0]], ['2, k, 15', [-0.133282, -1.0435, 1.0]], ['2, k, 16', [0.0750347, -0.276927, 1.0]], ['2, k, 17', [0.101967, -0.651251, 1.0]], ['2, k, 18', [0.0987973, -1.00142, 1.0]], ['2, k, 19', [0.120253, -1.05623, 1.0]], ['2, k, 20', [-0.0082465, 0.250983, 1.0]], ['2, k, 21', [-0.170162, -0.215857, 1.0]], ['2, k, 22', [-0.161724, -0.10346, 1.0]], ['2, k, 23', [0.190024, -0.201995, 1.0]], ['2, k, 24', [0.173311, -0.126589, 1.0]]]
[['2, k, 0', [-0.00286467, -0.279353, 1.0]], ['2, k, 1', [-0.00602575, 0.0262995, 1.0]], ['2, k, 2', [-0.00894686, 0.324412, 1.0]], ['2, k, 3', [-0.00490722, 0.474804, 1.0]], ['2, k, 4', [-0.177756, 0.244546, 1.0]], ['2, k, 5', [-0.332113, 0.107255, 1.0]], ['2, k, 6', [-0.242169, -0.0877022, 1.0]], ['2, k, 7', [-0.198751, -0.132799, 1.0]], ['2, k, 8', [0.163682, 0.238717, 1.0]], ['2, k, 9', [0.299354, 0.111901, 1.0]], ['2, k, 10', [0.228183, -0.0919659, 1.0]], ['2, k, 11', [0.194427, -0.110513, 1.0]], ['2, k, 12', [-0.0806618, -0.274213, 1.0]], ['2, k, 13', [-0.100234, -0.672742, 1.0]], ['2, k, 14', [-0.10798, -0.989619, 1.0]], ['2, k, 15', [-0.133211, -1.04315, 1.0]], ['2, k, 16', [0.0750111, -0.27693, 1.0]], ['2, k, 17', [0.102122, -0.650486, 1.0]], ['2, k, 18', [0.0988791, -1.00117, 1.0]], ['2, k, 19', [0.120538, -1.05628, 1.0]], ['2, k, 20', [-0.0082446, 0.250987, 1.0]], ['2, k, 21', [-0.171727, -0.218358, 1.0]], ['2, k, 22', [-0.161781, -0.10388, 1.0]], ['2, k, 23', [0.19082, -0.196745, 1.0]], ['2, k, 24', [0.169633, -0.104727, 1.0]]]
[['2, k, 0', [-0.00284932, -0.279316, 1.0]], ['2, k, 1', [-0.00599762, 0.0262982, 1.0]], ['2, k, 2', [-0.00886551, 0.324365, 1.0]], ['2, k, 3', [-0.00419373, 0.47468, 1.0]], ['2, k, 4', [-0.177707, 0.244525, 1.0]], ['2, k, 5', [-0.332164, 0.107331, 1.0]], ['2, k, 6', [-0.242122, -0.0876481, 1.0]], ['2, k, 7', [-0.197366, -0.134542, 1.0]], ['2, k, 8', [0.163639, 0.238695, 1.0]], ['2, k, 9', [0.299418, 0.112003, 1.0]], ['2, k, 10', [0.22832, -0.0919626, 1.0]], ['2, k, 11', [0.204652, -0.0920623, 1.0]], ['2, k, 12', [-0.0806464, -0.274179, 1.0]], ['2, k, 13', [-0.100331, -0.672854, 1.0]], ['2, k, 14', [-0.108385, -0.989869, 1.0]], ['2, k, 15', [-0.133061, -1.04292, 1.0]], ['2, k, 16', [0.0750259, -0.276892, 1.0]], ['2, k, 17', [0.103195, -0.649596, 1.0]], ['2, k, 18', [0.0992579, -1.00054, 1.0]], ['2, k, 19', [0.121483, -1.05619, 1.0]], ['2, k, 20', [-0.00817826, 0.250954, 1.0]], ['2, k, 21', [-0.168953, -0.216645, 1.0]], ['2, k, 22', [-0.161167, -0.103233, 1.0]], ['2, k, 23', [0.176077, -0.15883, 1.0]], ['2, k, 24', [0.173664, -0.0849583, 1.0]]]
[['2, k, 0', [-0.00285294, -0.27933, 1.0]], ['2, k, 1', [-0.00598881, 0.02628, 1.0]], ['2, k, 2', [-0.00885336, 0.324349, 1.0]], ['2, k, 3', [-0.00401658, 0.474698, 1.0]], ['2, k, 4', [-0.177713, 0.244537, 1.0]], ['2, k, 5', [-0.332203, 0.107638, 1.0]], ['2, k, 6', [-0.24245, -0.0875882, 1.0]], ['2, k, 7', [-0.197832, -0.132753, 1.0]], ['2, k, 8', [0.163639, 0.238681, 1.0]], ['2, k, 9', [0.299514, 0.112202, 1.0]], ['2, k, 10', [0.228422, -0.0917936, 1.0]], ['2, k, 11', [0.206087, -0.0939106, 1.0]], ['2, k, 12', [-0.0806488, -0.274184, 1.0]], ['2, k, 13', [-0.100668, -0.673559, 1.0]], ['2, k, 14', [-0.108383, -0.989918, 1.0]], ['2, k, 15', [-0.132919, -1.04279, 1.0]], ['2, k, 16', [0.0750212, -0.276918, 1.0]], ['2, k, 17', [0.103235, -0.649506, 1.0]], ['2, k, 18', [0.0994361, -1.00045, 1.0]], ['2, k, 19', [0.122008, -1.05611, 1.0]], ['2, k, 20', [-0.00816652, 0.250937, 1.0]], ['2, k, 21', [-0.173481, -0.219778, 1.0]], ['2, k, 22', [-0.162468, -0.107054, 1.0]], ['2, k, 23', [0.176011, -0.15877, 1.0]], ['2, k, 24', [0.174485, -0.0870025, 1.0]]]
[['2, k, 0', [-0.00285165, -0.279278, 1.0]], ['2, k, 1', [-0.00597241, 0.026295, 1.0]], ['2, k, 2', [-0.00881989, 0.324351, 1.0]], ['2, k, 3', [-0.00389816, 0.474619, 1.0]], ['2, k, 4', [-0.177666, 0.244498, 1.0]], ['2, k, 5', [-0.332158, 0.107656, 1.0]], ['2, k, 6', [-0.242062, -0.0874678, 1.0]], ['2, k, 7', [-0.197204, -0.134039, 1.0]], ['2, k, 8', [0.163644, 0.238673, 1.0]], ['2, k, 9', [0.299724, 0.112507, 1.0]], ['2, k, 10', [0.22859, -0.0914848, 1.0]], ['2, k, 11', [0.203825, -0.0955274, 1.0]], ['2, k, 12', [-0.080646, -0.274127, 1.0]], ['2, k, 13', [-0.100661, -0.673485, 1.0]], ['2, k, 14', [-0.109109, -0.990261, 1.0]], ['2, k, 15', [-0.13297, -1.04268, 1.0]], ['2, k, 16', [0.0750217, -0.27686, 1.0]], ['2, k, 17', [0.10359, -0.64927, 1.0]], ['2, k, 18', [0.0992533, -1.00028, 1.0]], ['2, k, 19', [0.122386, -1.05511, 1.0]], ['2, k, 20', [-0.00813842, 0.250942, 1.0]], ['2, k, 21', [-0.17555, -0.219297, 1.0]], ['2, k, 22', [-0.160142, -0.109655, 1.0]], ['2, k, 23', [0.195737, -0.196665, 1.0]], ['2, k, 24', [0.178712, -0.116783, 1.0]]]
[['2, k, 0', [-0.00285632, -0.278957, 1.0]], ['2, k, 1', [-0.00586958, 0.0263572, 1.0]], ['2, k, 2', [-0.00846433, 0.324248, 1.0]], ['2, k, 3', [-0.00359042, 0.474443, 1.0]], ['2, k, 4', [-0.177539, 0.244529, 1.0]], ['2, k, 5', [-0.332145, 0.107691, 1.0]], ['2, k, 6', [-0.241983, -0.0874828, 1.0]], ['2, k, 7', [-0.199369, -0.13183, 1.0]], ['2, k, 8', [0.163639, 0.238623, 1.0]], ['2, k, 9', [0.299788, 0.112214, 1.0]], ['2, k, 10', [0.22849, -0.0917691, 1.0]], ['2, k, 11', [0.203375, -0.0971944, 1.0]], ['2, k, 12', [-0.0806482, -0.273759, 1.0]], ['2, k, 13', [-0.100655, -0.673448, 1.0]], ['2, k, 14', [-0.108859, -0.990138, 1.0]], ['2, k, 15', [-0.132787, -1.04235, 1.0]], ['2, k, 16', [0.0750144, -0.276577, 1.0]], ['2, k, 17', [0.103818, -0.644917, 1.0]], ['2, k, 18', [0.0989829, -0.997467, 1.0]], ['2, k, 19', [0.122893, -1.05146, 1.0]], ['2, k, 20', [-0.00786825, 0.250896, 1.0]], ['2, k, 21', [-0.173301, -0.218577, 1.0]], ['2, k, 22', [-0.161478, -0.106416, 1.0]], ['2, k, 23', [0.195996, -0.189456, 1.0]], ['2, k, 24', [0.177432, -0.115258, 1.0]]]
[['2, k, 0', [-0.0030246, -0.278766, 1.0]], ['2, k, 1', [-0.00587857, 0.026383, 1.0]], ['2, k, 2', [-0.00841904, 0.324236, 1.0]], ['2, k, 3', [-0.00323528, 0.474395, 1.0]], ['2, k, 4', [-0.177133, 0.244609, 1.0]], ['2, k, 5', [-0.332146, 0.107779, 1.0]], ['2, k, 6', [-0.241748, -0.0873524, 1.0]], ['2, k, 7', [-0.200253, -0.131738, 1.0]], ['2, k, 8', [0.163533, 0.238705, 1.0]], ['2, k, 9', [0.299875, 0.112065, 1.0]], ['2, k, 10', [0.228466, -0.0919703, 1.0]], ['2, k, 11', [0.203111, -0.0956318, 1.0]], ['2, k, 12', [-0.0808032, -0.273589, 1.0]], ['2, k, 13', [-0.100704, -0.6733, 1.0]], ['2, k, 14', [-0.10876, -0.990088, 1.0]], ['2, k, 15', [-0.13273, -1.04212, 1.0]], ['2, k, 16', [0.0748284, -0.276362, 1.0]], ['2, k, 17', [0.103859, -0.644837, 1.0]], ['2, k, 18', [0.099157, -0.996975, 1.0]], ['2, k, 19', [0.122522, -1.05129, 1.0]], ['2, k, 20', [-0.00784342, 0.250895, 1.0]], ['2, k, 21', [-0.17321, -0.218465, 1.0]], ['2, k, 22', [-0.161747, -0.104394, 1.0]], ['2, k, 23', [0.195733, -0.200389, 1.0]], ['2, k, 24', [0.178284, -0.113206, 1.0]]]
[['2, k, 0', [-0.00315698, -0.278758, 1.0]], ['2, k, 1', [-0.00588272, 0.0263842, 1.0]], ['2, k, 2', [-0.0083749, 0.324242, 1.0]], ['2, k, 3', [-0.00301776, 0.474402, 1.0]], ['2, k, 4', [-0.177016, 0.244623, 1.0]], ['2, k, 5', [-0.332159, 0.107809, 1.0]], ['2, k, 6', [-0.241407, -0.0873169, 1.0]], ['2, k, 7', [-0.198467, -0.132426, 1.0]], ['2, k, 8', [0.163545, 0.238699, 1.0]], ['2, k, 9', [0.300001, 0.112014, 1.0]], ['2, k, 10', [0.228677, -0.0921547, 1.0]], ['2, k, 11', [0.200782, -0.0995802, 1.0]], ['2, k, 12', [-0.0809369, -0.273737, 1.0]], ['2, k, 13', [-0.100892, -0.672865, 1.0]], ['2, k, 14', [-0.108547, -0.989571, 1.0]], ['2, k, 15', [-0.132951, -1.04197, 1.0]], ['2, k, 16', [0.0746166, -0.276169, 1.0]], ['2, k, 17', [0.10373, -0.64485, 1.0]], ['2, k, 18', [0.0994863, -0.996526, 1.0]], ['2, k, 19', [0.122353, -1.05138, 1.0]], ['2, k, 20', [-0.00782048, 0.250897, 1.0]], ['2, k, 21', [-0.174002, -0.218376, 1.0]], ['2, k, 22', [-0.161494, -0.104584, 1.0]], ['2, k, 23', [0.176675, -0.159369, 1.0]], ['2, k, 24', [0.174798, -0.0861307, 1.0]]]
[['2, k, 0', [-0.00329886, -0.278699, 1.0]], ['2, k, 1', [-0.00590102, 0.0263926, 1.0]], ['2, k, 2', [-0.00834741, 0.324232, 1.0]], ['2, k, 3', [-0.00286615, 0.474457, 1.0]], ['2, k, 4', [-0.176946, 0.24467, 1.0]], ['2, k, 5', [-0.33216, 0.107909, 1.0]], ['2, k, 6', [-0.241328, -0.0872699, 1.0]], ['2, k, 7', [-0.199072, -0.132437, 1.0]], ['2, k, 8', [0.163558, 0.238705, 1.0]], ['2, k, 9', [0.300038, 0.112062, 1.0]], ['2, k, 10', [0.228663, -0.0921552, 1.0]], ['2, k, 11', [0.200356, -0.097389, 1.0]], ['2, k, 12', [-0.0810602, -0.273808, 1.0]], ['2, k, 13', [-0.10095, -0.672833, 1.0]], ['2, k, 14', [-0.108589, -0.989709, 1.0]], ['2, k, 15', [-0.132916, -1.04177, 1.0]], ['2, k, 16', [0.0743783, -0.275874, 1.0]], ['2, k, 17', [0.104091, -0.644176, 1.0]], ['2, k, 18', [0.0995275, -0.996179, 1.0]], ['2, k, 19', [0.12296, -1.05095, 1.0]], ['2, k, 20', [-0.00780616, 0.250892, 1.0]], ['2, k, 21', [-0.175419, -0.21915, 1.0]], ['2, k, 22', [-0.161748, -0.105533, 1.0]], ['2, k, 23', [0.176609, -0.159309, 1.0]], ['2, k, 24', [0.177097, -0.08541, 1.0]]]
